   akarot pṛthivīruhān api Ragh_8.70c	akarot pRTivIruhAn api RaG_8.70c
   viśadocchavasitena medinī Ragh_8.3c	viSada ucCava sitena medinI RaG_8.3c
   viśaśramur namerūṇāṃ Ragh_4.74a	viSaSramuH namerUNAm RaG_4.74a
   viśālavakṣaḥsthalalambayā saḥ Ragh_6.84b	viSAla vakzaH sTala lambayA saH RaG_6.84b
   viśālavakṣās tanuvṛttamadhyaḥ Ragh_6.32b	viSAla vakzAH tanu vRtta maDyaH RaG_6.32b
   viśāle tasya locane Ragh_4.13b	viSAle tasya locane RaG_4.13b
   viśāṃpatir viṣṭarabhājam ārāt Ragh_5.3c	viSAMpatiH vizwara BAjam ArAt RaG_5.3c
   viśiṣṭarekhau ripuvikramāgner Ragh_6.55*c	viSizwa reKO ripu vikrama agneH RaG_6.55*c
   viśīrṇatalpāṭṭaśato niveśaḥ Ragh_16.11a	viSIrNa talpa awwa SataH niveSaH RaG_16.11a
   viśuddhiḥ śyāmikāpi vā Ragh_1.10d	viSudDiH SyAmikA api vE Rau _1.10d
   viśūlaḥ prārthyatām iti Ragh_15.5d	viSUlaH prArTyatAm iti Rau _15.5d
   viśeṣapratipattibhiḥ Ragh_15.12d	viSeza pratipattiBiH Rau _15.12d
   viśrāṇanāc cānyapayasvinīnām Ragh_2.54b	viSrANanAt ca anya payasvinInAm RaG_2.54b
   viśrāṇya sauhārdhanidhiḥ suhṛdbyaḥ Ragh_14.15b	viSrANya sOha arDa niDiH suhRd byaH RaG_14.15b
   viśrāntakathaṃ dunoti mām Ragh_8.55b	viSrAnta kaTam dunoti mAm RaG_8.55b
   viśleṣaduḥkhād iva baddhamaunam Ragh_13.23d	viSleza duHKAt iva badDa mOnam Rau _13.23d
   viśleṣimuktāphalapattraveṣṭaḥ Ragh_16.67b	viSlezi muktAPala pattra vezwaH RaG_16.67b
   viśvaṃ tadanu bibhrate Ragh_10.16b	viSvam tadanu biBrate RaG_10.16b
   viśvaṃbharām ātmajamūrtir ātmā Ragh_18.24d	viSvaMBarAm Atmaja mUrtiH AtmA Rau _18.24d
   viśvāsam anujīvinaḥ Ragh_17.31d	viSvAsam anujIvinaH Rau _17.31d
   viśvāsāya vihaṃgānām Ragh_1.51c	viSvAsAya vihaMgAnAm RaG_1.51c
   viṣam apy amṛtaṃ kvacid bhaved Ragh_8.46c	vizam api amRtam kvacid Bavet RaG_8.46c
   viṣayeṣu vināśadharmasu Ragh_8.10c	vizayezu vinASa Darmasu RaG_8.10c
   viṣādaluptapratipatti vismitaṃ Ragh_3.40a	vizAda lupta pratipatti vismitam RaG_3.40a
   viṣṛṣṭapārśvānucarasya tasya Ragh_2.9a	vizRzwa pArSva anucarasya tasya RaG_2.9a
   viṣṭapatrayaparājayasthirāṃ Ragh_11.19c	vizwapa traya parAjaya sTirAm RaG_11.19c
   viṣṇor ivāsyānavadhāraṇīyam Ragh_13.5c	vizNoH iva asya anavaDAraNIyam RaG_13.5c
   viṣṇoḥ sutākhyām aparāṃ tanuṃ tvām Ragh_16.82b	vizNoH sutA AKyAm aparAm tanum tvAm RaG_16.82b
   viṣvaksenaḥ svatanum aviśat sarvalokapratiṣṭhām Ragh_15.103b	vizvaksenaH sva tanum aviSat sarva loka pratizWAm RaG_15.103b
   visarjayed yaṃ sutajanmaharṣitaḥ Ragh_3.20b	visarjayet yam suta janma harzitaH RaG_3.20b
   visasarja kṛtāntyamaṇḍanām Ragh_8.71c	visasarja kRtAntya maNxanAm RaG_8.71c
   visasarjodita sriyam Ragh_1.93d	visasarja udita sriyam Rau _1.93d
   visṛjyatāṃ dhenur iyaṃ maharṣeḥ Ragh_2.45d	visRjyatAm DenuH iyam mahA RzeH Rau _2.45d
   vispaṣṭam asrāndhatayā na dṛṣṭau Ragh_14.2c	vispazwam asra anDatayA na dRzwO RaG_14.2c
   vismayastimitanetram īkṣitaḥ Ragh_11.45b	vismaya stimita netram IkzitaH RaG_11.45b
   vismayena sahartvijām Ragh_10.51d	vismayena saha RtvijAm Rau _10.51d
   vismāyayan vismitam ātmavṛttau Ragh_2.33c	vismAyayan vismitam Atma vRttO RaG_2.33c
   visrastam aṃsād aparo vilāsī Ragh_6.14a	visrastam aMsAt aparaH vilAsI RaG_6.14a
   visraṃsidūrvāṅkamadhūkamālā Ragh_6.25b	visraMsi dUrvA aFka maDUka mAlA RaG_6.25b
   vihagayoḥ kṛpayeva śanair yayau Ragh_9.25*c	vihagayoH kRpayA iva SanEs yayO RaG_9.25*c
   vihagavikūjitabandimaṅgalāni Ragh_9.71d	vihaga vikUjita bandi maFgalAni RaG_9.71d
   vihagāḥ kamalākarālayāḥ Ragh_8.39c	vihagAH kamala Akara AlayAH RaG_8.39c
   vihartum icchā vanitāsakhasya Ragh_16.54c	vihartum icCA vanitA saKasya RaG_16.54c
   vihartum udyānaparaṃparāsu Ragh_6.35d	vihartum udyAna paraMparAsu Rau _6.35d
   vihāya sarvān nṛpatīn nipetuḥ Ragh_6.7b	vihAya sarvAn nRpatIn nipetuH RaG_6.7b
   vihāraśailānugateva nāgaiḥ Ragh_16.26b	vihAra SEla anugatA iva nAgEH RaG_16.26b
   vīkṣya dāśarathir ādade dhanuḥ Ragh_11.44b	vIkzya dASaraTiH Adade DanuH RaG_11.44b
   vīkṣya vedim atha raktabindubhir Ragh_11.25a	vIkzya vedim aTa rakta binduBiH RaG_11.25a
   vīcibhinnā patiṣyataḥ Ragh_12.100b	vIci BinnA patizyataH RaG_12.100b
   vīcilolabhujayos tayor gataṃ Ragh_11.8a	vIci lola BujayoH tayoH gatam RaG_11.8a
   vīcivikṣobhaśītalam Ragh_1.43b	vIci vikzoBa SItalam RaG_1.43b
   vīṇayā nakhapadāṅkitoravaḥ Ragh_19.35b	vINayA naKa pada aFkita uravaH RaG_19.35b
   vītaspṛhatayā yathā Ragh_15.68d	vIta spRhatayA yaTA Rau _15.68d
   vīrāsanair dhyānajuṣām ṛṣīnām Ragh_13.52a	vIrAsanEH DyAna juzAm RzInAm RaG_13.52a
   vīryaśulkam abhinandya maithilaḥ Ragh_11.47b	vIrya Sulkam aBinandya mETilaH RaG_11.47b
   vīryaśṛṅgam iva bhagnam ātmanaḥ Ragh_11.72d	vIrya SRFgam iva Bagnam AtmanaH Rau _11.72d
   vīryodagre rājaśabde mṛgeṣu Ragh_9.64d	vIrya udagre rAja Sabde mRgezu Rau _9.64d
   vṛkeṣu viddham iṣubhir jaghanāśrayeṣu Ragh_9.60d	vRkezu vidDam izuBiH jaGana ASrayezu RaG_9.60d
   vṛkṣākhāvalambinam Ragh_15.49b	vRkzAKa avalambinam RaG_15.49b
   vṛksāntaraṃ kāṅkṣati ṣaṭpadālī Ragh_6.69d	vRc sa antaram kAFkzati zawpadAlI Rau _6.69d
   vṛṇīta māṃ neti samākulo 'bhūt Ragh_6.68b	vRNIta mAm na iti samAkulaH aBUt RaG_6.68b
   vṛto marutvān anuyātalīlaḥ Ragh_16.71d	vRtaH marutvAn anuyAta lIlaH Rau _16.71d
   vṛttaṃ rāmasya vālmīkeḥ Ragh_15.64a	vRttam rAmasya vAlmIkeH RaG_15.64a
   vṛttaṃ hi rājñām uparuddhavṛttam Ragh_18.18d	vRttam hi rAjQAm uparudDa vRttam RaG_18.18d
   vṛttaḥ sa nau saṃgatayor vanānte Ragh_2.58b	vRttaH sa nO saMgatayoH vanAnte RaG_2.58b
   vṛttāntena śravaṇaviṣayaprāpiṇā tena bhartuḥ Ragh_14.87c	vRttAntena SravaNa vizaya prApiNA tena BartuH Rau _14.87c
   vṛttim āśritya vaitasīm Ragh_4.35d	vRttim ASritya vEtasIm RaG_4.35d
   vṛttis tayoḥ pāṇisamāgamena Ragh_7.22c	vRttiH tayoH pANi samAgamena RaG_7.22c
   vṛttena bhartā śucinā tavaiva Ragh_14.6b	vRttena BartA SucinA tava eva RaG_14.6b
   vṛtte sthitasyādhipateḥ prajānām Ragh_5.33b	vRtte sTitasya aDipateH prajAnAm RaG_5.33b
   vṛthā hi me syāt svapadopalabdhiḥ Ragh_5.56d	vRTA hi me syAt sva pada upalabDiH Rau _5.56d
   vṛddhatvaṃ jarasā vinā Ragh_1.23d	vRdDa tvam jarasA vinA RaG_1.23d
   vṛddhekṣvākuvrataṃ yuvā Ragh_12.20d	vRdDa ikzvAku vratam yuvA Rau _12.20d
   vṛddhair amātyaiḥ saha cīravāsā Ragh_13.66c	vRdDEH amAtyEH saha cIra vAsAH RaG_13.66c
   vṛddhau nadīmukhenaiva Ragh_17.54c	vRdDO nadI muKena eva RaG_17.54c
   vṛntāc chlathaṃ harati puṣpam anokahānāṃ Ragh_5.69a	vRntAt SlaTam harati puzpam anokahAnAm RaG_5.69a
   vṛndāvane caitrarathād anūne Ragh_6.50c	vRndAvane cEtraraTAt anUne RaG_6.50c
   vṛṣaskandhaḥ śaśāsa tām Ragh_12.34d	vRzaskanDaH SaSAsa tAm RaG_12.34d
   vṛṣeva devo devānāṃ Ragh_17.77c	vRzA iva devaH devAnAm RaG_17.77c
   vṛṣeva payasāṃ sāram Ragh_10.53c	vRzA iva payasAm sAram RaG_10.53c
   vṛṣṭir bhavati sasyānām Ragh_1.62c	vRzwiH Bavati sasyAnAm RaG_1.62c
   vṛṣṭisekād iva dyutiḥ Ragh_17.16d	vRzwi sekAt iva dyutiH Rau _17.16d
   vṛṣṭiṃ śaśaṃsuḥ patitāṃ nabhastaḥ Ragh_5.29d	vRzwim SaSaMsuH patitAm naBastaH Rau _5.29d
   veganiṣkampaketunā Ragh_15.48d	vega nizkampa ketunA Rau _15.48d
   vegākṛṣṭapayomucā Ragh_10.62d	vega AkRzwa payomucA Rau _10.62d
   veṇībandhān adūṣitān Ragh_10.48b	veNI banDAn adUzitAn RaG_10.48b
   veṇukarkaśaparvayā Ragh_12.41b	veNu karkaSa parvayA RaG_12.41b
   veṇunā daśanapīḍitādharā Ragh_19.35a	veNunA daSana pIxita aDarAH RaG_19.35a
   vettīva bimbādharabaddhatṛṣṇam Ragh_13.16d	vetti iva bimba aDara badDa tRzNam Rau _13.16d
   vedipratiṣṭhān vitatādhvarāṇāṃ Ragh_16.35c	vedi pratizWAn vitata aDvarANAm RaG_16.35c
   vepamānajananīśiraśchidā Ragh_11.65c	vepamAna jananI SiraH CidA Rau _11.65c
   velātaṭeṣūṣitasainikāśvaṃ Ragh_18.23c	velA tawezu uzita sEnika aSvam RaG_18.23c
   velānilaḥ ketakareṇubhis te Ragh_13.16a	velA anilaH ketaka reNuBiH te RaG_13.16a
   velānilāya prasṛtā bhujaṃgā Ragh_13.12a	velA anilAya prasRtA BujaMgAH RaG_13.12a
   velām udanvān iva nīyamānaḥ Ragh_16.27d	velAm udanvAn iva nIyamAnaH Rau _16.27d
   velāsākśaṃ sphuṭapeharājir Ragh_7.19c	velA sAkSam sPuwa peha rAjiH RaG_7.19c
   velāṃ samudrā iva na vyatīyuḥ Ragh_16.2d	velAm samudrAH iva na vyatIyuH RaG_16.2d
   veśmāni rāmaḥ paribarhavanti Ragh_14.15a	veSmAni rAmaH paribarhavanti RaG_14.15a
   vaikhānasair adṛśyāgni Ragh_1.49*c	vEKAnasEH adRSya agni RaG_1.49*c
   vaiḍūryakāntyā raśanāvalīva Ragh_13.57Db	vExUrya kAntyA raSanAvalI ivaH RaG_13.57Db
   vaidarbhanirdiṣṭam atho viveśa Ragh_7.17c	vEdarBa nirdizwam aTo viveSaH RaG_7.17c
   vaidarbhanirdiṣṭam asau kumāraḥ Ragh_6.3a	vEdarBa nirdizwam asO kumAraH RaG_6.3a
   vaidarbham āgantum ajaṃ gṛheśam Ragh_5.62d	vEdarBam Agantum ajam gRheSam Rau _5.62d
   vaidarbham āmantrya yayus tadīyāṃ Ragh_7.30c	vEdarBam Amantrya yayuH tadIyAm RaG_7.30c
   vaidarbhi paśyānumatā mayāsi Ragh_7.67b	vEdarBi paSya anumatA mayA asi RaG_7.67b
   vaidehi paśy' ā malayād vibhaktaṃ Ragh_13.2a	vEdehi paSy a A malayAt viBaktam RaG_13.2a
   vaidehibandhor hṛdayaṃ vidadre Ragh_14.33d	vEdehi banDoH hRdayam vidadre Rau _14.33d
   vaidehyā iva mūrtimat Ragh_12.64d	vEdehyAH iva mUrtimat Rau _12.64d
   vaidyayatnaparibhāvinaṃ gadaṃ Ragh_19.53c	vEdya yatna pariBAvinam gadam RaG_19.53c
   vaidhavyaikaphalāṃ śriyam Ragh_12.6d	vEDavya eka PalAm Sriyam Rau _12.6d
   vainateyaśamitasya bhogino Ragh_11.59c	vEnateya Samitasya BoginaH Rau _11.59c
   vaindhyeṣu senā bahudhā vibhinnā Ragh_16.31b	vEnDyezu senA bahuDA viBinnA RaG_16.31b
   vaimānikānāṃ marutām apaśyad Ragh_6.1c	vEmAnikAnAm marutAm apaSyat RaG_6.1c
   vaimānikāḥ puṇyakṛtas Ragh_10.47a	vEmAnikAH puNya kRtaH RaG_10.47a
   vairūpyapaunaruktyena Ragh_12.40c	vErUpya pOnaruktyena RaG_12.40c
   vaivasato manur nāma Ragh_1.11a	vEvasataH manuH nAma RaG_1.11a
   vaivasvatajigīṣayā Ragh_15.45d	vEvasvata jigIzayA Rau _15.45d
   vaiṣṇavaṃ viditaviṣṇutejasi Ragh_11.91*b	vEzNavam vidita vizNu tejasi RaG_11.91*b
   vyaktalakṣma paribhogamaṇḍanam Ragh_19.30d	vyakta lakzma pariBoga maNxanam Rau _19.30d
   vyaktavikramalakṣaṇam Ragh_4.59b	vyakta vikrama lakzaNam RaG_4.59b
   vyaktaśaktir aśanir girāv iva Ragh_11.41d	vyakta SaktiH aSaniH girO iva RaG_11.41d
   vyaktahemarśanais tam ekataḥ Ragh_19.41b	vyakta hemarSanEH tam ekatas RaG_19.41b
   vyaktordhvarekā bhṛkuṭīr vahadbhiḥ Ragh_7.58b	vyakta UrDvarekA BRkuwIH vahadBiH RaG_7.58b
   vyajyanta ete maṇibhiḥ phaṇasthaiḥ Ragh_13.12d	vyajyante ete maNiBiH PaNa sTEH Rau _13.12d
   vyañjitaprītaye surāḥ Ragh_10.35b	vyaQjita prItaye surAH RaG_10.35b
   vyatītakālas tv aham abhyupetas Ragh_5.14c	vyatIta kAlaH tu aham aByupetaH RaG_5.14c
   vyapagatānaladasyu viveśa saḥ Ragh_9.53b	vyapagata analadasyu viveSa saH RaG_9.53b
   vyabhicāro yathā na me Ragh_15.81b	vyaBicAraH yaTA na me RaG_15.81b
   vyabhrasyeva vivasvataḥ Ragh_17.48d	vyaBrasya iva vivasvataH RaG_17.48d
   vyarocat' āste sa vinīyamānaḥ Ragh_18.51d	vyarocat a Aste sa vinIyamAnaH Rau _18.51d
   vyarthaḥ sa vairapratimocanāya Ragh_14.41b	vyarTaH sa vEra pratimocanAya RaG_14.41b
   vyalaṅghayad vindhyam upāyanāni Ragh_16.32c	vyalaFGayat vinDyam upAyanAni RaG_16.32c
   vyavasāyaḥ pratipattiniṣṭhuraḥ Ragh_8.65d	vyavasAyaH pratipatti nizWuraH RaG_8.65d
   vyavahārān atandritaḥ Ragh_17.39d	vyavahArAn atandritaH Rau _17.39d
   vyavahārāsanam ādade yuvā Ragh_8.18b	vyavahAra Asanam Adade yuvA RaG_8.18b
   vyaśrūyatānīkapadāvasānaṃ Ragh_18.10c	vyaSrUyata anIka pada avasAnam RaG_18.10c
   vyaśvau gadāvyāyatasaṃprahārau Ragh_7.52c	vyaSvO gadA vyAyata saMprahArO RaG_7.52c
   vyastavṛttir udayonmukhe tvayi Ragh_11.73d	vyasta vRttiH udaya unmuKe tvayi RaG_11.73d
   vyahārāsanam ādade navaḥ Ragh_8.18*b	vyahAra Asanam Adade navaH RaG_8.18*b
   vyāghrān abhīr abhimukhopatitān guhābhyaḥ Ragh_9.63a	vyAGrAn aBIH aBimuKa upatitAn guhAByaH RaG_9.63a
   vyājapūrvagaṇanām ivodvahan Ragh_11.66d	vyAja pUrva gaNanAm iva udvahan Rau _11.66d
   vyājahāra harasūnasaṃnibhaḥ Ragh_11.83d	vyAjahAra hara sUna saMniBaH Rau _11.83d
   vyājārdhasaṃdarśitamekhalāni Ragh_13.42b	vyAja arDa saMdarSita meKalAni RaG_13.42b
   vyājena raghave karam Ragh_4.58d	vyAjena raGave karam Rau _4.58d
   vyādideśa gaṇaḥ sapārśvagān Ragh_11.43a	vyAdideSa gaNaH sa pArSva gAn RaG_11.43a
   vyānaśe sapadi vyoma Ragh_4.47*c	vyAnaSe sapadi vyomaH RaG_4.47*c
   vyāpārayantyo diśi dakṣiṇasyām Ragh_13.25c	vyApArayantyaH diSi dakziNasyAm Rau _13.25c
   vyāpārayan hastam alakṣyatājau Ragh_7.57b	vyApArayan hastam alakzyata AjO RaG_7.57b
   vyāpārayām āsa karaṃ kirīṭe Ragh_6.19d	vyApArayAm Asa karam kirIwe Rau _6.19d
   vyāpāritaḥ śūlabhṛtā vidhāya Ragh_2.38c	vyApAritaH SUlaBRtA viDAya RaG_2.38c
   vyāptāntarāḥ sāndrakutūhalānām Ragh_7.11b	vyApta antarAH sAndra kutUhalAnAm RaG_7.11b
   vyālīva malayadrumam Ragh_12.32d	vyAlI iva malaya drumam Rau _12.32d
   vyāvartatānyopagamāt kumārī Ragh_6.69b	vyAvartatA anya upagamAt kumArI RaG_6.69b
   vyāvartayitum īśvaraḥ Ragh_15.7d	vyAvartayitum ISvaraH Rau _15.7d
   vyāvṛtta yat parasvebhyaḥ Ragh_1.27c	vyAvRtta yat para sveByaH RaG_1.27c
   vyāsaktakeśāni cireṇa petuḥ Ragh_7.46d	vyAsakta keSAni cireNa petuH RaG_7.46d
   vyāhanyamānahariṇīgamanaṃ purastāt Ragh_9.55b	vyAhanyamAna hariNI gamanam purastAt RaG_9.55b
   vyutkramya lakṣmaṇam ubhau bharato vavande Ragh_13.72d	vyutkramya lakzmaNam uBO BarataH vavande Rau _13.72d
   vyūḍhorasko vṛṣaskandhaḥ Ragh_1.13a	vyUXa uraskaH vRza skanDaH RaG_1.13a
   vyūhāv ubhau tāv itaretarasmād Ragh_7.54a	vyUhO uBO tO itaretarasmAt RaG_7.54a
   vyūhya sthitaḥ kiṃcid ivottarārdham Ragh_18.51a	vyUhya sTitaH kiMcid iva uttara arDam RaG_18.51a
   vyomagaṅgormivāyubhiḥ Ragh_12.85b	vyomagaFgA Urmi va ayuBiH RaG_12.85b
   vyoma paścimakalāsthitendu vā Ragh_19.51a	vyoma paScima kalA sTita indu vE RaG_19.51a
   vyomni saṃbādhavartibhiḥ Ragh_12.67d	vyomni saMbADa vartiBiH Rau _12.67d
   vrajatoḥ śuddhaveṣayoḥ Ragh_1.46b	vrajatoH SudDa vezayoH RaG_1.46b
   vrajanti karṇa kṣaṇacāmaratvam Ragh_13.11d	vrajanti karNa kzaNa cAmara tvam Rau _13.11d
   vraṇagurupramadādharaduḥsahaṃ Ragh_9.28a	vraNa guru pramadA Dara duHsaham RaG_9.28a
   vraṇair āvedya saṃsthitaḥ Ragh_12.55d	vraNEH Avedya saMsTitaH Rau _12.55d
   vratāya tenānucareṇa dhenor Ragh_2.4a	vratAya tena anucareNa DenoH RaG_2.4a
   vrīḍam āvahati me sa saṃprati Ragh_11.73c	vrIxam Avahati me sa saMprati Rau _11.73c
   vrīḍayāvanataṃ śiraḥ Ragh_15.27d	vrIxayA avanatam SiraH Rau _15.27d
   śakeṣv evābhavad yātrā Ragh_17.56a	Sakezu eva aBavat yAtrA RaG_17.56a
   śaktimattvāc cakāra saḥ Ragh_4.31d	Saktimat tvAt cakAra saH Rau _4.31d
   śaktyādīnāṃ balābalam Ragh_17.59b	Sakti AdInAm balAbalam RaG_17.59b
   śaktyā vakṣasi lakṣmaṇam Ragh_12.77b	SaktyA vakzasi lakzmaNam RaG_12.77b
   śakyo 'sya manyur bhavatā vinetuṃ Ragh_2.49c	SakyaH asya manyuH BavatA vinetum RaG_2.49c
   śakrābhyasūyāvinivṛttaye yaḥ Ragh_6.74d	Sakra aByasUyA vinivRttaye yaH Rau _6.74d
   śaṅkanīyām ivākarot Ragh_4.45d	SaFkanIyAm iva akarot Rau _4.45d
   śaṅke hanūmatkathitapravṛttiḥ Ragh_13.64c	SaFke hanUmat kaTita pravRttiH RaG_13.64c
   śaṅkhasvanābhijñatayā nivṛttās Ragh_7.64a	SaFKa svana aBijQa tayA nivRttAH RaG_7.64a
   śacyāś ciraṃ pāṇdukapolalambān Ragh_6.23c	SacyAH ciram pANdu kapola lambAn RaG_6.23c
   śataghnīm atha śatrave Ragh_12.95b	SataGnIm aTa Satrave RaG_12.95b
   śatamakhaṃ tam akhaṇḍitapauruṣam Ragh_9.13d	Sata maKam tam aKaNxita pOruzam RaG_9.13d
   śataṃ kratūnā apavighnam āpa saḥ Ragh_3.38d	Satam kratUnA apaviGnam Apa saH Rau _3.38d
   śatrughātini śatrughnaḥ Ragh_15.36a	Satru GAtini SatruGnaH RaG_15.36a
   śatrughnaprativihitopakāryam āryaḥ Ragh_13.79c	SatruGna prativihita upakAryam AryaH RaG_13.79c
   śatrughnena sa tāḍitaḥ Ragh_15.22b	SatruGnena sa tAxitaH RaG_15.22b
   śatruṣu praṇatir eva kīrtaye Ragh_11.89d	Satruzu praNatiH eva kIrtaye Rau _11.89d
   śabda uccarita eva mām agāt Ragh_11.73b	SabdaH uccaritaH eva mAm agAt RaG_11.73b
   śabdapātinam iṣuṃ visasarja Ragh_9.73d	Sabda pAtinam izum visasarjaH Rau _9.73d
   śabdādi nirviśya sukhaṃ cirāya Ragh_18.3a	Sabda Adi nirviSya suKam cirAya RaG_18.3a
   śabdādīn viṣayān bhoktuṃ Ragh_10.26a	Sabda AdIn vizayAn Boktum RaG_10.26a
   śabdo mahārāja iti pratītas Ragh_18.42c	SabdaH mahA rAjaH iti pratItaH RaG_18.42c
   śamayāṃ āsa dhanvinaḥ Ragh_15.85d	SamayAm Asa DanvinaH Rau _15.85d
   śamayitre suradviṣām Ragh_10.15b	Samayitre sura dvizAm RaG_10.15b
   śamarate 'maratejasi pārthive Ragh_9.4d	Sama rate amara tejasi pArTive Rau _9.4d
   śamavelāpralayormiṇā muniḥ Ragh_8.80d	Sama velA pralaya UrmiNA muniH Rau _8.80d
   śamitapakṣabalaḥ śitakoṭinā Ragh_9.12a	Samita pakza balaH Sita kowinA RaG_9.12a
   śamitādhir adhijyakārmukaḥ Ragh_8.27c	Samita ADiH aDijya kArmukaH RaG_8.27c
   śamīm ivābhyantaralīnapāvakām Ragh_3.9b	SamIm iva aByantara lIna pAvakAm RaG_3.9b
   śayyāgatena rāmeṇa Ragh_10.70a	SayyA gatena rAmeNa RaG_10.70a
   śayyāgṛhe suptajane prabuddhaḥ Ragh_16.4b	SayyA gRhe supta jane prabudDaH RaG_16.4b
   śayyāṃ jahaty ubhayapakṣavinītanidrāḥ Ragh_5.72a	SayyAm jahati uBaya pakza vinIta nidrAH RaG_5.72a
   śayyottaracchadavimardakṛśāṅgarāgam Ragh_5.65b	SayyA uttaracCada vimarda kRSa aFgarAgam RaG_5.65b
   śaraṇyam enaṃ śataśo mahīdhrāḥ Ragh_13.7b	SaraNyam enam SataSas mahIDrAH RaG_13.7b
   śaraṇyaṃ śaraṇārthinaḥ Ragh_15.2d	SaraNyam SaraNa arTinaH Rau _15.2d
   śaratkāla ivendunā Ragh_15.54d	Sarad kAle iva indunA Rau _15.54d
   śarat paṅkajalakṣaṇā Ragh_4.14d	Sarad paFkaja lakzaNAH Rau _4.14d
   śaratpramṛṣṭāmbudharoparodhaḥ Ragh_6.44c	Sarad pramRzwa ambuDara uparoDaH RaG_6.44c
   śaratprasannair jyotirbhir Ragh_17.35c	Sarad prasannEH jyotirBiH RaG_17.35c
   śaradām ayutaṃ yayau Ragh_10.1d	SaradAm ayutam yayO RaG_10.1d
   śaradām ayutaṃ yayau Ragh_10.2d	SaradAm ayutam yayO RaG_10.2d
   śaradghanaṃ nārdati cātako 'pi Ragh_5.17d	Sarad Ganam na ardati cAtakaH api Rau _5.17d
   śaraṃ savyetare bhuje Ragh_12.90d	Saram savya itare Buje Rau _12.90d
   śarāvatyāṃ satāṃ sūktair Ragh_15.97c	SarAvatyAm satAm sUktEH RaG_15.97c
   śarāsanajyānikaṣau bhujābhyām Ragh_6.55*b	SarAsana jyA nikazO BujAByAm RaG_6.55*b
   śarāsanajyām alunād viḍaujasaḥ Ragh_3.59d	SarAsana jyAm alunAt vixa ojasaH RaG_3.59d
   śarīratyāgamātreṇa Ragh_12.10c	SarIra tyAga mAtreNa RaG_12.10c
   śarīrabandhena tirobabhūva Ragh_16.23d	SarIra banDena tirobaBUva Rau _16.23d
   śarīramātreṇa narendra tiṣṭhann Ragh_5.15a	SarIra mAtreNa narendra tizWan RaG_5.15a
   śarīrasādād asamagrabhūṣaṇā Ragh_3.2a	SarIra sAdAt asamagra BUzaNAH RaG_3.2a
   śareṇa śakrasya mahāśanidhvajam Ragh_3.56b	SareNa Sakrasya mahA aSani Dvajam RaG_3.56b
   śarair utsavasaṃketān Ragh_4.78a	SarEH utsava saMketAn RaG_4.78a
   śarair usrair ivodīcyān Ragh_4.66c	SarEH usrEH iva udIcyAn RaG_4.66c
   śalyaniṣkarṣaṇauṣadham Ragh_12.97d	Salya nizkarzaNa OzaDam Rau _12.97d
   śalyaprotaṃ prekṣya sakumbhaṃ muniputraṃ Ragh_9.75c	Salya protam prekzya sa kumBam muni putram RaG_9.75c
   śalyaṃ nikhātam udahārayatām urastaḥ Ragh_9.78b	Salyam niKAtam udahArayatAm urastaH RaG_9.78b
   śaśaṃsa tulyasattvānāṃ Ragh_4.72a	SaSaMsa tulya sattvAnAm RaG_4.72a
   śaśaṃsa vācā punaruktayeva Ragh_2.68d	SaSaMsa vAcA punaruktayA iva RaG_2.68d
   śaśaṃsa sītāparidevanāntam Ragh_14.83c	SaSaMsa sItA paridevana antam RaG_14.83c
   śaśaṃsur devadāravaḥ Ragh_4.76d	SaSaMsuH devadAravaH RaG_4.76d
   śaśāka nirvāpayituṃ na vāsavaḥ Ragh_3.58c	SaSAka nirvApayitum na vAsavaH RaG_3.58c
   śaśāka śālīnatayā na vaktum Ragh_6.81b	SaSAka SAlIna tayA na vaktum RaG_6.81b
   śaśāṅkam iva kaumudī Ragh_17.6d	SaSAFkam iva kOmudI Rau _17.6d
   śaśāma tena kṣitipālalokaḥ Ragh_7.3d	SaSAma tena kzitipAla lokaH Rau _7.3d
   śaśāma vṛṣṭyāpi vinā davāgnir Ragh_2.14a	SaSAma vRzwyA api vinA dava agniH RaG_2.14a
   śaśāsa pṛthvīṃ sakalāṃ nṛsomaḥ Ragh_18.19*d	SaSAsa pRTvIm sakalAm nR somaH Rau _18.19*d
   śaśāsaikapurīm iva Ragh_1.30d	SaSAsa eka purIm iva RaG_1.30d
   śaśinam upagateyaṃ kaumudī meghamuktaṃ Ragh_6.85a	SaSinam upagatA iyam kOmudI meGam uktam RaG_6.85a
   śaśinaṃ punar eti śārvarī Ragh_8.56a	SaSinam punar eti SArvarI RaG_8.56a
   śaśiprabhaṃ chattram ubhe ca cāmare Ragh_3.16d	SaSi praBam Cattram uBe ca cAmare Rau _3.16d
   śaśīva paryāptakalo nalinyāḥ Ragh_6.44d	SaSI iva paryApta kalaH nalinyAH Rau _6.44d
   śaśvat sūrya ivoditaḥ Ragh_17.74d	SaSvat sUryaH iva uditaH Rau _17.74d
   śaśvad ūcur aghaśaṅkinīḥ prajāḥ Ragh_19.52d	SaSvat UcuH aGa SaFkinIH prajAH Rau _19.52d
   śastrakṣatāśvadvipavīrajanmā Ragh_7.42c	Sastra kzata aSva dvipa vIra janmA RaG_7.42c
   śastreṇa rakṣyaṃ yad aśakyarakṣaṃ Ragh_2.40c	SastreNa rakzyam yat aSakya rakzam RaG_2.40c
