   // śrīḥ //	// SrIH //
   śukasaptatiḥ //	SukasaptatiH //
   tadrduḥkhaśamanaṃ kartuṃ vetsi cecchakaṭālavat // Suk_63.1 (=306) //	tad-rduHKa-Samanam kartum vetsi cecCa-kawAla-vat // Suc-_63.1 (=306) //
   yathā śakaṭālena nijakuṭumbabharaṇāya samudbhavadduḥkhaṃ	yaTA SakawAlena nija-kuwumba-BaraNAya samudBavat-duHKam
   cāṇakyapārśvannandakulamucchedya duḥkhaśamanaṃ kṛtaṃ tathā	cANakya-pArSvannanda-kulam-ucCedya duHKa-Samanam kRtam taTA
   tvameva.................... tasmāttava paragṛhaṃ gantuṃ na yujyate /	tvam-eva.................... tasmAt-tava para-gRham gantum na yujyate /
   uktañca-	uktaQca-
   uḍugaṇaparivāro nāyako 'pyoṣadhīnāmamṛtamayaśarīraḥ kāntiyukto 'pi candraḥ	uxu-gaNa-parivAraH nAyakaH api-ozaDInAm-amRta-maya-SarIraH kAnti-yuktaH api candraH
   bhavati vikalamūrtirmaṇḍalaṃ prāpya bhānoḥ parasadananiviṣṭaḥ ko na dhatte	Bavati vikala-mUrtiH-maNxalam prApya BAnoH para-sadana-nivizwaH kaH na Datte
   laghutvam // Suk_63.2 (=307) //	laGu-tvam // Suc-_63.2 (=307) //
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau triṣaṣṭitamī kathā //	iti Suka-saptatO trizazwitamI kaTA //
   START Suk 64:	START Suc 64:
   anyadā prabhāvatī śukamāpṛcchati sma /	anyadA praBAvatI Sukam-ApRcCati sma /
   so 'pyāha-	saH api-Aha-
   gaccha cedviṣame vetsi kartuṃ kiñcitkṛśodari /	gacCa ced-vizame vetsi kartum kiQcid-kRSa-udari /
   kṛtaṃ devikayā yadvatsakhījāravimuktaye // Suk_64.1 (=308) //	kRtam devikayA yadvat-saKI-jAra-vimuktaye // Suc-_64.1 (=308) //
   prabhāvatī prāha-kathametat? śukaḥ asti kūṭapurābhidho grāmaḥ /	praBAvatI prAha-kaTam-etat? SukaH asti kUwapura-aBiDaH grAmaH /
   rājaputraḥ somarājaḥ /	rAja-putraH somarAjaH /
   tasya maṇḍukā nāma patnī priyadarśanā narāntaralolupā /	tasya maNxukA nAma patnI priya-darSanAH nara-antara-lolupA /
   tāñcaiko naraḥ kṛtasaṃketaḥ saghaṇṭako rātrau gṛhāṅgaṇe bhuṅkte /	tAQca-ekaH naraH kRta-saMketaH sa-GaNwakaH rAtrO gRha-aFgaNe BuFkte /
   tatpatirghaṇṭāśabdaṃ śṛṇvannekadā laguḍamādāya pradhāvitaḥ ṣaṇḍaśaṅkayā /	tad-patiH-GaNwA-Sabdam SRNvan=-ekadA laguxam-AdAya praDAvitaH zaNxa-SaFkayA /
   tataḥ ṣaṇḍaveśadhārī upapatiḥ /	tatas zaNxa-veSa-DArI upapatiH /
   kathaṃ bhavitviti praśnaḥ /	kaTam Bavitu-iti praSnaH /
   śukaḥ-devikā nāma sakho maṇḍukāyāḥ patiṃ ghaṇṭāśabdānusāriṇamāgacchantaṃ	SukaH-devikA nAma saKaH maNxukAyAH patim GaNwA-Sabda-anusAriNam-AgacCantam
   dṛṣṭvā jārasya naśyato ghaṇṭātālāṃ haste dhṛtvā taṃ prati jagāda bhāvuka!	dRzwvA jArasya naSyataH GaNwA-tAlAm haste DRtvA tam prati jagAda BAvuka!
   kāndiśīko vṛṣo naṣṭaḥ /	kAndiSIkaH vRzaH nazwaH /
   tataḥ sa vyāvṛtya nijapauruṣaṃ patnyai kathayāmāsa /	tatas sa vyAvRtya nija-pOruzam patnyE kaTayAmAsa /
   iti katāṃ śrutvā prabhāvatī suptā /	iti ka-tAm SrutvA praBAvatI suptA /
   iti śukasaptatau catuḥṣaṣṭitamī kathā //	iti Suka-saptatO catuHzazwitamI kaTA //
   START Suk 65:	START Suc 65:
   anyadā prabhāvatī śukaṃ pṛcchati /	anyadA praBAvatI Sukam pRcCati /
   śukaḥ-	SukaH-
   yujyate gamanaṃ devi tava tatra prabhāvati /	yujyate gamanam devi tava tatra praBAvati /
   vetsi cedviṣame vaktuṃ sitavastra ivākulaḥ // Suk_65.1 (=309) //	vetsi ced-vizame vaktum sita-vastraH iva-AkulaH // Suc-_65.1 (=309) //
   asti devi janasthānaṃ nāma pattanam /	asti devi janasTAnam nAma pattanam /
   tatra nandano nāma rājā yathārthaḥ /	tatra nandanaH nAma rAjA yaTArTaH /
   tatpattane śrīvatso nāma śrāvakaḥ paraṃ maheśvararataḥ /	tad-pattane SrIvatsaH nAma SrAvakaH param maheSvara-rataH /
   tena anyadā vāraṇasīṃ nagarīṃ prati prasthitena saśiṣyena pathi gacchatā /	tena anyadA vAraNasIm nagarIm prati prasTitena sa-Sizyena paTi gacCatA /
   ekaḥ śiṣyaḥ māṃsaharaṇāya sthāpitaḥ /	ekaH SizyaH mAMsa-haraNAya sTApitaH /
   anyaśrāvakairdṛṣṭaḥ sa kathaṃ bhavatviti praśnaḥ /	anya-SrAvakEH-dRzwaH sa kaTam Bavatu-iti praSnaH /
   śukaḥ prāha-yadā sarvaśrāvakā āgatyopaviṣṭāḥ tadāṭṭahāsaṃ jahāsa /	SukaH prAha-yadA sarva-SrAvakAH Agatya-upavizwAH tadA-awwahAsam jahAsa /
   pṛṣṭaḥ sarvairjagādar-idṛśo 'yaṃ śiṣya- /	pRzwaH sarvEH-jagAdar-idRSaH ayam Sizya /
   mayoktaṃ māṃ saṃvartata abuddhyā anena māṃsasya........ /	mayA-uktam mAm saMvartata abudDyA anena mAMsasya........ /
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau pañcaṣaṣṭitamī kathā //	iti Suka-saptatO paQca-zazwitamI kaTA //
   START Suk 66:	START Suc 66:
   anyadā sā prabhāvatī calitā śukaṃ pṛcchati /	anyadA sA praBAvatI calitA Sukam pRcCati /
   śukaḥ-	SukaH-
   gaccha devi na kartavyo vilambaḥ puṇyakarmaṇi /	gacCa devi na kartavyaH vilambaH puNya-karmaNi /
   yadi vetsi bhaye kartuṃ subuddhirhaṃsarāḍiva // Suk_66.1 (=310) //	yadi vetsi Baye kartum su-budDiH-haMsarAj-iva // Suc-_66.1 (=310) //
   asti devi dharāpṛṣṭhe ramyaṃ kṣīṇanarākulam /	asti devi DarA-pRzWe ramyam kzINa-nara-Akulam /
   daśayojanavistīrṇaṃ vanaṃ vihagavallabham // Suk_66.2 (=311) //	daSa-yojana-vistIrNam vanam vihaga-vallaBam // Suc-_66.2 (=311) //
   tatra gavyūtivistīrṇe śītacchāye jalāśayatīrasthite vaṭe śaṅkhadhavalo	tatra gavyUti-vistIrNe SIta=-CAye jalASaya-tIra-sTite vawe SaFKa-Davalo
   nāma haṃsarāṭ sakuṭumbo medinīṃ bhrāntvā dinātyaye śete /	nAma haMsa-rAj sa-kuwumbaH medinIm BrAntvA dina-atyaye Sete /
   anyadā teṣu haṃseṣu bhramaṇāya gateṣu pāparddhinā jālaṃ baddham /	anyadA tezu haMsezu BramaNAya gatezu pApa-RdDinA jAlam badDam /
   pradoṣāgatāḥ patitāḥ sarve 'pi kathaṃ mucyante-iti praśnaḥ /	pradoza-AgatAH patitAH sarve api kaTam mucyante--iti praSnaH /
   śukaḥ-tatastu svaṃ kuṭumbaṃ tathā baddhaṃ jñātvā rātrau śaṅkhadhavalaḥ	SukaH-tatas-tu svam kuwumbam taTA badDam jQAtvA rAtrO SaFKa-DavalaH
   prāha-re re putrāḥ! yādasau lubdhakaḥ prātarbhūruhaṃ samāruhya	prAha-re re putrAH! yAdasO lubDakaH prAtar-BUruham samAruhya
   yuṣmānavalokayati tadā bhavadbhirmṛtakalpairucchvāsaniḥśvāsarahitaiḥ	yuzmAn-avalokayati tadA BavadBiH-mRta-kalpEH-ucCvAsa-niHSvAsa-rahitEH
   sthātavyam /	sTAtavyam /
   so 'pi yuṣmānmṛtāniti jñātvā yadā bhūmau sarvān kṣipati tadā	saH api yuzmAn-mRtAn-iti jQAtvA yadA BUmO sarvAn kzipati tadA
   sarvairapyuḍḍīya gantavyam /	sarvEH-api-uxxIya gantavyam /
   iti kṛte lubdhakaḥ prātaḥ samāyayau /	iti kRte lubDakaH prAtar samAyayO /
   tena te mṛtā iti jñātvā bhūmau kṣiptāstadā te uḍḍīya kāṅkṣitaṃ deśaṃ yayuḥ	tena te mRtAH iti jQAtvA BUmO kziptAH-tadA te uxxIya kAFkzitam deSam yayuH
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau ṣaṭṣaṣṭitamī kathā //	iti Suka-saptatO zawzazwitamI kaTA //
   START Suk 67:	START Suc 67:
   anyadā calitā prabhāvatī śukaṃ pṛcchati sma /	anyadA calitA praBAvatI Sukam pRcCati sma /
   śukaḥ-	SukaH-
   atha cedyāsi kāmārtā yāhi bhīru gatā satī /	aTa ced-yA-asi kAma-ArtA yAhi BIru gatA satI /
   plavaṅgama ivātmīyaṃ vaktuṃ vetsi yathāhitam // Suk_67.1 (=312) //	plavaFgamaH iva-AtmIyam vaktum vetsi yaTA-ahitam // Suc-_67.1 (=312) //
   asti puṣpākaraṃ nāma vanam /	asti puzpAkaram nAma vanam /
   tatra vanapriyo nāma vāmanavānaraḥ /	tatra vanapriyaH nAma vAmana-vAnaraH /
   sa kadācitsamudrāntamaryādājale luṭhantaṃ makaraṃ dṛṣṭvā prāha-"mitra! kiṃ	sa kadAcid-samudra-anta-maryAdA-jale luWantam makaram dRzwvA prAha-"mitra! kim
   jīvitanirviṇṇastvaṃ yadadya dharābhūmau samāgataḥ' /	jIvita-nirviNNaH-tvam yat-adya DarA-BUmO samAgataH-a /
   iti vacaḥ śrutvā makaro 'pyāha-	iti vacaH SrutvA makaraH api-Aha-
   yasya yadvihitaṃ sthānaṃ yasya yadvetanaṃ kṛtam /	yasya yat-vihitam sTAnam yasya yat-vetanam kRtam /
   tatraiva ramate cittaṃ tasya nānyatra vānara // Suk_67.2 (=313) //	tatra-eva ramate cittam tasya na-anyatra vAnaraH // Suc-_67.2 (=313) //
   uktañca-	uktaQca-
   sarvasvarṇamayī laṅkā na me lakṣmaṇa rocate /	sarva-svarNa-mayI laFkA na me lakzmaNa rocate /
   pitṛkramāgatāyodhyā nirdhanāpi sukhāyate // Suk_67.3 (=314) //	pitR-krama-Agata-ayoDyA nirDanA-api suKAyate // Suc-_67.3 (=314) //
   jaṇaṇīṃ jammaṇabhūmiṃ piasaṃgaṃ jīviaṃ dhaṇāsaṃghaṃ /	jaNaNIm jammaNa-BUmim piasaMgam jIviam DaNA-saMGam /
   pacchimaṇiddā virikāmiṇiṃ ca dukkhehi muñcanti // Suk_67.4 (=315) //	pacCimaNiddAH virikAmiNim ca dukKa-ihi muQcanti // Suc-_67.4 (=315) //
   [jananīṃ janmabhūmiṃ priyasaṅgaṃ jīvitaṃ dhanāsaṅgam /	[jananIm janma-BUmim priya-saFgam jIvitam Dana-AsaFgam /
   paścimanidrāṃ varakāminīñca duḥkhena muñcanti] // Suk_67.4* (=315*) //	paScima-nidrAm vara-kAminIQca duHKena muQcanti] // Suc-_67.4* (=315*) //
   tadahaṃ saphalajanmā saṃvṛttastvadīyadarśanena /	tat-aham saPala-janmA saMvRttaH-tvadIya-darSanena /
   uktañca-	uktaQca-
   sādhūnāṃ darśanaṃ puṇyaṃ tīrthabhūtā hi sādhavaḥ /	sADUnAm darSanam puNyam tIrTa-BUtAH hi sADavaH /
   tīrthaṃ phalati kālena sadyaḥ sādhusamāmamaḥ // Suk_67.5 (=316) //	tIrTam Palati kAlena sadyas sADu-samAmamaH // Suc-_67.5 (=316) //
   tasmātsthalotpannaḥ prāṇivargastu dhanyo yatra bhavādṛsaśāḥ priyavādino	tasmAt-sTala-utpannaH prANi-vargaH-tu DanyaH yatra Bava-adRsaSAH priya-vAdinaH-
   vartante /	vartante /
   iti śrutvā vānara āha-"aho makara! tvamadyaprabhṛti me prāṇādhikaṃ mitram	iti SrutvA vAnaraH Aha-"ahaH makara! tvam-adya-praBRti me prANa-aDikam mitram
   tvameva sauhṛdyavacasāṃ vaktā /	tvam-eva sOhRdya-vacasAm vaktA /
   uktañca- yataḥ satāṃ sannatagātri saṅgataṃ manīṣibhiḥ sāptapadīnasucyate /	uktaQca yatas satAm sannata-gAtri saFgatam manIziBiH sAptapadInasucyate /
   ityuktvā punaḥ prāha-mitra! tvamadyātithirasmākaṃ bhava' /	iti-uktvA punar prAha-mitra! tvam-adya-atiTiH-asmAkam Bava-a /
   iti bhaṇitvā amṛtasadṛśāni pakvaphalāni dadau /	iti BaNitvA amRta-sadRSAni pakva-PalAni dadO /
   tataḥ prabhṛti pratidinaṃ kadalīphalāni yacchati /	tatas praBRti pratidinam kadalI-PalAni yacCati /
   makaro 'pi nijadayitāyā arpayati /	makaraH api nija-dayitAyAH arpayati /
   sā ca patiṃ tatphalavṛttāntaṃ pṛcchati /	sA ca patim tad-Pala-vRttAntam pRcCati /
   sa ca sarvaṃ yathāsthitaṃ nivedayati /	sa ca sarvam yaTAsTitam nivedayati /
   tataḥ sā garbhānubhāvataścintayāmāsa-"yo vānaro nityamīdṛśāni phalāni	tatas sA garBa-anuBAvataH-cintayAmAsa-"yaH vAnaraH nityam-IdRSAni PalAni
   bhuṅkte tasyaurasyaṃ māṃsamamṛtopamaṃ syāt' /	BuFkte tasya-Orasyam mAMsam-amRta-upamam syAt-a /
   iti vicintya patiṃ prāha-"mama garbhānubhāvato vānarahṛdayapiśitabhakṣaṇe	iti vicintya patim prAha-"mama garBa-anuBAvataH vAnara-hRdaya-piSita-BakzaNe
   dohado vidyate /	dohadaH vidyate /
   tadyadi pūrayasi tadā jīvāmi anyathāsaṃśayaṃ mama mṛtyurbhaviṣyati' /	tat-yadi pUrayasi tadA jIvAmi anyaTA-saMSayam mama mRtyuH-Bavizyati-a /
   iti śrutvā dayitāgrahācca samudrataṭamāgatya vānaraṃ prāha-"mitra!	iti SrutvA dayitA-grahAt-ca samudra-tawam-Agatya vAnaram prAha-"mitra!
   tvadīyabhrātuḥ priyā tvāmākārayati /	tvadIya-BrAtuH priyA tvAm-AkArayati /
   asmadīyo gṛhopacāro vilokanīyaḥ' /	asmadIyaH gRha-upacAraH vilokanIyaH-a /
   ityuktvā viśvāsya pṛṣṭhe cāropya pracalitaḥ /	iti-uktvA viSvAsya pRzWe ca-Aropya pracalitaH /
   vānarastaṃ gacchantaṃ śaṅkitaḥ prāha-tatra gatena mayā kiṃ videyam?	vAnaraH-tam gacCantam SaFkitaH prAha-tatra gatena mayA kim videyam-?
   ityākarṇya makareṇa cintitam-"vānaro 'sau tasmātsthānānmayā nītaḥ	iti-AkarNya makareNa cintitam--"vAnaraH asO tasmAt-sTAnAt-mayA nItaH
   kathamambhonidhitaṭaṃ yāsyati, tasmātkathayāmi'-ityavadhārya yathāsthitaṃ	kaTam-amBoniDi-tawam yAsyati, tasmAt-kaTayAmi-a-iti-avaDArya yaTAsTitam
   jagāda /	jagAda /
   tato vānaraḥ kathaṃ bhavatviti praśnaḥ /	tatas vAnaraH kaTam Bavatu-iti praSnaH /
   śukaḥ-vānaraḥ prāha-bho makara! tarhi tvaṃ māṃ tatra vṛthā nayasi yato	SukaH-vAnaraH prAha-BaH makara! tarhi tvam mAm tatra vRTA nayasi yatas-
   'haṃ hṛdayahīno bhavāmi /	aham hRdaya-hInaH BavAmi /
   mama hṛdayaṃ mama pārśve nāsti /	mama hRdayam mama pArSve na-asti /
   makaraḥ-kva muktaṃ tvayā /	makaraH-kva muktam tvayA /
   vānaraḥ-mitra! kiṃ na śrutaṃ tvayā?	vAnaraH-mitra! kim na Srutam tvayA?
   sarvadodumbaro vṛkṣe hṛdayaṃ vṛṭabhūruhe /	sarva-dA-udumbaraH vRkze hRdayam vRwa-BUruhe /
   cittamasti gṛhītvā tadāgacchāmi punarjalam // Suk_67.6 (=317) //	cittam-asti gRhItvA tat-AgacCAmi punar-jalam // Suc-_67.6 (=317) //
   ityukte tadā makaro mūrkhaḥ samudrāntamāyayau /	iti-ukte tadA makaraH mUrKaH samudra-antam-AyayO /
   vānaro 'pi tatpṛṣṭhataḥ samuttīrya śākhinamārohati sma /	vAnaraH api tad-pRzWatas samuttIrya SAKinam-Arohati sma /
   tato makaraṃ jagāda gaccha /	tatas makaram jagAda gacCa /
   nāhaṃ bhāvadṛśairatrastho gṛhītuṃ śakyaḥ /	na-aham BAva-dRSEH-atrasTaH gRhItum SakyaH /
   jalajantucarairnityaṃ jalamārgānusāribhiḥ /	jala-jantu-carEH-nityam jala-mArga-anusAriBiH /
   sthalajaiḥ saṃgatirna syāt dhruveti munibhāṣitam // Suk_67.7 (=318) //	sTala-jEH saMgatiH-na syAt Druva-iti muni-BAzitam // Suc-_67.7 (=318) //
   iti nirbhartsito vānareṇa makaraḥ svagṛhaṃ yayau /	iti nirBartsitaH vAnareNa makaraH sva-gRham yayO /
   uktañca-	uktaQca-
   utpannā yuktikāryeṣu buddhiryasya na hīyate /	utpannA yukti-kAryezu budDiH-yasya na hIyate /
   sa eva tarate durgaṃ jalānte vānaro yathā // Suk_67.8 (=319) //	saH eva tarate durgam jala-ante vAnaraH yaTA // Suc-_67.8 (=319) //
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau saptaṣaṣṭitamī kathā //	iti Suka-saptatO sapta-zazwitamI kaTA //
   START Suk 68:	START Suc 68:
   athānyedyuḥ śukaṃ prāha prabhāvatī /	aTa-anyedyus Sukam prAha praBAvatI /
   śukaḥ-	SukaH-
   yāhi devi sukhaṃ bhuṅkṣva yadi te 'sti sahāyinī /	yAhi devi suKam BuFkzva yadi te asti sahAyinI /
   vitarkasadṛśī kāle viṣame varavarṇini // Suk_68.1 (=320) //	vitarka-sadRSI kAle vizame varavarNini // Suc-_68.1 (=320) //
   asti vidyāsthānaṃ nāma grāmaḥ brāhmaṇānām /	asti vidyAsTAnam nAma grAmaH brAhmaNAnAm /
   tatra keśavo brāhmaṇaḥ /	tatra keSavaH brAhmaNaH /
   tena ca snānāya gatena taṭāke ramyā vaṇikputrī dṛṣṭā /	tena ca snAnAya gatena tawAke ramyA vaNij-putrI dRzwA /
   sa ca tāṃ rantumicchati /	sa ca tAm rantum-icCati /
   anyadā tayā prokto dvijaḥ snānādutthitaḥ-"yattvaṃ mama śirasi dvitīyaṃ	anyadA tayA proktaH dvijaH snAnAt-utTitaH-"yat-tvam mama Sirasi dvitIyam
   ghaṭamāropaya' /	Gawam-Aropaya-a /
   atastena ghaṭamāropayatā tasyā oṣṭhaścumbitaḥ sa ca tathā kurvan patinā	atas-tena Gawam-AropayatA tasyAH ozWaH-cumbitaH sa ca taTA kurvan patinA
   dṛṣṭaḥ /	dRzwaH /
   nīto rājakulaṃ kathaṃ mucyatām iti praśnaḥ /	nItaH rAja-kulam kaTam mucyatAm iti praSnaH /
   uttaraṃ śukaḥ prāha-atha tanmitraṃ vitarko nāma /	uttaram SukaH prAha-aTa tat-mitram vitarkaH nAma /
   sa ca tatsamīpamāgagatyedamabravīt-"mitra! tvayā rājakulagatena	sa ca tad-samIpam-Aga-gatya-idam-abravIt-"mitra! tvayA rAja-kula-gatena
   vacacevatyeva vākyaṃ jalpanīyaṃ nānyat /	vacacevati-eva vAkyam jalpanIyam na-anyat /
   tathā kṛte ca mantriṇoktam-"nāyaṃ doṣabhāk /	taTA kRte ca mantriNA-uktam--"nAyam doza-BAj /
   prakṛtirevaṃvidhaivāsya /	prakRtiH-evaMviDA-eva-asya /
   tenaiva cottareṇa loke sādhutāṃ gato vitarkasāhāyikabuddhyā /	tena-eva ca-uttareNa loke sADu-tAm gataH vitarka-sAhAyika-budDyA /
   yadi tvamapi tathā jānāsi tadā gaccha /	yadi tvam-api taTA jAnAsi tadA gacCa /
   iti kathāṃ śrutvā prabhāvatī supta /	iti kaTAm SrutvA praBAvatI suptaH /
   iti śukasaptatau aṣṭaṣṭitamī kathā //	iti Suka-saptatO azwazwitamI kaTA //
   START Suk 69:	START Suc 69:
   anyadā prabhāvatī śukaṃ pṛcchati /	anyadA praBAvatI Sukam pRcCati /
   śukaḥ prāha-	SukaH prAha-
   kuru jāraṃ viśālākṣi vijāraṃ kuruṣe yadi /	kuru jAram viSAla-akzi vijAram kuruze yadi /
   yathā vejikayā pūrvamardhasnāte patau kṛtam // Suk_69.1 (=321) //	yaTA vejikayA pUrvam-arDa-snAte patO kRtam // Suc-_69.1 (=321) //
   asti sthānaṃ kalāsthānaṃ nāma /	asti sTAnam kalAsTAnam nAma /
   tatraiko vaṇiksutaḥ tasya bhāryā ca vejikā nāmātivallabhā /	tatra-ekaH vaNij-sutaH tasya BAryA ca vejikA nAma-ativallaBA /
   anyadā ca taṃ bhartāraṃ snāpayantī upapatiṃ pūrvakṛtasaṅkenaṃ pathi	anyadA ca tam BartAram snApayantI upapatim pUrva-kRta-saFkenam paTi
   gacchataṃ dṛṣṭvā nātra pānīyaṃ pracuramiti miṣāntaraṃ kṛtvā	gacCatam dRzwvA na-atra pAnIyam pracuram-iti miza-antaram kRtvA
   pānīyānayanavyājādgṛhānnirgatā jāreṇa sākaṃ bahukālaṃ ca sthitā /	pAnIya-Anayana-vyAjAt-gRhAt-nirgatA jAreNa sAkam bahu-kAlam ca sTitA /
   tato 'rdhasnātaṃ patiṃ muktvā tathā sthitā kumuttaraṃ karotviti praśnaḥ /	tatas arDa-snAtam patim muktvA taTA sTitA kumuttaram karotu-iti praSnaH /
   uttaram- śukaḥ tataḥ jāreṇa bhuktā svapativañcanaṃ vicintyātmānaṃ kūpe	uttaram SukaH tatas jAreNa BuktA sva-pati-vaQcanam vicintya-AtmAnam kUpe
   cikṣepaḥ /	cikzepaH /
   tataḥ kolāhalaḥsaṃvṛttaḥ /	tatas kolAhalaH-saMvRttaH /
   kūpe kāpi varākī patitāstīti pravādaḥ sañjātaḥ /	kUpe kA-api varAkI patitA-asti-iti pravAdaH san-jAtaH /
   tena tatpatistadvacanaṃ śrutvā vyacintayat-nūnaṃ sā matpatnī kūpe patitā	tena tad-patiH-tad-vacanam SrutvA vyacinta-yat-nUnam sA mad-patnI kUpe patitA
   bhaviṣyati-iti drutaṃ gatvāvalokayāmāsa /	Bavizyati--iti drutam gatvA-avalokayAmAsa /
   tatastāṃ kūpādākṛṣyānīyāmānayat /	tatas-tAm kUpAt-AkRzyAnIyAm-Anayat /
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau ekonasaptatitamī kathā //	iti Suka-saptatO ekonasaptatitamI kaTA //
   START Suk 70:	START Suc 70:
   etāvatīnāṃ kathānāṃ paryante tadbhatī madano deśāntarādāgataḥ /	etAvatInAm kaTAnAm paryante tad-BatI madanaH deSa-antarAt-AgataH /
   tasmiṃścāgate sā tathaiva tasminsnehalābhūt /	tasmin=-ca-Agate sA taTA-eva tasmin-sneha-lABUt /
   śuka evaṃ mandaṃ mandaṃ paṭhati-	SukaH evam mandam mandam paWati-
   anurāgo vṛthā stroṣu strīṣu garvo vṛthā tathā /	anurAgaH vRTA strozu strIzu garvaH vRTA taTA /
   priyo 'haṃ sarvadā haysyā mamaiṣā sarvadā priyā // Suk_70.1 (=322) //	priyaH aham sarvadA haysyA mama-ezA sarvadA priyA // Suc-_70.1 (=322) //
   paraṃ madano na śṛṇoti /	param madanaH na SRNoti /
   upahāsya tadā caivaṃ vadati-"yaḥ kaściddhitaṃ vākyaṃ śṛṇoti karoti ca sa	upahAsya tadA ca-evam vadati-"yaH kaScid-hitam vAkyam SRNoti karoti ca sa
   paratreha ca śarmabhāgbhavati' /	paratra-iha ca Sarma-BAj-Bavati-a /
   iti muhurmuhuḥ paṭhitaṃ madanaḥ śrutvā pṛcchati /	iti muhur-muhur paWitam madanaH SrutvA pRcCati /
   tataḥ sā svayameva śaṅkitā kathayati /	tatas sA svayam-eva SaFkitA kaTayati /
   uktañca-	uktaQca-
   sarvatra śucayo dhīrāḥ sukarmabalagarvitāḥ /	sarvatra SucayaH DIrAH su-karma-bala-garvitAH /
   kukarmamayasaṃtrastāḥ pāpāḥ sarvatra śaṅkitāḥ // Suk_70.2 (=323) //	kukarma-maya-saMtrastAH pApAH sarvatra SaFkitAH // Suc-_70.2 (=323) //
   āryaputra! tvameva vandyo yasya veśmani trivikramānītayugamadhyādekaḥ	Arya-putra! tvam-eva vandyaH yasya veSmani trivikrama-AnIta-yuga-maDyAt-ekaH
   śukaḥ sarveṣā lokānāṃ hitabhāṣako 'tra bandhupitṛsthānīyo viśeṣato mama /	SukaH sarvezA lokAnAm hita-BAzakaH atra banDu-pitR-sTAnIyaH viSezataH mama /
   yathā yathā sā śukaṃ stauti tathā tathā śuko lajjate /	yaTA yaTA sA Sukam stOti taTA taTA SukaH lajjate /
   uktañca-	uktaQca-
   bau jai mārai macchalī to uṇṇau karei /	bO jE mArE mad-SalI taH uNNO karei /
   sīhu ju mārai mattagaaṇahacampiā dharei // Suk_70.3 (=324) //	sIhu ju mArE matta-gaaNa-hacampiA Darei // Suc-_70.3 (=324) //
   [bakaḥ yadi mārayati matsyān sa punarna karoti /	[bakaH yadi mArayati matsyAn sa punar-na karoti /
   siṃho yo mārayati mattagajanātha sevito dhriyate] // Suk_70.3* (=324*) //	siMhaH yaH mArayati matta-gajanATa sevitaH Driyate] // Suc-_70.3* (=324*) //
   tato madanastadvacanaṃ śrutvāha-kiṃ tava śukenopakṛtan /	tatas madanaH-tat-vacanam SrutvA-aha-kim tava Sukena-upakRtan /
   kathamīdṛgguṇo 'sau jātaḥ /	kaTam-IdRgguNaH asO jAtaH /
   sā prāha--svāmin! satyasya vāco vaktā śrotā ca na labhyate /	sA prAha---svAmin! satyasya vAcaH vaktA SrotA ca na laByate /
   uktañca--	uktaQca--
   sulabhā puruṣā rājan satataṃ priyavādinaḥ /	sulaBA puruzAH rAjan satatam priya-vAdinaH /
   apriyasya tu patyasya vaktā śrotā ca durlabhaḥ // Suk_70.4 (=325) //	apriyasya tu patyasya vaktA SrotA ca durlaBaH // Suc-_70.4 (=325) //
   mahilā capalā svāminniḥsnehā guṇavarjitā /	mahilA capalA svAmin-niHsnehA guNa-varjitAH /
   kuvikalpā tanuprajñā yathoktaṃ satyameva tat // Suk_70.5 (=326) //	kuvikalpA tanu-prajQA yaToktam satyam-eva tat // Suc-_70.5 (=326) //
   manyate sukṛtaṃ naiva patiputraparāṅmukhī /	manyate sukRtam na-eva pati-putra-parAFmuKI /
   pūrvasnehamayī mṛdvī kṛtakāryātiniṣṭhurā // Suk_70.6 (=327) //	pUrva-sneha-mayI mRdvI kRta-kArya-atinizWurAH // Suc-_70.6 (=327) //
   uktañca-	uktaQca-
   kurvanti tāvatprathamaṃ priyāṇi yāvanna jānanti naraṃ prasaktam /	kurvanti tAvat-praTamam priyANi yAvat-na jAnanti naram prasaktam /
   jñātvā ca taṃ manmathapāśabaddhaṃ grastāmiṣaṃ mīnamivoddharanni //	jQAtvA ca tam manmaTa-pASa-badDam grasta-Amizam mInam-iva-udDarat-ni //
