   ******************** ADHYAYA 1 ********************	******************** ADHYAYAH 1 ********************
   kāryam, idam akāryam" iti yā vetti; bhayābhaye śāstrātivṛttir bhayasthānaṃ	kAryam, idam akAryam" iti yA vetti; Baya aBaye SAstra ativRttiH Baya sTAnam
   tadanuvṛttir abhayasthānam, bandhaṃ mokṣaṃ ca saṃsārayāthātmyaṃ	tad anuvRttiH aBaya sTAnam, banDam mokzam ca saMsAra yATAtmyam
   tadvigamayāthātmyaṃ ca yā vetti; sā sāttvikī buddhiḥ // BhGR_18.30 //	tad vigama yATAtmyam ca yA vetti; sA sAttvikI budDiH // BhGR_18.30 //
   yathā dharmam adharmaṃ ca kāryaṃ cākāryam eva ca /	yaTA Darmam aDarmam ca kAryam ca akAryam eva ca /
   ayathāvat prajānāti buddhiḥ sā pārtha rājasī // BhGR_18.31 //	ayaTAvat prajAnAti budDiH sA pArTa rAjasI // BhGR_18.31 //
   yathā pūrvoktaṃ dvividhaṃ dharmaṃ tadviparītaṃ ca tanniṣṭhānāṃ	yaTA pUrva uktam dviviDam Darmam tad viparItam ca tad nizWAnAm
   deśakālāvasthādiṣu kāryaṃ cākāryaṃ ca yathāvan na jānāti, sā rājasī	deSa kAla avasTA Adizu kAryam ca akAryam ca yaTAvat na jAnAti, sA rAjasI
   buddhiḥ // BhGR_18.31 //	budDiH // BhGR_18.31 //
   adharmaṃ dharmam iti yā manyate tamasāvṛtā /	aDarmam Darmam iti yA manyate tamasA AvRtA /
   sarvārthān viparītāṃś ca buddhiḥ sā pārtha tāmasī // BhGR_18.32 //	sarva arTAn viparItAn ca budDiH sA pArTa tAmasI // BhGR_18.32 //
   tāmasī tu buddhiḥ tamasāvṛtā satī sarvārthān viparītān manyate / adharmaṃ	tAmasI tu budDiH tamasA AvRtA satI sarva arTAn viparItAn manyate / aDarmam
   dharmaṃ, dharmaṃ cādharmaṃ, santaṃ cārtham asantam, asantam cārthaṃ	DarmaM, Darmam ca aDarmaM, santam ca arTam asantam, asantam ca arTam
   santaṃ, paraṃ ca tattvam aparam, aparaṃ ca tattvaṃ param / evaṃ sarvaṃ	santaM, param ca tattvam aparam, aparam ca tattvam param / evam sarvam
   viparītaṃ manyata ityarthaḥ // BhGR_18.32 //	viparItam manyate iti arTaH // BhGR_18.32 //
   dhṛtyā yayā dhārayate manaḥprāṇendriyakriyāḥ /	DRtyA yayA DArayate manaH prANa indriya kriyAH /
   yogenāvyabhicāriṇyā dhṛtiḥ sā pārtha sāttvikī // BhGR_18.33 //	yogena avyaBicAriNyA DRtiH sA pArTa sAttvikI // BhGR_18.33 //
   yayā dhṛtyā yogenāvyabhicāriṇyā manaḥprāṇendriyāṇāṃ kriyāḥ puruṣo	yayA DRtyA yogena avyaBicAriNyAH manaH prANa indriyANAm kriyAH puruzaH 
   dhārayate; yogaḥ mokṣasādhanabhūtaṃ bhagavadupāsanam; yogena	DArayate; yogaH mokza sADana BUtam Bagavat upAsanam; yogena
   prayojanabhūtenāvyabhicāriṇyā yogoddeśena pravṛttās tatsādhanabhūtā	prayojana BUtena avyaBicAriNyAH yoga uddeSena pravRttAH tad sADana BUtAH 
   manaḥprabhṛtīnāṃ kriyāḥ yayā dhṛtyā dhārayate, sā sāttvikītyarthaḥ //	manaH praBRtInAm kriyAH yayA DRtyA DArayate, sA sAttvikI iti arTaH //
   BhGR_18.33 //	BhGR_18.33 //
   yayā tu dharmakāmārthān dhṛtyā dhārayate 'rjuna /	yayA tu Darma kAma arTAn DRtyA DArayate arjunaH /
   prasaṅgena phalākāṅkṣī dhṛtiḥ sā pārtha rājasī // BhGR_18.34 //	prasaFgena Pala AkAFkzI DRtiH sA pArTa rAjasI // BhGR_18.34 //
   phalākāṅkṣī puruṣaḥ prakṛṣṭasaṅgena dharmakāmārthān yayā dhṛtyā dhārayate,	Pala AkAFkzI puruzaH prakRzwa saFgena Darma kAma arTAn yayA DRtyA DArayate,
   sā rājasī / dharmakāmārthaśabdena tatsādhanabhūtā manaḥprāṇendriyakriyā	sA rAjasI / Darma kAma arTa Sabdena tad sADana BUtA manaH prANa indriya kriyA
   lakṣyante / phalākāṅkṣīty atrāpi phalaśabdena rājasatvād dharmakāmārthā	lakzyante / Pala AkAFkzi iti atra api Pala Sabdena rAja satvAt Darma kAma arTA
   eva vivakṣitāḥ / ato dharmakāmārthāpekṣayā manaḥprabhṛtīnāṃ kriyā yayā	eva vivakzitAH / atas Darma kAma arTa apekzayA manaH praBRtInAm kriyA yayA
   dhṛtyā dhārayate, sā rājasīty uktaṃ bhavati // BhGR_18.34 //	DRtyA DArayate, sA rAjasi iti uktam Bavati // BhGR_18.34 //
   yayā svapnaṃ bhayaṃ śokaṃ viṣādaṃ madam eva ca /	yayA svapnam Bayam Sokam vizAdam madam eva ca /
   na vimuñcati durmedhā dhṛtiḥ sā pārtha tāmasī // BhGR_18.35 //	na vimuQcati durmeDA DRtiH sA pArTa tAmasI // BhGR_18.35 //
   yayā dhṛtyā /svapnaṃ nidrām / madaṃ viṣayānubhavajanitaṃ madam /	yayA DRtyE /svapnam nidrAm / madam vizaya anuBava janitam madam /
   svapnamadav uddiśya pravṛttā manaḥprāṇādīnāṃ kriyāḥ durmedhā na vimuñcati	svapna madau uddiSya pravRttAH manaH prANa AdInAm kriyAH durmeDAH na vimuQcati
   dhārayati / bhayaśokaviṣādaśabdāś ca bhayaśokādidāyiviṣayaparāḥ;	DArayati / Baya Soka vizAda SabdAH ca Baya Soka Adi dAyi vizaya parAH;
   tatsādhanabhūtāś ca manaḥprāṇādikriyā yayā dhārayate, sā dhṛtis tāmasī //	tad sADana BUtAH ca manaH prANa Adi kriyA yayA DArayate, sA DRtiH tAmasI //
   BhGR_18.35 //	BhGR_18.35 //
   sukhaṃ tv idānīṃ trividhaṃ śṛṇu me bharatarṣabha /	suKam tu idAnIm triviDam SRNu me Barata RzaBa /
   pūrvoktāḥ sarve jñānakarmakartrādayo yac cheṣabhūtāḥ, tac ca sukhaṃ	pUrva uktAH sarve jQAna karma kartR AdayaH yat Seza BUtAH, tat ca suKam
   guṇatas trividham idānīṃ śṛṇu //	guNataH triviDam idAnIm SRNu //
   abhyāsād ramate yatra duḥkhāntaṃ ca nigacchati // BhGR_18.36 //	aByAsAt ramate yatra duHKAntam ca nigacCati // BhGR_18.36 //
   yat tad agre viṣam iva pariṇāme 'mṛtopamam /	yat tat agre vizam iva pariNAme amRta upamam /
   tat sukhaṃ sāttvikaṃ proktam ātmabuddhiprasādajam // BhGR_18.37 //	tat suKam sAttvikam proktam Atma budDi prasAda jam // BhGR_18.37 //
   yasmin sukhe cirakālābhyāsāt krameṇa niratiśayāṃ ratiṃ prāpnoti,	yasmin suKe cira kAla aByAsAt krameNa niratiSayAm ratim prApnoti,
   duḥkhāntaṃ ca nigacchati nikhilasya sāṃsārikasya duḥkhasyāntaṃ nigacchati	duHKAntam ca nigacCati niKilasya sAMsArikasya duHKasya antam nigacCati
   // tad eva viśinaṣṭi yat tat sukham, agre yogopakramavelāyāṃ	// tat eva viSinazwi yat tat suKam, agre yoga upakrama velAyAm
   bahvāyāsasādhyatvād viviktasvarūpasyānanubhūtatvāc ca viṣam iva duḥkham	bahu AyAsa sADya tvAt vivikta svarUpasya ananuBUta tvAt ca vizam iva duHKam
   iva bhavati, pariṇāme 'mṛtopamam / pariṇāme vipāke abhyāsabalena	iva Bavati, pariNAme amRta upamam / pariNAme vipAke aByAsa balena
   viviktātmasvarūpāvirbhāve amṛtopamaṃ bhavati, tac ca ātmabuddhiprasādajam	vivikta Atma svarUpa AvirBAve amRta upamam Bavati, tat ca Atma budDi prasAda jam
   ātmaviṣayā buddhiḥ ātmabuddhiḥ, tasyāḥ nivṛttasakaletaraviṣayatvaṃ	Atma vizayA budDiH Atma budDiH, tasyAH nivRtta sakala itara vizaya tvam
   prasādaḥ, nivṛttasakaletaraviṣayabuddhyā viviktasvabhāvātmānubhavajanitaṃ	prasAdaH, nivRtta sakala itara vizaya budDyA vivikta svaBAva Atma anuBava janitam
   sukham amṛtopamaṃ bhavati; tat sukhaṃ sāttvikaṃ proktam // BhGR_18.37 //	suKam amRta upamam Bavati; tat suKam sAttvikam proktam // BhGR_18.37 //
   viṣayendriyasaṃyogād yat tad agre 'mṛtopamam /	vizaya indriya saMyogAt yat tat agre amRta upamam /
   pariṇāme viṣam iva tat sukhaṃ rājasaṃ smṛtam // BhGR_18.38 //	pariNAme vizam iva tat suKam rAjasam smRtam // BhGR_18.38 //
   agre anubhavavelāyāṃ viṣayendriyasaṃyogād yat tad amṛtam iva bhavati,	agre anuBava velAyAm vizaya indriya saMyogAt yat tat amRtam iva Bavati,
   pariṇāme vipāke viṣayāṇāṃ sukhatānimittakṣudādau nivṛtte tasya ca sukhasya	pariNAme vipAke vizayANAm suKa tA nimitta kzuD AdO nivRtte tasya ca suKasya
   nirayādinimittatvād viṣam iva pītaṃ bhavati, tat sukhaṃ rājasaṃ smṛtam //	niraya Adi nimitta tvAt vizam iva pItam Bavati, tat suKam rAjasam smRtam //
   BhGR_18.38 //	BhGR_18.38 //
   yad agre cānubandhe ca sukhaṃ mohanam ātmanaḥ /	yat agre ca anubanDe ca suKam mohanam AtmanaH /
   nidrālasyapramādotthaṃ tat tāmasam udāhṛtam // BhGR_18.39 //	nidrA Alasya pramAda utTam tat tAmasam udAhRtam // BhGR_18.39 //
   yat sukham agre cānubandhe ca anubhavavelāyāṃ vipāke ca ātmano mohanaṃ	yat suKam agre ca anubanDe ca anuBava velAyAm vipAke ca AtmanaH mohanam
   mohahetur bhavati; moho 'tra yathāvasthitavastvaprakāśo 'bhipretaḥ;	moha hetuH Bavati; mohaH atra yaTA avasTitavastu aprakASaH aBipretaH;
   nidrālasyapramādottham nidrālasyapramādajanitam, nidrādayo hy	nidrA Alasya pramAda utTam nidrA Alasya pramAda janitam, nidrA AdayaH hi 
   anubhavavelāyām api mohahetavaḥ / nidrāyā mohahetutvaṃ spṛṣṭam / ālasyam	anuBava velAyAm api moha hetavaH / nidrAyAH moha hetu tvam spRzwam / Alasyam
   indriyavyāpāram āndyam / indriyavyāpāram āndye ca jñānam āndyaṃ bhavaty	indriya vyApAram Andyam / indriya vyApAram Andye ca jQAnam Andyam Bavati 
   eva / pramādaḥ kṛtyānavadhānarūpa iti tatrāpi jñānam āndyaṃ bhavati /	eva / pramAdaH kRtyAn avaDAna rUpaH iti tatra api jQAnam Andyam Bavati /
   tataś ca tayor api mohahetutvam / tat sukhaṃ tāmasam udāhṛtam / ato	tatas ca tayoH api moha hetu tvam / tat suKam tAmasam udAhRtam / atas 
   mumukṣuṇā rajastamasī abhibhūya sattvam evopādeyam ity uktaṃ bhavati //	mumukzuNA rajaH tamasI aBiBUya sattvam eva upAdeyam iti uktam Bavati //
   BhGR_18.39 //	BhGR_18.39 //
   na tad asti pṛthivyāṃ vā divi deveṣu vā punaḥ /	na tat asti pRTivyAm vA divi devezu vA punar /
   sattvaṃ prakṛtijair muktaṃ yad ebhiḥ syāt tribhir guṇaiḥ // BhGR_18.40 //	sattvam prakRti jEH muktam yat eBiH syAt triBiH guNEH // BhGR_18.40 //
   pṛthivyāṃ manuṣyādiṣu divi deveṣu vā prakṛtisaṃsṛṣṭeṣu brahmādiṣu	pRTivyAm manuzya Adizu divi devezu vA prakRti saMsRzwezu brahma Adizu
   sthāvarānteṣu prakṛtijair ebhis tribhir guṇair muktaṃ yat sattvaṃ	sTAvara antezu prakRti jEH eBiH triBiH guNEH muktam yat sattvam
   prāṇijātam, na tad asti // BhGR_18.40 //	prANi jAtam, na tat asti // BhGR_18.40 //
   "tyāgenaike amṛtatvam ānaśuḥ" ityādiṣu mokṣasādhanatayā nirdiṣṭas tyāgaḥ	"tyAgena eke amRta tvam AnaSuH" ityAdizu mokza sADana tayA nirdizwaH tyAgaH
   saṃnyāsaśabdārthād ananyaḥ; sa ca kriyamāṇeṣv eva karmasu	saMnyAsa Sabda arTAt ananyaH; sa ca kriyamANezu eva karmasu
   kartṛtvatyāgamūlaḥ phalakarmaṇos tyāgaḥ; kartṛtvatyāgaś ca paramapuruṣe	kartR tva tyAga mUlaH Pala karmaNoH tyAgaH; kartR tva tyAgaH ca parama puruze
   kartṛtvānusaṃdhānenety uktam / etat sarvaṃ sattvaguṇavṛddhikāryam iti	kartR tva anusaMDAnena iti uktam / etat sarvam sattva guNa vRdDi kAryam iti
   sattvopādeyatājñāpanāya sattvarajastamasāṃ kāryabhedāḥ prapañcitāḥ /	sattva upAdeyata AjQApanAya sattva rajaH tamasAm kArya BedAH prapaQcitAH /
   idānīm evaṃbhūtasya mokṣasādhanatayā kriyamāṇasya karmaṇaḥ	idAnIm evaMBUtasya mokza sADana tayA kriyamANasya karmaNaH
   paramapuruṣārādhanaveṣatāṃ tathānuṣṭhitasya ca karmaṇas tatprāptilakṣaṇaṃ	parama puruza ArADana veza tAm taTA anuzWitasya ca karmaNaH tad prApti lakzaNam
   phalaṃ pratipādayituṃ brāhmaṇādyadhikāriṇāṃ	Palam pratipAdayitum brAhmaNa Adi aDikAriNAm
   svabhāvānubandhisattvādiguṇabhedabhinnaṃ vṛttyā saha kartavyakarmasvarūpam	svaBAva anubanDi sattva Adi guNa Beda Binnam vRttyA saha kartavya karma svarUpam
   āha	Aha
   brāhmaṇakṣatriyaviśāṃ śūdrāṇāṃ ca paraṃtapa /	brAhmaNa kzatriya viSAm SUdrANAm ca paraMtapa /
   karmāṇi pravibhaktāni svabhāvaprabhavair guṇaiḥ // BhGR_18.41 //	karmANi praviBaktAni svaBAva praBavEH guNEH // BhGR_18.41 //
   brāhmaṇakṣatriyaviśāṃ svakīyo bhāvaḥ svabhāvaḥ brāhmaṇādijanmahetubhūtaṃ	brAhmaNa kzatriya viSAm svakIyaH BAvaH svaBAvaH brAhmaNa Adi janma hetu BUtam
   prācīnakarmety arthaḥ; tatprabhavāḥ sattvādayo guṇāḥ / brāhmaṇasya	prAcInakarma iti arTaH; tad praBavAH sattva AdayaH guNAH / brAhmaNasya
   svabhāvaprabhavo rajastamo'bhibhavenodbhūtaḥ sattvaguṇaḥ; kṣatriyasya	svaBAva praBavaH rajaH tamaH aBiBavena udBUtaH sattva guNaH; kzatriyasya
   svabhāvaprabhavaḥ tamassattvābhibhavenodbhūto rajoguṇaḥ; vaiśyasya	svaBAva praBavaH tamaH sattva aBiBavena udBUtaH rajaH guNaH; vESyasya
   svabhāvaprabhavaḥ sattvarajo'bhibhavenālpodriktas tamoguṇaḥ; śūdrasya	svaBAva praBavaH sattva rajaH aBiBavena alpa udriktaH tamaH guNaH; SUdrasya
   svabhāvaprabhavas tu rajassattvābhibhavenātyudriktas tamoguṇaḥ / ebhiḥ	svaBAva praBavaH tu rajaH sattva aBiBavena ati udriktaH tamaH guNaH / eBiH
   svabhāvaprabhavair guṇaiḥ saha pravibhaktāni karmāṇi śāstraiḥ	svaBAva praBavEH guNEH saha praviBaktAni karmANi SAstrEH
   pratipāditāni / brāhmaṇādaya evaṃguṇakāḥ, teṣāṃ caitāni karmāṇi, vṛttayaś	pratipAditAni / brAhmaNa AdayaH evaMguNakAH, tezAm ca etAni karmANi, vRttayaH 
   caitā iti hi vibhajya pratipādayanti śāstrāṇi // BhGR_18.41 //	ca etAH iti hi viBajya pratipAdayanti SAstrANi // BhGR_18.41 //
   śamo damas tapaś śaucaṃ kṣāntir ārjavam eva ca /	SamaH damaH tapaH SOcam kzAntiH Arjavam eva ca /
   jñānaṃ vijñānam āstikyaṃ brāhmaṃ karma svabhāvajam // BhGR_18.42 //	jQAnam vijQAnam Astikyam brAhmam karma svaBAva jam // BhGR_18.42 //
   śamaḥ bāhyendriyaniyamanam; damaḥ antaḥkaraṇaniyamanam; tapaḥ	SamaH bAhya indriya niyamanam; damaH antaHkaraNa niyamanam; tapaH
   bhoganiyamanarūpaḥ śāstrasiddhaḥ kāyakleśaḥ; śaucaṃ śāstrīyakarmayogyatā;	Boga niyamana rUpaH SAstra sidDaH kAya kleSaH; SOcam SAstrIya karma yogya tA;
   kṣāntiḥ paraiḥ pīḍyamānasyāpy avikṛtacittatā; ārjavaṃ pareṣu mano'nurūpaṃ	kzAntiH parEH pIxyamAnasya api avikRta citta tA; Arjavam parezu manaH anurUpam
   bāhyaceṣṭāprakāśanam; jñānaṃ parāvaratattvayāthātmyajñānam; vijñānaṃ	bAhya cezwA prakASanam; jQAnam parAvara tattva yATAtmya jQAnam; vijQAnam
   paratattvagatāsādhāraṇaviśeṣaviṣayaṃ jñānam; āstikyaṃ vaidikasya kṛtsnasya	para tattva gata asA DAraNa viSeza vizayam jQAnam; Astikyam vEdikasya kRtsnasya
   satyatāniścayaḥ prakṛṣṭaḥ; kenāpi hetunā cālayitum aśakya ityarthaḥ /	satya tA niScayaH prakRzwaH; kena api hetunA cAlayitum aSakyaH iti arTaH /
   bhagavān puruṣottamo vāsudevaḥ parabrahmaśabdābhideyo	BagavAn puruzottamaH vAsudevaH para brahma Sabda aBideyaH 
   nirastanikhiladoṣagandhaḥ	nirasta niKila doza ganDaH
   svābhāvikānavadhikātiśayajñānaśaktyādyasaṅkhyeyakalyāṇaguṇagaṇo	svABAvikAna vaDika atiSaya jQAna Sakti Adi asaFKyeya kalyANa guNa gaNaH 
   nikhilavedavedāntavedyaḥ; sa eva nikhilajagadekakāraṇaṃ	niKila veda vedAnta vedyaH; saH eva niKila jagat eka kAraNam
   nikhilajagadādhārabhūtaḥ; nikhilasya sa eva pravartayitā;	niKila jagat ADAra BUtaH; niKilasya saH eva pravartayitA;
   tadārādhanabhūtaṃ ca vaidikaṃ kṛtsnaṃ karma; tais tair ārādhito	tad ArADana BUtam ca vEdikam kRtsnam karma; tEH tEH ArADitaH 
   dharmārthakāmamokṣākhyaṃ phalaṃ prayacchatīty asyārthasya satyatāniścaya	Darma arTa kAma mokza AKyam Palam prayacCati iti asya arTasya satya tA niScaya
   āstikyam; "vedaiś ca sarvair aham eva vedyaḥ", "ahaṃ sarvasya prabhavo	Astikyam; "vedEH ca sarvEH aham eva vedyaH", "aham sarvasya praBavaH 
   mattas sarvaṃ pravartate ", "mayi sarvam idaṃ protam", "bhoktāraṃ	mattaH sarvam pravartate ", "mayi sarvam idam protam", "BoktAram
   yajñatapasāṃ ..... jñātvā māṃ śāntim ṛcchati", "mattaḥ parataraṃ nānyat	yajQa tapasAm ..... jQAtvA mAm SAntim RcCati", "mattaH parataram na anyat 
   kiñcid asti dhanañjaya", "yataḥ pravṛttir bhūtānāṃ yena sarvam idaṃ tatam	kiQcid asti DanaQjaya", "yataH pravRttiH BUtAnAm yena sarvam idam tatam
   / svakarmaṇā tam abhyarcya siddhiṃ vindati mānavaḥ", "yo mām ajam anādiṃ	/ sva karmaNA tam aByarcya sidDim vindati mAnavaH", "yaH mAm ajam anAdim
   ca vetti lokamaheśvaram" iti hy ucyate / tad etad brāhmaṇasya svabhāvajaṃ	ca vetti loka maheSvaram" iti hi ucyate / tat etat brAhmaNasya svaBAva jam
   karma // BhGR_18.42 //	karma // BhGR_18.42 //
   śairyaṃ tejo dhṛtir dākṣyaṃ yuddhe cāpy apalāyanam /	SEryam tejaH DRtiH dAkzyam yudDe ca api apalAyanam /
   dānam īśvarabhāvaś ca kṣātraṃ karma svabhāvajam // BhGR_18.43 //	dAnam ISvara BAvaH ca kzAtram karma svaBAva jam // BhGR_18.43 //
   śairyaṃ yuddhe nirbhayapraveśasāmarthyam, tejaḥ parair anabhibhavanīyatā,	SEryam yudDe nirBaya praveSa sAmarTyam, tejaH parEH anaBiBavanIya tA,
   dhṛtiḥ ārabdhe karmaṇi vighnopanipāte 'pi tatsamāpanasāmarthyam, dākṣyaṃ	DRtiH ArabDe karmaNi viGna upanipAte api tad samApana sAmarTyam, dAkzyam
   sarvakriyānirvṛttisāmarthyam, yuddhe cāpy apalāyanam yuddhe	sarva kriyA nirvRtti sAmarTyam, yudDe ca api apalAyanam yudDe
   cātmamaraṇaniścaye 'py anirvartanam; dānaṃ ātmīyasya dhanasya	ca Atma maraNa niScaye api anirvartanam; dAnam AtmIyasya Danasya
   parasvatvāpādanaparyantas tyāgaḥ īśvarabhāvaḥ	para sva tva ApAdana paryantaH tyAgaH ISvara BAvaH
   svavyatiriktasakalajananiyamanasāmarthyam; etat kṣatriyasya svabhāvajaṃ	sva vyatirikta sakala jana niyamana sAmarTyam; etat kzatriyasya svaBAva jam
   karma // BhGR_18.43 //	karma // BhGR_18.43 //
   kṛṣigorakṣyavāṇijyaṃ vaiśyaṃ karma svabhāvajam /	kRzi gorakzya vANijyam vESyam karma svaBAva jam /
   kṛṣiḥ satyotpādanaṃ karṣaṇam / gorakṣyam paśupālanam ityarthaḥ / vāṇijyam	kRziH satya utpAdanam karzaNam / gorakzyam paSu pAlanam iti arTaH / vANijyam
   dhanasañcayahetubhūtaṃ krayavikrayātmakaṃ karma / etad vaiśyasya	Dana saQcaya hetu BUtam kraya vikraya Atmakam karma / etat vESyasya
   svabhāvajaṃ karma //	svaBAva jam karma //
   paricaryātmakaṃ karma śūdrasyāpi svabhāvajam // BhGR_18.44 //	paricaryA Atmakam karma SUdrasya api svaBAva jam // BhGR_18.44 //
   pūrvavarṇatrayaparicaryārūpaṃ śūdrasya svabhāvajaṃ karma / tad etac	pUrva varNa traya paricaryA rUpam SUdrasya svaBAva jam karma / tat etat 
   caturṇā varṇānāṃ vṛttibhis saha kartavyānāṃ śāstravihitānāṃ	caturNA varNAnAm vRttiBiH saha kartavyAnAm SAstra vihitAnAm
   yajñādikarmaṇāṃ pradarśanārtham uktam / yajñādayo hi trayāṇāṃ varṇānāṃ	yajQa Adi karmaNAm pradarSana arTam uktam / yajQa AdayaH hi trayANAm varNAnAm
   sādhāraṇāḥ / śamādayo 'pi trayāṇāṃ varṇānāṃ mumukṣūṇāṃ sādhāraṇāḥ /	sADAraNAH / Sama AdayaH api trayANAm varNAnAm mumukzUNAm sADAraNAH /
   brāhmaṇasya tu sattvodrekasya svābhāvikatvena śamadamādayaḥ sukhopādānā	brAhmaNasya tu sattva udrekasya svABAvika tvena Sama dama AdayaH suKa upAdAnA
   iti kṛtvā tasya śamādaya svabhāvajaṃ karmety uktam / kṣatriyavaiśyayos tu	iti kRtvA tasya Sama Adaya svaBAva jam karma iti uktam / kzatriya vESyayoH tu
   svato rajastamaḥpradhānatvena śamadamādayo duḥkhopādānā iti kṛtvā na tat	svatas rajaH tamaH praDAna tvena Sama dama AdayaH duHKa upAdAnAH iti kRtvA na tat 
   karmety uktam / brāhmaṇasya vṛttir yājanādhyāpanapratigrahāḥ; kṣatriyasya	karma iti uktam / brAhmaNasya vRttiH yAjana aDyApana pratigrahAH; kzatriyasya
   janapadaparipālanam; vaiśyasya ca kṛṣyādayo yathoktāḥ; śūdrasya tu	janapada paripAla nam; vESyasya ca kRzi AdayaH yaTA uktAH; SUdrasya tu
   kartavyaṃ vṛttiś ca pūrvavarṇatrayaparicaryaiva //	kartavyam vRttiH ca pUrva varNa traya paricaryA eva //
   sve sve karmaṇy abhiratas saṃsiddhiṃ labhate naraḥ /	sve sve karmaNi aBirataH saMsidDim laBate naraH /
   svakarmaniratas siddhiṃ yathā vindati tac chṛṇu // BhGR_18.45 //	sva karma nirataH sidDim yaTA vindati tat SRNu // BhGR_18.45 //
   sve sve yathodite karmaṇy abhirato naraḥ saṃsiddhiṃ paramapadaprāptiṃ	sve sve yaTA udite karmaNi aBirataH naraH saMsidDim parama pada prAptim
   labhate / svakarmanirato yathā siddhiṃ vindati paramapadaṃ prāpnoti, tathā	laBate / sva karma nirataH yaTA sidDim vindati parama padam prApnoti, taTA
   śṛṇu // BhGR_18.45 //	SRNu // BhGR_18.45 //
   yataḥ pravṛttir bhūtānāṃ yena sarvam idaṃ tatam /	yatas pravRttiH BUtAnAm yena sarvam idam tatam /
   svakarmaṇā tam abhyarcya siddhiṃ vindati mānavaḥ // BhGR_18.46 //	sva karmaNA tam aByarcya sidDim vindati mAnavaH // BhGR_18.46 //
   yato bhūtānām utpattyādikā pravṛttiḥ, yena ca sarvam idaṃ tatam,	yatas BUtAnAm utpatti AdikA pravRttiH, yena ca sarvam idam tatam,
   svakarmaṇā taṃ mām indrādyantarātmatayāvasthitam abhyarcya matprasādān	sva karmaNA tam mAm indra Adi antarAtma tayA avasTitam aByarcya mad prasAdAn
   matprāptirūpāṃ siddhiṃ vindati mānavaḥ / matta eva sarvam utpadyate, mayā	mad prApti rUpAm sidDim vindati mAnavaH / mattaH eva sarvam utpadyate, mayA
   ca sarvam idaṃ tatam iti pūrvam evoktam, "ahaṃ kṛtsnasya jagataḥ prabhavaḥ	ca sarvam idam tatam iti pUrvam eva uktam, "aham kRtsnasya jagataH praBavaH
   pralayas tathā / mattaḥ parataraṃ nānyat kiṃcid asti dhanañjaya /", "mayā	pralayaH taTA / mattaH parataram na anyat kiMcid asti DanaQjaya /", "mayA
   tatam idaṃ sarvaṃ jagad avyaktamūrtinā", "mayādhyakṣeṇa prakṛtiḥ sūyate	tatam idam sarvam jagat avyakta mUrtinA", "mayA aDyakzeNa prakRtiH sUyate
   sacarācaram", "ahaṃ sarvasya prabhavo mattas sarvaṃ pravartate" ityādiṣu	sacarAcaram", "aham sarvasya praBavaH mattaH sarvam pravartate" ityAdizu
