   ṣaṣṭhaḥ paricchedaḥ	zazWaH paricCedaH
        (vi, ḍa) arthaviśeṣākhyamalaṅkṛtimāha   utkasyārthasyeti /	(vi, xa) arTa viSeza AKyam alaFkRti mAha   utkasya arTasya iti /
        paroktasyārthasya upālambhavidhayā yat anekadhā utkīrttanamityarthaḥ	para uktasya arTasya upAlamBa viDayA yat anekaDA utkIrttanam iti arTaH
        utkīrttanamanuvādaḥ /	utkIrttanam anuvAdaH /
        āḥ kathamidamiti /	AH kaTam idam iti /
        śakuntalāṃ svīkarttuṃ bahuśaḥ śārṅgaraveṇokte rājñoktaṃ	SakuntalAm svIkarttum bahuSas SArFga raveNa ukte rAjQA uktam
   kimidamupanyastamiti /	kim idam upanyastam iti /
        upahāsavidhayā śārṅgaraveṇānekadhā tadanuvādaḥ kriyate /	upahAsa viDayA SArFga raveNa anekaDA tad anuvAdaH kriyate /
        kimidamitīti /	kim idam iti iti /
        atra vīpsā bodhyā tadeva anekadhātvāt /	atra vIpsA boDyA tat eva anekaDAtvAt /
        satīmapīti /	satIm api iti /
        jñātiḥ patṛpakṣaḥ /	jQAtiH patR pakzaH /
        anyathā bhāsatīṃ /	anyaTA BAsatIm /
        svabandhubhiḥ pitṛpakṣīyaiḥ /	sva banDuBiH pitR pakzIyEH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   protsāhanaṃ syādutsāhagirā kasyāpi yojanam // VisSd_6.207 //	protsAhanam syAt utsAha girA kasya api yojanam // VisSd _6.207 //
   yathā bālarāmāyaṇe   	yaTA bAla rAmAyaNe   
   kālarātrikarāleyaṃ strīti kiṃ vicikitsasi /	kAlarAtri karAleyam strI iti kim vicikitsasi /
   tajjagattritayaṃ trātuṃ tāta ! tāḍaya tāḍakām //	tat jagat tritayam trAtum tAta ! tAxaya tAxakAm //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍha) protsāhanākhyāmalaṅkṛtimāha   protsāhanamiti /	(vi, Xa) protsAhana AKyAm alaFkRtim Aha    protsAhanam iti /
        yojanaṃ niyojanaṃ pravarttanamityarthaḥ /	yojanam niyojanam pravarttanam iti arTaH /
        kālarātrīti /	kAlarAtrI iti /
        rāmaṃ prati viśvāmitrasya vākyamidam /	rAmam prati viSvAmitrasya vAkyam idam /
        kālarākṣivat karālā bhīṣaṇā iyaṃ tāḍakā /	kAlarAkzi vat karAlAH BIzaNA iyam tAxakAH /
        vicikitsasi tyajasi /	vicikitsasi tyajasi /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   sāhāyyaṃ saṅkaṭe yatsyāt sānukūlyaṃ parasya ca /	sAhAyyam saFkawe yat syAt sa AnukUlyam parasya ca /
   yathā veṇyām  kṛpaṃ prati "aśvatthāmā   tvamapi tāvadrājñaḥ pāśarvavarto	yaTA veNyAm   kRpam prati "aSvatTAmA   tvam api tAvat rAjQaH pASarva vartaH 
   bhava /	Bava /
   kupaḥ   vāñchāmyahamadya pratikartum  " ityādi /	kupaH   vAQCAmi aham adya pratikartum   " ityAdi /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṇa) sāhāyyākhyāmalaṅkṛtimāha  sāhāyyamiti spaṣṭam /	(vi, Na) sAhAyya AKyAm alaFkRti mAha   sAhAyyam iti spazwam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   abhimānaḥ sa eva syāt   	aBimAnaH saH eva syAt    
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, ā) sa eva yo bhāṣitaḥ sa evābhimāna eva /	(lo, A) saH eva yaH BAzitaH saH eva aBimAnaH eva /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā tatraiva   "duryodhanaḥ   mātaḥ kimapyasadṛśaṃ kṛpaṇaṃ vacaste   "	yaTA tatra eva    "duryoDanaH   mAtar kim api asadRSam kRpaNam vacaH te   "
   ityādi /	ityAdi /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ta) abhimānākhyamālaṅkṛtimāha   abhimāna iti /	(vi, ta) aBimAna AKyam AlaFkRtim Aha   aBimAnaH iti /
        vākyāt yo 'bhimānaḥ pratīyate sa evābhimānākhyālaṅkāra eva /	vAkyAt yaH aBimAnaH pratIyate saH eva aBimAna AKya alaFkAraH eva /
        mātariti /	mAtar iti /
        pāṇḍavebhyo rājyaṃ dātuṃ gāndhāryā ukte	pANxaveByaH rAjyam dAtum gAnDAryA ukte
   duryodhanasyābhimānamūleyamuktiḥ /	duryoDanasya aBimAna mUleya muktiH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
      praśrayādanuvartanam // VisSd_6.208 //	    praSrayAt anuvartanam // VisSd _6.208 //
   anuvṛttiḥ   	anuvRttiH   
   yathā śākuntale  "rājā   (śakuntalāṃ prati) ayi ! tapo vardhate /	yaTA SAkuntale  "rAja a   (Sa kuntalAm prati) ayi ! tapaH varDate /
   anusūyādāṇiṃ adidhivisesalāheṇa" ityādi /	anusUyA dANim adiDi visesa lAheNa" ityAdi /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, tha) anuvṛttyākhyāmalaṅkṛtimāha   praśrayāditi /	(vi, Ta) anuvRtti AKyAm alaFkRti mAha    praSrayAt iti /
        praśrayo vinayaḥ /	praSrayaH vinayaH /
        anuvarttanaṃ prīṇanam /	anuvarttanam prINanam /
        ayīti /	ayi iti /
        atra rājño 'nasūyāyāḥ parasparaṃ prīṇanam /	atra rAjQaH anasUyAyAH parasparam prINanam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
      bhūtakāryākhyānamutkīrtanaṃ matam /	   BUta kArya AKyAnam utkIrtanam matam /
   yathā bālārāmāyaṇe   	yaTA bAla ArAmAyaNe   
   atrāsītphaṇipāśabandhanavidhiḥ śaktyā bhavaddevare gāḍhaṃ vakṣasi tāḍite	atra AsIt PaNi pASa banDana viDiH SaktyA Bavat devare gAXam vakzasi tAxite
   hanumatā droṇādriratrāhṛtaḥ /	hanumatA droNa adriH atra AhRtaH /
   ityādi /	ityAdi /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, da) utkīrttanākhyāmalaṅkṛtimāha   bhūteti /	(vi, da) utkIrttana AKyAm alaFkRtim Aha   BUtA iti /
        bhūtakāryaṃ pūrvavṛttam /	BUta kAryam pUrva vRttam /
        na ca pūrvasiddhārthakathanātmakaṃ yat niruktirūpaṃ	na ca pUrva sidDArTa kaTana Atmakam yat nirukti rUpam
   nāṭyalakṣaṇamuktaṃ tadbheda iti vācyam /	nAwya lakzaNam uktam tad BedaH iti vAcyam /
        tatra svakṛtirūpasya pūrvasiddhārthasya nihatāśeṣakauravya ityādinā	tatra sva kRti rUpasya pUrva sidDArTasya nihata aSeza kOravyaH ityAdinA
   kathanamatra tu svaparasādhāraṇakṛtapūrvavṛttasya iti tadbhedaḥ /	kaTanam atra tu svaparasADAraNa kRta pUrva vRttasya iti tad BedaH /
        atra āsīditi puṣpakeṇāgamane raṇasthalaṃ sītāṃ darśayato rāmasya	atra AsIt iti puzpakeNa Agamane raNa sTalam sItAm darSayataH rAmasya
   vākyamidam /	vAkyam idam /
        bhavaddevare lakṣmaṇe vakṣasi rāvaṇena śaktyā gāḍhaṃ tāḍite sati	Bavat devare lakzmaNe vakzasi rAvaNena SaktyA gAXam tAxite sati
   droṇādriḥ gandhamāhanādriḥ atra hanumatā āhṛtaḥ /	droNa adriH ganDa mAhana adriH atra hanumatA AhRtaH /
        devaratvakathanam anurāgotpādanāya /	devara tva kaTanam anurAga utpAdanAya /
        divyaiḥ lakṣmaṇaśaraiḥ indrajit lokāntaraṃ prāpitaḥ /	divyEH lakzmaNa SarEH indrajit loka antaram prApitaH /
        he mṛgākṣi ! rākṣasapateḥ rāvaṇasya kaṇṭhāṭavī kenāpyatra kṛttā	he mRga akzi ! rAkzasa pateH rAvaNasya kaNWa awavI kena api atra kRttA
   arthāt mayā /	arTAt mayA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yācñā tu kvāpi yācñā yā svayaṃ dūtamukhena vā // VisSd_6.209 //	yAcQA tu kvApi yAcQA yA svayam dUta muKena vA // VisSd _6.209 //
   yathā    adyāpi dehi vaidehiṃ dayālustvayi rāghavaḥ /	yaTA a    adya api dehi vEdehim dayAluH tvayi rAGavaH /
   śirobhiḥ kandukakrīḍāṃ kiṃ kārayasi vānarān //	SiroBiH kanduka krIxAm kim kArayasi vAnarAn //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, dha) yācñārūpāmalaṅkṛtimāha   yācñeti /	(vi, Da) yAcQA rUpAm alaFkRtim Aha   yAcQA iti /
        dūtamukhena vā ityukteḥ dūtamukhena yācanocitavastuyācñā labhyate /	dUta muKena vA iti ukteH dUta muKena yAcana ucita vastu yAcQA laByate /
        tena tat paśyeyamanaṅgamaṅgalagṛhamityādau udāharaṇake	tena tat paSyeyam anaFga maFgala gRham ityAdO udAharaNake
   āśaṃsanākhyālaṅkāreṇaiva bhedaḥ /	ASaMsana AKya alaFkAreNa eva BedaH /
        adyāpītyādikaṃ rāvaṇe 'ṅgadasya vākyam /	adya api iti Adikam rAvaNe aFgadasya vAkyam /
        śirobhiriti /	SiroBiH iti /
        rāmacchinnatvacchirobhirityarthaḥ /	rAma= Cinna tvad SiroBiH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   parihāra iti proktaḥ kṛtānucitamārjanam /	parihAraH iti proktaH kRta anucita mArjanam /
   yathā  prāṇaprayāṇaduḥkhārta uktavānasmyanakṣaram /	yaTA a  prANa prayANa duHKa ArtaH uktavAn asmi anakzaram /
   tatkṣamasva vibho ! kiṃ ca sugrīvaste samarpitaḥ //	tat kzamasva viBo ! kim ca sugrIvaH te samarpitaH //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, na) parihārarūpāmalaṅkṛtimāha   parihāra itīti /	(vi, na) parihAra rUpAm alaFkRtim Aha   parihAraH iti iti /
        prāṇaprayāṇamiti /	prANa prayANam iti /
        rāmaṃ prati mriyamāṇasya vālina uktiriyam /	rAmam prati mriyamANasya vAlinaH uktiH iyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   avadhīritakartavyakathanaṃ tu nivedanam // VisSd_6.210 //	avaDIrita kartavya kaTanam tu nivedanam // VisSd _6.210 //
   yathā rāghavābhyudaye   "lakṣmaṇaḥ  ārya ! samudrābhyarthanayā	yaTA rAGava aByudaye   " lakzmaNaH  Arya ! samudra aByarTanayA
   gantumudyato 'si tatkimetat" /	gantum udyataH asi tat kim etat" /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pa) nivedanākhyāmalaṅkṛtimāha   avadhīriteti /	(vi, pa) nivedana AKyAm alaFkRtim Aha   avaDIritA iti /
        avadhīritam abadhāraṇā /	avaDIritam abaDAraNAH /
        tatra kimetādityarthaḥ /	tatra kim etAt iti arTaH /
        avadhīraṇaivātra karttavyā ityarthaḥ /	avaDIraNA eva atra karttavyAH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   pravartanaṃ tu kāryasya yatsayātsādhupravartanam /	pravartanam tu kAryasya yat sayAt sADu pravartanam /
   yathā veṇyām   "rājā   kañcukin ! devasya devakīnandanasya	yaTA veNI Am   "rAja a    kaQcukin ! devasya devakI nandanasya
   bahumānādvatsasya bhīmasenasya vijayamaṅgalāya pravartantāṃ tatrocitāḥ	bahu mAnAt vatsasya BImasenasya vijaya maFgalAya pravartantAm tatra ucitAH
   samārambhāḥ" /	samAramBAH" /
   ākhyānaṃ pūrvavṛttoktir   	AKyAnam pUrva vRtta uktiH    
   yathā tatraiva  "deśaḥ so 'yamarātiśoṇitajaleryasmin hradāḥ	yaTA tatra eva  "deSaH saH ayam arAti SoNita jaleH yasmin hradAH
   pūritāḥ  'ityādi /	pUritAH   aityAdi /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pha) pravarttanākhyāmalaṅkṛtimāha   pravarttanaṃ tu iti /	(vi, Pa) pravarttana AKyAm alaFkRtim Aha    pravarttanam tu iti /
        kāryasya sambandhai yat sādhuno maṅgalasya pravarttanaṃ tat ityarthaḥ	kAryasya sambanDE yat sADunaH maFgalasya pravarttanam tat iti arTaH
        ākhyānarūpāmalaṅkṛtimāha   pūrvavṛttoktiratra krodhamūlakatvena	AKyAna rUpAm alaFkRti m Aha    pUrva vRtta uktiH atra kroDa mUlaka tvena
   viśeṣaṇīyā /	viSezaNIyAH /
        tena bhūtakāryyākhyānarūpāt utkīrttanālaṅkārāt bhedaḥ deśaḥ so	tena BUta kAryI a AKyAna rUpAt utkIrttana alaFkArAt BedaH deSaH saH 
   'yamityādi /	ayam ityAdi /
        aśvatthāmnaḥ krodhāt pūrvavṛttoktiḥ /	aSvatTAmnaH kroDAt pUrva vRtta uktiH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
      yuktirarthāvadhāraṇam // VisSd_6.211 //	   yuktiH arTa avaDAraNam // VisSd _6.211 //
   yathā tatraiva   	yaTA tatra eva   
   yadi samaramapāsya nāsti mṛtyorbhayamiti yuktamito 'nyataḥ prayātum /	yadi samaram apAsya na asti mRtyoH Bayam iti yuktam itas anyatas prayAtum /
   akha maraṇamavaśyameva jantoḥ kimiti mudhā malinaṃ yaśaḥ kurudhvam ? //	aKa maraNam avaSyam eva jantoH kim iti muDA malinam yaSaH kuruDvam ? //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ba) yuktirūpāmalaṅkṛtimāha   yuktiriti /	(vi, ba) yukti rUpAm alaFkRtim Aha   yuktiH iti /
        hetupradarśanena pareṣāṃ kāryārthaniścāyanamityarthaḥ /	hetu pradarSanena parezAm kArya arTa niScAyanam iti arTaH /
        yadi samaramiti /	yadi samaram iti /
        droṇasya maraṇena palāyamānān vīrān prati aśvatthāmna uktiriyam /	droNasya maraNena palAyamAnAn vIrAn prati aSvatTAmnaH uktiH iyam /
        atroktahetupradarśanena yuddhakarttavyatāniścāyanam /	atra ukta hetu pradarSanena yudDa karttavya tAniSca ayanam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   praharṣaḥ pramadādhikyaṃ   	praharzaH pramadADikyaM   
   yathā śākuntale   "rājā   tātkimidānīmātmānaṃ pūrṇamanorathaṃ	yaTA SAkuntale   "rAjA  tAtkim idAnIm AtmAnam pUrNa manoraTam
   nābhinandāmi" /	na aBinandAmi" /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, bha) praharṣākhyāmalaṅkṛtimāha   praharṣa iti spaṣṭam /	(vi, Ba) praharza AKyAm alaFkRtim Aha    praharzaH iti spazwam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
      śikṣā syādupadeśanam /	   SikzA syAt upadeSanam /
   yathā tatraiva  "sahi, ṇa juttaṃ assamavāsiṇo jaṇassa akidasakkāraṃ	yaTA tatra eva   "sahi, Na juttam assamavAsiNaH jaNassa akidasakkAram
   adidhivisesaṃ ujjhia sacchandado gamaṇam" /	adiDi visesam ujJia sa= Canda daH gamaNam" /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ma) upadeśānarūpāmalaṅkṛtimāha   śikṣeti /	(vi, ma) upadeSAnarUpAm alaFkRtim Aha   SikzA iti /
        sahīti /	sahi iti /
        sakhi ! na yuktamāśramavāsino janasyākṛtasatkāramatithiviśeṣamuktvā	saKi ! na yuktam ASrama vAsinaH janasya akRta satkAram atiTi viSezamuktvA
   svacchandato gamanam /	svacCandataH gamanam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   eṣāṃ ca lakṣaṇanāṭyālaṅkārāṇāṃ sāmānyata ekarūpatve 'pi bhedena vyapadeśo	ezAm ca lakzaNa nAwya alaFkArANAm sAmAnyatas eka rUpa tve api Bedena vyapadeSaH 
   gaḍḍalikāpravāheṇa /	gaxxalikA pravAheNa /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ya) eṣāṃ ceti /	(vi, ya) ezAm ca iti /
        lakṣaṇāni uktāni ṣaṭatriṃśat, nāṭyālaṅkārā uktāstrayatriṃśat /	lakzaNAni uktAni zawatriMSat, nAwya alaFkArAH uktAH trayatriMSat /
        ekarūpatve 'pīti /	eka rUpa tve api iti /
        lakṣaṇatvālaṅkāratvayorvinigamakābhāvāllakṣaṇānāmapyalaṅkāratvam	lakzaNatva alaFkAra tvayoH vinigamaka aBAvAt lakzaNAnAm api alaFkAra tvam
   alaṅkārāṇamapi lakṣaṇatvam ityevam ekarūpatvasambhave 'pītyarthaḥ /	alaFkArANam api lakzaNa tvam iti evam eka rUpa tva samBave api iti arTaH /
        bhedeneti /	Bedena iti /
        etāni lakṣaṇāni, etā alaṅkṛtaya ityevaṃ bhedena ityarthaḥ /	etAni lakzaNAni, etAH alaFkRtayaH iti evam Bedena iti arTaH /
        gaḍḍalikāpravāho 'nādisiddho nirmalo vyavahāraḥ /	gaxxalikA pravAhaH anAdi sidDaH nirmalaH vyavahAraH /
        Locanā:	LocanA:
        (lo, i) gaḍḍarikāpravāheṇeti   yathā gaḍḍarikā ekā aparāṃ tāṃ	(lo, i) gaxxarikA pravAheNa iti   yaTA gaxxarikA ekA aparAm tAm
   caṃtarānugacchati, tāsāṃ gatānugatamātreṇa bhedaḥ tathā	caMtara anugacCati, tAsAm gata anugata mAtreNa BedaH taTA
   lakṣaṇanāṭyālaṅkārayorapīti bhāvaḥ /	lakzaNa nAwya alaFkArayoH api iti BAvaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   eṣu ca keṣāṃcidguṇālaṅkārabhāvasaṃdhyaṅgaviśeṣāntarbhāve 'pi nāṭake	ezu ca kezAMcid guNa alaFkAra BAva saMDi aFga viSeza antarBAve api nAwake
   prayatnataḥ karttavyatvāttadviśeṣoktiḥ /	prayatnataH karttavya tvAt tad viSeza uktiH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ra) eṣu ceti /	(vi, ra) ezu ca iti /
        keṣāñcit vakṣyamāṇopamāvyatirekālaṅkārādirūpatvena teṣu kāvyāṅgeṣu	kezAQcid vakzyamANa upama avyatireka alaFkAra Adi rUpa tvena tezu kAvya aFgezu
   keṣāñcicca guṇabhāvatatsamvandhivyañjakatvena teṣu kāvyāṅgeṣu	kezAQcid ca guNa BAva tad samvanDi vyaQjaka tvena tezu kAvya aFgezu
   antarbhāvasambhave 'pi ityarthaḥ /	antarBAva samBave api iti arTaH /
        prayatnataḥ karttavyatvāditi   karttavyatā ca	prayatnataH karttavya tvAt iti   karttavya tA ca
   tattaprasaṅgaucityānusāreṇa yathāyogyameva na tu sarvatraiva	tad ta prasaFga Ocitya anusAreNa yaTAyogyam eva na tu sarvatra eva
   sarveṣābhityavadheyam /	sarveza aBityavaDeyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   etāni ca   	etAni ca   
   pañcasandhi caturvṛtti catuḥ ṣaṣṭyaṅgasaṃyutam /	paQca sanDi catur vRtti catuH zazwi aFga saMyutam /
   ṣaḍaviṃśallakṣaṇopetamalaṅkāropaśobhitam /	zaz aviMSat lakzaNa upetam alaFkAra upaSoBitam /
   mahārasaṃ mahābhogamudāttaracanānvitam /	mahArasam mahA Bogam udAtta racanA anvitam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, ī) mahārasamiti   rasabhāvanirantaram /	(lo, I) mahArasa miti    rasa BAva nirantaram /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   mahāpuruṣasatkāraṃ sādhvācāraṃ janapriyam //	mahApuruza satkAram sADu AcAram jana priyam //
   suśliṣṭasandhiyogaṃ ca suprayogaṃ sukhāśrayam /	su Slizwa sanDi yogam ca su prayogam suKa ASrayam /
   mṛduśabdābhidhānaṃ ca kaviḥ kuryāttu nāṭakam //	mRdu Sabda aBiDAnam ca kaviH kuryAt tu nAwakam //
   iti muninoktatvānnāṭake 'vaśyaṃ kartavyānyeva vīthyaṅgāni vakṣyante /	iti muninA ukta tvAt nAwake avaSyam kartavyAni eva vITi aFgAni vakzyante /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, la) sukavinā tu etat sakalaviśiṣṭamapi naṭakaṃ karttyamiti	(vi, la) sukavinA tu etat sakala viSizwam api nawakam karttyam iti
   munināṃktatvāt tena sarvabhidaṃ karttavyamityāha   pañcasandhi	muninA aMkta tvAt tena sarva Bidam karttavyam iti Aha    paQca sanDi 
