   Siddhārthacaritraṃ Kāvyam	SidDArTa-caritram KAvyam
   vasantakālasāmantasāmrājyamaṇimaṇḍape // 9.67 //	vasanta-kAla-sAmanta-sAmra-Ajya-maNi-maNxape // 9.67 //
   tālītamālahintālabahule sālakānane /	tAlIta-mAla-hintAla-bahule sAla-kAnane /
   sthitvā mādhyandinaṃ tāpaṃ nināya naranāyakaḥ // 9.68 //	sTitvA mADyandinam tApam ninAya nara-nAyakaH // 9.68 //
   dināvasāne samprāpte yāmamātrāvadhau yataḥ /	dina-avasAne samprApte yAma-mAtra-avaDO yatas /
   utthāya bhagavān bodhiṃ prapede prājyavikramaḥ // 9.69 //	utTAya BagavAn boDim prapede prAjya-vikramaH // 9.69 //
   brahmaṇopahitān darbhān ādāya nijapāṇionā /	brahmaNA-upahitAn darBAn AdAya nija-pANia-UnA /
   cikṣepa deśikavaraḥ prācye bodhimahītale // 9.70 //	cikzepa deSika-varaH prAcye boDi-mahI-tale // 9.70 //
   tatra kandarpadarpāṇāmbhedyamatikomalam /	tatra kandarpa-darpANa-amBedyam-ati-komalam /
   aparājitaparyaṅkam āvirāsīnmahāsanam // 9.71 //	aparAjita-paryaFkam Avis-AsIt-mahA-Asanam // 9.71 //
   ārurohāsanaṃ tuṅgam anaṅgaripumadbhutam /	Aruroha-Asanam tuFgam anaFga-ripum-adButam /
   aṃśumāniva pūrvādrim aśeṣajanabodhakaḥ // 9.72 //	aMSumAn-iva pUrva-adrim aSeza-jana-boDakaH // 9.72 //
   āruḍhabodhiparyaṅkam abhaṃguraguṇaṃ surāḥ /	AruXa-boDi-paryaFkam aBaMgura-guNam surAH /
   amumārebhire stotum avāṅmanasagocaram // 9.73 //	amumAreBire stotum avAFmanasa-gocaram // 9.73 //
   namaḥ suguṇamāṇikyasindhave ravibandhave /	namaH su-guNa-mANikya-sinDave ravi-banDave /
   namaḥ saṃsārapāthodhisetave muniketave // 9.74 //	namaH saMsAra-pAToDi-setave muni-ketave // 9.74 //
   namaḥ sakalasaṃkleśahāriṇe guṇahāriṇe /	namaH sakala-saMkleSa-hAriNe guNa-hAriNe /
   namaḥ samastatattvārthavedine 'dvayavādine // 9.75 //	namaH samasta-tattva-arTa-vedine advaya-vAdine // 9.75 //
   karuṇāpūralaharīparīvāhitacakṣuṣe /	karuNA-pUrala-harI-parIvAhita-cakzuze /
   bhāgadheyanidhānāya bhagavan! bhavate namaḥ // 9.76 //	BAgaDeya-niDAnAya Bagavan! Bavate namaH // 9.76 //
   kandarpadarpanirbhedakarmaṭhastvaṃ na cāparaḥ /	kandarpa-darpa-nirBeda-karmaWaH-tvam na ca-aparaH /
   pañcānanaṃ vinā ko hi kuñjaraṃ śāsituṃ kṣamaḥ! // 9.77 //	paQcAnanam vinA kaH hi kuQjaram SAsitum kzamaH! // 9.77 //
   śūrastvameva durvāragarvatīrthikamardane /	SUraH-tvam-eva durvAra-garva-tIrTika-mardane /
   mandareṇa vinā sindhuṃ mathituṃ kena pāryate! // 9.78 //	mandareNa vinA sinDum maTitum kena pAryate! // 9.78 //
   culukīkaraṇe śūrastvameva bhavavāridheḥ /	culukIkaraNe SUraH-tvam-eva Bava-vAriDeH /
   kumbhayoniṃ vinā ko hi kovidaḥ sindhucūṣaṇe // 9.79 //	kumBayonim vinA kaH hi kovidaH sinDu-cUzaNe // 9.79 //
   kuśalo 'tra bhavāneva śroṇīvalayabodhane /	kuSalaH atra BavAn-eva SroNI-valaya-boDane /
   ko vā vidhurvinā candraṃ kumudākarahāsane! // 9.80 //	kaH vA viDurvinA candram kumudAkarahAsane! // 9.80 //
   bhavakleśaṃ tvameveśa! niḥśeṣayitumīśiṣe /	Bava-kleSam tvam-eva-ISa! niHSezayitum-ISize /
   hartumanyaḥ kimīśīta haridaśvādṛte tamaḥ // 9.81 //	hartum-anyaH kim-ISIta harit-aSvAt-Rte tamaH // 9.81 //
   etābhireṣāṃ stutibhiredhamānaguṇodayam /	etABiH-ezAm stutiBiH-eDamAna-guNa-udayam /
   bodhimūlatalārūḍhaṃ buddhaṃ śuśrāva manmathaḥ // 9.82 //	boDi-mUla-tala-ArUXam budDam SuSrAva manmaTaH // 9.82 //
   śrutvā manobhūḥ kṣubhitāntarātmā viraktabuddhāpaśadaṃ vijetum //	SrutvA manoBUH kzuBita-antarAtmA virakta-budDa-apaSadam vijetum //
   ko vābhyupāyo bhuvane mama syādityāśu cintājvaranirduto 'bhūt // 9.83 //	kaH vA-aByupAyaH Buvane mama syAt-iti-ASu cintA-jvara-nirdutaH aBUt // 9.83 //
   iti śrībuddhaghoṣaviracite padyacūḍāmaṇināmni mahākāvye navamaḥ sargaḥ //	iti SrI-budDa-Goza-viracite padya-cUxAmaNi-nAmni mahAkAvye navamaH sargaH //
   daśamaḥ sargaḥ	daSamaH sargaH
   mārasannaddhatāvarṇanam	mAra-sannadDa-tA-AvarNanam
   atrāntare niviḍamāsthitabodhimūlamāvegavānabhiṣiṣeṇayiṣurmunīndram /	atra-antare nivixam-AsTita-boDi-mUlam-AvegavAn-aBizizeNayizuH-muni-indram /
   adhyāsya mattakariṇaṃ girimekhalākhyamāhūtasainyanivaho niragādanaṅgaḥ //	aDyAsya matta-kariNam giri-meKalA-AKyam-AhUta-sEnya-nivahaH niragAt-anaFgaH //
   nirgatya nihnatadigantarakandareṇa nirghātabhīmajayadundubhiniḥsvanena /	nirgatya nihnata-digantara-kandareNa nirGAta-BIma-jaya-dunduBi-niHsvanena /
   santrāsitākhilajanena mahābalena sākaṃ śanairavatatāra dharāmanaṅgaḥ //	santrAsita-aKila-janena mahA-balena sAkam SanEs-avata-tAra DarAm-anaFgaH //
   sambhrāntaśāṅkhikaśatānanapūryamāṇo mārasya sānnahaniko varaśaṅkhaghoṣaḥ /	samBrAnta-SAFKika-Sata-Anana-pUryamANaH mArasya sAnnahanikaH vara-SaFKa-GozaH /
   saṃgrāmaśaśvadupalālitapāñcajanyanādasya na vyasana mabdhiśayasya cakre //	saMgrAma-SaSvat-upalAlita-pAQcajanya-nAdasya na vyasana mabDiSayasya cakre //
   nissāṇaghoraninado nikhilāntarikṣakukṣimbhariḥ prasṛmaro makaradhvajasya /	nissANa-Gora-ninadaH niKila-antarikza-kukzimBariH prasRmaraH makaraDvajasya /
   dambholighoṣajanitaśravaṇotsavasya devasya kevalamajāyata dattaharṣaḥ //	damBaH-li-Goza-janita-SravaNa-utsavasya devasya kevalam-ajAyata datta-harzaH //
   vetaṇḍamaṇḍalaviḍambitacaṇḍavāyuvegāvakhaṇḍitakulācalagaṇḍaśailam /	vetaNxa-maNxala-vixambita-caNxa-vAyu-vegO=-aKaNxita-kula-acala-gaNxa-SElam /
   saṃvartasāgarasamudgatabhaṅgatuṅgatvaṅgatturaṅgamataraṅgitasarvadikkam //	saMvarta-sAgara-samudgata-BaFga-tuFga-tvaFgat-turaFgamataraFgita-sarva-dikkam //
   āḍhaukamānarathamaṇḍalacakranemidhārāvidāritadharātalasanniveśam /	AXOkamAna-raTa-maNxala-cakra-nemi-DArA-vidArita-DarA-tala-sanniveSam /
   pādātapādapatanāśanipāṭyamānapātālasantamasasāndrarajo 'ndhakāram // 10.6	pAda-AtapAt-apatana-aSani-pAwyamAna-pAtAla-santamasa-sAndra-rajaH anDakAram // 10.6
   ādhūyamānakaravālakarālakālacchāyāsamuccalanaśādvalitāntarikṣam /	ADUyamAna-karavAla-karAla-kAla=-CAyA-samuccalana-SAdvalita-antarikzam /
   helāvakuṇḍalitakārmukakānanajyāviṣphāravegabadhirīkṛtaviśvalokam // 10.7	helA-ava-kuNxalita-kArmuka-kAnanajyA-vizPAra-vega-baDirIkRta-viSva-lokam // 10.7
   āsphālitāpratimabhairavabherighorakolāhaladhvaniyathārthanabho 'bhidhānam	AsPAlita-apratima-BErava-Beri-Gora-kolAhala-Dvani-yaTa-arTa-naBaH aBiDAnam
   śuṇḍākaraṇḍavivarapravitanyamānaśūtkāraśīkarakarālitameghamārgam // 10.8	SuNxAkaraNxa-vivara-pravitanyamAna-SUtkAra-SIkaraka-rAlita-meGa-mArgam // 10.8
   kṣoṇītalāntaranirantarajṛmbhamāṇadhūlonikāyaculukākṛtasindhupūram /	kzoNI-tala-antara-nirantara-jRmBa-mANa-DUlaH-nikAyaculukA-kRta-sinDu-pUram /
   nāsīravīrasamudīritasiṃhanādasannāhagarjitasamastaguhāntarālam // 10.9 //	na-AsIra-vIra-samudIrita-siMha-nAda-sannAha-garjita-samasta-guhA-antarAlam // 10.9 //
   dodhūyamānasitacāmarikānikāyasampāditādbhutaśaratsamayāvatāram /	doDUyamAna-sita-cAmarikA-nikAya-sampAdita-adButa-Sarad-samaya-avatAram /
   saṃrabdhapuṣpaśaraśāsanacodyamānacakraṃ krameṇa caturaṅgabalaṃ cacāla //	saMrabDa-puzpa-Sara-SAsana-codyamAna-cakram krameNa caturaFga-balam cacAla //
   kalpāntakālaghaṭamānaghanāghanaughagambhīraghoraghanagarjitanirviśeṣaiḥ /	kalpa-anta-kAla-GawamAna-Gana-aGana-oGa-gamBIra-Gora-Gana-garjita-nirviSezEH /
   āpāditairmakaraketanavādyakārairādhmātamaṇḍamabhavat paṭahapraṇādaiḥ //	ApAditEH-makara-ketana-vAdya-kArEH-ADmAta-m-aNxam-aBavat pawaha-praNAdEH //
   abhyudbhatai ramitasainyaparāgajālairandhīkṛtākuladṛśāmahipuṅgavānām /	aByudBatEH ramita-sEnya-parAga-jAlEH-anDIkRta-Akula-dRSAm-ahi-puFgavAnAm /
   āviścakāra bhuvaneṣu paraṃ nipīḍāmāḍambaraḥ paṭahajo madanaprayāṇe //	AviScakAra Buvanezu param nipIxAm-AxambaraH pawaha-jaH madana-prayANe //
   atyantamandhayati diṅmukhamambuvāhasandoharociṣi camūrajasāṃ samūhe /	atyantam-anDayati diFmuKam-ambu-vAha-sandoha-rocizi camU-ra-jasAm samUhe /
   naukā ivoddhurasarasvati naṣṭamārgā bhremurbhṛśaṃ surapathe sumanovimānāḥ	nOkAH iva-udDurasarasvati nazwa-mArgAH BremuH-BRSam sura-paTe sumanaH-vimAnAH
   vātotthitaṃ mahati sainikadhūlimadhye sañcāriṇassumanasāṃ vyarucanvimānāḥ	vAta-utTitam mahati sEnika-DUli-maDye saQcAriNassumanasAm vyarucan-vimAnAH
   saṃhāratāṇḍavitasāgaravāripūre pāriplavā iva muhuḥ jagadaṇḍakhaṇḍāḥ //	saMhAra-tANxavita-sAgara-vAri-pUre pAriplavAH iva muhur jagadaNxa-KaNxAH //
   kalpakṣayakṣubhitamārutavegabhīmakandarpasainyakabalīkṛtabhītabhītāḥ /	kalpa-kzaya-kzuBita-mAruta-vega-BIma-kandarpa-sEnyaka-balIkRta-BIta-BItAH /
   abhyullasadbahalareṇubharāpadeśādambhodhayo gaganamutpatitā ivāsan //	aByullasat-bahala-reNu-Bara-apadeSAt-amBoDayaH gaganam-utpatitAH iva-Asan //
   pratyarthidantijayasindhuradantabhinnakṣmābhṛdguhāntaragatā iva	pratyarTi-danti-jaya-sinDura-danta-Binna-kzmA-BRt-guhA-antara-gatAH iva
   cāndhakārāḥ /	ca-anDakArAH /
   āvavrurambaramabhaṅgurajṛmbhamāṇāḥ senāparāganikarā bhramarābhirāmāḥ //	AvavruH-ambaram-aBaFgura-jRmBamANAH senA-aparAga-nikarAH Bramara-aBirAmAH //
   atyulbaṇairamitasainyaparāgapūrairāpūriotaṃ gaganakandaramābabhāse /	ati-ulbaNEH-amita-sEnya-parAga-pUrEH-ApUriotam gagana-kandaram-AbaBAse /
   āplāvitākhilapathairyamunāpravāhairāśliṣyamāṇamiva lāvaṇasindhumadhyam //	AplAvita-aKila-paTEH-yamunA-pravAhEH-ASlizyamANam-iva lAvaNa-sinDu-maDyam //
   abhyucchritairavanimāṃsalapāṃsujālairatyulbaṇaṃ gaganamaṇḍalamāstṛṇānaiḥ /	aByucCritEH-avani-mAMsa-lapAMsu-jAlEH-atyulbaNam gagana-maNxalamAstRNAnEH /
   āśāṅganā madanasāyakapātabhīterāmuktanīlaghanakañculikā ivāsan // 10.18 //	ASa-aFganA madana-sAyaka-pAta-BIteH-Amukta-nIla-Gana-kaQculikAH iva-Asan // 10.18 //
   dhūlībhare culukitārṇavatoyapūre svairapracāra mabhitaḥ pratipadyamāne /	DUlI-Bare culukita-arNava-toyapUre svEra-pracAra maBitaH pratipadyamAne /
   kalpakṣayo 'miti kaiṭabhajid bhrameṇa bhūyo 'pi viśvamudare	kalpa-kzayaH am-iti kEwaBajit BrameNa BUyas api viSvam-udare
   parihartumaicchat // 10.19 //	parihartum-EcCat // 10.19 //
   paryāpatatturakhaṇḍitabhūsamutthaiḥ pāthodhayaḥ kabalitāḥ paruṣaiḥ	paryApa-tatturaKaNxita-BU-samutTEH pAToDayaH kabalitAH paruzEH
   parāgaiḥ /	parAgEH /
   mattebhagaṇḍagalitairmadavāripūrairbhūyo babhūvuradhikaṃ punaruktatoyāḥ //	matta-iBa-gaNxa-galitEH-mada-vAri-pUrEH-BUyas baBUvuH-aDikam punar-ukta-toyAH //
   ambhodhisampadavaluṇṭhanakumbhayonirabhyudgato makaraketanasainyareṇuḥ /	amBoDi-sampad-avaluNWana-kumBa-yoniH-aByudgataH makara-ketana-sEnya-reNuH /
   ambhojinīpatirasau mama vairibandhurityantarāhitaruṣeva tiraścakāra //	amBojinIpatiH-asO mama vEri-banDuH-iti-antara-ahita-ruzA-iva tiras-cakAra //
   abhyudgataṃ paribhavaṃ nijavaṃśaketoratyugramīkṣituśakta ivāṃśumālo /	aByudgatam pariBavam nija-vaMSa-ketoH-ati-ugram-Ikzitu-SaktaH iva-aMSumAlaH /
   kandarpasainyaghanadhūliparamparāṣu gāḍhāndhakāritadiśāsu tirobabhūva //	kandarpa-sEnya-Gana-DUli-paramparAzu gAXa-anDa-kArita-diSAsu tirobaBUva //
   ātanyamānabalareṇughanāndhakārairākampamānakariketuśatahradābhiḥ /	AtanyamAna-bala-reNu-Gana-anDakArEH-AkampamAna-kariketu-SatahradABiH /
   aśvīyaphenakaṇikākarakākadambairvarṣāvatāra iva harṣakaro babhūva // 10.23	aSvIya-Pena-kaNikA-karakA-kadambEH-varzAvatAraH iva harza-karaH baBUva // 10.23
   prauḍhāndhakāritadiśāvalaye prasarpatyucchṛṅkhale rajasi ruddhanabho	prOXa-anDa-kArita-diSA-valaye prasarpati-ucCRFKale rajasi rudDa-naBaH-
   'vakāśe /	avakASe /
   pātālaloka iva bhūvalayo babhūva bhūsanniveśa iva puṇyakṛtāṃ nivāsaḥ //	pAtAla-loke iva BU-valayaH baBUva BU-sanniveSaH iva puNya-kRtAm nivAsaH //
   aśvīyapādadalitādavanītalāntādabhyucchrite ca nitarāṃ nikhile parāge /	aSvIya-pAda-dalitAt-avanI-tala-antAt-aByucCrite ca nitarAm niKile parAge /
   bhūmīdharāḥ paramabhūmidharā babhūvuḥ śeṣo 'pi kevalamabhūt phaṇamālabhārī	BUmIDarAH parama-BUmi-DarA baBUvuH SezaH api kevalam-aBUt PaNa-mAla-BArI
   digdintināṃ mukhapaṭaprakaṭopameye senāparāganikare sati jṛmbhamāṇe /	diS-dintinAm muKa-pawa-prakawa-upameye senA-aparAga-nikare sati jRmBamANe /
   pāthodhayaḥ sapadi paṅkadhayastadāsan pāthodharā nabhasi paṅkadharā	pAToDayaH sapadi paFkaDayaH-tat-Asan pAToDarA naBasi paFkaDarA
   babhūvuḥ // 10.26 //	baBUvuH // 10.26 //
   āpītasarvamakarākaravārirāśerāśāvakāśagaganeṣvamitasya reṇoḥ /	ApIta-sarva-makara-Akara-vAri-rASeH-ASAvakASa-gaganezu-amitasya reNoH /
   cakrācale bahiriva prasarāya cakrurāśāgajā vivaramādṛtavapraghātāḥ //	cakra-acale bahis-iva prasarAya cakruH-ASAgajAH vivaram-AdRta-vapra-GAtAH //
   senāmbudhau jayipadātimahāpravāhe magnāḥ kulakṣitidharā iva vāraṇendrāḥ /	senA-ambuDO jayi-padAti-mahA-pravAhe magnAH kula-kziti-DarAH iva vAraNa-indrAH /
   tvaṅgattaraṅganivahā iva tuṅgavāhāa naumaṇḍalā iva rathāḥ sutarāṃ virejuḥ	tu-aFgattaraFga-nivahAH iva tuFgavAhAa nOmaNxalAH iva raTAH sutarAm virejuH
   madhye lasanmakaralāñchanadarśanīyā mārasya rejuramalā jayaketupaṭṭāḥ /	maDye lasat-makara-lAQCana-darSanIyAH mArasya rejuH-amalAH jaya-ketu-pawwAH /
   ambhonidhiṃ nijabalodadhinā vijitya bandīkṛtā iva tadīyapurandhrivargāḥ //	amBoniDim nija-bala-udaDinA vijitya bandIkRtAH iva tadIya-puranDri-vargAH //
   antaḥ samudbhavadamarṣamahāgnijāta dhūmāvalīmalinakañcukasañcitāṅgam /	antar samudBavat-amarza-mahA-agni-jAta DUma-AvalI-malina-kaQcuka-saQcita-aFgam /
   atyantabhīṣaṇamanekasahasrabāhumātmānamāttavividhāstramasāvakārṣīt //	atyanta-BIzaNam-aneka-sahasra-bAhum-AtmAnam-Atta-viviDAH-tram-asO=-akArzIt //
   āplāvitākhiladigantamahīdhrarandhramākṛṣṭakalpavilayakṣubhitārṇavābham /	AplAvita-aKila-diS-anta-mahIDra-ranDram-AkRzwa-kalpa-vilaya-kzuBita-arNava-ABam /
   ākāritaṃ makaraketuradṛṣṭapāramākārabhīṣaṇamakārayadātmasainyam // 10.31	AkAritam makara-ketuH-adRzwa-pAramAkAra-BIzaNam-akArayat-Atma-sEnyam // 10.31
   āśāmaśeṣamavanītalamaśnuvānairāveṣṭitaḥ parikarairamitaprabhāvaiḥ /	ASAm-aSezam-avanI-talam-aSnuvAnEH-AvezwitaH parikarEH-amita-praBAvEH /
   ārūḍhabodhitalavedimabhinnadhairyamabhyāsasāda munipuṅgavamātmayoniḥ //	ArUXa-boDi-tala-vedima-Binna-DEryam-aByAsasAda muni-puFgavam-Atma-yoniH //
   āmuktacārutaracīvaravāravāṇamārūḍhayogagajabandhurakandharāgram /	Amukta-cAru-tara-cIvara-vAra-vANam-ArUXa-yoga-gaja-banDura-kanDarA-agram /
   ārabdha yoddhumavikampitaśauryarāśiṃ puṣpāyudhaḥ sphuradamarṣakaṣāyitākṣaḥ	ArabDa yodDum-avikampita-SOrya-rASim puzpa-AyuDaH sPurat-amarza-kazAyitAkzaH
   tasyāntike śamadamāmṛtavārirāśermuktā babhūvuramalā viśikhāḥ smarasya /	tasya-antike Sama-dama-amRta-vAri-rASeH-muktAH baBUvuH-amalAH viSiKAH smarasya /
   śuddhātmanāmakṛtadānaphalonnatīnāṃ kiṃ kiṃ na sidhyati kṛtākṣayapakṣakāṇām	SudDa-Atma-nAm-akRta-dAna-Pala-unnatInAm kim kim na siDyati kRta-akzaya-pakzakANAm
   tasmin kṣamāmayatanucchamādadhāne dhairyodadhau tapanacaṇḍatamaprabhāve /	tasmin kzamA-Amaya-tanucCamAdaDAne DErya-udaDO tapana-caNxatama-praBAve /
   kuṇṭhīkṛtātmagatayaḥ kusumāstrabāṇāḥ kṛtyā iva pratinivṛtya tameva jaghnuḥ	kuNWIkRta-Atma-gatayaH kusuma-astra-bANAH kRtyAH iva pratinivRtya tam-eva jaGnuH
   mārasya mārgaṇagaṇāḥ sumanāyamānāḥ satpakṣasambhṛtasamāgatayo 'pyavāpuḥ /	mArasya mArgaNa-gaNAH sumanAyamAnAH sat-pakza-samBRta-samAgatayaH api-avApuH /
   taṃ sthūlalakṣamupagamya na dānalābhaṃ ko vā dadātu guṇahīnaviceṣṭitāya //	tam sTUlalakzam-upagamya na dAna-lABam kaH vA dadAtu guNa-hIna-vicezwitAya //
   cakrīkṛtāyataśarāsanamāsthitena sampreṣitāḥ śitaśarā makaradhvajena /	cakrIkRta-Ayata-SarAsanam-AsTitena samprezitAH Sita-SarAH makaraDvajena /
   āsādya buddhamabhajan sumanomayatvaṃ satsaṅgatiḥ suralateva na kiṃ karoti	AsAdya budDam-aBajan sumanaH-maya-tvam sat-saFgatiH suralatA-iva na kim karoti
   samprāpya śāntahṛdayaṃ munisārvabhaumaṃ saṃvidviśeṣarahiteṣvapi sāyakeṣu /	samprApya SAnta-hRdayam muni-sArvaBOmam saMvid-viSeza-rahitezu-api sAyakezu /
   sadyo gateṣu mṛdutāṃ sa hi śambarārirvyāroṣadagdhahṛdayo mṛdutāṃ na bheje	sadyas gatezu mRdu-tAm sa hi SambarAriH-vyAroza-dagDa-hRdayaH mRdu-tAm na Beje
   cetobhavasya saphalā api sāyakāste taṃ prāpya śāntahṛdayaṃ viphalā	cetaH-Bavasya saPalAH api sAyakAH-te tam prApya SAnta-hRdayam viPalA
   babhūvuḥ /	baBUvuH /
   daive sameyuṣi parāṅmukhatāṃ hi sarvaṃ hastopayātamapi hanta! vināśameti	dEve sameyuzi parAFmuKa-tAm hi sarvam hasta-upayAtam-api hanta! vinASam-eti
   itthaṃ jagattrayatiraskaraṇakṣameṣu sarveṣu hanta! viśikheṣu nirarthakeṣu	itTam jagattraya-tiraskaraNa-kzamezu sarvezu hanta! viSiKezu nirarTakezu
   vairagrahāndhahṛdayo mathanāya tasya māro mahāpralayamārutamādideśa //	vEra-graha-anDa-hRdayaH maTanAya tasya mAraH mahApralaya-mArutam-AdideSaH //
   āmūlabhāgadhutadivyanadīsamudyadambhobharāhitayathādhyuṣitābhiṣekaḥ /	AmUla-BAga-Duta-divya-nadI-samudyat-amBaH-Bara-Ahita-yaTA-aDyuzita-aBizekaH /
   abhyarcanārthamiva sambhṛtapuṣpareṇurakṣobhitaṃ munimavāpa mahāsamīraḥ //	aByarcana-arTam-iva samBRta-puzpa-reNuH-akzoBitam munim-avApa mahA-samIraH //
   taṃ prātya sarvaguṇabhāraguruṃ munīndraṃ na prāgabhavaccalayituṃ sa	tam prAtya sarva-guNa-BAra-gurum muni-indram na prAc-aBavat-calayitum sa
   mahājavo 'pi /	mahA-javaH api /
   naitad vicitramakhilāṭavighasmarasya dāvānalasya na hi mūrchati śaktirapsu	na-etat vicitram-aKila-Awa-vi-Gasmarasya dAva-analasya na hi mUrCati SaktiH-apsu
   evaṃ mahāpavanavāridharādikeṣu vyarthībhavatsu vipuleṣvapi cāyudheṣu /	evam mahA-pavana-vAri-Dara-Adikezu vyarTIBavatsu vipulezu-api ca-AyuDezu /
   puṣpāyudhaḥ punariyeṣa pumāṃsamādyaṃ vāksāyakairhṛdayamarmatudairvijetum	puzpa-AyuDaH punar-iyeza pumAMsam-Adyam vAc-sAyakEH-hRdaya-marma-tudEH-vijetum
   naiva tvadīyamidamāsanamasmadīyamutthāya tūrṇamamutaḥ sahasāpayāhi /	na-eva tvadIyam-idam-Asanam-asmadIyam-utTAya tUrNam-amutas sahasA-apayAhi /
   āpūritā paramapāramikā mayaiva tatsākṣiṇī mama mahāpṛtanetyavocat // 10.44	ApUritA parama-pAramikA mayA-eva tad-sAkziNI mama mahApRtanA-iti-avocat // 10.44
   aṅkāt prasārya karapallavamādibhikṣuryāvajjagāda giramiddhatapaprabhāvaḥ /	aFkAt prasArya karapallavam-Adi-BikzuH-yAvat-jagAda giram-idDa-tapa-praBAvaH /
   māraḥ palāyata tato mahatā balena bhraṣṭātapatrarathaketukuthena bhītaḥ //	mAraH palAyata tatas mahatA balena Brazwa-Atapatra-raTa-ketu-kuTena BItaH //
   mārāṅganāstadanu mantharadṛṣṭipātā vācālaratnapadanūpurapārihāryāḥ /	mAra-aFganAH-tadanu manTara-dRzwi-pAtAH vAcAla-ratna-pada-nUpura-pArihAryAH /
   sadyaḥ sametya caturasraviśālagarbhaṃ cakrustadagrabhuvi tāṇḍavamatyudāram	sadyas sametya catur-asra-viSAla-garBam cakruH-tad-agra-Buvi tANxavam-ati-udAram
   antaḥsamāhitasamādhirasānuṣaktamālokya śākyakulanandanamaprakampyam /	antar-samAhita-samADi-rasa-anuzaktam-Alokya SAkya-kula-nandanam-aprakampyam /
   karṇāmṛtāni vacanāni ca kātarākṣyaḥ kāmāṅganā vidadhire karuṇākṣarāṇi //	karNAmRtAni vacanAni ca kAtara-akzyaH kAma-aFganA vidaDire karuNa-akzarANi //
   asyai patanmadanasāyakavihvalāyai dṛṣṭipradānamapi kartumapārayantam /	asyE patan-madana-sAyaka-vihvalAyE dRzwi-pradAnam-api kartum-apArayantam /
   utpāṭya locanayugaṃ dvijapuṅgavāya tvāṃ dattavāniti kathaṃ bruvate purāṇāḥ	utpAwya locana-yugam dvija-puFgavAya tvAm dattavAn-iti kaTam bruvate purANAH
   magnāṃ mahāmakaraketanavārirāśau māmitthamādhividhurāmavalambaśūnyām /	magnAm mahA-makara-ketana-vAri-rASO mAm-itTam-ADi-viDurAm-avalamba-SUnyAm /
   uddhartumapyakuśalo jananāmburāśeruttārayiṣyasi kathaṃ tvamaśeṣalokam //	udDartum-api-akuSalaH janana-amburASeH-uttArayizyasi kaTam tvam-aSeza-lokam //
   dṛṣṭvāsmadīyamanavadyatamaṃ vilāsaṃ ślāghāśirovidhutimapyatidūrayantam /	dRzwvA-asmadIyam-anavadyatamam vilAsam SlAGA-SiraH-viDutim-api-atidUrayantam /
   ucchīdya mastakamudastaripuprabhāvaṃ tvāṃ dattavāniti vadanti kathaṃ	ucCIdya mastakam-udastaripu-praBAvam tvAm dattavAn-iti vadanti kaTam
   kavīndrāḥ // 10.50 //	kavi-indrAH // 10.50 //
   puṇyātmanāmadhipate! puruṣottamatvamāptuṃ padaṃ tvamabhivāñchasi kiṃ	puNya-AtmanAm-aDipate! puruzottama-tvam-Aptum padam tvam-aBivAQCasi kim
   tapobhiḥ /	tapoBiH /
   asmāsu kāmapi vadhūmadhiropaya tvaṃ vakṣastaṭe mahati meruśilāviśāle //	asmAsu kAm-api vaDUm-aDiropaya tvam vakzaH-tawe mahati meru-SilA-viSAle //
   bhadrānvavāyamatha vā parameśvaratvamākāṃkṣase samupayātumalaṃ tapobhiḥ /	BadrAnvavAyam-aTa vA parameSvara-tvam-AkAMkzase samupayAtum-alam tapoBiH /
   kāmapyamūṣu kamalāyatadṛṣṭipātāṃ vāmālakāṃ tvamadhirohayaṃ vāmabhāge //	kAm-api-amUzu kamala-Ayata-dRzwi-pAtAm vAma-alakAm tvam-aDirohayam vAma-BAge //
   ānandakandalitalocanavibhramāṇām ambhoruhaprakaragarvagalagrahāṇām /	Ananda-kandalita-locana-viBramANAm amBoruha-prakara-garva-galagrahANAm /
   āviḥsmitānanarucāmavalokanānāṃ pātrībhavanti sudṛśāṃ nanu bhāgyavantaḥ //	AviH-smitAn-ana-rucAm-avalokanAnAm pAtrIBavanti sudRSAm nanu BAgyavantaH //
   ākṛṣṭaraktaparapuṣṭavacovilāsād ālocanāntavivṛtādṛtakarṇapeyāt /	AkRzwa-rakta-parapuzwa-vacaH-vilAsAt Alocana-anta-vivRta-AdRta-karNa-peyAt /
   āścaryabhaṅgisubhagādaparokṣasaukhyādābhāṣaṇānmṛgadṛśāmamṛtaṃ kimanyat //	AScarya-BaFgi-suBagAt-aparokza-sOKyAt-ABAzaNAt-mRga-dRSAm-amRtam kim-anyat //
   aśrāntapānasahamauṣadhamātmayonitāpodayeṣvanupadaṃśamano 'bhirāmam /	aSrAnta-pAna-saham-OzaDam-Atma-yoni-tApa-udayezu-anupadaMSa-manaH aBirAmam /
   akṣīyamāṇamadharāmṛtamaṅganānāmāsvādyatāmayati puṇyavatāṃ hi puṃsām //	akzIyamANam-aDara-amRtam-aFganAnAm-AsvAdyatAmayati puNyavatAm hi puMsAm //
