   Abhidharmasamuccayabhāṣyam	ABiDarma samuccaya BAzyam
   yāvadvayavadānamapi na samanupaśyati yāvanna caratīti na samanupaśyati	yAvat vayavadAnam api na samanupaSyati yAvat na carati iti na samanupaSyati
   pudgaladharmabhāvapratiṣedhāt / samāropavikalpapratipakṣeṇāha   tathāhi	pudgala Darma BAva pratizeDAt / samAropa vikalpa pratipakzeNa Aha  taTA hi
   nāma svabhāvena śūnyamiti, abhūtaparikalpasya svabhāvapratiṣedhāt /	nAma svaBAvena SUnyam iti, aBUta parikalpasya svaBAva pratizeDAt /
   apavādavikalpapratipakṣeṇāha   na śūnyatayeti, tasminnāmni tena	apavAda vikalpa pratipakzeNa Aha  na SUnyatayA iti, tasmin nAmni tena
   parikalpitena parikalpita svabhāvena virahitatāyāḥ sarvadāstitvāt /	parikalpitena parikalpita svaBAvena virahita tAyAH sarvadA astitvAt /
   ekatvavikalpaprati pakṣaiṇāha   yā rūpasya śūnyatā na tadrūpaṃ	ekatva vikalpa prati pakzENa Aha  yA rUpasya SUnyatA na tad rUpam
   yāvadvijñānamiti, bhāvāntaratvāt / rūpādayo hi parikalpitaḥ svabhāvaḥ	yAvat vijQAnam iti, BAva antara tvAt / rUpa AdayaH hi parikalpitaH svaBAvaH
   śūnyatā pariniṣpanna iti / pṛthakatvavikalpapratipakṣeṇāha   nāpyanyatra	SUnyatA parinizpannaH iti / pRTaka tva vikalpa pratipakzeNa Aha  na api anyatra
   rūpācchūnyatāyā rūpam, yāvacchanyataiva vijñānamiti,	rUpAt SUnyatAyAH rUpam , yAvat SanyatA eva vijQAnam iti,
   parikalpitasvabhāvasyā lakṣaṇatvāttadvyatirekeṇa tadbhā vāsaṃbhavataḥ /	parikalpita svaBAvasyAH lakzaNa tvAt tat vyatirekeNa tad BA vA asaMBavataH /
   svabhāvavikalpapratipakṣeṇāha   nāmamātramidaṃ yaduta rūpamiti	svaBAva vikalpa pratipakzeNa Aha  nAma mAtram idam yat uta rUpam iti
   yāvadvijñānamiti, abhilāpavyatirekeṇābhilāpyasvabhāvābhāvāt /	yAvat vijQAnamiti, aBilApa vyatirekeNa aBilApya svaBAva aBAvAt /
   viśeṣavikalpapratipakṣeṇāha   svabhāvasya notpādo yāvadvayavadānamapi na	viSeza vikalpa pratipakzeNa Aha  svaBAvasya na utpAdaH yAvat vayavadAnam api na
   samanupaśyatīti, utpādādiviśeṣalakṣaṇapratiṣedhāt /	samanupaSyati iti, utpAda Adi viSeza lakzaNa pratizeDAt /
   yathānāmārthavikalpapratipakṣeṇāha   kṛtrimaṃ (Abhidh s bh 139) nāma prati	yaTA nAma arTa vikalpa pratipakzeNa Aha  kRtrimam (a aBiD s B 139) nAma prati
   prati te dharmāḥ kalpitā āgantukena nāmnā vyavahriyante ityevamādi /	prati te DarmAH kalpitAH Agantukena nAmnA vyavahriyante iti evamAdi /
   yathārthanāmavikalpapratipakṣeṇāha   tāni bodhisattvaḥ sarvanāmāni na	yaTArTa nAma vikalpa pratipakzeNa Aha  tAni boDisattvaH sarva nAmAni na
   samanu paśyannābhiniviśata iti, yathārthaṃ nāmnāmadarśanā[na]bhiniveśāt //	samanu paSyat nABiniviSataH iti, yaTArTam nAmnA Am adarSanA[ na]BiniveSAt //
   nirvikalpanāt tridhā saṃtuṣṭinirvikalpanādibhiḥ / tatra pṛthagjanā yadi	nirvikalpanAt triDA saMtuzwi nirvikalpana AdiBiH / tatra pRTagjanAH yadi
   [a]nityatādikāṃ kāṃcidevadharmatāmārabhya cittaparyavasānaṃ nītvā	[a]nitya tA AdikAm kAMcid eva Darma tAm AraBya citta paryavasAnam nItvA
   labdhaparitoṣā bhavantyevametaditi niścinvantaḥ sā teṣāṃ	labDa paritozAH Bavanti evam etat iti niScinvantaH sA tezAm
   saṃtuṣṭinirvikalpatetyucyate, tatra sarvatarkākhyavikalpoparateḥ /	saMtuzwi nirvikalpatA iti ucyate, tatra sarva tarka AKya vikalpa uparateH /
   śrāvakāḥ skandheṣu nityādiviparyāsapratipakṣeṇa yathāvadrūpādikaṃ	SrAvakAH skanDezu nitya Adi viparyAsa pratipakzeNa yaTAvat rUpa Adikam
   dharmadhātuṃ parīkṣamāṇā lokottareṇa jñānena nairātmyaṃ pratividhyantyataḥ	DarmaDAtum parIkzamANA loka uttareNa jQAnena nErAtmyam prativiDyantyatas 
   sā teṣāmaviparyāsanirvikalpatetyucyate / bodhisattvāstadapi	sA tezAm aviparyAsa nirvikalpatA iti ucyate / boDisattvAH tat api
   rūpādidharmamātraṃ prapañca iti viditvā sarvadharmanimittāni vibhāvayantaḥ	rUpa Adi Darma mAtram prapaQcaH iti viditvA sarva Darma nimittAni viBAvayantaH
   paramaśāntena lokottareṇa jñānena sarvatragāṃ tathatāṃ pratividhyantyataḥ	parama SAntena loka uttareNa jQAnena sarvatragAm taTatAm prativiDyantyatas 
   sā teṣāṃ niṣprapañcanirvikalpatetyucyate / kathaṃ punarasau	sA tezAm nizprapaQca nirvikalpatA iti ucyate / kaTam punar asO
   niṣprapañcanirvikalpatetyucyate / yadyamanaskāratastena suptamattādīnāṃ	nizprapaQca nirvikalpatA iti ucyate / yadi amanaskArataH tena supta matta AdInAm
   nirvikalpatāprasaṅgaḥ, teṣāṃ dharmanimittāmanaskārāt / atha	nirvikalpa tA prasaFgaH, tezAm Darma nimitta Ama naskArAt / aTa
   samatikramatastena dvitīyadhyānāt prabhṛti sarvatra nirvikalpatā prāpnoti,	samatikramataH tena dvitIya DyAnAt praBRti sarvatra nirvikalpa tA prApnoti,
   [vi]tarkavicāravikalpānāṃ samatikramāt, tataśca vikalpasya śarīraṃ hi	[vi]tarka vicAra vikalpAnAm samatikramAt, tatas ca vikalpasya SarIram hi
   cittacaittāḥ traidhātukā ityasya virodhaḥ / atha vyupaśamatastena	citta cEttAH trEDAtukAH iti asya viroDaH / aTa vyupaSamataH tena
   saṃjñāveditanirodhasamāpattirnivikalpatā prāpnoti, tatra	saMjQA vedita niroDa samApattiH nivikalpa tA prApnoti, tatra
   cittacaitavikalpavyupaśamāt, tataśca jñānābhāvaḥ prasajyate / atha	citta cEta vikalpa vyupaSamAt, tatas ca jQAna aBAvaH prasajyate / aTa
   svabhāvatastena rūpaṃ nirvikalpatā prāpnoti, tasyāvikalpasvabhāvatvāt /	svaBAvataH tena rUpam nirvikalpa tA prApnoti, tasya avikalpa svaBAva tvAt /
   athālaṃbane 'bhisaṃskārastena savikalpataiva nirvikalpatā prāpnoti,	aTa AlaMbane aBisaMskAraH tena sa vikalpa tA eva nirvikalpa tA prApnoti,
   nirvikalpametadityetasyābhisaṃskārasya nimittavikalpalakṣaṇatvāt /	nirvikalpam etat iti etasya aBisaMskArasya nimitta vikalpa lakzaNa tvAt /
   tasmānnaibhiḥ prakāraiḥ nirvikalpatā draṣṭavyā / api tvālaṃbane	tasmAt na eBiH prakArEH nirvikalpa tA drazwavyA / api tu A alaMbane
   'nabhisaṃskāratādraṣṭavyā / kathaṃ kṛtvā / yadā hyasya	anaBisaMskAra tA drazwavyA / kaTam kRtvA / yadA hi asya
   bodhisattvasyānulomikamavavādamāgamya prakṛtyā	boDisattvasya Anulomikam avavAdam Agamya prakRtyA
   sarvadharmanimittānyapariniṣpannānīti	sarva Darma nimittAni aparinizpannAni iti
   vicārayatastadvicāraṇābhyāsabalādhānāt pratyātmamanabhisaṃskāreṇaiva	vicArayataH tad vicAraNa aByAsa bala ADAnAt pratyAtmam anaBisaMskAreNa eva
   yathāvanniṣprapañcadhātau sarvadharmatathatāyāṃ cittaṃ samādhīyate	yaTAvat nizprapaQca DAtO sarva Darma taTatAyAm cittam samADIyate
   sāsāvucyate niṣprapañcanirvikalpateti //	sa asO= ucyate nizprapaQca nirvikalpatA iti //
   (Abhidh s bh 140)	(a aBiD s B 140)
   prakṛtyā tīkṣṇendriyo bodhisattva ityuktaṃ prākkathaṃ tena kālena	prakRtyA tIkzNa indriyaH boDisattvaH iti uktam prAk kaTam tena kAlena
   kālamindriyāṇyutāpayitavyānītyucyate / svajātīyānāṃ	kAlam indriyANi utApayitavyAni iti ucyate / sva jAtIyAnAm
   mṛdvāditraividhyāduttarottarābhinirhāratastaduttāpanaṃ veditavyam /	mRdu Adi trEviDyAt uttara uttara aBinirhArataH tad uttApanam veditavyam /
   anyathā tīkṣṇendriyagotrāṇāmindriyāṇāmaikavidhye sati	anyaTA tIkzNa indriya gotrANAm indriyANAm a ekaviDye sati
   bodhisattvānāmindriyakṛto viśeṣo naivopalabhyate / sa copalabhyata iti //	boDisattvAnAm indriya kRtaH viSezaH na eva upalaByate / sa ca upalaByate iti //
   (Abhidh s bh 141)	(a aBiD s B 141)
   sāṃkathyaviniścayo nāma pañcamaḥ samuccayaḥ	sAMkaTya viniScayaH nAma paQcamaH samuccayaH
   saptavidhasāṃkathyaviniścaye 'rthaviniścayaḥ svabhāvārthādīn	saptaviDa sAMkaTya viniScaye arTa viniScayaH svaBAva arTa AdIn
   ṣaḍarthānārabhya veditavyaḥ / tatra  	zaz arTAn AraBya veditavyaH / tatra  
   svabhāvastrayaḥ svabhāvāḥ parikalpitaḥ paratantraḥ pariniṣpannaśca //	svaBAvaH trayaH svaBAvAH parikalpitaH paratantraH parinizpannaH ca //
   hetvarthastrayo hetavaḥ / utpattihetustathā	hetu arTaH trayaH hetavaH / utpatti hetuH taTA
   hetusamanantarālaṃbanādhipatipratyayāḥ, tataḥ sarvasaṃskṛtanirvartanāt /	hetu samanantara alaMbana aDipati pratyayAH, tatas sarva saMskRta nirvartanAt /
   pravṛttihetustadyathāvidyāpratyayāḥ saṃskārā yāvatsamudayo nirodhaśca	pravRtti hetuH tat yaTA avidyA pratyayAH saMskArAH yAvat samudayaH niroDaH ca
   bhavatītyetayānupūrvyā saṃkleśavyavadānapravṛtteḥ / siddhihetuḥ	Bavati iti etayA AnupUrvyA saMkleSa vyavadAna pravRtteH / sidDi hetuH
   pratyakṣopalambhānupalambhasamākhyānasaṃgṛhītaḥ, tena	pratyakza upalamBAnupalamBa samAKyAna saMgRhItaH, tena
   sādhyasyāpratītasyārthasya sādhanāt //	sADyasya apratItasya arTasya sADanAt //
   phalārthaḥ pañca phalāni / vipākaphalaṃ tadyathālayavijñānam /	Pala arTaH paQca PalAni / vipAka Palam tat yaTA Alaya vijQAnam /
   niṣpandaphalaṃ tadyathā pūrvotpannānāṃ kuśalādīnāṃ dharmāṇāṃ tatsāntānikā	nizpanda Palam tat yaTA pUrva utpannAnAm kuSala AdInAm DarmANAm tad sAntAnikA
   uttara kuśalādayo dharmāḥ / adhipatiphalaṃ tadyathā sarvasattvasādhāraṇaṃ	uttara kuSala AdayaH DarmAH / aDipati Palam tat yaTA sarva sattva sADAraNam
   karmādhipatyena bhājanalokaḥ / puruṣakāraphalaṃ tadyathā sasyādayaḥ	karma ADipatyena BAjana lokaH / puruzakAra Palam tat yaTA sasya AdayaH
   visaṃyogaphalaṃ tadyathāryamārgeṇānuśayasamudghātaḥ //	visaMyoga Palam tat yaTA Arya mArgeNa anuSaya samudGAtaH //
   karmārthaḥ pūrvavaddraṣṭavyastadyathā karmasaṃkleśanirdeśe //	karma arTaH pUrvavat drazwavyaH tat yaTA karma saMkleSa nirdeSe //
   yogārthaḥ pañca yogāḥ sāmūhiko yogastadyathā gṛhakāṣṭheṣṭakādīnām /	yoga arTaH paQca yogAH sAmUhikaH yogaH tat yaTA gRha kAzWa izwakA AdInAm /
   ānubandhiko yogastadyathā[nu]śayādihetuḥ, tathāhi tasmin	AnubanDikaH yogaH tat yaTA a[nu]Saya Adi hetuH, taTA hi tasmin
   satyasamudācaradbhirapi kleśādibhiryukta ityucyate / sāmbandhiko	satya samudAcaradBiH api kleSa AdiBiH yuktaH iti ucyate / sAmbanDikaH 
   yogastadyathā svajanmanāṃ parasparam / āvasthiko yogastadyathānugrahādyāḥ	yogaH tat yaTA sva janmanAm parasparam / AvasTikaH yogaH tat yaTA anugraha AdyAH
   saṃtānavyavasthāḥ, tathāhi tāsu vartamānaḥ sukhena yukto	saMtAna vyavasTAH, taTA hi tAsu vartamAnaH suKena yuktaH 
   yāvadduḥkhāsukhena yukta ityucyate / vaikāriko yoga āgantukopakleśādika	yAvat duHKa asuKena yuktaH iti ucyate / vEkArikaH yogaH Agantuka upa kleSa Adika
   saṃmukhībhāvaḥ, tathāhi tasmin sati rāgādibhiḥ śraddhādibhiśca yukta	saMmuKIBAvaH, taTA hi tasmin sati rAga AdiBiH SradDA AdiBiH ca yukta
   ityucyate //	iti ucyate //
   vṛttyarthaḥ pañca vṛttayaḥ / lakṣaṇavṛttiḥ saṃskṛtasya trīṇi	vRtti arTaH paQca vRttayaH / lakzaNa vRttiH saMskRtasya trINi
   lakṣaṇānyutpādādīni, taiḥ prakārairvartanāt /	lakzaNAni utpAda AdIni, tEH prakArEH vartanAt /
   avasthānavṛttirādheyasyādhāre (Abhidh s bh 142) vyavasthānam /	avasTAna vRttiH ADeyasya ADAre (a aBiD s B 142) vyavasTAnam /
   viparyāsavṛttiḥ sāṃkleśikānāṃ dharmāṇāmayathābhūtaṃ vartanāt /	viparyAsa vRttiH sAMkleSikAnAm DarmANAm ayaTABUtam vartanAt /
   aviparyāsavṛttirvyāvadānikānāṃ dharmāṇām / prabhedavṛttiḥ	aviparyAsa vRttiH vyAvadAnikAnAm DarmANAm / praBeda vRttiH
   sarvasaṃskārāṇāmatītānāgatapratyutpannādhyātmikabāhyādiprakārairvartanāt	sarva saMskArANAm atIta anAgata pratyutpanna ADyAtmika bAhi Adi prakArEH vartanAt 
   vyākhyāviniścayo yena sūtrāntānāmarthaṃ nirdiśati / sa punaḥ	vyAKyA viniScayaH yena sUtrAntAnAm arTam nirdiSati / sa punar 
   parijñeyavastvādīnāṃ ṣaṣṇāmarthānāṃ pratisūtraṃ yathāsaṃbhavaṃ	parijQeya vastu AdInAm zazNAm arTAnAm pratisUtram yaTAsaMBavam
   pratipādanāt / tatra parijñeyaṃ vastu skandhādi / parijñeyo 'rtho	pratipAdanAt / tatra parijQeyam vastu skanDa Adi / parijQeyaH arTaH 
   'nityatādi / parijñopaniṣacchīlendriyaguptadvāratādi / parijñā bodhipakṣyā	anitya tA Adi / parijQA upanizad SIla indriya gupta dvAra tA Adi / parijQA boDi pakzyA
   dharmāḥ / parijñāphalaṃ vimuktiḥ / tatpravedanā vimuktijñānadarśanamiti //	DarmAH / parijQA Palam vimuktiH / tad pravedanA vimukti jQAna darSanam iti //
   api khalu caturdaśa mukhāni vyākhyāyāḥ //	api Kalu caturdaSa muKAni vyAKyAyAH //
   vyākhyāsaṃgrahamukhaṃ yatra sūtrasyotpattiprayojanaṃ padārtho	vyAKyA saMgraha muKam yatra sUtrasya utpatti prayojanam padArTaH 
   'nusandhirabhiprāyaścodyaparihāraśca varṇyate //	anusanDiH aBiprAyaH codya parihAraH ca varNyate //
   vastusaṃgrahamukhaṃ yatra sūtramukhaṃ śikṣāryasatyavastvādiṣu pratipādyate	vastu saMgraha muKam yatra sUtra muKam SikzA Ari a satya vastu Adizu pratipAdyate
   / tadyathā sarvapāpasyākaraṇamiti gāthā tisraḥ śikṣā[ma]dhikṛtyetyevamādi	/ tat yaTA sarva pApasya akaraNam iti gATA tisraH SikzA[m a]DikRtya iti evamAdi
   aṅgopāṅgamukhaṃ yatraikena padenoddeśaḥ śeṣairnirdeśa iti pradarśyate /	aFga upAFga muKam yatra ekena padena uddeSaH SezEH nirdeSaH iti pradarSyate /
   tadyathā	tat yaTA
   dvādaśakṣaraṇasaṃnipātadeśanāyāmātmasampatparasampadityanayordvayoryathākramaṃ	dvAdaSa kzaraNa saMnipAta deSanAyAm Atma sampad para sampad iti anayoH dvayoH yaTAkramam
   pañcabhiḥ pañcabhiruttaraiḥ padairnideśa iti //	paQcaBiH paQcaBiH uttarEH padEH nideSaH iti //
   uttarottaranirhāramukhaṃ yatrottarasyottarasyābhinirharaṇāśrayatvādette	uttarottara nirhAra muKam yatra uttarasya uttarasya aBinirharaNa ASraya tvAt et te
   dharmā evaṃ deśitā iti pradarśyate / tadyathā pañcendriyāṇi / tathāhi	DarmAH evam deSitAH iti pradarSyate / tat yaTA paQca indriyANi / taTA hi
   śraddadhāno vīryamārabhate, ārabdhavīryasya smṛtirupatiṣṭhate,	SraddaDAnaH vIryam AraBate, ArabDa vIryasya smRtiH upatizWate,
   upasthitasmṛteścitaṃ samādhīyate, samāhitacitto yathābhūtaṃ prajānātīti //	upasTita smRteH citam samADIyate, samAhita cittaH yaTABUtam prajAnAti iti //
   pratikṣepamukhaṃ yatredamārabhyedaṃ pratikṣipyata iti pradarśyate /	pratikzepa muKam yatra idam AraBya idam pratikzipyate iti pradarSyate /
   tadyathā vāsyaupamyasūtre āsravakṣayamārabhya catvāraḥ pudgalāḥ	tat yaTA vAsi a Opamya sUtre Asrava kzayam AraBya catvAraH pudgalAH
   pratikṣipyante / ito bāhyaka ihadhārmikaḥ śrutacintāmātrasaṃtuṣṭaḥ	pratikzipyante / itas bAhyakaH iha DArmikaH Sruta cintA mAtra saMtuzwaH
   bhāvanāyāṃ paritasyamāno 'paripūrṇasaṃbhāraśca / jānataścāhaṃ bhikṣavaḥ	BAvanAyAm paritasyamAnaH aparipUrNa saMBAraH ca / jAnataH ca aham BikzavaH
   paśyataścāsravāṇāṃ kṣayaṃ vadāmītyevamādinā sūtrakhaṇḍenādyaḥ pudgalaḥ	paSyataH ca AsravANAm kzayam vadAmi iti evamAdinA sUtra KaNxena AdyaH pudgalaH
   pratikṣiptaḥ / bhāvanāyogamanuyuktasyetyevamādinā dvitīyaḥ /	pratikziptaH / BAvanA yogam anuyuktasya iti evamAdinA dvitIyaH /
   vāsyaupamyadṛṣṭāntena tṛtīyaḥ / naudṛṣṭāntena caturtha iti //	vAsi a Opamya dRzwAntena tRtIyaH / na OdRzwAntena caturTaH iti //
   (Abhidh s bh 143)	(a aBiD s B 143)
   akṣarapaṇimamukhaṃ yatrānyasminnarthe prasiddhānyakṣarāṇyanyasmin	akzara paNima muKam yatra anyasmin= arTe prasidDAni akzarANi anyasmin
   pariṇāmyante / tadyathāśraddhaścākṛtajñaśceti gāthāyām /	pariNAmyante / tat yaTA SradDaH ca akRtajQaH ca iti gATAyAm /
   nāśānāśamukhaṃ tatra praṇāho 'praṇāśastadubhayopāyastadubhayaprabhedaśca	nASA nASa muKam tatra praNAhaH apraNASaH tad uBaya upAyaH tad uBaya praBedaH ca
   pradarśyate / tadyathā sujātasūtre praṇāśo bāhyādhyātmikopadhyavasānam /	pradarSyate / tat yaTA sujAta sUtre praNASaH bAhya ADyAtmika upaDi avasAnam /
   tatra bāhya upadhirgṛhakalatrādilakṣaṇaḥ, ādhyātmikaḥ	tatra bAhyaH upaDiH gRha kalatra Adi lakzaNaH, ADyAtmikaH
   pañcopādānaskandhalakṣaṇaḥ / apraṇāśastadubhayādhyavasānavigamaḥ /	paQca upAdAna skanDa lakzaNaH / apraNASaH tad uBaya aDyavasAna vigamaH /
   praṇāśopāyo 'pravrajanaṃ pravrajitasya cāsravakṣayaṃ prati pramādaḥ /	praNASa upAyaH apravrajanam pravrajitasya ca Asrava kzayam prati pramAdaH /
   viparyayādapraṇāśopāyo draṣṭavyaḥ / tatrobhayato vatāyaṃ sujātaḥ	viparyayAt apraNASa upAyaH drazwavyaH / tatra uBayatas vatAyam sujAtaH
   kulaputraḥ śobhate yacca keśaśmaśrūṇyavahārya yāvat pravrajito	kula putraH SoBate yat ca keSa SmaSrUNi avahArya yAvat pravrajitaH 
   yaccāsravāṇāṃ kṣayādyāvatprajānāmītyanenāpraṇāśatadupāyāpadeśena	yat ca AsravANAm kzayAt yAvat prajAnAmi iti anena apraNASa tad upAya apadeSena
   tadviparītalakṣaṇapraṇāśatadupāyau sūcitau bhavataḥ / apraṇāśaprabhedo	tad viparIta lakzaNa praNASa tad upAyO sUcitO BavataH / apraNASa praBedaH 
   gāthānugītena darśitaḥ   "śobhate vata bhikṣurayamupaśānto nirāśrava" iti	gATA anugItena darSitaH  "SoBate vata BikzuH ayam upaSAntaH nirASrava" iti
   / tadevaṃ pravrajanamāsravakṣayaśca paridīpitaḥ / sa punarāsravakṣayaḥ  	/ tat evam pravrajanam Asrava kzayaH ca paridIpitaH / sa punar Asrava kzayaH  
   vītarāgo visaṃyukto hyanupādāya nirvṛtaḥ /	vIta rAgaH visaMyuktaH hi anupAdAya nirvRtaH /
   dhārayatyanti maṃ dehaṃ jitvā mārasya vāhinīm //	DArayati anti mam deham jitvA mArasya vAhinIm //
   ityanena laukikamārgavairāgyataḥ, lokottareṇa	iti anena lOkika mArga vErAgyataH, loka uttareNa
   mārgeṇāvarabhāgīyasaṃyojanaprahāṇataḥ, ūrdhvabhāgīyasaṃyojanaprahāṇataḥ,	mArgeNa avara BAgIya saMyojana prahANataH, UrDva BAgIya saMyojana prahANataH,
   ādhyātmikopadhiprahāṇataśca paridīpitaḥ / hetuphalakṣayādhikārāccāyaṃ	ADyAtmika upaDi prahANataH ca paridIpitaH / hetu Pala kzaya aDikArAt cAyam
   nirdeśo draṣṭavyaḥ / etadviparyayeṇa praṇāśaprabhedaḥ sūcito draṣṭavyaḥ	nirdeSaH drazwavyaH / etad viparyayeNa praNASa praBedaH sUcitaH drazwavyaH
   iti //	iti //
   pudgalavyavasthānamukhaṃ yatreyataḥ pudgalānadhikṛtyedaṃ bhāṣitamiti	pudgala vyavasTAna muKam yatreyatas pudgalAn aDikRtya idam BAzitam iti
   pradarśyate / tadyathā audakopame sūtre dvividhau pudgalau	pradarSyate / tat yaTA Odaka upame sUtre dviviDO pudgalO
   tricatuḥprabhedānadhikṛtya bhāṣitam   pṛthagjanaṃ dṛṣṭasatyaṃ ca /	tri catur praBedAn aDikRtya BAzitam  pRTagjanam dRzwa satyam ca /
   pṛthagjanastribhedaḥ   aśuklo 'lpaśuklaḥ bahuśuklaśca /	pRTagjanaH tri BedaH  aSuklaH alpa SuklaH bahu SuklaH ca /
   dṛṣṭasatyaścatuḥprabhedaḥ   catvāraḥ pratipannakāḥ, catvāraḥ phalasthāḥ,	dRzwa satyaH catur praBedaH  catvAraH pratipannakAH, catvAraH Pala sTAH,
   trayaḥ śekṣāḥ, eko 'śaikṣaḥ //	trayaH SekzAH, ekaH aSEkzaH //
   (Abhidh s bh 144)	(a aBiD s B 144)
   prabhedavyavasthānamukhaṃ yatra catuṣkoṭikadibhiḥ praśnairartho varṇyate /	praBeda vyavasTAna muKam yatra catuzkowika diBiH praSnEH arTaH varNyate /
   tadyathānityasūtre   yaḥ sadidaṃ samanupaśyati sarvo 'sau rūpaṃ	tat yaTA anitya sUtre  yaH sat idam samanupaSyati sarvaH asO rUpam
   samanupaśyati, yo vā rūpaṃ samanupaśyati sarvaḥ sa sadidaṃ samanupaśyatīti	samanupaSyati, yaH vA rUpam samanupaSyati sarvaH sa sat idam samanupaSyati iti
   catuṣkoṭikaḥ / prathamā koṭirvedanārdīścaturaḥ	catuzkowikaH / praTamA kowiH vedanArdIH caturaH
   skandhānnityaśucisukhātmaviparyāsairasamāropya parijñeyaprahātavyāṃśca	skanDAn nitya Suci suKa Atma viparyAsEH asamAropya parijQeya prahAtavyAn= ca
   samanupaśyataḥ / dvitīyā koṭī rūpaṃ nityaśucisukhātmaviparyāsaiḥ	samanupaSyataH / dvitIyA kowI rUpam nitya Suci suKa Atma viparyAsEH
   samāropyāparijñeyāprahātavyaṃ ca samanupaśyataḥ / tṛtīyā koṭī rūpaṃ	samAropya aparijQeyA prahAtavyam ca samanupaSyataH / tRtIyA kowI rUpam
   nityaśucisukhātmaviparyāsairasamāropya parijñeyaprahātavyāṃśca	nitya Suci suKa Atma viparyAsEH asamAropya parijQeya prahAtavyAn= ca
   samanupaśyataḥ caturthīkoṭirvedanādīṃścaturaḥ	samanupaSyataH caturTI kowiH vedana AdIn= caturaH
   skandhānnityaśucisukhātmaviparyāsaiḥ samāropyāparijñeyāprahātavyaṃ ca	skanDAt nitya Suci suKa Atma viparyAsEH samAropya aparijQeyA prahAtavyam ca
   samanupaśyataḥ / yathā rūpe catuṣkoṭika evaṃ vedanādau sarvatra vistareṇa	samanupaSyataH / yaTA rUpe catuzkowikaH evam vedanA AdO sarvatra vistareNa
   draṣṭavyam / yāvadyasya kṛtaṃ karaṇīyaṃ sarvaḥ sa nāparamasmādbhavaṃ	drazwavyam / yAvat yasya kRtam karaNIyam sarvaH sa na aparam asmAt Bavam
