   abhidharmadīpaḥ	aBiDarma dIpaH
   ityaṣṭavidhaṃ nirmāṇam |	iti azwaviDam nirmANam |
   kiṃ khalu nirmāṇamabhijñayā nirmīyate ? kiṃ tarhi ?	kim Kalu nirmANam aBijQayA nirmIyate ? kim tarhi ?
   (Jaini_401)	(JEni_401)
   abhijñāphalacittena tattāni tu caturdaśa /	aBijQA Pala cittena tattAni tu caturdaSa /
   ādyadhyānaphalaṃ dve tairūrdhvabhūmyekavṛddhitaḥ // Abhidh d_527 //	Adya DyAna Palam dve tEH UrDva BUmi eka vRdDitaH // ABiD t _527 //
   prathamadhyānaphale khalu nirmāṇacitte kāmāvacaraṃ prathamadhyānabhūmikaṃ	praTama DyAna Pale Kalu nirmANa citte kAma avacaram praTama DyAna BUmikam
   ca, dvitīyadhyānaphalāni trīṇi, tṛtīyadhyānaphalāni catvāri,	ca, dvitIya DyAna PalAni trINi, tRtIya DyAna PalAni catvAri,
   caturthadhyānaphalāni pañca ||	caturTa DyAna PalAni paQca ||
   kathaṃ punarnirmāṇacittāni labhyante ?	kaTam punar nirmANa cittAni laByante ?
   tallābho dhyānavat jñeyaḥ	tad lABaH DyAna vat jQeyaH
   yathā khalu dhyānāni vairāgyata upapattitaḥ prayogataśca labhyante tathā	yaTA Kalu DyAnAni vErAgyate upapattitaH prayogataH ca laByante taTA
   nirmāṇacittāni |	nirmANa cittAni |
   kathaṃ punastadutpadyate ?	kaTam punar tat utpadyate ?
   śuddhakācca svataśca tat /	SudDakAt ca svataH ca tat /
   śuddhakād dhyānādanantaraṃ nirmāṇacittamutpādyate nirmāṇacittādeva vā	SudDakAt DyAnAt anantaram nirmANa cittam utpAdyate nirmANa cittAt eva vA
   nānyataḥ | tataḥ khalvapi nirmāṇacittādanantaraṃ śuddhakadhyānaṃ	na anyatas | tatas Kalu api nirmANa cittAt anantaram SudDaka DyAnam
   nirmāṇacittaṃ cotpadyate nānyat | sarvasya ca nirmitasya	nirmANa cittam ca utpadyate na anyat | sarvasya ca nirmitasya
   svabhūmenaiva nirmāṇamadhareṇāpi bhāṣaṇam // Abhidh d_528 //	sva BUmena eva nirmANam aDareNa api BAzaNam // ABiD t _528 //
   na khalvanyabhūmikaṃ nirmāṇamanyabhūmikena nirmāṇacittena nirmīyate |	na Kalu anya BUmikam nirmANam anya BUmikena nirmANa cittena nirmIyate |
   bhāṣaṇaṃ tu svabhaumenādharabhaumena ca | kāmadhātuprathamadhyānabhūmiko	BAzaNam tu sva BOmena aDara BOmena ca | kAmaDAtu praTama DyAna BUmikaH 
   hi nirmitaḥ svabhūmikenaiva cittena bhāṣate | ūrdhvabhūmikāstu	hi nirmitaH sva BUmikena eva cittena BAzate | UrDva BUmikAH tu
   prathamadhyānabhūmikena, tatraiva vijñaptisamutthāpakacittasadbhāvāt ||	praTama DyAna BUmikena, tatra eva vijQapti samutTApaka citta sadBAvAt ||
   kiṃ punarnirmitanirmātroḥ krameṇa vāgbhāṣaṇaṃ bhavatyatha yugapat ?	kim punar nirmita nirmAtroH krameNa vAc BAzaNam Bavati aTa yugapad ?
   taducyate 	tat ucyate 
   nirmātraiva sahaiteṣāṃ bhāṣaṇaṃ sugatādṛte /	nirmAtra eva saha etezAm BAzaNam sugatAt Rte /
   (Jaini_402)	(JEni_402)
   uktaṃ hi	uktam hi
   "ekasya bhāṣamāṇasya sarve bhāṣanti nirmitāḥ |	"ekasya BAzamANasya sarve BAzanti nirmitAH |
   ekasya tūṣṇīṃ bhūtasya sarve tūṣṇīṃ bhavanti te || "	ekasya tUzNIm BUtasya sarve tUzNIm Bavanti te || "
   bhagavatastu icchātaḥ pūrvaṃ paścādyugapadvā nirmitā bhāṣante | teṣāṃ	BagavataH tu icCAtaH pUrvam paScAt yugapad vAH nirmitAH BAzante | tezAm
   punaḥ	punar 
   ekasya bruvataḥ sarve nirmitā bruvate samam // Abhidh d_529 //	ekasya bruvataH sarve nirmitA bruvate samam // ABiD t _529 //
   adhiṣṭhāya tu nirmāṇaṃ bhāṣante 'nyena cetasā /	aDizWAya tu nirmANam BAzante anyena cetasA /
   'adhiṣṭhāya tu nirmāṇaṃ'; saṃsthāpyetyarthaḥ | anyena cetasā	aaDizWAya tu nirmANaM a; saMsTApya iti arTaH | anyena cetasA
   vijñaptisamutpādakākhyena vācaṃ pravartayatītyato 'pi nāsti	vijQapti samutpAdaka AKyena vAcam pravartayati iti atas api na asti
   nirmāṇāntardhāno doṣaḥ | tatpunaretadadhiṣṭhānaṃ na kevalaṃ jīvata eva |	nirmANa antarDAnaH dozaH | tat punar etat aDizWAnam na kevalam jIvate eva |
   kiṃ tarhi ?	kim tarhi ?
   adhiṣṭhānaṃ mṛtasyāpi sthirasyaiva tu vastunaḥ // Abhidh d_530 //	aDizWAnam mRtasya api sTirasya eva tu vastunaH // ABiD t _530 //
   āryamahākāśyapādhiṣṭhānena tadasthiśaṃkalāpasthānaśravaṇāt	Arya mahAkASya pa aDizWAnena tad asTi SaMkalApa sTAna SravaNAt
   sthirasyāsthilakṣaṇasya na māṃsarudhirādīnāmasti ||	sTirasya asTi lakzaNasya na mAMsa ruDira AdInAm asti ||
   kiṃ punarekacittenaikaṃ nirmitaṃ nirmiṇotyatha bahūn ?	kim punar eka cittena ekam nirmitam nirmiNoti aTa bahUn ?
   ajayyekamanekena jayiṇastadviparyayaḥ /	ajayI ekam anekena jayiNaH tad viparyayaH /
   ādyābhinirhārairbahubhirnirmāṇacittairekaṃ sopādānaṃ ca nirmitaṃ nirmiṇoti	Adya aBinirhArEH bahuBiH nirmANa cittEH ekam sa upAdAnam ca nirmitam nirmiNoti
   | (Jaini_403) rjitāyāṃ tvabhijñāyāṃ nirmāturicchayā bahūnapyekacittena	| (JEni_403) rjitAyAm tu aBijQAyAm nirmAtuH icCayA bahUn api ekacittena
   nirūpādānamapi ca nirmiṇoti |	nirUpa AdAnam api ca nirmiNoti |
   tatputaretannirmāṇacittaṃ dvividhaṃ bhāvanāmayamupapattiprātilambhikañca |	tad puta retat nirmANa cittam dviviDam BAvanA mayam upapatti prAtilamBi kaQca |
   tatra	tatra
   avyākṛtamabhijñotthaṃ upapattya tvayaṃ tridhā // Abhidh d_531 //	avyAkRtam aBijQotTam upapattya tu ayam triDA // ABiD t _531 //
   yatkhalu bhāvanāphalaṃ nirmāṇacittaṃ tadavyākṛtaṃ bhavati |	yat Kalu BAvanA Palam nirmANa cittam tat avyAkRtam Bavati |
   upapattiprātilambhikaṃ tu kuśalādinā triprakāram | tadupapattiphalaṃ	upapatti prAtilamBikam tu kuSala AdinA tri prakAram | tad upapatti Palam
   daśātiśayayuktam |	daSa atiSaya yuktam |
   arhatāṃ daśadhā tvetadaiśvaryamupapadyate /	arhatAm daSaDA tu etat ESvaryam upapadyate /
   sarvāsravakṣayajñānavimuktidvayayogataḥ // Abhidh d_532 //	sarva Asrava kzaya jQAna vimukti dvaya yogataH // ABiD t _532 //
   yadetatadaṇimādiśaikṣāntaṃ daśavidhamaiśvaryasukhaṃ	yat etatat aNim a Adi SEkza antam daSaviDam ESvarya suKam
   tadatiśayayuktamarhatāmevopapadyate ||	tat atiSaya yuktam arhatAm eva upapadyate ||
   yadi tarhi trayāṇāmarhatāmetadaiśvaryaṃ samānamasti kastarhi viśeṣaḥ	yadi tarhi trayANAm arhatAm etat ESvaryam samAnam asti kaH tarhi viSezaH
   śāstṛśiṣyayoḥ ? tatredamupadiśyate 	SAstR SizyayoH ? tatra idam upadiSyate 
   aiśvaryapi samānesminyathokte śāstṛśiṣyayoḥ /	ESvarI api samAnesmin i aTA ukte SAstR SizyayoH /
   antaraṃ sumahacchāsturyattatpūrvamudāhṛtam // Abhidh d_533 //	antaram su mahat SAstuH yat tat pUrvam udAhRtam // ABiD t _533 //
   daśabalādyāveṇikabuddhaguṇacintāyāṃ catuṣpratyayatā nadyuttaraṇe	daSa bala Adi AveNika budDa guNa cintAyAm catuzpratyaya tA nadI uttaraNe
   gandhahastya śvaśaśakadṛṣṭāntaiśca viśeṣāntaraṃ boddhavyamiti ||	ganDahastya Sva SaSaka dRzwAntEH ca viSeza antaram bodDavyam iti ||
   abhidharmapradīpe vibhāṣāprabhāyāṃ vṛttau saptamasyādhyāyasya caturthaḥ	aBiDarma pradIpe viBAzA praBAyAm vRttO saptamasya aDyAyasya caturTaH
   pādaḥ ||	pAdaH ||
   samāptaśca jñānavibhāgo nāma saptamo 'dhyāyaḥ ||	samAptaH ca jQAna viBAgaH nAma saptamaH aDyAyaH ||
   (Jaini_404)	(JEni_404)
   aṣṭamo 'dhyāyaḥ |	azwamaH aDyAyaH |
   prathamaḥ pādaḥ |	praTamaH pAdaH |
   vyākhyātā hi vistaraśo vidarśanā | śamatha idānīṃ vaktavyaḥ | sa khalveṣa	vyAKyAtAH hi vistaraSaH vidarSanAH | SamaTaH idAnIm vaktavyaH | sa Kalu eza
   śamathaścaturthadhyānārūpyasaṃgṛhītaḥ | tatra tu	SamaTaH caturTa DyAna ArUpya saMgRhItaH | tatra tu
   sāṅgā cittasthitirdhyānaṃ taccaturdhāṅgabhedataḥ /	sa aFgA citta sTitiH DyAnam tat caturDA aFga BedataH /
   śamathaḥ khalu sāṅgā kuśalā cittaikāgratā dhyānamityucyate | yasya khalu	SamaTaH Kalu sa aFgA kuSalA citta ekAgra tA DyAnam iti ucyate | yasya Kalu
   dharmasyāṅgaparigṛhītato(syo ?) drekāt cittacaittānyālambanāntaraṃ na	Darmasya aFga parigRhIta to(syaH ?) drekAt citta cEttAni Alambana antaram na
   pratipadyante sa dharmaścaitasikaḥ samādhirityākhyāyate | tadaṅgabhedena	pratipadyante sa DarmaH cEtasikaH samADiH iti AKyAyate | tad aFga Bedena
   caturvidhamiti vakṣyāmaḥ | tasyāṃ punaścittasthitau	caturviDam iti vakzyAmaH | tasyAm punar citta sTitO
   dhyānoktirāñjasī tatra bhāktī tatsahabhūṣvapi // Abhidh d_534 //	DyAna uktiH AQjasI tatra BAktI tad sahaBUzu api // ABiD t _534 //
   (Jaini_405)	(JEni_405)
   samādhisvabhāvaṃ khalu paramārthena dhyānam | saparivāraṃ tu gṛhyamāṇaṃ	samADi svaBAvam Kalu parama arTena DyAnam | sa parivAram tu gRhyamANam
   pañcaskandhasbabhāvam | bhaktikalpanayā tatsahabhūṣvapi dharmeṣu	paQca skanDa sbaBAvam | Bakti kalpanayA tad sahaBUzu api Darmezu
   tācchabdyam ||	tAt Sabdyam ||
   saṃkṣepādiyamākhyātā dhyānajātiścaturvidhā /	saMkzepAt iyam AKyAtA DyAna jAtiH caturviDAH /
   prathamaṃ dhyānaṃ dvitīyaṃ tṛtīyaṃ caturthamiti |	praTamam DyAnam dvitIyam tRtIyam caturTam iti |
   dravyabhedānahaṃ tasyāḥ pravakṣyāmi yathāgamam // Abhidh d_535 //	dravya BedAn aham tasyAH pravakzyAmi yaTAgamam // ABiD t _535 //
   dravyabhedastu dhyānajāteścaturvidhāyāḥ samāpattijāteśca tāvatyā eva	dravya BedaH tu DyAna jAteH caturviDAyAH samApatti jAteH ca tAvatyAH eva
   samāsena vakṣyāmi ||	samAsena vakzyAmi ||
   tatra tāvat |	tatra tAvat |
   sahārūpyacatuṣṭvena samāpattirmatāṣṭadhā /	saha ArUpya catuzwvena samApattiH mata azwaDA /
   catuḥ pañceṣu skandheṣu taduktervargavṛttitaḥ // Abhidh d_536 //	catuH paQcezu skanDezu tad ukteH varga vRttitaH // ABiD t _536 //
   pañcaskandheṣu vargībhūteṣu dhyānasamāpattiḥ prajñāpyate |	paQca skanDezu vargIBUtezu DyAna samApattiH prajQApyate |
   catuḥpañceṣvārūpyasamāpattiriti ||	catur paQcezu ArUpya samApattiH iti ||
   bhedena tu samāpattidravyāṇi daśa sapta ca /	Bedena tu samApatti dravyANi daSa sapta ca /
   sāmantakaiḥ sahāṣṭābhirdhyānāntarikayāpi ca // Abhidh d_537 //	sAmantakEH saha azwABiH DyAna antarikayA api ca // ABiD t _537 //
   aṣṭānāṃ khalu samāpattibhūmīnāmaṣṭānāmeva sāmantakadravyāṇāṃ	azwAnAm Kalu samApatti BUmInAm azwAnAm eva sAmantaka dravyANAm
   tatpraveśopāyabhūtāni dhyānāntarikā ca prathamadhyānasaṃgṛhītā | etāni	tad praveSa upAya BUtAni DyAna antarikA ca praTama DyAna saMgRhItAH | etAni
   khalu saptadaśa yathāsthaulyaṃ bhidyamānāni saptadaśa bhavantītyata āha 	Kalu saptadaSa yaTAsTOlyam BidyamAnAni saptadaSa Bavanti iti atas Aha 
   tadbhedāḥ khalvime 'nyepi vakṣyante śāstracoditāḥ /	tad BedAH Kalu ime anyepi vakzyante SAstra coditAH /
   (Jaini_406)	(JEni_406)
   anye 'pi khalu samāpattibhedāstadantargatā eva sūtrābhidharmoditā	anye api Kalu samApatti BedAH tad antargatAH eva sUtra aBiDarma uditA
   vakṣyante |	vakzyante |
   buddhabuddhestu te sarve tattvenāyānti gocaram // Abhidh d_538 //	budDa budDeH tu te sarve tattvena AyAnti gocaram // ABiD t _538 //
   bhagavāneba hi sarvaprathamadhyānasamāpattyādibhedeṣu,	BagavAn eba hi sarva praTama DyAna samApatti Adi Bedezu,
   anantasvabhāvaprabhāvakriyāphaleṣvaparokṣabuddhivṛttiriti ||	ananta svaBAva praBAva kriyA Palezu aparokza budDi vRttiH iti ||
   ta ete dhyānārūpyāstriprakārāḥ katham ? tadārabhyate 	te ete DyAna ArUpyAH tri prakArAH kaTam ? tadA AraByate 
   tridhā dhyānāni maulāni sāsvādādiprabhedataḥ /	triDA DyAnAni mOlAni sa AsvAda Adi praBedataH /
   tathaiva traya ārūpyā bhavāgraṃ tu dvidhā matam // Abhidh d_539 //	taTA eva trayaH ArUpyAH Bava agram tu dviDA matam // ABiD t _539 //
   tatra maulāni tāvad dhyānāni	tatra mOlAni tAvat DyAnAni
   traividhyānyāsvādanāsaṃprayuktaśuddhakānāsravabhedāt | evaṃ trayo maulā	trEviDyAni AsvAdanA saMprayukta SudDa kAn Asrava BedAt | evam trayaH mOlA
   ārūpyāḥ | bhavāgraṃ tu nāstyanāsravam | kāmadhātorbhavāgrasya ca	ArUpyAH | Bava agram tu na asti anAsravam | kAmaDAtoH Bava agrasya ca
   bhavamūlatvāt ||	Bava mUla tvAt ||
   sāmantāni dvidhā sapta prathamaṃ tu tridhā matam /	sAmantAni dviDA sapta praTamam tu triDA matam /
   dhyānāntaraṃ tridhā tadvadakliṣṭaṃ tvadharāśrayam // Abhidh d_540 //	DyAna antaram triDA tadvat aklizwam tu aDara ASrayam // ABiD t _540 //
   prathamadhyānasāmantaṃ hitvānyāni sapta sāmantāni	praTama DyAna sAmantam hitvA anyAni sapta sAmantAni
   dviprakārāṇyanyatrānāsravāt | prathamadhyānasāmantakaṃ tu triprakāram |	dvi prakArANi anyatra anAsravAt | praTama DyAna sAmantakam tu tri prakAram |
   kecittu āsvādanāsaṃprayuktaṃ necchanti | tadvad dhyānāntarikā tridheti	kecid tu AsvAdana asaMprayuktam na icCanti | tadvat DyAna antarikA triDA iti
   vartate | yattatrākliṣṭaṃ tadadharāśrayaṃ dravyamiti ||	vartate | yat tatra aklizwam tad aDara ASrayam dravyam iti ||
   kiṃ punareṣāmāsvādanādisaṃprayuktānāṃ trayāṇāṃ lakṣaṇam ? ucyate 	kim punar ezAm AsvAdana Adi saMprayuktAnAm trayANAm lakzaNam ? ucyate 
   āsvādavatsatṛṣṇaṃ yacchaddhakaṃ laukikaṃ matam /	AsvAda vat sa tRzNam yacCadDakam lOkikam matam /
   ado(dho?)dhvastaṃ tadāsvādyamatilokamanāsravam // Abhidh d_541 //	ado(DaH ?) Dvastam tadAsvAdyam ati lokam anAsravam // ABiD t _541 //
   (Jaini_407)	(JEni_407)
   yatkhalu satṛṣṇaṃ tadāsvādanāsaṃprayuktamityucyate | tṛṣṇāyā	yat Kalu sa tRzNam tad AsvAdana asaMprayuktam iti ucyate | tRzNAyAH 
   āsvādaparyāyatvāt | yattu na saṃprayuktaṃ tadapi	AsvAda paryAya tvAt | yat tu na saMprayuktam tat api
   tṛṣṇāsahagatatvādāsvādavadityucyate tṛṣṇayaikaphalatvāt | yattu sāsravaṃ	tRzNA sahagata tvAt AsvAda vat iti ucyate tRzNayA eka Pala tvAt | yat tu sa Asravam
   kuśalaṃ samāpattidravyaṃ tacchuddhakamākhyāyate |	kuSalam samApatti dravyam tat SudDakam AKyAyate |
   kleśamalāsaṃparkādalobhādiśukladharmayogācca |	kleSa mala asaMparkAdaloBa Adi Sukla Darma yogAt ca |
   tadetacchuddhakaṃ tasyāsvādanāsaṃprayuktasyāsvādyam | tena hi	tat etat SudDakam tasya AsvAdanA saMprayuktasya AsvAdyam | tena hi
   tatsamanantarātītamāsvādyate | yenāsvādayati tamāpanno yadāsvādayati	tad samanantara atItam AsvAdyate | yena AsvAdayati tam ApannaH yadAsvAdayati
   tasmādvyutthitaḥ | anyonyasaṃsargāddhi tṛṣṇāsamādhyornnāmanirvṛtiḥ |	tasmAt vyutTitaH | anyonya saMsargAt hi tRzNA samADyoH nnAma nirvRtiH |
   tṛṣṇāvaśātsamādherāsvāda nāma, samādhivaśāttṛṣṇāyāḥ dhyāna nāma, anyathā	tRzNA vaSAt samADeH AsvAda nAma, samADi vaSAt tRzNAyAH DyAna nAma, anyaTA
   vipratiṣiddhaṃ syāt | na hi kaścittṛṣṇāṃ samāpadyate, na ca	vipratizidDam syAt | na hi kaScid tRzNAm samApadyate, na ca
   samādhināsvādayatoti | lokottaraṃ tu samāpattidravyamanāsravamityucyate ||	samADinA AsvAdayatoti | lokottaram tu samApatti dravyam anAsravam iti ucyate ||
   āsāṃ punaḥ samāpattīnāṃ dhyānānyevāṅgavarti nārūpyāḥ | kati punaḥ kasya	AsAm punar samApattInAm DyAnAni eva aFga varti na arUpyAH | kati punar kasya
   dhyānasyāṅgāni ? tadidaṃ prastūyate 	DyAnasya aFgAni ? tat idam prastUyate 
   aṅgānyādye śubhe pañca vitarkaścittasūkṣmatā /	aFgAni Adye SuBe paQca vitarkaH citta sUkzma tA /
   prītiḥ sukhaṃ samādhānaṃ kliṣṭaṃ sukhavivarjitam // Abhidh d_542 //	prItiH suKam samADAnam klizwam suKa vivarjitam // ABiD t _542 //
   prathame tāvacchubhe dhyāne pañcāṅgāni vitarkavicāraprītisaukhyasamādhayaḥ	praTame tAvat SuBe DyAne paQcAFgAni vitarka vicAra prIti sOKya samADayaH
   | kliṣṭe catvāri sukhaṃ hitvā ||	| klizwe catvAri suKam hitvA ||
   sādhyātmasaprasādāstu sukhaprītisamādhayaḥ /	sa aDya Atma saprasAdAH tu suKa prIti samADayaH /
   dvitīye 'ṅgāni catvāri kliṣṭe śraddhā sukhādṛte // Abhidh d_543 //	dvitIye aFgAni catvAri klizwe SradDA suKAt Rte // ABiD t _543 //
   (Jaini_408)	(JEni_408)
   dvitīye kuśale dhyāne catvāryaṅgāni | ādhyātmasaṃprasādaḥ prītiḥ sukhaṃ	dvitIye kuSale DyAne catvAri aFgAni | ADyAtma saMprasAdaH prItiH suKam
   cittaikāgratā ca kliṣṭe dve śraddhā sukhaṃ hitvā ||	citta ekAgra tA ca klizwe dve SradDA suKam hitvA ||
   tṛtīye pañcame prajñā smṛtyupekṣā sukhaṃ sthitiḥ /	tRtIye paQcame prajQA smRti upekzA suKam sTitiH /
   kliṣṭe tvaṅgadvayaṃ jñeyaṃ samādhirvedanāsukham // Abhidh d_544 //	klizwe tu aFga dvayam jQeyam samADiH vedanA suKam // ABiD t _544 //
   tṛtīye śubhe dhyāne upekṣā smṛtiḥ saṃprajñānaṃ sukhaṃ samādhiśca | kliṣṭe	tRtIye SuBe DyAne upekzA smRtiH saMprajQAnam suKam samADiH ca | klizwe
   tu dve 'samādhirvedanāsukham'; ||	tu dve asamADiH vedanA suKam a; ||
   antye catvāryupekṣe dve samādhiḥ smṛtireva ca /	antye catvAri upekze dve samADiH smRtiH eva ca /
   kliṣṭe dhyāne caturthe tu dve aṅge vedanā sthitiḥ // Abhidh d_545 //	klizwe DyAne caturTe tu dve aFge vedanA sTitiH // ABiD t _545 //
   caturthe khalu dhyāne śubhe catvāryaṅgāni | aduḥkhāsukhāvedanā upekṣā ca	caturTe Kalu DyAne SuBe catvAri aFgAni | aduHKa asuKa AvedanA upekzA ca
   smṛtipariśuddhiḥ samādhiśca | kliṣṭe tu dve vedanā sthitiśca ||	smRti pariSudDiH samADiH ca | klizwe tu dve vedanA sTitiH ca ||
   kati punareṣāṃ dravyato bhavanti kati nāmataḥ ?	kati punar ezAm dravyataH Bavanti kati nAmataH ?
   dravyātmanā daśaikaṃ ca nāmnā tvaṣṭau daśaiva ca /	dravya AtmanA daSa ekam ca nAmnA tu azwO daSa eva ca /
   aṅgānyetāni kathyante catuṣkoṭirataḥ smṛtaḥ // Abhidh d_546 //	aFgAni etAni kaTyante catuzkowiH atas smRtaH // ABiD t _546 //
   dravyataḥ khalvekādaśa bhavanti | prathame dhyānāṅgāni pañca | dvitīye	dravyataH Kalu ekAdaSa Bavanti | praTame DyAna aFgAni paQca | dvitIye
   'dhyātmasaṃprasādo vardhate | tṛtīye samādhivarjyāni vardhante | caturthe	aDyAtma saMprasAdaH varDate | tRtIye samADi varjyAni varDante | caturTe
   tvaduḥkhāsukhāvedaneti |	tu aduHKA suKa AvedanA iti |
   nanu ca yat tṛtīye dhyāne sukhamuktaṃ tathā prathamadvitīyayoḥ..........	nanu ca yat tRtIye DyAne suKam uktam taTA praTama dvitIyayoH..........
   (Jaini_409)	(JEni_409)
   abhidharmadīpe vibhāṣāprabhāyāṃ vṛttau aṣṭamasyādhyāyasya prathamaḥ pādaḥ	aBiDarma dIpe viBAzA praBAyAm vRttO azwamasya aDyAyasya praTamaH pAdaH
   samāptaḥ ||	samAptaH ||
   (Jaini_410)	(JEni_410)
   aṣṭamādhyāye	azwama aDyAye
   dvitīyapādaḥ |	dvitIya pAdaH |
   śamathasya ca /	SamaTasya ca /
   dhyānasāmantakārūpyeṣvaṅgānāmavyavasthitiḥ // Abhidh d_547 //	DyAna sAmantakA rUpyezu aFgAnAm avyavasTitiH // ABiD t _547 //
   dhyānasāmantakeṣu khalu vidarśanodṛktā śamatho nyūnaḥ | ārūpyeṣu sarvatra	DyAna sAmantakezu Kalu vidarSana udRktA SamaTaH nyUnaH | ArUpyezu sarvatra
   śamatho 'dhikavṛttirvipaśyanā nyūnatarā | vipaśya paśyato saṃjñāyāmiti	SamaTaH aDika vRttiH vipaSyanA nyUnatarA | vipaSya paSyataH saMjQAyAm iti
   vacanādaṅginyapi paścāduddeśo bhavati | tataḥ siddhaṃ vipaśyanāḥ ||	vacanAt aFgini api paScAt uddeSaH Bavati | tatas sidDam vipaSyanAH ||
   yadā khalu catvāryapi dhyānāni vipākaṃ prati neñjante	yadA Kalu catvAri api DyAnAni vipAkam prati na iQjante
   kasmāccaturthamevānejyamucyate ? tatrāpadiśyate 	kasmAt caturTam eva Anejyam ucyate ? tatra apadiSyate 
   vitarkacāravidhvaṃsātpraśvāsāśvāsasaṃkṣayāt /	vitarka cAra viDvaMsAt praSvAsa ASvAsa saMkzayAt /
   upekṣāveditābhāvādantyamānejyamucyate // Abhidh d_548 //	upekzA vedita aBAvAdantya mAnA ijyam ucyate // ABiD t _548 //
   trīṇi khalvapi dhyānāni señjitānyuktāni bhagavatā vitarkādyapakṣālayogāt |	trINi Kalu api DyAnAni sa iQjitAni uktAni BagavatA vitarka Adi apakzAla yogAt |
   vitarkavicārāśvāsapraśvāsau	vitarka vicAra ASvAsa praSvAsO
   sukhaduḥkhasaumanasyadaurmanasyānītyaṣṭāpakṣālāḥ | taiścaturthaṃ	suKa duHKa sOmanasya dOrmanasyAni iti azwApakzAlAH | tEH caturTam
   dhyānamakampyamityuktamabhidharme |	DyAnam akampyam iti uktam aBiDarme |
   vitarkavicāraprītisukhairakampanīyatvādānejyaṃ caturthamuktaṃ sūtre |	vitarka vicAra prIti suKEH akampanIya tvAt Anejyam caturTam uktam sUtre |
   ābhiprāyikaḥ sūtranirdeśo lākṣaṇikastvabhidharme | tathāhi "sukhaduḥkhayoḥ	ABiprAyikaH sUtra nirdeSaH lAkzaNikaH tu aBiDarme | taTA hi "suKa duHKayoH
   prahāṇātsaumanasyadaurmanasyayoścāstaṅgamāccaturthaṃ dhyānamupasampadya	prahANAt sOmanasya dOrmanasyayoH ca astaFgamAt caturTam DyAnam upasampadya
   viharati" ityuktam | abhidharme vitarkavicāraprītisukhānyeveñjitam ||	viharati" iti uktam | aBiDarme vitarka vicAra prIti suKAni eva iQjitam ||
   (Jaini_411)	(JEni_411)
   idamidānīṃ vaktavyam | iha dhyānasamāpattiṣu prathamadvitīyayordhyānayoḥ	idam idAnIm vaktavyam | iha DyAna samApattizu praTama dvitIyayoH DyAnayoH
   saumanasyamuktaṃ prītivacanāt | prītirhi saumanasyam | tṛtīye sukhaṃ	sOmanasyam uktam prIti vacanAt | prItiH hi sOmanasyam | tRtIye suKam
   caturthe upekṣā | tatkiṃmupapattidhyāneṣvapyeṣa eva vedanāniyamaḥ ?	caturTe upekzA | tat kiMmupapatti DyAnezu api ezaH eva vedanA niyamaH ?
