   Śaṃkara: Upadeśasāhasrī	ŚaMkara: Upa-deSa-sAhasrI
   dhātvartho vikriyātmaka ātmana upalabdhyābhāsaphalāvasāna ity	DAtvarTaH vikriyA-AtmakaH AtmanaH upalabDi-ABAsa-Pala-avasAnaH iti-
   upalabdhiśabdenopacaryate / yathā chidikriyā dvaidhībhāvaphalāvasāneti	upalabDi-Sabdena-upacaryate / yaTA Cidi-kriyA dvEDIBAva-Pala-avasAna-iti
   dhātvarthatvenopacaryate, tadvat // SamUpad_II,2.77 //	DAtvarTa-tvena-upacaryate, tadvat // SamUpad-_II,2.77 //
   ity uktaḥ śiṣya āha -- nanu bhagavan, mama kūṭasthatvapratipādanaṃ praty	iti uktaH SizyaH Aha - nanu Bagavan, mama kUwasTa-tva-pratipAdanam praty
   asamartho dṛṣṭāntaḥ / katham / chidiś chedyavikriyāvasānopacaryate yathā	asamarTaH dRzwAntaH / kaTam / CidiH Cedya-vikriyA-avasAna-upacaryate yaTA
   dhātvarthatvena, tathopalabdhiśabdopacarito 'pi dhātvartho bauddhapratyaya	DAtvarTa-tvena, taTA-upalabDi-Sabda-upacaritaH api DAtu-arTaH bOdDa-pratyaya
   ātmana upalabdhivikriyāvasānaś cen nātmanaḥ kūṭasthatāṃ pratipādayituṃ	AtmanaH upalabDi-vikriyA-avasAnaH ced na-AtmanaH kUwasTa-tAm pratipAdayitum
   samarthaḥ // SamUpad_II,2.78 //	samarTaH // SamUpad-_II,2.78 //
   gurur uvāca -- satyam evaṃ syāt, yady upalabdhyupalabdhror viśeṣaḥ /	guruH uvAca - satyam evam syAt, yadi upalabDi-upalabDroH viSezaH /
   nityopalabdhimātra eva hy upalabdhā / na tu tārkikasamaya ivānyopalabdhir	nitya-upalabDi-mAtraH eva hi upalabDA / na tu tArkika-samayaH iva-anya-upalabDiH-
   anya ca upalabdhā ca // SamUpad_II,2.79 //	anyaH ca upalabDA ca // SamUpad-_II,2.79 //
   nanūpalabdhiphalāvasāno dhātvarthaḥ katham iti // SamUpad_II,2.80 //	nanu-upalabDi-Pala-avasAnaH DAtu-arTaH kaTam iti // SamUpad-_II,2.80 //
   ucyate -- śṛṇu, upalabdhyābhāsaphalāvasāna ity uktam, kiṃ na śrutaṃ tvayā	ucyate - SRNu, upalabDi-ABAsa-Pala-avasAnaH iti uktam, kim na Srutam tvayA
   / na tv ātmano vikriyotpādanāvasāna iti mayoktam // SamUpad_II,2.81 //	/ na tu AtmanaH vikriyA-utpAdana-avasAnaH iti mayA-uktam // SamUpad-_II,2.81 //
   śiṣya āha -- kathaṃ tarhi kūṭasthe mayy	SizyaH Aha - kaTam tarhi kUwasTe mayi-
   aśeṣasvaviṣayacittapracāropalabdhṛtvam ity āttha // SamUpad_II,2.82 //	aSeza-sva-vizaya-citta-pracAra-upalabDR-tvam iti AtTa // SamUpad-_II,2.82 //
   taṃ gurur uvāca -- satyam evāvocam, tenaiva kūṭasthatām abruvaṃ tava //	tam guruH uvAca - satyam eva-avocam, tena-eva kUwasTa-tAm abruvam tava //
   SamUpad_II,2.83 //	SamUpad-_II,2.83 //
   yady evaṃ bhagavan, kūṭasthanityopalabdhisvarūpe mayi	yadi evam Bagavan, kUwasTa-nitya-upalabDi-svarUpe mayi
   śabdādyākārabauddhapratyayeṣu	Sabda-Adi-AkAra-bOdDa-pratyayezu
   matsvarūpopalabdhyābhāsaphalāvasānavatsūtpadyāmaneṣu, kas tv aparādho mama	mad-sva-rUpa-upalabDi-ABAsa-Pala-avasAna-vatsu-utpadyAm-anezu, kaH tu aparADaH mama
   // SamUpad_II,2.84 //	// SamUpad-_II,2.84 //
   satyam, nāsty aparādhaḥ, kiṃ tv avidyāmātras tu aparādha iti prāg evāvocam	satyam-, na-asti aparADaH, kim tu avidyA-mAtraH tu aparADaH iti prAk eva-avocam
   // SamUpad_II,2.85 //	// SamUpad-_II,2.85 //
   yadi bhagavan, suṣupta iva mama vikriyā nāsti, kathaṃ svapnajāgarite //	yadi Bagavan, suzuptaH iva mama vikriyA nAsti, kaTam svapna-jAgarite //
   SamUpad_II,2.86 //	SamUpad-_II,2.86 //
   taṃ gurur uvāca -- kiṃ tv anubhūyete tvayā sa[n]tatam // SamUpad_II,2.87	tam guruH uvAca - kim tu anuBUyete tvayA sa[n]tatam // Samu-upad-_II,2.87
   bāḍham anubhavāmi, kiṃ tu vicchidya vicchidya na tu santatam //	bAXam anuBavAmi, kim tu vicCidya vicCidya na tu santatam //
   SamUpad_II,2.88 //	SamUpad-_II,2.88 //
   [taṃ] gurur uvāca -- āgantuke tv ete na tavātmabhūte / yadi tavātmabhūte	[taM] guruH uvAca - Agantuke tu ete na tava-Atma-BUte / yadi tava-Atma-BUte
   caitanyasvarūpavat svataḥsiddhe santate eva syātām / kiṃ ca svapnajāgarite	cEtanya-svarUpa-vat svatas-sidDe santate eva syAtAm / kim ca svapna-jAgarite
   na tavātmabhūte, vyabhicāritvāt, vastrādivat / na hi yasya yat svarūpaṃ	na tava-Atma-BUte, vyaBicAri-tvA-at, vastra-Adi-vat / na hi yasya yat svarUpam
   tat tadvyabhicāri dṛṣṭam / svapnajāgarite tu caitanyamātratvād	tat tat-vyaBicAri dRzwam / svapna-jAgarite tu cEtanya-mAtra-tvAt-
   vyabhicarataḥ / suṣupte cet svarūpaṃ vyabhicaret, tan naṣṭaṃ nāstīti vā	vyaBicarataH / suzupte ced svarUpam vyaBicaret, tat nazwam na-asti-iti vA
   bādhyam eva syāt, āgantukānām ataddharmāṇām ubhayātmakatvadarśanāt, yathā	bADyam eva syAt, AgantukAnAm atad-DarmANAm uBaya-Atmaka-tva-darSana-at, yaTA
   dhanavastrādīnāṃ nāśo dṛṣṭaḥ, svapnabhrāntilabdhānāṃ tv abhāvo dṛṣṭaḥ //	Dana-vastra-AdInAm nASaH dRzwaH, svapna-BrAnti-labDAnAm tu aBAvaH dRzwaH //
   SamUpad_II,2.89 //	SamUpad-_II,2.89 //
   nanv evaṃ bhagavan, caitanyasvarūpam apy āgantukaṃ prāptam,	nanu evam Bagavan, cEtanya-svarUpam api Agantukam prAptam,
   svapnajāgaritayor iva suṣupte 'nupalabdheḥ / acaitanyasvarūpo vā syām aham	svapna-jAgaritayoH iva suzupte anupalabDeH / acEtanya-svarUpaH vA syAm aham
   // SamUpad_II,2.90 //	// SamUpad-_II,2.90 //
   na, paśya, tadanupapatteḥ / caitanyasvarūpaṃ ced āgantukaṃ paśyasi, paśya	na, paSya, tad-anupapatteH / cEtanya-svarUpam ced Agantukam paSyasi, paSya
   / naitad varśaśatenāpy upapattyā kalpayituṃ śaknumo vayam, anyo vācaitanyo	/ na-etat varSa-Satena-api upapattyA kalpayitum SaknumaH vayam, anyaH vAcEtanyaH-
   'pi / [tasya] saṃhatatvāt pārārthyam anekatvaṃ nāśitvaṃ ca na kenacid	api / [tasya] saMhata-tvAt pArArTyam aneka-tvam nASi-tvam ca na kenacid-
   upapattyā vārayituṃ śakyam / asvārthasya svataḥsiddhyabhāvād ity avocāma /	upapattyA vArayitum Sakyam / asvArTasya svatas-sidDi-aBAvAt iti avocAma /
   caitanyasvarūpasya tv ātmanaḥ svataḥsiddher anyānapekṣatvaṃ na kenacid	cEtanya-svarUpasya tu AtmanaH svatas-sidDeH anya-anapekza-tvam na kenacid-
   vārayituṃ śakyam, avyabhicārāt // SamUpad_II,2.91 //	vArayitum Sakyam, avyaBicArAt // SamUpad-_II,2.91 //
   nanu vyabhicāro darśito mayā suṣupte na paśyāmīti // SamUpad_II,2.92 //	nanu vyaBicAraH darSitaH mayA suzupte na paSyAmi-iti // SamUpad-_II,2.92 //
   na / vyāhatatvāt / kathaṃ vyāghātaḥ / paśyatas tava na paśyāmīti vyāhataṃ	na / vyAhata-tvAt / kaTam vyAGAtaH / paSyataH tava na paSyAmi-iti vyAhatam
   vacanam / na hi kadācid bhagavan, suṣupte mayā caitanyam anyad vā kiṃcid	vacanam / na hi kadAcid Bagavan, suzupte mayA cEtanyam anyat vA kiMcid-
   dṛṣṭam / paśyaṃs tarhi suṣupte tvam / yasmād dṛṣṭam eva pratiṣedhasi, na	dRzwam / paSyan tarhi suzupte tvam / yasmAt dRzwam eva pratizeDasi, na
   dṛṣṭim / yā tava dṛṣṭis tac caitanyam iti mayoktam / yayā tvaṃ vidyamānayā	dRzwim / yA tava dRzwiH tat cEtanyam iti mayA-uktam / yayA tvam vidyamAnayA
   na kiṃcid dṛṣṭam iti pratiṣedhasi, sā dṛṣṭis tac caitanyam / tarhi	na kiMcid dRzwam iti pratizeDasi, sA dRzwiH tat cEtanyam / tarhi
   sarvatrāvyabhicārāt kūṭasthanityatvaṃ siddhaṃ svata eva, na pramāṇāpekṣam	sarvatra-avyaBicArAt kUwasTa-nitya-tvam sidDam svatas eva, na pramANa-apekzam
   / svataḥsiddhasya hi pramātur anyasya prameyasya paricchittiṃ prati	/ svatas-sidDasya hi pramAtuH anyasya prameyasya paricCittim prati
   pramāṇāpekṣā / yā tv anyā nityā paricchittir apekṣyate	pramANa-apekzA / yA tu anyA nityA paricCittiH apekzyate
   'nyasyāparicchittirūpasya paricchedāya, sā hi nityaiva kūṭasthā	anyasya-aparicCitti-rUpasya paricCedAya, sA hi nityA-eva kUwasTA
   svayaṃjyotiḥsvabhāvā / ātmani pramāṇatve pramātṛtve vā na tāṃ prati	svayaMjyotiH-svaBAvA / Atmani pramANa-tve pramAtR-tve vA na tAm prati
   pramāṇāpekṣā, tatsvabhāvatvāt / yathā prakāśanam uṣṇatvaṃ vā lohodakādiṣu	pramANa-apekzA, tad-svaBAva-tvAt / yaTA prakASanam uzNa-tvam vA loha-udaka-Adizu
   parato 'pekṣyate 'gnyādityādibhyaḥ, atatsvabhāvatvāt, nāgnyādityādīnāṃ	paratas apekzyate agni-At-ityAdiByaH, atad-svaBAva-tvAt, na-agni-At-itya-AdInAm
   tadapekṣā, sarvadā tatsvabhāvatvāt // SamUpad_II,2.93 //	tad-apekzA, sarvadA tad-svaBAva-tvAt // SamUpad-_II,2.93 //
   anityatva eva pramā syān na nityatva iti cet // SamUpad_II,2.94 //	anitya-tvaH eva pramA syAt na nitya-tvaH iti ced // SamUpad-_II,2.94 //
   na / avagater nityatvānityatvayor viśeṣānupapatteḥ / na hy avagateḥ	na / avagateH nitya-tva-anitya-tvayoH viSeza-anupapatteH / na hi avagateH
   pramātve 'nityāvagatiḥ pramā na nityeti viśeṣo 'vagamyate //	pramAtve anitya-avagatiH pramA na nitya-iti viSezaH avagamyate //
   SamUpad_II,2.95 //	SamUpad-_II,2.95 //
   nityāyāṃ pramātur apekṣābhāvaḥ / anityāyāṃ tu yatnāntaritatvād avagatir	nityAyAm pramAtuH apekzA-BAvaH / anityAyAm tu yatna-antarita-tvAt avagatiH-
   apekṣyata iti viśeṣaṃ syād iti cet // SamUpad_II,2.96 //	apekzyate iti viSezam syAt iti ced // SamUpad-_II,2.96 //
   siddhā tarhy ātmanaḥ pramātuḥ svataḥsiddhiḥ, pranāṇanirapekṣatayaiveti //	sidDA tarhi AtmanaH pramAtuH svatas-sidDiH, pranANa-nirapekza-tayA-eva-iti //
   SamUpad_II,2.97 //	SamUpad-_II,2.97 //
   abhāve 'py apekṣābhāvaḥ, nityatvād iti cet / na / avagater evātmani	aBAve api apekzA-BAvaH, nitya-tvAt iti ced / na / avagateH eva-Atmani
   sadbhāvād iti parihṛtam etat // SamUpad_II,2.98 //	sadBAvAt iti parihRtam etat // SamUpad-_II,2.98 //
   pramātuś cet pramāṇāpekṣāsiddhiḥ, kasya pramitsā syāt / yasya pramitsā sa	pramAtuH ced pramANa-apekzA-sidDiH, kasya pramitsA syAt / yasya pramitsA sa
   eva pramātābhyupagamyate / tadīyā ca pramitsā prameyaviṣayaiva, na	eva pramAtA-aByupagamyate / tadIyA ca pramitsA prameya-vizaya-eva, na
   pramātṛviṣayā / pramātṛviṣayatve 'navasthāprasaṅgāt pramātus tadicchāyāś	pramAtR-vizayA / pramAtR-vizaya-tve anavasTA-prasaFgAt pramAtuH tad-icCAyAS
   ca, tasyāpy anyaḥ pramātā, tasyāpy anya iti / evam evecchāyāḥ	ca, tasya-api anyaH pramAtA, tasya-api anyaH iti / evam eva-icCAyAH
   pramātṛviṣayatve / pramātur ātmano 'vyavahitatvāc ca prameyatvanupapattiḥ	pramAtR-vizaya-tve / pramAtuH AtmanaH avyavahita-tvAt ca prameya-tu-anupapattiH
   / loke hi prameyaṃ nāma pramātur icchāsmṛtiprayatnapramāṇajanmavyavahitaṃ	/ loke hi prameyam nAma pramAtuH icCA-smRti-prayatna-pramANa-janma-vyavahitam
   siddhyati, nānyathāvagatiḥ prameyaviṣayā dṛṣṭā / na ca pramātuḥ pramātā	sidDi-ati, na-anyaTA-avagatiH prameya-vizayA dRzwA / na ca pramAtuH pramAtA
   svasya svayam eva kenacid vyavahitaḥ kalpayituṃ śakya icchādīnām	svasya svayam eva kenacid vyavahitaH kalpayitum SakyaH icCA-AdInAm
   anyatamenāpi / smṛtiś ca smartavyaviṣayā, na smartṛviṣayā / tathecchāyā	anyatamena-api / smRtiH ca smartavya-vizayA, na smartR-vizayA / taTA-icCAyA
   iṣṭaviṣayatvam eva, necchāvadviṣayatvam / smartricchāvadviṣayatve 'pi hy	izwa-vizaya-tvam eva, na-icCAvat-vizaya-tvam / smartri=-CAvat-vizaya-tve api hi-
   ubhayor anavasthā pūrvavad aparihāryā syāt // SamUpad_II,2.99 //	uBayoH anavasTA pUrvavat aparihAryA syAt // SamUpad-_II,2.99 //
   nanu pramātṛviṣayāvagatyanutpattāv anavagata eva pramātā syād iti cet //	nanu pramAtR-vizaya-avagati-anutpattO anavagataH eva pramAtA syAt iti ced //
   SamUpad_II,2.100 //	SamUpad-_II,2.100 //
   na, avagantur avagater avagantavyaviṣayatvāt / avagantṛviṣayatve	na, avagantuH avagateH avagantavya-vizaya-tvAt / avagantR-vizaya-tve
   cānavasthā pūrvavat syāt / avagatiś cātmani kūṭasthanityātmajyotir anyato	ca-anavasTA pUrvavat syAt / avagatiH ca-Atmani kUwasTa-nitya-Atma-jyotiH anyatas-
   'napekṣaiva siddhā, agnyādityādyuṣṇaprakāśavad iti pūrvam eva prasādhitam	anapekzA-eva sidDA, agnyAt-ityAdi-uzNa-prakASa-vat iti pUrvam eva prasADitam
   / avagateś caitanyātmajyotiṣaḥ svātmany anityatva ātmanaḥ	/ avagateH cEtanya-AtmajyotizaH sva-Atmani anitya-tvaH AtmanaH
   svārthatānupapattiḥ, kāryakaraṇa[saṃghāta]vat saṃhatatvāt pārārthyaṃ	sva-arTa-tA-anupapattiH, kArya-karaNa[-saMGAta-]vat saMhata-tvAt pArArTyam
   doṣavattvaṃ cāvocāma / katham / caitanyātmajyotiṣaḥ svātmany anityatve	dozavat-tvam ca-avocAma / kaTam / cEtanya-AtmajyotizaH sva-Atmani anitya-tve
   smṛtyādivyavadhānāt saṃhatatvam / tataś ca tasya caitanyajyotiṣaḥ prāg	smRti-Adi-vyavaDAnAt saMhata-tvam / tatas ca tasya cEtanyajyotizaH prAk-
   utpatteḥ pradhvaṃsāc cordhvam ātmany evābhāvāt, cakṣurādīnām iva	utpatteH praDvaMsAt ca-UrDvam Atmani eva-aBAvAt, cakzuH-AdInAm iva
   saṃhatatvāt, pārārthyaṃ syāt / yadā ca tad utpannam ātmani vidyate, na	saMhata-tvAt, pArArTyam syAt / yadA ca tat utpannam Atmani vidyate, na
   tadātmanaḥ svārthatvam / tadbhāvābhāvāpekṣā hy ātmānātmanoḥ	tad-AtmanaH sva-arTa-tvam / tad-BAva-aBAva-apekzA hi AtmAnAtmanoH
   svārthatvaparārthatvasiddhiḥ / tasmād ātmano 'nyanirapekṣam eva	sva-arTa-tva-para-arTa-tva-sidDiH / tasmAt AtmanaH anya-nirapekzam eva
   nityacaitanyajyotiṣṭvaṃ siddham // SamUpad_II,2.101 //	nitya-cEtanya-jyotizwvam sidDam // SamUpad-_II,2.101 //
   nanv evaṃ sati, asati pramātṛtve kathaṃ pramātuḥ pramātṛtvam //	nanu evam sati, asati pramAtR-tve kaTam pramAtuH pramAtR-tvam //
   SamUpad_II,2.102 //	SamUpad-_II,2.102 //
   ucyate -- pramāyā nityatve 'nityatve ca rūpaviśeṣābhāvāt / avagatir hi	ucyate - pramAyAH nitya-tve anitya-tve ca rUpa-viSeza-aBAvAt / avagatiH hi
   pramā / tasyāḥ smṛtīcchādipūrvikāyā anityāyaḥ kūṭasthanityāyā vā, na	pramA / tasyAH smRti-icCA-Adi-pUrvikAyAH anitya-ayaH kUwasTa-nityAyAH vA, na
   [sva]rūpaviśeṣo vidyate / yathā dhātvarthasya tiṣṭhatyādeḥ phalasya	[sva]-rUpa-viSezaH vidyate / yaTA DAtu-arTasya tizWati-AdeH Palasya
   gatyādipūrvakasyānityasyāpūrvasya nityasya vā, rūpaviśeṣo nāstīti tulyo	gati-Adi-pUrvakasya-anityasya-apUrvasya nityasya vA, rUpa-viSezaH na-asti-iti tulyaH-
   vyapadeśo dṛṣṭaḥ -- tiṣṭhanti manuṣyāḥ, tiṣṭhanti parvatā ityādi / tathā	vyapadeSaH dRzwaH - tizWanti manuzyAH, tizWanti parvatAH ityAdi / taTA
   nityāvagatisvarūpe 'pi pramātari pramātṛtvavyapadeśo na virudhyate,	nitya-avagati-svarUpe api pramAtari pramAtR-tva-vyapadeSaH na viruDyate,
   phalasāmānyād iti // SamUpad_II,2.103 //	Pala-sAmAnyAt iti // SamUpad-_II,2.103 //
   atrāha śiṣyaḥ -- nityāvagatisvarūpasyātmano 'vikriyatvāt kāryakaraṇair	atra-Aha SizyaH - nitya-avagati-svarUpasya-AtmanaH avikriya-tvAt kArya-karaNEH-
   asaṃhatya, takṣādīnām iva vāsyādibhiḥ, kartṛtvaṃ nopapadyate,	asaMhatya, takza-AdInAm iva vA-asya-AdiBiH, kartR-tvam na-upapadyate,
   asaṃhatasvabhāvasya ca kāryakaraṇopādāne 'navasthā prasajyeta / takṣādīnāṃ	asaMhata-svaBAvasya ca kArya-karaNa-upAdAne anavasTA prasajyeta / takza-AdInAm
   tu kāryakaraṇair nityam eva saṃhatatvam iti vāsyādyupādāne nānavasthā syād	tu kArya-karaNEH nityam eva saMhata-tvam iti vA-asya-Adi-upAdAne na-anavasTA syAt-
   iti // SamUpad_II,2.104 //	iti // SamUpad-_II,2.104 //
   iha tv asaṃhatasvabhāvasya karaṇānupādāne kartṛtvaṃ nopapadyata iti	iha tu asaMhata-svaBAvasya karaNa-anupAdAne kartR-tvam na-upapadyate iti
   karaṇam upādeyam, tadupādānam api vikriyaiveti tatkartṛtve karaṇāntaram	karaNam upAdeyam, tad-upAdAnam api vikriyA-eva-iti tad-kartR-tve karaNa-antaram
   upādeyam, tadupādāne 'py anyad iti pramātuḥ svātantrye 'navasthāparihāryā	upAdeyam, tad-upAdAne api anyat iti pramAtuH svAtantrye anavasTA-parihAryA
   syāt / na ca kriyaivātmānaṃ kārayati, anirvartitāyāḥ svarūpābhāvāt /	syAt / na ca kriyA-eva-AtmAnam kArayati, anirvartitAyAH svarUpa-aBAvAt /
   athānyad ātmānam upetya kriyāṃ kārayatīti cet / na / anyasya	aTa-anyat AtmAnam upetya kriyAm kArayati-iti ced / na / anyasya
   svataḥsiddhatvāviṣayatvādyanupapatteḥ / na hy ātmano 'nyad acetanaṃ vastu	svatas-sidDa-tva-avizaya-tva-Adi-anupapatteH / na hi AtmanaH anyat acetanam vastu
   svapramāṇakaṃ dṛṣṭam / śabdādisarvam evāvagatiphalāvasānapratyayapramitaṃ	sva-pramANakam dRzwam / Sabda-Adi-sarvam eva-avagati-Pala-avasAna-pratyaya-pramitam
   siddhaṃ syāt / avagatiś ced ātmano 'nyasya syāt, so 'py ātmaivāsaṃhataḥ	sidDam syAt / avagatiH ced AtmanaH anyasya syAt, saH api AtmA-eva-asaMhataH
   svārthaḥ syān na parārthaḥ / na ca dehendriyaviṣayāṇāṃ svārthatām	sva-arTaH syAt na para-arTaH / na ca deha-indriya-vizayANAm sva-arTa-tAm
   avagantuṃ śaknumo 'vagatyavasānapratyayāpekṣasiddhidarśanāt //	avagantum SaknumaH avagati-avasAna-pratyaya-apekza-sidDi-darSanAt //
   SamUpad_II,2.105 //	SamUpad-_II,2.105 //
   nanu dehasyāvagatau na kaścit pratyakṣādipratyayāntaram apekṣate //	nanu dehasya-avagatO na kaScid pratyakza-Adi-pratyaya-antaram apekzate //
   SamUpad_II,2.106 //	SamUpad-_II,2.106 //
   bāḍham, jāgraty evaṃ syāt / mṛtisuṣuptyos tu dehasyāpi	bAXam, jAgrati evam syAt / mRti-suzuptyoH tu dehasya-api
   pratyakṣādipramāṇāpekṣayaiva siddhiḥ / tathaivendriyāṇām / bāhyā eva hi	pratyakza-Adi-pramANa-apekzayA-eva sidDiH / taTA-eva-indriyANAm / bAhyAH eva hi
   śabdādayo dehendriyākārapariṇatā iti pratyakṣādipramāṇāpekṣayaiva [hi]	Sabda-AdayaH deha-indriya-AkAra-pariNatAH iti pratyakza-Adi-pramANa-apekzayA-eva [hi]
   siddhiḥ / siddhir iti ca pramāṇaphalam avagatim avocāma, sā cāvagatiḥ	sidDiH / sidDiH iti ca pramANa-Palam avagatim avocAma, sA ca-avagatiH
   kūṭasthā svayaṃsiddhātmajyotiḥsvarūpeti ca // SamUpad_II,2.107 //	kUwasTA svayaMsidDa-Atma-jyotiH-svarUpA-iti ca // SamUpad-_II,2.107 //
   atrāha codakaḥ -- avagatiḥ pramāṇānāṃ phalaṃ	atra-Aha ca-udakaH - avagatiH pramANAnAm Palam
   kūṭasthanityātmajyotiḥsvarūpeti ca vipratiṣiddham / ity uktavantam āha --	kUwasTanitya-Atma-jyotiH-svarUpA-iti ca vipratizidDam / iti uktavantam Aha --
   na vipratiṣiddham / kathaṃ tarhi / kūṭasthanityāpi satī	na vipratizidDam / kaTam tarhi / kUwasTa-nityA-api satI
   pratyakṣādipratyayānte lakṣyate, tādarthyāt /	pratyakza-Adi-pratyaya-ante lakzyate, tAdarTyAt /
   pratyakṣādipratyayasyānityatve 'nityeva bhavati / tena pramāṇānāṃ phalam	pratyakza-Adi-pratyayasya-anitya-tve anitya-iva Bavati / tena pramANAnAm Palam
   ity upacaryate // SamUpad_II,2.108 //	iti upacaryate // SamUpad-_II,2.108 //
   yady evaṃ bhagavan, kūṭasthanityāvagatir ātmajyatiḥsvarūpaiva	yadi evam Bagavan, kUwasTa-nitya-avagatiH Atma-jyatiH-svarUpA-eva
   svayaṃsiddhā, ātmani pramāṇanirapekṣatvāt, tato 'nyad acetanaṃ	svayaMsidDA, Atmani pramANa-nirapekza-tvAt, tatas anyat acetanam
   saṃhatyakāritvāt parārtham / yena ca sukhaduḥkhamohapratyayāvagatirūpeṇa	saMhatyakAri-tvAt para-arTam / yena ca suKa-duHKa-moha-pratyaya-avagati-rUpeNa
   pārārthyaṃ tenaiva svarūpeṇānātmano 'stitvaṃ nānyena rūpāntareṇa, ato	pArArTyam tena-eva sva-rUpeNa-anAtmanaH astitvam na-anyena rUpa-antareNa, atas-
   nāstitvam eva paramārthataḥ / yathā hi loke rajjusarpamarīcyudakādīnāṃ	nAstitvam eva paramArTataH / yaTA hi loke rajju-sarpa-marIci-udaka-AdInAm
   tadavagativyatirekeṇābhāvo dṛṣṭaḥ, evaṃ jāgratsvapnadvaitabhāvasyāpi	tad-avagati-vyatirekeNa-aBAvaH dRzwaH, evam jAgrat-svapna-dvEta-BAvasya-api
   tadavagativyatirekeṇābhāvo yuktaḥ / evam eva, bhagavan, avagater	tad-avagati-vyatirekeNa-aBAvaH yuktaH / evam eva, Bagavan, avagateH-
   ātmajyotiṣo nairantaryabhāvāt kūṭasthanityatā, advaitabhāvaś ca	Atma-jyotizaH nErantarya-BAvAt kUwasTa-nityatA, advEta-BAvaH ca
   sarvapratyayabhedeṣv avyabhicārāt / pratyabhedās tv avagatiṃ vyabhicaranti	sarva-pratyaya-Bedezu avyaBicArAt / pratyaBedAH tu avagatim vyaBicaranti
   / yathā svapne nīlapītādyākārabhedarūpāḥ pratyayās tadavagatiṃ	/ yaTA svapne nIla-pIta-Adi-AkAra-Beda-rUpAH pratyayAH tad-avagatim
   vyabhicarantaḥ paramārthato na santīty ucyante, evaṃ jāgraty api	vyaBicarantaH paramArTataH na santi-iti ucyante, evam jAgrati api
   nīlapītādipratyayabhedās tām evāvagatiṃ vyabhicaranto 'satyarūpā bhavitum	nIla-pIta-Adi-pratyaya-BedAH tAm eva-avagatim vyaBicarantaH asatya-rUpA Bavitum
   arhanti / tasyāś cāvagater anyo 'vagantā nāstīti na svena svarūpeṇa svayam	arhanti / tasyAH ca-avagateH anyaH avagantA na-asti-iti na svena svarUpeNa svayam
   upādātuṃ hātuṃ vā śakyate, anyasya cābhāvāt // SamUpad_II,2.109 //	upAdAtum hAtum vA Sakyate, anyasya ca-aBAvAt // SamUpad-_II,2.109 //
   tathaiveti / eṣāvidyā, yannimittaḥ saṃsāro jāgratsvapnalakṣaṇaḥ / tasyā	taTA-eva-iti / ezA-avidyA, yad-nimittaH saMsAraH jAgrat-svapna-lakzaNaH / tasyAH-
   avidyāyā vidyā nivartikā / ityevaṃ tvam abhayaṃ prāpto 'si / nātaḥparaṃ	avidyAyAH vidyA nivartikA / iti-evam tvam aBayam prAptaH asi / na-atas-param
   jāgratsvapnaduḥkham anubhaviṣyasi, saṃsāraduḥkhān mukto 'sīti //	jAgrat-svapna-duHKam anuBavizyasi, saMsAra-duHKAt muktaH asi-iti //
   SamUpad_II,2.110 //	SamUpad-_II,2.110 //
   om iti // SamUpad_II,2.111 //	om iti // SamUpad-_II,2.111 //
   iti avagatiprakaraṇam // SamUpad_II,2 //	iti avagati-prakaraNam // SamUpat-_II,2 //
   mumukṣūṇām upāttapuṇyāpuṇyakṣapaṇaparāṇām apūrvānupacayārthināṃ	mumukzUNAm upAtta-puNyA-puNya-kzapaNa-parANAm apUrvAn-upacaya-arTinAm
   parisaṃkhyānam idam ucyate / avidyāhetavo doṣā	parisaMKyAnam idam ucyate / avidyA-hetavaH dozA
   vāṅmanaṇkāyapravṛttihetavaḥ, pravṛtteś ceṣṭāniṣṭamiśraphalāni karmāṇy	vAc-manaNkAya-pravRtti-hetavaH, pravRtteH cezwA-nizwa-miSra-PalAni karmANi-
   upacīyanta iti tanmokṣārtham // SamUpad_II,3.112 //	upacIyante iti tat-mokza-arTam // SamUpad-_II,3.112 //
   tatra śabdasparśarūparasagandhānāṃ viṣayāṇāṃ śrotrādigrāhyatvāt svātmani	tatra Sabda-sparSa-rUpa-rasa-ganDAnAm vizayANAm Srotra-Adi-grAhya-tvAt sva-Atmani
