   Āryabhaṭakṛtam	Ārya Bawa kRtam
   sakalam eva madhyame grahe kriyate | sa sphuṭamadhyamaḥ bhavati |	sakalam eva maDyame grahe kriyate | sa sPuwa maDyamaH Bavati |
   atha idam praṣṭavyam ã yat etat dvikarmasiddhamandoccāyātam tat	aTa idam prazwavyam ã yat etat dvi karma sidDa manda ucca AyAtam tat 
   dvikarmasaṃsiddhe eva kasmāt na kriyate | ucyate ã " mandoccāt	dvi karma saMsidDe eva kasmAt na kriyate | ucyate ã " manda uccAt 
   sphuṭamadhyāḥ" [kālakriyāí, 23] iti madhyame kriyate | nanu ca	sPuwa maDyAH" [kAla kriyAí, 23] iti maDyame kriyate | nanu ca
   dvikarmasiddhaḥ api madhyamaḥ eva | kutaḥ? "ekadeśavikṛtam ananyavat	dvi karma sidDaH api maDyamaH eva | kutas ? "eka deSa vikRtam ananya vat 
   bhavati" iti vacanāt | evam tarhi siddhe, punar sphuṭamadhyamagrahaṇam	Bavati" iti vacanAt | evam tarhi sidDe, punar sPuwa maDyama grahaNam
   kurvan ācāryaḥ jñāpayati avikṛtamadhyaḥ iti | anyathā hi	kurvan AcAryaH jQApayati avikRta maDyaH iti | anyaTA hi
   sphuṭamadhyamagrahaṇam atiricyate | tasmāt dvitīyaphalam	sPuwa maDyama grahaNam atiricyate | tasmAt dvitIya Palam
   mandoccāyātam tat sakalam eva madhyame grahe kriyate |	manda ucca AyAtam tat sakalam eva maDyame grahe kriyate |
   śīghroccāt ca sphuṭāḥ jñeyāḥ iti | sa evaṃkṛte sphuṭamadhyamaḥ	SIGra uccAt ca sPuwAH jQeyAH iti | saH evaMkRte sPuwa maDyamaH
   śīghroccakarmaṇā sphuṭaḥ bhavati iti sphuṭamadhyame śīghroccaphaladhanuḥ	SIGra uccakarmaNA sPuwaH Bavati iti sPuwa maDyame SIGra ucca Pala DanuH
   sakalam kriyate, sphuṭaḥ bhavati |	sakalam kriyate, sPuwaH Bavati |
   ṛṇadhanayuktipradarśanārtham vyāsārdhatulyena karkaṭakena samāyāmavanau	RNa Dana yukti pradarSana arTam vyAsa arDa tulyena karkawakena samAyAma vanO
   samavṛttamaṇḍalam ālikhya mātṛpitṛrekhām kuryāt | tat kakṣyāmaṇḍalam	sama vRtta maNxalam AliKya mAtR pitR reKAm kuryAt | tat kakzyA maNxalam
   rāśijyārekhāviracitam | tanmaṇḍalakendrāt yāvatyaḥ	rASi jyA reKA viracitam | tad maNxalaka indrAt yAvatyaH
   abhīṣṭagrahāntyaphalaliptāḥ tāvati antare ca dakṣiṇena kendram kṛtvā	aBIzwa graha antya Pala liptAH tAvati antare ca dakziNena kendram kRtvA
   vyāsārdhatulyena eva karkaṭakena tathā eva samavṛttamaṇḍalam ālikhet | tat	vyAsa arDa tulyena eva karkawakena taTA eva sama vRtta maNxalam AliKet | tat 
   pratimaṇḍalam | [kakṣyā]maṇḍalāt yāvadbhiḥ pratimaṇḍalam niṣkrāntam tāvatā	prati maNxalam | [kakzyA] maNxalAt yAvadBiH prati maNxalam nizkrAntam tAvatA
   vyāsārdhena	vyAsa arDena
   kakṣyāmaṇḍaladakṣiṇottararekhāsaṃpāte kendram kṛtvā ubhayatra vṛttadvayam	kakzyA maNxala dakziNa uttara reKA saMpAte kendram kRtvA uBayatra vRtta dvayam
   ālikhya[te | te nīcocca]vṛtte | tayoḥ yathā kakṣyāmaṇḍale rāśijyāvikalpaḥ	AliKya[te | te nIca ucca]vRtte | tayoH yaTA kakzyA maNxale rASi jya avikalpaH
   tathā karaṇīyam | prathamacaturthayoḥ padayoḥ kakṣyāmaṇḍalāt	taTA karaNIyam | praTama caturTayoH padayoH kakzyA maNxalAt 
   uparisthitatvāt pratimaṇḍalasya vyāsārdhe koṭisādhanam prakṣipya karṇaḥ	upari sTita tvAt prati maNxalasya vyAsa arDe kowi sADanam prakzipya karNaH
   kṛtaḥ, tāvat pramāṇam sūtram [pratimaṇḍalaparidhim] yatra spṛśati tatra	kRtaH, tAvat pramANam sUtram [prati maNxala pariDim] yatra spRSati tatra
   sthāne sphuṭaḥ grahaḥ | kakṣyāmaṇḍalajyā ca tasmāt purataḥ iti arthaḥ |	sTAne sPuwaH grahaH | kakzyA maNxala jyA ca tasmAt puratas iti arTaH |
   prathamacaturthayoḥ padayoḥ	praTama caturTayoH padayoH
   tat utpannam phalam madhyamagrahāt apacīyate | dvitīyatṛtīyayoḥ padayoḥ	tat utpannam Palam maDyamagrahAt apacIyate | dvitIya tRtIyayoH padayoH
   kakṣyāmaṇḍalāt adhovyavasthitatvāt pratimaṇḍalasya, vyāsārdhāt	kakzyA maNxalAt aDas vyavasTita tvAt pratimaNxalasya, vyAsa arDAt 
   koṭisādhanam apanīya kṛtaḥ karṇaḥ, tāvatpramāṇam sūtram	kowi sADanam apanIya kRtaH karNaH, tAvat pramANam sUtram
   kakṣyāmaṇḍalamadhyāt pratimaṇḍalaparidhim yatra spṛśati tatra sphuṭaḥ	kakzyA maNxala maDyAt prati maNxala pariDim yatra spRSati tatra sPuwaH
   grahaḥ | sa ca kakṣyāmaṇḍalajyāpradeśāt purataḥ avatiṣṭhate | tena tat	grahaH | sa ca kakzyA maNxala jyA pradeSAt puratas avatizWate | tena tat 
   utpannam phalam dvitīyatṛtīyayoḥ padayoḥ madhyamagrahāt upacīyate |	utpannam Palam dvitIya tRtIyayoH padayoH maDyamagrahAt upacIyate |
   śīghrocce punar yeṣām kṣayadhanadhanakṣayāḥ syuḥ mandoccāt evam eva	SIGra ucce punar yezAm kzaya Dana Dana kzayAH syuH manda uccAt evam eva
   śīghroccāt iti ayam pāṭhaḥ teṣām iyam ṛṇadhanopapattiḥ | yeṣām punar	SIGra uccAt iti ayam pAWaH tezAm iyam RNa Dana upapattiH | yezAm punar 
   vyatyayena śīghroccāt iti ayam pāṭhaḥ teṣām iyam eva upapattiḥ viparītā |	vyatyayena SIGra uccAt iti ayam pAWaH tezAm iyam eva upapattiH viparItAH |
   katham? pratimaṇḍale sphuṭaḥ ca grahaḥ, madhyamaḥ ca	kaTam? prati maNxale sPuwaH ca grahaH, maDyamaH ca
   śīghroccaparikalpanāya kakṣyāmaṇḍale | punar kendrajyā tena	SIGra ucca parikalpanAya kakzyA maNxale | punar kendrajyA tena
   prathamacaturthayoḥ padayoḥ pṛṣṭhataḥ sthitatvāt madhyamasya	praTama caturTayoH padayoH pRzWatas sTita tvAt maDyamasya
   kendrajyāgrahasya ānīyamānasya kendrajyotpannam	kendrajyA grahasya AnIyamAnasya kendrajya utpannam
   phalam dhanam bhavati puraḥsthitatvāt kendrajyāgrahasya, dvitīyatṛtīyayoḥ	Palam Danam Bavati puras sTita tvAt kendrajyA grahasya, dvitIya tRtIyayoH
   padayoḥ pṛṣṭhataḥ sthitatvāt kendrajyāgrahasya tat phalam apanīyate | ataḥ	padayoH pRzWatas sTita tvAt kendrajyA grahasya tat Palam apanIyate | atas 
   evam mandaśīghrayoḥ parasparaviruddhatvāt upapatteḥ, ācāryeṇa	evam manda SIGrayoH paraspara virudDa tvAt upapatteH, AcAryeNa
   paramārthasphuṭagrahapradeśaḥ bhūtārāgrahavivarapramāṇapradeśaḥ darśitaḥ |	parama arTa sPuwa graha pradeSaH BUtArA graha vivara pramANa pradeSaH darSitaH |
   tena yāvat bhūtārāgrahavivarapramāṇam sūtram kakṣyāmaṇḍalamadhyāt	tena yAvat BUtArA graha vivara pramANam sUtram kakzyA maNxala maDyAt 
   pratimaṇḍalaparidhim padavibhāgena prasāritam yatra spṛśati, tatra sphuṭaḥ	prati maNxala pariDim pada viBAgena prasAritam yatra spRSati, tatra sPuwaH
   grahaḥ |	grahaH |
   anye punar anyathā paṭhanti ã śanigurukujeṣu mande ardham ṛṇam dhanam	anye punar anyaTA paWanti ã Sani guru kujezu mande arDam RNam Danam
   bhavati pūrvam iti | mande mandocce ardham phalasya ṛṇam dhanam, yadi tat	Bavati pUrvam iti | mande manda ucce arDam Palasya RNam Danam, yadi tat 
   grahe ṛṇam dhanam tadā tat mandocce dhanam ṛṇam iti arthāt avasīyate |	grahe RNam Danam tadA tat manda ucce Danam RNam iti arTAt avasIyate |
   tatra kiyat tat phalam mandocce ṛṇam sat dhanam bhavati, dhanam sat ṛṇam	tatra kiyat tat Palam manda ucce RNam sat Danam Bavati, Danam sat RNam
   bhavati iti ucyate ã śīghroccaphalam yasmāt mandoccaphalam ca phaladvayam	Bavati iti ucyate ã SIGra ucca Palam yasmAt manda ucca Palam ca Pala dvayam
   etat | tayoḥ mandoccam ādhāraḥ | phaladvayam ādheyaḥ | ataḥ	etat | tayoH manda uccam ADAraH | Pala dvayam ADeyaH | atas 
   śīghroccaphalam	SIGra ucca Palam
   kriyate | karmacatuṣṭayagrahaṇāt tat utpannam ca phalam tatra eva | tat	kriyate | karma catuzwaya grahaNAt tat utpannam ca Palam tatra eva | tat 
   yathā ã prāg eva śīghraphalam ānīya tat ardham ṛṇam dhanam vā mandocce	yaTA ã prAk eva SIGra Palam AnIya tat arDam RNam Danam vA manda ucce
   kṛtvā tat mandāyātam ca tena phaladvayasaṃskṛtena mandoccena saṃskṛtaḥ sa	kRtvA tat manda AyAtam ca tena Pala dvaya saMskRtena manda uccena saMskRtaH sa
   sphuṭamadhyaḥ grahaḥ bhavati | sa śīghrakarmaṇā sphuṭaḥ iti prakriyāntaram	sPuwa maDyaH grahaH Bavati | sa SIGra karmaNA sPuwaH iti prakriyA antaram
   etat || 22 ||	etat || 22 ||
   [ prakārāntareṇa śanigurukujasphuṭīkaraṇam ]	[ prakAra antareNa Sani guru kuja sPuwIkaraNam ]
   grahāṇām sphuṭīkaraṇaprakārāntaram āha ã	grahANAm sPuwIkaraNa prakAra antaram Aha ã
   mandoccāt śīghroccāt ardham ṛṇam dhanam graheṣu mandeṣu |	manda uccAt SIGra uccAt arDam RNam Danam grahezu mandezu |
   mandoccāt sphuṭamadhyāḥ śīghroccāt ca sphuṭāḥ jñeyāḥ || 23 ||	manda uccAt sPuwa maDyAH SIGra uccAt ca sPuwAH jQeyAH || 23 ||
   mandoccāt yat phalam āyātam tasya cāpārdham ṛṇam dhanam vā graheṣu ṛṇam	manda uccAt yat Palam AyAtam tasya cApArDam RNam Danam vA grahezu RNam
   dhanam [mandeṣu vā kartavyam] | evam tarhi cakāraḥ kartavyaḥ | cakāreṇa	Danam [mandezu vA kartavyam] | evam tarhi cakAraH kartavyaH | cakAreNa
   vinā graheṣu mandeṣu ca iti cārthaḥ na labhyate | na cakāraḥ kartavyaḥ |	vinA grahezu mandezu ca iti ca arTaH na laByate | na cakAraH kartavyaH |
   antareṇa api cakāram cārthaḥ avagamyate | [katham?] evam ã	antareNa api cakAram ca arTaH avagamyate | [kaTam ?] evam ã
   bāle vṛddhe kṣate kṣīṇe kṣīram yuktyā prayojayet |	bAle vRdDe kzate kzINe kzIram yuktyA prayojayet |
   iti atra cakāreṇa vinā cārthasya avagamanāt | evam ayam api | "sva"mandeṣu	iti atra cakAreNa vinA ca arTasya avagamanAt | evam ayam api | "sva"mandezu
   api vaktavyam, yena sveṣu madhyameṣu sveṣu ca mandeṣu kriyate |	api vaktavyam, yena svezu maDyamezu svezu ca mandezu kriyate |
   "sva"śabdaḥ api na kartavyaḥ | svasya grahasya yaḥ madhyamaḥ svasya ca yat	"sva" SabdaH api na kartavyaH | svasya grahasya yaH maDyamaH svasya ca yat 
   mandam tatra eva karmasiddheḥ | yathā "mātari vaktavyam pitari	mandam tatra eva karma sidDeH | yaTA "mAtari vaktavyam pitari
   śuśrūṣitavyam" iti | na ca tatra ucyate ã "svasyām mātari svasmin vā	SuSrUzitavyam" iti | na ca tatra ucyate ã "svasyAm mAtari svasmin vA
   pitari" iti | evam atra api iti |	pitari" iti | evam atra api iti |
   atha yat etat mandoccāyātam phalārdham tat kṣayadhanakrameṇa madhye grahe	aTa yat etat manda ucca AyAtam Pala arDam tat kzaya Dana krameNa maDye grahe
   dhanam ṛṇam vā kriyate | mande punar katham kriyate, mandasya	Danam RNam vA kriyate | mande punar kaTam kriyate, mandasya
   ṛṇadhanakramasya anabhidhānāt? ucyate ã mandoccam sarvadā eva grahasya	RNa Dana kramasya anaBiDAna at? ucyate ã manda uccam sarvadA eva grahasya
   ṛṇabhūtam | tatra yat grahasya ṛṇam tat mandocce prakṣipyate, ṛṇabhūtatvāt	RNa BUtam | tatra yat grahasya RNam tat manda ucce prakzipyate, RNa BUta tvAt 
   | yat grahe dhanabhūtam tat mandoccāt apanīyate, mandoccasya ṛṇabhūtatvāt	| yat grahe Dana BUtam tat manda uccAt apanIyate, manda uccasya RNa BUta tvAt 
   eva | ayam ca gaṇitanyāyaḥ ã	eva | ayam ca gaNita nyAyaH ã
   ṛṇa[ṛṇayoḥ dhana]dhanayoḥ saṃkṣepaḥ ṛṇadhanayoḥ ca viśeṣaḥ |	RNa[RNayoH Dana]DanayoH saMkzepaH RNa DanayoH ca viSezaH |
   iti | tasmāt anena krameṇa mandocce phalārdhasya upacayāpacayau bhavataḥ |	iti | tasmAt anena krameNa manda ucce Pala arDasya upacaya apacayO BavataH |
   śīghroccāt ca yat phalārdham tat api evam eva grahavaiparītyena mande	SIGra uccAt ca yat Pala arDam tat api evam eva graha vEparItyena mande
   dhanam ṛṇam vā kriyate | graheṣu punar prayojanābhāvāt na kriyate |	Danam RNam vA kriyate | grahezu punar prayojana aBAvAt na kriyate |
   mandoccāt | mandoccaśīghroccaphalārdhena saṃskṛtam mandoccam parigṛhyate |	manda uccAt | manda ucca SIGra ucca Pala arDena saMskRtam manda uccam parigRhyate |
   kutaḥ? karmadvayavṛttau mandanirdeśāt | tena tādṛgvidhena mandena	kutas ? karma dvaya vRttO manda nirdeSAt | tena tAdRgviDena mandena
   madhyamāt viśodhitena yat phalam āyātam tat sakalam madhyeṣu ṛṇam dhanam	maDyamAt viSoDitena yat Palam AyAtam tat sakalam maDyezu RNam Danam
   vā kriyate | sphuṭamadhyāḥ | [madhyamasya] sphuṭasya antarvartitvāt	vA kriyate | sPuwa maDyAH | [maDyamasya] sPuwasya antar varti tvAt 
   [sphuṭāḥ ye na, na avikṛteṣu] madhyameṣu phalasya karaṇāt madhyamāḥJ|	[sPuwAH ye na, na avikRtezu] maDyamezu Palasya karaNAt maDyamAH J|
   athavā sphuṭasya madhyamāḥ sphuṭamadhyamāḥ | ekena karmaṇā niṣpannā yena	aTavA sPuwasya maDyamAH sPuwa maDyamAH | ekena karmaNA nizpannAH yena
   dvitīyam karmāntaram apekṣante | śīghroccāt ca sphuṭāḥ jñeyāḥ | śīghroccāt	dvitIyam karma antaram apekzante | SIGra uccAt ca sPuwAH jQeyAH | SIGra uccAt
   āyātam phalam tena saṃskṛtāḥ sphuṭāḥ | cakāraḥ phalayoḥ samuccayam	AyAtam Palam tena saMskRtAH sPuwAH | cakAraH PalayoH samuccayam
   abhidhatte | jñeyāḥ avagantavyāḥ boddhavyāḥ iti yāvat || 23 ||	aBiDatte | jQeyAH avagantavyAH bodDavyAH iti yAvat || 23 ||
   [ bhṛgubudhayoḥ sphuṭīkaraṇam ]	[ BRgu buDayoH sPuwIkaraNam ]
   bhṛgubudhayoḥ karma āha ã	BRgu buDayoH karma Aha ã
   śīghroccāt ardhonam kartavyam ṛṇam dhanam svamandocce |	SIGra uccAt arDa Unam kartavyam RNam Danam sva manda ucce |
   sphuṭamadhyau tu bhṛgubudhau siddhāt mandāt sphuṭau bhavataḥ || 24 ||	sPuwa maDyO tu BRgu buDO sidDAt mandAt sPuwO BavataH || 24 ||
   śīghroccāt iti prāk śīghroccaniṣpannam phalam gṛhyate | tat eva	SIGra uccAt iti prAk SIGra ucca nizpannam Palam gRhyate | tat eva
   śīghroccaphalam agre | tatra tat ardhonam ardham iti arthaḥ | ṛṇadhanam	SIGra ucca Palam agre | tatra tat arDa Unam arDam iti arTaH | RNa Danam
   kartavyam | yadi grahe ṛṇam tadā dhanam kartavyam | dhanasya ṛṇam	kartavyam | yadi grahe RNam tadA Danam kartavyam | Danasya RNam
   kartavyam iti arthāt avasīyate | kva iti āha ã svamandocce | svakīyam	kartavyam iti arTAt avasIyate | kva iti Aha ã sva manda ucce | svakIyam
   mandoccam svamandoccam, tasmin svamandocce | sphuṭamadhyau bhṛgubudhau	manda uccam sva manda uccam, tasmin sva manda ucce | sPuwa maDyO BRgu buDO
   bhavataḥ | katham? siddhāt mandāt | yat eva śīghroccaphalārdhena saṃskṛtam	BavataH | kaTam? sidDAt mandAt | yat eva SIGra ucca Pala arDena saMskRtam
   mandoccam tat siddham	manda uccam tat sidDam
   iti abhidhīyate | tasmāt siddhāt mandāt sphuṭamadhyau bhavataḥ | etat	iti aBiDIyate | tasmAt sidDAt mandAt sPuwa maDyO BavataH | etat 
   uktam bhavati ã yat eta[t siddhamandam tat madhyama]grahāt viśodhya	uktam Bavati ã yat eta[t sidDa mandam tat maDyama ]grahAt viSoDya
   śeṣaphalasya ca ṛṇadhanena tayoḥ bhṛgubudhayoḥ madhyau sphuṭamadhyau	Seza Palasya ca RNa Danena tayoH BRgu buDayoH maDyO sPuwa maDyO
   bhavataḥ | "tu" śabdāt "śīghroccāt ca sphuṭāḥ jñeyāḥ" [kālakriyāí, 23] iti	BavataH | "tu"  SabdAt "SIGra uccAt ca sPuwAH jQeyAH" [kAla kriyAí, 23] iti
   etat kriyate || 24 ||	etat kriyate || 24 ||
   [ bhūtārāgrahāntarālam ]	[ BUtArA graha antarAlam ]
   [bhūtārāgrahā]ntarālapramāṇānayanāya āha ã	[BUtAra agrahA]ntarAla pramANa AnayanAya Aha ã
   bhūtārāgrahavivaram vyāsārdhahṛtaḥ svakarṇasaṃvargaḥ |	BUtArA graha vivaram vyAsa arDa hRtaH sva karNa saMvargaH |
   kakṣyāyām grahavegaḥ yaḥ bhavati sa mandanīcocce || 25 ||	kakzyAyAm graha vegaH yaH Bavati sa mandanIca ucce || 25 ||
   tārāgrahāṇām bhuvaḥ ca yat antaram tasya ānayanopāyaḥ ucyate |	tArA grahANAm BuvaH ca yat antaram tasya Anayana upAyaH ucyate |
   bhūtārāgrahavivaram bhuvaḥ tārāgrahasya ca yat antaram tat	BUtArA graha vivaram BuvaH tArA grahasya ca yat antaram tat 
   bhūtārāgrahavivaram bhavati iti vakṣyati | vyāsārdhahṛtaḥ	BUtArA graha vivaram Bavati iti vakzyati | vyAsa arDa hRtaH
   svakarṇasaṃvargaḥ | vyāsārdham trijyā | trijyayā hṛtaḥ vyāsārdhahṛtaḥ |	sva karNa saMvargaH | vyAsa arDam trijyA | trijyayA hRtaH vyAsa arDa hRtaH |
   svakarṇayoḥ saṃvargaḥ svakarṇasaṃvargaḥ | etat uktam bhavati ã	sva karNayoH saMvargaH sva karNa saMvargaH | etat uktam Bavati ã
   mandoccakarṇasya śīghroccakarṇasya ca yaḥ ghātaḥ saḥ svakarṇasaṃvargaḥ	manda uccakarNasya SIGra uccakarNasya ca yaH GAtaH saH sva karNa saMvargaH
   vyāsārdhahṛtaḥ | kakṣyāyām grahavegaḥ | tāvat ucchritāyām	vyAsa arDa hRtaH | kakzyAyAm graha vegaH | tAvat ucCritAyAm
   [kakṣyāyām] grahasya yaḥ mandaśīghroccaphalajanitaḥ vegaḥ sa tasya	[kakzyAyAm] grahasya yaH manda SIGra ucca Pala janitaH vegaH sa tasya
   bhūtārāgrahavivarasya agre bhavati iti | ataḥ eva bhūtārāgrahavivaram	BUtArA graha vivarasya agre Bavati iti | atas eva BUtArA graha vivaram
   vikṣepānayane bhāgahāraḥ |	vikzepa Anayane BAga hAraH |
   apare āhuḥ ã na bhūtārāgrahavivaram bhāgahāraḥ | kaḥ tarhi? vyāsārdham |	apare AhuH ã na BUtArA graha vivaram BAga hAraH | kaH tarhi? vyAsa arDam |
   yasmāt etat atra trairāśikam ã yadi trijyayā svagrahābhihitavikṣepaḥ	yasmAt etat atra trErASikam ã yadi trijyayA sva graha aBihita vikzepaH
   labhyate, anayā abhīṣṭagrahasvapātavivarāntarālāṃśajyayā bhujajyayā kim	laByate, anayA aBIzwa graha sva pAta vivara antarAla aMSa jyayA Buja jyayA kim
   iti | na etat samyak avasīyate | yadi idam eva trairāśikam syāt, tadā	iti | naH etat samyak avasIyate | yadi idam eva trErASikam syAt, tadA
   nakṣatratārāgrahaśaśiyogāḥ sarvadā tasyām eva diśi tulyavikṣepavivarāḥ	nakzatra tArA graha SaSi yogAH sarvadA tasyAm eva diSi tulya vikzepa vivarAH
   syuḥ, nakṣatratārāṇām uccanīcagatyasambhavāt | dṛśyante ca amī	syuH, nakzatra tArANAm ucca nIca gati asamBavAt | dRSyante ca amI
   grahanakṣatrāṇām dūrāsanna[vaśāt]	graha nakzatrANAm dUra Asanna[ vaSAt]
   bhedāṃśumardanasavyāpasavyayogagata[yaḥ | yadi vyāsārdha]m eva bhāgahāraḥ	Beda aMSu mardana savya apa savya yoga gata[yaH | yadi vyAsa arDa]m eva BAga hAraH
   syāt tadā sarve eva tulyagatayaḥ syuḥ | bhūtārāgrahavivaram |	syAt tadA sarve eva tulya gatayaH syuH | BUtArA graha vivaram |
   bhūtārāgrahavivaravaśāt vikṣepaḥ alpaḥ mahān ca nakṣatratārāgrahayogeṣu	BUtArA graha vivara vaSAt vikzepaH alpaH mahAn ca nakzatra tArA graha yogezu
   labhyate | [alpe vā] mahadvikṣepe dakṣiṇottaradigvaśāt	laByate | [alpe vA] mahat vikzepe dakziNa uttara digvaSAt
   niyatavikṣepāntaradiśaḥ yogāḥ upapadyante | tasmāt bhūtārāgrahavivaram eva	niyata vikzepa antara diSaH yogAH upapadyante | tasmAt BUtArA graha vivaram eva
   bhāgahāraḥ | etat api karma trairāśikadvayam | katham? yadi	BAga hAraH | etat api karma trErASika dvayam | kaTam? yadi
   vyāsārdhatulyayā pātāntarabhujajyayā yathāsvam vikṣepaḥ	vyAsa arDa tulyayA pAta antara Buja jyayA yaTAsvam vikzepaH
   alpaḥ mahān ca labhyate, tadā ana[yā bhuja]jyayā pātāntarotpannayā kaḥ iti	alpaH mahAn ca laByate, tadA ana[yA Buja]jyayA pAta antara utpannayA kaH iti
   vikṣepaḥ labhyate | [ataḥ] punar api vyastatrairāśikam ã yadi ayam	vikzepaH laByate | [ataH] punar api vyastatrErASikam ã yadi ayam
   vikṣepaḥ kakṣyāmaṇḍale vyāsārdhaviṣkambhe labhyate, tadā	vikzepaH kakzyA maNxale vyAsa arDa vizkamBe laByate, tadA
   paramārthapratimaṇḍale bhūtārāgrahavivaraviṣkambhārdhe kiyān iti |	parama arTa pratimaNxale BUtArA graha vivara vizkamBa arDe kiyAn iti |
   pūrvatrairāśike vyāsārdham bhāgahāraḥ āsīt, tat eva dvitīyatrairāśike	pUrvatrErASike vyAsa arDam BAga hAraH AsIt, tat eva dvitIyatrErASike
   vyastatvāt guṇakāraḥ | ataḥ guṇakārabhāgahārayoḥ naṣṭayoḥ,	vyasta tvAt guNakAraH | atas guNa kAra BAga hArayoH nazwayoH,
   pātāntarabhujajyāyāḥ vikṣepaḥ guṇakāraḥ, bhūtārāgrahavivaram	pAta antara Buja jyAyAH vikzepaH guNakAraH, BUtArA graha vivaram
   bhāgahāraḥ, phalam iṣṭagrahasya vikṣepaḥ | evam iṣṭagrahayoḥ	BAga hAraH, Palam izwa grahasya vikzepaH | evam izwa grahayoH
   vikṣepāvabhinnadikkau viśiṣyate, yasmāt apakramamaṇḍalāt tau pravṛttau |	vikzepa avaBinna dikkO viSizyate, yasmAt apakrama maNxalAt tO pravRttO |
   tataḥ tadviśeṣatulyam tayoḥ antaram bhavati, tatra api tayoḥ	tatas tad viSeza tulyam tayoH antaram Bavati, tatra api tayoH
   ūnādhikavikṣepavaśāt parasparāpekṣayā [tayoḥ yāmyottaradiktvam] |	Una aDika vikzepa vaSAt paraspara apekzayA [tayoH yAmya uttara diS tvam] |
