   Skandapurāṇa: Revākhaṇḍa (RKS)	SkandapurANa: RevAKaNxa (RKS)
   tatra tīrthe naraḥ snātvā ṛgyajuḥ sāmasu dvijaḥ /	tatra tIrTe naraH snAtvA Rc yajuH sAmasu dvijaH /
   ṛcam ekāṃ japitvā ca caturvedaphalaṃ labhet // RKS_78.23 //	Rcam ekAm japitvA ca catur veda Palam laBet // RKH _78.23 //
   tasmiṃs tīrthe tu godānam annadānam athāpi vā /	tasmin tIrTe tu go dAnam anna dAnam aTa api vA /
   yaḥ prayacchati viprebhyas tatphalaṃ śṛṇu pāṇḍava // RKS_78.24 //	yaH prayacCati vipreByaH tad Palam SRNu pANxavaH // RKH _78.24 //
   yāvanti tasya romāṇi tatprasūtikuleṣu ca /	yAvanti tasya romANi tad prasUti kulezu ca /
   tāvad varṣasahasrāṇi svargaloke mahīyate // RKS_78.25 //	tAvat varza sahasrANi svarga loke mahIyate // RKH _78.25 //
   svargavāso bhavet tasya putrapautrasamanvitaḥ /	svarga vAsaH Bavet tasya putra pOtra samanvitaH /
   tasmiṃs tīrthe mahābhāga vyāghraś caiva pipāsitaḥ // RKS_78.26 //	tasmin tIrTe mahABAga vyAGraH ca eva pipAsitaH // RKH _78.26 //
   niṣādānāṃ bhayenaiva aṭavyāmaṭati svayam /	nizAdAnAm Bayena eva awavyAm awati svayam /
   niṣādānāṃ bharyair naṣṭaḥ patito narmadājale // RKS_78.27 //	nizAdAnAm BaryEH nazwaH patitaH narmadA jale // RKH _78.27 //
   jalapluto mahābhāga liṅgarūpadharo 'bhavat /	jala plutaH mahABAga liFga rUpa DaraH aBavat /
   uktaścākāśavāṇyā vai vyāghreśvaram anuttamam // RKS_78.28 //	uktaH ca AkASa vANyAH vE vyAGreSvaram anuttamam // RKH _78.28 //
   pūjyaṃ vai triṣu lokeṣu khyātiṃ yāsyaty asaṃśayam /	pUjyam vE trizu lokezu KyAtim yAsyati asaMSayam /
   tatra tīrthe naraḥ snātvā tal liṅgam arcayet tu yaḥ // RKS_78.29 //	tatra tIrTe naraH snAtvA tat liFgam arcayet tu yaH // RKH _78.29 //
   brahmahatyādipāpebhyo mucyate nātra saṃśayaḥ /	brahmahatyA Adi pApeByaH mucyate na atra saMSayaH /
   etat te kathitaṃ rājan kuṇḍaleśvaram uttamam // RKS_78.30 //	etat te kaTitam rAjan kuNxaleSvaram uttamam // RKH _78.30 //
   śravaṇāt kīrtanād asya gosahasraphalaṃ labhet // RKS_78.31 //	SravaNAt kIrtanAt asya go sahasra Palam laBet // RKH _78.31 //
   iti śrīskandapurāṇe revākhaṇḍe kuṇḍaleśvaramahimā anuvarṇanonāma	iti SrI skandapurANe revAKaNxe kuNxaleSvara mahimA anuvarNanaH nAma
   aṣṭasaptatitamo 'dhyāyaḥ ||	azwasaptatitamaH aDyAyaH ||
   RKS adhyāya 79	RKH aDyAyaH 79
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   tato gacchet tu rājendra pippaleśvaram uttamam /	tatas gacCet tu rAja indra pippaleSvaram uttamam /
   yatra siddho mahāyogī pippalādo mahātapāḥ // RKS_79.1 //	yatra sidDaH mahA yogI pippalAdaH mahA tapAH // RKH _79.1 //
   yudhiṣṭhira uvāca:	yuDizWiraH uvAca:
   pippalādasya caritaṃ śrotumicchāmy ahaṃ prabho /	pippalAdasya caritam Srotum icCAmi aham praBo /
   māhātmyaṃ tasya tīrthasya yatra siddho mahātapāḥ // RKS_79.2 //	mAhAtmyam tasya tIrTasya yatra sidDaH mahA tapAH // RKH _79.2 //
   kasya putro mahābhāga kimarthaṃ taptavāṃs tapaḥ /	kasya putraH mahABAga kim arTam taptavAn tapaH /
   etad vistarataḥ sarvaṃ kathayasva mamānagha // RKS_79.3 //	etat vistarataH sarvam kaTayasva mama anaGaH // RKH _79.3 //
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   mithilāstho mahābhāga vedavedāṅgapāragaḥ /	miTilA sTaH mahABAga veda vedAFga pAragaH /
   yājñavalkyaś ca purataś cacāra vipulaṃ tapaḥ // RKS_79.4 //	yAjQavalkyaH ca puratas cacAra vipulam tapaH // RKH _79.4 //
   tāpasī tasya bhaginī yājñavalkyasya dhīmataḥ /	tApasI tasya BaginI yAjQavalkyasya DImataH /
   cacāra sāpi tatrasthā śuśrūṣantī mahattapaḥ // RKS_79.5 //	cacAra sA api tatrasTA SuSrUzantI mahat tapaH // RKH _79.5 //
   tatas tv ekasmin samaye snātāhani rajasvalā /	tatas tu ekasmin samaye snAtA ahani rajasvalA /
   antarvāsaṃ kṛtavatī dṛṣṭvā karkaṭakaṃ rahaḥ // RKS_79.6 //	antar vAsam kRtavatI dRzwvA karkawakam rahaH // RKH _79.6 //
   yājñavalkyo 'pi tad rātrau paridhānena tena vai /	yAjQavalkyaH api tat rAtrO pariDAnena tena vE /
   svapnaṃ dṛṣṭvātyajac chukraṃ prabhāte 'nvaiṣayat punaḥ // RKS_79.7 //	svapnam dRzwvA atyajat Sukram praBAte anvEzayat punar // RKH _79.7 //
   tata sā brāhmaṇī tāta kim anveṣyasi bhārata /	tata sA brAhmaNI tAta kim anvezyasi BArata /
   kena kāryaṃ tava vibho vadasva mama tattvataḥ // RKS_79.8 //	kena kAryam tava viBo vadasva mama tattvataH // RKH _79.8 //
   yājñavalkya uvāca:	yAjQavalkyaH uvAca:
   apavitro mayā bhadre svapno dṛṣṭo 'dya vai niśi /	apavitraH mayA Badre svapnaH dRzwaH adya vE niSi /
   śuklaṃ me cātra vastraṃ svaṃ nikṣiptaṃ tan na dṛśyate // RKS_79.9 //	Suklam me ca atra vastram svam nikziptam tat na dRSyate // RKH _79.9 //
   tacchrutvā brāhmaṇī vākyaṃ bhītabhītābhavan nṛpa /	tat SrutvA brAhmaNI vAkyam BIta BItA aBavat nRpa /
   tadvastraṃ tu mayā brahman snātvāntardhānakaṃ kṛtam // RKS_79.10 //	tat vastram tu mayA brahman snAtvA antarDAnakam kRtam // RKH _79.10 //
   tasyās tad vacanaṃ śrutvā hāhetyuktvā mahātapāḥ /	tasyAH tat vacanam SrutvA hAhA iti uktvA mahA tapAH /
   papāta sahasā bhūmau chinnamūla iva drumaḥ // RKS_79.11 //	papAta sahasA BUmO Cinna mUlaH iva drumaH // RKH _79.11 //
   kim etad iti jalpantam ākāśād vāgvinirgatā /	kim etat iti jalpantam AkASAt vAc vinirgatAH /
   toṣayantī ca taṃ vipraṃ provāca nṛpate tadā // RKS_79.12 //	tozayantI ca tam vipram provAca nRpate tadA // RKH _79.12 //
   nāsya doṣo mayā dṛṣṭas tava caiva śubhavrate /	na asya dozaH mayA dRzwaH tava ca eva SuBa vrate /
   tava garbhodayo yena tatra daivaṃ parāyaṇam // RKS_79.13 //	tava garBa udayaH yena tatra dEvam parAyaNam // RKH _79.13 //
   na vināśo 'sya kartavyo yāvat kālasya paryayaḥ /	na vinASaH asya kartavyaH yAvat kAlasya paryayaH /
   tatheti vrīḍitā sā ca durmaneti vimānataḥ // RKS_79.14 //	taTA iti vrIxitA sA ca durmana iti vimAnataH // RKH _79.14 //
   pālayāmāsa taṃ garbhaṃ yāvat putro vyajāyata /	pAlayAmAsa tam garBam yAvat putraH vyajAyata /
   jātamātraṃ tu taṃ garbhaṃ kathayitvā na kaṃcana // RKS_79.15 //	jAta mAtram tu tam garBam kaTayitvA na kaMcana // RKH _79.15 //
   aśvasthavṛkṣamāsādya sotsasarja mahītale /	aSvasTavRkzam AsAdya sa utsasarja mahI tale /
   yāni sattvāni lokeṣu sthāvarāṇi carāṇi vai // RKS_79.16 //	yAni sattvAni lokezu sTAvarANi carANi vE // RKH _79.16 //
   tāni vai pālayantv enaṃ bālakaṃ tyajati sma sā /	tAni vE pAlayantu enam bAlakam tyajati sma sA /
   evamuktvā tataḥ sādhvī brāhmaṇī nṛpasattama // RKS_79.17 //	evam uktvA tatas sADvI brAhmaNI nRpa sattamaH // RKH _79.17 //
   yathāgataṃ jagāmātha sāvasthāya muhūrtakam /	yaTAgatam jagAma aTa sa avasTAya muhUrtakam /
   pādau pāṇī vinikṣipya vimṛjya nayane śūbhe // RKS_79.18 //	pAdO pANI vinikzipya vimRjya nayane SUBe // RKH _79.18 //
   āsyaṃ ca vikṛtaṃ kṛtvā rurodoccairanāthavat /	Asyam ca vikRtam kRtvA ruroda uccEs anATa vat /
   tena śabdena vitrastāḥ sthāvarā jaṅgamāś ca ye // RKS_79.19 //	tena Sabdena vitrastAH sTAvarAH jaFgamAH ca ye // RKH _79.19 //
   akampayat mahīṃ tāta saśailavanakandarām /	akampayat mahIm tAta sa SEla vana kandarAm /
   tato jñātvā mahadbhūtaṃ kṣudhāviṣṭaṃ dvijarṣabham // RKS_79.20 //	tatas jQAtvA mahat BUtam kzuDA Avizwam dvijarzaBam // RKH _79.20 //
   na jahāti nagaś chāyāmārpayac ca tataḥ payaḥ /	na jahAti nagaH CAyAm Arpayat ca tatas payaH /
   āpyāyitas tatas tena amṛtenaiva bhārata /	ApyAyitaH tatas tena amRtena eva BArata /
   tataḥ sa cintayāviṣṭo nirmame grahagocaram // RKS_79.21 //	tatas sa cintayA AvizwaH nirmame graha gocaram // RKH _79.21 //
   tena krūrasam ācāraḥ krūradṛṣṭyā nirīkṣitaḥ /	tena krUrasam AcAraH krUra dRzwyA nirIkzitaH /
   papāta sahasā bhūmau śanaiścārī śanaiścaraḥ // RKS_79.22 //	papAta sahasA BUmO SanEs cArI SanEScaraH // RKH _79.22 //
   śanaiścaraṃ bālako 'pi pādenaiva parāmṛśat /	SanEScaram bAlakaH api pAdena eva parAmRSat /
   pīḍitaḥ so 'pi bālena uvāca vacanaṃ tadā // RKS_79.23 //	pIxitaH saH api bAlena uvAca vacanam tadA // RKH _79.23 //
   kiṃ mayā 'pakṛtaṃ vipra pippalāda mahāmune /	kim mayA apakRtam vipra pippalAda mahA mune /
   niṣkrāman gagane caiva pātito dharaṇītale // RKS_79.24 //	nizkrAman gagane ca eva pAtitaH DaraNI tale // RKH _79.24 //
   sauriṇāpy evam uktas tu pippalādo mahāmuniḥ /	sOriNA api evam uktaH tu pippalAdaH mahA muniH /
   krodharūpo 'bravīd vākyaṃ tac chṛṇuṣva narādhipa // RKS_79.25 //	kroDa rUpaH abravIt vAkyam tat SRNuzva narADipa // RKH _79.25 //
   pitṛmātṛvihīnasya bālabhāvasya durmate /	pitR mAtR vihInasya bAla BAvasya durmate /
   pīḍāṃ karoṣi kasmāt tvaṃ saure tvam avaśeṣitaḥ // RKS_79.26 //	pIxAm karozi kasmAt tvam sOre tvam avaSezitaH // RKH _79.26 //
   śanaiścara uvāca:	SanEScaraH uvAca:
   krūrasvabhāvasaṃjātā mama dṛṣṭi dvijottama /	krUra svaBAva saMjAtA mama dRzwi dvijottamaH /
   muñca tvaṃ māṃ ca kartāhaṃ yad bravīṣi na saṃśayaḥ // RKS_79.27 //	muQca tvam mAm ca kartA aham yat bravIzi na saMSayaH // RKH _79.27 //
   pippalāda uvāca:	pippalAdaH uvAca:
   adya prabhṛtibālānāṃ janmataḥ ṣoḍaśīḥ samāḥ /	adya praBRti bAlAnAm janmataH zoxaSIH samAH /
   pīḍā tvayā na kartavyā eṣa te samayaḥ paraḥ // RKS_79.28 //	pIxA tvayA na kartavyA eza te samayaH paraH // RKH _79.28 //
   evam astv iti taṃ coktvā prajagāma yathāgataḥ /	evam astu iti tam ca uktvA prajagAma yaTAgataH /
   devamārgaṃ śanaiścārī praṇamya ṛṣisattamam // RKS_79.29 //	devamArgam SanEs cArI praNamya Rzi sattamam // RKH _79.29 //
   tataś cādarśanaṃ tatra gatavān sa mahāgrahaḥ /	tatas ca adarSanam tatra gatavAn sa mahA grahaH /
   vicintayānaś caikākī krodhena kaluṣīkṛtaḥ // RKS_79.30 //	vicintayAnaH ca ekAkI kroDena kaluzIkRtaH // RKH _79.30 //
   āgneyīṃ hi diśaṃ dhyātvā janayāmāsa pāvakam /	AgneyIm hi diSam DyAtvA janayAmAsa pAvakam /
   kṛttvā māṃsaṃ juhāvāgnau kriyāsambhavatattvataḥ // RKS_79.31 //	kRttvA mAMsam juhAva agnO kriyA samBava tattvataH // RKH _79.31 //
   tāvac ca janitā kṛtyā jvālāmālāvibhūṣitā /	tAvat ca janitA kRtyA jvAlA mAlA viBUzitA /
   hutabhuksadṛśākārā kiṃkaromīti cābravīt // RKS_79.32 //	hutaBuj sadRSa AkArA kiMkaromi iti ca abravIt // RKH _79.32 //
   śoṣayāmi samudraṃ kiṃ cūrṇayāmi ca parvatam /	SozayAmi samudram kim cUrNayAmi ca parvatam /
   bhūmiṃ ca veṣṭayāmīha pātayitvā nabhastalam // RKS_79.33 //	BUmim ca vezwayAmi iha pAtayitvA naBastalam // RKH _79.33 //
   kasya mūrdhni patiṣyāmi ghātayāmi ca kaṃ dvija /	kasya mUrDni patizyAmi GAtayAmi ca kam dvija /
   śīghramādiśa me kāryaṃ na kālātikramo bhavet // RKS_79.34 //	SIGram AdiSa me kAryam na kAla atikramaH Bavet // RKH _79.34 //
   tasyās tad vacanaṃ śrutvā pippalādo mahātapāḥ /	tasyAH tat vacanam SrutvA pippalAdaH mahA tapAH /
   krodharaktāntanayana idaṃ vacanam abravīt // RKS_79.35 //	kroDa rakta anta nayane idam vacanam abravIt // RKH _79.35 //
   mahatā krodhavegena mayā tvaṃ cintitā śubhe /	mahatA kroDa vegena mayA tvam cintitA SuBe /
   pitā me yājñavalkyas tu taṃ tvaṃ ghātaya māciram // RKS_79.36 //	pitA me yAjQavalkyaH tu tam tvam GAtaya mAciram // RKH _79.36 //
   evamuktā tu sā śīghraṃ sphuṭantīva nabhas talam /	evam uktA tu sA SIGram sPuwantI iva naBaH talam /
   mithilāstho mahāprājño yatra tepe mahātapāḥ // RKS_79.37 //	miTilA sTaH mahA prAjQaH yatra tepe mahA tapAH // RKH _79.37 //
   yāvat paśyati diṅmārgaṃ jvalanārkasamaprabham /	yAvat paSyati diS mArgam jvalana arka sama praBam /
   yājñavalkyo mahātejās tadbhūtaṃ samupasthitam // RKS_79.38 //	yAjQavalkyaH mahA tejAH tad BUtam samupasTitam // RKH _79.38 //
   tāṃ dṛṣṭvā sahasāyāntīṃ bhītabhīto mahāmuniḥ /	tAm dRzwvA sahasA AyAntIm BIta BItaH mahA muniH /
   bhūtenākramito vipro janakaṃ nṛpatiṃ yayau // RKS_79.39 //	BUtena AkramitaH vipraH janakam nRpatim yayO // RKH _79.39 //
   śaraṇārtham anuprāptaṃ viddhi māṃ nṛpasattama /	SaraNa arTam anuprAptam vidDi mAm nRpa sattamaH /
   mahābhūtāc ca māṃ rakṣa yadi śaknoṣi mānada // RKS_79.40 //	mahABUtAt ca mAm rakza yadi Saknozi mAnadaH // RKH _79.40 //
   rājovāca:	rAjA uvAca:
   brahmatejobhavam bhūtam anivāryaṃ durāsadam /	brahma tejaH Bavam BUtam anivAryam durAsadam /
   prabhur naivādya śaknomi anyaṃ gaccha mahāmate // RKS_79.41 //	praBuH na eva adya Saknomi anyam gacCa mahAmate // RKH _79.41 //
   tataś cānyaṃ nṛpaśreṣṭhaṃ śaraṇārthī mahātapāḥ /	tatas ca anyam nRpa SrezWam SaraNa arTI mahA tapAH /
   jagāma tena caivokta indrasya śaraṇaṃ yayau // RKS_79.42 //	jagAma tena ca eva uktaH indrasya SaraNam yayO // RKH _79.42 //
   devarāja namaste 'stu mahābhūtāc ca rakṣa mām /	devarAja namaH te astu mahABUtAt ca rakza mAm /
   tasya tad vacanaṃ śrutvābravīd indras tadā vacaḥ // RKS_79.43 //	tasya tat vacanam SrutvA abravIt indraH tadA vacaH // RKH _79.43 //
   na ca śaktaḥ paritrātuṃ brahmatejo hi duḥsaham /	na ca SaktaH paritrAtum brahma tejaH hi duHsaham /
   tataś ca brahmabhavanaṃ brāhmaṇo brahmavittamaḥ // RKS_79.44 //	tatas ca brahma Bavanam brAhmaNaH brahma vittamaH // RKH _79.44 //
   jagāma viṣṇubhavanaṃ śakto 'pi tyaktavān bhayāt /	jagAma vizNu Bavanam SaktaH api tyaktavAn BayAt /
   tataḥ sa paramodvigno nirāśo jīvite nṛpa // RKS_79.45 //	tatas sa parama udvignaH nirASaH jIvite nRpa // RKH _79.45 //
   anugamyamāno bhūtena agacchac ca maheśvaram /	anugamyamAnaH BUtena agacCat ca maheSvaram /
   tasya yogabalopeto mahādevasya pāṇḍava // RKS_79.46 //	tasya yoga bala upetaH mahAdevasya pANxavaH // RKH _79.46 //
   nakhamāṃsāntare lupto yathā devo na paśyati /	naKa mAMsa antare luptaH yaTA devaH na paSyati /
   adṛṣṭam agamad bhūtaṃ jvalanārkasamaprabham // RKS_79.47 //	adRzwam agamat BUtam jvalana arka sama praBam // RKH _79.47 //
   muñca muñceti puruṣa muñceśvaram uvāca ha /	muQca muQca iti puruza muQceSvaram uvAca ha /
   evam ukto mahādevas tena bhūtena bhārata // RKS_79.48 //	evam uktaH mahAdevaH tena BUtena BArata // RKH _79.48 //
   yogīndraṃ darśayām āsa nakhamāṃsāntare sthitam /	yogi indram darSayAm Asa naKa mAMsa antare sTitam /
   saṃsthāpya kṛtyāṃ bhūteśo jvalatkālānalaprabhām // RKS_79.49 //	saMsTApya kRtyAm BUteSaH jvalat kAla anala praBAm // RKH _79.49 //
   uvāca mā bhaistvaṃ vipra mā ca gaccha mahāmune /	uvAca mA BEH tvam vipra mA ca gacCa mahA mune /
   tatas taṃ sūkṣmadehasthaṃ mahādevo 'bravīd idam // RKS_79.50 //	tatas tam sUkzma deha sTam mahAdevaH abravIt idam // RKH _79.50 //
   kimasya tvaṃ mahābhūta kartā kṛtya vadasva me /	kim asya tvam mahABUta kartA kRtya vadasva me /
   kṛtyovāca:	kRtyA uvAca:
   krodhadīptena deveśa pippalādena cintitā // RKS_79.51 //	kroDa dIptena deveSa pippalAdena cintitAH // RKH _79.51 //
   asya dehe patiṣyāmi ahiṃsyāṃ viddhi māṃ prabho /	asya dehe patizyAmi ahiMsyAm vidDi mAm praBo /
   etac chrutvā mahādevo bhūtasya vadanāc cyutam // RKS_79.52 //	etat SrutvA mahAdevaH BUtasya vadanAt cyutam // RKH _79.52 //
   variṣṭhaṃ bandhayāmāsa yājñavalkyasya ghātakam /	varizWam banDayAmAsa yAjQavalkyasya GAtakam /
   yogīśvaraṃ taṃ viprendraṃ dattvābhītiṃ yudhiṣṭhira // RKS_79.53 //	yogi ISvaram tam vipra indram dattvA aBItim yuDizWira // RKH _79.53 //
   visarjayitvā devas taṃ tatraivāntaradhīyata /	visarjayitvA devaH tam tatra eva antaraDIyata /
   preṣayitvā tu taṃ bhūtaṃ pippalādo 'pi durmanāḥ // RKS_79.54 //	prezayitvA tu tam BUtam pippalAdaH api durmanAH // RKH _79.54 //
   mātāpitṛvihīnas tu narmadātaṭam āśritaḥ /	mAtA pitR vihInaH tu narmadA tawam ASritaH /
   ekaniṣṭho nirāhāro varṣāṇi ṣoḍaśaiva tu // RKS_79.55 //	eka nizWaH nirAhAraH varzANi zoxaSa eva tu // RKH _79.55 //
   toṣayāmāsa deveśam umayā saha śaṅkaram /	tozayAmAsa deveSam umayA saha SaFkaram /
   hara uvāca:	haraH uvAca:
   parituṣṭo 'smi te vipra tapasānena suvrata // RKS_79.56 //	parituzwaH asmi te vipra tapasA anena suvrate // RKH _79.56 //
   varaṃ vṛṇīṣva te dadyāṃ manasābhīpsitaṃ śubham /	varam vRNIzva te dadyAm manasA aBIpsitam SuBam /
   pippalāda uvāca:	pippalAdaH uvAca:
   yadi me bhagavāṃs tuṣṭo yadi deyo varo mama // RKS_79.57 //	yadi me BagavAn tuzwaH yadi deyaH varaH mama // RKH _79.57 //
   atra sannihito deva mama nāmnā ca śaṅkara /	atra sannihitaH deva mama nAmnA ca SaFkara /
   evam uktas tathety uktvā pippalādaṃ mahāmunim // RKS_79.58 //	evam uktaH taTA iti uktvA pippalAdam mahA munim // RKH _79.58 //
   jagāmādarśanaṃ devo bhūtasaṅghair niṣevitaḥ /	jagAma adarSanam devaH BUta saFGEH nizevitaH /
   pippalādo gate deve snātvā tatra mahāmbhasi // RKS_79.59 //	pippalAdaH gate deve snAtvA tatra mahA amBasi // RKH _79.59 //
   sthāpayitvā mahadevaṃ jagāmottaraparvatam /	sTApayitvA mahat evam jagAma uttara parvatam /
   tatra tīrthe naro bhaktyā snātvā mantrayuto nṛpa // RKS_79.60 //	tatra tIrTe naraH BaktyA snAtvA mantra yutaH nRpa // RKH _79.60 //
   tarpayitvā pitṝn devān pūjayitvā maheśvaram /	tarpayitvA pitLn devAn pUjayitvA maheSvaram /
   aśvamedhasya yajñasya phalaṃ prāpnoty anuttamam // RKS_79.61 //	aSvameDasya yajQasya Palam prApnoti anuttamam // RKH _79.61 //
   mṛto rudrapuraṃ yāti pippaleśvarasannidhau /	mRtaH rudra puram yAti pippala ISvara sanniDO /
   athavā bhojayed viprān pitṝn uddiśya bhaktitaḥ // RKS_79.62 //	aTavA Bojayet viprAn pitLn uddiSya BaktitaH // RKH _79.62 //
   dvādaśābdasahasrāṇi tṛptā gacchanti sadgatim /	dvAdaSa abda sahasrANi tRptAH gacCanti sat gatim /
   saṃnyāsena tu yaḥ kaścit tatra tīrthe tanuṃ tyajet // RKS_79.63 //	saMnyAsena tu yaH kaScid tatra tIrTe tanum tyajet // RKH _79.63 //
   anivartikā gatis tasya yathā me śaṅkaro 'bravīt /	anivartikA gatiH tasya yaTA me SaFkaraH abravIt /
   etat sarvaṃ samākhyātaṃ yat tvaṃ māṃ paripṛṣṭavān // RKS_79.64 //	etat sarvam samAKyAtam yat tvam mAm paripRzwavAn // RKH _79.64 //
   māhātmyaṃ pippalādasya pippaleśvaram uttamam /	mAhAtmyam pippalAdasya pippaleSvaram uttamam /
   etat puṇyaṃ pāpaharaṃ dhanyaṃ duḥkhapraṇāśanam // RKS_79.65 //	etat puNyam pApa haram Danyam duHKa praNASanam // RKH _79.65 //
   paṭhatāṃ śṛṇvatāṃ caiva sarvapāpapramocanam // RKS_79.66 //	paWatAm SRNvatAm ca eva sarva pApa pramocanam // RKH _79.66 //
   iti śrīskandapurāṇe revākhaṇḍe pippaleśvaramahimānuvarṇano	iti SrI skandapurANe revAKaNxe pippala ISvara mahimA anuvarNano
   nāmaikonāśītitamo 'dhyāyaḥ ||	nAma ekonASItitamaH aDyAyaH ||
   RKS adhyāya 80	RKH aDyAyaH 80
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   tato gacchet tu rājendra vimaleśvaram uttamam /	tatas gacCet tu rAja indra vimaleSvaram uttamam /
   tatra devaśilā ramyā mahādevena bhāṣitā // RKS_80.1 //	tatra deva SilA ramyA mahAdevena BAzitAH // RKH _80.1 //
   garjanaṃ kheṭakaṃ nāma tatra devaśilā śubhā /	garjanam Kewakam nAma tatra devaSilA SuBA /
   tatra snātvā tu yo bhaktyā tarpayet pitṛdevatāḥ // RKS_80.2 //	tatra snAtvA tu yaH BaktyA tarpayet pitR devatAH // RKH _80.2 //
   tasya te dvādaśābdāni sutṛptā divi moditāḥ /	tasya te dvAdaSa abdAni su tRptAH divi moditAH /
   tasmiṃs tīrthe tu yo bhaktyā brāhmaṇān pūjayen nṛpa // RKS_80.3 //	tasmin tIrTe tu yaH BaktyA brAhmaNAn pUjayet nRpa // RKH _80.3 //
   svalpenāpi hi dānena tasya cānto na vidyate /	su alpena api hi dAnena tasya ca antaH na vidyate /
   yudhiṣṭhira uvāca:	yuDizWiraH uvAca:
   kāni dānāni viprendra śastāni dharaṇītale // RKS_80.4 //	kAni dAnAni vipra indra SastAni DaraNI tale // RKH _80.4 //
   yāni dattvā naro bhaktyā mucyate sarvakilbiṣaiḥ /	yAni dattvA naraH BaktyA mucyate sarva kilbizEH /
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   suvarṇaṃ rajataṃ tāmraṃ maṇiṃ mauktikam eva ca // RKS_80.5 //	suvarNam rajatam tAmram maNim mOktikam eva ca // RKH _80.5 //
   bhūmidānaṃ tathā gāvo mocayanty aṃśumān naram /	BUmi dAnam taTA gAvaH mocayanti aMSumAn naram /
   tatra tīrthe tu yaḥ kaścit kurute prāṇasaṃkṣayam // RKS_80.6 //	tatra tIrTe tu yaH kaScid kurute prANa saMkzayam // RKH _80.6 //
   rudraloke vaset tāvad yāvad āhūtasaṃplavam /	rudra loke vaset tAvat yAvat AhUta saMplavam /
   tataḥ puṣkariṇīṃ gacchet kurukṣetrasamāṃ nṛpa // RKS_80.7 //	tatas puzkariNIm gacCet kurukzetra samAm nRpa // RKH _80.7 //
   pūrvaṃ puṣkariṇī nāma kurukṣetraṃ kalau smṛtam /	pUrvam puzkariNI nAma kurukzetram kalO smRtam /
   tatra snātvā yajed devaṃ tejorāśiṃ divākaram // RKS_80.8 //	tatra snAtvA yajet devam tejaH rASim divAkaram // RKH _80.8 //
   ṛcam ekāṃ japet saumyaḥ sāmavedaphalaṃ labhet /	Rcam ekAm japet sOmyaH sAmaveda Palam laBet /
   yajurvedasya japanaṃ ṛgvedasya tathaiva ca // RKS_80.9 //	yajurvedasya japanam Rgvedasya taTA eva ca // RKH _80.9 //
   tryakṣaraṃ vā japen mantraṃ dhyāyamāno divākaram /	tri akzaram vA japet mantram DyAyamAnaH divAkaram /
   ādityahṛdayaṃ japtvā mucyate sarvakilbiṣaiḥ // RKS_80.10 //	Aditya hRdayam japtvA mucyate sarva kilbizEH // RKH _80.10 //
