   ācāryakamalaśīlapraṇīto	AcArya kamala SIla praNItaH 
   "āryopāliparipṛcchādau ca  "saṃsāre vaimukhyaṃ bodhisattvānāṃ	"Arya upAli paripRcCA AdO ca "saMsAre vEmuKyam boDisattvAnAm
   paradauḥśīlyamiti varṇitam / saṃsāraparigrahaḥ tu paramaṃ śīlam /" uktam	para dOHSIlyam iti varNitam / saMsAra parigrahaH tu paramam SIlam /" uktam
   āryavimalakīrtinirdeśe ca  "upāyād bhavati saṃsāragamanaṃ bodhisattvānāṃ	Arya vimala kIrti nirdeSe ca "upAyAt Bavati saMsAra gamanam boDisattvAnAm
   mokṣaḥ / upāyarahitā ca prajñā bandhaḥ, prajñārahitaścopāyo bandhaḥ /	mokzaH / upAya rahitA ca prajQA banDaH, prajQA rahitaH ca upAyaH banDaH /
   prajñāsahita upāyo mokṣaḥ, upāyasahitā prajñā mokṣaḥ" iti varṇitam /	prajQA sahitaH upAyaH mokzaH, upAya sahitA prajQA mokzaH" iti varNitam /
   āryagaganagañje uktam  "saṃsāraparikhedo bodhisattvānāṃ mārakarma iti /"	Arya gagana gaQje uktam "saMsAra pariKedaH boDisattvAnAm mAra karma iti /"
   sūtrasamuccaye ca  "asaṃskṛtaṃ ca pratyavekṣate saṃskṛtaiśca kuśalaiḥ	sUtra samuccaye ca "a saMskRtam ca pratyavekzate saMskRtEH ca kuSalEH
   parikhidyata iti mārakarma iti / bodhimārga prajānāti pāramitāmārga ca na	pariKidyate iti mAra karma iti / boDimArga prajAnAti pAramitA mArga ca na
   paryeṣata iti mārakarmeti /" yat punaḥ tatraivoktam  "dānacittābhiniveśād	paryezate iti mAra karma iti /" yat punar tatra eva uktam "dAna citta aBiniveSAt 
   yāvat prajñācittābhiniveśāṃ mārakarmeti tatra na dānādināṃ sevāpratiṣedhaḥ	yAvat prajQA citta aBiniveSAm mAra karma iti tatra na dAna AdinAm sevA pratizeDaH
   kiṃ tvahaṃkāramamakāracittābhiniviṣṭasya grāhyagrāhakacittābhiniviṣṭasya	kim tu ahaMkAra mamakAra citta aBinivizwasya grAhya grAhaka citta aBinivizwasya
   caupalambhikasya yo viparītābhiniveśo dānādau tasya pratiṣedhaḥ /	ca OpalamBikasya yaH viparIta aBiniveSaH dAna AdO tasya pratizeDaH /
   viparītābhiniveśasamuttthāpitā hi dānādayo 'pariśuddhā bhavantīti kṛtvā	viparIta aBiniveSa samuttTApitAH hi dAna AdayaH apariSudDAH Bavanti iti kRtvA
   mārakarmetyuktam / anyathā dhyānam api na sevanīyaṃ syāt / tathā ca kathaṃ	mAra karma iti uktam / anyaTA DyAnam api na sevanIyam syAt / taTA ca kaTam
   muktiḥ bhavet?	muktiH Bavet ?
   (Bhk 239)	(Bhj 239)
   ata evaupalambhikasya sattvanānātvasaṃjñāyā yad dānādi tad apariśuddham	atas eva OpalamBikasya sattva nAnAtva saMjQAyAH yat dAna Adi tat apariSudDam
   iti pratipādanāya āryagaganagañje 'pi  "sattvanānātva	iti pratipAdanAya Arya gagana gaQje api "sattva nAnA tva
   [viparītakarma]saṃjñino dānādi mārakarmetyuktam" / yaccāpi	[viparIta karma] saMjQinaH dAna Adi mAra karma iti uktam" / yat ca api
   [tri]skandhapariṇāmanāyām uktam  "sarvam eva	[tri]skanDa pariNAmanAyAm uktam "sarvam eva
   dāna śīla kṣānti vīrya dhyāna prajñāsamatām ajānatopalambhayati, tena	dAna  SIla  kzAnti vIrya  DyAna  prajQA samatAm ajAnata upalamBayati, tena
   paryeṣṭitadānena parāmṛṣṭaśīlena śīlaṃ rakṣitam / ātmaparasaṃjñinā	paryezwita dAnena parAmRzwa SIlena SIlam rakzitam / Atma para saMjQinA
   kṣāntirbhāvitetyādi tat pratideśayāmīti /" tatrāpyaupalambhikasya	kzAntiH BAvitA ityAdi tat pratideSayAmi iti /" tatra api OpalamBikasya
   nānatvasaṃjñino viparītābhiniveśasamutthāpitā dānādayo 'pi śuddhā	nAnatva saMjQinaH viparIta aBiniveSa samutTApitA dAna AdayaH api SudDA
   bhavantīti etāvanmātraṃ pratipāditam / na tu sarvathā dānādīnāṃ	Bavanti iti etAvat mAtram pratipAditam / na tu sarvaTA dAna AdInAm
   sevanapratiṣedhaḥ / anyathā sarvasyaiva dānāderaviśeṣeṇa pratideśanā kṛtā	sevana pratizeDaH / anyaTA sarvasya eva dAna AdeH aviSezeNa pratideSanA kRtA
   syāt, nopalambhaviparyāsapatitasyaiva / yaccāpi brahmaparipṛcchāyām uktam 	syAt, na upalamBa viparyAsa patitasya eva / yat ca api brahma paripRcCAyAm uktam 
   "yāvatī caryā sarvā parikalpyā / niṣparikalpyā ca bodhirityādi /"	"yAvatI caryA sarvA parikalpyA / nizparikalpyA ca boDiH ityAdi /"
   tatrāpyutpādādivikalpacaryāyāḥ prakṛtatvāt tasyāḥ parikalpatvamuktam /	tatra api utpAda Adi vikalpa caryAyAH prakRta tvAt tasyAH parikalpa tvam uktam /
   animittavihāre cānabhisaṃskāravāhinaḥ sthitasya bodhisattvasya vyākaraṇaṃ	animitta vihAre ca anaBisaMskAra vAhinaH sTitasya boDisattvasya vyAkaraNam
   bhavati, nānyasyetyetāvanmātraṃ pratipāditam / sarveṣāṃ ca dānādīnāṃ	Bavati, na anyasya iti etAvat mAtram pratipAditam / sarvezAm ca dAna AdInAm
   paramārthato 'nutpannatvaṃ ca paridīpitam, na tu caryā na	paramArTataH anutpanna tvam ca paridIpitam, na tu caryA na
   kartavyetyabhihitam /	kartavyA iti aBihitam /
   anyathā hi dīpaṅkarāvadāne ye buddhā bhagavatā paryupāsitā yeṣāṃ tu	anyaTA hi dIpaFkara avadAne ye budDAH BagavatA paryupAsitAH yezAm tu
   kalpamapi bhagavatā bhāṣamāṇena na śakyaṃ nāmaparikīrtnaṃ kathaṃ teṣāṃ	kalpam api BagavatA BAzamANena na Sakyam nAma parikIrtnam kaTam tezAm
   bhagavatā bodhisattvāvasthāyāṃ caryāpratiṣedho na kṛtaḥ / dīpaṅkareṇāpi	BagavatA boDisattva avasTAyAm caryA pratizeDaH na kRtaH / dIpaFkareNa api
   tadānīṃ bhagavataścaryāpratiṣedho na kṛta eva / kiṃ tu yadā	tadAnIm BagavataH caryA pratizeDaH na kRtaH eva / kim tu yadA
   śāntānimittavihāre 'ṣṭamyāṃ bhūmau sthito 'sau dṛṣṭastadāsau vyākṛto	SAnta animitta vihAre azwamyAm BUmO sTitaH asO dRzwaH tadA asO vyAkRtaH 
   bhagavatā, tatra tasya caryā (Bhk 240) apratiṣiddhā / sā	BagavatA, tatra tasya caryA (Bhj 240) apratizidDA / sA
   cānimittavihāraparamatā bodhisattvānām aṣṭāmyāṃ bhūmau	ca animitta vihAra parama tA boDisattvAnAm azwAmyAm BUmO
   daśabhūmikairbuddhaiḥ pratiṣiddhā 'mā bhūd etad eva teṣāṃ parinirvāṇam'	daSa BUmikEH budDEH pratizidDA amA BUt etat eva tezAm parinirvANam a
   iti kṛtvā yadi tu sarvathā caryā na kartavyā bhavet pūrvoktaṃ sarva	iti kRtvA yadi tu sarvaTA caryA na kartavyA Bavet pUrva uktam sarva
   virudhyeta /	viruDyeta /
   yacca tatraiva brahmaparipṛcchāyām uktam  "dānaṃ ca dadāti	yat ca tatra eva brahma paripRcCAyAm uktam "dAnam ca dadAti
   taccāvipākābhikāṅkṣī, śīlaṃ ca rakṣati taccāsamāropitaḥ" ityādi /	tat ca avipAka aBikAFkzI, SIlam ca rakzati tat ca asamAropitaH" ityAdi /
   caturbhiḥ brahma! dharmaiḥ samanvāgatā bodhisattvā avaivarttikā bhavanti	caturBiH brahma! DarmEH samanvAgatAH boDisattvAH avEvarttikAH Bavanti
   buddhadharmeṣu / katamaiścaturbhiḥ aparimitasaṃsāraparigraheṇa	budDa Darmezu / katamEH caturBiH aparimita saMsAra parigraheNa
   aparimitabuddhopasthānapūjayetyādi sarvaṃ virudhyeta / nāpi	aparimita budDa upasTAn apUjaya ityAdi sarvam viruDyeta / na api
   mṛdvindriyeṇaiva caryā kartavyā na tu tīkṣṇendriyeṇeti yuktaṃ vaktum /	mRd u indriyeNa eva caryA kartavyA na tu tIkzNa indriyeNa iti yuktam vaktum /
   yataḥ prathamāṃ bhūmimupādāya yāvaddaśamībhūmipratiṣṭhitānāṃ	yatas praTamAm BUmim upAdAya yAvat daSamI BUmi pratizWitAnAm
   bodhisattvānāṃ dānādicaryā utpadyate, na ca pariśiṣṭāsu na samudācaratīti	boDisattvAnAm dAna Adi caryA utpadyate, na ca pariSizwAsu na samudAcarati iti
   vacanāt / nahi bhūmipraviṣṭā api mṛdvindriyāyuktāḥ /	vacanAt / na hi BUmi pravizwAH api mRd u indriya ayuktAH /
   āryopaliparipṛcchāyām  "anutpattikadharmakṣāntipratiṣṭhitenaiva	Arya upali paripRcCA AyAm "anutpattika Darma kzAnti pratizWitena eva
   tyāgamahātyāgātityāgāḥ kartavyāḥ" iti varṇitam / sūtrasamuccaye ca 	tyAga mahA tyAga ati tyAgAH kartavyAH" iti varNitam / sUtra samuccaye ca 
   "ṣaṭpāramitādipratipattimān bodhisattvastathāgatarddhigatikaḥ" iti	"zaz pAramitA Adi pratipattimAn boDisattvaH taTAgata RdDi gatikaH" iti
   varṇitam / na ca tathāgatarddhigateranyā śīghratarā gatirasti / nāpi	varNitam / na ca taTAgata RdDi gateH anyA SIGratarA gatiH asti / na api
   ṣaṭpāramitādaśabhūmivyatirekeṇānyo bodhisattvānāṃ mārgo 'sti yaḥ	zaz pAramitA daSa BUmi vyatirekeNa anyaH boDisattvAnAm mArgaH asti yaH
   śīghrataravāhīsyāt / krameṇaiva ca cittasaṃtateḥ kanakaśuddhivat	SIGratara vAhIsyAt / krameNa eva ca citta saMtateH kanaka SudDi vat 
   śuddhirbhavatīti sūtre varṇitam [āryalaṅkāvatāradaśabhūmikādau coktaṃ] 	SudDiH Bavati iti sUtre varNitam [Ari alaFkA avatAra daSa BUmikA AdO ca uktaM] 
   tathatāyāṃ yadā sthito bodhisattvo bhavati, tadā prathamāyāṃ bhūmau	taTatAyAm yadA sTitaH boDisattvaH Bavati, tadA praTamAyAm BUmO
   praviṣṭo bhavati / tataḥ krameṇaiva pūrvabhūmīḥ pariśodhya tathāgatabhūmiṃ	pravizwaH Bavati / tatas krameNa eva pUrva BUmIH pariSoDya taTAgata BUmim
   praviśatīti / ato nāsti bhūmipāramitāvyatirekeṇa [yugapat]	praviSati iti / atas na asti BUmi pAramitA vyatirekeNa [yugapad ]
   buddhatvapurapraveśe anyanmukhaṃ nāpi bhagavatā kvacit sūtrādau deśitam /	budDa tvapura praveSe anyat muKam na api BagavatA kvacid sUtra AdO deSitam /
   (Bhk 241)	(Bhj 241)
   dhyāna eva ṣaṭpāramitāntargamāt tatsevanād eva sarvapāramitāḥ sevitā	DyAnaH eva zaz pAramitA antargamAt tad sevanAt eva sarva pAramitAH sevitA
   bhavantyato na dānādayaḥ [anyapāramitāḥ] pṛthak sevitavyā iti cet tad	Bavanti atas na dAna AdayaH [anya pAramitAH] pRTak sevitavyAH iti ced tat 
   ayuktam / evaṃ hi buddhe gomayamaṇḍale 'pi ṣaṭpāramitāntargamān maṇḍalakam	ayuktam / evam hi budDe gomaya maNxale api zaz pAramitA antargamAt maNxalakam
   eva kartavyaṃ syānna dhyānādyāḥ / śrāvakasyāpi nirodhasamādhisamāpannasya	eva kartavyam syAt na DyAna AdyAH / SrAvakasya api niroDa samADi samApannasya
   nimittād eva asamudācārāt tadā ṣaṭpāramitāparipūriprasaṅgaḥ / tataśca na	nimittAt eva asamudAcArAt tadA zaz pAramitA paripUri prasaFgaH / tatas ca na
   śrāvakebhyo bodhisattvānāṃ bhedaḥ pratipādito bhavet / sarvāvasthāyām eva	SrAvakeByaH boDisattvAnAm BedaH pratipAditaH Bavet / sarva avasTAyAm eva
   tu bodhisattvena ṣaṭpāramitāḥ paripūrayitavyā iti saṃdarśanārthe	tu boDisattvena zaz pAramitAH paripUrayitavyAH iti saMdarSana arTe
   ekaikapāramitāntarbhāvaḥ sarvapāramitānāṃ bhagavatā sandarśitaḥ / na	ekEka pAramitA antarBAvaH sarva pAramitAnAm BagavatA san darSitaH / na
   punarekaiva pāramitā sevanīyeti / tathā coktaṃ sarvadharmavaipulye  "yo	punar ekA eva pAramitA sevanIyA iti / taTA ca uktam sarva Darma vEpulye "yaH 
   'pyayaṃ maitreya! ṣaṭpāramitāsamudāgamo bodhisattvānāṃ saṃbodhāya taṃ te	api ayam mEtreya! zaz pAramitA samudAgamaH boDisattvAnAm saMboDAya tam te
   mohapuruṣā evaṃ vakṣyanti, prajñāpāramitāyām evaṃ bodhisattvena	moha puruzAH evam vakzyanti, prajQApAramitAyAm evam boDisattvena
   śikṣitavyam, kiṃ śeṣābhiḥ pāramitābhiriti / te 'nyāḥ pāramitā dūṣayitavyā	Sikzitavyam, kim SezABiH pAramitABiH iti / te anyAH pAramitA dUzayitavyA
   maṃsyante / tat kiṃ manyase, ajita! duṣprajñaḥ sa kāśirājo 'bhūt, yena	maMsyante / tat kim manyase, ajita! duzprajQaH sa kASi rAjaH aBUt, yena
   kapotārthena śyenāya svamāṃsāni dattāni? maitreya āha  no hīdaṃ bhagavan!	kapota arTena SyenAya sva mAMsAni dattAni? mEtreyaH Aha no hi idam Bagavan !
   bhagavān āha  yāni mayā maitreya! bodhisattvacaryāṃ caratā	BagavAn Aha yAni mayA mEtreya! boDisattva caryAm caratA
   ṣaṭpāramitāpratisaṃyuktāni kuśalamūlānyupacitāni / apakṛtaṃ nu taiḥ	zaz pAramitA pratisaMyuktAni kuSala mUlAni upacitAni / apakRtam nu tEH
   kuśalamūlaiḥ? maitreya āha, no hīdaṃ bhagavan, bhagavān āha  tvaṃ tāvad	kuSala mUlEH? mEtreyaH Aha, no hi idam Bagavan, BagavAn Aha tvam tAvat 
   ajita! ṣaṣṭikalpān dānāpāramitāyāṃ samudāgataḥ / evaṃ yāvat ṣaṣṭikalpān	ajita! zazwi kalpAn dAna apAramitAyAm samudAgataH / evam yAvat zazwi kalpAn
   prajñāpāramitāyāṃ samudāgataḥ / tat te mohapuruṣā evaṃ vakṣyanti /	prajQApAramitAyAm samudAgataH / tat te moha puruzAH evam vakzyanti /
   ekanayenaiva bodhiryaduta śūnyatānayeneti te caryāpariśuddhā bhavanti"	ekanayena eva boDiH yat uta SUnyatA anayena iti te caryA pariSudDAH Bavanti"
   ityādi / kevalaṃ śūnyātām eva sevamānāḥ śrāvakavannirvāṇe patanti / ataḥ	ityAdi / kevalam SUnyAtAm eva sevamAnAH SrAvaka vat nirvANe patanti / atas 
   upāyasahitā prajñā sevanīyā /	upAya sahitA prajQA sevanIyAH /
   ata evācāryanāgārjunapādaiḥ sūtrasamuccaye 'bhihitam  "na	atas eva AcArya nAgArjuna pAdEH sUtra samuccaye aBihitam "na
   copāyakauśalarahitena bodhisattvena gambhīradharmatāyāmabhiyoktavyam" iti	ca upAya kOSala rahitena boDisattvena gamBIra Darma tAyAm aBiyoktavyam" iti
   / atra (Bhk 242) āryavimalakīrtinirdeśādijñāpakastairūpanyastaḥ, na	/ atra (Bhj 242) Arya vimala kIrti nirdeSa Adi jQApakaH tErUpa nyastaH, na
   cācāryanāgārjunapādīyaṃ vacanam / yuktayāgamopetaṃ tyaktvā bhagavadvacanaṃ	ca AcArya nAgArjuna pAdIyam vacanam / yuktayA Agama upetam tyaktvA Bagavat vacanam
   ca parityajya anyasya mūrkhajanasya vacanaṃ prekṣāvatā grahītum ayuktam /	ca parityajya anyasya mUrKa janasya vacanam prekzAvatA grahItum ayuktam /
   āryaratnakūṭe ca  "sakaladānādikuśalopetatayā sarvākāravaropetaśūnyatā	Arya ratna kUwe ca "sakala dAna Adi kuSala upeta tayA sarva AkAra vara upeta SUnyatA
   sevanīyetyuktaṃ na tu kevalā /" āryaratnakūṭe coktam  tadyathā	sevanIyA iti uktam na tu kevalAH /" Arya ratna kUwe ca uktam tat yaTA
   kāśyapāmātyasaṃgṛhītā rājānaḥ sarvakāryāṇi kurvanti evam eva	kASyapa amAtya saMgRhItAH rAjAnaH sarva kAryANi kurvanti evam eva
   upāyakauśalyasaṃgṛhītā bodhisattvasya prajñā sarvabuddhakāryāṇi karoti /	upAya kOSalya saMgRhItAH boDisattvasya prajQA sarva budDa kAryANi karoti /
   ata eva kevalāṃ śūnyatāṃ sevamānasya mā bhūnnirvāṇapraveśa iti / bhagavatā	atas eva kevalAm SUnyatAm sevamAnasya mA BUt nirvANa praveSaH iti / BagavatA
   āryatathāgataguhyasūtre" coktam  "naikāntanirālambanaṃ cittamātrasevanaṃ	Arya taTAgata guhya sUtre" ca uktam "na ekAnta nirAlambanam cittamAtra sevanam
   kartavyam api tu upāyakauśalyam api sevanīyam iti pradarśanārtham uktam 	kartavyam api tu upAya kOSalyam api sevanIyam iti pradarSana arTam uktam 
   tadyathāpi nāma, kulaputra! agnirupādānād jvalati / anupādānaḥ śāmyati /	tat yaTA api nAma, kula putra! agniH upAdAnAt jvalati / anupAdAnaH SAmyati /
   evam evārambaṇataścittaṃ jvalati, anārambaṇaṃ śāmyati / tatropāyakuśalo	evam eva ArambaNataH cittam jvalati, anArambaNam SAmyati / tatra upAya kuSalaH 
   bodhisattvaḥ prajñāpāramitāpariśuddhārambaṇopaśamam api jānāti /	boDisattvaH prajQApAramitA pariSudDa ArambaNa upaSamam api jAnAti /
   kuśalamūlārambaṇaṃ ca na śāmyati / kleśārambaṇaṃ ca notthāpayati /	kuSala mUla ArambaNam ca na SAmyati / kleSa ArambaNam ca na utTApayati /
   pāramitārambaṇaṃ cotthāpayati / śūnyatārambaṇaṃ ca pratyavekṣate	pAramitA ArambaNam ca utTApayati / SUnyatA ArambaNam ca pratyavekzate
   sarvasattvamahākaruṇārambaṇaṃ ca prekṣate iti hi kulaputra! upāyakuśalaḥ	sarva sattva mahA karuNa ArambaNam ca prekzate iti hi kula putra! upAya kuSalaH
   prajñāpāramitāpariśuddho bodhisattvo 'nārambane vaśitāṃ pratilabhate" iti	prajQApAramitA pariSudDaH boDisattvaH anArambane vaSitAm pratilaBate" iti
   vistaram uktvā punaśca vadatyevaṃ hi  "nāsti tat kiṃcid ārambaṇaṃ	vistaram uktvA punar ca vadati evam hi "nA asti tat kiMcid ArambaNam
   bodhisattvasya yat sarvajñajñānābhinirhārāya na saṃtiṣṭhate / yasya	boDisattvasya yat sarvajQa jQAna aBinirhArAya na saMtizWate / yasya
   bodhisattvasya sarvārambāṇāni bodhipariṇāmitāni, ayaṃ bodhisattva	boDisattvasya sarva ArambANAni boDi pariNAmitAni, ayam boDisattva
   upāyakuśala sarvadharmān bodhyanugatān paśyati / tadyathāpi nāma	upAya kuSala sarva DarmAn boDi anugatAn paSyati / tat yaTA api nAma
   kulaputra, nāsti tat trisāhasramahāsāhasre lokadhātau yat sattvānām	kula putra, na asti tat tri sAhasra mahA sAhasre lokaDAtO yat sattvAnAm
   upabhogāya na syāt / (Bhk 243) evam eva, kulaputra nāsti tat kiṃcid	upaBogAya na syAt / (Bhj 243) evam eva, kula putra na asti tat kiMcid 
   ārambaṇaṃ yad upāyakuśalo bodhisattvo bodhāya copakārībhūtaṃ na paśyati"	ArambaNam yat upAya kuSalaH boDisattvaH boDAya ca upakArIBUtam na paSyati"
   iti vistaraḥ / evam anantasūtrānteṣu bodhisattvānāṃ	iti vistaraH / evam ananta sUtra antezu boDisattvAnAm
   prajñopāyapratipattirnirdiṣṭā / tatra yadi nāma svayaṃ na śakyate	prajQA upAya pratipattiH nirdizwA / tatra yadi nAma svayam na Sakyate
   dānādidpuṇyasaṃbhāravīryam ārabdhuṃ tathāpi anyeṣām evam upadeśo dātuṃ na	dAna Adid puNya saMBAra vIryam ArabDum taTA api anyezAm evam upadeSaH dAtum na
   yuktaśceti svaparadrohaḥ kṛtaḥ syāt /	yuktaH ca iti sva para drohaH kRtaH syAt /
   tad evaṃ yuktyāgamābhyāṃ pratipāditaṃ yathā bodhisattvenāvaśyaṃ	tat evam yukti AgamAByAm pratipAditam yaTA boDisattvena avaSyam
   bhūtapratyavekṣā kartavyā sakaladānādipuṇyasambhāraścopārjayitavyaḥ /	BUta pratyavekzA kartavyA sakala dAna Adi puNya samBAraH ca upArjayitavyaH /
   tataḥ prekṣāvatālpaśrutānām ābhimānikānāṃ vacanaṃ viṣam	tatas prekzAvata alpa SrutAnAm ABimAnikAnAm vacanam vizam
   ivāvadhūyāryanāgārjunādividvajjanavacanāmṛtanugatena sakalasattveṣu	iva avaDUya Arya nAgArjuna Adi vidvat jana vacana amRtanu gatena sakala sattvezu
   mahakāruṇām upajanayya māyākāravad	mahakA aruNAm upajanayya mAyA kAra vat 
   aviparyastenānuttarasaṃbodhipariṇāmitasakaladānādikuśalacaryāyām	aviparyastena anuttara saMboDi pariNAmita sakala dAna Adi kuSala caryAyAm
   aśeṣajagaduddharaṇe cābhiyuktne abhāvitavyam / yathoktam	aSeza jagat udDaraNe ca aBiyuktne aBAvitavyam / yaTA uktam
   āryadharmasaṃgītau 	Arya Darma saMgItO 
   māyākāro yathā kaścin nirmitaṃ moktumudyataḥ /	mAyA kAraH yaTA kaScid nirmitam moktum udyataH /
   na cāsya nirmite saṅgo jñātapūrvo yato 'sya saḥ //	na ca asya nirmite saFgaH jQAta pUrvaH yatas asya saH //
   tribhavaṃ nirmitaprakhyaṃ jñātvā saṃbodhipāragaḥ /	tri Bavam nirmita praKyam jQAtvA saMboDi pAragaH /
   sannahyanti jagaddhetoḥ jñātapūrve jage tathā // iti tasyaivaṃ /	sannahyanti jagat hetoH jQAta pUrve jage taTA // iti tasya evam /
   prajñām upāyaṃ ca satataṃ satkṛtyābhyasyataḥ krameṇa [cittaṃ]	prajQAm upAyam ca satatam satkRtya aByasyataH krameNa [cittaM]
   saṃtatiparipākād uttarottaraviśuddhataratamakṣaṇodayād	saMtati paripAkAt uttarottara viSudDataratama kzaNa udayAt 
   bhūtārthabhāvanāprakarṣaparyantagamena sakalakalpanājālarahitaṃ	BUta arTa BAvanA prakarza paryanta gamena sakala kalpanA jAla rahitam
   sphuṭataraṃ dharmadhātvadhigamaṃ vimalaṃ	sPuwataram DarmaDAtu aDigamam vimalam
   niścalanivātadīpavallokottarajñānam utpadyate / tadā ca	niScala nivAta dIpavat loka uttara jQAnam utpadyate / tadA ca
   vastuparyantatālambanam pratilabdhaṃ bhavati / darśanamārgaṃ ca praviṣṭo	vastu paryanta tA Alambanam pratilabDam Bavati / darSana mArgam ca pravizwaH 
   bhavati / prathamā ca bhūmiḥ prāptā bhavati / tatastaduttarā bhūmīḥ	Bavati / praTamA ca BUmiH prAptA Bavati / tatas tad uttarA BUmIH
   pariśodhayan krameṇa kanakavad aśeṣāvaraṇāpagame sati asaktam apratihataṃ	pariSoDayan krameNa kanaka vat aSeza AvaraNa apagame sati asaktam apratihatam
   jñānaṃ pratilabhya buddhabhūmim aśeṣaguṇādhārāṃ prāpto bhavati /	jQAnam pratilaBya budDa BUmim aSeza guNa ADArAm prAptaH Bavati /
   kāryapariniṣpattiṃ cālambanaṃ pratilabhate / tasmād buddhatvādhigamārthinā	kArya parinizpattim ca Alambanam pratilaBate / tasmAt budDa tva aDigama arTinA
   madhyamapaddhatau tāvad abhiyogaḥ karaṇīya iti /	maDyama padDatO tAvat aBiyogaH karaNIyaH iti /
   (Bhk 244)	(Bhj 244)
   prakāśya yat prāpi mayā śubham asamapaddhitam /	prakASya yat prApi mayA SuBam asama padDitam /
   puṇyamastu janastena prāpto madhyamapaddhitam //	puNyam astu janaH tena prAptaH maDyama padDitam //
   dūrīkṛterṣyādimalā hi santo guṇairatṛptāḥ salilairivābdhiḥ /	dUrIkRta IrzyAdi malAH hi santaH guNEH atRptAH salilEH iva abDiH /
   vivecya gṛṇhanti subhāṣitāni haṃsāḥ payo yatpayasi prahṛṣṭāḥ //	vivecya gRNhanti su BAzitAni haMsAH payaH yat payasi prahRzwAH //
   pakṣapātākulaṃ tasmād dūrīkṛtaṃ mano budhaiḥ /	pakzapAta Akulam tasmAt dUrIkRtam manaH buDEH /
