   // tarkatāṇḍavam //	// tarka tANxavam //
   siddhānte sākṣipratyakṣatvādāha    tvanmata iti // antyo 'tiprasaṅgaduṣṭa	sidDAnte sAkzi pratyakza tvAt Aha   tvad mataH iti // antyaH ati prasaFga duzwa
   iti bhāvaḥ / nanu nātiprasaṅgaḥ / pratiyogino	iti BAvaH / nanu na ati prasaFgaH / pratiyoginaH 
   yogyatvasyātiprasaṅgabhañjakatvāditi bhāvenāśaṅkya nirāha // na ceti //	yogya tvasya atiprasaFga BaQjaka tvAt iti BAvena ASaFkya nirAha // na ca iti //
   tvadabhimatasyeti nāsti  ga. 2.rūpa ityadhikaṃ ga. 3.ca iti nāsti  ka rā.	tvad aBimatasya iti na asti  ga. 2. rUpaH iti aDikaM ga. 3.caH iti na asti  ka rA.
   nyāyadīpayutatarkatāṇḍavam ( pra.paricchedaḥ pu   382.	nyAya dIpa yuta tarka tANxavam ( pra.paricCedaH pu  382.
   na ca pratiyogivadvyāpyetarapratiyogyu 1	na ca pratiyogi vat vyApya itara pratiyogyu 1
   palambhakasāmagrīrūpayogyatāviśiṣṭānupalabdhistatsahakāriṇī / evaṃ ca	palamBaka sAmagrI rUpa yogya tA viSizwa anupalabDiH tad sahakAriNI / evam ca
   jātigrahe vyaktiyogyatāyā api kāraṇatvātparamāṇoścā 2 yogyatvānnoktadoṣaḥ	jAti grahe vyakti yogyatAyAH api kAraNa tvAt paramANoH cA 2 yogya tvAt na ukta dozaH
   yadvā anupalabdhirhipratyakṣasyābhāvagrahe sarakāriṇī / sā ca	yat vA anupalabDiH hi pratyakzasya aBAva grahe sarakAriNI / sA ca
   nānupalabdhimātram / ati prasaṅgāt / kintu yogyānupalabdhiḥ / sā ca yogye	na anupalabDi mAtram / ati prasaFgAt / kintu yogyA anupalabDiH / sA ca yogye
   'dhikaraṇe 'nupalabdhirūpā vā, yogyasya pratiyogino 'nupalabdhirūpā vā,	aDikaraNe anupalabDi rUpA vA, yogyasya pratiyoginaH anupalabDi rUpA vA,
   yogya 3 rūpānuvalabdhi 4 bhūtānupalabdhirūpā vā ?	yogya 3 rUpa anuvalabDi 4 BUta anupalabDi rUpA vA ?
   tatrānupalabdheryogyatvaṃ ca kiṃ pratiyogitadvyāpyetaretyādirūpaṃ vā,	tatra anupalabDeH yogya tvam ca kim pratiyogi tad vyApya itara iti Adi rUpam vA,
   pratiyogisatvavirodhitvarūpaṃ vā, pratiyogisatvā 5 pādanetyādirūpaṃ vā ?	pratiyogi satva viroDi tva rUpam vA, pratiyogi satvAH 5 pAdanA ityAdi rUpam vA ?
   pakṣapañcake 'pi na varṇābhāvasya pratyakṣatāsiddhiriti bhāvenādyaṃ nirāha	pakza paQcake api na varNa aBAvasya pratyakzatA sidDiH iti BAvena Adyam nirAha
   / yogya iti // dvitīyamāśaṅkyā nirāha // na ceti //	/ yogyaH iti // dvitIyam ASaFkyA nirAha // na ca iti //
   uktadoṣanirāsāya tṛtīyaṃ pakṣaṃ 6 kusumāñjalyuktamāśaṅkya 7 nirāha / na	ukta doza nirAsAya tRtIyam pakzam 6 kusumAQjali uktam ASaFkya 7 nirAha / na
   ceti // pratiyogi 8 ghaṭādi, 9 yacca	ca iti // pratiyogi 8 Gawa Adi, 9 yat ca
   ghaṭādivyāpyaṃ sannikarṣādi, tābhyāmittarā 10	Gawa Adi vyApyam sannikarza Adi, tAByAm ittarA 10
   ghaṭādilakṣaṇapratiyogyupalambhakasāmagrī saivānupalabdheryogyatā /	Gawa Adi lakzaNa pratiyogi upalamBaka sAmagrI sA eva anupalabDeH yogya tA /
   tadviśiṣṭānupalabdhirabhāvapratyakṣe sahakāriṇītyarthaḥ /	tad viSizwa anupalabDiH aBAva pratyakze sahakAriNI iti arTaH /
   ghaṭābhāvapratyakṣe tathādarśanāditi bhāvaḥ /	Gawa aBAva pratyakze taTA adarSanAt iti BAvaH /
   pratiyogisatvenupalabdherevābhāvaḥ / tavdyāpye satyapipratiyoginaḥ	pratiyogi satva inupalabDeH eva aBAvaH / tavdyApye satya pipratiyoginaH
   satvaniyamenānupalabdhirneti tābhyāmitaratvenopalabhyakasāmagrī viśeṣitā	satva niyamena anupalabDiH na iti tAByAm itara tvena upalaByaka sAmagrI viSezitA
   // noktadoṣa iti // upalambhakasāmagrīrūpayogyatābhāvena pārthivaparamāṇau	// na ukta dozaH iti // upalamBaka sAmagrI rUpa yogya tA BAvena pArTiva paramANO
   jalatvādyabhāvapratyakṣatāpattidoṣo netyarthaḥ /11 nanvevaṃ śābdābhāvopi	jala tva Adi aBAva pratyakza tApatti dozaH na iti arTaH /11 nanu evam SAbda aBAva upi
   na	na
   pratyakṣaḥ syāt jātigraha iva viśeṣaṇagrahepyāśrayayogyatvasya tantratvā .	pratyakzaH syAt jAti grahaH iva viSezaNa graha Ipi a ASraya yogya tvasya tantra tvA .
   . . . yogyānupalabdhyabhāvādityata āha // viśeṣaṇeti //	. . . yogyA anupalabDi aBAvAt iti atas Aha // viSezaNa iti //
   1.gyanupa rā. 2.ca iti nāsti cha. 3.bhūta mu a. 4.rūpa mu a. 5.saṃjana mu.	1.gyanupa rA. 2.caH iti nAsti Ca. 3.BUta mu a. 4. rUpa mu a. 5. saMjana  mu.
   6.'yadvā' ityādi etatparyanto granthaḥ nāsti  i. 7.'āśaṅkya'iti nāsti kuṃ.	6. ayat vA a ityAdi etat paryantaH granTaH na asti  i. 7. aASaFkya aiti nAsti kuM.
   8.gī mu. 9.diḥ  mu a. 10.nanvityādi nāsti  a i mu.	8.gI mu. 9.diH  mu a. 10.nanu ityAdi na asti  a i mu.
   varṇa tvasya pratva bhaṅgaḥ) varṇavādaḥ pu   383.	varNa tvasya  pratva BaFgaH) varNa vAdaH pu  383.
   viśeṣaṇagrahe tvāśrayayogyatā na hetuḥ / anyathāgandhādigraho na syāditi /	viSezaNa grahe tu ASraya yogya tA na hetuH / anyaTAganDa Adi grahaH na syAt iti /
   śabdābhāvagraha 1 uktarūpānupalabdhirastītyudayanoktaṃ yuktam / ekasya	Sabda aBAva grahaH 1 ukta rUpa anupalabDiH asti iti udayana uktam yuktam / ekasya
   saṃyogino 'pagame sati saṃyoga 2 dhvaṃsasyāpratyakṣatāpātāt / tatra	saMyoginaH apagame sati saMyogaH 2 DvaMsasya apratyakzata ApAtAt / tatra
   pratiyogibhūtātsaṃyogāttadvyāpyātsannikarṣāccātiriktasya	pratiyogi BUtAt saMyogAt tat vyApyAt sannikarzAt ca atiriktasya
   saṃyogopalambhakasyaikasya saṃyogino 'bhāvāt /	saMyoga upalamBakasya ekasya saMyoginaH aBAvAt /
   varṇopalambhakasyoccāraṇasyābhāvenopalambhakasāmagryā asatvācca //	varNa upalamBakasya uccAraNasya aBAvena upalamBaka sAmagryAH asatvAt ca //
   etena pratiyogisatvavirodhyanupalapalabdhirūpā 3	etena pratiyogi satva viroDi anupalapa labDi rUpAH 3
   yogyānupalabdhistatsahakāriṇī,	yogyA anupalabDiH tad sahakAriNI,
   śabdarūpa 4 rasagandhātiviśeṣaṇetyarthaḥ / tathā ca	Sabda rUpa 4 rasa ganDA ati viSezaNA iti arTaH / taTA ca
   gaganalakṣaṇādhikaraṇasyāyogyatvepyuktarūpayogyatāviśiṣṭaśabdānupalabdherbhāvena	gagana lakzaNa aDikaraNasya ayogya tvepyukta rUpa yogya tA viSizwa Sabda anupalabDeH BAvena
   śrotreṇa gagane śabdābhāvagraho yukta iti bhāvaḥ kutopratyakṣatvāpāta	SrotreNa gagane Sabda aBAva grahaH yuktaH iti BAvaH kuta upratyakzatva ApAta
   ityataḥ yāvadulambhakamelanarūpasāmagryabhāvāditi bhāvenāha // tatreti //	iti atas yAvat ulamBaka melana rUpa sAmagrya BAvAt iti BAvena Aha // tatra iti //
   ekasaṃyoginopagamasthala ityarthaḥ //	eka saMyoginA upagama sTalaH iti arTaH //
   nanu saṃyogābhāvānyābhāvapratyakṣe sahakāriṇīyamanupalabdhoryogyatetyata	nanu saMyoga aBAva anya aBAva pratyakze sahakAriNIyam anupalabDoH yogyatA ityata
   āha/varṇeti//	Aha/varNa iti//
   sannikarṣagranthānte maṇyuktadiśā śabdādyabhāvapratyakṣatvānukūlaṃ	sannikarza granTa ante maNI ukta diSA Sabda Adi aBAva pratyakza tva anukUlam
   caturthapakṣabhūtaṃ yogyatvamanūdya nirāha // eteneti //	caturTa pakza BUtam yogya tvam anUdya nirAha // etena iti //
   pratiyogisatvavirodhīti bahurvrīhiḥ / yasyā anupalabdheḥ pratiyogisatvaṃ	pratiyogi satva viroDi iti bahuH vrIhiH / yasyAH anupalabDeH pratiyogi satvam
   virodhi sānupalabdhiryogyānupalabdhiḥ / bhūtale	viroDi sa anupalabDiH yogya anupalabDiH / BU tale
   ghaṭādyanupacalabdhastādṛśī / paramāṇvādyanupalabdhistu naivam /	Gawa Adi anupacalabDaH tAdRSI / paramANu Adi anupalabDiH tu na evam /
   1.tu ityadhikaṃ  ka kha kuṃ rā. 2.pradhvaṃ  kha. 3.payo ca. 4.rūpapadaṃ na	1.tu iti aDikam  ka Ka  kuM rA. 2.praDvam  Ka. 3.payo ca. 4.rUpa padam na
    kuṃ a.	 kuM a.
   nyāyadīpayutatarkatāṇḍavam (pra.paricchedaḥ pu   384.	nyAya dIpa yuta tarka tANxavam (pra.paricCedaH pu  384.
   sā ca śabdābhāve saṃyogadhvaṃse cāsti, śabdādeḥ 1 satvenupalabdhyayogāt,	sA ca Sabda aBAve saMyoga DvaMse ca asti, Sabda AdeH 1 satvenu palabDi ayogAt,
   pārthivaparamāṇugate jalatvābhāve tu nāsti, vyakterayogyatvena	pArTiva paramANu gate jala tva aBAve tu nAsti, vyakteH ayogya tvena
   jalatvānupalabdhisambhavāditi maṇyuktaṃ nirastam / uktapratyabhijñayā	jala tva anupalabDi samBavAt iti maNi uktam nirastam / ukta pratyaBijQayA
   śabdasya satvepi vyañjakābhāvenānupalabhyasambhavāt //	Sabdasya satva ipi vyaQjaka aBAvena anupalaBya samBavAt //
   etenaivapratiyogisa 2 tvāsañjanaprayu 3	etena eva pratiyogi sa 2 tu AsaQjana prayu 3
   ktasañjanaviṣayabhūtopalabdherabhāvarūpā yogyānupalabdhistatsahakāriṇī /	kta saQjana vizaya BUta upalabDeH aBAva rUpA yogyA anupalabDiH tad sahakAriNI /
   ata eva 4 pakṣilabhāṣye yadisyāttarhyupalabhyeteti	atas eva 4 pakzila BAzye yadisyAt tarhi upalaByeta iti
   tarkapuraskāramevābhāvajñānaṃ vyatpāditam / na caivaṃ ghaṭe	tarka puraskAram eva aBAva jQAnam vyatpAditam / na ca evam Gawe
   manastvātyantābhāvo vāyau rūpavadanyonyābhāvaśca pratyakṣaḥ syāt ;	manaH tvA atyanta aBAvaH vAyO rUpavat anyonya aBAvaH ca pratyakzaH syAt ;
   tatsatvepyanupalabdhisambhavāditi bhāvaḥ // tatsahakāriṇīti //	tad satvepi anupalabDi samBavAt iti BAvaH // tad sahakAriNI iti //
   abhāvapratacyakṣasahakāriṇītyarthaḥ / asminpakṣe udayanapakṣoktaṃ 5	aBAva pratacyakza sahakAriNI iti arTaH / asmin pakze udayana pakza uktam 5
   doṣadvayaṃ neti vyanakti // na ceti // śabdāderityādipadena saṃyogagrahaḥ	doza dvayam na iti vyanakti // na ca iti // Sabda AdeH iti Adi padena saMyoga grahaH
   / pūrvoktadoṣaśca netyāha // pārthiveti // ukteti //	/ pUrva ukta dozaH ca na iti Aha // pArTiva iti // uktA iti //
   eka eva gakārosakṛduccārita iti prāguktapratyabhijñayetyarthaḥ //	ekaH eva gakArosakRt uccAritaH iti prAk ukta pratyaBijQayA iti arTaH //
   pañcamaṃ pakṣamanūdya nirāha    eteneti // pratiyogisatvāsañjaneti //	paQcamam pakzam anUdya nirAha   etena iti // pratiyogi satva AsaQjanA iti //
   āsañjanaṃ deśa viśeṣe vartamānatā / tatprayuktāsañjanaviṣayatvaṃ yasyā	AsaQjanam deSa viSeze vartamAna tA / tad prayuktA saQjana vizaya tvam yasyAH 
   upalabdheḥ tādṛśopalabdhyabhāvo yogyānupalabdhiḥ /	upalabDeH tAdRSa upalabDi aBAvaH yogyA anupalabDiH /
   pratiyogisatvāsañjanaprasañjitapratiyogitākatvamanupalabdheryogyatvamityarthaḥ	pratiyogi satva AsaQjana prasaQjita pratiyogi tAka tvam anupalabDeH yogya tvam iti arTaH
   tatsahakāriṇī abhāvapratyakṣasahakāriṇi    ukteti //	tad sahakAriNI aBAva pratyakza sahakAriNi   uktA iti //
   vyañjakābhāvenetyuktarītyetyarthaḥ /	vyaQjaka aBAvena iti ukta rItyA iti arTaH /
   1.dau cha. 2.tvanpra iti śodhitamasti   cha tvāpra kha. 3.yojyā  cha.	1.dO Ca. 2.tvan praH iti SoDitam asti  Ca tvA apra Ka. 3.yojyAH  Ca.
   yadi ghaṭe manastvaṃ syāttarhi yogyavyaktivṛttitvāt ghaṭatvamivopalabhyata	yadi Gawe manaH tvam syAt tarhi yogi avyakti vRtti tvAt Gawa tvam iva upalaByata
   ; yadi mahati vāyau rūpavattādātmyaṃ syāt tarhi pṛthivyāmivopalabhyetetyā	; yadi mahati vAyO rUpavat tAdAtmyam syAt tarhi pRTivyAm iva upalaByeta ityA
   2 sañjanasambhavāditi vācyam / uktayogyānupalabdheḥ satveneṣṭāpatteriti	2 saQjana samBavAt iti vAcyam / ukta yogyA anupalabDeH satvena izwApatteH iti
   nirastam / uktarītyā śabdasya satvepyanupalabhyasambhavena	nirastam / ukta rItyA Sabdasya satvepi anupalaBya samBavena
   śabdasatvāsañjanenopalabdhyāsañjanāsambhavāt / kathaṃ ca viparyaye	Sabda satva AsaQjanena upalabDyA saQjana asamBavAt / kaTam ca viparyaye
   paryavasānanahitetarke niyamena sāpekṣasyābhāvajñānasyānanumititvam /	paryavasa Anana hitetarke niyamena sa apekzasya aBAva jQAnasya ananumiti tvam /
   tasmātpararītyāpi na varṇadhvaṃsa aindriyakaḥ / parābhimatasya 3	tasmAt para rItyA api na varNa DvaMsa EndriyakaH / para aBimatasya 3
   sattayendriyasahakāriṇo 'nupalabhyasyābhāvāt //	sattayA indriya sahakAriNaH anupalaByasya aBAvAt //
   asminpakṣe 'numititvaṃ sphudamityāha    kathamiti // yadiha śabdaḥ	asmin pakze anumiti tvam sPudam iti Aha   kaTam iti // yat iha SabdaH
   syādupalabhyeta nopalabhyate ato nāsti śabda iti viparyaye	syAt upalaByeta na upalaByate atas na asti SabdaH iti viparyaye
   paryavasānasahite / tarka iti viṣayasaptamī / tādṛśatarkaviṣaye	paryavasAna sahite / tarkaH iti vizaya saptamI / tAdRSa tarka vizaye
   niyamenāpekṣāsahitasyetyarthaḥ / tvanmate tarkasyā 4	niyamena apekzA sahitasya iti arTaH / tvad mate tarkasyAH 4
   numānānugrahakamātratvenānumitireva tarkasāpekṣatvāditi bhāvaḥ   	numAna anugrahaka mAtra tvena anumitiH eva tarka sApekza tvAt iti BAvaH   
   parābhimatasyeti //	para aBimatasya iti //
   pratiyogisatvaprasañjitapratiyogikatvādirūpayogyatvasyetyarthaḥ /	pratiyogi satva prasaQjita pratiyogika tva Adi rUpa yogya tvasya iti arTaH /
   anupalabhyasyetyanvayaḥ   sattayeti // svarūpasattayā na tu jñāna 5	anupalaByasya iti anvayaH  sat tayA iti // sva rUpa sattayA na tu jQAnaH 5
   yetyarthaḥ / tathātvehyanumānarūpatayā	yA iti arTaH / taTA tvehi anumAna rUpa tayA
   pṛthaḍmānatvenendriyasahakāritvābhāvāditi bhāvaḥ //	pRTaxmAna tvena indriya sahakAritva aBAvAt iti BAvaH //
   1.tyevo  kha. 2.sarvatra 'pra' ityadhikamasti kha. 3.sattayeti	1.ti evaH  Ka. 2.sarvatra apra a iti aDikam asti Ka. 3.sattayA iti
   nāsti cha rā. 4.'niyamena' ityadhikaṃ  mu e. 5.tatayā mu.	nAsti Ca rA. 4. aniyamena a iti aDikam  mu e. 5.tatayA a mu.
   nyāyadīpayutatarkatāṇḍavam (pra.paricchedaḥ pu   386.	nyAya dIpa yuta tarka tANxavam (pra.paricCedaH pu  386.
   manmate tu nendriyasyānupalabdhiḥ sahakāriṇī / tathā hi / sahakāriṇyā	mad mate tu na indriyasya anupalabDiH sahakAriNI / taTA hi / sahakAriNyA
   anupalabdheḥ pratyakṣāpratyakṣasādhāraṇopalabdhisāmānyābhāvarūpatve śaṅke	anupalabDeH pratyakza apratyakza sADAraNa upalabDi sAmAnya aBAva rUpa tve SaFke
   śaṅkhatvena	SaFKa tvena
   liṅgena ścaitye 'numite śvato netyabhāvabhramānudayaprasaṅgaḥ //	liFgena ScEtye anumite Svatas na iti aBAva BramAn udaya prasaFgaH //
   na coktarūpānupalabdhirabhāvapramāheturiti vācyam / guñjāpuñje	na ca ukta rUpa anupalabDiH aBAva pramA hetuH iti vAcyam / guQjA puQje
   cakṣuṣāropitena vahnitvenoṣṇasparśānumitau satyāṃ	cakzuzA Aropitena vahni tvena uzNa sparSa anumitO satyAm
   tvacoṣṇasparśābhāvapramānudayaprasaṅgāt //	tvacA uzNa sparSa aBAva pramAnu daya prasaFgAt //
   nanu bhavanmate ghaṭābhāvādigrahe cakṣurāderyādṛśo 'nupalabhyaḥ sahakārī	nanu Bavat mate Gawa aBAva Adi grahe cakzuH AdeH yAdRSaH anupalaByaH sahakArI
   tādṛśa eva mamāpi śabdābhāvagrahe 'stvityata āha    manmate tviti //	tAdRSaH eva mama api Sabda aBAva grahe astu iti atas Aha   mad mate tu iti //
   cakṣurādīnā ghaṭāderiva tadabhāvasyāpi sākṣātsaṃyogasambandhenaiva	cakzuH AdInAH Gawa AdeH iva tad aBAvasya api sAkzAt saMyoga sambanDena eva
   grahaṇopapattau kimanupalabdhisahakāriṇeti bhāvena	grahaNa upapattO kim anupalabDi sahakAriNA iti BAvena
   sahakāritākhaṇḍanamārabhate    tathā hīti //	sahakArita AKaNxanam AraBate   taTA hi iti //
   anupalabdhirindriyasahakāriṇīti vadan 1 praṣṭavyaḥ anupalabdhipadena	anupalabDiH indriya sahakAriNI iti vadan 1 prazwavyaH anupalabDi padena
   pratyakṣādisādhāraṇapratiyogijñānasāmānyābhovo vā	pratyakza Adi sADAraNa pratiyogi jQAna sAmAnya aBovaH vA
   pratyakṣādisādhāraṇapratiyogipramābhāvo vā pratiyogipratyakṣābhāvo vā	pratyakza Adi sADAraNa pratiyogi pramABAvaH vA pratiyogi pratyakza aBAvaH vA
   abhāvagrāhakendriyakaraṇakapratiyogipratyakṣābhāvo (vā) vivakṣitaḥ /	aBAva grAhaka indriya karaNaka pratiyogi pratyakza aBAvaH (vA) vivakzitaH /
   ādyepi 2 phalībhātābhāvagrahapadenābhāvajñānamātratābhāvaprameti / ādya	Adyepi 2 PalIBAta aBAva graha padena aBAva jQAna mAtra tA BAva pramA iti / Adya
   āha    sahakāriṇyā iti // ādyasya dvitīyamāśaṅkya nirāha    na ceti //	Aha   sahakAriNyAH iti // Adyasya dvitIyam ASaFkya nirAha   na ca iti //
   vahnitvenetyanantaraṃ liṅgeneti śeṣaḥ //	vahni tvena iti anantaram liFgena iti SezaH //
   1. ' vādī ' ityadhikam   i. 2. apipadaṃ na   mu.	1. a vAdI a iti aDikam  i. 2. apipadam na  mu.
   varṇā tvasya pratva bhaṅgaḥ) varṇavādaḥ pu   387.	varNA tvasya  pratva BaFgaH) varNa vAdaH pu  387.
   na ca pramātvaviśeṣitoktapalabdhisāmānyābhāvo 'bhāvapramāheturiti vācyam /	na ca pramAtva viSezita ukta palabDi sAmAnya aBAvaH aBAva pramA hetuH iti vAcyam /
   śuktau rūpyabhrame satyapi rūpyapramābhāvasya satvena rūpyābhāvaprasaṅgāt	SuktO rUpya Brame sati api rUpya pramA BA= asya satvena rUpya aBAva prasaFgAt 
   na coktarūpānupalabdhiḥ pratyakṣarūpopalabdhiviśeṣābhāvarūpā, tato	na ca ukta rUpa anupalabDiH pratyakza rUpa upalabDi viSeza aBAva rUpA, tatas 
   noktadoṣa iti vācyam / tathāpi maṇḍūkavasāñjanadoṣeṇa vaṃśamuragatvena 1	na ukta dozaH iti vAcyam / taTA api maNxUka vasA aQjana dozeNa vaMSam uraga tvena 1
   cakṣuṣā paśyatastvacoraga 2 tvābhāvapramitiprasaṅgāt //	cakzuzA paSyataH tu acA uraga 2 tvA aBAva pramiti prasaFgAt //
   pratyakṣaśabdenābhāvagrāhakatvenā 3 bhipretendriya 4	pratyakza Sabdena aBAva grAhaka tvenAH 3 Bipreta indriyaH 4
   kāraṇakajñānavivakṣāyāmapi kapāle ghaṭo 5 stīti cākṣuṣasākṣātkārasya	kAraNaka jQAna vivakzAyAm api kapAle GawaH 5 sti iti cAkzuza sAkzAtkArasya
   vinaśyadavasthā'panne ghaṭe utpannatvādghaṭadhvaṃsānantaraṃ cakṣuṣā	vinaSyat avasTA apanne Gawe utpanna tvAt Gawa DvaMsA anantaram cakzuzA
   ghaṭadhvaṃsasākṣātkāro na syāt / dhvaṃsasākṣātkārotpatyapekṣayā pūrvakṣaṇa	Gawa DvaMsa sAkzAtkAraH na syAt / DvaMsa sAkzAtkAra utpati apekzayA pUrvakzaNa
   rūpe dhvaṃsotpattikṣaṇa uktarūpasya	rUpe DvaMsa utpatti kzaNaH ukta rUpasya
   ghaṭasākṣātkārasya sthityā tadabhāvarūpahetvabhāvāt //	Gawa sAkzAtkArasya sTityA tad aBAva rUpa hetu aBAvAt //
   tasmādbhāvasākṣātkāre 'bhāvānupalabdhirivābhāvasākṣātkāre 'pi 6 na	tasmAt BAva sAkzAtkAre aBAva anupalabDiH iva aBAva sAkzAtkAre api 6 na
   bhāvānupalabdhiḥ sahakāriṇī /	BAva anupalabDiH sahakAriNI /
   dvitīyamāśaṅkya nirāha    na ca pramātveti // tṛtīyamanūdyanirāha    na	dvitIyam ASaFkya nirAha   na ca pramAtvA iti // tRtIyam anUdya nirAha   na
   coktarūpeti // abhāvagrāhakendriyasahakārirūpetyarthaḥ / antyapakṣamanūdya	ca ukta rUpa iti // aBAva grAhaka indriya sahakAri rUpA iti arTaH / antya pakza m anUdya
   nirāha   pratyakṣeti // cākṣuṣasākṣātkārasyeti //	nirAha  pratyakzA iti // cAkzuza sAkzAtkArasya iti //
   vinaśyadavasthāpannaghaṭaviṣaye 7 jātasyeti bhāvaḥ //	vinaSyat avasTA Apanna Gawa vizaye 7 jAtasya iti BAvaH //
   1.cakṣuṣā iti nāsti   kha/ 2.gābhāva  ca cha. 3.bhimateṃ ca kha ka.	1.cakzuzA iti na asti  Ka/ 2.gA BAvaH  ca Ca. 3.BimateM ca Ka ka.
   4.karaṇaka kha ka rā. 5.nāstīti  cha ka. 6.'na' tyanantaramasti  ca mu.	4.karaNa ka Ka ka rA. 5.nA asti iti  Sa ka. 6. anaH a tyanantaram asti  ca  mu.
   7.dvārasyeti   a.	7.dvArasya iti  a.
   nyādīpayutatarkatāṇḍavam varṇavādaḥ pu   388.	nyAdIpa yuta tarka tANxavam varNa vAdaH pu  388.
   kiṃ tvavarjanāyasannidhiḥ / taduktaṃ paddhatau	kim tu avarjanAya sanniDiH / tat uktam padDatO
   anupalabdhistvavarjanīyasannidhireveti / abhāvapratyakṣatāyāṃ tva 1	anupalabDiH tu avarjanIya sanniDiH eva iti / aBAva pratyakza tAyAm tvaH 1
   dhikaraṇayogyatā tantram / anyathā paramāṇau	DikaraNa yogya tA tantram / anyaTA paramANO
   jalatvābhāvagrahaprasabhaṅgasyāparihārtha 2 syāt / itaranirūpyeṣu	jala tva aBAva graha prasaBaFgasya aparihA arTa 2 syAt / itara nirUpyezu
   jñānecchādīrghatvaparatvapṛthaktvādiṣu kḷptatvācca / anyonyābhāvagrahe	jQAna icCA dIrGa tva paratva pRTaktva Adizu k?pta tvAt ca / anyonya aBAva grahe
   tvāyāpi svīkṛtatvācca / na tu	tvAya api svIkRta tvAt ca / na tu
   tvaduktānekaviśeṣaṇaviśiṣṭānupalabdhistantram / akḷptatvāt /	tvad ukta aneka viSezaNa viSizwa anupalabDiH tantram / ak?pta tvAt /
   viśeṣaṇaprayojanasyātiprasaṅganirāsasya dīrghatvādau	viSezaNa prayojanasya atiprasaFga nirAsasya dIrGa tva AdO
   kḷptādhikaraṇayogyatayaiva siddheśca //	k?pta aDikaraNa yogya tayA eva sidDeH ca //
   nanvabhāvapratyakṣatvaprayojakādhikaraṇayogyatā kimindriyagrāhyatvamātraṃ	nanu aBAva pratyakza tva prayojaka aDikaraNa yogya tA kim indriya grAhya tva mAtram
   kiṃ vā pratiyogigrāhakendriyagrāhyatvaṃ yadvābhāvagrahakendriyagrāhyatvam	kim vA pratiyogi grAhaka indriya grAhya tvam yat vA aBAva grahaka indriya grAhya tvam
   tarhyabhāvapratyakṣe kiṃ tantramityataḥ"tatpratyakṣatāyāṃ dharmiṇa eva	tarhi aBAva pratyakze kim tantram iti atas " tad pratyakza tAyAm DarmiNaH eva
   pratyakṣatopayujyate"iti pṛthagadhikaraṇīyasudhāvākyaṃ hṛdikṛtvā'ha //	pratyakzata upayujyate"iti pRTak aDikaraNIya suDA vAkyam hRdikRtvA aha //
   abhāveti // itareti // sambandhikapadārtheṣvityarthaḥ    aneketi //	aBAva iti // itarA iti // sambanDika padArTezu iti arTaH   anekA iti //
   pratiyogisatvāsañjanaprasañjitapratiyogi	pratiyogi satva AsaQjana prasaQjita pratiyogi
   3katvādirūpānekaviśeṣaṇāviśiṣṭetyarthaḥ//	3ka tva Adi rUpa aneka viSezaNA viSizwa iti arTaH//
   nanvanupalabdhimātrasya grāhakatve pārthivaparamāṇvādau jalatvādyabhāvaḥ	nanu anupalabDi mAtrasya grAhaka tve pArTiva paramANu AdO jala tva Adi aBAvaH
   pratyakṣaḥ syādityatiprasaṅga ityata āha    viśeṣaṇeti // dīrghatveti	pratyakzaH syAt iti atiprasaFgaH iti atas Aha   viSezaNA iti // dIrGa tva iti
