   udayananirākaraṇam	udayana-nirAkaraNam
   bhrānternaniścala iti sādhanaṃ saṃ pravartate ||	BrAnteH-naniScalaH iti sADanam sam pravartate ||
   vastu grahe 'numānācca dharmasyaikasya niścaye |	vastu grahe anumAnAt-ca Darmasya-ekasya niScaye |
   sarvadharmagraho 'pohe nāyaṃ doṣaḥ pra [10] vartate |	sarva-Darma-grahaH apohe na-ayam dozaH pra [10] vartate |
   tasmādapohaviṣayaṃ iti liṅgaṃ prakīrtitam |	tasmAt-apoha-vizayam iti liFgam prakIrtitam |
   anyathā dharmiṇaḥ siddhau kimataḥ sādhakaṃ param ||	anyaTA DarmiNaH sidDO kim-atas sADakam param ||
   kvaciddṛṣṭepiyajjñānaṃ sāmānyārthavikalpakam |	kvacid-dRzwepiyat-jQAnam sAmAnya-arTa-vikalpakam |
   asamāropitānyaṃśe tanmātrāpohagocaram ||	asamAropitAni-aMSe tanmAtra-apoha-gocaram ||
   niścitāropamanaso 'rtho bādhyabādhakabhāvataḥ |	niScitAra-upamanasaH arTaH bADya-bADaka-BAvataH |
   samāropaviveke 'sya pravṛttiriti gamyate ||	samAropa-viveke asya pravRttiH-iti gamyate ||
   yāvantoṃśa samāropastannirāse viniścayāḥ |	yAvantoMSa samAropaH-tad-nirAse viniScayAH |
   tāvanta eva śabdāśca tena te bhinnagocarāḥ ||	tAvantaH eva SabdAH-ca tena te Binna-gocarAH ||
   anyathaikena śabdena vyāpta ekatra vastuni |	anyaTA-ekena Sabdena vyAptaH ekatra vastuni |
   buddhayā nānyaviṣaya iti paryāyatā bhavet ||	budDayA na-anya-vizayaH iti paryAyatA Bavet ||
   iti svamatamupadarśya viṣayama [3] paramohahataye proktam |	iti sva-matam-upadarSya vizayamaH [3] para-moha-hataye proktam |
   yasyāpi nānopādherdhī grāhikāryasya bhedina- |	yasya-api nAnA-upADerDI grAhi-kAryasya Bedina |
   nānopādhyūpakārāṅgaṃ śaktyabhinnātmano grahe ||	nAnA-upADi-UpakAra-aFgam Sakti-aBinna-AtmanaH grahe ||
   sarvātmanohakāryasya ko bhedaḥ syādaniścitam |	sarva-AtmanA-Uha-kAryasya kaH BedaH syAt-aniScitam |
   tayorātmani sambandhādeka jñāpe dvayagrahaḥ ||	tayoH-Atmani sambanDAt-eka jQApe dvaya-grahaH ||
   atmabhūtasyopādhestadvatorūpakāryopakārakabhāvasya grahaṇāt | ekajñāne	atma-BUtasya-upADeH-tad-vataH-rUpa-kArya-upakAraka-BAvasya grahaNAt | eka-jQAne
   dvayorapi grahaṇamiti ekopādhiviśiṣṭepi [4] tasmin gṛhyamāṇe sarvopādhīnāṃ	dvayoH-api grahaNam-iti eka-upADi-viSizwepi [4] tasmin gRhyamANe sarva-upADInAm
   grahaṇaṃ tadgrahaṇanāntarīyakatvādupādhikṛdgrahaṇasya | anyathā tathā na	grahaNam tad-grahaNana-AntarIyaka-tvAt-upADi-kRt-grahaNasya | anyaTA taTA na
   gṛhyeta | na hyanyaevānyopakārako yo na gṛhī [6] taḥ syāt | na	gRhyeta | na hi-anyaeva-anya-upakArakaH yaH na gRhI [6] tas syAt | na
   cāpyapakārake tathāgṛhīte tadupakāryāgrahaṇaṃ tasyāpyagrahaṇaprasaṅgāt |	ca-api-apakArake taTA-agRhIte tad-upakArya-agrahaNam tasya-api-agrahaNa-prasaFgAt |
   tasmādarthāntaropādhivāde 'pi samānaḥ prasaṅgaḥ |	tasmAt-arTa-antara-upADi-vAde api samAnaH prasaFgaH |
   dharmopakāraśaktīnāṃ bhede tāstasya kiṃ yadi |	Darma-upakAra-SaktInAm Bede tAH-tasya kim yadi |
   nopakārastataḥ tāsāṃ tathā syādanavasthatiḥ ||	na-upakAraH-tatas tAsAm taTA syAt-anavasTatiH ||
   ekopakārake grāhye nopakārāstato 'pare |	eka-upakArake grAhye na-upakArAH-tatas apare |
   dṛṣṭe tasminnadṛṣṭā ye tadgrahe sakalagrahaḥ ||	dRzwe tasmin=-adRzwAH ye tad-grahe sakala-grahaH ||
   ityanena pāramārthikapāratantrya lakṣaṇopādhisambandhayonyasvabhāvāṅgīkāre	iti-anena pAramArTika-pAratantrya lakzaNa-upADi-sambanDa-yoni-asvaBAva-aFgIkAre
   sakalagahaḥ ekenāpi pramāṇena śabdena vā pravṛttena syāt | yadā tu	sakala-gahaH ekena-api pramANena Sabdena vA pravRttena syAt | yadA tu
   bhāve bhāvini tadbhāvo bhāva eva ca bhāvitā |	BAve BAvini tad-BAvaH BAvaH eva ca BAvitA |
   prasiddhe hetuphalate pratyakṣānupalambhataḥ ||	prasidDe hetu-Palate pratyakza-anupalamBataH ||
   etāvanmātratatvārthāḥ kāryakāraṇagocarāḥ |	etAvat-mAtra-tatva-arTAH kArya-kAraNa-gocarAH |
   vikalpā darśayantyarthān mithyārthā ghaṭitāniva ||	vikalpAH darSayanti-arTAn miTyA-arTAH GawitAn-iva ||
   bhinne kā ghaṭanābhinne kāryakāraṇatāpi vā |	Binne kA GawanA-Binne kArya-kAraNa-tA-api vA |
   bhāve hyayanyasya viśliṣṭau śliṣṭau syātāṃ kathaṃ na tau ||	BAve hi-ayan-yasya viSlizwO SlizwO syAtAm kaTam na tO ||
   saṃyogi samavādyādi sarvametena cintitam |	saMyogi samavAdya-Adi sarvam-etena cintitam |
   anyo 'nyānupakārācva na sambandhī ca tādṛśaḥ ||	anyaH anyAn-upakArAt-va na sambanDI ca tAdRSaH ||
   iti kalpitopakāryāpakārakabhā [2]ve sambandhenāyaṃ prasaṅgaḥ, kena hi	iti kalpita-upakArya-apakAraka-BAH [2]ve sambanDena-ayam prasaFgaH, kena hi
   kāryāṃpekṣya paścāt kāryakāraṇabhāvabhājaṃ bhāvamakalpamapi	kArya-aMpekzya paScAt kArya-kAraNa-BAva-BAjam BAvam-akalpam-api
   pratyakṣamīkṣate yenāyaṃ prasaṅgaḥ syāt | ata evoktam apohenāyaṃ doṣaḥ	pratyakzam-Ikzate yena-ayam prasaFgaH syAt | atas eva-uktam apohena-ayam dozaH
   prasaṅgataiti | sūryavadevā (sūryādervā) viśvopakārisvabhāve grahe	prasaFga-tA-eti | sUryavadevAH (sUryAdeH-vA) viSva-upakAri-svaBAve grahe
   viśvagrahaḥ [3] syāt | ata evāha-	viSva-grahaH [3] syAt | atas eva-Aha-
   'yadi bhrāntinivṛnttyarthaṃ gṛhīte 'nyadiṣyate'	ayadi BrAnti-nivRntti-arTam gRhIte anyat-izyate-a
   syādetannirbhāgasya vastuno brahe ko 'nyastadā na gṛhīto nāma sa tu	syAt-etat-nirBAgasya vastunaH brahe kaH anyaH-tadA na gRhItaH nAma sa tu
   bhrāntyā nāvadhāryate iti pramāṇāntaraṃ yadyevaṃ-tadvyavacchedaviṣayaṃ	BrAntyA na-avaDAryate iti pramANa-antaram yadi-evan-tad-vyavacCeda-vizayam
   siddhaṃ tadvattato 'param |	sidDam tadvat-tatas aparam |
   tadvayaccheda viṣayaṃ siddhaṃ tadvattato 'panparam |	tat-vayat-Ceda vizayam sidDam tadvat-tatas apan-param |
   asamāropaviṣaye vṛtterapi ca niścayaiḥ |	asamAropa-vizaye vRtteH-api ca niScayEH |
   yanna niścīyate rūpaṃ tatteṣāṃ viṣayaḥ katham ||	yat-na niScIyate rUpam tat-tezAm vizayaH kaTam ||
   yattarhi bhrāntinivṛttyarthaṃ pravṛttaṃ pramāṇāṃanyasya	yat-tarhi BrAnti-nivRtti-arTam pravRttam pramANAManyasya
   samāropavyavacchedaphalamiti siddhamanyāpohaviṣayaṃ tadvadanyadapi asa [5]	samAropa-vyavacCeda-Palam-iti sidDam-anya-apoha-vizayam tadvat-anyat-api asa [5]
   māroparviṣaye vṛtteḥ yatrāsya samāropo na tatra niścaya iti samāropābhāve	mArA-uparvizaye vRtteH yatra-asya samAropaH na tatra niScayaH iti samAropa-aBAve
   rktamāno 'nyāpohaviṣayaḥ siddhaḥ, pratyakṣantu pratiṣṭhitapratibhāsavaśāt	rktamAnaH anya-apoha-vizayaH sidDaH, pratyakzantu pratizWita-pratiBAsa-vaSAt-
   gṛhṇīta pāratantryādi svabhāvabhraṣṭhaḥ [6] akaṣṭena	gRhNIta pAratantrI-a-Adi svaBAva-BrazWaH [6] akazwena
   apakarṣitaprakṛtāvadyasaṃdohamadehamevaṃ samarthayate |	apakarzita-prakRta-avadyasaMdoham-adeham-evam samarTayate |
   pratyakṣaṇa gṛhīte 'pi viśeṣeṃśavarjite |	pratyakzaNa gRhIte api viSeza-IMSa-varjite |
   yadviśeṣāvasāye 'sti pratyayaḥ sa pratīyate ||	yad-viSeza-avasAye asti pratyayaH sa pratIyate ||
   iti vikalpapratyayahetuścāyaṃ abhyāsa pā[7]ṭavā santi tāratamyādiḥ | yathā	iti vikalpa-pratyaya-hetuH-ca-ayam aByAsa pA[7]wavA santi tAratamya-AdiH | yaTA
   parivrāṭkāmukaśunāmekasyāṃ pramadā tanau |	parivrAwkAmuka-SunAm-ekasyAm pramadA tanO |
   kuṇapaḥ kāminī bhañjamiti tisro vikalpanā ||	kuNapaH kAminI BaQjam-iti tisraH vikalpanA ||
   ityādi vartikakāradarśite prasaṅge yannipuṇamasṛṇamanīṣayā dharmmā [8] na	ityAdi vartikakAra-darSite prasaFge yat-nipuNa-masRNa-manIzayA DarmmA [8] na
   na sarpavadapaviṣavisarpaṃ sphāraphūtkāraprāyaṃ pralapitamamunā	na sarpa-vat-apaviza-visarpam sPAra-PUtkAra-prAyam pralapitam-amunA
   lekhitumapi (likhitumapi) urjjāmahe |	leKitum-api (liKitum-api) urjjAmahe |
   maheśvarapraṇatalabthavarṇavarṇitatvena na prahasanāya prastūyate |	maheSvara-praNata-labTa-varNa-varNita-tvena na prahasanAya prastUyate |
   upādhyantaraṃ cedanekāntaḥ | na hi yo yasya [9] upādhyantaraṃ nopadarśayet	upADi-antaram ced-anekAntaH | na hi yaH yasya [9] upADi-antaram na-upadarSayet
   nāsau tadapīti niyamaḥ | nanu niyama eva, tathāhi yanna	na-asO tat-api-iti niyamaH | nanu niyamaH eva, taTA-hi yat-na
   yatsamevatadharmabodhanaṃ na tat tatsvarūpabodhanaṃ yathā	yat-samevata-Darma-boDanam na tat tad-svarUpa-boDanam yaTA
   govikalpaśabdauturage | tathā ca tau gavyapi nīlatvā[10]pekṣayeti	go-vikalpa-SabdOturage | taTA ca tO gavi-api nIlatva-a[10]pekzayA-iti
   vyāpakānupalabdhi dharmibodhe 'pi ki dharmāṇāṃ kasyacidbodhaḥ	vyApaka-anupalabDi Darmi-boDe api ki DarmANAm kasyacid-boDaH
   kasyacidabodhaścetyupakārabhedānniyamaḥ syāt | upakārabhedaśca śaktibhedāt	kasyacid-aboDaH-ca-iti-upakAra-BedAt-niyamaH syAt | upakAra-BedaH-ca Sakti-BedAt-
   bhavet | na caiva prakṛte anavasthāprasaṅgāt | tataḥ śakternabhedāt |	Bavet | na ca-eva prakRte anavasTA-prasaFgAt | tatas SakteH-na-BedAt |
   upakārābhede sarvopādhisahitabodhi'bodhoveti dvayī gatiriti pratibandhasi	upakAra-aBede sarva-upADi-sahita-boDi-aboDa-uvA-iti dvayI gatiH-iti pratibanDasi
   ddhiḥ |	dDiH |
   duṣprayuktametat, upādhiṃ prakalpya mede pratiniyatasāmagrīvodhyatvasyāpi	duzprayuktam-etat, upADim prakalpya mede pratiniyata-sAmagrI-voDya-tvasya-api
   svabhāvavaicitryanibandhanatvāt, tasyāpi svakāraṇādhīnatvāt,	svaBAva-vEcitrya-nibanDana-tvAt, tasya-api sva-kAraNa-aDIna-tvAt,
   tasyāpyanvayavyatirekasiddhatvāt tasyāpi kāryonneyatvāt iti |	tasya-api-anvaya-vyatireka-sidDa-tvAt tasya-api kArya-unneya-tvAt iti |
   yattu śakterabhedādityādi, tattadā śobheta yadi	yat-tu SakteH-aBedAt-ityAdi, tat-tadA SoBeta yadi
   dharmimātrādhīnastadbodhamātrādhīno vā, tāvanmātrabodhasāmagrayadhīno vā	Darmi-mAtra-aDInaH-tad-boDa-mAtra-aDInaH vA, tAvat-mAtra-boDa-sAmagraya-DInaH vA
   yāvadupādhibhedabodhaḥ syāt, na caivam |	yAvat-upADi-Beda-boDaH syAt, na ca-evam |
   yayā [4] kayāpi sāmagryā jñānamutpadyatāṃ tat kiṃ	yayA [4] kayA-api sAmagryA jQAnam-utpadyatAm tat kim
   pāramārthikasvarūpadvayaniṣṭhopakāryopakārakabhāvabhāgidravyaṃ dṛṣṭamiṣṭaṃ	pAramArTika-svarUpa-dvaya-nizWa-upakArya-upakAraka-BAva-BAgi-dravyam dRzwam-izwam
   na vā, tena jñānenayadi dṛṣṭaṃ, sarvātmanā upādhibhiḥ sārdham |	na vA, tena jQAnenayadi dRzwaM, sarva-AtmanA upADiBiH sArDam |
   yadyaṃśenāpoha vi [5] ṣayatvasya	yadi-aMSena-apoha vi [5] zayatvasya
   svīkṛtamapāramārthikopādhyapakārayogyasvabhāvatvasya	svIkRtam-apArama-arTika-upADyapakAra-yogya-svaBAva-tvasya
   bhāvasyātadvyāvṛttiniṣṭhasya tena nirūpaṇāt nipuṇaṃ nirūpaya tāvat |	BAvasya-Atad-vyAvRtti-nizWasya tena nirUpaNAt nipuNam nirUpaya tAvat |
   grāhakajñānāpekṣayā prasaṅge datte ke [6] śe spṛṣṭa śiraśca nayasi	grAhaka-jQAna-apekzayA prasaFge datte ke [6] Se spRzwa SiraH-ca nayasi
   sāmagryā vaicitryāditi tataḥ ki jñānameva sakalopādhi	sAmagryA vEcitryAt-iti tatas ki jQAnam-eva sakala-upADi
   upakārayogyavastusvarūpamanyonyāpekṣaṃ na lakṣayasi | vastusvarūpameva	upakAra-yogya-vastu-svarUpam-anyonya-apekzam na lakzayasi | vastu-svarUpam-eva
   cānyathākṛta (7) svabhāva eṣa jñānasya kṛtastena	ca-anyaTA-kRtaH (7) svaBAvaH eza jQAnasya kRtaH-tena
   tatpadārthamekopādhiviśiṣṭaṃ niṣṭaṃkayati | paryantavikalpaviśvāse	tad-padArTam-ekopADi-viSizwam nizwaMkayati | paryanta-vikalpa-viSvAse
   dantaniṣṭhoṣikāyāḥ kimetadanyat | anyavikalpālambane tu vyaktameva	danta-nizWozikAyAH kim-etat-anyat | anya-vikalpa-Alambane tu vyaktam-eva
   prakṛtadoiṣānatikra-(8)-maḥ kārakahetuprasaktiśceti yatpunarūpahāsya evaṃ	prakRta-doiza-anatikra-(8)-maH kAraka-hetu-prasaktiH-ca-iti yat-punarUpa-hAsyaH evam
   upahasati |	upahasati |
   etena bhedāddharmiṇaḥ pratītāvapi śabdaliṅgadvārā dharmāṇāṃ	etena BedAt-DarmiNaH pratItO=-api Sabda-liFga-dvArAH DarmANAm
   bhedapratītirindriya dvārāpi mā bhūta ityādikaṃ tu karṇasparśeṃ	Beda-pratItiH-indriya dvArA-api mA BUtaH iti-Adikam tu karNa-sparSem
   kaṭicālanamapāstam | tattadupādhyupalambhasāmagrīvirahakāle	kawi-cAlanam-apAstam | tad-tad-upADi-upalamBa-sAmagrI-viraha-kAle
   prasañjitasyeṣṭatvāt | vicitraśaktitvācca pramāṇānāṃ, liṅgasya	prasaQjitasya-izwa-tvAt | vicitra-Sakti-tvAt-ca pramANAnAM, liFgasya
   prasiddhapratibandhapratisandhānaśaktikatvāt, śabdasya	prasidDa-pratibanDa-pratisanDAna-Saktika-tva-at, Sabdasya
   samayasīmavikramatvāt, indriyasya tu arthaśaktera pekṣaṇāt na tu sambaddho	samaya-sIm-avikrama-tva-at, indriyasya tu arTa-Saktera pekzaNAt na tu sambadDaH-
   'rtha ityevaṃ pramāṇaiḥ pramāpyate, atiprasaṅgāditi-tadapi samyak	arTaH iti-evam pramANEH pramApyate, atiprasaFgAt-iti-tat-api samyak-
   pūrvavicārānatikramāt, api ca tadasyaparihāreṇa pravartateti ca dhvaneḥ	pUrva-vicAra-anatikramAt, api ca tat-asya-parihAreNa pravartata-iti ca DvaneH
   ucyate | tena te syāt vyavacchede kathaṃ ca sat śabdastathāyuktaṃ anyacca	ucyate | tena te syAt vyavacCede kaTam ca sat SabdaH-taTA-yuktam anyat-ca
   niṣparihāreṇa pravartate 'tiprasaṅge, tatrānyatra ca pravṛttyanujñāyāṃ	nizparihAreNa pravartate ati-prasaFge, tatra-anyatra ca pravRtti-anujQAyAm
   tannāmagrahaṇavaiyarthyaṃ sat pravṛttinivṛtyanujñāyāñca ekacodanā, nā (2)	tad-nAma-grahaNa-vEyarTyam sat pravRtti-nivRti-anujQAyAQca eka-codanA, nA (2)
   nātva etadvacanameva syāt vyāvṛtyākhyāne tasmādavaśyaṃ śabdena	na-AtvaH etat-vacanam-eva syAt vyAvRtya-AKyAne tasmAt-avaSyam Sabdena
   vyavacchedaścodanīyaḥ | sa cābhinnastadanye vyaktijātidharmāpyasti	vyavacCedaH-codanIyaH | sa ca-aBinnaH-tad-anye vyakti-jAti-DarmA-api-asti
   tanniyatāsūpagamaṃ, niyatacodanaṃ jātyarthaprasādhanañca, paritya (3) jya	tad-niyata-Asu-upagaman, niyata-codanam jAti-arTa-prasADa-naQca, paritya (3) jya
   avāntaraparikalpanaṃ anarthanirbandha eva yathākalpanamasyāyogāt | na vai	avAntara-parikalpanam anarTa-nirbanDaH eva yaTA-kalpanamasya-ayogAt | na vE
   vyavacchedo na kriyate, pravṛttiviṣayantu kathayanti jātirūpā, vyavacchedo	vyavacCedaH na kriyate, pravRtti-vizayantu kaTayanti jAti-rUpA, vyavacCedaH-
   'sti bhedasya nanvetāvatprayojanaṃ śabdānāmiti | (4) kiṃ tadasāmānyo	asti Bedasya nanu-etAvat-prayojanam SabdAnAm-iti | (4) kim tad-asAmAnyaH-
   nāpareṇa vaḥ | na jātirarthakriyāyogyeti pravṛttiviṣayaḥ | taddvāreṇa	na-apareNa vaH | na jAtiH-arTa-kriyA-yogyA-iti pravRtti-vizayaH | tad-dvAreNa
   codite na pravṛttirapi pratyuktā, tadvat codane ca vyavadhānaṃ jātivatoḥ	codite na pravRttiH-api pratyuktA, tadvat codane ca vyavaDAnam jAtivatoH
   pravṛttiviṣayatve vyāvṛtti taccānto (5) kinneṣyate	pravRtti-vizaya-tve vyAvRtti tat-ca-antaH (5) kinnezyate
   vyāvṛtteravastutvenāsādhanatvāccet tattulyaṃ jāteḥ tadvatsādhanādadoṣa iti	vyAvRtteH-avastu-tvena-asADana-tvAt-ced tad-tulyam jAteH tadvat-sADa-nAt-adozaH iti
   cet tulyaṃ tadvyāvṛttimataḥ avastugrāhī ca vyāvṛttivādināṃ śābdaḥ	ced tulyam tad-vyAvRttimataH avastu-grAhI ca vyAvRtti-vAdinAm SAbdaH
   pratyayaḥ sacitramavajātajanma kārake 'pi kārakāvyavasāyī pravartayati,	pratyayaH sa-citram-avajAta-janma kArake api kAraka-avyavasAyI pravartayati,
   vastusaṃvādastu vastūtpattyā tatpratibandhesati bhavati, anyathā naivāsti	vastu-saMvAdaH-tu vastu-utpattyA tad-pratibanDesati Bavati, anyaTA na-eva-asti
   vastutpatte rna bhrānteriti cet nātat pratisiddhastatastadavyavasāyāt |	vastutpatte rna BrAnteH-iti ced na-Atat pratisidDaH-tatas-tad-avyavasAyAt |
   maṇipra [7] bhāyāṃ maṇiprabhāyāṃ maṇibhrāntidarśanena vyabhicārācca	maNipra [7] BAyAm maNi-praBAyAm maNi-BrAnti-darSanena vyaBicArAt-ca
   bhrānteravastusaṃvāda iti cet na yathoktenaiva vyabhicārāt |	BrAnteH-avastu-saMvAdaH iti ced na yaTA-uktena-eva vyaBicArAt |
   vitathapratibhāso hi bhrāntilakṣaṇaṃ tannāntarīkatayā saṃvādo na	vitaTa-pratiBAsaH hi BrAnti-lakzaNam tat-na-antarIka-tayA saMvAdaH na
   pratibhāsā-(8) pekṣī jātergrahaṇamevaṃ bhrāntigrahaṇe vā na tatra	pratiBAsA-(8) pekzI jAteH-grahaNam-evam BrAnti-grahaNe vA na tatra
   pravṛttiriti kiṃ tenānyavyāvṛtā ca	pravRttiH-iti kim tena-anya-vyAvRtA ca
   kriyāyogyanīlādyarthākārapratyayaprādurbhāvāt, tadupanīte 'nyapravṛtti	kriyA-yogya-nIla-Adi-arTa-AkAra-pratyaya-prAdurBAva-at, tad-upanIte anya-pravRtti
   nivṛttī samañjasa janmāno vināpi ca sā (8) mānyena prakṛtibhinneṣvartheṣu	nivRttI samaQjasa janmAnaH vinA-api ca sA (8) mAnyena prakRti-Binnezu-arTezu
   bhede cedamiti pratyabhijñānaṃ yasmāt-	Bede ca-idam-iti pratyaBijQAnam yasmAt--
   jñānādyarthakriyāṃ tāṃ tāṃ dṛṣṭvā bhede 'pi kurvataḥ |	jQAna-Adi-arTa-kriyAm tAm tAm dRzwvA Bede api kurvataH |
   arthāstadanyaviśleṣaviṣayairdhvanibhiḥ saha ||	arTAH-tad-anya-viSleza-vizayEH-DvaniBiH saha ||
   saṃyojyapratyabhijñānaṃ kuryādapya[10]sya darśane ||	saMyojya-pratyaBijQAnam kuryAt-api-a[10]sya darSane ||
   bhede 'pi prakṛtyaiva cakṣurādivat jñānādikā arthakriyā tathānyeṣu	Bede api prakRtyA-eva cakzuH-Adi-vat jQAna-AdikAH arTa-kriyA taTA-anyezu
   padārtheṣu tāmeva arthakriyāmatadrūpaparāvṛtteṣu paśyato	padArTezu tAm-eva arTa-kriyAm-atad-rUpa-parAvRttezu paSyataH-
   'nyāvṛttaviṣayatvavisaṃsṛṣṭaṃ tadevedamiti svānubhavavāsanāprabodhane	anyAvRtta-vizaya-tva-visaMsRzwam tat-eva-idam-iti sva-anuBava-vAsanA-praboDane
   saṃsṛṣṭabhedaṃ mithyājñānamā(ma) jāyate, anyathā bhedasaṃsargavatī buddhiḥ	saMsRzwa-Bedam miTyAjQAnam-A(ma) jAyate, anyaTA Beda-saMsargavatI budDiH
   syāt daṇḍivat | na hyekadaṇḍadarśanenānyatra sa evāyami (2) ti bhavati,	syAt daNxi-vat | na hi-eka-daNxa-darSanena-anyatra saH eva-Ayami (2) ti Bavati,
   kiṃ tarhi, tadiheti | na caivaṃ pratyabhijñānaṃ kiṃ tadevedamiti, tanna	kim tarhi, tat-iha-iti | na ca-evam pratyaBijQAnam kim tat-eva-idam-iti, tat-na
   tadekamanekatra paśyatopi bhedasaṃsargavat muktam | vibhramavaśāttu tathā	tat-ekam-anekatra paSyatA-upi Beda-saMsarga-vat muktam | viBrama-vaSAt-tu taTA
   jñānena virodhaḥ nimittābhāvādvibhramo na mukta iti cet (3) ta eva	jQAnena viroDaH nimitta-aBAvAt-viBramaH na muktaH iti ced (3) te eva
   bhāvāstadekārthakāriṇo 'nubhavadvāreṇa prakṛtyā vibhramakalāyā	BAvAH-tad-eka-arTa-kAriNaH anuBavadvAreNa prakRtyA viBrama-kalAyA
   vikalpavāsanāyā hetutvānnimittaṃ | marīcikādiṣvapi hi	vikalpa-vAsanAyAH hetu-tvAt-nimittam | marIcika-Adizu-api hi
   jalādibhrāntestāvevābhinnāhāraparāmarśapratyayanimittānubhava (4) jananau	jala-Adi-BrAnteH-tO=-eva-aBinna-AhAra-parAmarSa-pratyaya-nimitta-anuBava (4) jananO
   bhāvau kāraṇaṃ bhinnāvapi na hi tatrānyadeva kiñcitsāmānyamasti yattathā	BAvO kAraNam BinnO=-api na hi tatra-anyat-eva kiQcid-sAmAnyam-asti yat-taTA
   pratīyate | sattve vā sadarthagrāhiṇī buddhirbhrāntirna syāt,	pratIyate | sattve vA sat-arTa-grAhiNI budDiH-BrAntiH-na syAt-,
   abhūtākārasamāropādbhrāntitve sa evākāro 'syā viṣayaḥ, (5)	aBUta-AkAra-samAropAt-BrAnti-tve saH eva-AkAraH asyAH vizayaH, (5)
   aviṣayasyānāropāt | sa cāroposāmānyamekakāryakārigrahaṇa iti	avizayasya-anAropAt | sa ca-AroposAmAnyam-eka-kArya-kAri-grahaNaH iti
   nirarthikotpattiḥ yathāvasthitasvabhāvagrahāsāmarthyaṃ vikalpānāṃ	nirarTika-utpattiH yaTA-avasTita-svaBAva-graha-asAmarTyam vikalpAnAm
   svakāraṇapravṛtteḥ svakāra (6)ṇañca avidyāvāsanāpi keśavibhramasyeva	sva-kAraNa-pravRtteH sva-kAra (6)NaQca avidyO=-AsanA-api keSa-viBramasya-iva
   timiraṃ tena |	timiram tena |
   astīyamapi yā tvantarupaplavasamudbhavā ||	asti-iyam-api yA tu-antar-upaplava-samudBavA ||
   doṣodbhavā prakṛtyā sa vinayapratibhāsinī |	doza-udBavA prakRtyA sa vinaya-pratiBAsinI |
   anapekṣitasādharmyadṛgādistimirādivat ||	anapekzita-sADarmya-dRS-AdiH-timira-Adi-vat ||
   parasyāpi na sā buddhiḥ sāmānyādeva kevalāt |	parasya-api na sA budDiH sAmAnyAt-eva kevalAt |
   nityaṃ tanmātravijñāte vyaktyajñānaprasaṅgataḥ |	nityam tanmAtra-vijQAte vyakti-ajQAna-prasaFgataH |
   ekavastusahāyāścedvayaktayo jñānakāraṇam |	eka-vastu-sahAyAH-ced-vayaktayaH jQAna-kAraNam |
   tadekaṃ vastu kiṃ tāsāṃ nānātvaṃ[4] samapohati |	tat-ekam vastu kim tAsAm nAnA-tvaM[4] samapohati |
   nānātvāccaikavijñānahetutā tāsunekṣyate ||	nAnA-tvAt-ca-eka-vijQAna-hetu-tA tAsunA-Ikzyate ||
   atha vaikalyaṃ jananavirodhitenatatsāhitye jananaṃ cet	aTa vEkalyam janana-viroDitena-tad-sAhitye jananam ced-
   anekamapi yayekamapekṣyābhinnabuddhikṛt |	anekam-api yayekam-apekzya-aBinna-budDi-kRt |
   tābhirvināpi pratyekaṃ kriyamāṇāṃ dhiyaṃ prati ||	tABiH-vinA-api pratyekam kriyamANAm Diyam prati ||
   tenaikenāpi sāmarthya tāsāṃ netyagraho dhiyā |	tena-ekena-api sAmarTya tAsAm na-iti-agrahaH DiyA |
   atha yathā nīlādiṣu ekāpāye 'pi cakṣurvijñānaṃ bhavatīti na samūhe 'pi	aTa yaTA nIla-Adizu eka-apAye api cakzuH-vijQAnam Bavati-iti na samUhe api
   teṣāmasāmarthyam | tathehāpi pratye (10) kāṣāye bhavatīti na	tezAm-asAmarTyam | taTA-iha-api pratye (10) kAzAye Bavati-iti na
   sarvvadāsāmarthyam | na,	sarvvadAsAmarTyam | na,
   nīlādernetra-vijñāne pṛthaksāmarthyadarśanāt |	nIla-AdeH-netra-vijQAne pRTak-sAmarTya-darSanAt |
   śaktisiddhiḥ samūhe 'pi naivaṃ vyakteḥ kathañcana ||	Sakti-sidDiH samUhe api na-evam vyakteH kaTaQcana ||
   na hi vyaktayaḥ sāmānyarahitā anvayijñānajanane dṛṣṭaśaktayaḥ tato na	na hi vyaktayaH sAmAnya-rahitAH anvayi-jQAna-janane dRzwa-SaktayaH tatas na
   tāstatra samarthā iti na tena gṛhyeran |	tAH-tatra samarTAH iti na tena gRhyeran |
   tāsāmanyatamāpaikṣyaṃ taccecchaktaṃ na kevalam ||	tAsAm-anyatama-apEkzyam tat-ced-Saktam na kevalam ||
   tadekamukuryustāḥ kathamekāṃ dhiyañca na |	tat-eka-mukuryuH-tAH kaTam-ekAm DiyaQca na |
   pūrvakasahakārivicārātsāmānyamupakāryamāsāṃ prāptaṃ	pUrvaka-sahakAri-vicArAt-sAmAnyam-upakAryam-AsAm prAptam
   sāmānyāntaramivāpekṣiṇāṃ ka āsāṃ pratibandhodhiyamādhātumekānto hi tena	sAmAnya-antaram-iva-apekziNAm kaH AsAm pratibanDoDiyam-ADAtum-ekAntaH hi tena
