   Svayambhu Purāṇa	SvayamBu PurANa
   tadatra tvaṃ mahāvīrā bhavasvāttaraḥ sādhakaḥ /	tat-atra tvam mahAvIrA BavasvAttaraH sADakaH /
   yathā māyopadiṣṭāni tathā sarvāṇi sādhaya // SvayambhuP_8.150 //	yaTA mAyA-upadizwAni taTA sarvANi sADaya // SvayamBuj-_8.150 //
   ityācārya samādiṣṭaṃ śrutvā sa nṛpatirmudā /	iti-AcArya samAdizwam SrutvA sa nRpatiH-mudA /
   tatheti prativijñapya tathā bhavitumaicchata // SvayambhuP_8.151 //	taTA-iti prativijQapya taTA Bavitum-EcCata // SvayamBuj-_8.151 //
   tataḥ sa vajradhṛg vārā nāgapuraṃ yathāvidhi /	tatas sa vajraDRk vArA nAgapuram yaTAviDi /
   likhitvā maṇḍalaṃ ramyaṃ pratiṣṭhāpya samārccayat // SvayambhuP_8.152 //	liKitvA maNxalam ramyam pratizWApya samArccayat // SvayamBuj-_8.152 //
   tatra nāgādhipān sarvānācāryaḥ sa yathākramaṃ /	tatra nAga-aDipAn sarvAn-AcAryaH sa yaTAkramam /
   samārādhya samāvāhya pūjayituṃ samālabhat // SvayambhuP_8.153 //	samArADya samAvAhya pUjayitum samAlaBat // SvayamBuj-_8.153 //
   tatra nāgādhipāḥ sarve samāgatya yathākramaṃ /	tatra nAga-aDipAH sarve samAgatya yaTAkramam /
   svasvāsanaṃ samāśritya saṃtasthire prasāditāḥ // SvayambhuP_8.154 //	sva-svAsanam samASritya saMtasTire prasAditAH // SvayamBuj-_8.154 //
   karkoṭako 'hirāḍeka eva na lajjayāgataḥ /	karkowakaH ahi-rAj-ekaH eva na lajjayA-AgataH /
   tatsamīkṣya sa śāntaśrīrmahācāryā maharddhimān // SvayambhuP_8.155 //	tat-samIkzya sa SAnta-SrIH-mahA-AcAryAH mahA-RdDimAn // SvayamBuj-_8.155 //
   nṛpatiṃ taṃ mahāvīraṃ mahāsattvaṃ maharddhikaṃ /	nRpatim tam mahA-vIram mahAsattvam mahardDikam /
   mahābhijñaṃ samālokya samāmantrayaivamādiśat // SvayambhuP_8.156 //	mahA-aBijQam samAlokya samAmantrayA-evam-AdiSat // SvayamBuj-_8.156 //
   rājan nāgādhipāḥ sarve samāgatā ihādhunā /	rAjan nAga-aDipAH sarve samAgatAH iha-aDunA /
   eka karkkoṭako nāgarāja eveha nāgataḥ // SvayambhuP_8.157 //	eka karkkowakaH nAga-rAjaH eva-iha na-AgataH // SvayamBuj-_8.157 //
   virūpo 'haṃ kathaṃ nāgarāja mahāsabhāsane /	virUpaH aham kaTam nAga-rAja mahA-saBA-Asane /
   gatvā tiṣṭheyamityevaṃ dhyātvā nāyāti lajjayā // SvayambhuP_8.158 //	gatvA tizWeyam-iti-evam DyAtvA na-AyAti lajjayA // SvayamBuj-_8.158 //
   atastaṃ sahasā rājan gatvā tatra mahāhrade /	atas-tam sahasA rAjan gatvA tatra mahAhrade /
   karkkoṭakaṃ tamāmantraya saṃprārthyeha samānaya // SvayambhuP_8.159 //	karkkowakam tam-Amantraya saMprArTya-iha samAnaya // SvayamBuj-_8.159 //
   yadi saṃprārthyamānāpi nāgachediha so 'hirāṭ /	yadi saMprArTyamAnA-api na-AgaCet-iha saH ahi-rAj /
   tadā balena dhṛtvāpi sarvathā taṃ samānaya // SvayambhuP_8.160 //	tadA balena DRtvA-api sarvaTA tam samAnaya // SvayamBuj-_8.160 //
   ityācārya samādiṣṭaṃ śṛtvā sa nṛpatiḥ sudhīḥ /	iti-AcArya samAdizwam SRtvA sa nRpatiH suDIH /
   śāntaśriyaṃ tamācārya paśyannevaṃ nyavedayat // SvayambhuP_8.161 //	SAnta-Sriyam tam-AcArya paSyan=-evam nyavedayat // SvayamBuj-_8.161 //
   ācārya kathamako 'haṃ tatrāgāḍhamahāhrade /	AcArya kaTamakaH aham tatra-agAXa-mahAhrade /
   gatvā balena nāgendraṃ dhṛtvā netuṃ praśaknuyāṃ // SvayambhuP_8.162 //	gatvA balena nAga-indram DRtvA netum praSaknuyAm // SvayamBuj-_8.162 //
   iti nivedya taṃ rājñā śrutvācāryaḥ sa mantravit /	iti nivedya tam rAjQA SrutvA-AcAryaH sa mantra-vid /
   nṛpatiṃ taṃ mahāvīraṃ sampaśyannevamabravīt // SvayambhuP_8.163 //	nRpatim tam mahA-vIram sampaSyan=-evam-abravIt // SvayamBuj-_8.163 //
   haridaśvaṃ samāruhya puṣpamatmantraśodhitaṃ /	haridaSvam samAruhya puzpamad-mantra-SoDitam /
   dhṛtvā braja praśaknoṣi mama mantrānubhāvataḥ // SvayambhuP_8.164 //	DRtvA braja praSaknozi mama mantra-anuBAvataH // SvayamBuj-_8.164 //
   durvākuṇḍamidaṃ puṣpaṃ tatrādau kṣipa māṃ smaran /	durvAkuNxam-idam puzpam tatra-AdO kzipa mAm smaran /
   bhraman yatra caren puṣpaṃ tat yathānusaran baja // SvayambhuP_8.165 //	Braman yatra caret puzpam tat yaTA-anusaran baja // SvayamBuj-_8.165 //
   ityupadeśya duvīkaṃ kuṇḍaṃ mantrābhiśodhitaṃ /	iti-upadeSya duvIkam kuNxam mantra-aBiSoDitam /
   puṣpaṃ datvā narendrāya punarevamupādiśat // SvayambhuP_8.166 //	puzpam datvA narendrAya punar-evam-upAdiSat // SvayamBuj-_8.166 //
   gatvaivaṃ nṛpate tatra nāgapure sametya taṃ /	gatvA-evam nRpate tatra nAgapure sametya tam /
   karkoṭakaṃ samāmantraya madgiraivaṃ nivedaya // SvayambhuP_8.167 //	karkowakam samAmantraya mad-girA-evam nivedaya // SvayamBuj-_8.167 //
   bho karkkoṭaka nāgendra yadarthedamihāvraja /	Bo kark-kowaka nAga-indra yat-arTa-idam-iha-Avraja /
   tadbhavānapi jānīyāt tathāpi vakṣyate mayā // SvayambhuP_8.168 //	tad-BavAn-api jAnIyAt taTA-api vakzyate mayA // SvayamBuj-_8.168 //
   gośṛṅge mahācāryaḥ śāntaśrī rvajrabhṛt kṛtī /	go-SRFge mahAcAryaH SAnta-SrI ru-ajraBRt kRtI /
   durbhikṣaśamanaṃ karttuṃ suvṛṣṭicāraṇe sadā // SvayambhuP_8.169 //	durBikza-Samanam karttum su-vRzwi-cAraNe sadA // SvayamBuj-_8.169 //
   tatra nāgapure sarvān nāgādhipān yathāvidhi /	tatra nAgapure sarvAn nAga-aDipAn yaTAviDi /
   samārādhya samāvāhya pūjayituṃ samārabhat // SvayambhuP_8.170 //	samArADya samAvAhya pUjayitum samAraBat // SvayamBuj-_8.170 //
   sarve nāgādhipāstatra varuṇādyāḥ samāgatāḥ /	sarve nAga-aDipAH-tatra varuNa-AdyAH samAgatAH /
   tvameva nāgataḥ kasmāt sahasā gantumarhati // SvayambhuP_8.171 //	tvam-eva na-AgataH kasmAt sahasA gantum-arhati // SvayamBuj-_8.171 //
   evaṃ saṃprārthyamāno 'pi nāgachet so 'hirāḍ yadi /	evam saMprArTyamAnaH api na-AgaCet saH ahi-rAj yadi /
   valenāpi samākṛṣya sahasā nīyatāṃ tvayā // SvayambhuP_8.172 //	valena-api samAkRzya sahasA nIyatAm tvayA // SvayamBuj-_8.172 //
   iti śāntaśriyā śāstā samādiśya samādarāt /	iti SAnta-SriyA SAstA samAdiSya samAdarAt /
   preṣito 'haṃ tadarthetra tat samagantumarhati // SvayambhuP_8.173 //	prezitaH aham tad-arTetra tat samagantum-arhati // SvayamBuj-_8.173 //
   ityādiśya sa ācāryaḥ puṣpaṃ mantrābhiśodhitaṃ /	iti-AdiSya saH AcAryaH puzpam mantra-aBiSoDitam /
   datvā taṃ nṛpatiṃ vīraṃ preṣayat tatra satvaraṃ // SvayambhuP_8.174 //	datvA tam nRpatim vIram prezayat tatra sa-tvaram // SvayamBuj-_8.174 //
   ityācārya samādiṣṭaṃ niśamya sa mahāmatiḥ /	iti-AcArya samAdizwam niSamya sa mahAmatiH /
   durvāmuṇḍaṃ samādāya tathetyuktvā tato 'carat // SvayambhuP_8.175 //	durvAmuNxam samAdAya taTA-iti-uktvA tatas acarat // SvayamBuj-_8.175 //
   tataḥ sa nṛpatirvīraḥ śāstu rājñāṃ śirāvahan /	tatas sa nRpatiH-vIraH SAstu rAjQAm SirA-vahan /
   haridaśvaṃ samāruhya saṃcaranstad hadaṃ yayau // SvayambhuP_8.176 //	haridaSvam samAruhya saMcaranH-tat hadam yayO // SvayamBuj-_8.176 //
   tatra tīraṃ samāsādya paśyaṃ nṛpaḥ sa taṃ hadaṃ /	tatra tIram samAsAdya paSyam nRpaH sa tam hadam /
   natvācāryamanusmṛtvā durvvākuṇḍaṃ jale 'kṣipat // SvayambhuP_8.177 //	natu-AcAryam-anusmRtvA durvvAkuNxam jale akzipat // SvayamBuj-_8.177 //
   tanprakṣiptaṃ jale 'gāḍhe bhraman nāgapure 'carat /	tat-prakziptam jale agAXe Braman nAgapure acarat /
   rājāpyaśvaṃ samāruhya tatpuṣpānusaran yayau // SvayambhuP_8.178 //	rAjA-api-aSvam samAruhya tad-puzpa-anusaran yayO // SvayamBuj-_8.178 //
   evaṃ nāgapure gatvā nṛpatiḥ sa vilokayan /	evam nAgapure gatvA nRpatiH sa vilokayan /
   karkoṭaka mahīndraṃ taṃ sahasā samupācarat // SvayambhuP_8.179 //	karkowaka mahIndram tam sahasA samupAcarat // SvayamBuj-_8.179 //
   tatra sametya sa vīrastaṃ karkoṭakamahīśvaraṃ /	tatra sametya sa vIraH-tam karkowaka-mahISvaram /
   yathācāryāya saṃdipṭaṃ tathā sarvaṃ nyavedayat // SvayambhuP_8.180 //	yaTA-AcAryAya saMdipwam taTA sarvam nyavedayat // SvayamBuj-_8.180 //
   tat sanniveditaṃ sarva śrutvā nāgādhipāpi saḥ /	tat sanniveditam sarve SrutvA nAga-aDipA-api saH /
   kiñcidapyuttaraṃ naiva dadau tasmai mahībhuje // SvayambhuP_8.181 //	kiQcid-api-uttaram na-eva dadO tasmE mahIBuje // SvayamBuj-_8.181 //
   tataḥ sa nṛpatiścaivaṃ nivedya taṃ mahīśvaraṃ /	tatas sa nRpatiH-ca-evam nivedya tam mahISvaram /
   saṃpaśyan samupāmantraya prārthayadamādarāt // SvayambhuP_8.182 //	saMpaSyan samupAmantraya prArTa-yadam-AdarAt // SvayamBuj-_8.182 //
   nāgendro 'tra prasīda tvaṃ śāsturājñāṃ śirovahaṃ /	nAga-indraH atra prasIda tvam SAstuH-AjQAm SiraH-vaham /
   tvadāmantra na evāhaṃ prāgatastat samāvraja // SvayambhuP_8.183 //	tvad-Amantra na eva-aham prAgataH-tat samAvraja // SvayamBuj-_8.183 //
   iti saṃprārthyamāno 'pi rājā sa bhujagādhipaḥ /	iti saMprArTyamAnaH api rAjA sa Bujaga-aDipaH /
   kiñcitprāpyuttaraṃ naiva dadau tasmai mahībhuje // SvayambhuP_8.184 //	kiQcid-prApi-uttaram na-eva dadO tasmE mahIBuje // SvayamBuj-_8.184 //
   tato 'sau nṛpativīraḥ śāstrādiṣṭaṃ yathā tathā /	tatas asO nRpati-vIraH SAstra-Adizwam yaTA taTA /
   sarva nivedya tasyāgre punarevamabhāṣata // SvayambhuP_8.185 //	sarva nivedya tasya-agre punar-evam-aBAzata // SvayamBuj-_8.185 //
   nāgendra nāparādhaṃ me yattvayā na śrutaṃ vacaḥ /	nAga-indra na-aparADam me yat-tvayA na Srutam vacaH /
   tanme śāstrā yathādiṣṭaṃ tathā nūnaṃ careya hi // SvayambhuP_8.186 //	tat-me SAstrAH yaTA-Adizwam taTA nUnam careya hi // SvayamBuj-_8.186 //
   ityuktepi narendreṇa karkoṭako hi yo 'pi saḥ /	iti-uktA-ipi narendreNa karkowakaH hi yaH api saH /
   kiñcidapyuttaraṃ naiva dadau rājñe mahībhṛte // SvayambhuP_8.187 //	kiQcid-api-uttaram na-eva dadO rAjQe mahIBRte // SvayamBuj-_8.187 //
   tataḥ sa nṛpativīraḥ śāsturājñāṃ śirovahan /	tatas sa nRpati-vIraH SAstuH-AjQAm SiraH-vahan /
   dhṛtvā tamahimākṛṣya gurutmāniva prācarat // SvayambhuP_8.188 //	DRtvA tam-ahimA-AkRzya gurutmAn-iva prAcarat // SvayamBuj-_8.188 //
   tato hayāt samānītāḥ guṇakāmadevena saḥ /	tatas hayAt samAnItAH guNa-kAmadevena saH /
   ānīte tena mārgeṇa vaśikācala ucyate // SvayambhuP_8.189 //	AnIte tena mArgeNa vaSikA-acalaH ucyate // SvayamBuj-_8.189 //
   evaṃ dhṛtvā samākṛṣya sa vīrastaṃ mahīśvaraṃ /	evam DRtvA samAkRzya sa vIraH-tam mahISvaram /
   sahasā nāgapure nītvā śāsturagre samācarat // SvayambhuP_8.190 //	sahasA nAgapure nItvA SAstuH-agre samAcarat // SvayamBuj-_8.190 //
   ācārya bhavadādeśāt tathā karkkoṭako 'hirāṭ /	AcArya Bavat-AdeSAt taTA karkkowakaH ahi-rAj /
   dhṛtvākṛṣya mayānītastaṃ samīkṣya prasīdatu // SvayambhuP_8.191 //	DRtvA-AkRzya mayA-AnItaH-tam samIkzya prasIdatu // SvayamBuj-_8.191 //
   iti niveditaṃ rājñā śrutvācāryaḥ samāditaḥ /	iti niveditam rAjQA SrutvA-AcAryaH samAditaH /
   nṛpatiṃ taṃ mahāvīraṃ sampaśyannevamādiśat // SvayambhuP_8.192 //	nRpatim tam mahA-vIram sampaSyan=-evam-AdiSat // SvayamBuj-_8.192 //
   sādhu rājan mahāvīra yadānītastvayāhirāt /	sADu rAjan mahA-vIra yat-A-AnItaH-tvayA-ahirAt /
   tadenamāsane nītvā saṃsthāpaya yathākramaṃ // SvayambhuP_8.193 //	tat-enam-Asane nItvA saMsTApaya yaTAkramam // SvayamBuj-_8.193 //
   ityācārya samādiṣṭaṃ śrutvā sa nṛpatistathā /	iti-AcArya samAdizwam SrutvA sa nRpatiH-taTA /
   nāgarājaṃ tamāmantraya svāsane saṃnyaveśayat // SvayambhuP_8.194 //	nAga-rAjam tam-Amantraya sva-Asane saMnyaveSayat // SvayamBuj-_8.194 //
   taṃ dṛṣṭvā svāsanāsīnāṃmācāryaḥ sa yathāvidhiṃ /	tam dRzwvA svAsana-AsInAMma-AcAryaH sa yaTAviDim /
   nāgendrān stān samāvāhya samārādhya samārcayat // SvayambhuP_8.195 //	nAga-indrAn stAn samAvAhya samArADya samArcayat // SvayamBuj-_8.195 //
   tataḥ sa vrajadhṛkājña ācāryaḥ sa mahīpatiḥ /	tatas sa vrajaDRkA-jQaH AcAryaH sa mahIpatiH /
   sarvān nāgādhipān stutvā prārthayuccaivamādarāt // SvayambhuP_8.196 //	sarvAn nAga-aDipAn stutvA prArTayut-ca-evam-AdarAt // SvayamBuj-_8.196 //
   bho bhavanto mahānāgarājāḥ sarve mayāgrataḥ /	Bo BavantaH mahA-nAga-rAjAH sarve mayA-agratas /
   samārādhya samāvāhya yathāvidhi samarcitāḥ // SvayambhuP_8.197 //	samArADya samAvAhya yaTAviDi samarcitAH // SvayamBuj-_8.197 //
   tanme sadā prasīdantu dātumarhanti vāñchitaṃ /	tat-me sadA prasIdantu dAtum-arhanti vAQCitam /
   sarvaloka hitārtheva ārādhyayāmi nānyathā // SvayambhuP_8.198 //	sarva-loka hita-arTA-iva ArADyayAmi na-anyaTA // SvayamBuj-_8.198 //
   yadatra pāpasaṃcārād durbhikṣaṃ varttate 'dhunā /	yat-atra pApa-saMcArAt durBikzam varttate aDunA /
   tena sarve 'pi duḥkhārttā lokaścaranti pātakaṃ // SvayambhuP_8.199 //	tena sarve api duHKa-ArttAH lokaH-caranti pAtakam // SvayamBuj-_8.199 //
   taddurbhikṣābhiśāntyartha subhikṣakāraṇaṃ sadā /	tad-durBikza-aBiSAnti-arTa suBikza-kAraNam sadA /
   suvṛṣṭicaraṇopāyaṃ karomīdaṃ jagaddhite // SvayambhuP_8.200 //	su-vRzwi-caraNa-upAyam karomi-idam jagat-hite // SvayamBuj-_8.200 //
   te bhavanto 'tra sarve 'pi sarvasattvābhirakṣaṇe /	te BavantaH atra sarve api sarva-sattva-aBirakzaNe /
   cārayituṃ samarhanti suvṛṣṭimatra sarvadā // SvayambhuP_8.201 //	cArayitum samarhanti su-vRzwim-atra sarvadA // SvayamBuj-_8.201 //
   iti saṃprārthitaṃ tena śāntaśriyā niśamyata /	iti saMprArTitam tena SAnta-SriyA niSamyata /
   sarve nāgādhipāstasya tatheti pratiśuśruvuḥ // SvayambhuP_8.202 //	sarve nAga-aDipAH-tasya taTA-iti pratiSuSruvuH // SvayamBuj-_8.202 //
   taistatheti pratijñātaṃ nāgarājairniśamya saḥ /	tEH-taTA-iti pratijQAtam nAga-rAjEH-niSamya saH /
   śāntaśrī nāgarājān stān prārthayadevamādarāt // SvayambhuP_8.203 //	SAnta-SrI nAga-rAjAn stAn prArTayat-evam-AdarAt // SvayamBuj-_8.203 //
   bhavanto me prasīdantu yadahaṃ prārthaye punaḥ /	BavantaH me prasIdantu yat-aham prArTaye punar /
   sarvasattvahite dātuṃ tadapyarhanti vāñchitaṃ // SvayambhuP_8.204 //	sarva-sattva-hite dAtum tat-api-arhanti vAQCitam // SvayamBuj-_8.204 //
   iti saṃprārthite tena śāntaśriyā niśamyate /	iti saMprArTite tena SAnta-SriyA niSamyate /
   sarvvanāgādhipā tasmai tatheti pratiśuśruvuḥ // SvayambhuP_8.205 //	sarvu-anAga-aDipA tasmE taTA-iti pratiSuSruvuH // SvayamBuj-_8.205 //
   sarve nāgādhipaistaiḥ sampratijñātaṃ niśmya saḥ /	sarve nAgADipEH-tEH sampratijQAtam niSmya saH /
   ācāryastānahīndrāṃśca prārthayedevamādarāt // SvayambhuP_8.206 //	AcAryaH-tAn-ahi-indrAn=-ca prArTayet-evam-AdarAt // SvayamBuj-_8.206 //
   bhavantaḥ śrūyatāṃ vākyaṃ yat mayā prārthyate punaḥ /	BavantaH SrUyatAm vAkyam yat mayA prArTyate punar /
   tadbhavadbhiḥ pratijñātaṃ saṃdhātavyaṃ tathā sadā // SvayambhuP_8.207 //	tat-BavadBiH pratijQAtam saMDAtavyam taTA sadA // SvayamBuj-_8.207 //
   yadātra pāpasaṃcārād durvaṣṭiśca bhaved dhruvaṃ /	yadA-atra pApa-saMcArAt durvazwiH-ca Bavet Druvam /
   tadā suvṛṣṭisaṃsiddhirsādhanaṃ tat pranīyatāṃ // SvayambhuP_8.208 //	tadA su-vRzwi-saMsidDiH-sADanam tat pranIyatAm // SvayamBuj-_8.208 //
   tadyathā bhavatāṃ paṭṭe likhitvā maṇḍalaṃ śubhaṃ /	tat-yaTA BavatAm pawwe liKitvA maNxalam SuBam /
   yathāvidhi pratiṣṭhāpya saṃsthāpituṃ samutsahe // SvayambhuP_8.209 //	yaTAviDi pratizWApya saMsTApitum samutsahe // SvayamBuj-_8.209 //
   durvṛṣṭiḥ syādyadāpyatra tadevaṃ paṭṭamaṇḍalaṃ /	durvRzwiH syAt-yadA-api-atra tat-evam pawwa-maNxalam /
   prasārya vidhinārādhya samāvāhya samarcayat // SvayambhuP_8.210 //	prasArya viDinA-ArADya samAvAhya samarcayat // SvayamBuj-_8.210 //
   evaṃ prasārya paṭṭesmin saṃpūjite yathāvidhi /	evam prasArya pawwesmin saMpUjite yaTAviDi /
   suvṛṣṭiratra yuṣmābhiḥ saṃbharttavyā jagaddhite // SvayambhuP_8.211 //	su-vRzwiH-atra yuzmABiH saMBarttavyA jagat-hite // SvayamBuj-_8.211 //
   iti saṃprārthite tena śāntaśriyā niśamyate /	iti saMprArTite tena SAnta-SriyA niSamyate /
   sarvanāgādhipāstasmai tatheti pratiśuśruvuḥ // SvayambhuP_8.212 //	sarva-nAga-aDipAH-tasmE taTA-iti pratiSuSruvuH // SvayamBuj-_8.212 //
   tataḥ sa mantravit prājñaḥ sarvanāgādhipājñayā /	tatas sa mantra-vid prAjQaH sarva-nAga-aDipa-AjQayA /
   likhitvā maṇḍalaṃ paṭṭe pratiṣṭhāpya yathāvidhi // SvayambhuP_8.213 //	liKitvA maNxalam pawwe pratizWApya yaTAviDi // SvayamBuj-_8.213 //
   paścāt kāle 'tra durvṛṣṭivṛtte suvṛṣṭisādhane /	paScAt kAle atra durvRzwi-vRtte su-vRzwi-sADane /
   nāgapure 'tra saṃsthāpya nirdagdha saṃpragopitaṃ // SvayambhuP_8.214 //	nAgapure atra saMsTApya nirdagDa saMpragopitam // SvayamBuj-_8.214 //
   tato vajrī sa ācāryaḥ sarvān stān bhujagādhipān /	tatas vajrI saH AcAryaH sarvAn stAn Bujaga-aDipAn /
   saṃprārthya vinayaṃ kṛtvā visasarjja vinodayan // SvayambhuP_8.215 //	saMprArTya vinayam kRtvA visasarjja vinodayan // SvayamBuj-_8.215 //
   tataḥ sarve 'pi te nāgarājāḥ svasvālayaṃ gatāḥ /	tatas sarve api te nAga-rAjAH sva-sva-Alayam gatAH /
   meghamālāṃ samutthāpya sarvatra samavarṣayan // SvayambhuP_8.216 //	meGa-mAlAm samutTApya sarvatra samavarzayan // SvayamBuj-_8.216 //
   tadā suvṛṣṭisaṃcārād durbhikṣaṃ vilayaṃ yayau /	tadA su-vRzwi-saMcArAt durBikzam vilayam yayO /
   subhikṣamaṃgalotsāhaṃ prāvarttata samantataḥ // SvayambhuP_8.217 //	suBikza-m-aMgala-utsAham prAvarttata samantataH // SvayamBuj-_8.217 //
   tadā sarve 'pi lokāste mahānandapramoditaḥ /	tadA sarve api lokAH-te mahA-nanda-pramoditaH /
   triratnabhajanaṃ kṛtvā prācaranta sadā śubhe // SvayambhuP_8.218 //	tri-ratna-Bajanam kRtvA prAcaranta sadA SuBe // SvayamBuj-_8.218 //
   tataḥ sa nṛpati rājā dṛṣṭasatyaḥ prasāditaḥ /	tatas sa nRpati rAjA dRzwa-satyaH prasAditaH /
   śāntiśriyaṃ tamācāryaṃ samabhyarcya yathāvidhi // SvayambhuP_8.219 //	SAnti-Sriyam tam-AcAryam samaByarcya yaTAviDi // SvayamBuj-_8.219 //
   natvāṣṭāṅgaiḥ prasannātmā kṛtvā pradakṣiṇāni ca /	natvA-azwa-aFgEH prasanna-AtmA kRtvA pradakziNAni ca /
   kṛtāñjalipuṭaḥ paśyan prārthayaccaivamādarāt // SvayambhuP_8.220 //	kRta-aQjali-puwaH paSyan prArTayat-ca-evam-AdarAt // SvayamBuj-_8.220 //
   bho bhagavan mahācārya bhavaddharmmānubhāvataḥ /	Bo Bagavat mahA-AcArya Bavat-Darmma-anuBAvataH /
   sarvotpātaṃ śamībhūta suvṛṣṭiḥ saṃpravarttate // SvayambhuP_8.221 //	sarva-utpAtam SamIBUta su-vRzwiH saMpravarttate // SvayamBuj-_8.221 //
   tadatra sarvadā nūnaṃ nirutpātaṃ samantataḥ /	tat-atra sarvadA nUnam nirutpAtam samantataH /
   dharmaśrīmaṃgalotsāhaṃ bhavadeva nirantaraṃ // SvayambhuP_8.222 //	DarmaSrI-maMgala-utsAham Bavat-eva nirantaram // SvayamBuj-_8.222 //
   evaṃ sadā kṛpā dṛṣṭayā saṃpaśyan viṣaye mama /	evam sadA kRpA dRzwayA saMpaSyan vizaye mama /
   nirutpātaṃ śubhotsāhaṃ kartumarhati sarvathā // SvayambhuP_8.223 //	nirutpAtam SuBa-utsAham kartum-arhati sarvaTA // SvayamBuj-_8.223 //
   sāmprataṃ saphalaṃ janma saṃsārajīvitaṃ ca me /	sAmpratam saPalam janma saMsAra-jIvitam ca me /
   yallokāśca sukhībhūtāḥ saṃcaranta sadā śubhe // SvayambhuP_8.224 //	yat-lokAH-ca suKIBUtAH saMcaranta sadA SuBe // SvayamBuj-_8.224 //
   tadahaṃ sāmprataṃ śāstarbhavadājñāṃ śirāvahan /	tat-aham sAmpratam SAstarBavat-AjQAm SirA-vahan /
   svarājyāśramamāśritya careyaṃ pālayañjagat // SvayambhuP_8.225 //	sva-rAjya-ASramam-ASritya careyam pAlayan-jagat // SvayamBuj-_8.225 //
   tanmenugrahamādhāya kṛpayā saṃprasāditaḥ /	tat-menu-graham-ADAya kRpayA saMprasAditaH /
   saṃbodhisādhane cittaṃ sa sthitiṃ karttumarhati // SvayambhuP_8.226 //	saMboDi-sADane cittam sa sTitim karttum-arhati // SvayamBuj-_8.226 //
   iti vijñapya bhūpālasta sya śāstuḥ padāmbuje /	iti vijQapya BUpAlaH-ta sya SAstuH pada-ambuje /
   natvānujñāṃ samāsādya mahotsāhaiḥ puraṃ yayau // SvayambhuP_8.227 //	natvA-anujQAm samAsAdya mahA-utsAhEH puram yayO // SvayamBuj-_8.227 //
   tatra sa nṛpa āśritya samantri sacivo mudā /	tatra sa nRpaH ASritya sa-mantri sacivaH mudA /
   bodhicaryāvrataṃ dhṛtvā tasthau kurvan sadā śubhaṃ // SvayambhuP_8.228 //	boDi-caryA-vratam DRtvA tasTO kurvan sadA SuBam // SvayamBuj-_8.228 //
   iti svayambhū caityāśramanāmasādhanasuvṛṣṭicāraṇo nāmāṣṭamo 'dhyāyaḥ /	iti svayamBU ca-etya-ASrama-nAma-sADanasu-vRzwi-cAraNaH nAma-azwamaH aDyAyaH /
   navama adhyāyaḥ śrīmahācārya śāntikaraguṇasaṃsiddhimahātmyānubhāva	navama aDyAyaH SrI-mahA-AcArya SAnti-kara-guNa-saMsidDi-mahAtmyA-anuBAva
   prakathanapravartano nāma	prakaTana-pravartanaH nAma
   atha maitreya ālokya samutthāya kṛtāñjaliḥ /	aTa mEtreyaH Alokya samutTAya kRtAQjaliH /
   bhagavantaṃ tamānamya prārthayaccaivamādarāt // SvayambhuP_9.1 //	Bagavantam tam-Anamya prArTayat-ca-evam-AdarAt // SvayamBuj-_9.1 //
   kadā śāntikaraṃ nāma tasyābhavat kathaṃ punaḥ /	kadA SAnti-karam nAma tasya-aBavat kaTam punar /
   taddhetuṃ śrotumicchāmi samupādeṣṭumarhati // SvayambhuP_9.2 //	tad-hetum Srotum-icCAmi samupAdezwum-arhati // SvayamBuj-_9.2 //
   iti saṃprārthite tena maitreyeṇa sa sarvavit /	iti saMprArTite tena mEtreyeNa sa sarva-vid /
   bhagavāstaṃ mahāsattvaṃ sampaśyannevamādiśat // SvayambhuP_9.3 //	BagavAH-tam mahAsattvam sampaSyan=-evam-AdiSat // SvayamBuj-_9.3 //
   śṛṇu maitreya vakṣyāmi śāntaśriyāṃ mahadguṇaṃ /	SRNu mEtreya vakzyAmi SAnta-SriyAm mahat-guNam /
   saddharmmasādhanotsāhaṃ bhadraśrīsadgurṇārthadaṃ // SvayambhuP_9.4 //	sadDarmma-sADana-utsAham BadraSrI-sat-gurNa-arTa-dam // SvayamBuj-_9.4 //
   yo 'sau rājā mahāsattvaḥ sadharmmaguṇalālasaḥ /	yaH asO rAjA mahAsattvaH sa-Darmma-guNa-lAlasaH /
   tyaktvā kāmasukhaṃ rājyaṃ tīrthayātrāmupācarat // SvayambhuP_9.5 //	tyaktvA kAma-suKam rAjyam tIrTa-yAtrAm-upAcarat // SvayamBuj-_9.5 //
   sa sarveṣvapi tīrtheṣu snātvā dānaṃ vidhāya ca /	sa sarvezu-api tIrTezu snAtvA dAnam viDAya ca /
