   // atha prathama ullāsaḥ //	// aTa praTamaH ullAsaH //
   ayaṃ vārāmekī nilaya iti ratnākara iti śrito	ayam vArAm-ekI nilayaH iti ratna-AkaraH iti SritaH-
   'smābhistṛṣṇātaralitamanobhirjalanidhiḥ /	asmABiH-tRzNA-taralita-manoBiH-jalaniDiH /
   ka evaṃ jānīte nijakarapuṭīkoṭaragataṃ kṣaṇādenaṃ	kaH evam jAnIte nija-kara-puwI-kowara-gatam kzaNAt-enam
   tāmyattimimakaramāpāsyati muniḥ // 490 //	tAmyat-timimakaram-ApAsyati muniH // 490 //
   samadamataṅgajamadajalanisyandataraṅgiṇīpariṣvaṅgāt /	sa-mada-mataFga-ja-mada-jala-nisyanda-taraFgiNI-parizvaFgAt /
   kṣititilaka tvayi taṭajuṣi śaṃkaracūḍāpagāpi kālindī // 491 //	kzititilaka tvayi tawa-juzi SaMkara-cUxA-ApagA-api kAlindI // 491 //
   (sū- 168)	(sU 168)
   svabhāvoktistu ḍimbhādeḥ svakriyārūpavarṇanam //111//	svaBAvoktiH-tu ximBa-AdeH sva-kriyA-rUpa-varNanam //111//
   svayostadekāśrayayoḥ /	svayoH-tat-eka-ASrayayoH /
   rūpaṃ varṇaḥ saṃsthānaṃ ca /	rUpam varNaH saMsTAnam ca /
   udāharaṇam-- paśvādaṅghrī prasārya trikanativitataṃ drāghayitvāṅgamuccaiḥ	udAharaNam- paSu-At-aFGrI prasArya tri-kanati-vitatam drAGayitvA-aFgam-uccEs-
   āsajyābhugnakaṇṭho mukhamurasi saṭāṃ dhūlidhūmrāṃ vidhūya /	Asajya-ABugna-kaNWaH muKam-urasi sawAm DUli-DUmrAm viDUya /
   ghāsagrāsābhilāṣādanavaratacalatprothatuṇḍasturaṅgo mandaṃ śabdāyamāno	GAsa-grAsa-aBilAzAdana-varata-calat-proTa-tuNxaH-turaFgaH mandam SabdAyamAnaH-
   vilakhati śayanādutthitaḥ kṣmāṃ khureṇa // 492 //	vilaKati SayanAt-utTitaH kzmAm KureNa // 492 //
   (sū- 169)	(sU 169)
   vyājastutirmukhe nindā stutirvā rūḍhiranyathā /	vyAja-stutiH-muKe nindA stutiH-vA rUXiH-anyaTA /
   vyājarūpā vyājena vā stutiḥ /	vyAja-rUpA vyAjena vA stutiH /
   krameṇodāharaṇam-- hitvā tvāmuparodhavanadhyamanasāṃ manye na mauliḥ paro	krameNa-udAharaNam-- hitvA tvAm-uparoDa-vanaDya-manasAm manye na mOliH paraH-
   lajjāvarjanamantareṇa na ramāmanyatra saṃdṛśyate /	lajjA-varjanam-antareNa na ramAm-anyatra saMdRSyate /
   yastyāgaṃ tanutetarāṃ mukhaśatairetyāśritāyāḥ śriyaḥ prāpya	yaH-tyAgam tanu-tetarAm muKa-SatEH-etyASritAyAH SriyaH prApya
   tyāgakṛtāvamānanamapi tvayyeva yasyāḥ sthitiḥ // 493 //	tyAga-kRta-avamAnanam-api tvayi-eva yasyAH sTitiH // 493 //
   he helājitabaudhisacva vacasāṃ kiṃ vistaraistoyadhe nāsti tvatsadṛśaḥ	he helA-ajita-bODisacva vacasAm kim vistarEH-toyaDe na-asti tvad-sadRSaH
   paraḥ parahitādhāne gṛhītavrataḥ /	paraH para-hita-ADAne gRhIta-vrataH /
   tṛṣyatpānthajanopakāraghaṭanāvaimukhyalabdhāyaśo- bhāraprodvahane karoṣi	tRzyat-pAnTa-jana-upakAra-GawanA-vEmuKya-labDa-ayaSo BAra-prodvahane karozi
   kṛpayā sāhāyakaṃ yanmaroḥ // 494 //	kRpayA sAhAyakam yat-maroH // 494 //
   (sū- 170)	(sU 170)
   sā sahauktiḥ sahārthasya balādekaṃ dvivācakam //112//	sA sahOktiH saha-arTasya balAt-ekam dvi-vAcakam //112//
   ekārthābidhāyakamapi sahārthabalāt yat ubhayasyāpyavagamakaṃ sā sahoktiḥ /	eka-arTAbiDAyakam-api saha-arTa-balAt yat uBayasya-api-avagamakam sA sahoktiH /
   yathā saha diahaṇisāhiṃ dīharā sāsadaṇḍā saha maṇivalayehiṃ bāppadhārā	yaTA saha diahaNisAhim dIharA sAsadaNxA saha maNi-valayehim bAppaDArA
   galanti /	galanti /
   tuha suhaa vioe tīa uvviggirīe saha a taṇuladāe dubbalā jīvidāsā // 495 //	tuha suhaa vioe tIaH uvviggirIe saha a taNu-ladAe dubbalA jIvi-dAsAH // 495 //
   śvāsadaṇḍādigataṃ dīrgatvādi śābdam divasaniśādigataṃ tu	SvAsa-daNxa-Adi-gatam dIrga-tva-Adi SAbdam divasa-niSAdi-gatam tu
   sahārthasāmarthyātpratipadyate //	saha-arTa-sAmarTyAt-pratipadyate //
   (sū- 171)	(sU 171)
   vinoktiḥ sā vinānyena yatrānyaḥ sanna netaraḥ /	vinA-uktiH sA vinA-anyena yatra-anyaH sat-na na-itaraH /
   kvacidaśobhanaḥ kvacicchobhanaḥ /	kvacid-aSoBanaH kvacid-SoBanaH /
   krameṇodāharaṇam-- arucirniśayā vinā śaśī śaśinā sāpi vinā mahattamaḥ /	krameNa-udAharaNam- aruciH-niSayA vinA SaSI SaSinA sA-api vinA mahattamaH /
   ubhayena vinā manobhavasphuritaṃ naiva cakāsti kāminoḥ // 496 //	uBayena vinA manoBava-sPuritam na-eva cakAsti kAminoH // 496 //
   mṛgalocanayā vinā vicitravyavahārapratibhāprabhāpragalbhaḥ /	mRga-locanayA vinA vicitra-vyavahAra-pratiBA-praBA-pragalBaH /
   amṛtadyutisundarāśayo 'yaṃ suhṛdā tena vinā narendrasūnuḥ // 497 //	amRta-dyuti-sundara-ASayaH ayam suhRdA tena vinA narendra-sUnuH // 497 //
   (sū- 172)	(sU 172)
   parivṛttirvinimayo yo 'rthānāṃ syātsamāsamaiḥ //113//	parivRttiH-vinimayaH yaH arTAnAm syAt-samA-samEH //113//
   parivṛttiralaṃkāraḥ /	parivRttiH-alaMkAraH /
   udāharaṇam-- latānāmetāsāmuditakusumānāṃ marudayaṃ mataṃ lāsyaṃ datvā	udAharaNam- latAnAm-etAsAm-udita-kusumAnAm marudayam matam lAsyam datvA
   śrayati bhṛśamāmodamasamam /	Srayati BRSam-Amodam-asamam /
   latāstvadhvanyānāmahaha dṛśamādāya sahasā	latAH-tu-aDvanyAnAm-ahaha dRSam-AdAya sahasA
   dadatyādhivyādhibhramiruditamohavyatikaram // 498 //	dadati-ADivyADi-Brami-H-udita-moha-vyatikaram // 498 //
   atra prathame 'rdhe samena samasya dvitīye, uttamena nyūnasya /	atra praTame arDe samena samasya dvitIye, uttamena nyUnasya /
   nānāvidhapraharaṇairnṛpa saṃprahāre svīkṛtya dāruṇaninādavataḥ prahārān /	nAnAviDa-praharaNEH-nRpa saMprahAre svIkRtya dAruNa-ninAdavataH prahArAn /
   dṛpātārivīravisareṇa vasuṃdhareyaṃ nirvipralambhaparirambhavidhirvitīrṇā	dRpAtAri-vIra-visareNa vasuMDarA-iyam nirvipralamBa-pariramBa-viDiH-vitIrNA
   atra nyūnenottamasya //	atra nyUnena-uttamasya //
   (sū- 173)	(sU 173)
   pratyakṣā iva yadbhāvāḥ kriyante bhūtabhāvinaḥ /	pratyakzAH iva yad-BAvAH kriyante BUta-BAvinaH /
   tadbhāvikam	tad-BAvikam
   bhūtāśva bhāvinaśveti dvandvaḥ /	BUtASva BAvinaSvA-iti dvandvaH /
   bhāvaḥ kaverabhiprāyo 'trāstīti bhāvikam /	BAvaH kaveH-aBiprAyaH atra-asti-iti BAvikam /
   udāharaṇam-- āsīdañjanamatreti paśyāmi tava locane /	udAharaNam- AsIt-aQjanam-atra-iti paSyAmi tava locane /
   bhāvibhūṣaṇasaṃbhārāṃ sākṣātkurve tavākṛtim // 500 //	BAvi-BUzaNa-saMBArAm sAkzAt-kurve tava-AkRtim // 500 //
   ādye bhūtasya dvitīye bhāvino darśanam //	Adye BUtasya dvitIye BAvinaH darSanam //
   (sū- 174)	(sU 174)
   kāvyaliṅgaṃ hetorvākyapadārthatā //114//	kAvya-liFgam hetoH-vAkya-padArTa-tA //114//
   vākyārthatā yathā vapuḥprādurbhāvādanumitamidaṃ janmani purā purāre na	vAkya-arTa-tA yaTA vapuH-prAdurBAvAt-anumitam-idam janmani purA purAre na
   prāyaḥ kvacidapi bhavantaṃ praṇatavān /	prAyas kvacid-api Bavantam praNatavAn /
   naman muktaḥ saṃpratyahamatanuragre 'pyanatibhāk maheśa kṣantavyaṃ	naman muktaH saMprati-aham-atanuH-agre api-anatiBAj maheSa kzantavyam
   tadidamaparādhadvayamapi // 501 //	tat-idam-aparADa-dvayam-api // 501 //
   anekapadārthatā yathā praṇayisakhīsalīlaparihāsarasādhigatai-	aneka-padArTa-tA yaTA praNayi-saKI-sa-lIla-parihAsa-rasa-aDigatE-
   rlalitaśirīṣapuṣpahananairapi tāmyati yat /	rlalita-SirIza-puzpa-hananEH-api tAmyati yat /
   vapuṣi vadhāya tatra tava śastramupakṣipataḥ patatu śirasyakāṇḍayamadaṇḍa	vapuzi vaDAya tatra tava Sastram-upakzipataH patatu Sirasi-akANxayama-daNxa
   ivaiṣa bhujaḥ // 502 //	iva-eza BujaH // 502 //
   ekapadārthatā yathā bhasmoddhūlana bhadramastu bhavate rudrākṣamāle śubhaṃ	eka-padArTa-tA yaTA Basma-udDUla-na Badram-astu Bavate rudrAkza-mAle SuBam
   hā sopānaparaṃparāṃ girisutākāntālayālaṃkṛtim /	hA sopAna-paraMparAm girisutA-kAnta-AlayA-alaMkRtim /
   adyārādhanatoṣitena vibhunā yuṣmatsaparyāsukhā- lokocchedini mokṣanāmani	adya-ArADana-tozitena viBunA yuzmad-saparya-asuKA loka-ucCedini mokza-nAmani
   mahāmohe nidhīyāmahe // 503 //	mahA-mohe niDIyAmahe // 503 //
   eṣu, aparādhadvaye pūrvāparajanmanoranamanam bhujapāte śastropakṣepaḥ,	ezu, aparADa-dvaye pUrva-apara-jan-manoH-a-namanam Buja-pAte Sastra-upakzepaH,
   mahāmohe sukhāvalokoccheditvaṃ ca yathākramamuktarūpo hetuḥ //	mahA-mohe suKa-avaloka-ucCedi-tvam ca yaTAkrama-mukta-rUpaH hetuH //
   (sū- 175)	(sU 175)
   paryāyoktaṃ vinā vācyavācakatvena yadvacaḥ /	paryAya-uktam vinA vAcya-vAcaka-tvena yat-vacaH /
   vācyavācakabhāvavyatiriktenāvagamanavyāpāreṇa yat pratipādanaṃ tat	vAcya-vAcaka-BAva-vyatiriktena-avagamana-vyApAreNa yat pratipAdanam tat-
   paryāyeṇa, bhaṅgyantareṇa kathanāt paryāyoktam /	paryAyeNa, BaFgi-antareNa kaTanAt paryAya-uktam /
   udāharaṇam-- yaṃ prekṣya cirarūḍhāpi nivāsaprītirujjhitā /	udAharaNam- yam prekzya cira-rUXA-api nivAsa-prItiH-ujJitA /
   madenairāvaṇamukhe mānena hṛdaye hareḥ // 504 //	madena-ErAvaNa-muKe mAnena hRdaye hareH // 504 //
   atra, airāvaṇaśakrau madamānamuktau jātāviti vyaṅgyamapi śabdenocyate tena	atra, ErAvaNa-SakrO mada-mAna-muktO jAtO=-iti vyaFgyam-api Sabdena-ucyate tena
   yadevocyate tadeva vyaṅgyam /	yat-eva-ucyate tat-eva vyaFgyam /
   yathā tu vyaṅgyaṃ na tathocyate /	yaTA tu vyaFgyam na taTA-ucyate /
   yathā gavi śukle calati dṛṣṭe "gauḥ śuklaśvalati'; iti vikalpaḥ /	yaTA gavi Sukle calati dRzwe "gOH Sukla-Svalati-a; iti vikalpaH /
   yadeva dṛṣṭaṃ tadeva vikalpayati na tu yathā dṛṣṭaṃ tathā /	yat-eva dRzwam tat-eva vikalpayati na tu yaTA dRzwam taTA /
   yato 'bhinnāsaṃsṛṣṭatvenadṛṣṭam /	yatas aBinna-asaMsRzwa-tvena-dRzwam /
   bhedasaṃsargābhyāṃ vikalpayati //	Beda-saMsargAByAm vikalpayati //
   (sū- 176)	(sU 176)
   udāttaṃ vastunaḥ saṃpat	udAttam vastunaH saMpad-
   saṃpat samṛddhiyogaḥ /	saMpad samRdDi-yogaH /
   yathā muktāḥ kelivisūtrahāragalitāḥ saṃmārjanībhirhṛtāḥ prātaḥ	yaTA muktAH keli-visUtra-hAra-galitAH saMmArjanIBiH-hRtAH prAtar-
   prāṅgaṇasīmni mantharacaladbālāṅgrilākṣāruṇāḥ /	prAFgaNa-sImni manTara-calat-bAla-aFgri-lAkzA-aruNAH /
   dūrāddāḍimabījaśaṅkitadhiyaḥ karṣanti kelīśukāḥ yadvidvadbhavaneṣu	dUrAt-dAxima-bIja-SaFkita-DiyaH karzanti kelI-SukAH yat-vidvat-Bavanezu
   bhojanṛpatestat tyāgalīlāyitam // 505 //	Boja-nRpateH-tat tyAga-lIlAyitam // 505 //
   (sū- 177)	(sU 177)
   mahatāṃ copalakṣaṇam //115//	mahatAm ca-upalakzaNam //115//
   upalakṣaṇamaṅgabhāvaḥ, arthādupalakṣaṇīye 'rthe /	upalakzaNam-aFga-BAvaH, arTAt-upalakzaNIye arTe /
   udāharaṇam-- tadidamaraṇyaṃ yasmin daśarathavacanānupālanavyasanī /	udAharaNam- tat-idam-araNyam yasmin daSaraTa-vacana-anupAlana-vyasanI /
   nivasan bāhusahāyaśvakāra rakṣaḥkṣayaṃ rāmaḥ // 506 //	nivasan bAhu-sahAya-SvakAra rakzaH-kzayam rAmaH // 506 //
   na cātra vīro rasaḥ, tasyehāṅgatvāt //	na ca-atra vIraH rasaH, tasya-iha-aFga-tvAt //
   (sū- 178)	(sU 178)
   tatsiddhihetāvekasmin yatrānyattatkaraṃ bhavet /	tad-sidDi-hetO=-ekasmin yatra-anyat-tat-karam Bavet /
   samuccayo 'sau	samuccayaH asO
   tasya prastutasya kāryasya, ekasmin sādhake sthite sādhakāntarāṇi yatra	tasya prastutasya kAryasya, ekasmin sADake sTite sADaka-antarANi yatra
   saṃbhavanti sa samuccayaḥ /	saMBavanti sa samuccayaH /
   udāharaṇam-- durvārāḥ smahamārgaṇāḥ priyatamo dūre mano 'tyutsukaṃ gāḍhaṃ	udAharaNam- durvArAH smaha-mArgaNAH priyatamaH dUre manaH ati-utsukam gAXam
   preṇa navaṃ vayo 'tikaṭhināḥ prāṇāḥ kulaṃ nirmalam /	preNa navam vayaH ati-kaWinAH prANAH kulam nirmalam /
   strītvaṃ dhairyavirodhi manmathasuhṛt kālaḥ kṛtānto 'kṣamo no	strI-tvam DErya-viroDi manmaTa-suhRd kAlaH kRtAntaH akzamaH na-u
   sakhyaśvaturāḥ kathaṃ nu virahaḥ soḍhavya itthaṃ śaṭhaḥ // 507 //	saKyaSvaturAH kaTam nu virahaH soXavyaH itTam SaWaH // 507 //
   atra virahāsahatvaṃ smaramārgaṇā eva kurvanti tadupari	atra viraha-asaha-tvam smara-mArgaNAH eva kurvanti tad-upari
   priyatamadūrasthityādi, upāttam /	priyatama-dUra-sTiti-Adi, upAttam /
   eṣa eva samuccayaḥ sadyoge 'sadyoge sadasadyoge ca paryavasyatīti na	ezaH eva samuccayaH sat-yoge asat-yoge sat-asat-yoge ca paryavasyati-iti na
   pṛthaklakṣyate /	pRTak-lakzyate /
   tathāhi-- kulamamalinaṃ bhadrā mūrtirmatiḥ śrutiśālinī bhujabalamalaṃ	taTA-hi- kulam-amalinam BadrA mUrtiH-matiH Sruti-SAlinI Buja-bala-m-alam
   sphītā lakṣmīḥ prabhutvamakhaṇḍitam /	sPItA lakzmIH praBu-tvam-aKaNxitam /
   prakṛtisubhagā hyete bhāvā amībhirayaṃ jano vrajati sutarāṃ darpaṃ rājan	prakRti-suBagAH hi-ete BAvAH amIBiH-ayam janaH vrajati sutarAm darpam rAjan
   ta eva tavāṅkuśāḥ // 508 //	te eva tava-aFkuSAH // 508 //
   atra satāṃ yogaḥ /	atra satAm yogaH /
   uktodāharaṇe tvasatāṃ yogaḥ /	ukta-udAharaNe tu-asatAm yogaH /
   śaśī divasadhūsaro galatayauvanā kāminī saro vigatavārijaṃ mukhamanakṣaraṃ	SaSI divasa-DUsaraH galatayOvanA kAminI saraH vigata-vAri-jam muKam-anakzaram
   svākṛteḥ /	svAkRteH /
   prabhurdhanaparāyaṇaḥ satatadurgataḥ sajjano nṛpāṅgaṇagataḥ khalo manasi	praBuH-Dana-parAyaNaH satata-durgataH sat-janaH nRpa-aFgaNa-gataH KalaH manasi
   sapta śalyāni me // 509 //	sapta SalyAni me // 509 //
   atra śaśini dhūsare śalye śalyāntarāṇīti śobhanāśobhanayogaḥ /	atra SaSini DUsare Salye Salya-antarANi-iti SoBana-ASoBana-yogaH /
   (sū- 179)	(sU 179)
   sa tvanyo yugapad yā guṇakriyāḥ //116//	sa tu-anyaH yugapad yAH guNa-kriyAH //116//
   guṇau ca kriye ca guṇakriye ca guṇakriyāḥ /	guNO ca kriye ca guNa-kriye ca guNa-kriyAH /
   krameṇodāharaṇam-- vidalitasagalārikulaṃ tava balamidamabhavadāśu vimalaṃ	krameNa-udAharaNam- vidalita-sagala-ari-kulam tava balam-idam-aBavat-ASu vimalam
   ca /	ca /
   prakhalamukhāni narādhipa malināni ca tāni jātāni // 510 //	praKala-muKAni narADipa malinAni ca tAni jAtAni // 510 //
   ayamekapade tayā viyogaḥ priyayā copanataḥ suduḥsaho me /	ayam-eka-pade tayA viyogaH priyayA ca-upanataH su-duHsahaH me /
   navavāridharodayādahobhirbhavitavyaṃ ca nirātapatvaramyaiḥ // 511 //	nava-vAri-Dara-udayAt-ahoBiH-Bavitavyam ca nirAtapa-tva-ramyEH // 511 //
   kaluṣaṃ ca tavāhiteṣvakasmātsitapaṅkeruhasodaraśri cakṣuḥ /	kaluzam ca tava-Ahitezu-akasmAt-sita-paFkeruha-sodara-Sri cakzuH /
   patitaṃ ca mahīpatīndra teṣāṃ vapuṣi prasphuṭamāpadāṃ kaṭākṣaiḥ // 512 //	patitam ca mahIpati-indra tezAm vapuzi prasPuwam-ApadAm kawAkzEH // 512 //
   "dhunoti cāsiṃ tanute ca kīrtim'; ityādeḥ "kṛpāṇapāṇiśva bhavān raṇakṣitau	"Dunoti ca-asim tanute ca kIrtim-a; iti-AdeH "kRpANa-pANiSva BavAn raNa-kzitO
   sasādhuvādāśva surāḥ surālaye'; ityādeśva darśanāt "vyadhikaraṇe'; iti	sa-sADu-vAda-aSva surAH surAlaye-a; iti-AdeSva darSanAt "vyaDikaraNe-a; iti
   "ekasmin deśe'; iti ca na vācyam //	"ekasmin deSe-a; iti ca na vAcyam //
   (sū- 180)	(sU 180)
   ekaṃ krameṇānekasmin paryāyaḥ	ekam krameNa-anekasmin paryAyaH
   ekaṃ vastu krameṇānekasmin bhavati kriyate vā sa paryāyaḥ /	ekam vastu krameNa-anekasmin Bavati kriyate vA sa paryAyaH /
   krameṇodāharaṇam-- nanvāśrayasthitiriyaṃ tava kālakūṭa	krameNa-udAharaNam- nanu-ASraya-sTitiH-iyam tava kAlakUwa
   kenottarottaraviśiṣṭapadopadiṣṭā /	kena-uttarottara-viSizwa-pada-upadizwA /
   prāgarṇavasya hṛdaye vṛṣalakṣmaṇo 'tha kaṇṭhe 'dhunā vasasi vāci punaḥ	prAc-arNavasya hRdaye vRza-lakzmaNaH aTa kaNWe aDunA vasasi vAci punar-
   khalānām // 513 //	KalAnAm // 513 //
   bimboṣṭha eva rāgaste tanvi pūrvamadṛśyata /	bimba-uzWaH eva rAgaH-te tanvi pUrvam-adRSyata /
   adhunā hadaye 'pyeṣa mṛgaśāvākṣi lakṣyate // 514 //	aDunA hadaye api-eza mRgaSAva-akzi lakzyate // 514 //
   rāgasya vastuto bhede 'pyekatayā dhyavasitatvādekatvamaviruddham /	rAgasya vastutas Bede api-ekatayA Dyavasita-tvAt-eka-tvam-avirudDam /
   taṃ tāṇa sirisahoararaaṇāharaṇammi hiaamekkarasaṃ /	tam tANa siri-sahoa-ra-raaNa-AharaNammi hiaam-ekka-rasam /
   bimbāhare piāṇaṃ ṇivesiaṃ kusumabāṇeṇa // 515 //	bimba-ahare piANam Nivesiam kusuma-bANeNa // 515 //
   (sū- 181)	(sU 181)
   anyastato 'nyathā /	anyaH-tatas anyaTA /
   anekamekasmin krameṇa bhavati kriyate vā so 'nyaḥ /	anekam-ekasmin krameNa Bavati kriyate vA saH anyaH /
   krameṇodāharaṇam-- madhurimaruciraṃ vacaḥ khalānāmamṛtamaho prathamaṃ	krameNa-udAharaNam- maDurima-ruciram vacaH KalAnAm-amRtam-aho praTamam
   pṛthu vyanakti /	pRTu vyanakti /
   atha kathayati mohahetumantargatamiva hālahalaṃ viṣaṃ tadeva // 516 //	aTa kaTayati moha-hetum-antargatam-iva hAla-halam vizam tat-eva // 516 //
   tadgehaṃ natabhitti mandiramidaṃ labdhāvakāśaṃ divaḥ sā dhenurjaratī	tat-geham nata-Bitti mandiram-idam labDa-avakASam divaH sA DenuH-jaratI
   nadanti kariṇāmetā ghanābhā ghaṭāḥ /	nadanti kariNAm-etAH Gana-ABAH GawAH /
   sa kṣudro mukaladhvaniḥ kalamidaṃ saṃgītakaṃ yoṣitām āśvaryaṃ	sa kzudraH mukala-DvaniH kalam-idam saMgItakam yozitAm ASvaryam
   divasairdvijo 'miyatīṃ bhūmiṃ samāropitaḥ // 517 //	divasEH-dvijaH amiyatIm BUmim samAropitaH // 517 //
   atra, ekasyaiva hānopādānayoravivakṣitatvāt na parivṛttiḥ //	atra, ekasya-eva hAna-upAdAnayoH-avivakzita-tvAt na parivRttiH //
   (sū- 182)	(sU 182)
   anumānaṃ taduktaṃ yat sādhyasādhanayorvacaḥ //117//	anumAnam tat-uktam yat sADya-sADanayoH-vacaH //117//
   pakṣadharmānvayavyatirekitvena trirūpo hetuḥ sādhanam /	pakza-Darma-anvaya-vyatireki-tvena tri-rUpaH hetuH sADanam /
   dharmiṇi, ayogavyavacchedo vyāpakasya sādhyatvam /	DarmiNi, ayoga-vyavacCedaH vyApakasya sADya-tvam /
   yathā yatraitā laharīcalācaladṛśo vyāpārayanti bhruvaṃ yat tatraiva	yaTA yatra-etAH laharI-cala-acala-dRSaH vyApArayanti Bruvam yat tatra-eva
   patanti saṃtatamamī marmaspṛśo mārgaṇāḥ /	patanti saMtatam-amI marma-spRSaH mArgaNAH /
   taccakrīkṛtacāpamañcitaśarapreṅkhatkaraḥ krodhano dhāvatyagrata eva	tat-cakrIkRta-cApa-maQcita-Sara-preFKat-karaH kroDanaH DAvati-agratas eva
   śāsanadharaḥ satyaṃ sadāsāṃ smaraḥ // 518 //	SAsana-DaraH satyam sadA-AsAm smaraH // 518 //
   sādhyasādhanayoḥ paurvāparyavikalpe na kiṃcidvaicitryamiti na tathā	sADya-sADanayoH pOrvAparya-vikalpe na kiMcid-vEcitryam-iti na taTA
   darśitam //	darSitam //
   (sū- 183)	(sU 183)
   viśeṣaṇairyatsākūtairuktiḥ parikarastu saḥ /	viSezaNEH-yat-sA-kUtEH-uktiH parikaraH-tu saH /
   arthādviśeṣyasya /	arTAt-viSezyasya /
   udāharaṇam-- mahaujaso mānadhanā dhanārcitā dhanurbhṛtaḥ saṃyati	udAharaNam-- mahA-ojasaH mAna-DanA Dana-arcitAH DanurBRtaH saMyati
   labdhakīrtayaḥ /	labDa-kIrtayaH /
   na saṃhatāstasya na bhedavṛttayaḥ priyāṇi vāñchantyasubhiḥ samīhitum //	na saMhatAH-tasya na Beda-vRttayaH priyANi vAQCanti-asuBiH samIhitum //
   yadyapyapuṣṭārthasya doṣatābhidhānāttannirākaraṇena puṣṭārthasvīkāraḥ	yadi-api-apuzwa-arTasya doza-tA-aBiDAnAt-tad-nirAkaraNena puzwa-arTa-svIkAraH
   kṛtaḥ, tathāpyekaniṣṭhatvena bahūnāṃ viśeṣaṇānāmevamupanyāse	kRtaH, taTA-api-eka-nizWatvena bahUnAm viSezaNAnAm-evam-upanyAse
   vaicitryamityalaṃkāramadhye gaṇitaḥ //	vEcitryam-iti-alaMkAra-maDye gaNitaH //
   (sū- 184)	(sU 184)
   vyājauktiśchajhanodbhinnavasturūpanigūhanam //118//	vyAjOktiH-CaJana-udBinna-vastu-rUpa-nigUhanam //118//
   nigūḍhamapi vastuno rūpaṃ kathamapi prabhinnaṃ kenāpi vyapadeśena	nigUXam-api vastunaH rUpam kaTam-api praBinnam kena-api vyapadeSena
   yadapahnūyate sā vyājoktiḥ /	yat-apahnUyate sA vyAja-uktiH /
   na caiṣāpahnutiḥ prakṛtāprakṛtobhayaniṣṭhasya sāmyasyehāsaṃbhavāt /	na ca-ezA-apahnutiH prakRta-aprakRta-uBaya-nizWasya sAmyasya-iha-asaMBavAt /
   udāharaṇam-- śailendrapratipādyamānagirijāhastopagūḍhollasad--	udAharaNam- SElendra-pratipAdyamAna-girijA-hasta-upagUXa-ullasa-d--
   romāñcādivisaṃṣṭhulākhilavidhivyāsaṅgabhaṅgākulaḥ /	romAQca-Adi-visaMzWula-aKila-viDi-vyAsaFga-BaFga-AkulaH /
   hā śaityaṃ tuhinācalasya karayorityūcivān sasmitaṃ	hA SEtyam tuhinAcalasya karayoH-iti-UcivAn sa-smitam
   śailāntaḥpuramātṛmaṇḍalagaṇairdṛṣṭo 'vatādvaḥ śivaḥ // 520 //	SEla-antaHpura-mAtR-maNxala-gaNEH-dRzwaH avatAt-vaH SivaH // 520 //
   atra pulakavepathū sācikarūpatayā prasṛtau śaityakāraṇatayā	atra pulaka-vepaTU sAcika-rUpa-tayA prasRtO SEtya-kAraNa-tayA
   prakāśitatvādapalapitasvarūpau vyājoktiṃ prayojayataḥ //	prakASita-tvAt-apalapita-svarUpO vyAja-uktim prayojayataH //
   (sū- 185)	(sU 185)
   kiṃcit pṛṣṭamapṛṣṭaṃ vā kathitaṃ yat prakalpate /	kiMcid pRzwam-apRzwam vA kaTitam yat prakalpate /
   tādṛganyavyapohāya parisaṃkhyā tu sā smṛtā //119//	tAdRS-anya-vyapohAya parisaMKyA tu sA smRtA //119//
   pramāṇāntarāvagatamapi vastu śabdena pratipāditaṃ prayojanāntarābhāvāt	pramANa-antara-avagatam-api vastu Sabdena pratipAditam prayojana-antara-aBAvAt
   sadṛśavastvantaravyavacchedāya yat paryavasyati sā bhavetparisaṃkhyā /	sadRSa-vastu-antara-vyavacCedAya yat paryavasyati sA Bavet-parisaMKyA /
   atra ca kathanaṃ praśnapūrvakaṃ tadanyathā va paridṛṣṭam /	atra ca kaTanam praSna-pUrvakam tat-anyaTA va paridRzwam /
   tathā, ubhayatra vyapohyamānasya pratīyamānatā vācyatvaṃ ceti catvāro	taTA, uBayatra vyapohyamAnasya pratIyam-Ana-tA vAcya-tvam ca-iti catvAraH-
   bhedāḥ /	BedAH /
   krameṇodāharaṇam-- kimāsevya puṃsāṃ savidhamanavadyaṃ dyusaritaḥ kimekānte	krameNa-udAharaNam- kim-Asevya puMsAm sa-viDam-anavadyam dyusaritaH kim-ekAnte
   dhyeyaṃ caraṇayugalaṃ kaustubhabhṛtaḥ /	Dyeyam caraNa-yugalam kOstuBa-BRtaH /
   kimārādhyaṃ puṇyaṃ kimabilaṣaṇīyaṃ ca karuṇā yadāsaktyā ceto	kim-ArADyam puNyam kim-abilazaNIyam ca karuNA yadAsaktyA cetaH-
