   Abhidharmasamuccaya	ABiDarma-samuccaya
   arthābhisamayaḥ katamaḥ satyādhipateyeṣu dharmeṣu adhimātrāyāḥ satyeṣu	arTa-aBisamayaH katamaH satya-aDipateyezu Darmezu aDimAtrAyAH satyezu
   dhamanidhyānakṣānteḥ pratilambhaḥ / sā kṣānti nirvedhabhāgīyāvasthāṃ gatā	Dama-niDyAna-kzAnteH pratilamBaH / sA kzAnti nirveDa-BAgIya-avasTAm gatA
   / sā punastrividhena yoniśo manaskāreṇa prabhāvitā / sa trividhastu	/ sA punar-triviDena yoniSas manaskAreNa praBAvitA / sa triviDaH-tu
   adhimātramṛduḥ adhimātramadhyo 'dhimātrādhimātraśca //	aDimAtra-mRduH aDimAtra-maDyaH aDimAtra-aDimAtraH-ca //
   tattvābhisamayaḥ katamaḥ / ṣoḍaśe darśanamārgacittakṣaṇe ya āryamārgaṃ	tattva-aBisamayaH katamaH / zoxaSe darSana-mArga-citta-kzaNe yaH Arya-mArgam
   pratilabhate / darśanamārge punaḥ satye vyavasthāpanādyabhisamayāntikāni	pratilaBate / darSana-mArge punar satye vyavasTApana-Adi-aBisamaya-antikAni
   saṃmukhīkaroti / bhāvanāmārge tatsaṃvṛtijñānāni pratilabhate na tu	saMmuKIkaroti / BAvanA-mArge tad-saMvRti-jQAnAni pratilaBate na tu
   saṃmukhīkaroti / bhāvanāmārge tatsaṃvṛtijñānabalena saṃmukhīkaroti /	saMmuKIkaroti / BAvanA-mArge tad-saMvRti-jQAna-balena saMmuKIkaroti /
   pṛṣṭhābhisamayaḥ katamaḥ / sarvo bhāvanāmārgaḥ //	pRzWa-aBisamayaH katamaH / sarvaH BAvanA-mArgaH //
   ratnābhisamayaḥ katamaḥ / buddhe 'vetya prasādaḥ dharme 'tya prasādaḥ	ratna-aBisamayaH katamaH / budDe avetya prasAdaH Darme atya prasAdaH
   saṃghe 'vetya prasādaḥ //	saMGe avetya prasAdaH //
   asamudācārābhisamayaḥ katamaḥ / akāraṇasaṃvaralābhāt śikṣāgatasya	asamudAcAra-aBisamayaH katamaH / akAraNa-saMvara-lABAt SikzA-gatasya
   yadātmano narakakṣayaṃ tiryagyonikṣayaḥ pretayonikṣayaḥ	yadA-AtmanaH naraka-kzayam tiryagyoni-kzayaH preta-yoni-kzayaH
   avāṅpatanadurgatikṣayaḥ iti / na punarupādāya tad durgatikarma	avAFpatana-durgati-kzayaH iti / na punar-upAdAya tat durgati-karma
   durgativipāko 'bhinirvarttate /	durgati-vipAkaH aBinirvarttate /
   niṣṭhābhisamayaḥ katamaḥ / yathā mārgasatye niṣṭhāmārga uktaḥ //	nizWA-aBisamayaH katamaH / yaTA mArga-satye nizWA-mArgaH uktaH //
   śrāvakābhisamayaḥ katamaḥ / pūrvoktaḥ saptavidho 'bhisamayaḥ / śrāvakāṇāṃ	SrAvaka-aBisamayaH katamaH / pUrva-uktaH saptaviDaH aBisamayaH / SrAvakANAm
   parato ghoṣamāgamya pratilambhataḥ śrāvakābhisamaya ityucyate //	paratas Gozam-Agamya pratilamBataH SrAvaka-aBisamayaH iti-ucyate //
   (Abhidh-s 94)	(a-aBiD-H 94)
   pratyekabuddhābhisamayaḥ katamaḥ / pūrvoktāḥ saptābhisamayāḥ / parato	pratyekabudDa-aBisamayaH katamaH / pUrva-uktAH sapta-aBisamayAH / paratas-
   ghoṣamanāgamya pratilambhataḥ pratyekabuddhābhisamaya ityucyate //	Gozam-anAgamya pratilamBataH pratyekabudDa-aBisamayaH iti-ucyate //
   bodhisattvābhisamayaḥ katamaḥ / pūrvokteṣu saptābhisamayeṣu yā	boDisattva-aBisamayaH katamaH / pUrva-uktezu sapta-aBisamayezu yA
   samudāgamakṣāntiḥ no tu sakṣātkiryā / kevalaṃ bodhisattva pramuditābhūmau	samudAgama-kzAntiH no tu sakzAt-kiryA / kevalam boDisattva pramuditA-aBUmO
   bodhisattvasya samyaktvaniyāmāvakrāntiḥ / sā bodhisattvābhisamayo	boDisattvasya samyaktva-niyAma-avakrAntiH / sA boDisattva-aBisamayaH-
   veditavyāḥ //	veditavyAH //
   śrāvakābhisamayāt bodhisattvābhisamayasya ko viśeṣaḥ / saṃkṣepata ekādaśa	SrAvaka-aBisamayAt boDisattva-aBisamayasya kaH viSezaH / saMkzepate ekAdaSa
   / ālambanaviśeṣaḥ upastambhaviśeṣaḥ prativedhaviśeṣaḥ abhyupagamaviśeṣaḥ	/ Alambana-viSezaH upastamBa-viSezaH prativeDa-viSezaH aByupagama-viSezaH
   niryāṇaviśeṣaḥ parigrahaviśeṣaḥ vyavasthānaviśeṣaḥ	niryANa-viSezaH parigraha-viSezaH vyavasTAna-viSezaH
   pratiṣṭhāparivāraviśeṣaḥ abhijanmaviśeṣaḥ janmaviśeṣaḥ phalaviśeṣaśca /	pratizWA-parivAra-viSezaH aBijanma-viSezaH janma-viSezaH Pala-viSezaH-ca /
   phalaviśeṣaḥ punardaśavidhaḥ / āśrayaparivṛttiviśeṣataḥ	Pala-viSezaH punar-daSaviDaH / ASraya-parivRtti-viSezataH
   guṇasamṛddhiviśeṣataḥ pañcākāraviśeṣataḥ trikāyaviśeṣataḥ nirvāṇaviśeṣataḥ	guNa-samRdDi-viSezataH paQca-AkAra-viSezataH trikAya-viSezataH nirvANa-viSezataH
   miśropamiśrajñānaśaktilābhaviśeṣataḥ āvaraṇaviśuddhiviśeṣataḥ	miSra-upamiSra-jQAna-Sakti-lABa-viSezataH AvaraNa-viSudDi-viSezataH
   miśropamiśrakarmakriyāviśeṣataḥ abhisaṃbodhinirvāṇasandarśanopāyaviśeṣataḥ	miSra-upamiSra-karma-kriyA-viSezataH aBisaMboDi-nirvANa-sandarSana-upAya-viSezataH
   pañcākāraparitrāṇaviśeṣataśca veditavyaḥ //	paQca-AkAra-paritrANa-viSezataH-ca veditavyaH //
   apramāṇādivaiśeṣikaguṇānāṃ katamairabhisamayaiḥ saṃgrahaḥ /	apramANa-Adi-vESezika-guNAnAm katamEH-aBisamayEH saMgrahaH /
   pṛṣṭhābhisamayaniṣṭhābhisamayābhyāṃ saṃgraho veditavyaḥ // teṣāṃ saṃgrahaḥ	pRzWa-aBisamaya-nizWA-aBisamayAByAm saMgrahaH veditavyaH // tezAm saMgrahaH
   punaḥ katamaḥ / apramāṇāni vimokṣāḥ abhibhvāyatanāni kṛtsāyatanāni	punar katamaH / apramANAni vimokzAH aBiBva-AyatanAni kRtsa-AyatanAni
   araṇāpraṇīdhijñānam pratisaṃvidaḥ abhijñā lakṣaṇānuvyañjanāni	araNA-praNIDi-jQAnam pratisaMvidaH aBijQA lakzaNa-anuvyaQjanAni
   pariśuddhayaḥ valāni vaiśāradyāni smṛtyupasthānāni arakṣāṇi	pariSudDayaH valAni vESAradyAni smRti-upasTAnAni arakzANi
   asaṃpramoṣadharmatā vāsanāsamuddhātaḥ mahākaruṇā āveṇikā buddhadharmāḥ	asaMpramoza-Darma-tA vAsanA-samudDAtaH mahA-karuNAH AveNikAH budDa-DarmAH
   sarvākārajñatā ityevamādayo guṇā yathā sūtrāntareṣu nirdiṣṭāḥ //	sarva-AkAra-jQa-tA iti-evamAdayaH guNAH yaTA sUtra-antarezu nirdizwAH //
   apramāṇāni katamāni / catvāri apramāṇāni / maitrī katamā / dhyānaṃ	apramANAni katamAni / catvAri apramANAni / mEtrI katamA / DyAnam
   niśritya sattvāḥ sukhena saṃprayujyeranniti vihārasamṛddhau samādhiḥ	niSritya sattvAH suKena saMprayujyeran=-iti vihAra-samRdDO samADiH
   prajñā tatsaṃprayuktāśca cittacaitasikā dharmāḥ // karuṇā katamā / dhyānaṃ	prajQA tad-saMprayuktAH-ca citta-cEtasikAH DarmAH // karuNA katamA / DyAnam
   niśritya sattvā duḥkhena viyujyeranniti vihārasamṛddhau samādhiḥ prajñā	niSritya sattvAH duHKena viyujyeran=-iti vihAra-samRdDO samADiH prajQA
   śeṣaṃ pūrvavat // muditā katamā / (Abhidh-s 95) dhyānaṃ niśritya sattvāḥ	Sezam pUrvavat // muditA katamA / (a-aBiD-H 95) DyAnam niSritya sattvAH
   sukhena na viyujyeranniti vihārasamṛddhau samādhiḥ prajñā śeṣaṃ pūrvavat	suKena na viyujyeran=-iti vihAra-samRdDO samADiH prajQA Sezam pUrvavat-
   // upekṣā katamā / dhyānaṃ niśritya sattvā hita labheranniti	// upekzA katamA / DyAnam niSritya sattvAH hita laBeran=-iti
   vihārasamṛddhau samādhiḥ prajñā śeṣaṃ pūrvavat //	vihAra-samRdDO samADiH prajQA Sezam pUrvavat //
   vimokṣāḥ katame / aṣṭau vimokṣāḥ / kathaṃ rūpī rūpāṇi paśyatīti / dhyānaṃ	vimokzAH katame / azwO vimokzAH / kaTam rUpI rUpANi paSyati-iti / DyAnam
   niśritya adhyātmaṃ draṣṭari rūpasaṃjñāyā avibhāvānād draṣṭarī	niSritya aDyAtmam drazwari rUpa-saMjQAyAH aviBAvAnAt drazwarI
   rūpasaṃjñāyāḥ saṃniveśanād vā dṛśya rūpādi paśyatīti vihārasamṛddho	rUpa-saMjQAyAH saMniveSanAt vA dRSya rUpa-Adi paSyati-iti vihAra-samRdDaH-
   samādhiḥ prajñā tatsaṃprayuktāśca cittacaitasikā dharmāḥ yāvad	samADiH prajQA tad-saMprayuktAH-ca citta-cEtasikAH DarmAH yAvat-
   nirmāṇāvaraṇād vimuktiḥ // kathamadhyātmamarūpasaṃjñī vahirddhā rūpāṇi	nirmANa-AvaraNAt vimuktiH // kaTam-aDyAtmam-a-rUpa-saMjQI vahirdDAH rUpANi
   paśyati / dhyānaṃ niśritya draṣṭari rūpasaṃjñāyā vibhāvanād arūpasaṃjñāyāḥ	paSyati / DyAnam niSritya drazwari rUpa-saMjQAyAH viBAvanAt arUpa-saMjQAyAH
   saṃniveśanādvā dṛśya rūpāṇi paśyatīti vihārasamṛddhau samādhi prajñā śeṣaṃ	saMniveSanAt-vA dRSya rUpANi paSyati-iti vihAra-samRdDO samADi prajQA Sezam
   pūrvavat // kathaṃ śubhaṃ vimokṣaṃ kāyena sākṣātkṛtyopasaṃpadya viharatīti	pUrvavat // kaTam SuBam vimokzam kAyena sAkzAtkRtya-upasaMpadya viharati-iti
   / dhyānaṃ niśritya adhyātmaṃ śubhāśubheṣu rūpeṣu anyonyāpekṣāsaṃjñāyā	/ DyAnam niSritya aDyAtmam SuBa-aSuBezu rUpezu anyonya-apekzA-saMjQAyAH-
   anyonyānugamasaṃjñāyā anyonyaikarasasaṃjñāyāśca labhāt tatra labdhe	anyonya-anugama-saMjQAyAH anyonya-eka-rasa-saMjQAyAH-ca laBAt tatra labDe
   vihārasamṛddhau samādhiḥ prajñā śeṣaṃ pūrvavat yāvat śubhaśubhanirmāṇāt	vihAra-samRdDO samADiH prajQA Sezam pUrvavat yAvat SuBa-SuBa-nirmANAt-
   saṃkleśotpattyāvaraṇācca vimuktiḥ // ākāśānantyāyatanavimokṣaḥ katamaḥ /	saMkleSa-utpatti-AvaraNAt-ca vimuktiH // AkASAnantya-Ayatana-vimokzaH katamaH /
   vimokṣānukūlā kāśānantyāyatanavimokṣaḥ tathā	vimokza-anukUlA kASAnanti-Ayatana-vimokzaH taTA
   vijñānānantyāyatanākiṃcanyāyatananaivasaṃjñānāsaṃjñāyatanavimokṣā api	vijQAna-Ananti-Ayatana-AkiMcanya-Ayatana-na-eva-saMjQAna-asaMjQA-Ayatana-vimokzAH api
   draṣṭavyaḥ yāvat vimokṣaḥ śānto vimokṣaḥ asaktyāvaraṇaṃ ca //	drazwavyaH yAvat vimokzaH SAntaH vimokzaH asakti-AvaraNam ca //
   saṃjñāvedayitanirodhavimokṣaḥ katamaḥ / naivasaṃjñānasaṃjñāyatanavimokṣaṃ	saMjQA-vedayita-niroDa-vimokzaH katamaH / na-eva-saMjQAna-saMjQA-Ayatana-vimokzam
   niśritya samatikrāntānāṃ śiṣṭe śānte vimokṣe mokṣānusadṛśo vihāraḥ	niSritya samatikrAntAnAm Sizwe SAnte vimokze mokza-anusadRSaH vihAraH
   vihārasamṛddhau ca cittacaitasikānāṃ nirodhaḥ saṃjñāvedayitanirodhāvaraṇād	vihAra-samRdDO ca citta-cEtasikAnAm niroDaH saMjQA-vedayita-niroDa-AvaraNAt-
   vimuktyartham //	vimukti-arTam //
   (Abhidh-s 96)	(a-aBiD-H 96)
   abhibhvāyatanāni katamāni / aṣṭāvabhibhvāyatanāni / pūrvāṇī catvāri	aBiBva-AyatanAni katamAni / azwO=-aBiBva-AyatanAni / pUrvANI catvAri
   abhibhvāyatanāni dvābhyāṃ vimokṣābhyāṃ vyavasthāpyante / uttarāṇi catvāri	aBiBva-AyatanAni dvAByAm vimokzAByAm vyavasTApyante / uttarANi catvAri
   abhibhvāvatanāni ekena vimokṣeṇa vyavasthāpyante / tatra	aBiBvAvatanAni ekena vimokzeNa vyavasTApyante / tatra
   vimokṣairālambanamadhimucyate abhibhvāyataneṣu ālambanaprabhibhavati /	vimokzEH-Alambanam-aDimucyate aBiBva-Ayatanezu Alambana-praBiBavati /
   vaśavarttanatā mupādāya // sattvasaṃkhyātāni asattvasaṃkhyātāni cāśritya	vaSa-varttanatA mupAdAya // sattva-saMKyAtAni asattva-saMKyAtAni ca-ASritya
   rūpāṇi parittādhimātrāṇyucyante / śubhāśubhānyāśritya rūpāṇi	rUpANi parittADimAtrANi-ucyante / SuBa-aSuBAni-ASritya rUpANi
   suvarṇadurvarṇānyucyante / mānuṣyakadivyānyāśritya rūpāṇi	suvarNa-durvarNAni-ucyante / mAnuzyaka-divyAni-ASritya rUpANi
   hīnapraṇītānyucyante // śiṣṭāni yathā vimokṣeṣūktāni //	hIna-praNItAni-ucyante // SizwAni yaTA vimokzezu-uktAni //
   ālambanābhibhavanatāmupādāya abhibhvāyatanānītyucyante //	Alambana-aBiBavana-tAm-upAdAya aBiBvAyatanAni-iti-ucyante //
   kṛtsnāyatanāni katamāni / daśa kṛtsnāyatanāni /	kRtsnA-AyatanAni katamAni / daSa kRtsnA-AyatanAni /
   kṛtsnaspharaṇālambanatāmupādāya kṛtsnāyatanānītyucyate /	kRtsna-sParaNa-AlambanatAm-upAdAya kRtsnA-AyatanAni-iti-ucyate /
   kṛtsnaspharaṇavihārasamṛddhau samādhiḥ prajñā tatsaṃprayuktāśca	kRtsna-sParaNa-vihAra-samRdDO samADiH prajQA tad-saMprayuktAH-ca
   cittacaitasikā dharmāḥ kṛtsnāyatanānītyucyante // kimupādāya	citta-cEtasikAH DarmAH kRtsnA-AyatanAni-iti-ucyante // kim-upAdAya
   kṛtsnāyataneṣu pṛthivyādivyavasthāpanam / taiḥ kṛtsnāyatanaiḥ	kRtsnA-Ayatanezu pRTivI-Adi-vyavasTApanam / tEH kRtsnA-AyatanEH
   āśrayāśritarūpāṇi paśyatīti kṛtsnaspharaṇatāmupadaya / śiṣṭāni yathāyogaṃ	ASraya-ASrita-rUpANi paSyati-iti kRtsna-sParaNa-tAm-upadaya / SizwAni yaTAyogam
   vimokṣavat // tathā ca kṛtsnāyatanaiḥ pariniṣpattirvimokṣāṇām //	vimokza-vat // taTA ca kRtsnA-AyatanEH parinizpattiH-vimokzANAm //
   araṇā katamā / dhyānaṃ niśritya kleśotpattyanurakṣāvihārasamṛddhau	araNA katamA / DyAnam niSritya kleSa-utpatti-anurakzA-vihAra-samRdDO
   samādhiḥ prajñā tatsaṃprayuktāśca cittacaitasikā dharmāḥ //	samADiH prajQA tad-saMprayuktAH-ca citta-cEtasikAH DarmAH //
   praṇidhijñānaṃ katamat / dhyānaṃ niśritya jñeya jñānapraṇidhisamṛddhau	praNiDi-jQAnam katamat / DyAnam niSritya jQeya jQAna-praNiDi-samRdDO
   samādhiḥ prajñā śeṣaṃ pūrvavat //	samADiH prajQA Sezam pUrvavat //
   pratisaṃvidaḥ katamāḥ / catasraḥ pratisaṃvidaḥ / dharmapratisaṃvid katamā	pratisaMvidaH katamAH / catasraH pratisaMvidaH / Darma-pratisaMvid katamA
   / dhyānaṃ niśritya sarvadharma paryāyeṣu avyāghātasamṛddhau samādhīḥ	/ DyAnam niSritya sarva-Darma paryAyezu avyAGAta-samRdDO samADIH
   prajñāśeṣaṃ pūrvavat // arthapratisaṃvid katamā / dhyānaṃ niśritya lakṣaṇe	prajQA-Sezam pUrvavat // arTa-pratisaMvid katamA / DyAnam niSritya lakzaNe
   abhiprāye (Abhidh-s 97) cāvyāghātasamṛddau samādhiḥ prajñā śeṣaṃ pūrvavat	aBiprAye (a-aBiD-H 97) ca-avyAGAta-samRddO samADiH prajQA Sezam pUrvavat-
   // niruktipratisaṃvid katamā / dhyānaṃ niśritya	// nirukti-pratisaMvid katamA / DyAnam niSritya
   janapadabhāpāyāmanuvyavahāre dharmanirvacane ca avyāghāta samṛddhau	janapada-BApAyAm-anuvyavahAre Darma-nirvacane ca avyAGAta samRdDO
   samādhiḥ prajñā śeṣaṃ pūrvavat // pratibhānapratisaṃvid katamā / dhyānaṃ	samADiH prajQA Sezam pUrvavat // pratiBAna-pratisaMvid katamA / DyAnam
   niśritya dharmaprabhedeṣu avyāghātasamṛddhau samādhiḥ prajñā śeṣaṃ	niSritya Darma-praBedezu avyAGAta-samRdDO samADiH prajQA Sezam
   pūrvavat //	pUrvavat //
   abhijñā katamāḥ / ṣaḍabhijñāḥ / ṛddhyabhijñā katamā / dhyānaṃ niśritya	aBijQA katamAH / zaxaBijQAH / RdDi-aBijQA katamA / DyAnam niSritya
   vicitrarddhivikurvita samṛddhau samādhiḥ prajñā tatsaprayuktāśca	vicitra-RdDi-vikurvita samRdDO samADiH prajQA tat-sa-prayuktAH-ca
   cittacaitasikā dharmāḥ // divyaśrotrābhijñā katamā / dhyānaṃ niśritya	citta-cEtasikAH DarmAH // divya-Srotra-aBijQA katamA / DyAnam niSritya
   vicitrāṇāṃ śabdānāmanuśravasamṛddhau yaḥ samādhiḥ prajñā śeṣaṃ pūrvavat //	vicitrANAm SabdAnAm-anuSrava-samRdDO yaH samADiH prajQA Sezam pUrvavat //
   cetaḥparyāyābhijñā katamā / dhyānaṃ niśritya parasattveṣu	cetaH-paryAya-aBijQA katamA / DyAnam niSritya para-sattvezu
   cittacaritaparyāya praveśasamṛddhau yaḥ samādhi prajñā śeṣaṃ pūrvavat //	citta-carita-paryAya praveSa-samRdDO yaH samADi prajQA Sezam pUrvavat //
   pūrvanivāsānusmṛtyabhijñā katamā / dhyānaṃ niśritya	pUrva-nivAsa-anusmRti-aBijQA katamA / DyAnam niSritya
   pūrvāntacaryānusmaraṇasamṛddhau yaḥ samādhiḥ prajñā śeṣaṃ pūrvavat //	pUrva-anta-caryA-anusmaraNa-samRdDO yaH samADiH prajQA Sezam pUrvavat //
   cyutyupapādābhijñā katamā / dhyānaṃ niśritya sattvānāṃ cyutyupapādaprakāra	cyuti-upapAda-aBijQA katamA / DyAnam niSritya sattvAnAm cyuti-upapAda-prakAra
   saṃdarśanasamṛddhau yaḥ samādhiḥ prajñā śeṣaṃ pūrvavat //	saMdarSana-samRdDO yaH samADiH prajQA Sezam pUrvavat //
   āsravakṣayābhijñā katamā / dhyānaṃ niśritya āsravakṣayajñānasamṛddhau yaḥ	Asrava-kzaya-aBijQA katamA / DyAnam niSritya Asrava-kzaya-jQAna-samRdDO yaH
   samādhiḥ prajñā tatsaṃprayuktāśca cittacaitasikā dharmāḥ //	samADiH prajQA tad-saMprayuktAH-ca citta-cEtasikAH DarmAH //
   lakṣaṇānuvyañjanāni katamāni / dhyānaṃ niśritya	lakzaNa-anuvyaQjanAni katamAni / DyAnam niSritya
   lakṣaṇānuvyañjanairvibhrājamānasandarśanasamṛddhau yaḥ samādhiḥ prajñā	lakzaNa-anuvyaQjanEH-viBrAjamAna-sandarSana-samRdDO yaH samADiH prajQA
   tatsaṃprayūktāśca cittacaitasikā dharmāḥ tatsamutthitavipākāśca //	tad-saMprayUktAH-ca citta-cEtasikAH DarmAH tad-samutTita-vipAkAH-ca //
   pariśuddhayaḥ katamāḥ / catasraḥ pariśuddhayaḥ / āśrayapariśuddhiḥ katamāḥ	pariSudDayaH katamAH / catasraH pariSudDayaH / ASraya-pariSudDiH katamAH
   / dhyānaṃ niśritya yathākāmamaśrayasyopādāne sthānaparityāgānāṃ samṛddhau	/ DyAnam niSritya yaTAkAma-m-aSrayasya-upAdAne sTAna-parityAgAnAm samRdDO
   yaḥ samādhīḥ prajñā tatsaṃprayuktāśca cittacaitasikā dharmāḥ //	yaH samADIH prajQA tad-saMprayuktAH-ca citta-cEtasikAH DarmAH //
   ālambanapariśuddhiḥ katamā / dhyānaṃ niśritya	Alambana-pariSudDiH katamA / DyAnam niSritya
   yathākāmamālambananirmāṇapariṇāmanajñānānāṃ samṛddhau yaḥ samādhi prajñā	yaTAkAmam-Alambana-nirmANa-pariNAmana-jQAnAnAm samRdDO yaH samADi prajQA
   śeṣaṃ pūrvavat // cittapariśuddhiḥ katamā / dhyānaṃ niśritya yathākāmaṃ	Sezam pUrvavat // citta-pariSudDiH katamA / DyAnam niSritya yaTAkAmam
   samādhimukhavaśavarttisamṛddhau yaḥ samādhiḥ prajñā śeṣaṃ pūrvavat //	samADi-muKa-vaSa-vartti-samRdDO yaH samADiH prajQA Sezam pUrvavat //
   jñānapariśuddhiḥ katamā / dhyānaṃ niśritya yathākāmaṃ	jQAna-pariSudDiH katamA / DyAnam niSritya yaTAkAmam
   dhāraṇīmukhasandhāraṇasamṛddhau yaḥ samādhiḥ prajñā śeṣaṃ pūrvavat //	DAraNI-muKa-sanDAraNa-samRdDO yaH samADiH prajQA Sezam pUrvavat //
   (Abhidh-s 98)	(a-aBiD-H 98)
   balāni katamāni / baśa tathāgatabalāni / sthānāsthānabalaṃ katamat dhyānaṃ	balAni katamAni / baSa taTAgata-balAni / sTAna-AsTAna-balam katamat DyAnam
   niśritya sarvaprakāra sthānāsthānajñānasamṛddhau yaḥ samādhiḥ prajñā	niSritya sarva-prakAra sTAna-AsTAna-jQAna-samRdDO yaH samADiH prajQA
   tatsaṃprayuktāśca cittacaitasikā dharmāḥ // karmasvakajñānabalaṃ katamat /	tad-saMprayuktAH-ca citta-cEtasikAH DarmAH // karma-svaka-jQAna-balam katamat /
   dhyānaṃ niśritya sarvaprakāra karmasvakajñānasamṛddhau yaḥ samādhiḥ prajñā	DyAnam niSritya sarva-prakAra karma-svaka-jQAna-samRdDO yaH samADiH prajQA
   śeṣaṃ pūrvavat // śiṣṭāni balāni yathāyogaṃ veditavyāni //	Sezam pUrvavat // SizwAni balAni yaTAyogam veditavyAni //
   vaiśāradyāni katamāni / catvāri vaiśāradyāni // abhisaṃbodhivaiśāradyaṃ	vESAradyAni katamAni / catvAri vESAradyAni // aBisaMboDi-vESAradyam
   katamat / dhyānaṃ niśritya svārthamevārabhya	katamat / DyAnam niSritya sva-arTam-eva-AraBya
   sarvākārajñeyābhisaṃbodhipratijñāpratiṣṭhāpanasamṛddhau yaḥ samādhiḥ	sarva-AkAra-jQeya-aBisaMboDi-pratijQA-pratizWApana-samRdDO yaH samADiH
   prajñā tatsaṃprayuktāśca cittacaitasikā dharmāḥ // āsravakṣayavaiśāradyaṃ	prajQA tad-saMprayuktAH-ca citta-cEtasikAH DarmAH // Asrava-kzaya-vESAradyam
   katamat / dhyānaṃ niśritya svārthamevārabhya sarvākārasravakṣayapratijñā	katamat / DyAnam niSritya sva-arTam-eva-AraBya sarva-AkAra-srava-kzaya-pratijQA
   pratiṣṭhāpanasamṛddhau yaḥ samādhiḥ prajñā śeṣaṃ pūrvavat //	pratizWApana-samRdDO yaH samADiH prajQA Sezam pUrvavat //
   antarāyikadharmavaiśāradyaṃ katamat / dhyānaṃ niśritya parārthamārabhya	antarAyika-Darma-vESAradyam katamat / DyAnam niSritya para-arTam-AraBya
   sarvākārāntarāyikadharmapratijñāpratiṣṭhāpanasamṛddhau yaḥ samādhiḥ prajñā	sarva-AkAra-antarAyika-Darma-pratijQA-pratizWApana-samRdDO yaH samADiH prajQA
   śeṣaṃ pūrvavat // nairyāṇikapratipadavaiśāradyaṃ katamat / dhyānaṃ	Sezam pUrvavat // nEryANika-pratipada-vESAradyam katamat / DyAnam
   niśritya parārthamārabhya sarvākāra nairyāṇikamārgadharma	niSritya para-arTam-AraBya sarva-AkAra nEryANika-mArga-Darma
   pratijñāpratiṣṭhāpanasamṛddhau yaḥ samādhiḥ prajñā śeṣaṃ pūrvavat //	pratijQA-pratizWApana-samRdDO yaH samADiH prajQA Sezam pUrvavat //
   smṛtyupasthānāni katamāni / trīṇyeva smṛtyupasthānāni / gaṇaparikarṣaṇe	smRti-upasTAnAni katamAni / trINi-eva smRti-upasTAnAni / gaNa-parikarzaNe
   sarvākārasaṃkleśāsamudācārasamṛddhau yaḥ samādhiḥ prajñā śeṣaṃ purvavat //	sarva-AkAra-saMkleSa-asamudAcAra-samRdDO yaH samADiH prajQA Sezam purvavat //
   arakṣāṇi katamāni / trīṇyeravārakṣāṇi // gaṇaparikarṣaṇe	arakzANi katamAni / trINi-eH-avArakzANi // gaNa-parikarzaNe
   yathākāmamavavādānuśāsanīprayogasamṛddhau yaḥ samādhiḥ prajñā śeṣaṃ	yaTA-kAmam-avavAda-anuSAsanI-prayoga-samRdDO yaH samADiH prajQA Sezam
   pūrvavat //	pUrvavat //
   asaṃpramoṣadharmatā katamā / sarvākārasya yathāvat kṛtassa bhāṣitasya	asaMpramoza-Darma-tA katamA / sarva-AkArasya yaTAvat kRtassa BAzitasya
   cābhilapanasamṛddhau yaḥ samādhiḥ prajñā śeṣaṃ pūrvavat //	ca-aBilapana-samRdDO yaH samADiH prajQA Sezam pUrvavat //
   vāsanāsamudghātaḥ katamaḥ / sarvajñasya sataḥ	vAsanA-samudGAtaH katamaH / sarvajQasya sataH
   asarvajñaceṣṭitāsamudācārasamṛddau yaḥ samādhiḥ prajñā śeṣaṃ pūrvavat //	asarvajQa-cezwitA-samudAcAra-samRddO yaH samADiH prajQA Sezam pUrvavat //
   mahākaruṇā katamā / nirantaraṃ	mahA-karuNA katamA / nirantaram
   sarvaprakāraduḥkhālambanakaruṇāvihārasamṛddau yaḥ samādhiḥ prajñā śeṣaṃ	sarva-prakAra-duHKa-Alambana-karuNA-vihAra-samRddO yaH samADiH prajQA Sezam
   pūrvavat //	pUrvavat //
   (Abhidh-s 99)	(a-aBiD-H 99)
   āveṇikā buddhadharmāḥ katame / aṣṭādaśāveṇikā buddhadharmāḥ // asādhāraṇa	AveNikAH budDa-DarmAH katame / azwAdaSa-AveNikAH budDa-DarmAH // asADAraNa
   kāyavāṅganaskarthapariśuddhi samṛddau sāśrayāṇāṃ saphalānāṃ	kAyava-aFgana-skarTa-pariSudDi sa-mRddO sa-ASrayANAm saPalAnAm
   tathāgatendriyāṇamaprāptyāmaparihāṇisamṛddhau asādhāraṇa	taTAgata-indriyANam-aprApti-Ama-parihANi-samRdDO asADAraNa
