   1. Vairagyaprakarana	1. VEragya prakarana
   idamprathamam utpannasya bāhyonmukhā | jīvanmuktasya tu tyajyamānabāhyeti	idam praTamam utpannasya bAhya unmuKAH | jIvanmuktasya tu tyajyamAna bAhya iti
   viśeṣaḥ || MoT_4,17.3 ||	viSezaH || MoT_4,17.3 ||
   ***NOTES:	***NOTa ES:
   #4 N17: sarv<e>[ai]°	#4 N17: sarv<e>[E]°
   #5 N17 om.: Vers 3. Text gemäß °1, °3 und pratīkas.	#5 N17 om.: VerH 3. Text gemäß °1, °3 und pratIkas.
   #6 N17: sarv<e>[ai]°	#6 N17: sarv<e>[E]°
   viśeṣaṇenoktvā sāmānyena kathayati	viSezaNena uktvA sAmAnyena kaTayati
        mano nirmalasattvātma yad bhāvayati yādṛśam /	manaH nirmala sattva Atma yat BAvayati yAdRSam /
        tat tathāśu bhavaty eva yathāvarto ḥrṇave ḥmbhasaḥ // Mo_4,17.4 //	tat taTA ASu Bavati eva yaTAvartaH HrNave HmBasaH // MaH _4,17.4 //
   nirmalasattvātma pūrvaślokoktanirmalasattvasvarūpam | manaḥ | yat yādṛśam	nirmala sattva Atma pUrva Sloka ukta nirmala sattva svarUpam | manaH | yat yAdRSam
   yena prakāreṇa yuktam | bhāvayati anusandhānaviṣayatāṃ nayati | tat vastu	yena prakAreNa yuktam | BAvayati anusanDAna vizaya tAm nayati | tat vastu
   | āśu tathā tena prakāreṇa yuktam | bhavati | tat vastu ka iva | āvartaḥ	| ASu taTA tena prakAreNa yuktam | Bavati | tat vastu kaH iva | AvartaH
   iva | yathā arṇave sthitaḥ ambhasaḥ āvartaḥ sadyaḥ anyaprakārayukto	iva | yaTA arNave sTitaH amBasaH AvartaH sadyas anya prakAra yuktaH 
   bhavati | tathety arthaḥ || MoT_4,17.4 ||	Bavati | taTA iti arTaH || MoT_4,17.4 ||
   anena vṛttāntena siddhaṃ svamanīṣitaṃ kathayati	anena vRttAntena sidDam sva manIzitam kaTayati
        yathā bhṛgusutasyaiṣa vibhramaḥ proditaḥ svayam /	yaTA BRgu sutasya eza viBramaH proditaH svayam /
        pratyekam apy evam eva dṛṣṭānto ḥtra bhṛgoḥ sutaḥ // Mo_4,17.5 //{#7}	pratyekam api evam eva dRzwAntaH Htra BRgoH sutaH // MaH _4,17.5 //{#7}
   yathā bhṛgusutasya eṣaḥ samanantaroktaḥ | vibhramaḥ nānāyonipratibhāsarūpo	yaTA BRgu sutasya ezaH samanantara uktaH | viBramaH nAnA yoni pratiBAsa rUpaH 
   vibhramaḥ | svayam svabhāvena | proditaḥ prādurbhūtaḥ | evam eva tathaiva	viBramaH | svayam svaBAvena | proditaH prAdurBUtaH | evam eva taTA eva
   | pratyekam pratipuruṣam | udeti | sarve eva svamanaḥpratibhāsarūpam eva	| pratyekam prati puruzam | udeti | sarve eva sva manaH pratiBAsa rUpam eva
   jagat paśyantīti bhāvaḥ | asyārthasya dṛḍhīkaraṇārtham punar api śukrasya	jagat paSyanti iti BAvaH | asya arTasya dRXIkaraNa arTam punar api Sukrasya
   dṛṣṭāntatvaṃ kathayati dṛṣṭānto ḥtreti || MoT_4,17.5 ||	dRzwAnta tvam kaTayati dRzwAntaH Htra iti || MoT_4,17.5 ||
   ***NOTES:	***NOTa ES:
   #7 N17: om. 5cd. Text gemäß °1, °3 und pratīkas.	#7 N17: om. 5cd. Text gemäß °1, °3 und pratIkas.
   etad eva nānādṛṣṭāntaiḥ sugamaṃ karoti	etat eva nAnA dRzwAntEH sugamam karoti
        bījasyāṅkurapattrādi svaṃ camatkurute yathā /	bIjasya aFkura pattra Adi svam camatkurute yaTA /
        sarveṣām bhūtasaṅghānām bhramaṣaṇḍas tathaiva hi // Mo_4,17.6 //	sarvezAm BUta saFGAnAm BramazaNxaH taTA eva hi // MaH _4,17.6 //
   yathā bījasya svam na tv anyabījasādhāraṇam | aṅkurapattrādi | camatkurute	yaTA bIjasya svam na tu anya bIja sADAraNam | aFkura pattra Adi | camatkurute
   ucchūnatārūpam ānandaṃ karoti | hi niścaye | sarveṣām bhūtasaṅghānām	ucCUna tA rUpam Anandam karoti | hi niScaye | sarvezAm BUta saFGAnAm
   bhūtasamūhānām | svaḥ ananyasādhāraṇaḥ bhramaṣaṇḍaḥ jagadrūpaḥ	BUta samUhAnAm | svar ananya sADAraNaH Brama zaNxaH jagat rUpaH
   bhramaṣaṇḍaḥ | tathaiva camatkurute nānāsvādasaukhyaṃ karoti |	Brama zaNxaH | taTA eva camatkurute nAnA svAda sOKyam karoti |
   sādhāraṇatvena bhāsamāno ḥpy ayaṃ saṃsāraḥ pratyekam bhinna eveti bhāvaḥ	sADAraNa tvena BAsamAnaH Hpi ayam saMsAraH pratyekam BinnaH eva iti BAvaH
   || MoT_4,17.6 ||	|| MoT_4,17.6 ||
        yad idaṃ dṛśyate viśvam evam evākhilaṃ hi tat /	yat idam dRSyate viSvam evam eva aKilam hi tat /
        pratyekam uditam mithyā mithyaivāstam upaiti ca // Mo_4,17.7 //	pratyekam uditam miTyA miTyA eva astam upEti ca // MaH _4,17.7 //
   asmābhiḥ yad idaṃ viśvam saṃsāraḥ | dṛśyate anubhūyate | hi niścaye | evam	asmABiH yat idam viSvam saMsAraH | dRSyate anuBUyate | hi niScaye | evam
   evānena prakāreṇa | sthitam eva tat | akhilaṃ viśvam | mithyā pratyekam	eva anena prakAreNa | sTitam eva tat | aKilam viSvam | miTyA pratyekam
   uditam udeti | vartamāne ktaḥ{#8} | mithyā evāstam upaiti ca	uditam udeti | vartamAne ktaH{#8} | miTyA eva astam upEti ca
   paracitsvarūpatvena sarvadaiva tathaiva sthitatvāt |	para cit svarUpa tvena sarvadA eva taTA eva sTita tvAt |
   satyabhūtodayāstamayaviṣayatvāyogād{#9} iti bhāvaḥ || MoT_4,17.7 ||	satya BUta udaya astamaya vizaya tva ayogAt {#9} iti BAvaH || MoT_4,17.7 ||
   ***NOTES:	***NOTa ES:
   #8 Pāṇ 2.3.67: ktasya ca vartamāne	#8 PAN 2.3.67: ktasya ca vartamAne
   #9 N17: °ṣa*ya*tvā°	#9 N17: °za*ya* tvA°
        nāstam eti na codeti jagat kiñcana kasyacit /	na astam eti na ca udeti jagat kiQcana kasyacid /
        bhrāntimātram idam māyā mudhaiva parijṛmbhate // Mo_4,17.8 //	BrAnti mAtram idam mAyA muDA eva parijRmBate // MaH _4,17.8 //
   idam jagat | māyā māyārūpam || MoT_4,17.8 ||	idam jagat | mAyA mAyA rUpam || MoT_4,17.8 ||
        yathāsmatpratibhāsasthaḥ so ḥyaṃ saṃsāraṣaṇḍakaḥ /	yaTA asmad pratiBAsa sTaH saH Hyam saMsAra zaNxakaH /
        tathā teṣāṃ sahasrāṇi mitho ḥdṛṣṭāni santi hi // Mo_4,17.9 //	taTA tezAm sahasrANi miTas HdRzwAni santi hi // MaH _4,17.9 //
   yathā asmatpratibhāsasthaḥ saḥ ayam	yaTA asmad pratiBAsa sTaH saH ayam
   sarvendriyātītacinmātrarūpatvenendriyātīto ḥpi san idantayā sphuritaḥ	sarva indriya atIta cit mAtra rUpa tvena indriya atItaH Hpi san idantayA sPuritaH
   saṃsāraṣaṇḍaḥ asti | tathā teṣām saṃsāraṣaṇḍānām | sahasrāṇi santi | nanu	saMsAra zaNxaH asti | taTA tezAm saMsAra zaNxAnAm | sahasrANi santi | nanu
   kathaṃ tāni na dṛśyante ity apekṣāyāṃ viśeṣaṇam āha mitho ḥdṛṣṭānīti |	kaTam tAni na dRSyante iti apekzAyAm viSezaNam Aha miTas HdRzwAni iti |
   mithaḥ anyoḥnyam | adṛṣṭāni darśanaviṣayatāṃ na nītāni || MoT_4,17.9 ||	miTas anyoHnyam | adRzwAni darSana vizaya tAm na nItAni || MoT_4,17.9 ||
   mithoḥdarśanadṛṣṭāntaṃ{#10} kathayati	miToH darSana dRzwAntaM{#10} kaTayati
        svapnasaṅkalpanagaravyavahārāḥ parasparam /	svapna saFkalpa nagara vyavahArAH parasparam /
        pṛthag yathā na dṛśyante tathaite saṃsṛtibhramāḥ // Mo_4,17.10 //	pRTak yaTA na dRSyante taTA ete saMsRti BramAH // MaH _4,17.10 //
   yathā anyasya svapnādi anyo{#11} nānubhavati tathānyasya saṃsāram anyo	yaTA anyasya svapna Adi anyo{#11} na anuBavati taTA anyasya saMsAram anyaH 
   nānubhavatīti{#12} piṇḍārthaḥ | nanu kathaṃ sargānām pratipuruṣam bhedaḥ	na anuBavati iti{#12} piNxa arTaH | nanu kaTam sargAnAm prati puruzam BedaH
   iti cet | na | ekasminn eva vastuni puruṣabhedena	iti ced | na | ekasmin eva vastuni puruza Bedena
   heyatvopādeyatvadarśanāt{#13} || MoT_4,17.10 ||	heya tva upAdeya tva darSana at{#13} || MoT_4,17.10 ||
   ***NOTES:	***NOTa ES:
   #10 N17: °rśana<ṃ*ta*>dṛ°	#10 N17: °rSana <M*ta *>dR°
   #11 N17: an<t>yo	#11 N17: an<t>yaH 
   #12 N17: °anyo<nyānu> [nānu]bha°	#12 N17: °anyo<nyAnu> [na anu]Ba°
   #13 N17: °tvopā(ye)deya°	#13 N17: °tvA upA(ye)deya°
   upasaṃhāraṃ karoti	upasaMhAram karoti
        evaṃ nagaravṛndāni nabhaḥsaṅkalparūpiṇām{#14} /	evam nagara vRndAni naBaH saFkalpa rUpiNA m{#14} /
        santi tāni na dṛśyante mitho jñānadṛśaṃ vinā // Mo_4,17.11 //	santi tAni na dRSyante miTas jQAna dRSam vinA // MaH _4,17.11 //
   evaṃ sati | nabhasi yaḥ saṅkalpaḥ purādisaṅkalpaḥ | tadvat rūpaṃ yeṣām |	evam sati | naBasi yaH saFkalpaH pura Adi saFkalpaH | tadvat rUpam yezAm |
   tādṛśānāṃ nagarāṇāṃ vṛndāni samūhāḥ | santi | samāse upasarjanībhūtasya	tAdRSAnAm nagarANAm vRndAni samUhAH | santi | samAse upasarjanIBUtasya
   nagarapadasya viśeṣaṇadānam{#15} ārṣam | taiḥ nagaravṛndaiḥ tāni	nagara padasya viSezaNa dAna m{#15} Arzam | tEH nagara vRndEH tAni
   nagaravṛndāni | jñānadṛśaṃ vinā{#16} cinmātrajñānākhyāṃ dṛṣṭiṃ vinā |	nagara vRndAni | jQAna dRSam vinA{#16} cit mAtra jQAna AKyAm dRzwim vinA |
   mithaḥ anyoḥnyam | na dṛśyante nānubhūyante | jñānadṛśā tu dṛśyante eva |	miTas anyoHnyam | na dRSyante na anuBUyante | jQAna dRSA tu dRSyante eva |
   ata evāhaṃ tān paśyāmi tvaṃ na paśyasīti bhāvaḥ || MoT_4,17.11 ||	atas eva aham tAn paSyAmi tvam na paSyasi iti BAvaH || MoT_4,17.11 ||
   ***NOTES:	***NOTa ES:
   #14 N17: °bha(sa)*ḥ*saṅ°	#14 N17: °Ba( sa )*H* saF°
   #15 N17: vi(ṣe)śe°	#15 N17: vi(ze)Se°
   #16 N17: °nā(na)	#16 N17: °nA(na)
   sarvaprasiddhānām piśācādīnām apy etadrūpatvaṃ kathayati	sarva prasidDAnAm piSAca AdInAm api etat rUpa tvam kaTayati
        piśācayakṣarakṣāṃsi santy evaṃrūpakāṇi hi /	piSAca yakza rakzAMsi santi evaMrUpakANi hi /
        saṅkalpamātradehāni sukhaduḥkhamayāni ca // Mo_4,17.12 //	saFkalpa mAtra dehAni suKa duHKa mayAni ca // MaH _4,17.12 //
   spaṣṭam || MoT_4,17.12 ||	spazwam || MoT_4,17.12 ||
   svasminn apy etadrūpatvam evātidiśati	svasmin api etat rUpa tvam eva atidiSati
        evam eva vayaṃ{#17} ceme sampannā raghunandana /	evam eva vayaM{#17} ca ime sampannAH raGunandana /
        svasaṅkalpātmakākārā mithyāsatyatvabhāvitāḥ{#18} // Mo_4,17.13 //	sva saFkalpa Atmaka AkArAH miTyA satya tva BAvitAH{#18} // MaH _4,17.13 //
   mithyāsatyatve svasatyatāyām | bhāvitāḥ bhāvanāyuktāḥ || MoT_4,17.13 ||	miTyA satya tve sva satyatAyAm | BAvitAH BAvanA yuktAH || MoT_4,17.13 ||
   ***NOTES:	***NOTa ES:
   #17 N17: vay<o>[aṃ]	#17 N17: vay<aH >[aM]
   #18 N17: mith[y]ā°	#18 N17: miT[y]A°
   evaṃ stokaṃ viśeṣeṇoktvā punar api sāmānyena kathayati	evam stokam viSezeNa uktvA punar api sAmAnyena kaTayati
        evaṃrūpaiva hi pare vartate sargasaṃsṛtiḥ /	evaMrUpA eva hi pare vartate sarga saMsRtiH /
        na vāstavī vastutas tu saṃsthiteyam{#19} avastuni // Mo_4,17.14 //	na vAstavI vastutas tu saMsTitA iyam{#19} avastuni // MaH _4,17.14 //
   evaṃrūpā pratibhāsarūpā | pare uttīrṇe cinmātre | sargeti nāmadheyā	evaMrUpA pratiBAsa rUpA | pare uttIrNe cit mAtre | sargA iti nAmaDeyA
   saṃsṛtiḥ sargasaṃsṛtiḥ | na vāstavī asatyarūpā | tu pakṣāntare | vastutaḥ	saMsRtiH sarga saMsRtiH | na vAstavI asatya rUpAH | tu pakza antare | vastutas 
   paramārthataḥ | iyaṃ sargasaṃsṛtiḥ | avastuni śūnye | sthitā bhavati |	paramArTataH | iyam sarga saMsRtiH | avastuni SUnye | sTitA Bavati |
   vastutvena sthite cinmātre avastubhūtasargādhāratvāyogāt || MoT_4,17.14 ||	vastu tvena sTite cit mAtre avastu BUta sarga ADAra tva ayogAt || MoT_4,17.14 ||
   ***NOTES:	***NOTa ES:
   #19 N17: °sthit<aiv>[ey]am	#19 N17: °sTit<A ev>[ey]am
   pūrvoktanyāyena siddhasya svābhīṣṭasyopasaṃhāraṃ karoti	pUrva ukta nyAyena sidDasya sva aBIzwasya upasaMhAram karoti
        pratyekam uditaṃ viśvam evam eva mudhaiva hi /	pratyekam uditam viSvam evam eva muDA eva hi /
        navagulmakarūpeṇa vāsantikaraso{#20} yathā // Mo_4,17.15 //	nava gulmaka rUpeNa vAsanti kara so{#20} yaTA // MaH _4,17.15 //
   evam pūrvoktaprakāreṇa | vāsantikarasaḥ vasantasambandhī rasaḥ ||	evam pUrva ukta prakAreNa | vAsantika rasaH vasanta sambanDI rasaH ||
   MoT_4,17.15 ||	MoT_4,17.15 ||
   ***NOTES:	***NOTa ES:
   #20 N17: v*ā*sa°	#20 N17: v*A*sa°
        prathamo ḥyaṃ svasaṅkalpaḥ suprathām āgatas tathā /	praTamaH Hyam sva saFkalpaH su praTAm AgataH taTA /
        yathātipāramārthyena dṛḍhenetthaṃ vibhāvyate // Mo_4,17.16 //	yaTA atipAramArTyena dRXena itTam viBAvyate // MaH _4,17.16 //
   ayam prathamaḥ brahmaṇaḥ tatpūrvatvenotthitaḥ | svasaṅkalpa eva | tathā	ayam praTamaH brahmaNaH tad pUrva tvena utTitaH | sva saFkalpaH eva | taTA
   tena prakāreṇa | suprathām atirūḍhim | gataḥ | yathā ittham anena	tena prakAreNa | su praTAm ati rUXim | gataH | yaTA itTam anena
   prakāreṇa | dṛḍhenāvicalatā | atipāramārthyenātiparamārthabhāvena |	prakAreNa | dRXena avicala tA | atipAramArTyena ati parama arTa BAvena |
   vibhāvyate niścīyate | janair iti śeṣaḥ || MoT_4,17.16 ||	viBAvyate niScIyate | janEH iti SezaH || MoT_4,17.16 ||
        pratyekam uditaṃ cittaṃ svasvabhāvodarasthitam /	pratyekam uditam cittam sva svaBAva udara sTitam /
        idam{#21} itthaṃsamārambhaṃ jagat paśyad vinaśyati // Mo_4,17.17 //	idam{#21} itTaMsam AramBam jagat paSyat vinaSyati // MaH _4,17.17 //
   svaḥ ātmīyaḥ | svabhāvaḥ cinmātrākhyaṃ svarūpam | tasyodare udara	svar AtmIyaH | svaBAvaH cit mAtra AKyam sva rUpam | tasya udare udara
   ivodare{#22} | na tu sākṣād udare | sthitam vartamānam | pratyekam ekasmin	iva udare{#22} | na tu sAkzAt udare | sTitam vartamAnam | pratyekam ekasmin
   ekasmin pratyekam | uditam utpannam | cittam | itthaṃsamārambham	ekasmin pratyekam | uditam utpannam | cittam | itTaMsam AramBam
   dṛśyamānārambhayuktam | idaṃ jagat paśyat anubhavat | vinaśyati	dRSyamAna AramBa yuktam | idam jagat paSyat anuBavat | vinaSyati
   svarūpaparāmarśāt bhraśyatīty arthaḥ || MoT_4,17.17 ||	svarUpa parAmarSAt BraSyati iti arTaH || MoT_4,17.17 ||
   ***NOTES:	***NOTa ES:
   #21 N17: <dra>[i]daṃ	#21 N17: <dra>[i]dam
   #22 N17: °dare(ṇa)	#22 N17: °dare(Na)
        pratibhāsavaśād asti nāsti vastvavalokanāt /	pratiBAsa vaSAt asti na asti vastu avalokanAt /
        dīrghaḥ svapno jagajjālam ālānaṃ cittadantinaḥ // Mo_4,17.18 //	dIrGaH svapnaH jagat jAlam AlAnam citta dantinaH // MaH _4,17.18 //
   pratibhāsavaśāt | na hi asataḥ pratibhāsaḥ yukta iti bhāvaḥ |	pratiBAsa vaSAt | na hi asataH pratiBAsaH yuktaH iti BAvaH |
   vastvavalokanāt paramārthāvalokanāt | na hi samyagjñānena jagat tiṣṭhati |	vastu avalokanAt parama arTa avalokanAt | na hi samyak jQAnena jagat tizWati |
   jagajjālam kaḥ | dīrghaḥ svapnaḥ || MoT_4,17.18 ||	jagat jAlam kaH | dIrGaH svapnaH || MoT_4,17.18 ||
        cittasattaiva hi jagaj jagatsattaiva cittakam /	citta sattA eva hi jagat jagat sattA eva cittakam /
        ekābhāve dvayor nāśas tac ca satyavicāraṇāt // Mo_4,17.19 //	eka aBAve dvayoH nASaH tat ca satya vicAraNAt // MaH _4,17.19 //
   tat ekābhāvaḥ | satyavicāraṇāt satyavicārāt || MoT_4,17.19 ||	tat eka aBAvaH | satya vicAraNAt satya vicArAt || MoT_4,17.19 ||
   śrīrāmakṛtasya praśnasyottaram anusmarati	SrI rAma kRtasya praSnasya uttaram anusmarati
        śuddhasya pratibhāso hi satyo bhavati cetasaḥ /	SudDasya pratiBAsaH hi satyaH Bavati cetasaH /
        niṣkalaṅke hi lagati paṭe kuṅkumarañjanā // Mo_4,17.20 //	nizkalaFke hi lagati pawe kuFkuma raQjanAH // MaH _4,17.20 //
   atra dṛṣṭāntam āha niṣkalaṅka iti | niṣkalaṅke malarahite || MoT_4,17.20	atra dRzwAntam Aha nizkalaFkaH iti | nizkalaFke mala rahite || MoT_4,17.20
        anyenānāhṛtasyānyo guṇo ḥvaśyaṃ vivardhate /	anyena anAhRtasya anyaH guNaH HvaSyam vivarDate /
        anākrāntasya saṅkalpaiḥ pratibhodeti cetasaḥ // Mo_4,17.21 //	anAkrAntasya saFkalpEH pratiBodA iti cetasaH // MaH _4,17.21 //
   anāhṛtasya anākrāntasya | dṛṣṭāntam uktvā dārṣṭāntikaṃ kathayati	anAhRtasya anAkrAntasya | dRzwAntam uktvA dArzwa antikam kaTayati
   anākrāntasyeti | pratibhā pratibhāsaḥ | udeti saphalatvena prādurbhavati	anAkrAntasya iti | pratiBA pratiBAsaH | udeti saPala tvena prAdurBavati
   || MoT_4,17.21 ||	|| MoT_4,17.21 ||
        suvarṇo na sthitiṃ yāti malavaty aṃśuke yathā /	suvarNaH na sTitim yAti malavatI aMSuke yaTA /
        ekā dṛṣṭiḥ sthitiṃ yāti na mlāne cittake tathā // Mo_4,17.22 //	ekA dRzwiH sTitim yAti na mlAne cittake taTA // MaH _4,17.22 //
   suvarṇaḥ śobhanaḥ śuklādivarṇaḥ | mlāne saṅkalparūṣite || MoT_4,17.22 ||	suvarNaH SoBanaH Sukla Adi varNaH | mlAne saFkalpa rUzite || MoT_4,17.22 ||
        pramārjanād iva maṇes{#23} tāmrasyeva ca yuktitaḥ /	pramArjanAt iva maNes{#23} tAmrasya iva ca yuktitaH /
        ciram ekadṛḍhābhyāsāc chuddhir bhavati cetasaḥ // Mo_4,17.23 //	ciram eka dRXa aByAsAt SudDiH Bavati cetasaH // MaH _4,17.23 //
   ekasmin samyagjñānādau | yaḥ dṛḍhābhyāsaḥ nairantaryeṇa taccintanam |	ekasmin samyak jQAna AdO | yaH dRXa aByAsaH nErantaryeNa tad cintanam |
   tasmāt || MoT_4,17.23 ||	tasmAt || MoT_4,17.23 ||
   ***NOTES:	***NOTa ES:
   #23 N17: maṇe[s]	#23 N17: maNe[ s]
   śrīrāmaḥ pṛcchati	SrI rAmaH pRcCati
        pratibhāsātmani jagaty ete kālakriyākramāḥ /	pratiBAsA Atmani jagati ete kAla kriyA kramAH /
        sodayāstamayā jātāḥ kathaṃ śukrasya cetasaḥ // Mo_4,17.24 //	sa udayAH tamayA jAtAH kaTam Sukrasya cetasaH // MaH _4,17.24 //
   pratibhāsātmani jagati sphuritānāṃ kālakriyākramāṇāṃ{#24}	pratiBAsA Atmani jagati sPuritAnAm kAla kriyA kramANAM{#24}
   sodayāstamayatvam na yuktam | tac ca śukracetasaḥ{#25} kathaṃ jātam iti	sa udaya astamaya tvam na yuktam | tat ca Sukra cetasaH{#25} kaTam jAtam iti
   bhāvaḥ || MoT_4,17.24 ||	BAvaH || MoT_4,17.24 ||
   ***NOTES:	***NOTa ES:
   #24 N17: °kramā<n>[ṇ]āṃ	#24 N17: °kramA<n>[N]Am
   #25 N17: śukra<ṃ>ce°	#25 N17: Sukra<M>ce°
   śrīvasiṣṭhaḥ uttaram āha	SrI vasizWaH uttaram Aha
        yādṛg jagad{#26} idaṃ dṛṣṭaṃ śukreṇa pitṛmātṛtaḥ /	yAdRS jagat {#26} idam dRzwam SukreNa pitR mAtRtaH /
        tādṛk tasya sthitaṃ citte mayūrāṇḍe mayūravat // Mo_4,17.25 //	tAdRS tasya sTitam citte mayUra aNxe mayUra vat // MaH _4,17.25 //
   pitṛmātṛtaḥ utpannena śukreṇa yādṛk idaṃ jagat dṛṣṭam | tat tasya śukrasya	pitR mAtRtaH utpannena SukreNa yAdRS idam jagat dRzwam | tat tasya Sukrasya
   | citte tādṛk sthitam āsīt | katham | mayūravat | yathā mayūrāṇḍe mayūraḥ	| citte tAdRS sTitam AsIt | kaTam | mayUra vat | yaTA mayUra aNxe mayUraH
   asti | tathety arthaḥ || MoT_4,17.25 ||	asti | taTA iti arTaH || MoT_4,17.25 ||
   ***NOTES:	***NOTa ES:
   #26 N17: j(īv)*ag*ad	#26 N17: j(Iv)*ag*ad
        svabhāvakośāt svaditaṃ tad anena kramoditam /	svaBAva koSAt svaditam tat anena krama uditam /
        bījenāṅkurapattrādilatāpuṣpaphalaṃ yathā // Mo_4,17.26 //	bIjena aFkura pattra Adi latA puzpa Palam yaTA // MaH _4,17.26 //
   tataḥ anena śukreṇa | tat cittasthaṃ jagat | svabhāvakośāt cittarūpaḥ yaḥ	tatas anena SukreNa | tat citta sTam jagat | svaBAva koSAt citta rUpaH yaH
   svabhāvaḥ | tadrūpāt kośāt | kramoditam sat svaditam āsvādaviṣayīkṛtam |	svaBAvaH | tad rUpAt koSAt | krama uditam sat svaditam AsvAda vizayIkRtam |
   atra dṛṣṭāntam āha bījeneti || MoT_4,17.26 ||	atra dRzwAntam Aha bIjena iti || MoT_4,17.26 ||
        jīvo yadvāsanāsāras tad evāntaḥ prapaśyati /	jIvaH yat vAsanA sAraH tat eva antar prapaSyati /
        svapna evātra dṛṣṭānto dīrghasvapnas tv idaṃ jagat // Mo_4,17.27 //	svapne eva atra dRzwAntaH dIrGa svapnaH tu idam jagat // MaH _4,17.27 //
   nanu katham atra svapnaḥ dṛṣṭāntaḥ astīty | atrāha dīrghasvapna eveti |	nanu kaTam atra svapnaH dRzwAntaH asti iti | atra Aha dIrGa svapnaH eva iti |
   dīrghatvam cātra cirapratibhāsavaśāj jñeyam || MoT_4,17.27 ||	dIrGa tvam ca atra cira pratiBAsa vaSAt jQeyam || MoT_4,17.27 ||
        pratyekam udito rāma nanu saṃsāraṣaṇḍakaḥ /	pratyekam uditaH rAma nanu saMsAra zaNxakaH /
        rātrau sainyanarasvapnajālavat{#27} svātmani sphuṭaḥ // Mo_4,17.28 //	rAtrO sEnya nara svapna jAlavat{#27} sva Atmani sPuwaH // MaH _4,17.28 //
   rātrau hi sainyanarasvarūpaṃ svapnajālam pratyekam pṛthag | udeti ||	rAtrO hi sEnya nara svarUpam svapna jAlam pratyekam pRTak | udeti ||
   MoT_4,17.28 ||	MoT_4,17.28 ||
   ***NOTES:	***NOTa ES:
   #27 N17: °na*ra*sva°	#27 N17: °na*ra*sva°
   śrīrāmaḥ pṛcchati	SrI rAmaH pRcCati
        eṣa{#28} saṃsṛtiṣaṇḍaugho mithaḥ sammilati svayam /	eza{#28} saMsRti zaNxa oGaH miTas sammilati svayam /
        no vāpi yadi tan me tvaṃ yathāvad vaktum arhasi // Mo_4,17.29 //	naH vA api yadi tat me tvam yaTAvat vaktum arhasi // MaH _4,17.29 //
   eṣaḥ saṃsṛtiṣaṇḍaughaḥ svayam svabhāvena | mithaḥ anyoḥnyam | yadi milati	ezaH saMsRti zaNxa oGaH svayam svaBAvena | miTas anyoHnyam | yadi milati
   yadi vā no milati api | tvam etat yathāvat samyak | vaktum arhasi samyak	yadi vA naH milati api | tvam etat yaTAvat samyak | vaktum arhasi samyak 
   kathayeti yāvat || MoT_4,17.29 ||	kaTaya iti yAvat || MoT_4,17.29 ||
   ***NOTES:	***NOTa ES:
   #28 N17: eṣ(ā)a	#28 N17: ez(A)a
   śrīvasiṣṭha uttaram āha	SrI vasizWaH uttaram Aha
        malinaṃ hi mano ḥvīryaṃ na mithaḥ śleṣam arhati /	malinam hi manaH HvIryam na miTas Slezam arhati /
        ayo ḥyasīvāsantapte śuddhe tapte tu līyate // Mo_4,17.30 //	ayaH Hyasi ivA santapte SudDe tapte tu lIyate // MaH _4,17.30 //
   hi niścaye | malinam rāgādimaladūṣitam | ata evāvīryam | manaḥ mithaḥ	hi niScaye | malinam rAga Adi mala dUzitam | atas eva avIryam | manaH miTas 
