   1. Gaurava Vilasa	1. GOrava  Vilasa
   duritāni vilīyante tamāṃsīva dinodaye // Hbhv_11.329 //	duritAni vilIyante tamAMsi iva dina udaye // HBu _11.329 //
   nānyat paśyāmi jantūnām vihāya kari kīrtanam |	na anyat paSyAmi jantUnAm vihAya kari kIrtanam |
   sarva pāpa praśamanam prāyaścittam dvijottama // Hbhv_11.330 //	sarva  pApa  praSamanam prAyaScittam dvijottamaH // HBu _11.330 //
   ṣaṣṭha skandhe [BhP 6.2.7 11]	zazWa skanDe [Bhj 6.2.7 11]
   ayaṃ hi kṛta nirveśo janma koṭy aṃhasām api |	ayam hi kRta  nirveSaH janma   kowi  aMhasAm api |
   yad vyājahāra vivaśo nāma svasty ayanaṃ hareḥ // Hbhv_11.331 //	yat vyAjahAra vivaSaH nAma svasti  ayanam hareH // HBu _11.331 //
   stenaḥ surā po mitra dhrug brahma hā guru talpa gaḥ |	stenaH surA paH mitra Druj brahma hA guru talpa gaH |
   strī rāja pitṛ go hantā ye ca pātakino 'pare // Hbhv_11.332 //	strI rAja  pitR go hantAH ye ca pAtakinaH apare // HBu _11.332 //
   sarveṣām apy aghavatām idam eva suniṣkṛtam |	sarvezAm api aGavatAm idam eva su nizkRtam |
   nāma vyāharaṇaṃ viṣṇor yatas tad viṣayā matiḥ // Hbhv_11.333 //	nAma  vyAharaNam vizNoH yatas tad  vizayA matiH // HBu _11.333 //
   na niṣkṛtair uditair brahma vādibhis	na nizkRtEH uditEH brahma  vAdiBiH 
   tathā viśuddhyaty aghavān vratādibhiḥ |	taTA viSudDi ati aGavAn vrata AdiBiH |
   yathā harer nāma padair udāhṛtais	yaTA hareH nAma  padEH udAhRtEH 
   tad uttamaśloka guṇopalambhakam // Hbhv_11.334 //	tat uttamaSloka  guNa upalamBakam // HBu _11.334 //
   [BhP 6.2.14 15]	[Bhj 6.2.14 15]
   sāṅketyaṃ pārihāsyaṃ vā stobhaṃ helanam eva vā |	sa aFketyam pArihAsyam vA stoBam helanam eva vA |
   vaikuṇṭha nāma grahaṇam aśeṣāgha haraṃ viduḥ // Hbhv_11.335 //	vEkuNWa nAma   grahaNam aSeza aGa haram viduH // HBu _11.335 //
   patitaḥ skhalito bhagnaḥ sandaṣṭas tapta āhataḥ |	patitaH sKalitaH BagnaH sandazwaH tapte AhataH |
   harir ity avaśenāha pumān nārhati yātanāḥ // Hbhv_11.336 //	hariH iti avaSena Aha pumAn na arhati yAtanAH // HBu _11.336 //
   [BhP 6.2.18]	[Bhj 6.2.18]
   ajñānād athavā jñānād uttamaśloka nāma yat |	ajQAnAt aTavA jQAnAt uttamaSloka  nAma yat |
   saṅkīrtitam aghaṃ puṃso dahed edho yathānalaḥ // Hbhv_11.337 //	saFkIrtitam aGam puMsaH dahet eDaH yaTA analaH // HBu _11.337 //
   [BhP 6.13.8]	[Bhj 6.13.8]
   brahma hā pitṛ hā go ghno mātṛ hācārya hāghavān |	brahma hA pitR hAH go GnaH mAtR ha AcArya  hAGavAn |
   śvādaḥ pulkasako vāpi śuddhyeran yasya kīrtanāt // Hbhv_11.338 //	SvAdaH pulkasakaH vA api SudDyeran yasya kIrtanAt // HBu _11.338 //
   laghu bhāgavate 	laGu BAgavate 
   vartamānaṃ tu yat pāpaṃ yad bhūtaṃ yad bhaviṣyati |	vartamAnam tu yat pApam yat BUtam yat Bavizyati |
   tat sarvaṃ nirdahaty āśu govindānala kīrtanāt // Hbhv_11.339 //	tat sarvam nirdahati ASu govinda anala  kIrtanAt // HBu _11.339 //
   sadā droha paro yas tu sajjanānāṃ mahī tale |	sadA droha  paraH yaH tu sat janAnAm mahI  tale |
   jāyate pāvano dhanyo harer nāmānukīrtanāt // Hbhv_11.340 //	jAyate pAvanaH DanyaH hareH nAma anukIrtanAt // HBu _11.340 //
   kaurme 	kOrme 
   vasanti yāni koṭis tu pāvanāni mahītale |	vasanti yAni kowiH tu pAvanAni mahI tale |
   na tāni tat tulāṃ yānti kṛṣṇa nāmānukīrtane // Hbhv_11.341 //	na tAni tat  tulAm yAnti kRzNa  nAma anukIrtane // HBu _11.341 //
   bṛhad viṣṇu purāṇe  	bRhad  vizNu purANe  
   nāmno 'sya yāvatī śaktiḥ pāpa nirharaṇe hareḥ |	nAmnaH asya yAvatI SaktiH pApa  nirharaNe hareH |
   tāvat kartuṃ na śaknoti pātakaṃ pātakī janaḥ // Hbhv_11.342 //	tAvat kartum na Saknoti pAtakam pAtakI janaH // HBu _11.342 //
   itihāsottame 	itihAsa uttame 
   svādo 'pi na hi śaknoti kartuṃ pāpāni yatnataḥ |	svAdaH api na hi Saknoti kartum pApAni yatnatas |
   tāvantī yāvatī śaktir viṣṇor nāmno 'subha kṣaye // Hbhv_11.343 //	tAvantI yAvatI SaktiH vizNoH nAmnaH asuBa  kzaye // HBu _11.343 //
   viśeṣataḥ kalau, skānde 	viSezataH kalO, skAnde 
   tan nāsti karmajaṃ loke vāg jaṃ mānasam eva vā |	tat na asti karma jam loke vAg jam mAnasam eva vA |
   yan na kṣapayate pāpaṃ kalau govinda kīrtanam // Hbhv_11.344 //	yat na kzapayate pApam kalO govinda  kIrtanam // HBu _11.344 //
   viṣṇu dharmottare   	vizNu  Darma uttare   
   śamāyālaṃ jalaṃ vahnes tamaso bhaskarodayaḥ |	SamAya alam jalam vahneH tamasaH Baskara udayaH |
   śāntyai kaler aghaughasya nāma saṅkīrtanaṃ hareḥ // Hbhv_11.345 //	SAntyE kaleH aGa oGasya nAma  saFkIrtanam hareH // HBu _11.345 //
   nāmnāṃ hareḥ kīrtanataḥ prayāti	nAmnAm hareH kIrtanataH prayAti
   saṃsāra pāraṃ duritaugha muktaḥ |	saMsAra  pAram durita oGa muktaH |
   naraḥ sa satyaṃ kali doṣa janma	naraH sa satyam kali doza  janma
   pāpaṃ nihaty āśu kim atra citram // Hbhv_11.346 //	pApam nihati ASu kim atra citram // HBu _11.346 //
   brahmāṇḍa purāṇe 	brahmANxa purANe 
   varāka cāndrāyaṇa tapta kṛcchrair	varAka cAndrAyaNa  tapta kRcCrEH 
   na dehi śuddhir bhavatīha tādṛk |	na dehi  SudDiH Bavati iha tAdRS |
   kalau sakṛn mādhava kīrtanena	kalO sakRt mADava  kIrtanena
   govinda nāmnā bhavatīha yādṛk // Hbhv_11.347 //	govinda  nAmnA Bavati iha yAdRS // HBu _11.347 //
   kīrtana kartr kula saṅgy ādi pavanatvaṃ	kIrtana kartr  kula  saFgI  Adi  pavana tvam
   tatraiva 	tatra eva 
   mahā pātaka yukto 'pi kīrtayenn aniśaṃ harim |	mahA pAtaka yuktaH api kIrtayenn aniSam harim |
   śuddhāntaḥkaraṇo bhūtvā jāyate paṅkti pāvanaḥ // Hbhv_11.348 //	SudDa antaHkaraNaH BUtvA jAyate paFkti pAvanaH // HBu _11.348 //
   laghu bhāgavate 	laGu BAgavate 
   govindeti mudā yuktaḥ kīrtayed yas tv ananya dhīḥ |	govinda iti mudA yuktaH kIrtayet yaH tu ananya DIH |
   pāvanena ca dhanyena teneyaṃ pṛthivī dhṛtā // Hbhv_11.349 //	pAvanena ca Danyena tena iyam pRTivI DRtAH // HBu _11.349 //
   hari bhakti sudhodaye 	hari  Bakti suDA udaye 
   na caivam ekaṃ vaktāraṃ jihvā rakṣati vaiṣṇavī |	na ca evam ekam vaktAram jihvA rakzati vEzNavI |
   āśrāvya bhagavat khyātiṃ jagat kṛtsnaṃ punāti hi // Hbhv_11.350 //	ASrAvya Bagavat  KyAtim jagat kRtsnam punAti hi // HBu _11.350 //
   daśama skandhe (10.4.17)  	daSama skanDe (10.4.17)  
   yan nāma gṛhṇann akhilan śrotṝn ātmānam eva ca |	yan nAma gRhNan aKilan SrotLn AtmAnam eva ca |
   sadyaḥ punāti kiṃ bhūyas tasya spṛṣṭaḥ padā hi te // Hbhv_11.351 //	sadyas punAti kim BUyas tasya spRzwaH padA hi te // HBu _11.351 //
   ata evoktaṃ prahlādena nārasiṃhe 	atas eva uktam prahlAdena nArasiMhe 
   te santaḥ sarva bhūtānāṃ nirupādhika bāndhavāḥ |	te santaH sarva BUtAnAm nirupADi ka  bAnDavAH |
   ye nṛsiṃha bhavan nāma gāyanty uccair mudānvitāḥ // Hbhv_11.352 //	ye nRsiMha Bavan  nAma gAyanti uccEs mudA anvitAH // HBu _11.352 //
   sarva vyadhi nasitvaṃ	sarva  vyaDi nasi tvam
   bṛhan nāradīye bhagavat toṣa prasaṅge 	bRhan  nAradIye Bagavat  toza  prasaFge 
   acyutānanda govinda nāmoccaraṇa bhīṣitaḥ |	acyuta Ananda  govinda  nAma uccaraNa  BIzitaH |
   naśyanti sakalā rogāḥ satyaṃ satyaṃ vadāmy aham // Hbhv_11.353 //	naSyanti sakalAH rogAH satyam satyam vadAmi aham // HBu _11.353 //
   parāśara saṃhitāyāṃ sāmbaṃ prati vyāsoktau 	parASara  saMhitAyAm sAmbam prati vyAsa uktO 
   na sāmba vyādhijaṃ duḥkhaṃ heyaṃ nānyauṣadhair api |	na sAmba vyADi jam duHKam heyam na anya OzaDEH api |
   hari nāmauṣadhaṃ pītvā vyādhis tyājyo na saṃśayaḥ // Hbhv_11.354 //	hari nAma OzaDam pItvA vyADiH tyAjyaH na saMSayaH // HBu _11.354 //
   skānde 	skAnde 
   ādhayo vyādhayo yasya smaraṇān nāma kīrtanāt |	ADayaH vyADayaH yasya smaraNAt nAma kIrtanAt |
   tadaiva vilayaṃ yānti tam anantaṃ namāmy aham // Hbhv_11.355 //	tadA eva vilayam yAnti tam anantam namAmi aham // HBu _11.355 //
   vahni purāṇe 	vahni purANe 
   mahā vyādhi samācchanno rāja vadhopāpiditaḥ |	mahA  vyADi  samAcCannaH rAja  vaDa upApiditaH |
   nārāyaṇeti saṅkīrtya nirāṭaṅko bhaven naraḥ // Hbhv_11.356 //	nArAyaNa iti saFkIrtya nirAwaFkaH Bavet naraH // HBu _11.356 //
   sarva duḥkhopaśamanatvam	sarva  duHKa upaSamana tvam
   brhad viṣṇu purāṇe 	brhad  vizNu purANe 
   sarva rogopaśamanaṃ sarvopadrava nāśanam |	sarva  roga upaSamanam sarva upadrava  nASanam |
   śāntidaṃ sarvāriṣṭānāṃ harer nāmānukīrtanam // Hbhv_11.357 //	SAnti dam sarva arizwAnAm hareH nAma anukIrtanam // HBu _11.357 //
   brahma vaivarte 	brahma vEvarte 
   sarva pāpa praśamanaṃ sarvopadrava nāśanam |	sarva  pApa  praSamanam sarva upadrava  nASanam |
   sarva duḥkha kṣaya kāraṃ hari nāmānukīrtanam // Hbhv_11.358 //	sarva  duHKa  kzaya kAram hari nAma anukIrtanam // HBu _11.358 //
   dvādaśa skandhe (12.12.48) 	dvAdaSa skanDe (12.12.48) 
   saṅkīrtyamāno bhagavān anantaḥ	saFkIrtyamAnaH BagavAn anantaH
   śrutanubhāvo vyasanaṃ hi puṃsām |	SrutanuBAvaH vyasanam hi puMsAm |
   praviśya cittaṃ vidhunoty aśeṣaṃ	praviSya cittam viDunoti aSezam
   yathā tamo 'rko 'bhram ivāti vātaḥ // Hbhv_11.359 //	yaTA tamaH arkaH aBram iva ati vAtaH // HBu _11.359 //
   viṣṇu dharmottare 	vizNu  Darma uttare 
   ārtā viṣaṇṇāḥ śithilāś ca bhītā	ArtAH vizaNNAH SiTilAH ca BItA
   ghoreṣu ca vyādhiṣu vartamānāḥ |	Gorezu ca vyADizu vartamAnAH |
   saṅkīrtya nārāyaṇa śabdam ekaṃ	saFkIrtya nArAyaNa  Sabdam ekam
   vimukta duḥkhāḥ sukhino bhavanti // Hbhv_11.360 //	vimukta  duHKAH suKinaH Bavanti // HBu _11.360 //
   kīrtanad deva devasya viṣṇor amita tejasaḥ |	kIrtanat deva devasya vizNoH amita  tejasaH |
   yakṣa rakṣasa vetala bhūta preta vinayakaḥ // Hbhv_11.361 //	yakza rakzasa  vetala BUta  preta  vinayakaH // HBu _11.361 //
   dakinyo vidravanti sma ye tathānye ca siṃhakaḥ |	dakinyaH vidravanti sma ye taTA anye ca siMhakaH |
   sarvānartha haraṃ tasya nāma saṅkīrtanaṃ smṛtam // Hbhv_11.362 //	sarva anarTa  haram tasya nAma  saFkIrtanam smRtam // HBu _11.362 //
   kiṃ ca 	kim ca 
   nāma saṅkīrtanaṃ kṛtvā kṣuṭ tṛṭ praskhalitādiṣu |	nAma  saFkIrtanam kRtvA kzuw  tRw  prasKalita Adizu |
   viyogaṃ śīghram āpnoti sarvānarthair na saṃśayaḥ // Hbhv_11.363 //	viyogam SIGram Apnoti sarvAn arTEH na saMSayaH // HBu _11.363 //
   pādme devahuti stutau 	pAdme deva huti  stutO 
   mohanalollasaj jvāla jvalal lokeṣu sarvadā |	moha nala ullasaj  jvAla  jvalal  lokezu sarvadA |
   yan nāmāmbhodhara cchāyāṃ praviṣṭo naiva dahyate // Hbhv_11.364 //	yan nAma amBoDara = CAyAm pravizwaH na eva dahyate // HBu _11.364 //
   kali badhapaharitvam	kali baDapa hari tvam
   skānde 	skAnde 
   kali kala ku sarpasya tīkṣṇa daṃṣṭrasya mā bhayam |	kali kala  ku sarpasya tIkzNa daMzwrasya mA Bayam |
   govinda nāma dāvena dagdho yāsyati bhasmatām // Hbhv_11.365 //	govinda  nAma  dAvena dagDaH yAsyati Basma tAm // HBu _11.365 //
   bṛhan nāradīye kali dharma prasaṅge 	bRhan  nAradIye kali Darma  prasaFge 
   hari nāma parā ye ca ghore kali yuge narāḥ |	hari nAma  parAH ye ca Gore kali  yuge narAH |
   ta eva kṛta kṛtyāś ca na kalir bādhate hi tān // Hbhv_11.366 //	te eva kRta kRtyAH ca na kaliH bADate hi tAn // HBu _11.366 //
   hare keśava govinda vāsudeva jagan maya |	hare keSava govinda vAsudeva jagan mayaH |
   itīrayanti te nityaṃ na hi tān bādhate kaliḥ // Hbhv_11.367 //	iti Irayanti te nityam na hi tAn bADate kaliH // HBu _11.367 //
   viṣṇu dharmottare 	vizNu  Darma uttare 
   ye'har niśaṃ jagad dhātur vāsudevasya kīrtanam |	ye ahar niSam jagat  DAtuH vAsudevasya kIrtanam |
   kurvanti tān nara vyāghra na kalir bādhate narān // Hbhv_11.368 //	kurvanti tAn nara  vyAGra na kaliH bADate narAn // HBu _11.368 //
   nāraky uddhārakatvam	nArakI  udDAraka tvam
   nārasiṃhe 	nArasiMhe 
   yathā yathā harer nāma kīrtayanti sma nārakāḥ |	yaTA yaTA hareH nAma kIrtayanti sma nArakAH |
   tathā tathā harau bhaktim udvahanto divaṃ yayuḥ // Hbhv_11.369 //	taTA taTA harO Baktim udvahantaH divam yayuH // HBu _11.369 //
   itihāsottame 	itihAsa uttame 
   narake pacyamānānāṃ narāṇāṃ pāpa karmaṇām |	narake pacyamAnAnAm narANAm pApa  karmaNAm |
   muktiḥ sañjāyate tasmān nāma saṅkīrtanād dhareḥ // Hbhv_11.370 //	muktiH san jAyate tasmAt nAma  saFkIrtanAt DareH // HBu _11.370 //
   prārabdha vināśitvam	prArabDa  vinASi tvam
   ṣaṣṭha skandhe (6.2.46) 	zazWa skanDe (6.2.46) 
   nātaḥ paraṃ karma nibandha kṛntanaṃ	na atas param karma  nibanDa  kRntanam
   mumukṣatāṃ tīrtha padānukīrtanāt |	mumukzatAm tIrTa  pada anukIrtanAt |
   na yat punaḥ karmasu sajjate mano	na yat punar karmasu sajjate manaH 
   rajas tamobhyāṃ kalilaṃ tato 'nyathā // Hbhv_11.371 //	rajas tamoByAm kalilam tatas anyaTA // HBu _11.371 //
   dvādaśe (12.3.44) ca 	dvAdaSe (12.3.44) ca 
   yan nāma dheyaṃ mriyamāṇa āturaḥ	yan nAma Deyam mriyamANaH AturaH
   patan skhalan vā vivaśo gṛṇan pumān |	patan sKalan vA vivaSaH gRNan pumAn |
   vimukta karmārgala uttamāṃ gatiṃ	vimukta  karma argale uttamAm gatim
   prāpnoti yakṣyanti na taṃ kalau janāḥ // Hbhv_11.372 //	prApnoti yakzyanti na tam kalO janAH // HBu _11.372 //
   uktya karma nibandheti tathā karmārgaleti ca |	uktya karma nibanDa iti taTA karma argalA iti ca |
   avaśya bhogyatāpatteḥ prārabdhe paryavasyati // Hbhv_11.373 //	avaSya   Bogya tA ApatteH prArabDe paryavasyati // HBu _11.373 //
   ata eva bṛhan nāradīye 	atas eva bRhan  nAradIye 
   govindeti japan jantuḥ praty ahaṃ niyatendriyaḥ |	govinda iti japan jantuH praty aham niyata indriyaH |
   sarva pāpa vinirmuktaḥ suravad bhāsate naraḥ // Hbhv_11.374 //	sarva pApa  vinirmuktaH sura vat BAsate naraH // HBu _11.374 //
   sarvapārādha bhajanatvam	sarva pArADa  Bajana tvam
   viṣṇu yāmale śrī bhagavad uktau 	vizNu yAmale SrI  Bagavat  uktO 
   mama nāmāni loke'smin śraddhayā yas tu kīrtayet |	mama nAmAni loke asmin SradDayA yaH tu kIrtayet |
   tasyāparādha koṭis tu kṣamāmy eva na saṃśayaḥ // Hbhv_11.375 //	tasya aparADa  kowiH tu kzamAmi eva na saMSayaH // HBu _11.375 //
   sarva sampūrti kāritvam	sarva  sampUrti kAri tvam
   aṣṭama skandhe (8.23.16) śrī bhagavantaṃ prati śrī śukroktau 	azwama skanDe (8.23.16) SrI  Bagavantam prati SrI  Sukra uktO 
   mantratas tantrataś chidraṃ deśa kālārha vastutaḥ |	mantrataH tantrataH Cidram deSa  kAla arha  vastutas |
   sarvaṃ karoti niśchidram anusaṅkīrtanaṃ tava // Hbhv_11.376 //	sarvam karoti niSCidram anusaFkIrtanam tava // HBu _11.376 //
   skānde ca 	skAnde ca 
   yasya smṛtyā ca nāmoktyā tapo yajña kriyādiṣu |	yasya smRtyA ca nAma uktyA tapo yajQa  kriyA Adizu |
   nyūnaṃ sampūrṇatām eti sadyo vande tam acyutam // Hbhv_11.377 //	nyUnam sampUrNa tAm eti sadyas vande tam acyutam // HBu _11.377 //
   sarva vedādhikatvam	sarva veda aDika tvam
   viṣṇu dharmottare śrī prahlādoktau 	vizNu  Darma uttare SrI  prahlAda uktO 
   rg vedo hi yajur vedaḥ sāma vedo 'py atharvaṇaḥ |	rg vedaH hi yajuH  vedaH sAma vedaH api aTarvaNaH |
   adhītas tena yenoktaṃ harir ity akṣara dvayam // Hbhv_11.378 //	aDItaH tena yena uktam hariH iti akzara  dvayam // HBu _11.378 //
   skānde śrī parvaty uktau 	skAnde SrI  parvati  uktO 
   mā ṛco mā yajus tāta mā sāma paṭha kiṃcana |	mA RcaH mA yajuH tAta mA sAma paWa kiMcana |
   govindeti harer nāma geyaṃ gāyasva nityaśaḥ // Hbhv_11.379 //	govinda iti hareH nAma geyam gAyasva nityaSas // HBu _11.379 //
   pādme ca śrī rāmāṣṭottara śata nāma stotre 	pAdme ca SrI rAma azwa uttara  Sata nAma  stotre 
   viṣṇor ekaika nāmāpi sarva vedādhikaṃ matam |	vizNoH ekEka nAma api sarva  veda aDikam matam |
   tadṛṅ nāma sahasreṇa rāma nāma samaṃ smṛtam // Hbhv_11.380 //	tad RF nAma  sahasreNa rAma  nAma samam smRtam // HBu _11.380 //
   sarva tīrthādhikatvam	sarva tIrTa aDika tvam
   skānde 	skAnde 
   kurukṣetreṇa kiṃ tasya kiṃ kasya puskareṇa vā |	kurukzetreNa kim tasya kim kasya puskareNa vA |
   jihvāgre vasate yasya harir ity akṣara dvayam // Hbhv_11.381 //	jihvA agre vasate yasya hariH iti akzara  dvayam // HBu _11.381 //
   vāmane 	vAmane 
   tīrtha koṭi sahasrāṇi tīrtha koṭi śatāni ca |	tIrTa  kowi  sahasrANi tIrTa  kowi  SatAni ca |
   tani sarvāṇy avāpnoti viṣṇor nāmānukīrtanāt // Hbhv_11.382 //	tani sarvANi avApnoti vizNoH nAma anukIrtanAt // HBu _11.382 //
   viśvāmitra saṃhitāyām 	viSvAmitra  saMhitAyAm 
   viśrutāṇi bahūny eva tīrthāni bahudhāni ca |	viSrutANi bahUni eva tIrTAni bahuDAni ca |
   koty aṃśenāpi tulyāni nāma kīrtanato hareḥ // Hbhv_11.383 //	koti  aMSena api tulyAni nAma kIrtanataH hareH // HBu _11.383 //
   laghu bhāgavate 	laGu BAgavate 
   kiṃ tata vedāgama śāstra vistarais	kim tatas veda Agama  SAstra  vistarEH 
   tīrthair anekair api kiṃ prayojanam |	tIrTEH anekEH api kim prayojanam |
   yady ātmano vāñchasi mukti kāraṇaṃ	yadi AtmanaH vAQCasi mukti  kAraNam
   govinda govinda iti sphutaṃ raṭa // Hbhv_11.384 //	govinda govindaH iti sPutam rawaH // HBu _11.384 //
   sarva sat karmādhikatvam	sarva sat karma aDika tvam
   go koṭi dānaṃ grahaṇe khagasya	go kowi dAnam grahaNe Kagasya
   prayāga gaṅgodaka kalpa vāsaḥ |	prayAga  gaFgA udaka kalpa vAsaH |
   yajñāyutaṃ meru suvarṇa dānaṃ	yajQa ayutam meru  suvarNa  dAnam
   govinda kīrter na samaṃ śatāṃśaiḥ // Hbhv_11.385 //	govinda  kIrteH na samam Sata aMSEH // HBu _11.385 //
   baudhayana saṃhitāyām 	bODayana saMhitAyAm 
   iṣṭa pūrtāni karmāṇi su bahūni kṛtāny api |	izwa  pUrtAni karmANi su  bahUni kRtAni api |
   bhava hetūni tāny eva harer nāma tu muktidam // Hbhv_11.386 //	Bava  hetUni tAni eva hareH nAma tu mukti dam // HBu _11.386 //
   gāruḍe śrī śaunakāmbarīṣa saṃvāde 	gAruxe SrI  SOnaka ambarIza  saMvAde 
   vājapeya sahasrāṇāṃ nityaṃ phalam abhīpsasi |	vAjapeya  sahasrANAm nityam Palam aBIpsasi |
   prātar utthāya bhūpāla kuru govinda kīrtanam // Hbhv_11.387 //	prAtar utTAya BUpAla kuru govinda  kIrtanam // HBu _11.387 //
   kiṃ kariṣyati sāṅkhyena kiṃ yogair nara nāyaka |	kim karizyati sAFKyena kim yogEH nara nAyakaH |
   muktim icchasi rājendra kuru govinda kīrtanam // Hbhv_11.388 //	muktim icCasi rAja indra kuru govinda  kIrtanam // HBu _11.388 //
   tṛtīya skandhe (3.33.7) śrī kapila devaṃ prati devahūty uktau 	tRtIya  skanDe (3.33.7) SrI  kapila devam prati devahUti  uktO 
   aho bata śvapaco 'to garīyān	aho bata SvapacaH atas garIyAn
   yaj jihvāgre vartate nāma tubhyam |	yaj jihvA agre vartate nAma tuByam |
   tepus tapas te juhuvur sasnur aryā	tepuH tapaH te juhuvuH sasnuH aryA
   brahmānūcur nāma gṛhṇanti ye te // Hbhv_11.389 //	brahma anUcuH nAma gRhNanti ye te // HBu _11.389 //
   sarva tīrtha pradatvaṃ	sarva tIrTa  prada tvam
   skānde brahma nārada saṃvāde caturmāsya māhātmye 	skAnde brahma nArada  saMvAde catur mAsya mAhAtmye 
   etat sad varga haraṇaṃ ripu nigrahaṇaṃ param |	etat sat  varga haraNam ripu  nigrahaNam param |
   adhyātma mūlam etad dhi viṣṇor nāmānukīrtanam // Hbhv_11.390 //	aDyAtma  mUlam etat Di vizNoH nAma anukIrtanam // HBu _11.390 //
   viṣṇu dharmottare   	vizNu  Darma uttare   
   hṛdi kṛtvā tathā kāmam abhīṣṭaṃ dvija puṅgavaḥ |	hRdi kRtvA taTA kAmam aBIzwam dvija  puFgavaH |
   ekaṃ nāma japed yas tu śataṃ kāmān avāpnuyāt // Hbhv_11.391 //	ekam nAma japet yaH tu Satam kAmAn avApnuyAt // HBu _11.391 //
   tatraiva śrī kṛṣṇāmṛta stotre 	tatra eva SrI  kRzNAmRta stotre 
   sarva maṅgala maṅgalyam āyuṣyaṃ vyādhi nāśanam |	sarva maFgala  maFgalyam Ayuzyam vyADi  nASanam |
   bhukti mukti pradaṃ divyaṃ vāsudevasya kīrtanam // Hbhv_11.392 //	Bukti  mukti  pradam divyam vAsudevasya kIrtanam // HBu _11.392 //
   śrī nārāyaṇa vyūha stave 	SrI nArAyaNa vyUha  stave 
   parihāsopahāsādyair viṣṇor gṛhṇanti nāma te |	parihAsa upahAsa AdyEH vizNoH gRhNanti nAma te |
   kṛtārthās te'pi manujās tebhyo 'pīha namo namaḥ // Hbhv_11.393 //	kRtArTAH te api manujAH teByaH api iha namaH namaH // HBu _11.393 //
   vārāhe ca 	vArAhe ca 
   te dhanyās te kṛtārthāś ca tair eva sukṛtaṃ kṛtam |	te DanyAH te kRtArTAH ca tEH eva sukRtam kRtam |
   tair āptaṃ janmanaḥ prāpyaṃ ye kāle kīrtayanti mām // Hbhv_11.394 //	tEH Aptam janmanaH prApyam ye kAle kIrtayanti mAm // HBu _11.394 //
   viśeṣataḥ kalau 	viSezataH kalO 
   sakṛd uccārayanty etad durlabhaṃ cākṛtātmanām |	sakRt uccArayanti etat durlaBam ca akRtAtmanAm |
   kalau yuge harer nāma te kṛtārthā na saṃśayaḥ // Hbhv_11.395 //	kalO yuge hareH nAma te kRtArTAH na saMSayaH // HBu _11.395 //
   ekādaśa skandhe (11.5.36) ca 	ekAdaSa  skanDe (11.5.36) ca 
   kaliṃ sabhājayanty āryā guṇa jāḥ sāra bhāginaḥ |	kalim saBAjayanti AryAH guNa jAH sAra BAginaH |
   yatra saṅkīrtanenaiva sarvaḥ svartho 'bhilabhyate // Hbhv_11.396 //	yatra saFkIrtanena eva sarvaH svarTaH aBilaByate // HBu _11.396 //
