   pañcatantram	paQcatantram
   vānara āha nāhaṃ te kathayiṣyāmi | yad bhāryā vākyena bhavatāhaṃ samudre	vAnaraH Aha na aham te kaTayizyAmi | yat BAryA  vAkyena BavatA aham samudre
   prakṣiptuṃ nītaḥ | tad evaṃ na yuktam | yadyapi bhāryā sarva lokād api	prakziptum nItaH | tat evam na yuktam | yadi api BAryA sarva lokAt api
   vallabhā bhavati, tathāpi na mitrāṇi bāndhavāś ca bhāryā vākyena samudre	vallaBA Bavati, taTA api na mitrANi bAnDavAH ca BAryA  vAkyena samudre
   prakṣipyante | tan mūrkha ! mūḍhatvena nāśas tava mayā prāg eva nivedita	prakzipyante | tat mUrKaH ! mUXa tvena nASaH tava mayA prAk eva nivedita
   āsīt, yataḥ 	AsIt, yatas  
   satāṃ vacanam ādiṣṭaṃ madena na karoti yaḥ |	satAm vacanam Adizwam madena na karoti yaH |
   sa vināśam avāpnoti ghaṇṭoṣṭra iva satvaram ||Panc_4.74||	sa vinASam avApnoti GaNwA uzwraH iva sa tvaram ||Pan= _4.74||
   makara āha katham etat ?	makaraH Aha kaTam etat ?
   so 'bravīt 	saH abravIt  
   kathā 13	kaTA 13
   ujjvalaka rathakāra kathā	ujjvalaka raTa kAra  kaTA
   kasmiṃścid adhiṣṭhāne ujjvalako nāma rathakāraḥ prativasati sma | sa	kasmiMScid aDizWAne ujjvalakaH nAma raTakAraH prativasati sma | sa
   cātīva dāridryopahataś cintitavān aho ! dhig iyaṃ daridratāsmad gṛhe |	ca atIva dAridrya upahataH cintitavAn  ahaH ! Dik iyam daridra tA asmad  gRhe |
   yataḥ sarvo 'pi janaḥ sva karmaṇaiva ratas tiṣṭhati | asmadīyaḥ punar	yatas sarvaH api janaH sva karmaNA eva rataH tizWati | asmadIyaH punar 
   vyāpāro nātrādhiṣṭhāne'rhati | yataḥ sarva lokānāṃ cirantanāś caturbhūmikā	vyApAraH na atra aDizWAne arhati | yatas sarva  lokAnAm cirantanAH catur BUmikA
   gṛhāḥ santi | mama ca nātra | tat kiṃ madīyena rathakāratvena prayojanam ?	gRhAH santi | mama ca na atra | tat kim madIyena raTakAra tvena prayojanam ?
   iti cintayitvā deśān niṣkrāntaḥ |	iti cintayitvA deSAn nizkrAntaH |
   yāvat kiñcid vanaṃ gacchati tāvad gahvarākāra vana gahana madhye sūryāstam	yAvat kiQcid vanam gacCati tAvat gahvara AkAra  vana  gahana  maDye sUryAH tam
   anavelāyāṃ sva yūthād bhraṣṭāṃ prasava vedanayā pīḍyamānām uṣṭrīm apaśyat	anavelAyAm sva yUTAt BrazwAm prasava  vedanayA pIxyamAnAm uzwrIm apaSyat 
   | sa ca dāseraka yuktām uṣṭrīṃ gṛhītvā sva sthānābhimukhaḥ prasthitaḥ |	| sa ca dAseraka yuktAm uzwrIm gRhItvA sva  sTAna aBimuKaH prasTitaH |
   gṛham āsādya rajjuṃ gṛhītvā tām uṣṭrikāṃ babandha | tataś ca tīkṣṇaṃ	gRham AsAdya rajjum gRhItvA tAm uzwrikAm babanDa | tatas ca tIkzNam
   paraśum ādāya tasyāḥ pallavānayanārthaṃ parvataika deśe gataḥ | tatra ca	paraSum AdAya tasyAH pallava Anayana arTam parvata eka deSe gataH | tatra ca
   nūtanāni komalāni bahūni pallavāni cchittvā śirasi samāropya tasyāgre	nUtanAni komalAni bahUni pallavAni cCittvA Sirasi samAropya tasya agre
   nicikṣepa | tayā ca tāni śanaiḥ śanair bhakṣitāni | paścāt	nicikzepa | tayA ca tAni SanEs SanEs BakzitAni | paScAt 
   pallava bhakṣaṇa prabhāvād aharniśaṃ pīvara tanur uṣṭrī sañjātā | so 'pi	pallava  BakzaNa  praBAvAt aharniSam pIvara tanuH uzwrI san jAtA | saH api
   dāserako mahān uṣṭraḥ sañjātaḥ | tataḥ sa nityam eva dugdhaṃ gṛhītvā	dAserakaH mahAn uzwraH san jAtaH | tatas sa nityam eva dugDam gRhItvA
   sva kuṭumbaṃ paripālayati |	sva kuwumbam paripAlayati |
   atha rathakāreṇa vallabhatvād dāseraka grīvāyāṃ mahatī ghaṇṭā pratibaddhā	aTa raTakAreNa vallaBa tvAt dAseraka grIvAyAm mahatI GaNwA pratibadDA
   | paścād rathakāro vyacintayat aho ! kim anyair duṣkṛta karmabhiḥ | yāvan	| paScAt raTakAraH vyacintayat ahaH ! kim anyEH duzkRta karmaBiH | yAvat 
   mamaitasmād evoṣṭrāparipālanād asya kuṭumbasya bhavyaṃ sañjātam | tat kim	mama etasmAt eva uzwra aparipAlanAt asya kuwumbasya Bavyam san jAtam | tat kim
   anyena vyāpāreṇa ?	anyena vyApAreNa ?
   evaṃ vicintya gṛham āgatya priyām āha bhadre ! samīcīno 'yaṃ vyāpāraḥ |	evam vicintya gRham Agatya priyAm Aha Badre ! samIcInaH ayam vyApAraH |
   tava sammatiś cet kuto 'pi dhanikāt kiñcid dravyam ādāya mayā gurjara deśe	tava sammatiH ced kutas api DanikAt kiQcid dravyam AdAya mayA gurjara  deSe
   gantavyaṃ kalabha grahaṇāya | tāvat tvayaitau yatnena rakṣaṇīyau | yāvad	gantavyam kalaBa grahaNAya | tAvat tvayA etO yatnena rakzaNIyO | yAvat 
   aham aparām uṣṭrīṃ nītvā samāgacchāmi |	aham aparAm uzwrIm nItvA samAgacCAmi |
   tataś ca gurjara deśaṃ gatvoṣṭrīṃ gṛhītvā sva gṛham āgataḥ | kiṃ bahunā ?	tatas ca gurjara deSam gatvA uzwrIm gRhItvA sva  gRham AgataH | kim bahunA ?
   tena tathā kṛtaṃ yathā tasya pracurā uṣṭrāḥ karabhāś ca sammilitāḥ | tatas	tena taTA kRtam yaTA tasya pracurAH uzwrAH karaBAH ca sammilitAH | tatas 
   tena mahad uṣṭra yūthaṃ kṛtvā rakṣā puruṣo dhṛtaḥ | tasya prativarṣaṃ	tena mahat uzwra  yUTam kRtvA rakzA  puruzaH DRtaH | tasya prativarzam
   vṛttyā karabham ekaṃ prayacchati | prativarṣam anyac cāharniśaṃ	vRttyA karaBam ekam prayacCati | prativarzam anyat ca aharniSam
   dugdha pānaṃ tasya nirūpitam | evaṃ rathakāro 'pi nityam	dugDa  pAnam tasya nirUpitam | evam raTakAraH api nityam
   evoṣṭrī karabha vyāpāraṃ kurvan sukhena tiṣṭhati |	eva uzwrI kara Ba  vyApAram kurvan suKena tizWati |
   atha te dāserakā adhiṣṭhānopavanāhārthaṃ gacchanti | komala vallīr	aTa te dAserakAH aDizWAna upavanAha arTam gacCanti | komala vallIH 
   yathecchayā bhakṣayitvā mahati sarasi pānīyaṃ pītvā sāyantana samaye	yaTA icCayA BakzayitvA mahati sarasi pAnIyam pItvA sAyantana  samaye
   mandaṃ mandaṃ līlayā gṛham āgacchanti | sa ca pūrva dāserako madātirekāt	mandam mandam lIlayA gRham AgacCanti | sa ca pUrva dAserakaH mada atirekAt 
   pṛṣṭha āgatya milati | tatas taiḥ kalabhair abhihitam aho ! manda matir	pRzWe Agatya milati | tatas tEH kalaBEH aBihitam  aho ! manda matiH 
   ayaṃ dāserako yathā yūthād bhraṣṭaḥ pṛṣṭhe sthitvā ghaṇṭāṃ vādayann	ayam dAserakaH yaTA yUTAt BrazwaH pRzWe sTitvA GaNwAm vAdayan= 
   āgacchati | yadi kasyāpi duṣṭa sattvasya mukhe patiṣyati, tan nūnaṃ mṛtyum	AgacCati | yadi kasya api duzwa  sattvasya muKe patizyati, tat nUnam mRtyum
   avāpsyati |	avApsyati |
   atha tasya tad vanaṃ gāhamānasya kaścit siṃho ghaṇṭā ravam ākarṇya	aTa tasya tat  vanam gAhamAnasya kaScid siMhaH GaNwA ravam AkarNya
   samāyātaḥ | yāvad avalokayati, tāvad uṣṭrī dāserakāṇāṃ yūthaṃ gacchati |	samAyAtaH | yAvat avalokayati, tAvat uzwrI  dAserakANAm yUTam gacCati |
   ekas tu punaḥ pṛṣṭhe krīḍāṃ kurvan vallarīś caran yāvat tiṣṭhati, tāvad	ekaH tu punar pRzWe krIxAm kurvan vallarIH caran yAvat tizWati, tAvat 
   anye dāserakāḥ pānīyaṃ pītvā sva gṛhe gatāḥ | so 'pi vanān niṣkramya yāvad	anye dAserakAH pAnIyam pItvA sva gRhe gatAH | saH api vanAt nizkramya yAvat 
   diśo 'valokayati, tāvan na kañcin mārgaṃ paśyati vetti ca | yūthād bhraṣṭo	diSaH avalokayati, tAvat na kaQcid mArgam paSyati vetti ca | yUTAt BrazwaH 
   mandaṃ mandaṃ bṛhac chabdaṃ kurvan yāvat kiyad dūraṃ gacchati, tāvat	mandam mandam bRhac  Sabdam kurvan yAvat kiyat  dUram gacCati, tAvat 
   tac chabdānusārī siṃho 'pi kramaṃ kṛtvā nibhṛto 'yaṃ vyavasthitaḥ | tato	tac  Sabda anusArI siMhaH api kramam kRtvA niBRtaH ayam vyavasTitaH | tatas 
   yāvad uṣṭraḥ samīpam āgataḥ, tāvat siṃhena lambhayitvā grīvāyāṃ gṛhīto	yAvat uzwraH samIpam AgataH, tAvat siMhena lamBayitvA grIvAyAm gRhItaH 
   māritaś ca |	mAritaH ca |
   ato 'haṃ bravīmi satāṃ vacanam ādiṣṭam (74) iti |	atas aham bravImi satAm vacanam Adizwam (74) iti |
   atha tac chrutvā makaraḥ prāha 	aTa tat SrutvA makaraH prAha 
   upadeśa pradātṝṇāṃ narāṇāṃ hitam icchatām |	upadeSa  pradAtLNAm narANAm hitam icCatAm |
   parasminn iha loke ca vyasanaṃ nopapadyate ||Panc_4.75||	parasmin iha loke ca vyasanam na upapadyate ||Pan= _4.75||
   tata sarvathā kṛtaghnasyāpi me kuru prasādam upadeśa pradānena | uktaṃ ca 	tata sarvaTA kRtaGnasya api me kuru prasAdam upadeSa  pradAnena | uktam ca 
   upakāriṣu yaḥ sādhuḥ sādhutve tasya ko guṇaḥ |	upakArizu yaH sADuH sADu tve tasya kaH guNaH |
   apakāriṣu yaḥ sādhuḥ sa sādhuḥ sadbhir ucyate ||Panc_4.76||	apakArizu yaH sADuH sa sADuH sadBiH ucyate ||Pan= _4.76||
   tad ākarṇya vānaraḥ prāha bhadra ! yady evaṃ tarhi tatra gatvā tena saha	tat AkarNya vAnaraH prAha Badra ! yadi evam tarhi tatra gatvA tena saha
   yuddhaṃ kuru | uktaṃ ca 	yudDam kuru | uktam ca 
   hatas tvaṃ prāpsyasi svargaṃ jīvan gṛham atho yaśaḥ |	hataH tvam prApsyasi svargam jIvan gRham aTo yaSaH |
   yudhyamānasya te bhāvi guṇa dvayam anuttamam ||Panc_4.77||	yuDyamAnasya te BAvi guNa  dvayam anuttamam ||Pan= _4.77||
   uttamaṃ praṇipātena śūraṃ bhedena yojayet |	uttamam praNipAtena SUram Bedena yojayet |
   nīcam alpa pradānena sama śaktiṃ parākramaiḥ ||Panc_4.78||	nIcam alpa  pradAnena sama Saktim parAkramEH ||Pan= _4.78||
   makara āha katham etat ?	makaraH Aha kaTam etat ?
   so 'bravīt 	saH abravIt  
   kathā 14	kaTA 14
   mahācaturakākhya śṛgāla kathā	mahA caturaka AKya  SRgAla  kaTA
   āsīt kasmiṃścid deśe mahā caturako nāma śṛgālaḥ | tena kadācid araṇye	AsIt kasmiMScid deSe mahA caturakaH nAma SRgAlaH | tena kadAcid araNye
   svayaṃ mṛto gajaḥ samāsāditaḥ | tasya samantāt paribhramati, paraṃ	svayam mRtaH gajaH samAsAditaH | tasya samantAt pariBramati, param
   kaṭhināṃ tvacaṃ bhettuṃ na śaknoti | athātrāvasara itaś cetaś ca vicaran	kaWinAm tvacam Bettum na Saknoti | aTa atra avasaraH itas ca itas ca vicaran
   kaścit siṃhas tatraiva pradeśe samāyayau |	kaScid siMhaH tatra eva pradeSe samAyayO |
   atha siṃhaṃ samāgataṃ dṛṣṭvā sa kṣiti tala vinyasta mauli maṇḍalaḥ	aTa siMham samAgatam dRzwvA sa kziti tala  vinyasta  mOli  maNxalaH
   saṃyojita kara yugalaḥ sa vinayam uvāca svāmin ! tvadīyo 'haṃ lāguḍikaḥ	saMyojita  kara  yugalaH sa vinayam uvAca svAmin ! tvadIyaH aham lAguxikaH
   sthitas tvad arthe gajam imaṃ rakṣāmi | tad enaṃ bhakṣayatu svāmī |	sTitaH tvad  arTe gajam imam rakzAmi | tat enam Bakzayatu svAmI |
   taṃ praṇataṃ dṛṣṭvā siṃhaḥ prāha bhoḥ ! nāham anyena hataṃ sattvaṃ kadācid	tam praNatam dRzwvA siMhaH prAha BoH ! na aham anyena hatam sattvam kadAcid 
   api bhakṣayāmi | tat tavaiva gajo 'yaṃ mayā prasādīkṛtaḥ |	api BakzayAmi | tat tava eva gajaH ayam mayA prasAdIkRtaH |
   tac chrutvā śṛgālaḥ sānandam āha yuktam idaṃ svāmino nija bhṛtyeṣu | uktaṃ	tat SrutvA SRgAlaH sa Anandam Aha yuktam idam svAminaH nija  BRtyezu | uktam
   ca yataḥ 	ca yatas  
   antyāvastho 'pi mahān svāmi guṇān na jahāti śuddhatayā |	antya avasTaH api mahAn svAmi  guNAn na jahAti SudDa tayA |
   na śveta bhāvam ujjhati śaṅkhaḥ śikhi bhukta mukto 'pi ||Panc_4.79||	na Sveta BAvam ujJati SaFKaH SiKi Bukta muktaH api ||Pan= _4.79||
   atha siṃhe gate kaścid vyāghraḥ samāyayau | tam api dṛṣṭvāsau	aTa siMhe gate kaScid vyAGraH samAyayO | tam api dRzwvA asO
   vyacintayat aho ! ekas tāvad durātmā praṇipātenāpavāhitaḥ | tat katham	vyacintayat ahaH ! ekaH tAvat durAtmA praNipAtena apavAhitaH | tat kaTam
   idānīm enam apavāhayiṣyāmi ? nūnaṃ śūro 'yam | na khalu bhedaṃ vinā sādhyo	idAnIm enam apavAhayizyAmi ? nUnam SUraH ayam | na Kalu Bedam vinA sADyaH 
   bhaviṣyati | uktaṃ ca yataḥ 	Bavizyati | uktam ca yatas  
   na yatra śakyate kartuṃ sāma dānam athāpi vā |	na yatra Sakyate kartum sAma dAnam aTa api vA |
   bhedas tatra prayoktavyo yataḥ sa vaśa kārakaḥ ||Panc_4.80||	BedaH tatra prayoktavyaH yatas sa vaSa kArakaH ||Pan= _4.80||
   kiṃ ca sarva guṇa sampanno 'pi bhedena badhyate | uktaṃ ca yataḥ 	kim ca sarva  guNa  sampannaH api Bedena baDyate | uktam ca yatas  
   antaḥ sthenāviruddhena suvṛttenāticāruṇā |	antaH  sTena avirudDena su vRttena ati cAruNA |
   antar bhinnena samprāptaṃ mauktikenāpi bandhanam ||Panc_4.81||	antar Binnena samprAptam mOktikena api banDanam ||Pan= _4.81||
   evaṃ sampradhārya tasyābhimukho bhūtvā garvād unnata kandharaḥ	evam sampraDArya tasya aBimuKaH BUtvA garvAt unnata  kanDaraH
   sa sambhramam uvāca māma ! katham atra bhavān mṛtyu mukhe praviṣṭaḥ |	sa  samBramam uvAca mAma ! kaTam atra BavAn mRtyu  muKe pravizwaH |
   yenaiṣa gajaḥ siṃhena vyāpāditaḥ | sa ca mām etad rakṣaṇaṃ niyujya nadyāṃ	yena eza gajaH siMhena vyApAditaH | sa ca mAm etat rakzaNam niyujya nadyAm
   snānārthaṃ gataḥ | tena ca gacchatā mama samādiṣṭam yadi kaścid iha	snAna arTam gataH | tena ca gacCatA mama samAdizwam  yadi kaScid iha
   vyāghraḥ samāyāti, tvayā suguptaṃ mām āvedanīyam | yena vanam idaṃ mayā	vyAGraH samAyAti, tvayA su guptam mAm AvedanIyam | yena vanam idam mayA
   nirvyāghraṃ kartavyam | yataḥ pūrvaṃ vyāghreṇaikena mayā vyāpādito gajaḥ	nirvyAGram kartavyam | yatas pUrvam vyAGreNa ekena mayA vyApAditaH gajaH
   śūnye bhakṣayitvocchiṣṭatāṃ nītaḥ | tad dinād ārabhya vyāghrān prati	SUnye BakzayitvA ucCizwa tAm nItaH | tad  dinAt AraBya vyAGrAn prati
   prakupito 'smi |	prakupitaH asmi |
   tac chrutvā vyāghraḥ santrastam āha bho bhāgineya ! dehi me prāṇa dakṣiṇām	tat SrutvA vyAGraH santrastam Aha BaH BAgineya ! dehi me prANa  dakziNAm
   | tvayā tasyātra cirāyāyātasyāpi madīyā kāpi vārtā nākhyeyā | evam	| tvayA tasya atra cirAya AyAtasya api madIyA kA api vArtA na AKyeyAH | evam
   abhidhāya satvaraṃ palāyāñcakre |	aBiDAya sa tvaram palAyAn cakre |
   atha gate vyāghre tatra kaścid dvīpī samāyātaḥ | tam api dṛṣṭvāsau	aTa gate vyAGre tatra kaScid dvIpI samAyAtaH | tam api dRzwvA asO
   vyacintayat dṛḍha daṃṣṭro 'yaṃ citrakaḥ | tad asya pārśvād asya gajasya	vyacintayat  dRXa daMzwraH ayam citrakaH | tat asya pArSvAt asya gajasya
   yathā carma cchedo bhavati tathā karomi | evaṃ niścitya tam apy uvāca bho	yaTA carma = CedaH Bavati taTA karomi | evam niScitya tam api uvAca Bo
   bhaginī suta ! kim iti cirād dṛṣṭo 'si | kathaṃ ca bubhukṣita iva lakṣyase	BaginI  sutaH ! kim iti cirAt dRzwaH asi | kaTam ca buBukzitaH iva lakzyase
   ? tad atithir asi me | eṣa gajaḥ siṃhena hatas tiṣṭhati | ahaṃ cāsya	? tat atiTiH asi me | eza gajaH siMhena hataH tizWati | aham ca asya
   tad ādiṣṭo rakṣā pālaḥ | paraṃ tathāpi yāvat siṃho na samāyāti, tāvad asya	tat  AdizwaH rakzA a pAlaH | param taTA api yAvat siMhaH na samAyAti, tAvat asya
   gajasya māṃsaṃ bhakṣayitvā tṛptiṃ kṛtvā drutataraṃ vraja |	gajasya mAMsam BakzayitvA tRptim kRtvA drutataram vraja |
   sa āha māma, tad evaṃ tan na kāryaṃ me māṃsāśanena, yato jīvan naro	saH Aha mAma, tat evam tat na kAryam me mAMsa aSanena, yatas jIvan naraH 
   bhadra śatāni paśyati | uktaṃ ca yac chakyaṃ grasitaṃ yasya grastaṃ	Badra  SatAni paSyati | uktam ca yat Sakyam grasitam yasya grastam
   pariṇamec ca yat (23) ity ādi | tat sarvathā tad eva bhujyate yad eva	pariNamet ca yat (23) iti Adi | tat sarvaTA tat eva Bujyate yat eva
   pariṇamati | tad aham ito 'payāsyāmi |	pariNamati | tat aham itas apayAsyAmi |
   śṛgāla āha bho adhīra ! viśrabdho bhūtvā bhakṣaya tvam | tasyāgamanaṃ	SRgAlaH Aha BaH aDIra ! viSrabDaH BUtvA Bakzaya tvam | tasya Agamanam
   dūrato 'pi tavāhaṃ nivedayiṣyāmi | tathānuṣṭhite dīvpinā bhinnāṃ tvacaṃ	dUratas api tava aham nivedayizyAmi | taTA anuzWite dIvpinA BinnAm tvacam
   vijñāya jambūkenābhihitam bho bhaginī suta ! gamyatām | eṣa siṃhaḥ	vijQAya jambUkena aBihitam BaH BaginI  suta ! gamyatAm | eza siMhaH
   samāyāti |	samAyAti |
   tac chrutvā citrako dūraṃ praṇaṣṭaḥ | atha yāvad asau	tat SrutvA citrakaH dUram praNazwaH | aTa yAvat asO
   tad bheda kṛta dvāreṇa kiñcin māṃsaṃ bhakṣayati, tāvad atisaṅkruddho	tad  Beda kRta dvAreNa kiQcid mAMsam Bakzayati, tAvat ati saFkrudDaH 
   'paraḥ śṛgālaḥ samāyayau | atha tam ātma tulya parākramaṃ dṛṣṭvā uttamaṃ	aparaH SRgAlaH samAyayO | aTa tam Atma  tulya  parAkramam dRzwvA a uttamam
   praṇipātena śūraṃ bhedena yojayet (78) iti ślokaṃ paṭhan	praNipAtena SUram Bedena yojayet (78) iti Slokam paWan
   tad abhimukha kṛta prayāṇaḥ sva daṃṣṭrābhis taṃ vidārya diśo bhāgaṃ kṛtvā	tad  aBimuKa kRta prayANaH sva  daMzwrABiH tam vidArya diSaH BAgam kRtvA
   svayaṃ sukhena cira kālaṃ hasti māṃsaṃ bubhuje |	svayam suKena cira  kAlam hasti mAMsam buBuje |
   evaṃ tvam api taṃ ripuṃ sva jātīyaṃ yuddhena paribhūya diśo bhāgaṃ kuru |	evam tvam api tam ripum sva jAtIyam yudDena pariBUya diSo BAgam kuru |
   no cet paścād baddha mūlād asmāt tvam api vināśam avāpsyasi | uktaṃ ca	no ced paScAt badDa  mUlAt asmAt tvam api vinASam avApsyasi | uktam ca
   yataḥ 	yatas  
   sambhāvyaṃ goṣu sampannaṃ sambhāvyaṃ brāhmaṇe tapaḥ |	samBAvyam gozu sampannam samBAvyam brAhmaNe tapaH |
   sambhāvyaṃ strīṣu cāpalyaṃ sambhāvyaṃ jātito bhayam ||Panc_4.82||	samBAvyam strIzu cApalyam samBAvyam jAtitaH Bayam ||Pan= _4.82||
   anyac ca 	anyat ca 
   subhikṣāṇi vicitrāṇi śithilāḥ paura yoṣitaḥ |	suBikzANi vicitrANi SiTilAH pOra  yozitaH |
   eko doṣo videśasya svajātir yad virudhyate ||Panc_4.83||	ekaH dozaH videSasya sva jAtiH yat viruDyate ||Pan= _4.83||
   makara āha katham etat ?	makaraH Aha kaTam etat ?
   vānaro 'bravīt 	vAnaraH abravIt  
   kathā 15	kaTA 15
   citrāṅga nāma sārameya kathā	citrAFga nAma  sAra meya  kaTA
   asti kasmiṃścid adhiṣṭhāne citrāṅgo nāma sārameyaḥ | tatra ca cira kālaṃ	asti kasmiMScid aDizWAne citrAFgaH nAma sArameyaH | tatra ca cira  kAlam
   durbhikṣaṃ patitam | annābhāvāt sārameyādayo niṣkulatāṃ gantum ārabdhāḥ |	durBikzam patitam | anna aBAvAt sArameya AdayaH nizkula tAm gantum ArabDAH |
   atha citrāṅgaḥ kṣutkṣāma kaṇṭhas tad bhayād deśāntaraṃ gataḥ | tatra ca	aTa citrAFgaH kzuD kzAma kaNWaH tad  BayAt deSa antaram gataH | tatra ca
   kasmiṃścit pure kasyacid gṛha medhino gṛhiṇyāḥ prasādena pratidinaṃ gṛhaṃ	kasmiMScid pure kasyacid gRha meDinaH gRhiNyAH prasAdena pratidinam gRham
   praviśya vividhānnāni bhakṣayan parāṃ tṛptiṃ gacchati | paraṃ tad gṛhād	praviSya viviDa annAni Bakzayan parAm tRptim gacCati | param tad  gRhAt 
   bahir niṣkrānto 'nyair madoddhata sārameyaiḥ sarva dikṣu parivṛtya	bahis nizkrAntaH anyEH mada udData  sAra meyEH sarva dikzu parivRtya
   sarvāṅgaṃ daṃṣṭrābhir vidāryate | tatas tena vicintitavān aho ! varaṃ	sarva aFgam daMzwrABiH vidAryate | tatas tena vicintitavAn  ahaH ! varam
   sva deśo yatra durbhikṣe'pi sukhena sthīyate | na ca ko 'pi yuddhaṃ karoti	sva deSaH yatra durBikze api suKena sTIyate | na ca kaH api yudDam karoti
   | tad evaṃ sva nagaraṃ vrajāmi ity avadhārya sva sthānaṃ prati jagāma |	| tat evam sva nagaram vrajAmi iti avaDArya sva  sTAnam prati jagAma |
   athāsau deśāntarāt samāyātaḥ sarvair api svajanaiḥ pṛṣṭaḥ bhoś citrāṅga !	aTa asO deSa antarAt samAyAtaH sarvEH api sva janEH pRzwaH BoH citrAFga !
   kathayāsmākaṃ deśāntara vārtām | kīdṛg deśaḥ ? kiṃ ceṣṭitaṃ lokasya ? ka	kaTaya asmAkam deSa antara  vArtAm | kIdRS deSaH ? kim cezwitam lokasya ? ka
   āhāraḥ ? kaś ca vyavahāras tatra iti |	AhAraH ? kaH ca vyavahAraH tatra iti |
   sa āha kiṃ kathyate videśasya svarūpa viṣayaḥ ? subhikṣāṇi vicitrāṇi	saH Aha kim kaTyate videSasya sva rUpa  vizayaH ? suBikzANi vicitrANi
   śithilāḥ paura yoṣitaḥ (83) iti paṭhati |	SiTilAH pOra  yozitaH (83) iti paWati |
   so 'pi makaras tad upadeśaṃ śrutvā kṛta maraṇa niścayo vānaram anujñāpya	saH api makaraH tad  upadeSam SrutvA kRta maraNa  niScayaH vAnaram anujQApya
   svāśrayaṃ gataḥ | tatra ca tena sva gṛha praviṣṭenātatāyinā saha vigrahaṃ	sva ASrayam gataH | tatra ca tena sva gRha  pravizwena AtatAyinA saha vigraham
   kṛtvā dṛḍha sattvāvaṣṭambhanāc ca taṃ vyāpādya svāśrayaṃ ca labdhvā	kRtvA dRXa  sattva avazwamBanAt ca tam vyApAdya sva ASrayam ca labDvA
   sukhena cira kālam atiṣṭhat | sādhv idam ucyate 	suKena cira  kAlam atizWat | sADu idam ucyate 
