   atha caturtho 'dhyāyaḥ /	aTa caturTaH aDyAyaH /
   nānyatpaśyati' (chā. 7.24.1) 'na tu taddvitīyamasti tato 'nyadvibhaktaṃ	na-anyat-paSyati-a (CA. 7.24.1) ana tu tad-dvitIyam-asti tatas anyat-viBaktam
   yatpaśyet' (bṛ. 4.3.23) iti evamādīni vākyāni avibhāgena eva paramātmānaṃ	yat-paSyet-a (bR. 4.3.23) iti evamAdIni vAkyAni aviBAgena eva paramAtmAnam
   darśayanti /	darSayanti /
   yathādarśanam eva ca phalaṃ yuktaṃ tatkratu nyāyāt /	yaTAdarSanam eva ca Palam yuktam tat-kratu nyAyAt /
   'yathodakaṃ śuddhe śuddhamāsiktaṃ tādṛgeva bhavati /	ayaTA-udakam SudDe SudDam-Asiktam tAdRS-eva Bavati /
   evaṃ muneḥ vijānata ātmā bhavati gautama' (ka. 4.15) iti ca evamādīni	evam muneH vijAnataH AtmA Bavati gOtama-a (ka. 4.15) iti ca evamAdIni
   muktasvarūpanirūpaṇaparāṇi vākyāni avibhāgameva darśayanti /	mukta-svarUpa-nirUpaNa-parANi vAkyAni aviBAgam-eva darSayanti /
   nadī samudrādi nidarśanāni ca /	nadI samudra-Adi nidarSanAni ca /
   bhedanirdeśaḥ tu abhede api upacaryate /	Beda-nirdeSaH tu aBede api upacaryate /
   'sa bhagavaḥ kasminpratiṣṭhita iti sve mahimni' (chā. 7.24.1) iti	asa BagavaH kasmin-pratizWitaH iti sve mahimni-a (CA. 7.24.1) iti
   'ātmaratirātmakrīḍaḥ' (chā. 7.25.2) iti ca evamādidarśanāt // 4 //	aAtma-ratiH-Atma-krIxaH-a (CA. 7.25.2) iti ca evamAdi-darSanAt // 4 //
   3 brāhma adhikaraṇam / sū. 5-7	3 brAhma aDikaraNam / sU. 5-7
   brāhmeṇa jaiminir upanyāsādibhyaḥ | BBs_4,4.5 |	brAhmeNa jEminiH upanyAsa-AdiByaH | BBH-_4,4.5 |
   sthitam etat 'svena rūpeṇa'(chā. 8.3.4) iti atra ātmamātrarūpeṇa	sTitam etat asvena rUpeNa-a(CA. 8.3.4) iti atra Atma-mAtra-rUpeNa
   abhiniṣpadyata na āgantukena apararūpeṇa iti /	aBinizpadyata naH Agantukena apara-rUpeNa iti /
   adhunā tu tat viśeṣabubhutsāyām abhidhīyate svam asya rūpaṃ brāhmam	aDunA tu tat viSeza-buButsAyAm aBiDIyate svam asya rUpam brAhmam
   apahatapāpmatvādi satyasaṃkalpatva avasānaṃ tathā sarvajñatvaṃ	apahata-pApma-tva-Adi satya-saMkalpa-tva avasAnam taTA sarvajQa-tvam
   sarveśvaratvaṃ ca tena svarūpeṇa abhiniṣpadyata iti jaiminiḥ ācāryo	sarva-ISvara-tvam ca tena svarUpeNa aBinizpadyate iti jEminiH AcAryaH-
   manyate /	manyate /
   kutaḥ - upanyāsādibhyaḥ tathātva avagamāt /	kutas  upanyAsa-AdiByaH taTA-tva avagamAt /
   tathā hi - 'ya ātmāpahatapāpmā' (chā. 8.7.1) ityādinā 'satyakāmaḥ	taTA hi  ayaH Atma-apahata-pApmA-a (CA. 8.7.1) ityAdinA asatyakAmaH
   satyasaṃkalpaḥ' (chā. 8.7.1) iti evam antena upanyāsena evam ātmakatām	satya-saMkalpaH-a (CA. 8.7.1) iti evam antena upanyAsena evam Atmaka-tAm
   ātmano bodhayati /	AtmanaH boDayati /
   tathā 'sa tatra paryeti jakṣankrīḍanramamāṇaḥ' (chā. 8.12.3) iti	taTA asa tatra paryeti jakzan-krIxa-n-ramamANaH-a (CA. 8.12.3) iti
   aiśvaryarūpam āvedayati /	ESvarya-rUpam Avedayati /
   'tasya sarveṣu lokeṣu kāmacāro bhavati' (chā. 7.25.2) iti ca /	atasya sarvezu lokezu kAma-cAraH Bavati-a (CA. 7.25.2) iti ca /
   'sarvajñaḥ sarveśvaraḥ' ityādi vyapadeśāḥ ca evam upapannā bhaviṣyanti iti	asarvajQaH sarveSvaraHa ityAdi vyapadeSAH ca evam upapannAH Bavizyanti iti
   cititanmātreṇa tadātmakatvād ity auḍulomiḥ | BBs_4,4.6 |	citi-tanmAtreNa tad-Atmaka-tvAt iti OxulomiH | BBH-_4,4.6 |
   yadyapi apahapāpmatvādayobhedena eva dharmā nirdiśyante tathā api	yadi-api apahapApma-tvAt-ayaH-Bedena eva DarmAH nirdiSyante taTA api
   śabdavikalpajā eva ete /	Sabda-vikalpa-jAH eva ete /
   pāpmādinivṛttimātraṃ hi tatra gamyate /	pApma-Adi-nivRtti-mAtram hi tatra gamyate /
   caitanyameva tu asya ātmanaḥ svarūpam iti tanmātreṇa svarūpeṇa	cEtanyam-eva tu asya AtmanaH sva-rUpam iti tanmAtreNa sva-rUpeNa
   abhiniṣpattiḥ yuktā /	aBinizpattiH yuktAH /
   tathā ca śrutiḥ - 'evaṃ vā are 'yamātmānantaro 'bāhyaḥ kṛtsnaḥ	taTA ca SrutiH  aevam vE are ayam-Atma-anantaraH abAhyaH kRtsnaH
   prajñānaghana eva' (bṛ. 4.5.13) iti evañjātīyakā anugṛhītā bhaviṣyati /	prajQAna-GanaH eva-a (bR. 4.5.13) iti evan-jAtIyakAH anugRhItA Bavizyati /
   satyakāmatvādayaḥ tu yadi api vastusvarūpeṇa eva dharmā ucyante satyāḥ	satyakAma-tva-AdayaH tu yadi api vastu-sva-rUpeNaH eva DarmAH ucyante satyAH
   kāmā asya iti /	kAmAH asya iti /
   tathā api upādhisaṃbandha adhīnatvāt teṣāṃ na caitanyavat svarūpasaṃbhavaḥ	taTA api upADi-saMbanDa aDIna-tvAt tezAm na cEtanya-vat svarUpa-saMBavaH
   aneka ākāratvapratiṣedāt /	anekaH AkAra-tva-pratizedAt /
   pratiṣiddhaṃ hi brahmaṇaḥ aneka ākāratvam 'na sthānato 'pi	pratizidDam hi brahmaNaH anekaH AkAra-tvam anaH sTAnataH api
   parasyobhayaliṅgam' (bra.sū, 3.2.11) ityatra /	parasya-uBaya-liFgam-a (bra.sU, 3.2.11) iti-atra /
   ata eva ca jakṣaṇādi saṃkīrtanam api duḥkha abhāvamātra abhiprāyaṃ	atas eva ca jakzaNa-Adi saMkIrtanam api duHKa aBAva-mAtra aBiprAyam
   stutyartham ātmaratiḥ ityādivat /	stuti-arTam Atma-ratiH ityAdi-vat /
   na hi mukhyāni eva ratikrīḍāmithunāni ātmani śakyante varṇayituṃ dvitīya	na hi muKyAni eva rati-krIxA-miTunAni Atmani Sakyante varNayitum dvitIya
   viṣayatvāt teṣām /	vizaya-tvAt tezAm /
   tasmāt nirasta aśeṣaprapañcena prasannena avyapadeśyena bodhātmanā	tasmAt nirasta aSeza-prapaQcena prasannena avyapadeSyena boDa-AtmanA
   abhiniṣpadyata iti auḍulomiḥ ācāryo manyate // 6 //	aBinizpadyate iti OxulomiH AcAryaH manyate // 6 //
   evam apy upanyāsāt pūrvabhāvād avirodhaṃ bādarāyaṇaḥ | BBs_4,4.7 |	evam api upanyAsAt pUrva-BAvAt aviroDam bAdarAyaNaH | BBH-_4,4.7 |
   evam api pāramārthika caitanyamātrasvarūpa abhyupagame api vyavahāra	evam api pAramArTika cEtanya-mAtra-svarUpaH aByupagame api vyavahAra
   apekṣayā pūrvasya api upanyāsādibhyaḥ avagatasya brāhmasya aiśvaryarūpasya	apekzayA pUrvasya api upanyAsa-AdiByaH avagatasya brAhmasya ESvarya-rUpasya
   apratyayākhyānāt avirodhaṃ bādarāyaṇa ācāryo manyate //7 //	apratyaya-AKyAnAt aviroDam bAdarAyaNaH AcAryaH manyate //7 //
   4 saṃkalpa adhikaraṇam / sū. 8-9	4 saMkalpaH aDikaraNam / sU. 8-9
   saṃkalpād eva tu tacchruteḥ | BBs_4,4.8 |	saMkalpAt eva tu tat-SruteH | BBH-_4,4.8 |
   hārdavidyāyāṃ śrūyate - 'sa yadi pitṛlokakāmo bhavati saṃkalpādevāsya	hArdavidyAyAm SrUyate  asa yadi pitR-loka-kAmaH Bavati saMkalpAt-eva-asya
   pitaraḥ samuttiṣṭhanti' (chā. 8.2.1) ityādi /	pitaraH samuttizWanti-a (CA. 8.2.1) ityAdi /
   tatra saṃśayaḥ kiṃ saṃkalpa eva kevalaḥ pitrādisamutthāne hetuḥ uta	tatra saMSayaH kim saMkalpaH eva kevalaH pitR-Adi-samutTAne hetuH uta
   nimittāntara sahita iti /	nimitta-antara sahitaH iti /
   tatra sati api saṃkalpādeva iti śravaṇe lokavat nimittāntara apekṣatā	tatra sati api saMkalpAt-eva iti SravaNe loka-vat nimitta-antara apekzatA
   yuktā /	yuktAH /
   yathā loke asmadādīnāṃ saṃkalpāt gamanādibhyaḥ ca hetubhyaḥ pitrādi	yaTA loke asmad-AdInAm saMkalpAt gamana-AdiByaH ca hetuByaH pitR-Adi
   saṃpattiḥ bhavati evaṃ muktasya api syāt /	saMpattiH Bavati evam muktasya api syAt /
   evaṃ dṛṣṭaviparītaṃ na kalpitaṃ bhaviṣyati /	evam dRzwa-viparItam na kalpitam Bavizyati /
   saṃkalpādeva iti tu rājña iva saṃkalpitārthasiddhikarīṃ	saMkalpAt-eva iti tu rAjQaH iva saMkalpita-arTa-sidDi-karIm
   sādhanāntarasāmagrīṃ sulabhām apekṣya ucyate /	sADana-antara-sAmagrIm sulaBAm apekzyaH ucyate /
   na ca saṃkalpamātrasam utthānāḥ pitrādayo manorathāvijṛmbhitavat calatvāt	na ca saMkalpa-mAtrasam utTAnAH pitR-AdayaH manoraTA-vijRmBita-vat cala-tvAt-
   puṣkalaṃ bhogaṃ samarpayituṃ paryāptāḥ syuḥ iti /	puzkalam Bogam samarpayitum paryAptAH syuH iti /
   evaṃ prāpte brūmaḥ saṃkalpādeva tu kevalāt pitrādisamutthānam iti /	evam prApte brUmaH saMkalpAt-eva tu kevalAt pitR-Adi-samutTAnam iti /
   kutaḥ - tat śruteḥ /	kutas  tat SruteH /
   'saṃkalpādevāsya pitaraḥ samuttiṣṭhanti' (chā. 8.2.1) ityādikā hi śrutiḥ	asaMkalpAt-eva-asya pitaraH samuttizWanti-a (CA. 8.2.1) iti-AdikA hi SrutiH
   nimittāntara apekṣāyāṃ pīḍyeta /	nimitta-antara apekzAyAm pIxyeta /
   nimittāntaram api tu yadi saṃkalpa anuvidhāyi eva syāt bhavatu na tu	nimitta-antaram api tu yadi saMkalpa anuviDAyi eva syAt Bavatu na tu
   prayatnāntarasaṃpādyaṃ nimittāntaram iti iṣyate /	prayatna-antara-saMpAdyam nimitta-antaram iti izyate /
   prāk tat saṃpatteḥ vandhyasaṃkalpatva prasaṅgāt /	prAk tat saMpatteH vanDya-saMkalpa-tva prasaFgAt /
   na ca śruti avagamye arthe lokavat iti sāmānyato dṛṣṭaṃ kramate /	na ca Sruti avagamye arTe loka-vat iti sAmAnyatas dRzwam kramate /
   saṃkalpabalāt eva ca eṣāṃ yāvat prayojanaṃ sthairya upapattiḥ.	saMkalpa-balAt eva ca ezAm yAvat prayojanam sTEryaH upapattiH.
   prākṛtasaṃkalpavilakṣaṇatvāt muktasaṃkalpasya // 8 //	prAkRta-saMkalpa-vilakzaNa-tvAt mukta-saMkalpasya // 8 //
   ata eva cānanyādhipatiḥ | BBs_4,4.9 |	atas eva ca-ananya-aDipatiH | BBH-_4,4.9 |
   ata eva ca avandhyasaṃkalpatvāt ananya adhipatiḥ vidvān bhavati na asya	atas eva ca avanDya-saMkalpa-tvAt ananye aDipatiH vidvAn Bavati na asya
   anyaḥ adhipatiḥ bhavati ityarthaḥ /	anyaH aDipatiH Bavati iti-arTaH /
   na hi prākṛto api saṃkalpayan anyasvāmikatvam ātmanaḥ satyāṃ gatau	na hi prAkRtaH api saMkalpayan anyasvAmika-tvam AtmanaH satyAm gatO
   saṃkalpayati /	saMkalpayati /
   śrutiḥ ca etat darśayati - 'atha ya ihātmānamanuvidya vrajantyeśca	SrutiH ca etat darSayati  aaTa yaH iha-AtmAnam-anuvidya vrajantyeH-ca
   satyānkāmāṃsteṣāṃ sarveṣu lokeṣu kāmacāro bhavati' (chā. 8.1.6) iti // 9	satyAn-kAmAn=-tezAm sarvezu lokezu kAma-cAraH Bavati-a (CA. 8.1.6) iti // 9
   abhāva adhikaraṇam / sū. 10-14	aBAva aDikaraNam / sU. 10-14
   abhāvaṃ bādarir āha hy evam | BBs_4,4.10 |	aBAvam bAdariH Aha hi evam | BBH-_4,4.10 |
   'saṃkalpādevāsya pitaraḥ samuttiṣṭhanti' (chā. 8.2.1) ityādi śruteḥ manaḥ	asaMkalpAt-eva-asya pitaraH samuttizWanti-a (CA. 8.2.1) ityAdi SruteH manaH
   tāvat saṃkalpasādhanaṃ siddham /	tAvat saMkalpa-sADanam sidDam /
   śarīra indriyāṇi punaḥ prāpta aiśvaryasya viduṣaḥ santi na vā santi iti	SarIraH indriyANi punar prApta ESvaryasya viduzaH santi na vA santi iti
   samīkṣyate /	samIkzyate /
   tatra bādariḥ tāvat ācāryaḥ śarīrasya indriyāṇāṃ ca abhāvaṃ mahīyamānasya	tatra bAdariH tAvat AcAryaH SarIrasya indriyANAm ca aBAvam mahIyamAnasya
   viduṣo manyate /	viduzaH manyate /
   kasmāt /	kasmAt /
   evaṃ hi āha āmnāyaḥ 'manasaitānkāmānpaśyanramate' (chā. 8.12.5) 'ya ete	evam hi Aha AmnAyaH amanasa-etAn-kAmAn-paSyan-ramate-a (CA. 8.12.5) ayaH ete
   brahmaloke' (chā. 8.13.1) iti /	brahma-loke-a (CA. 8.13.1) iti /
   yadi manasā śarīra indriyāṇāṃ mokṣe // 10 //	yadi manasA SarIraH indriyANAm mokze // 10 //
   bhāvaṃ jaiminir vikalpāmananāt | BBs_4,4.11 |	BAvam jEminiH vikalpA-mananAt | BBH-_4,4.11 |
   jaiminiḥ tu ācāryo manovat śarīrasya api sendriyasya bhāvaṃ muktaṃ prati	jEminiH tu AcAryaH manaH-vat SarIrasya api sa-indriyasya BAvam muktam prati
   manyate /	manyate /
   yataḥ 'sa ekadhā bhavati tridhā bhavati'(chā. 7.23.2) ityādinā anekadhā	yatas asaH ekaDA Bavati triDA Bavati-a(CA. 7.23.2) ityAdinA anekaDA
   abhāvavikalpam āmananti /	aBAva-vikalpam Amananti /
   na hi anekavidhatā vinā śarīrabhedena āñjasī syāt /	na hi anekaviDatA vinA SarIra-Bedena AQjasI syAt /
   yadi api nirguṇāyāṃ bhūmavidyāyām ayam anekadhā abhāvavikalpaḥ paṭhyate	yadi api nirguNAyAm BUmavidyAyAm ayam anekaDA aBAva-vikalpaH paWyate
   tathā api vidyamānameva idaṃ saguṇāvasthāyām aiśvaryaṃ bhūmavidyā stutaye	taTA api vidyamAnam-eva idam sa-guNa-avasTAyAm ESvaryam BUmavidyA stutaye
   saṃkīrtyata iti ataḥ saguṇavidyāphalabhāvena upatiṣṭhata iti // 11 //	saMkIrtyate iti atas sa-guNa-vidyA-Pala-BAvena upatizWate iti // 11 //
   ucyate -	ucyate -
   dvādaśāhavad ubhayavidhaṃ bādarāyaṇo 'taḥ | BBs_4,4.12 |	dvAdaSa-aha-vat uBayaviDam bAdarAyaNaH atas | BBH-_4,4.12 |
   bādarāyaṇaḥ punaḥ ācāryaḥ ata eva ubhayaliṅgaśrutidarśanāt ubhayavidhatvaṃ	bAdarAyaNaH punar AcAryaH atas eva uBaya-liFga-Sruti-darSanAt uBayaviDa-tvam
   sādhu manyate yadā saśarīratāṃ saṃkalpayati tadā saśarīro bhavati yadā tu	sADu manyate yadA sa-SarIra-tAm saMkalpayati tadA sa-SarIraH Bavati yadA tu
   aśarīratāṃ tadā aśarīra iti /	aSarIra-tAm tadA aSarIraH iti /
   satyasaṃkalpatvāt /	satya-saMkalpa-tvAt /
   saṃkalpa vaicitryāt ca /	saMkalpa vEcitryAt ca /
   dvādaśa ahavat /	dvAdaSa ahavat /
   yathā dvādaśa ahaḥsatram ahīnaḥ ca bhavati /	yaTA dvAdaSa ahar-satram ahInaH ca Bavati /
   ubhayaliṅga śrutidarśanāt evam idam api iti // 12 //	uBaya-liFga Sruti-darSanAt evam idam api iti // 12 //
   tanvabhāve sandhyavad upapatteḥ | BBs_4,4.13 |	tanvaBAve sanDya-vat upapatteH | BBH-_4,4.13 |
   yadā tanoḥ sendriyasya śarīrasya abhāvaḥ tadā yathā saṃdhye sthāne śarīra	yadA tanoH sa-indriyasya SarIrasya aBAvaH tadA yaTA saMDye sTAne SarIra
   indriyaviṣayeṣu avidyamāneṣu api upalabdhimātrā eva pitrādikāmā bhavati	indriya-vizayezu avidyamAnezu api upalabDi-mAtrA eva pitR-Adi-kAmA Bavati
   evaṃ mokṣe api syuḥ evaṃ hi etat upapadyate // 13 //	evam mokze api syuH evam hi etat upapadyate // 13 //
   bhāve jāgradvat | BBs_4,4.14 |	BAve jAgrat-vat | BBH-_4,4.14 |
   bhāve punaḥ tanoḥ yathā jāgarite vidyamānā eva pitrādikāmā bhavanti evaṃ	BAve punar tanoH yaTA jAgarite vidyamAnAH eva pitR-Adi-kAmAH Bavanti evam
   muktasya api upapadyate // 14 //	muktasya api upapadyate // 14 //
   6 pradīpa adhikaraṇam / sū. 15-16	6 pradIpa aDikaraNam / sU. 15-16
   pradīpavadāveśas tathā hi darśayati | BBs_4,4.15 |	pradIpa-vat-AveSaH taTA hi darSayati | BBH-_4,4.15 |
   bhāvaṃ 'jaiminirvikalpāmananāt' ( bra.sū. 4.4.11) iti atra saśarīratvaṃ	BAvam ajEmi-nirvikalpA-mananAt-a ( bra.sU. 4.4.11) iti atra sa-SarIra-tvam
   muktasya uktam /	muktasya uktam /
   tatra tridhābhāvādiṣu anekaśarīrasarge kiṃ nirātmakāni śarīrāṇi	tatra triDA-aBAva-Adizu aneka-SarIra-sarge kim nirAtmakAni SarIrANi
   dāruyantrāṇi iva sṛjyante kiṃ vā sātmakāni asmadādi śarīravat iti bhavati	dAru-yantrANi iva sRjyante kim vA sa-AtmakAni asmad-Adi SarIra-vat iti Bavati
   vīkṣā /	vIkzA /
   tatra ca ātma manasoḥ bheda anupapatteḥ ekena śarīreṇa yogāt itarāṇi	tatra ca Atma manasoH BedaH anupapatteH ekena SarIreNa yogAt itarANi
   śarīrāṇi nirātmakāni iti /	SarIrANi nirAtmakAni iti /
   evaṃ prāpte pratipadyate - pradīpavat āveśa iti /	evam prApte pratipadyate  pradIpa-vat AveSaH iti /
   yathā pradīpa ekaḥ anekapradīpabhāvam āpadyate vikāraśaktiyogāt /	yaTA pradIpaH ekaH aneka-pradIpa-BAvam Apadyate vikAra-Sakti-yogAt /
   evam ekaḥ api san vidvāna aiśvaryayogāt anekabhāvam āpadya sarvāṇi	evam ekaH api san vidvAnaH ESvarya-yogAt aneka-BAvam Apadya sarvANi
   śarīrāṇi āviśati /	SarIrANi AviSati /
   kutaḥ, tathā hi darśayati śāstram ekasya anekabhāvam - 'sa ekadhā bhavati	kutas-, taTA hi darSayati SAstram ekasya aneka-BAvam  asaH ekaDA Bavati
   tridhā bhavati pañcadhā saptadhā navadhā' (chā. 7.26.2) ityādi /	triDA Bavati paQcaDA saptaDA navaDA-a (CA. 7.26.2) ityAdi /
   na etat dāruyantra upamā abhyupagame avakalpate na api jīvāntarāveśe /	na etat dAru-yantraH upamAH aByupagame avakalpate na api jIva-antara-AveSe /
   na ca nirātmakānāṃ śarīrāṇāṃ pravṛttiḥ saṃbhavati /	na ca nirAtmakAnAm SarIrANAm pravRttiH saMBavati /
   yat tu ātma manasoḥ bheda anupapatteḥ anekaśarīrayoga asaṃbhava iti /	yat tu Atma manasoH BedaH anupapatteH aneka-SarIra-yoga asaMBavaH iti /
   na eṣa doṣaḥ /	na eza dozaH /
   ekamanonuvartini samanaskāni eva aparāṇi śarīrāṇi satyasaṃkalpatvāt	ekamanonuvartini sa-manaskAni eva aparANi SarIrANi satya-saMkalpa-tvAt-
   srakṣyati /	srakzyati /
   sṛṣṭeṣu ca teṣu upādhibhedāt ātmanaḥ api bhedena adhiṣṭhātṛtvaṃ yokṣyate /	sRzwezu ca tezu upADi-BedAt AtmanaH api Bedena aDizWAtR-tvam yokzyate /
   eṣa eva ca yogaśāstreṣu yoginām anekaśarīraprayogakriyā // 15 //	ezaH eva ca yoga-SAstrezu yoginAm aneka-SarIra-prayoga-kriyA // 15 //
   kathaṃ punaḥ muktasya anekaśarīra āveśādilakṣaṇam aiśvaryam abhyupagamyate	kaTam punar muktasya aneka-SarIraH AveSa-Adi-lakzaNam ESvaryam aByupagamyate
   yāvatā 'tatkena kaṃ vijānīyāt' (bṛ. 4.5.15) 'na tu taddvitīyamasti tato	yAvatA atatkena kam vijAnIyAt-a (bR. 4.5.15) ana tu tad-dvitIyam-asti tatas-
   'nyadvibhaktaṃ yadvijānīyāt' (bṛ. 4.3.30) 'salila eko draṣṭādvaito	anyat-viBaktam yat-vijAnIyAt-a (bR. 4.3.30) asalilaH ekaH drazwA-dvEtaH-
   bhavati' (bṛ. 4.3.32) iti ca evañjātīyakā śrutiḥ viśeṣavijñānaṃ vārayati	Bavati-a (bR. 4.3.32) iti ca evaQjAtIyakA SrutiH viSeza-vijQAnam vArayati
   ityata uttaraṃ paṭhati -	iti-atas uttaram paWati -
   svāpyayasaṃpatyor anyatarāpekṣam āviṣkṛtaṃ hi | BBs_4,4.16 |	svApi-aya-saMpatyoH anyatara-apekzam AvizkRtam hi | BBH-_4,4.16 |
   svāpyayaḥ suṣuptam 'svamapīto bhavati tasmādenaṃ svapitītyācakṣate' (chā.	sva-apyayaH suzuptam asvam-apItaH Bavati tasmAt-enam svapiti-iti-Acakzate-a (CA.
   6.8.1) iti śruteḥ /	6.8.1) iti SruteH /
   saṃpattiḥ kaivalyam, 'brahmaiva sanbrahmāpyeti' (bṛ. 4.4.6) iti śruteḥ /	saMpattiH kEvalyam, abrahma-eva san-brahmA-api-eti-a (bR. 4.4.6) iti SruteH /
   tayoḥ anyatarām avasthām apekṣya etat viśeṣasaṃjñābhāva vacanam /	tayoH anyatarAm avasTAm apekzya etat viSeza-saMjQA-aBAva vacanam /
   kvacit suṣupta avasthām apekṣya ucyate kvacit kaivalya avasthām /	kvacid suzupta avasTAm apekzyaH ucyate kvacid kEvalya avasTAm /
   katham avagamyate yataḥ tatra eva etat adhikāravaśāt āviṣkṛtam 'etebhyo	kaTam avagamyate yatas tatra eva etat aDikAra-vaSAt AvizkRtam aeteByaH-
   bhūtebhyaḥ samutthāya tānyevānu vinaśyati na pretya saṃjñāstīti' (bṛ.	BUteByaH samutTAya tAni-eva-anu vinaSyati na pretya saMjQAH-tIti-a (bR.
   2.4.14) 'yatra tvasya sarvamātmaivābhūt' (bṛ. 2.4.14) 'yatra supto na	2.4.14) ayatra tu-asya sarvam-AtmA-eva-aBUt-a (bR. 2.4.14) ayatra suptaH na
   kañcana kāmaṃ kāmayate na kañcana svapnaṃ paśyati' (bṛ. 4.3.19, māṇḍū. 5)	kaQcana kAmam kAmayate na kaQcana svapnam paSyati-a (bR. 4.3.19, mANxU. 5)
   ityādi śrutibhyaḥ /	ityAdi SrutiByaH /
   saguṇavidyāvipāka avasthānaṃ tu etat svargādivat avasthāntaraṃ yatra etat	sa-guNa-vidyA-vipAka avasTAnam tu etat svarga-Adi-vat avasTA-antaram yatra etat-
   aiśvaryam upavarṇyate /	ESvaryam upavarNyate /
   tasmāt adoṣaḥ // 16 //	tasmAt adozaH // 16 //
   7 jagat vyāpāra adhikaraṇam / sū. 17-22	7 jagat vyApAra aDikaraNam / sU. 17-22
   jagadvyāpāravarjaṃ prakaraṇād asaṃnihitatvāc ca | BBs_4,4.17 |	jagat-vyApAra-varjam prakaraNAt asaMnihita-tvAt ca | BBH-_4,4.17 |
   ye saguṇabrahma upāsanāt saha eva manasā īśvarasāyujyaṃ vrajanti kiṃ teṣāṃ	ye sa-guNa-brahmaH upAsanAt saha eva manasA ISvara-sAyujyam vrajanti kim tezAm
   niravagraham aiśvaryaṃ bhavati āhosvit sāvagraham iti saṃśayaḥ /	niravagraham ESvaryam Bavati Ahosvit sa-avagraham iti saMSayaH /
   kiṃ tāvat prāptam /	kim tAvat prAptam /
   niraṅ kuśameva eṣām aiśvaryaṃ bhavitum arhati 'āpnoti svārājyam' (tai.	niraF kuSam-eva ezAm ESvaryam Bavitum arhati aApnoti svArAjyam-a (tE.
   1.6.2) 'sarve 'smai devā balimāvahanti' (tai. 1.5.3) 'teṣāṃ sarveṣu lokeṣu	1.6.2) asarve asmE devAH balim-Avahanti-a (tE. 1.5.3) atezAm sarvezu lokezu
   kāmacāro bhavati' (chā. 7.25.2, 8.1.6) ityādi śrutibhya iti /	kAma-cAraH Bavati-a (CA. 7.25.2, 8.1.6) ityAdi SrutiByaH iti /
   evaṃ prāpte paṭhati - jagat vyāpāravarjam iti /	evam prApte paWati  jagat vyApAra-varjam iti /
   jagat utpattyādi vyāpāraṃ varjayitvā anyat aṇimādi ātmakam aiśvaryaṃ	jagat utpatti-Adi vyApAram varjayitvA anyat aNima-Adi Atmakam ESvaryam
   muktānāṃ bhavitum arhati jagat vyāpāraḥ tu nityasiddhasya eva īśvarasya /	muktAnAm Bavitum arhati jagat vyApAraH tu nitya-sidDasya eva ISvarasya /
   kutaḥ - tasya tatra prakṛtatvāt asaṃnihitatvāt ca itareṣām /	kutas  tasya tatra prakRta-tvAt asaMnihita-tvAt ca itarezAm /
   para eva hi īśvaro jagat vyāpāre adhikṛtaḥ /	paraH eva hi ISvaraH jagat vyApAre aDikRtaH /
   tam eva prakṛtya utpattyādi upadeśāt /	tam eva prakRtyaH utpatti-Adi upadeSAt /
   nityaśabdanibandhanatvāt ca /	nitya-Sabda-nibanDana-tvAt ca /
   tat anveṣaṇavijijñāsanapūrvakaṃ tu itareṣām aṇimādi aiśvaryaṃ śrūyate /	tat anvezaNa-vijijQAsana-pUrvakam tu itarezAm aNima-Adi ESvaryam SrUyate /
   tena asaṃnihitāḥ te jagat vyāpāre /	tena asaMnihitAH te jagat vyApAre /
   samanaskatvāt eva ca eteṣām anaikamatye kasyacit sthiti abhiprāyaḥ	sa-manaska-tvAt eva ca etezAm anEkamatye kasyacid sTiti aBiprAyaH
   kasyacit saṃhāra abhiprāya iti evaṃ virodhaḥ api kadācit syāt /	kasyacid saMhAra aBiprAyaH iti evam viroDaH api kadAcid syAt /
   atha kasyacit saṃkalpam anvayasya saṃkalpa iti avirodhaḥ samarthyeta tataḥ	aTa kasyacid saMkalpam anvayasya saMkalpaH iti aviroDaH samarTyeta tatas-
   parameśvara ākūtatantratvam eva itareṣām iti vyavatiṣṭhate // 17 //	parameSvaraH AkUta-tantra-tvam eva itarezAm iti vyavatizWate // 17 //
   pratyakṣopadeśād iti cen nādhikārikamaṇḍalasthokteḥ | BBs_4,4.18 |	pratyakza-upadeSAt iti ced na-aDi-kArika-maNxala-sTa-ukteH | BBH-_4,4.18 |
   atha yat uktam 'āpnoti svārājyam' (tai. 1.6.2) ityādi pratyakṣa upadeśāt	aTa yat uktam aApnoti svArAjyam-a (tE. 1.6.2) ityAdi pratyakzaH upadeSAt-
   niravagraham aiśvaryaṃ viduṣāṃ nyāyyam iti tatparihartavyam /	niravagraham ESvaryam viduzAm nyAyyam iti tat-parihartavyam /
