   Mahāsannipātaratnaketudhāraṇī sūtraṃ	MahAsannipAta-ratna-ketu-DAraNI sUtram
   kuṃjave nava kuṃjave / mūlaśodhane / vaḍhakha vaḍhakha /	kuMjave nava kuMjave / mUla-SoDane / vaXaKa vaXaKa /
   māratathatā-pariccheda / vahasa vahasa / amūle acale dada / pracale	mAra-taTatA--paricCeda / vahasa vahasa / amUle acale dada / pracale
   vidhile ekanayapariccheda / caṇḍinavorasatṛṇe bhūlare bhūsaratṛṇe	viDile eka-naya-paricCeda / caNxi-navaH-rasa-tRNe BUlare BUsaratRNe
   khagasuratṛṇe snavasuratṛṇe bhūtakoṭe paricchede / jalakha jalakhavaye /	Kaga-sura-tRNe snava-sura-tRNe BUtakowe paricCede / jala-Ka jala-Kavaye /
   jalanāmaśakha kakakha / haha haha / huhu huhu / sparśavedanapariccheda /	jalanAm-aSaKa kakaKaH / haha haha / huhu huhu / sparSa-vedana-paricCeda /
   (Dutt 120) amamā numama khyama-masa mudrava / mudra	(Dutt 120) amamA numama Kyam-a-masa mudravaH / mudra
   khasaṃskārāṇāmaṃpariccheda / bodhisattvākṣativima mahāvima bhūtakoṭi	Ka-saMskArANAm-aMparicCeda / boDisattva-akzativima mahAvima BUtakowi
   ākāśaśvāsapariccheda / svāhā /	AkASa-SvAsa-paricCeda / svAhA /
   tena khalu punaḥ samayena sarvabuddhakṣetrāntargatā bodhisattvā	tena Kalu punar samayena sarva-budDa-kzetra-antargatA boDisattvA
   mahāsattvāste ca mahāśrāvakāḥ	mahAsattvAH-te ca mahA-SrAvakAH
   śakrabrahmalokapāladevanāgayakṣagandharvāsuragaruḍakinnaramahoragendrāste	Sakra-brahma-lokapAla-deva-nAga-yakza-ganDarva-asura-garuxa-kinnara-mahA-uraga-indrAH-te
   ca mahaujaskamahaujaskāḥ sattvāḥ sarve sādhukāraṃ pradaduḥ / te ca buddhā	ca mahA-ojaska-mahA-ojaskAH sattvAH sarve sADu-kAram pradaduH / te ca budDA
   bhagavanta evamāhuḥ / mahābalavegavatī sarvaśatrunivāriṇī vata iyaṃ	BagavantaH evam-AhuH / mahA-bala-vegavatI sarva-Satru-nivAriNI vataH iyam
   dhāraṇī sarvabhayavyādhiduḥsvapnadurnimittamokṣaṇī	DAraNI sarva-Baya-vyADi-duHsvapna-durnimitta-mokzaNI
   yāvadanāvaraṇajñānamahāpuṇyajñānasamuccayānuttarajñānaniṣyandā iyaṃ	yAvat-anAvaraNa-jQAna-mahA-puNya-jQAna-samuccaya-anuttara-jQAna-nizyandAH iyam
   dhāraṇī bhāṣitā /	DAraNI BAzitA /
   tena khalu punaḥ samayena bhuteśvaro nāma mahābrahmā	tena Kalu punar samayena ButeSvaraH nAma mahA-brahmA
   mahābrahmabalaviṣayavyūhādhiṣṭhānena strīrūpeṇa bhagavato 'mitāyuḥ purato	mahA-brahma-bala-vizaya-vyUha-aDizWAnena strI-rUpeNa BagavataH amita-AyuH puratas-
   niṣasāda paramavarṇapuṣkalatayā samanvāgato divyābhikrāntaiḥ	nizasAda parama-varNa-puzkala-tayA samanvAgataH divya-aBikrAntEH
   paramodārairvastrālaṅkāraiḥ puṣpagandhamālyavilepanaiścābhyalaṃkṛtaḥ /	parama-udArEH-vastra-alaFkArEH puzpa-ganDa-mAlya-vilepanEH-ca-aByalaMkRtaH /
   atha bhūteśvaro mahābrahmā utthāyāsanādañjaliṃ praṇamyaivamāha /	aTa BUteSvaraH mahA-brahmA utTAya-AsanAt-aQjalim praNamya-evam-Aha /
   adhitiṣṭhantu / me buddhā bhagavantaḥ	aDitizWantu / me budDAH BagavantaH
   svaramaṇḍalavāgvyāhāraviniścayanirdeśaṃ yadaham idaṃ kṛtsraṃ buddhakṣetraṃ	svara-maNxala-vAc-vyAhAra-viniScaya-nirdeSam yat-aham idam kRtsram budDa-kzetram
   svareṇābhivijñapayeyam / na ca me atra kaścid vighno bhavet / yat	svareNa-aBivijQapayeyam / na ca me atra kaScid viGnaH Bavet / yat-
   idametarhi dharmabhāṇakānāṃ dharmaśrāvaṇikānāṃ cārthāya tādṛśīṃ	idam-etarhi Darma-BANakAnAm Darma-SrAvaNikAnAm ca-arTAya tAdRSIm
   mantrapadarakṣāṃ bhāṣeta yathā yaḥ kaścit paścime kāle māro vā māraparṣad	mantra-pada-rakzAm BAzeta yaTA yaH kaScid paScime kAle mAraH vA mAra-parzad
   vā devo vā nāgo vā nāgī vā nāgamahallako vā nāgamahallikā (Dutt 121) vā	vA devaH vA nAgaH vA nAgI vA nAgamahallakaH vA nAgamahallikA (Dutt 121) vA
   nāgapārṣado vā nāgapārṣadī vā nāgaputrako vā nāgaputrikā vā vistareṇa	nAga-pArzadaH vA nAga-pArzadI vA nAgaputrakaH vA nAgaputrikAH vA vistareNa
   kartavyaṃ yāvat piśāco vā piśācī vā piśācamahallako vā piśācamahallikā vā	kartavyam yAvat piSAcaH vA piSAcI vA piSAcam-ahallakaH vA piSAca-mahallikA vA
   piśācapārṣado vā piśācapārṣadī vā piśācaputrako vā piśācaputrikā vā	piSAca-pArzadaH vA piSAca-pArzadI vA piSAca-putrakaH vA piSAca-putrikA vA
   manuṣyo vā amanuṣyo vā dharmabhāṇakānāṃ dharmaśrāvaṇikānāṃ vā	manuzyaH vA amanuzyaH vA Darma-BANakAnAm Darma-SrAvaNikAnAm vA
   avatāraprekṣī avatāragaveṣī pratyarthikaḥ pratyamitro vā	avatAra-prekzI avatAra-gavezI pratyarTikaH pratyamitraH vA
   upasaṃkrametāntaśo dharmabhāṇakānāṃ dharmaśrāvaṇikānāṃ vā ekaromakūpamapi	upasaMkrameta-antaSas Darma-BANakAnAm Darma-SrAvaNikAnAm vE ekaromakUpam-api
   viheṭhayed vihiṃsayed vilopayet ojo vā haret śvāsaṃ vā kāye prakṣipet	viheWayet vihiMsayet vilopayet ojaH vA haret SvAsam vA kAye prakzipet-
   duṣṭacitto vā prekṣeta antaśaḥ ekakṣaṇamapi teṣāmahaṃ yāvat mārāṇāṃ	duzwa-cittaH vA prekzeta antaSas ekakzaNam-api tezAm-aham yAvat mArANAm
   manuṣyā-manuṣyāṇāṃ pratiṣedhaṃ daṇḍaparigrahaṃ vā kuryām / jṛmbhaṇaṃ	manuzyA--manuzyANAm pratizeDam daNxa-parigraham vA kuryAm / jRmBaNam
   mohanaṃ śapathaṃ dadyām / abhitiṣṭhantu me buddhā bhagavantaḥ	mohanam SapaTam dadyAm / aBitizWantu me budDAH BagavantaH
   svaramaṇḍalavāgvyāhāraṃ yadahamidaṃ kṛtsnaṃ buddhakṣetraṃ svareṇāpūrayeyam	svara-maNxala-vAc-vyAhAram yat-aham-idam kRtsnam budDa-kzetram svareNa-ApUrayeyam
   / kaścātra me sahāyo bhaviṣyatīti / atha khalu te buddhā	/ kaH-ca-atra me sahAyaH Bavizyati-iti / aTa Kalu te budDA
   bhagavantastūṣṇīṃbhāvenādhivāsayāmāsuḥ /	BagavantaH-tUzNIMBAvena-aDivAsayAmAsuH /
   tatra ca śikhindharī nāma śakro jāmbūnadamayena niṣkāvabhāsenālaṃkṛtakāyo	tatra ca SiKinDarI nAma SakraH jAmbUnada-mayena nizka-ava-BAsena-alaMkRta-kAyaH-
   nātidūre niṣaṇṇaḥ / atha śikhindharaḥ śakro bhūteśvaraṃ brahmāṇam evamāha	na-ati-dUre nizaNNaH / aTa SiKinDaraH SakraH BUteSvaram brahmANam evam-Aha
   / mā bhagini amitāyuṣastathāgatasya purato niṣīdasva / mā bhaginī atra	/ mA Bagini amita-AyuzaH-taTAgatasya puratas nizIdasva / mA BaginI atra
   pramādyasva / mā bhagavantaṃ viheṭhaya / tat kasya hetoḥ /	pramAdyasva / mA Bagavantam viheWaya / tat kasya hetoH /
   (Dutt 122)	(Dutt 122)
   prapaṃcābhiratā bālā niṣprapañcāstathāgatāḥ /	prapaMca-aBiratAH bAlAH nizprapaQcAH-taTAgatAH /
   saṃskāraṃ darśayiṣyanti cotpādavyayalakṣaṇam // Rkp_6.[11] //	saMskAram darSayizyanti ca-utpAda-vyaya-lakzaNam // RkB-_6.[11] //
   sarvarūpākṣarapadaprabhedatathatānayaprāptāstathāgatāḥ / na bhagini	sarva-rUpa-akzara-pada-praBeda-taTatA-Anaya-prAptAH-taTAgatAH / na Bagini
   tathāgatastathatāṃ virodhayati ekasamatayā tathatayā yadutākāśasamatayā /	taTAgataH-taTatAm viroDayati eka-sama-tayA taTatayA yat-uta-AkASa-sama-tayA /
   ākāśamapyasamāropa-trisaṃskāravyayalakṣaṇam / yathākāśamakalpamavikalpaṃ	AkASam-api-asamAropa-tri-saMskAra-vyaya-lakzaNam / yaTA-AkASam-akalpam-avikalpam
   saṃskāreṣu evameva tathāgataḥ / kāmaguṇān na prapañcayati na kalpayati na	saMskArezu evam-eva taTAgataH / kAma-guNAn na prapaQcayati na kalpayati na
   vikalpayati nādhitiṣṭhati nābhiniviśati / evaṃ na jīvaṃ na jantuṃ na poṣaṃ	vikalpayati na-aDitizWati na-aBiniviSati / evam na jIvam na jantum na pozam
   na pudgalaṃ na skandhāyatanāni prapañcayati nābhiniviśati nādhitiṣṭhati na	na pudgalam na skanDa-AyatanAni prapaQcayati na-aBiniviSati na-aDitizWati na
   kalpayati na vikalpayati / kathaṃ nāma tvaṃ bhagini tathāgatakāyaṃ	kalpayati na vikalpayati / kaTam nAma tvam Bagini taTAgata-kAyam
   prapañcayasi /	prapaQcayasi /
   amitāyustathāgata āha / samīkṣya devānāmindra vācaṃ bhāṣasva / mā te	amita-AyuH-taTAgataH Aha / samIkzya devAnAm-indra vAcam BAzasva / mA te
   syāddīrgharātramaniṣṭaṃ phalam / mahāsatpuruṣo hyeṣa bahubuddhakṛtādhikāro	syAt-dIrGarAtram-anizwam Palam / mahA-sat-puruzaH hi-eza bahu-budDa-kRta-aDikAraH-
   'varopitakuśalamūlo buddhānāṃ bhagavatāmantike / anena punaḥ satpuruṣeṇa	avaropita-kuSala-mUlaH budDAnAm BagavatAm-antike / anena punar sat-puruzeNa
   tathāgatapūjākarmaṇe svalaṃkṛtastrīrūpamabhinirmitam / mā tvamenaṃ	taTAgata-pUjA-karmaNe su-alaMkRta-strI-rUpam-aBinirmitam / mA tvam-enam
   strībhāvena samudācara /	strI-BAvena samudAcara /
   atha śikhindharaḥ śakro bhūteśvaraṃ brahmāṇamevamāha / kṣamasva kulaputra	aTa SiKinDaraH SakraH BUteSvaram brahmANam-evam-Aha / kzamasva kula-putra
   mamānukampāmupādāya / mā cāhamasya bhāṣitasyāniṣṭaṃ phalaṃ prāpnuyāmiti /	mama-anukampAm-upAdAya / mA ca-aham-asya BAzitasya-anizwam Palam prApnuyAm-iti /
   atha kautūhaliko bodhisattvā āha / yadi bhagavan śakraṇedaṃ	aTa kOtUhalikaH boDisattvAH Aha / yadi Bagavan SakraNa-idam
   vacanamapratideśitamabhaviṣyat kiyāṃstasya (Dutt 123) phalavipākaḥ /	vacanam-apratideSitam-aBavizyat kiyAn=-tasya (Dutt 123) Pala-vipAkaH /
   amitāyustathāgata āha / yadi kulaputra anena na pratideśitamabhiṣyat	amita-AyuH-taTAgataH Aha / yadi kula-putra anena na pratideSitam-aBizyat-
   caturaśītijanmasahasrāṇi kāmagarbhaparibhūtastrībhāvaḥ parigṛhītaḥ syāt /	caturaSIti-janma-sahasrANi kAma-garBa-pariBUta-strI-BAvaH parigRhItaH syAt /
   tasmāttarhi rakṣitavyaṃ vākkarma / pratibhā[tu] te	tasmAt-tarhi rakzitavyam vAkkarma / pratiBA[tu] te
   kulaputrādhiṣṭhitastathāgataistava svaramaṇḍalavāgvyāhāraḥ /	kula-putra-aDizWitaH-taTAgatEH-tava svara-maNxala-vAc-vyAhAraH /
   atha bhūteśvaro brahmā buddhādhiṣṭhānena prāñjalidaśadiśo	aTa BUteSvaraH brahmA budDa-aDizWAnena prAQjali-daSa-diSo
   vyavalokyaivamāha / samanvāharantu māṃ buddhā bhagavanto bodhisattvāśca	vyavalokya-evam-Aha / samanvAharantu mAm budDAH BagavantaH boDisattvAH-ca
   mahāsattvā mahāśrāvakāśca	mahAsattvAH mahA-SrAvakAH-ca
   devanāgayakṣagandharvāsuragaruḍakinnaramahoragāścātra cchandaṃ dadatu	deva-nAga-yakza-ganDarva-asura-garuxa-kinnara-mahA-uragAH-ca-atra cCandam dadatu
   yasyāyamabhiprāyaḥ syāt / iyaṃ dharmanetrī cirasthitikā bhavet /	yasya-ayam-aBiprAyaH syAt / iyam DarmanetrI cira-sTitikA Bavet /
   dharmabhāṇakānāṃ dharmaśrāvaṇikānāṃ ca pratipattiyuktānāṃ mā viheṭho	Darma-BANakAnAm Darma-SrAvaNikAnAm ca pratipatti-yuktAnAm mA viheWaH-
   bhavediti / sa ca me cchandaṃ dadātu yacca paścime kāle na mārā[na]	Bavet-iti / sa ca me cCandam dadAtu yat-ca paScime kAle na mArA[na]
   manuṣyāmanuṣyāsteṣāṃ viheṭhaṃ kuryuḥ /	manuzya-amanuzyAH-tezAm viheWam kuryuH /
   atha sa bhūteśvaro brahmā teṣāṃ duṣṭacittānāṃ pratiṣedhanāya	aTa sa BUteSvaraH brahmA tezAm duzwa-cittAnAm pratizeDanAya
   śapa[thagraha]ṇāyoccasvaraśabdaṃ mumoca / tena ca śabdena sarvāmimāṃ	Sapa[Ta-graha]NAya-ucca-svara-Sabdam mumoca / tena ca Sabdena sarvAm-imAm
   lokadhātumāpūrayāmāsa / tena khalu punaḥ samayena sarve brahmendrā	lokaDAtum-ApUrayAmAsa / tena Kalu punar samayena sarve brahma-indrA
   ekakaṇṭhenaivamāhuḥ / vayamasyāṃ dhāraṇyāṃ chandaṃ dadāmaḥ / svayaṃ ca	eka-kaNWena-evam-AhuH / vayam-asyAm DAraNyAm Candam dadAmaH / svayam ca
   paścime kāle imāṃ dhāraṇīṃ dhārayiṣyāmaḥ prakāśayiṣyāmaḥ saddharmaṃ	paScime kAle imAm DAraNIm DArayizyAmaH prakASayizyAmaH sadDarmam
   rakṣiṣyāmaḥ tāṃśca dharmabhāṇakān dharmaśrāvaṇikāṃśca pratipattiyuktān	rakzizyAmaH tAn=-ca Darma-BANakAn Darma-SrAvaNikAn=-ca pratipatti-yuktAn
   rakṣiṣyāmaḥ / vada tvaṃ satpuruṣa / vayaṃ buddhānāṃ bhagavatāṃ (Dutt 124)	rakzizyAmaH / vada tvam sat-puruza / vayam budDAnAm BagavatAm (Dutt 124)
   bodhisattvānāṃ mahāsattvānāṃ ca mahāśrāvakāṇāṃ ca purato 'syāṃ dhāraṇyāṃ	boDisattvAnAm mahAsattvAnAm ca mahA-SrAvakANAm ca puratas asyAm DAraNyAm
   chandaṃ dadāmaḥ /	Candam dadAmaH /
   atha khalu bhūteśvaro brahmā evamāha / adhitiṣṭhantu me buddhā bhagavanto	aTa Kalu BUteSvaraH brahmA evam-Aha / aDitizWantu me budDAH BagavantaH-
   bodhisattvā mahāsattvā mahāśrāvakāśca / tad yathā /	boDisattvAH mahAsattvAH mahA-SrAvakAH-ca / tat yaTA /
   amale vimale gaṇaṣaṇḍe / mahāre caṇḍe mahācaṇḍe / came mahācame / some	amale vimale gaNa-zaNxe / mahAre caNxe mahA-caNxe / came mahA-came / some
   sthāme / avaha vivaha / aṅganī netrakhave mūlaparicchede / yakṣacaṇḍe	sTAme / avaha vivaha / aFganI netra-Kave mUla-paricCede / yakza-caNxe
   piśācacaṇḍe āvartani saṃvartani / saṃkāraṇi jambhani mohani uccāṭani /	piSAca-caNxe Avartani saMvartani / saMkAraNi jamBani mohani uccAwani /
   hamaha maha maha maha / ākuñcane khagaśava / amale amūla parivarte	hamaha maha maha mahe / AkuQcane Kaga-Sava / amale amUla parivarte
   asārakhava svāhā /	asAra-Kava svAhA /
   ya imānatikramenmantrān na cared gaṇasannidhim /	yaH imAn-atikramet-mantrAn na caret gaNa-sanniDim /
   akṣi mudret sphālet śīrṣamaṅgabhedo bhavedapi // Rkp_6.[12] //	akzi mudret sPAlet SIrzam-aFga-BedaH Bavet-api // RkB-_6.[12] //
   tad yathā / acaca avaha / cacacu krakṣa cacaṭa cacāna / khaga caca	tat yaTA / acaca avaha / cacacu krakza cacawa cacAnaH / Kaga caca
   cacacaca na ca / amūla caca amūla cacaha māmūla cacaha mūla mūpaḍa mahā	cacacaca na ca / amUla caca amUla cacaha mAmUla cacaha mUla mUpaxa mahA
   svāhā /	svAhA /
   atha tāvadeva sarve brahmendrā yāvat pi[śā]cendrāḥ sādhukāraṃ daduḥ / evaṃ	aTa tAvat-eva sarve brahma-indrAH yAvat pi[SA]-ca-indrAH sADu-kAram daduH / evam
   cāhuḥ / atīva mahāsahasrabalavegapramardanāni etāni mantrapadāni / pāśo	ca-AhuH / atIva mahA-sahasra-bala-vega-pramardanAni etAni mantra-padAni / pASaH-
   'yaṃ saktaḥ sarvāhitaiṣiṇāṃ bhūtānāṃ kutaḥ punasteṣāṃ jīvitam / bhūteśvaro	ayam saktaH sarva-ahita-eziNAm BUtAnAm kutas punar-tezAm jIvitam / BUteSvaraH-
   brahmā evamāha / ye duṣṭāśrayā akṛpā akṛtajñā bhūtāḥ sattvānāṃ viheṭhakāmā	brahmA evam-Aha / ye duzwa-ASrayAH akRpAH akRtajQAH BUtAH sattvAnAm viheWa-kAmA
   vā mārapārṣadyā vā (Dutt 125) avatāraprekṣiṇo buddhaśāsanābhiprasannānāṃ	vA mAra-pArzadyAH vA (Dutt 125) avatAra-prekziNaH budDa-SAsana-aBiprasannAnAm
   rājñāṃ kṣatriyāṇāṃ mūrdhābhiṣiktānāmabatāraprekṣiṇa upasaṃkrameyuḥ /	rAjQAm kzatriyANAm mUrDABiziktAnAm-abatAra-prekziNaH upasaMkrameyuH /
   agramahiṣīṇāṃ putraduhitṝṇāṃ cāntaḥpurikāṇāṃ	agra-mahizINAm putra-duhitLNAm ca-antaHpurikANAm
   vāmātyabhaṭabalāgrapārṣadyānāmanyeṣāṃ vā buddhaśāsanābhiprasannānāṃ	vA-amAtya-Bawa-bala-agra-pArzadyAnAm-anyezAm vA budDa-SAsana-aBiprasannAnAm
   strīpuruṣadhārakadhārikāṇāsupāsakopāsikānāṃ vā dharmabhāṇakānāṃ	strI-puruza-DAraka-DAri-kA-aNAsu-pAsaka-upAsikAnAm vA Darma-BANakAnAm
   dharmaśrāvaṇikānāṃ bhikṣūṇāṃ bhikṣuṇīnāṃ vā dhyānasvādhyāyābhiyuktānāṃ	Darma-SrAvaNikAnAm BikzUNAm BikzuNInAm vA DyAna-svADyAya-aBiyuktAnAm
   vaiyāvṛtyābhiyuktānāṃ vā avatāraprekṣiṇa upasaṃkrameyuḥ / antaśaḥ	vEyAvRtya-aBiyuktAnAm vA avatAra-prekziNaH upasaMkrameyuH / antaSas-
   eka[muhūrtamapi sattvānām] ekaromakūpamapi viheṭhayeyuḥ	eka[-muhUrtam-api sattvAnAm] ekaromakUpam-api viheWayeyuH
   vihiṃsayeyurvipralopayeyuḥ / ojo vā apahareyuḥ śvāsaṃ vā kāye prakṣiperan	vihiMsayeyuH-vipralopayeyuH / ojaH vE apahareyuH SvAsam vA kAye prakziperan
   duṣṭacittā vā prekṣeran klinnadurgandhakāyānāṃ teṣāṃ mārāṇāṃ	duzwa-cittAH vA prekzeran klinna-durganDakAyAnAm tezAm mArANAm
   yāvanmanuṣyāmanuṣyāṇāṃ saptadhā mūrdhā sphālet akṣīṇī caiṣāṃ	yAvat-manuzya-amanuzyANAm saptaDA mUrDA sPAlet akzINI ca-ezAm
   viparivarteran hṛdayānyucchuṣyeran śvitrā bhaveyuḥ klinnadurgandhakāyā	viparivarteran hRdayAni-ucCuzyeran SvitrA BaveyuH klinna-durganDakAyA
   ṛddhiparihīnā bhūmiśca teṣāṃ vivaramanuprayacchet / vāyavaśca tān	RdDi-parihInA BUmiH-ca tezAm vivaram-anuprayacCet / vAyavaH-ca tAn
   caturdiśaṃ vikṣepeyuḥ / pāṃsubhiravakīrṇāstatraiva vikṣiptacittā	caturdiSam vikzepeyuH / pAMsuBiH-avakIrNAH-tatra-eva vikzipta-cittA
   paryaṭeyuḥ / ye bhūmicarāste pṛthivīvivaram anupraviśeyuḥ	paryaweyuH / ye BUmicarAH-te pRTivI-vivaram anupraviSeyuH
   caturaśītiyojanasahasrāṇi adhastatraiva teṣāmāyuḥparikṣayaḥ syāt / ye	caturaSIti-yojana-sahasrANi aDas-tatra-eva tezAm-AyuH-parikzayaH syAt / ye
   jalacarā duṣṭabhūtā buddhaśāsane nābhiprasannāḥ syuḥ rājñāṃ kṣatriyāṇāṃ	jala-carAH duzwa-BUtAH budDa-SAsane nABi-prasannAH syuH rAjQAm kzatriyANAm
   buddhaśāsanābhiprasannānāṃ yāvadvaiyāvṛtyābhiyuktānāṃ bhikṣūṇāṃ viheṭhaṃ	budDa-SAsana-aBiprasannAnAm yAvat-vEyAvRtya-aBiyuktAnAm BikzUNAm viheWam
   kuryusteṣāmapi tathaiva saptadhā mūrdhā sphālet / yāvattatraiva	kuryuH-tezAm-api taTA-eva saptaDA mUrDA sPAlet / yAvat-tatra-eva
   teṣāmāyuḥparikṣayaḥ syāt ya imān mantrānatikrameyuḥ / api ca yasmin (Dutt	tezAm-AyuH-parikzayaH syAt yaH imAn mantrAn-atikrameyuH / api ca yasmin (Dutt
   126) viṣaye iyaṃ māramaṇḍalāparājitadhāraṇīdharmaparyāyaḥ pracariṣyati	126) vizaye iyam mAra-maNxala-aparAjita-DAraNI-Darma-paryAyaH pracarizyati
   tatra vayaṃ rakṣāvaraṇaguptaye autsukyamāpatsyāmahe savāṃśca tatra	tatra vayam rakzA-AvaraNa-guptaye Otsukyam-ApatsyAmahe savAn=-ca tatra
   dharmakāmān sattvān paripālayiṣyāmaḥ / mahāsannipātaratnaketusūtre ṣaṣṭhaḥ	Darma-kAmAn sattvAn paripAlayizyAmaH / mahA-sannipAta-ratna-ketu-sUtre zazWaH
   dhāraṇīparivartaḥ // 6 //	DAraNI-parivartaH // 6 //
   Chapter 7 is missing in the Original text "Gilgit Manuscripts Vol IV"	ChapteH 7 iH mis-sinj id Te Originat text "Gilgid ManuH-criptH Vot IV"
   Chapter 8 is missing in the Original text "Gilgit Manuscripts Vol IV"	ChapteH 8 iH mis-sinj id Te Originat text "Gilgid ManuH-criptH Vot IV"
   Chapter 9 is missing in the Original text "Gilgit Manuscripts Vol IV"	ChapteH 9 iH mis-sinj id Te Originat text "Gilgid ManuH-criptH Vot IV"
   START Rkp 10	START RkB 10
   (Dutt 127)	(Dutt 127)
   daśamaḥ parivartaḥ	daSamaH parivartaH
   sarvo 'bghātuḥ sarvastejodhātuḥ sarvo vāyudhātuḥ sarva	sarvaH ap-GAtuH sarvaH-tejaH-DAtuH sarvaH vAyuDAtuH sarva
   ākāśadhāturadhiṣṭhitaḥ saddharmanetrīcirasthityarthaṃ	AkASa-DAtuH-aDizWitaH sat-Darma-netrI-cira-sTiti-arTam
   triratnavaṃśānupacchedārthaṃ sarvasattvaparipākārthaṃ yāvat	tri-ratna-vaMSAnupacCeda-arTam sarva-sattva-paripAka-arTam yAvat-
   saṃsārapāraṅgamanārtham /	saMsAra-pAraFgamana-arTam /
   atha khalu sarve te buddhā bhagavanto ye tadbuddhakṣetranivāsino	aTa Kalu sarve te budDAH BagavantaH ye tad-budDa-kzetra-nivAsinaH-
   bodhisattvā mahāsattvāḥ śakrabrahmalokapālā	boDisattvAH mahAsattvAH Sakra-brahma-lokapAlA
   devanāgayakṣagandharvāsuragaruḍakinnaramahoragendrā ye ca	deva-nAga-yakza-ganDarva-asura-garuxa-kinnara-mahA-uraga-indrAH ye ca
   mahaujaskamahaujaskāḥ sattvā ye ca cāturdvīpikāyāṃ lokadhātau	mahA-ojaska-mahA-ojaskAH sattvAH ye ca cAturdvIpikAyAm lokaDAtO
   naivāsikāstān sarvānāmaṃtryaivamāhuḥ / yuṣmākaṃ mārṣā haste	nEvAsikAH-tAn sarvAnAm-aMtryA-evam-AhuH / yuzmAkam mArzAH haste
   bhūyiṣṭhatarāmimāṃ saddharmanetrīmadhiṣṭhāya parindāmi	BUyizWatarAm-imAm sadDarma-netrIm-aDizWAya parindAmi
   sarvasattvaparipākārtham / tathā yuṣmābhiriyaṃ saddharmanetrī manasi	sarva-sattva-paripAka-arTam / taTA yuzmABiH-iyam sat-DarmanetrI manasi
   kartavyā ujjvālayitavyā rakṣitavyā / yathā na kṣipramihāyaṃ saddharmaḥ	kartavyAH ujjvAlayitavyAH rakzitavyAH / yaTA na kzipram-iha-ayam sadDarmaH
   pralujyeta nāntardhīyeta / ye ca śrāddhāḥ kulaputrāḥ kuladuhitaraścemaṃ	pralujyeta na-antarDIyeta / ye ca SrAdDAH kula-putrAH kula-duhitaraH-ca-imam
   mahāsannipātadharmaparyāyaṃ dhārayiṣyanti yāvallikhitvā	mahA-sannipAta-Darma-paryAyam DArayizyanti yAvat-liKitvA
   bhikṣubhikṣuṇyupāsakopāsikāḥ saddharmadhārakāḥ pudgalāstān sarvān	Bikzu-BikzuNI-upAsa-kopAsikAH sat-Darma-DArakAH pudgalAH-tAn sarvAn
   [paripālanārthaṃ] yuṣmākaṃ haste nyāsataḥ parindāmaḥ	[paripAlana-arTaM] yuzmAkam haste nyAsataH parindAmaH
   ārakṣa-paripālanatāyai / dharmabhāṇakāḥ (Dutt 128) pudgalā dharmakāmā	Arakza--paripAlana-tAyE / Darma-BANakAH (Dutd 128) pudgalA Darma-kAmA
   dhyānābhiratā dharmaśrāvaṇikāḥ saddharmadhārakāḥ yuṣmābhiḥ rakṣitavyāḥ /	DyAna-aBiratAH Darma-SrAvaNikAH sat-Darma-DArakAH yuzmABiH rakzitavyAH /
   tat kasya hetoḥ / ye iha bhūtāstathāgatā arhantaḥ samyak saṃbuddhāḥ	tat kasya hetoH / ye iha BUtAH-taTAgatAH arhantaH samyak saMbudDAH
   sarvaistaistathāgataiḥ kliṣṭe pañcakaṣāye buddhakṣetre sanipatya sarveṣāṃ	sarvEH-tEH-taTAgatEH klizwe paQca-kazAye budDa-kzetre sa-nipatya sarvezAm
   śakrabrahmalokapālānāṃ haste iyaṃ dharmanetrī pari[da]ttā rakṣāyai yāvat	Sakra-brahma-lokapAlAnAm haste iyam DarmanetrI pari[da]ttA rakzAyE yAvat-
   sarvasattvaparipākāya / evameva ye bhaviṣyanti anāgate 'dhvani daśasu	sarva-sattva-paripAkAya / evam-eva ye Bavizyanti anAgate aDvani daSasu
   dikṣu buddhā bhagavantaḥ te 'pi sarve kliṣṭeṣu pañcakaṣāyeṣu	dikzu budDAH BagavantaH te api sarve klizwezu paQcakazAyezu
   buddhakṣetreṣu kṣaṇāt sannipatya sattvahitārtham etāhi dhāraṇīmantrapadāni	budDa-kzetrezu kzaNAt sannipatya sattva-hita-arTam etAhi DAraNI-mantra-padAni
   bhāṣiṣyante / imāṃ ca dharmanetrīmadhiṣṭhāsyanti / sarveṣāṃ	BAzizyante / imAm ca DarmanetrIm-aDizWAsyanti / sarvezAm
   śaktrabrahmalokapālānāṃ haste imāṃ dharmanetrīmanuparindāsyanti	Saktra-brahma-lokapAlAnAm haste imAm Darma-netrIm-anuparindAsyanti
