   akarotkiṃ mahādeva SkP_26.2c	akarot kim mahAdeva SkP_26.2c
   sakṛdbhikṣā pradīyate SkP_6.7d	sakRt BikzA pradIyate SkP_6.7d
   sakṛdrājāno bruvate SkP_6.7c	sakRt rAjAnaH bruvate SkP_6.7c
   sa kṛṣyamāṇastejasvī SkP_12.39a	sa kRzyamANaH tejasvI Sku _12.39a
   saktāya caiva tapasi SkP_29.110c	saktAya ca eva tapasi SkP_29.110c
   sakrodhastamavaikṣata SkP_13.36b	sa kroDaH tam avEkzata Sku _13.36b
   sa krodhopahatendriyaḥ SkP_10.16b	sa kroDa upahata indriyaH SkP_10.16b
   sakhā viṣṇoranuttamaḥ SkP_6.11d	saKA vizNoH anuttamaH SkP_6.11d
   sa gacchenmama lokatām SkP_24.62d	sa gacCet mama loka tAm SkP_24.62d
   sagaṇo nandinā sārdham SkP_26.64c	sa gaNaH nandinA sArDam Sku _26.64c
   sa guhyagaṇadevānāṃ SkP_7.30c	sa guhya gaNa devAnAm SkP_7.30c
   saghṛtaṃ gugguluṃ dahet SkP_28.64b	sa GRtam guggulum dahet Sku _28.64b
   sa ca tāṃ pratyagṛhṇata SkP_26.34d	sa ca tAm pratyagRhNata SkP_26.34d
   sa ca te putratāṃ yātvā SkP_4.7a	sa ca te putra tAm yAtvA Sku _4.7a
   sa ca te saṃbhaviṣyati SkP_16.9b	sa ca te saMBavizyati Sku _16.9b
   sa ca nandisamo bhavet SkP_27.31d	sa ca nandi samaH Bavet SkP_27.31d
   sa ca vavre sutaṃ śubham SkP_19.8d	sa ca vavre sutam SuBam SkP_19.8d
   sa cāpi tapasā śakyo SkP_4.33a	sa ca api tapasA SakyaH Sku _4.33a
   sa cāpi tarubhistatra SkP_13.121a	sa ca api taruBiH tatra Sku _13.121a
   sa cāpi tasmādvibhraṣṭo SkP_5.38a	sa ca api tasmAt viBrazwaH Sku _5.38a
   sa cāpyayonijaḥ putra SkP_20.3a	sa ca api ayonijaH putra Sku _20.3a
   sa cāyaṃ dṛśyatāṃ sthitaḥ SkP_29.17d	sa ca ayam dRSyatAm sTitaH Sku _29.17d
   sa ceddadāti māṃ vipra SkP_12.9c	sa ced dadAti mAm vipra SkP_12.9c
   sa caināṃ pūrvavatkṛtvā SkP_30.64c	sa ca enAm pUrvavat kRtvA SkP_30.64c
   sa covāca mahānadīm SkP_19.18d	sa ca uvAca mahA nadIm SkP_19.18d
   sa covācedamarthavat SkP_18.17d	sa ca uvAca idam arTavat SkP_18.17d
   sa jagrāha tadā brahmā SkP_24.44a	sa jagrAha tadA brahmA Sku _24.44a
   sa jajāpa tadā rudrān SkP_21.2c	sa jajApa tadA rudrAn SkP_21.2c
   sa juhvañchramasaṃyuktaḥ SkP_4.12a	sa juhvan Srama saMyuktaH Sku _4.12a
   sajjībhūtastridaśavanitā veddhumaṅgeṣvanaṅgaḥ SkP_13.119d	sajjIBUtaH tridaSa vanitA vedDum aFgezu anaFgaH SkP_13.119d
   sa jñātvā tasya saṃkalpaṃ SkP_4.5c	sa jQAtvA tasya saMkalpam SkP_4.5c
   satatamabhidadhānaścekitānātmacittaḥ SkP_9.33c	satatam aBidaDAnaH cekitAna Atma cittaH SkP_9.33c
   satatamihenduvahaṃ praṇatāḥ smaḥ SkP_10.39d	satatam iha indu vaham praNatAH smaH SkP_10.39d
   sa tatra mānasaṃ divyaṃ SkP_26.65a	sa tatra mAnasam divyam Sku _26.65a
   sa tatheti pratijñāya SkP_11.16a	sa taTA iti pratijQAya Sku _11.16a
   sa tadannaṃ samānītaṃ SkP_17.22a	sa tat annam samAnItam Sku _17.22a
   sa tadudyānamāsādya SkP_29.8a	sa tad udyAnam AsAdya Sku _29.8a
   sa tapyatyā nakhāgrebhyo SkP_28.6c	sa tapyatyA naKa agreByaH SkP_28.6c
   sa tamarghyeṇa pādyena SkP_17.21a	sa tam arGyeNa pAdyena Sku _17.21a
   sa tayā mālayā nandī SkP_22.9a	sa tayA mAlayA nandI Sku _22.9a
   sa tayā śraddhayā pūto SkP_27.22a	sa tayA SradDayA pUtaH Sku _27.22a
   sa tasmai karmaṇā tena SkP_26.35a	sa tasmE karmaNA tena Sku _26.35a
   sa tasmai devadeveśo SkP_5.54c	sa tasmE devadeveSaH SkP_5.54c
   sa taṃ kareṇa saṃgṛhya SkP_21.12a	sa tam kareNa saMgRhya Sku _21.12a
   sa taṃ dṛṣṭvā tathodbhūtaṃ SkP_20.29a	sa tam dRzwvA taTA udBUtam Sku _20.29a
   sa taṃ vikṛtarūpeṇa SkP_12.11a	sa tam vikRta rUpeNa Sku _12.11a
   sa tātetyucyamāno 'pi SkP_20.31a	sa tAta iti ucyamAnaH api SkP_20.31a
   sa tābhirupayuktaśca SkP_7.22a	sa tABiH upayuktaH ca SkP_7.22a
   satī jñātvā tu tatsarvaṃ SkP_10.14c	satI jQAtvA tu tat sarvam SkP_10.14c
   satī nāmātiyoginī SkP_10.6d	satI nAma atiyoginI SkP_10.6d
   satīṃ saha tryambakena SkP_10.14a	satIm saha tryambakena Sku _10.14a
   sa tuṣṭāva nato bhūtvā SkP_3.12c	sa tuzwAva nataH BUtvA SkP_3.12c
   sa te bhartā kilānaghe SkP_12.15d	sa te BartA kila anaGe SkP_12.15d
   sattrayājiphalaṃ yacca SkP_28.5a	sattra yAji Palam yat ca Sku _28.5a
   sattrasya ca samāpanam SkP_2.5d	sattrasya ca samApanam Sku _2.5d
   sattraṃ mahatsamāsadhvaṃ SkP_4.36a	sattram mahat samAsaDvam Sku _4.36a
   sattrāṇyājahrire tadā SkP_8.5b	sattrANi Ajahrire tadA Sku _8.5b
   sattre varṣasahasrike SkP_8.2b	sattre varza sahasrike Sku _8.2b
   sattvaliṅgāya vai namaḥ SkP_15.25d	sattva liFgAya vE namaH SkP_15.25d
   sattvasthasyātmayoninaḥ SkP_5.28b	sattva sTasya AtmayoninaH Sku _5.28b
   sattvasthā vijitendriyāḥ SkP_30.68b	sattva sTAH vijita indriyAH Sku _30.68b
   sattvāya rajase namaḥ SkP_21.42b	sattvAya rajase namaH Sku _21.42b
   satyadharmaparāyaṇaḥ SkP_1.10b	satya Darma parAyaNaH Sku _1.10b
   satyadharmaparāyaṇāḥ SkP_27.38b	satya Darma parAyaNAH Sk= _27.38b
   satyavāgṛtugāminām SkP_28.5b	satya vAc Rtu gAminAm Sku _28.5b
   satyaṃ devaṛṣī tāta SkP_20.55a	satyam devaRzI tAta Sku _20.55a
   satyā vivādaśca tathā SkP_2.7a	satyA vivAdaH ca taTA Sku _2.7a
   sa trirātraphalaṃ devi SkP_28.8c	sa tri rAtra Palam devi SkP_28.8c
   sa tvaṃ tathā gataḥ kuryā SkP_26.23a	sa tvam taTA gataH kuryA Sku _26.23a
   sa tvaṃ taponvitaścaiva SkP_19.5a	sa tvam tapaH nvitaH ca eva Sku _19.5a
   sa tvaṃ pitāmaho 'smākaṃ SkP_25.6e	sa tvam pitAmahaH asmAkam Sku _25.6e
   sa tvaṃ śivaśca saumyaśca SkP_25.38a	sa tvam SivaH ca sOmyaH ca SkP_25.38a
   sa tvāṃ svayaṃ samāgamya SkP_11.39c	sa tvAm svayam samAgamya SkP_11.39c
   satsu taṃ kathayasva me SkP_11.2d	satsu tam kaTayasva me SkP_11.2d
   sa dakṣaḥ śāpakāraṇāt SkP_10.13b	sa dakzaH SApa kAraNAt Sku _10.13b
   sa dattvā brahmaṇe śambhuḥ SkP_3.7a	sa dattvA brahmaNe SamBuH Sku _3.7a
   sa dahyamānaḥ karuṇam SkP_15.6a	sa dahyamAnaH karuNam Sku _15.6a
   sadā ca tuṣṭo bhava me SkP_25.15c	sadA ca tuzwaH Bava me SkP_25.15c
   sadā te sṛṣṭikāraṇam SkP_13.43b	sadA te sRzwi kAraNam Sk= _13.43b
   sadā tvamucyamānā vai SkP_26.11a	sadA tvam ucyamAnAH vE SkP_26.11a
   sadā māmupagacchati SkP_27.23b	sadA mAm upagacCati SkP_27.23b
   sadāratanayāgnayaḥ SkP_5.2d	sa dAra tanaya agnayaH SkP_5.2d
   sadārānarcayadgṛhe SkP_10.13d	sa dArAn arcayat gRhe SkP_10.13d
   sadā vārāṇasī mama SkP_30.46b	sadA vArANasI mama Sku _30.46b
   sadā sattraṃ ca pūjāṃ ca SkP_26.46c	sadA sattram ca pUjAm ca SkP_26.46c
   sadā saniyamastasthau SkP_26.51c	sadA sa niyamaH tasTO SkP_26.51c
   sadā sarvasahetyevaṃ SkP_28.51c	sadA sarva sahA iti evam SkP_28.51c
   sadā saṃnihitāni me SkP_27.42d	sadA saMnihitAni me SkP_27.42d
   sadā saṃsevite śubhe SkP_30.49b	sadA saMsevite SuBe Sku _30.49b
   sadāhaṃ tava nandīśa SkP_25.17a	sa dA aham tava nandISa Sku _25.17a
   sa didṛkṣurudāradhīḥ SkP_20.69b	sa didRkzuH udAra DIH Sku _20.69b
   sa dustarāṇi durgāṇi SkP_19.26c	sa dustarANi durgANi SkP_19.26c
   sadṛśānāmadṛśyata SkP_23.18d	sadRSAnAm adRSyata SkP_23.18d
   sa dṛṣṭvā tadupasthaṃ tu SkP_6.5a	sa dRzwvA tad upasTam tu SkP_6.5a
   sa dṛṣṭvā dīptimāndevo SkP_5.23a	sa dRzwvA dIptimAn devaH Sku _5.23a
   sadecchāmi mahādyute SkP_29.123d	sadA icCAmi mahA dyute SkP_29.123d
   sa devadevaḥ parameśvareśvaraḥ SkP_11.41a	sa devadevaH parameSvara ISvaraH Sku _11.41a
   sa devaveśmani tadā SkP_6.3a	sa deva veSmani tadA Sku _6.3a
   sa devastoṣitaḥ samyak SkP_3.28a	sa devaH tozitaH samyak Sku _3.28a
   sa devyāstapasā yukto SkP_12.26c	sa devyAH tapasA yuktaH SkP_12.26c
   sa deśastapasaḥ śubhaḥ SkP_4.38b	sa deSaH tapasaH SuBaH Sku _4.38b
   sadeṣṭaśca variṣṭhaśca SkP_25.18a	sadA izwaH ca varizWaH ca SkP_25.18a
   sa dehapaddhatiṃ bhittvā SkP_28.63c	sa deha padDatim BittvA Sku _28.63c
   sa dehabhedamāsādya SkP_5.66c	sa dehaBedam AsAdya SkP_5.66c
   sa dehabhedamāsādya SkP_21.55c	sa dehaBedam AsAdya SkP_21.55c
   sa dehabhedamāsādya SkP_28.70c	sa dehaBedam AsAdya SkP_28.70c
   sa dehabhedamāsādya SkP_29.215c	sa dehaBedam AsAdya SkP_29.215c
   sa dehabhedaṃ samavāpya pūto SkP_12.63c	sa dehaBedam samavApya pUtaH SkP_12.63c
   sadaiva dvijasattama SkP_20.33b	sadA eva dvijasattama Sku _20.33b
   sadaiva piśitāśanam SkP_17.3d	sadA eva piSita aSanam SkP_17.3d
   sadaivānapagā bhavet SkP_25.23d	sadA eva anapagA Bavet SkP_25.23d
   sadbhāvena pareṇa ha SkP_8.28b	sadBAvena pareNa ha SkP_8.28b
   sadya eva m avāpnoti SkP_29.87e	sadyas eva m  avApnoti Sku _29.87e
   sadya evābhavattadā SkP_4.15d	sadyas eva aBavat tadA SkP_4.15d
   sadyaḥ pāpavinirmuktaḥ SkP_29.57c	sadyas pApa vinirmuktaH SkP_29.57c
   sadyojātāya vai namaḥ SkP_14.19d	sadyojAtAya vE namaH SkP_14.19d
   sanatkumāraṃ varadaṃ SkP_1.17c	sanatkumAram vara dam SkP_1.17c
   sanandī parameśvaraḥ SkP_29.238b	sa nandI parameSvaraH Sku _29.238b
   sanandī sagaṇaścaiva SkP_29.125c	sa nandI sa gaNaH ca eva SkP_29.125c
   sanādaḥ sataḍidguṇaḥ SkP_22.26d	sa nAdaH sa taxidguNaH SkP_22.26d
   sa nāmnā viśruto loke SkP_23.44a	sa nAmnA viSrutaH loke Sku _23.44a
   sandhyāyāmaparasyāṃ tu SkP_25.55a	sanDyAyAm aparasyAm tu SkP_25.55a
   sandhyā saptaṛcaṃ caiva SkP_29.80a	sanDyA saptaRcam ca eva Sku _29.80a
   sapitā sasuhṛjjanaḥ SkP_22.5d	sa pitA sa suhRd janaH SkP_22.5d
   saptadvīpordhvaliṅgine SkP_15.22b	saptadvIpA UrDvaliFgine Sku _15.22b
   saptabhiśca pravartanaḥ SkP_23.49b	saptaBiH ca pravartanaH Sku _23.49b
   saptalokapratiṣṭhitāḥ SkP_5.25b	sapta loka pratizWitAH Sk= _5.25b
   saptalokarathāya ca SkP_14.8d	sapta loka raTAya ca SkP_14.8d
   saptalokādhipatyaṃ ca SkP_23.3a	sapta loka ADipatyam ca Sku _23.3a
   sa praṇamya ca tānsarvān SkP_1.7a	sa praNamya ca tAn sarvAn Sk= _1.7a
   sa prayāti divaṃ devi SkP_28.45c	sa prayAti divam devi SkP_28.45c
   sa prāpya paramaṃ jñānaṃ SkP_5.58c	sa prApya paramam jQAnam SkP_5.58c
   sa prāha bhagavankoṭiṃ SkP_21.8a	sa prAha Bagavan kowim Sku _21.8a
   sa prāhaivaṃ pitāmahaḥ SkP_7.32d	sa prAha evam pitAmahaH SkP_7.32d
   sa baddhvā mahatīṃ kaṇṭhe SkP_18.4a	sa badDvA mahatIm kaNWe Sku _18.4a
   sa bahirmanmathaḥ krūro SkP_15.1c	sa bahis manmaTaH krUraH SkP_15.1c
   sa bāhurutthitastasya SkP_13.33c	sa bAhuH utTitaH tasya SkP_13.33c
   sa buddhvā parameśānaṃ SkP_13.40a	sa budDvA parameSAnam Sku _13.40a
   sa bhartā tava deveśo SkP_12.1e	sa BartA tava deveSaH Sku _12.1e
   sa bhartāsyā bhavediti SkP_12.13d	sa BartA asyAH Bavet iti SkP_12.13d
   sa bhaveta narottamaḥ SkP_28.28b	sa Baveta narottamaH Sku _28.28b
   sabhāryastapasi sthitaḥ SkP_18.22d	sa BAryaH tapasi sTitaH Sku _18.22d
   sa bhūtvānucaro devyāḥ SkP_29.218c	sa BUtvA anucaraH devyAH Sku _29.218c
   samakṣaṃ tridivaukasām SkP_13.56b	samakzam tridivOkasAm Sku _13.56b
   samakṣaṃ yena me sutā SkP_13.4d	samakzam yena me sutA SkP_13.4d
   samatāṃ samavāpsyati SkP_7.30d	sama tAm samavApsyati SkP_7.30d
   samatīte śubhavrate SkP_16.14b	samatIte SuBa vrate Sku _16.14b
   samadālikulodgīta  SkP_13.87a	sa madA ali kula udgIta Sku _13.87a
   samadālikulodgīta  SkP_13.109a	sa madA ali kula udgIta Sku _13.109a
   samantataḥ pādapagulmaṣaṇḍāḥ SkP_13.101d	samantataH pAdapa gulma zaNxAH SkP_13.101d
   samantāddevataiḥ sarvair SkP_29.36a	samantAt devatEH sarvEH Sku _29.36a
   samantādyojanaṃ kṣetraṃ SkP_9.25e	samantAt yojanam kzetram Sku _9.25e
   samantādyojanaṃ kṣetraṃ SkP_22.12a	samantAt yojanam kzetram Sku _22.12a
   samantānninyuravyagrā SkP_24.27c	samantAt ninyuH avyagrA SkP_24.27c
   samanvitaḥ sojjvalacāruveṣaḥ SkP_19.27b	samanvitaH sa ujjvala cAru vezaH Sku _19.27b
   samabhyagātkaśyapaviprasūnur SkP_13.11c	samaByagAt kaSyapa viprasUnuH SkP_13.11c
   sa mamātmasamo bhavet SkP_27.45d	sa mama Atma samaH Bavet SkP_27.45d
   samaravṛṣabhaketuścandramaulirjagāma SkP_29.239d	samara vRzaBa ketuH candramOliH jagAma SkP_29.239d
   samarcayitvā vidhivad SkP_17.21c	samarcayitvA viDivat Sku _17.21c
   samahāpārṣado rudraḥ SkP_23.29c	sa mahApArza daH rudraH SkP_23.29c
   samācārakriyepsayā SkP_13.3b	samAcAra kriyA IpsayA Sku _13.3b
   samānatvamagācchambhoḥ SkP_20.4c	samAna tvam agAt SamBoH SkP_20.4c
   samānarūpo na hi yasya kasyacit SkP_11.41d	samAna rUpaH na hi yasya kasyacid SkP_11.41d
   samāpayitvā ca punas SkP_19.1c	samApayitvA ca punar SkP_19.1c
   samāpte caiva tatkārye SkP_29.223e	samApte ca eva tad kArye Sku _29.223e
   samāpte jvalanatviṣaḥ SkP_21.11b	samApte jvalana tvizaH Sku _21.11b
   samāyayurdivyagṛhītaveṣāḥ SkP_13.7d	samAyayuH divya gRhIta vezAH SkP_13.7d
   samāyātaṃ mahaujasam SkP_1.21b	samAyAtam mahA ojasam Sku _1.21b
   samāyāntaṃ suradviṣam SkP_7.20b	samAyAntam suradvizam Sku _7.20b
   samālabhya mahātapāḥ SkP_17.22b	samAlaBya mahA tapAH Sk= _17.22b
   samāśvāsya ca duḥkhitām SkP_15.9d	samASvAsya ca duHKitAm SkP_15.9d
   sa mitraṃ yakṣarājasya SkP_27.23c	sa mitram yakzarAjasya SkP_27.23c
   samitsaṃyogajastasya SkP_4.13a	samiD saMyoga jaH tasya Sku _4.13a
   samidyuktena hastena SkP_4.12c	samiD yuktena hastena SkP_4.12c
   samīpaṃ so 'bhyagacchata SkP_23.19d	samIpam saH aByagacCata SkP_23.19d
   samīpe cāśramasya ha SkP_12.30d	samIpe ca ASramasya ha SkP_12.30d
   samīraṇaḥ sarvajagadvibhartā SkP_13.13c	samIraNaH sarva jagat viBartA SkP_13.13c
   sa mukhaṃ pañcamaṃ dīptam SkP_5.40a	sa muKam paQcamam dIptam Sku _5.40a
   samucchritānyaviralair SkP_13.113c	samucCritAni aviralEH SkP_13.113c
   samucchritaiścampakapādapaiśca SkP_13.118b	samucCritEH campaka pAdapEH ca SkP_13.118b
   samudrāstatra catvāraḥ SkP_13.68a	samudrAH tatra catvAraH Sku _13.68a
   samudrāḥ sapta caivātra SkP_29.80c	samudrAH sapta ca eva atra SkP_29.80c
   samunnatapayodharā SkP_13.81b	samunnata payoDarA Sku _13.81b
   samupāśritya saṃsthitā SkP_12.3d	samupASritya saMsTitA SkP_12.3d
   sa me gaṇapatirbhavet SkP_22.32d	sa me gaNapatiH Bavet SkP_22.32d
   samegha iva parvataḥ SkP_23.36d	sa meGaH iva parvataH SkP_23.36d
   sa me nandisamo bhavet SkP_27.30d	sa me nandi samaH Bavet SkP_27.30d
   sa me nandisamo bhavet SkP_28.41d	sa me nandi samaH Bavet SkP_28.41d
   sa me puraṃ samāsādya SkP_27.17c	sa me puram samAsAdya SkP_27.17c
   sa me sadā syādgaṇapo variṣṭhas SkP_22.34c	sa me sadA syAt gaNapaH varizWaH SkP_22.34c
   samo loke na cādhikaḥ SkP_5.24d	samaH loke na ca aDikaH SkP_5.24d
   sampādayata mā ciram SkP_3.24d	sampAdayata mA ciram SkP_3.24d
   sampādayadaninditām SkP_26.6d	sampAdayat aninditAm SkP_26.6d
   sampūjya sasukhāsīnaṃ SkP_12.7c	sampUjya sa suKa AsInam SkP_12.7c
   sampūrṇāyāṃ vṛṣadhvajaḥ SkP_21.7b	sampUrNAyAm vRzaDvajaH Sku _21.7b
   sampūrṇau paramāmbhobhir SkP_24.15e	sampUrNO parama amBoBiH Sku _24.15e
   sampratasthe 'tiniścitaḥ SkP_20.68d	sampratasTe ati niScitaH SkP_20.68d
   samprāptāḥ sarvalokeśās SkP_23.5c	samprAptAH sarva loka ISAH SkP_23.5c
   samprāpya martyaḥ sukṛtaprabhāvāt SkP_29.95b	samprApya martyaH sukRta praBAvAt Sku _29.95b
   samprāpyovāca deveśaṃ SkP_12.18a	samprApya uvAca deveSam Sku _12.18a
   samprekṣyāha gaṇādhyakṣo SkP_7.18c	samprekzya Aha gaNADyakzaH SkP_7.18c
   sambaddhagulmaviṭapairvihagairupetam SkP_30.33d	sambadDa gulma viwapEH vihagEH upetam SkP_30.33d
   sambabhūvurdiśaḥ sarvāḥ SkP_13.114c	sambaBUvuH diSaH sarvAH SkP_13.114c
   sambhārānāharaṃstataḥ SkP_24.11d	samBArAn Aharan= tatas SkP_24.11d
   sambhūtā dhārmikā satī SkP_10.24d	samBUtA DArmikA satI SkP_10.24d
   sambhramandāśarājasya SkP_19.10a	samBra mandASa rAjasya Sku _19.10a
   sayajñaḥ sahavedaśca SkP_5.65e	sa yajQaH sahavedaH ca SkP_5.65e
   sarastaḍāgairupaśobhitaṃ kvacit SkP_30.29d	saraH taxAgEH upaSoBitam kvacid SkP_30.29d
   sarastatra pradṛśyate SkP_7.36b	saraH tatra pradRSyate Sk= _7.36b
   sarasyudakasampūrṇe SkP_12.30c	sarasi udaka sampUrNe SkP_12.30c
   sarasvatīmathaikānte SkP_19.17c	sarasvatIm aTa ekAnte SkP_19.17c
   sarasvatīsṛje tathā SkP_9.6b	sarasvatI sRje taTA Sku _9.6b
   sarasvatyāṃ kurukṣetre SkP_19.15c	sarasvatyAm kurukzetre SkP_19.15c
   sa rājarājastvarito 'bhyagācca SkP_13.15d	sa rAja rAjaH tvaritaH aByagAt ca Sku _13.15d
   sa rātriṣu kṛtaṃ pāpaṃ SkP_29.213c	sa rAtrizu kRtam pApam SkP_29.213c
   saritaḥ sāgarāṃstathā SkP_24.42b	saritaH sAgarAn= taTA Sku _24.42b
   saridanyā tato 'bhavat SkP_22.23d	sarit anyA tatas aBavat SkP_22.23d
   sarobhiḥ samalaṃkṛte SkP_30.48d	saroBiH samalaMkRte SkP_30.48d
   sarpakuṇḍaladhāriṇe SkP_14.12b	sarpa kuNxala DAriNe Sku _14.12b
   sarpamekhaline tathā SkP_9.5d	sarpa meKaline taTA SkP_9.5d
   sarpayajñopavītī ca SkP_23.8c	sarpa yajQa upavItI ca SkP_23.8c
   sarpiṣā yo mamābhyaṅgaṃ SkP_28.27a	sarpizA yaH mama aByaFgam Sku _28.27a
   sarpistadamṛtaṃ ca hi SkP_13.133b	sarpiH tat amRtam ca hi Sku _13.133b
   sarpaiḥ pakṣibhireva ca SkP_23.64d	sarpEH pakziBiH eva ca Sku _23.64d
   sarva ete hi yājñikāḥ SkP_10.12d	sarve ete hi yAjQikAH SkP_10.12d
   sarva eva mahābalāḥ SkP_25.36b	sarve eva mahA balAH Sk= _25.36b
   sarva eva sureśvarāḥ SkP_13.55d	sarve eva sura ISvarAH SkP_13.55d
   sarvakāmapradāni tu SkP_29.50d	sarva kAma pradAni tu SkP_29.50d
   sarvakāmapradāya ca SkP_20.16d	sarva kAma pradAya ca Sku _20.16d
   sarvakāmasamanvitān SkP_27.15d	sarva kAma samanvitAn SkP_27.15d
   sarvakāmasamṛddhimat SkP_24.5d	sarva kAma samRdDimat SkP_24.5d
   sarvakāmānavāpnuyāt SkP_29.49f	sarva kAmAn avApnuyAt Sku _29.49f
   sarvakāryakarāśca ha SkP_29.225d	sarva kArya karAH ca ha SkP_29.225d
   sarvakāryavidhiṃ kartum SkP_24.35c	sarva kArya viDim kartum SkP_24.35c
   sarvakāryeṣu ca sadā SkP_9.15c	sarva kAryezu ca sadA Sku _9.15c
   sarvakriyāḥ prakurvāṇās SkP_5.3c	sarva kriyAH prakurvANAH SkP_5.3c
   sarvagandharasairyuktāṃ SkP_28.14c	sarva ganDa rasEH yuktAm SkP_28.14c
   sarvagandhaśca devyāstvaṃ SkP_12.24c	sarva ganDaH ca devyAH tvam SkP_12.24c
   sarvagāya mahātmane SkP_21.49b	sarvagAya mahAtmane SkP_21.49b
   sarvagāya sureśāya SkP_28.54a	sarvagAya sureSAya Sku _28.54a
   sarvaguhyamayo mantraḥ SkP_28.56a	sarva guhya mayaH mantraH Sku _28.56a
   sarvaguhyāya vai svāhā SkP_28.55c	sarva guhyAya vE svAhA SkP_28.55c
   sarvajñamaparājitam SkP_2.1b	sarvajQam aparAjitam Sku _2.1b
   sarvajñāyājitāya ca SkP_24.56b	sarvajQAya ajitAya ca Sku _24.56b
   sarvataḥpāṇaye namaḥ SkP_5.48b	sarvatas pANaye namaH Sku _5.48b
   sarvataḥpāṇipādadhṛk SkP_23.37d	sarvatas pANi pAda DRk SkP_23.37d
   sarvataḥpāṇipādāya SkP_21.21a	sarvatas pANi pAdAya Sku _21.21a
   sarvataḥśrutaye caiva SkP_21.21c	sarvatas Srutaye ca eva SkP_21.21c
   sarvatīrthābhiṣekasya SkP_7.35c	sarva tIrTa aBizekasya SkP_7.35c
   sarvatokṣimukhāya ca SkP_21.21b	sarvatokzi muKAya ca Sku _21.21b
   sarvato mayi bhāvitāḥ SkP_30.68d	sarvatas mayi BAvitAH SkP_30.68d
   sarvato yogarūpāya SkP_1.1c	sarvatas yoga rUpAya SkP_1.1c
   sarvatovadanaḥ śrīmān SkP_23.37c	sarvatas vadanaH SrImAn SkP_23.37c
   sarvatrāśaraṇastathā SkP_23.61d	sarvatra ASaraNaH taTA SkP_23.61d
   sarvathā vartamāno 'pi SkP_27.44a	sarvaTA vartamAnaH api Sku _27.44a
   sarvadevanivāraṇe SkP_13.53b	sarva deva nivAraNe Sku _13.53b
   sarvadevapatiḥ śreṣṭhaḥ SkP_11.40a	sarva deva patiH SrezWaH Sku _11.40a
   sarvadevamayāya ca SkP_28.54b	sarva deva mayAya ca Sku _28.54b
   sarvadevastutāya ca SkP_21.31b	sarva deva stutAya ca Sku _21.31b
   sarvadharmasamanvitaḥ SkP_1.7d	sarva Darma samanvitaH SkP_1.7d
   sarvadharmāgamānvitaiḥ SkP_1.19b	sarva Darma Agama anvitEH Sku _1.19b
   sarvadharmibhya eva ca SkP_25.42b	sarva DarmiByaH eva ca Sku _25.42b
   sarvaparvasu kāśigām SkP_29.80f	sarva parvasu kASi gAm Sku _29.80f
   sarvaparvasu puṇyeṣu SkP_29.76c	sarva parvasu puNyezu SkP_29.76c
   sarvaparvasu puṇyeṣu SkP_29.86a	sarva parvasu puNyezu Sku _29.86a
   sarvapādāya vai namaḥ SkP_5.47d	sarva pAdAya vE namaH SkP_5.47d
   sarvapāpapraṇāśanīm SkP_3.1b	sarva pApa praNASanIm Sku _3.1b
   sarvapāpapramocanam SkP_7.25d	sarva pApa pramocanam Sku _7.25d
   sarvapāpavinirmuktaḥ SkP_28.59c	sarva pApa vinirmuktaH SkP_28.59c
   sarvapāpavinirmukto SkP_10.40e	sarva pApa vinirmuktaH Sku _10.40e
   sarvapāpavinirmukto SkP_29.216e	sarva pApa vinirmuktaH Sku _29.216e
   sarvapāpaiḥ pramucyate SkP_25.54d	sarva pApEH pramucyate Sku _25.54d
   sarvapāpaiḥ pramucyate SkP_27.43d	sarva pApEH pramucyate Sku _27.43d
   sarvapāpaiḥ pramucyate SkP_28.25b	sarva pApEH pramucyate Sku _28.25b
   sarvapāpaiḥ pramucyate SkP_28.65f	sarva pApEH pramucyate Sku _28.65f
   sarvapāpaiḥ pramucyate SkP_29.118d	sarva pApEH pramucyate Sku _29.118d
   sarvapāpaiḥ pramucyate SkP_29.217d	sarva pApEH pramucyate Sku _29.217d
   sarvapāpaiḥ pramucyeta SkP_28.62e	sarva pApEH pramucyeta Sku _28.62e
   sarvaprāṇicaraḥ śrīmān SkP_5.4c	sarva prANi caraH SrImAn SkP_5.4c
   sarvabhūtapa īśvaraḥ SkP_12.27d	sarva BUtapaH ISvaraH SkP_12.27d
   sarvabhūtapatirharaḥ SkP_23.1b	sarva BUta patiH haraH SkP_23.1b
   sarvabhūtapravartakaḥ SkP_5.4d	sarva BUta pravartakaH SkP_5.4d
   sarvabhūtasamāgame SkP_13.127b	sarva BUta samAgame SkP_13.127b
   sarvabhūtahṛdi sthitaḥ SkP_28.68d	sarva BUta hRdi sTitaH SkP_28.68d
   sarvabhūtādhipāya ca SkP_9.10b	sarva BUta aDipAya ca Sku _9.10b
   sarvabhūtānukampine SkP_21.37d	sarva BUta anukampine SkP_21.37d
   sarvabhūtāsamajñāya SkP_21.37c	sarva BUta asama jQAya SkP_21.37c
   sarvabhogāṃśca dāsyantu SkP_29.226c	sarva BogAn= ca dAsyantu SkP_29.226c
   sarvamarhati deveśa SkP_23.3c	sarvam arhati deveSa SkP_23.3c
   sarvamālyāni yo dadyāt SkP_28.53a	sarva mAlyAni yaH dadyAt Sku _28.53a
   sarvamāvṛtya tiṣṭhate SkP_21.21d	sarvam AvRtya tizWate SkP_21.21d
