   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   pārṣmigrāho 'bhavaddevaḥ pragṛhyājagavaṃ dhanuḥ // BndP_2,65.32 //	pArzmigrAhaH aBavat devaH pragRhya Ajagavam DanuH // Bndu _2,65.32 //
   tena brahmaśiro nāma paramāstraṃ mahātmanā /	tena brahmaSiraH nAma parama astram mahAtmanA /
   uddiśya devānutsṛṣṭaṃ yenaiṣāṃ nāśitaṃ yaśaḥ // BndP_2,65.33 //	uddiSya devAn utsRzwam yena ezAm nASitam yaSaH // Bndu _2,65.33 //
   tatra tadyuddhamabhavatprakhyātaṃ tārakāmayam /	tatra tat yudDam aBavat praKyAtam tArakA mayam /
   devānāṃ dānavānāṃ ca lokakṣayakaraṃ mahat // BndP_2,65.34 //	devAnAm dAnavAnAm ca loka kzaya karam mahat // Bndu _2,65.34 //
   tatra śiṣṭāstu ye devāstuṣitāścaiva te smṛtāḥ /	tatra SizwAH tu ye devAH tuzitAH ca eva te smRtAH /
   brahmāṇaṃ śaraṇaṃ jagmurādidevaṃ pitāmaham // BndP_2,65.35 //	brahmANam SaraNam jagmuH Adidevam pitAmaham // Bndu _2,65.35 //
   tato nivāryośanasaṃ rudraṃ jyeṣṭhaṃ ca śaṅkaram /	tatas nivArya uSanasam rudram jyezWam ca SaFkaram /
   dadāvāṅgirase tārāṃ svayametya pitāmahaḥ // BndP_2,65.36 //	dadO= AFgirase tArAm svayam etya pitAmahaH // Bndu _2,65.36 //
   antarvatnīṃ ca tāṃ dṛṣṭvā tārāṃ tārādhipānanām /	antarvatnIm ca tAm dRzwvA tArAm tArADipa AnanAm /
   garbhamutsṛja sadyastvaṃ vipraḥ prāha bṛhaspatiḥ // BndP_2,65.37 //	garBam utsRja sadyas tvam vipraH prAha bRhaspatiH // Bndu _2,65.37 //
   madīyāyāṃ na te yonau garbho dhāryaḥ kathañcana /	madIyAyAm na te yonO garBaH DAryaH kaTaQcana /
   atho tārāsṛjadgarbhaṃ jvalantamiva pāvakam // BndP_2,65.38 //	aTo tArA sRjat garBam jvalantam iva pAvakam // Bndu _2,65.38 //
   jātamātro 'tha bhagavāndevānāmākṣipadvapuḥ /	jAta mAtraH aTa BagavAn devAnAm Akzipat vapuH /
   tataḥ saṃśayamāpannastārāmakathayansurāḥ // BndP_2,65.39 //	tatas saMSayam ApannaH tArAm akaTayan surAH // Bndu _2,65.39 //
   satyaṃ brūhi sutaḥ kasya somasyātha bṛhaspateḥ /	satyam brUhi sutaH kasya somasya aTa bRhaspateH /
   hrīyamāṇā yadā devānnāha sā sādhvasādhu vā // BndP_2,65.40 //	hrIyamANA yadA devAn na Aha sA sADu asADu vA // Bndu _2,65.40 //
   tadā tāṃ śaptumārabdhaḥ kumāro dasyuhantamaḥ /	tadA tAm Saptum ArabDaH kumAraH dasyu hantamaH /
   taṃ nivārya tadābrahmā tārāṃ papraccha saṃśayam // BndP_2,65.41 //	tam nivArya tadA abrahmA tArAm papracCa saMSayam // Bndu _2,65.41 //
   yadatra tathyaṃ tadbrūhi tāre kasya sutastvayam /	yat atra taTyam tat brUhi tAre kasya sutaH tu ayam /
   sā prāñjaliruvācedaṃ brahmāṇaṃ varadaṃ prabhum // BndP_2,65.42 //	sA prAQjaliH uvAca idam brahmANam vara dam praBum // Bndu _2,65.42 //
   somasyati mahātmānaṃ kumāraṃ dasyuhantamam /	somasyati mahAtmAnam kumAram dasyu hantamam /
   tataḥ sutamupāghrāya somo rājā prajāpatiḥ // BndP_2,65.43 //	tatas sutam upAGrAya somaH rAjA prajApatiH // Bndu _2,65.43 //
   budha ityakaronnāma tasya putrasya dhīmataḥ /	buDaH iti akarot nAma tasya putrasya DImataH /
   pratighasraṃ ca gagane samabhyuttiṣṭhate budhaḥ // BndP_2,65.44 //	pratiGasram ca gagane samaByuttizWate buDaH // Bndu _2,65.44 //
   utpādayāmāsa tadā putraṃ ve rājaputrikā /	utpAdayAmAsa tadA putram ve rAja putrikAH /
   tasya putro mahātejā babhūvailaḥ purūravāḥ // BndP_2,65.45 //	tasya putraH mahA tejAH baBUva elaH purUravAH // Bndu _2,65.45 //
   urvaśyāṃ jajñire tasya patrāḥ ṣaṭ sumahaujasaḥ /	urvaSyAm jajQire tasya patrAH zaw su mahA ojasaH /
   prasahya dharṣitastatra vivaśo rājayakṣmaṇā // BndP_2,65.46 //	prasahya DarzitaH tatra vivaSaH rAjayakzmaNAH // Bndu _2,65.46 //
   tato yakṣmābhibhūtastu somaḥ prakṣiṇamaṇḍalaḥ /	tatas yakzma aBiBUtaH tu somaH prakziNa maNxalaH /
   jagāma śaraṇāyātha pitaraṃ so 'trimeva tu // BndP_2,65.47 //	jagAma SaraNAya aTa pitaram saH atrim eva tu // Bndu _2,65.47 //
   tasya tatpāpaśamanaṃ cakārātrirmahāyaśāḥ /	tasya tad pApa Samanam cakAra atriH mahA yaSAH /
   sa rājayakṣmaṇā muktaḥ śrīyā jajavāla sarvaśaḥ // BndP_2,65.48 //	sa rAjayakzmaNA muktaH SrIyA jajavAla sarvaSas // Bndu _2,65.48 //
   etatsomasya vai janma kīrttitaṃ dvijasattamāḥ /	etat somasya vE janma kIrttitam dvijasattamAH /
   vaṃśaṃ tasya dvijaśreṣṭhā kīrtyamānaṃ nibodhata // BndP_2,65.49 //	vaMSam tasya dvijaSrezWA kIrtyamAnam niboData // Bndu _2,65.49 //
   dhanyamārogyamāyuṣyaṃ puṇyaṃ kalmaṣaśodhanam /	Danyam Arogyam Ayuzyam puNyam kalmaza SoDanam /
   saumyasya canma śrutvaivaṃ sarvapāpaiḥ pramucyate // BndP_2,65.50 //	sOmyasya canma SrutvA evam sarva pApEH pramucyate // Bndu _2,65.50 //
   iti śrībrahmāṇḍe mahāpurāṇe vāyuprokte madhyamabhāge tṛtīya upoddhātapāde	iti SrI brahmANxe mahApurANe vAyu prokte maDyama BAge tRtIyaH upodDa AtapAde
   somasaumyayorjanmakathanaṃ nāma pañcaṣaṣṭitamo 'dhyāyaḥ // 65//	somasOmyayoH janmakaTanam nAma paQcazazwitamaH aDyAyaH // 65//
   sūta uvāca	sUtaH uvAca
   somasya tu budhaḥ putro budhasya tu purūravāḥ /	somasya tu buDaH putraH buDasya tu purUravAH /
   tejasvī dānaśīlaśca yajvā vipuladakṣiṇaḥ // BndP_2,66.1 //	tejasvI dAna SIlaH ca yajvA vipula dakziNaH // Bndu _2,66.1 //
   brahmavādī parākrāntaḥ śatrubhiryudhi durjayaḥ /	brahma vAdI parAkrAntaH SatruBiH yuDi durjayaH /
   āharttā jāgnihotrasya yajñānāṃ ca mahīpatiḥ // BndP_2,66.2 //	AharttA jAgnihotrasya yajQAnAm ca mahIpatiH // Bndu _2,66.2 //
   satyavāgdharmabuddhiśca kāntaḥ saṃvṛttamaithunaḥ /	satya vAc Darma budDiH ca kAntaH saMvRtta mETunaH /
   atīva triṣu lokeṣu rūpeṇāpratimo 'bhavat // BndP_2,66.3 //	atIva trizu lokezu rUpeNa apratimaH aBavat // Bndu _2,66.3 //
   taṃ brahmavādinaṃ dāntaṃ dharmajñaṃ satyavādinam /	tam brahma vAdinam dAntam Darma jQam satya vAdinam /
   urvaśī varayāmāsa hitvā mānaṃ yaśasvinī // BndP_2,66.4 //	urvaSI varayAmAsa hitvA mAnam yaSasvinI // Bndu _2,66.4 //
   tayā sahāvasadrājā daśa varṣāṇi cāṣṭa ca /	tayA saha a= asat rAjAH daSa varzANi ca azwa ca /
   sapta ṣaṭsapta cāṣṭau ca daśa cāṣṭau ca vīryavān // BndP_2,66.5 //	sapta zaz sapta ca azwO ca daSa ca azwO ca vIryavAn // Bndu _2,66.5 //
   vane caitrarathe ramye tathā mandākinītaṭe /	vane cEtraraTe ramye taTA mandAkinI tawe /
   alakāyāṃ viśālāyāṃ nandane ca vanottame // BndP_2,66.6 //	alakAyAm viSAlAyAm nandane ca vana uttame // Bndu _2,66.6 //
   gandhamādanapādeṣu meruśṛṅge nagottame /	ganDamAdana pAdezu meru SRFge naga uttame /
   uttarāṃśca kurūnprāpya kalāpagrāmameva ca // BndP_2,66.7 //	uttarAn= ca kurUn prApya kalApa grAmam eva ca // Bndu _2,66.7 //
   eteṣu vanamukhyeṣu surairācariteṣu ca /	etezu vana muKyezu surEH Acaritezu ca /
   urvaśyā mahito rājā reme paramayā mudā // BndP_2,66.8 //	urvaSyAH mahitaH rAjA reme paramayA mudA // Bndu _2,66.8 //
   ṛṣaya ūcuḥ	RzayaH UcuH
   gandharvī corvaśī devī rājānaṃ mānuṣaṃ katham /	ganDarvI ca urvaSI devI rAjAnam mAnuzam kaTam /
   utsṛjya taṃ ca saṃprāptā tanno brūhi ca duṣkṛtam // BndP_2,66.9 //	utsRjya tam ca saMprAptA tat naH brUhi ca duzkRtam // Bndu _2,66.9 //
   sūta uvāca	sUtaH uvAca
   brahmaśāpābhibhūtā sā mānuṣaṃ samupasthitā /	brahma SApa aBiBUtA sA mAnuzam samupasTitA /
   ātmanaḥ śāpamokṣārthaṃ niyamaṃ sā cakāra tu // BndP_2,66.10 //	AtmanaH SApa mokza arTam niyamam sA cakAra tu // Bndu _2,66.10 //
   anagnadarśanaṃ caiva akāmātsaha maithunam /	anagna darSanam ca eva akAmAt saha mETunam /
   dvau meṣau śayanābhyāśe sā tāvaddhyavatiṣṭhate // BndP_2,66.11 //	dvO mezO Sayana aByASe sA tAvat hi avatizWate // Bndu _2,66.11 //
   ghṛtamātraṃ tathā'hāraḥ kālamekaṃ tu pārthiva /	GRta mAtram taTA ahAraH kAlam ekam tu pArTiva /
   yadyeṣa samayo rājanyāvatkālaśca te dṛḍhaḥ // BndP_2,66.12 //	yadi eza samayaH rAjan yAvat kAlaH ca te dRXaH // Bndu _2,66.12 //
   tāvatkālaṃ tu vatsyāmi eṣa naḥ samayaḥ kṛtaḥ /	tAvatkAlam tu vatsyAmi eza naH samayaH kRtaH /
   tasyāstaṃ samayaṃ sarvaṃ sa rājā paryapālayat // BndP_2,66.13 //	tasyAH tam samayam sarvam sa rAjA paryapAlayat // Bndu _2,66.13 //
   evaṃ sā cāvasattena sahelenā bhigāminī /	evam sA ca avasattena sa helenA BigAminI /
   varṣāṇyatha catuḥṣaṣṭiṃ tadbhaktyā śāpamohitā // BndP_2,66.14 //	varzANi aTa catuHzazwim tad BaktyA SApa mohitAH // Bndu _2,66.14 //
   urvaśī mānuṣaṃ prāptā gandharvāścintayānvitāḥ /	urvaSI mAnuzam prAptAH ganDarvAH cintayA anvitAH /
   gandharvā ūcuḥ	ganDarvAH UcuH
   cintayadhvaṃ mahābhāgā yathā sā tu varāṅganā // BndP_2,66.15 //	cintayaDvam mahABAgA yaTA sA tu vara aFganA // Bndu _2,66.15 //
   āgacchettu punardevānurvaśī svargabhūṣaṇam /	AgacCet tu punar devAn urvaSI svarga BUzaNam /
   tato viśvāpasurnāma gandharvaḥ sumahāmatiḥ // BndP_2,66.16 //	tatas viSvApasuH nAma ganDarvaH su mahAmatiH // Bndu _2,66.16 //
   jahāroraṇakau tasyāstatpaścātsā divaṃ gatā /	jahAra uraNakO tasyAH tad paScAt sA divam gatAH /
   tasyāstu viraheṇāsau bhramamāṇastvathorvaśīm // BndP_2,66.17 //	tasyAH tu viraheNa asO BramamANaH tu aTa urvaSIm // Bndu _2,66.17 //
   dadarśa ca kurukṣetre tayā saṃbhāṣito 'pyayam /	dadarSa ca kurukzetre tayA saMBAzitaH api ayam /
   gandharvānupadhāveti sa taccakre 'tha te daduḥ // BndP_2,66.18 //	ganDarvAnupaDAva iti sa tat cakre aTa te daduH // Bndu _2,66.18 //
   agnisthālīṃ tayā rājā gataḥ svargaṃ mahārathaḥ /	agni sTAlIm tayA rAjA gataH svargam mahA raTaH /
   eko 'gniḥ pūrvamāsīdvai ailastaṃ trīnakalpayat // BndP_2,66.19 //	ekaH agniH pUrvam AsIt vE ElaH tam trIn akalpayat // Bndu _2,66.19 //
   evaṃprabhāvo rājāsīdailastu dvijasattamāḥ /	evaMpraBAvaH rAjA AsIdElaH tu dvijasattamAH /
   deśe puṇyatame caiva maharṣibhiralaṅkṛte // BndP_2,66.20 //	deSe puNyatame ca eva mahA RziBiH alaFkRte // Bndu _2,66.20 //
   rājyaṃ sa kārayāmāsa prayāge pṛthivīpatiḥ /	rAjyam sa kArayAmAsa prayAge pRTivIpatiH /
   uttare yāmune tīre pratiṣṭhāne mahāyaśāḥ // BndP_2,66.21 //	uttare yAmune tIre pratizWAne mahA yaSAH // Bndu _2,66.21 //
   tasya putrā babhūvurhi ṣaḍindropamatejasaḥ /	tasya putrAH baBUvuH hi zaz indra upama tejasaH /
   gandharvaloke viditā āyurddhīmānamāvasuḥ // BndP_2,66.22 //	ganDarva loke viditAH AyurdDI mAnam AvasuH // Bndu _2,66.22 //
   viśvāvasuḥ śratāyuśca ghṛtāyuścovarśīsutāḥ /	viSvAvasuH SratAyuH ca GRtAyuH caH varSI sutAH /
   amāva sostu vai jāte bhīmo rājātha viśvacit // BndP_2,66.23 //	amAva soH tu vE jAte BImaH rAjA aTa viSva cid // Bndu _2,66.23 //
   śrīmānbhīmasya dāyādo rājāsītkāñcanaprabhaḥ /	SrImAn BImasya dAyAdaH rAjA AsIt kAQcana praBaH /
   vidvāṃstu kāñcanasyāpi suhotro 'bhūnmahābala // BndP_2,66.24 //	vidvAn= tu kAQcanasya api suhotraH aBUt mahA bala // Bndu _2,66.24 //
   suhotrasyābhavajjahnuḥ keśinīgarbhasaṃbhavaḥ /	suhotrasya aBavat jahnuH keSinI garBa saMBavaH /
   pratigatya tato gaṅgā vitate ya5karmaṇi // BndP_2,66.25 //	pratigatya tatas gaFgA vitate ya5karmaNi // Bndu _2,66.25 //
   sādayāmāsa taṃ deśaṃ bhāvinor'thasya darśanāt /	sAdayAmAsa tam deSam BAvinor aTasya darSanAt /
   gaṅgayā plāvitaṃ dṛṣṭvā yajñavāṭaṃ samantataḥ // BndP_2,66.26 //	gaFgayA plAvitam dRzwvA yajQa vAwam samantataH // Bndu _2,66.26 //
   sauhotrirapi saṃkruddho gaṅgāṃ rājā dvijottamāḥ /	sOhotriH api saMkrudDaH gaFgAm rAjA dvijottamAH /
   tadārājarṣiṇā pītāṃ gaṅgāṃ dṛṣṭvā surarṣayaḥ // BndP_2,66.27 //	tadA arAjarziNA pItAm gaFgAm dRzwvA sura RzayaH // Bndu _2,66.27 //
   upaninyurmahābhāgā duhitṛtvena jāhnavīm /	upaninyuH mahABAgAH duhitR tvena jAhnavIm /
   yauvanāśvasya pautrīṃ tu kāverīṃ jahnurāvahat // BndP_2,66.28 //	yOvanASvasya pOtrIm tu kAverIm jahnuH Avahat // Bndu _2,66.28 //
   yuvanāśvasya śāpena gaṅgārddhena vinirmame /	yuvanASvasya SApena gaFgA ardDena vinirmame /
   kāverīṃ saritāṃ śreṣṭha jahnubhāryāmaninditām // BndP_2,66.29 //	kAverIm saritAm SrezWa jahnu BAryAm aninditAm // Bndu _2,66.29 //
   jahnustu dayitaṃ putraṃ sunahaṃ nāma dhārmikam /	jahnuH tu dayitam putram su naham nAma DArmikam /
   kāveryāṃ janayāmāsa ajakastasya cātmajaḥ // BndP_2,66.30 //	kAveryAm janayAmAsa ajakaH tasya ca AtmajaH // Bndu _2,66.30 //
   ajakasya tu dāyādo balākāśvo mahāyaśāḥ /	ajakasya tu dAyAdaH balAkASvaH mahA yaSAH /
   babhūva mṛga śīlaḥ suśastasyātmajaḥ smṛtaḥ // BndP_2,66.31 //	baBUva mRga SIlaH suSaH tasya AtmajaH smRtaH // Bndu _2,66.31 //
   kuśaputrā babhūvuśca catvāro devavarcasaḥ /	kuSa putrAH baBUvuH ca catvAraH deva varcasaH /
   kuśāṃbaḥ kuśānābhaśca amūrtarayamo vasuḥ // BndP_2,66.32 //	kuSAMbaH kuSAnABaH ca amUrtarayamaH vasuH // Bndu _2,66.32 //
   kuśikastu tapastepe putrārthī rājasattamaḥ /	kuSikaH tu tapaH tepe putra arTI rAja sattamaH /
   pūrṇe varṣasahasre vai śatakraturapaśyata // BndP_2,66.33 //	pUrNe varza sahasre vE SatakratuH apaSyata // Bndu _2,66.33 //
   tamugratapasaṃ dṛṣṭvā sahasrākṣaḥ purandaraḥ /	tam ugra tapasam dRzwvA sahasrAkzaH purandaraH /
   samarthaḥ putrajanane svayamevāsya śāśvataḥ // BndP_2,66.34 //	samarTaH putra janane svayam eva asya SASvataH // Bndu _2,66.34 //
   putratvaṃ kalpayāmāsa svayameva purandaraḥ /	putra tvam kalpayAmAsa svayam eva purandaraH /
   gādhirnāmābhavatputraḥ kauśikaḥ pākaśāsanaḥ // BndP_2,66.35 //	gADiH nAma aBavat putraH kOSikaH pAkaSAsanaH // Bndu _2,66.35 //
   paurukutsyabhavadbhāryā gādhestasyāmajāyata /	pOru kutsya Bavat BAryA gADeH tasyAm ajAyata /
   pūrvaṃ kanyā mahābhāgā nāmnā satyavatī śubhā // BndP_2,66.36 //	pUrvam kanyA mahABAgA nAmnA satyavatI SuBA // Bndu _2,66.36 //
   tāṃ gādhiḥ putrakāmāya ṛcīkāya dadau prabhuḥ /	tAm gADiH putra kAmAya RcIkAya dadO praBuH /
   tasyāḥ prītastu vai bharttā bhārgavo bhṛgunandanaḥ // BndP_2,66.37 //	tasyAH prItaH tu vE BarttA BArgavaH BRgu nandanaH // Bndu _2,66.37 //
   putrārthe sādhayāmāsa caruṃ gādhestathaiva ca /	putra arTe sADayAmAsa carum gADeH taTA eva ca /
   athāvocatpriyāṃ tatra ṛcīko bhārgavastadā // BndP_2,66.38 //	aTa avocat priyAm tatra RcIkaH BArgavaH tadA // Bndu _2,66.38 //
   upabhojyaścarurayaṃ tvayā mātrā ca te śubhā /	upaBojyaH caruH ayam tvayA mAtrA ca te SuBA /
   tasyā janiṣyate putro dīptimānkṣattriyarṣabhaḥ // BndP_2,66.39 //	tasyAH janizyate putraH dIptimAn kzattriya RzaBaH // Bndu _2,66.39 //
   ajeyaḥ kṣattriyairyuddhe kṣatriyarṣabhasūdanaḥ /	ajeyaH kzattriyEH yudDe kzatriya RzaBa sUdanaH /
   tavāpi putraṃ kalyāṇi dhṛtimantaṃ tapodhanam // BndP_2,66.40 //	tava api putram kalyANi DRtimantam tapoDanam // Bndu _2,66.40 //
   śamātmakaṃ dvijaśreṣṭhaṃ carureṣa vidhāsyati /	Sama Atmakam dvijaSrezWam caruH eza viDAsyati /
   evamuktvā tu tāṃ bhāryāmṛcīko bhṛgunandanaḥ // BndP_2,66.41 //	evam uktvA tu tAm BAryA mRcIkaH BRgunandanaH // Bndu _2,66.41 //
   tapasyabhirato nityamaraṇyaṃ praviśeśa ha /	tapasi aBirataH nityam araNyam praviSa ISa ha /
   gādhiḥ sadārastu tadā ṛcīkāśramamabhyagāt // BndP_2,66.42 //	gADiH sa dAraH tu tadA RcIka ASramam aByagAt // Bndu _2,66.42 //
   tīrthayātrāprasaṃgena sutāṃ draṣṭuṃ nareśvaraḥ /	tIrTa yAtrA prasaMgena sutAm drazwum nareSvaraH /
   carudvayaṃ gṛhītvā tu ṛṣeḥ styavatī tadā // BndP_2,66.43 //	caru dvayam gRhItvA tu RzeH styavatI tadA // Bndu _2,66.43 //
   bharturvacanamavyagrā hṛṣṭā mātre nyavedayat /	BartuH vacanam avyagrA hRzwAH mAtre nyavedayat /
   mātā tu tasyai daivaina duhitre svacaruṃ dadau // BndP_2,66.44 //	mAtA tu tasyE dEva ena duhitre sva carum dadO // Bndu _2,66.44 //
   tasyāścarumathājñānādātmanaḥ sā cakāra ha /	tasyAH carumaTa ajQAnAt AtmanaH sA cakAra ha /
   atha satyavatī garbhaṃ kṣatriyāntakaraṃ śubham // BndP_2,66.45 //	aTa satyavatI garBam kzatriya anta karam SuBam // Bndu _2,66.45 //
   dhārayāmāsa dīptena vapuṣā ghoradarśanā /	DArayAmAsa dIptena vapuzA Gora darSanAH /
   tāmṛcīkastato dṛṣṭvā yogenāpyavamṛśya ca // BndP_2,66.46 //	tAmRcIkaH tatas dRzwvA yogena api avamRSya ca // Bndu _2,66.46 //
   tadābravīddvijaśreṣṭhaḥ svāṃ bhāryāṃ varavarṇinīm /	tadA abravIt dvijaSrezWaH svAm BAryAm varavarNinIm /
   mātrāsi vañcitā bhadre caruvyatyāsahetunā // BndP_2,66.47 //	mAtrA asi vaQcitA Badre caru vyatyAsa hetunA // Bndu _2,66.47 //
   janiṣyati hi putraste krūrakarmātidārumaḥ /	janizyati hi putraH te krUra karma atidArumaH /
   mātā janiṣyate cāpi tathā bhūtaṃ tapodhanam // BndP_2,66.48 //	mAtA janizyate ca api taTA BUtam tapoDanam // Bndu _2,66.48 //
   viśvaṃ hi brahmatapasā mayā tatra samarpitam /	viSvam hi brahma tapasA mayA tatra samarpitam /
   evamuktā mahābhāgā bhartrā satyavatī tadā // BndP_2,66.49 //	evam uktA mahABAgA BartrA satyavatI tadA // Bndu _2,66.49 //
   prasādayāmāsa patiṃ suto me nedṛśo bhavet /	prasAdayAmAsa patim sutaH me na IdRSaH Bavet /
   brāhmaṇāpasadastvatta ityukto munimabravīt // BndP_2,66.50 //	brAhmaNa apasadaH tvattaH iti uktaH munim abravIt // Bndu _2,66.50 //
   naiva saṃkalpitaḥ kāmo mayā bhadre tathā tvayā /	na eva saMkalpitaH kAmaH mayA Badre taTA tvayA /
   ugrakarmā bhavetputraḥ piturmātuśca kāraṇāt // BndP_2,66.51 //	ugra karmA Bavet putraH pituH mAtuH ca kAraNAt // Bndu _2,66.51 //
   punaḥ satyavatī vākyamevamuktābravīdidam /	punar satyavatI vAkyam evam uktA abravIt idam /
   icchaṃllokānapi mune sṛjethāḥ kiṃ punaḥ sutam // BndP_2,66.52 //	icCan= lokAn api mune sRjeTAH kim punar sutam // Bndu _2,66.52 //
   śamātmakamṛjuṃ bharttaḥ putraṃ me dātumarhasi /	Sama Atmakam Rjum BarttaH putram me dAtum arhasi /
   kāmamevaṃvidhaḥ pautro mama syāttava suvrata // BndP_2,66.53 //	kAmam evaMviDaH pOtraH mama syAt tava suvrata // Bndu _2,66.53 //
   yadyanyathā na sakyaṃ vai kartuṃmevaṃ dvijottama /	yadi anyaTA na sakyam vE kartuMmevam dvijottamaH /
   tataḥ prasādamakarotsa tasyāstapaso balāt // BndP_2,66.54 //	tatas prasAdam akarot sa tasyAH tapasaH balAt // Bndu _2,66.54 //
   putre nāsti viśeṣo me pautre vā varavarṇini /	putre na asti viSezaH me pOtre vA varavarNini /
   tvayā yathoktaṃ vacanaṃ tathā bhadrebhaviṣyati // BndP_2,66.55 //	tvayA yaToktam vacanam taTA BadreBavizyati // Bndu _2,66.55 //
   tasmātsatyavatī putraṃ janayāmāsa bhārgavam /	tasmAt satyavatI putram janayAmAsa BArgavam /
   tapasyabhirataṃ dāntaṃ jamadagniṃ śamātmakam // BndP_2,66.56 //	tapasi aBiratam dAntam jamadagnim Sama Atmakam // Bndu _2,66.56 //
   bhṛgoścaruviparyāse raudravaiṣṇavayoḥ purā /	BRgoH caru viparyAse rOdra vEzNavayoH purA /
   jamanādvaiṣṇavasyāgnerjamadagnirajāyata // BndP_2,66.57 //	jamanAt vEzNavasya agneH jamadagniH ajAyata // Bndu _2,66.57 //
   viśvāmitraṃ tu dāyādaṃ gādhiḥ kuśikanandanaḥ /	viSvAmitram tu dAyAdam gADiH kuSika nandanaH /
   prāpya brahmarṣisamatāṃ jagāma brahmaṇā vṛtaḥ 66.58//	prApya brahmarzi sama tAm jagAma brahmaNA vRtaH 66.58//
   sā hi satyavatī puṇyā satyavrataparāyaṇā /	sA hi satyavatI puNyA satya vrata parAyaNAH /
   kauśikī tu samākhyātā pravṛtteyaṃ mahānadī // BndP_2,66.59 //	kOSikI tu samAKyAtA pravRttA iyam mahA nadI // Bndu _2,66.59 //
   parisrutā mahābhāgā kauśikī saritāṃ varā /	parisrutA mahABAgA kOSikI saritAm varAH /
   ikṣvākuvaṃśaprabhavo reṇuko nāma pārthivaḥ // BndP_2,66.60 //	ikzvAku vaMSa praBavaH reNukaH nAma pArTivaH // Bndu _2,66.60 //
   tasya kanyā mahābhāgā kamalī nāma reṇukā /	tasya kanyA mahABAgA kamalI nAma reNukA /
   reṇukāyāṃ kamalyāṃ tu tapodhṛtisamādhinā // BndP_2,66.61 //	reNukAyAm kamalyAm tu tapaH DRti samADinA // Bndu _2,66.61 //
   ārcīko janayāmāma jamadagniḥ sudāruṇam /	ArcIkaH janayAmAma jamadagniH su dAruNam /
   sarvavidyāntagaṃ śreṣṭhaṃ dhanurvedasya pāragam // BndP_2,66.62 //	sarva vidyA antagam SrezWam Danurvedasya pAragam // Bndu _2,66.62 //
   rāmaṃ kṣattriyahantāraṃ pradīptamiva pāvakam /	rAmam kzattriya hantAram pradIptam iva pAvakam /
   aurvasyaivamṛcīkasya satyavatyāṃ mahāmanāḥ // BndP_2,66.63 //	Orvasya evam RcIkasya satyavatyAm mahAmanAH // Bndu _2,66.63 //
   jamadagnistapovīryājjajñe brahmavidāṃ varaḥ /	jamadagniH tapaH vIryAt jajQe brahma vidAm varaH /
   madhyamaśca śunaḥśephaḥ śunaḥ pucchaḥ kaniṣṭhakaḥ // BndP_2,66.64 //	maDyamaH ca SunaHSePaH SunaH pucCaH kanizWakaH // Bndu _2,66.64 //
   viśvāmitrastu dharmātmā nāmnā viśvarathaḥ smṛtaḥ /	viSvAmitraH tu Darma AtmA nAmnA viSvaraTaH smRtaH /
   jajñe bhṛguprasādena kauśikānvayavarddhanaḥ // BndP_2,66.65 //	jajQe BRgu prasAdena kOSika anvaya vardDanaH // Bndu _2,66.65 //
   viśvāmitrasya putrastu śunaḥśepho 'bhavanmuniḥ /	viSvAmitrasya putraH tu SunaHSePaH aBavat muniH /
   hariścandrasya yajñe tu paśutve niyataḥ sa vai // BndP_2,66.66 //	hariScandrasya yajQe tu paSutve niyataH sa vE // Bndu _2,66.66 //
   devairdattaḥ śunaḥśepho viśvāmitrāya vai punaḥ /	devEH dattaH SunaHSePaH viSvAmitrAya vE punar /
   devairdattaḥ sa vai yasmāddevarātastato 'bhavat // BndP_2,66.67 //	devEH dattaH sa vE yasmAt devarAtaH tatas aBavat // Bndu _2,66.67 //
   viśvāmitrasya putrāṇāṃ śunaḥśepho 'grajaḥ smṛtaḥ /	viSvAmitrasya putrANAm SunaHSePaH agrajaH smRtaH /
   madhucchandādayaścaiva kṛtadevau dhruvāṣṭakau // BndP_2,66.68 //	maDucCanda AdayaH ca eva kRta devO Druva azwakO // Bndu _2,66.68 //
   kacchapaḥ pūraṇaścaiva viśvāmitrasutāstu vai /	kacCapaH pUraNaH ca eva viSvAmitra sutAH tu vE /
