   atha dvitīyo 'dhyāyaḥ /	aTa dvitIyaH aDyAyaH /
   śreṣṭhaśca | BBs_2,4.8 |	SrezWaH ca | BBH _2,4.8 |
   na kevalamitare prāṇā brahmavikārāḥ /	na kevalam itare prANAH brahma vikArAH /
   śreṣṭhaśca prāṇo brahmavikāraḥ /	SrezWaH ca prANaH brahma vikAraH /
   'nāsadāsīt'ityadhikṛtya pravṛtte brahmasūkte nāsadāsīye sargātprāgānīditi	anAsa dAsIt aiti aDikRtya pravRtte brahmasUkte na asat AsIye sargAt prAgAnIt iti
   prāṇavyāpāraśravaṇādasati ca vyāpārānupapatte	prANa vyApAra SravaNAt asati ca vyApArAn upapatte
   prāṇasadbhāvājjyeṣṭhatvaśruteśca na brahmavikāraḥ prāṇa iti manvānasya	prANa sadBAvAt jyezWa tva SruteH ca na brahma vikAraH prANaH iti manvAnasya
   bahuśrutivirodhe 'pi ca śrutyoretayorgatimapaśyataḥ pūrvapakṣaḥ /	bahu Sruti viroDe api ca SrutyoH etayoH gatim apaSyataH pUrva pakzaH /
   rāddhāntastu bahuśrutivirodhādevānīditi na prāṇavyāpārapratipādinī, kintu	rAdDa antaH tu bahu Sruti viroDAt eva anIt iti na prANa vyApAra pratipAdinI, kintu
   sṛṣṭikāraṇamānīt jīvati sma āsīditi yāvat /	sRzwi kAraNam AnIt jIvati smaH AsIt iti yAvat /
   tena tatsadbhāvapratipādanaparā /	tena tad sadBAva pratipAdana parA /
   jyeṣṭhatvaṃ ca śrotrādyapekṣamiti gamayitavyam /	jyezWa tvam ca Srotra Adi apekzam iti gamayitavyam /
   tasmādbahuśrutyanurodhānmukhyasyāpi prāṇasya brahmavikāratvamiti siddham	tasmAt bahu Sruti anuroDAt muKyasya api prANasya brahma vikAra tvam iti sidDam
   START BsVBh_2,4.5.9	START BsVBh_2,4.5.9
   na vāyukriye pṛthagupadeśāt | BBs_2,4.9 |	na vAyu kriye pRTak upadeSAt | BBH _2,4.9 |
   saṃprati mukhyaprāṇasvarūpaṃ nirūpyate /	saMprati muKya prANa svarUpam nirUpyate /
   atra hi 'yaḥ prāṇaḥ sa vāyuḥ'iti śrutervāyureva prāṇa iti pratibhāti /	atra hi ayaH prANaH sa vAyuH aiti SruteH vAyuH eva prANaH iti pratiBAti /
   athavā 'prāṇa eva brahmaṇaścaturthaḥ pādaḥ sa vāyunā jyotiṣā'iti	aTavA aprANaH eva brahmaNaH caturTaH pAdaH sa vAyunA jyotizA aiti
   vāyorbhedena prāṇasya śravaṇādetadvirodhādvaraṃ tantrāntarīyameva prāṇasya	vAyoH Bedena prANasya SravaNAt etat viroDAt varam tantra antarIyam eva prANasya
   svarūpamastu, śrutī ca viruddhārthe kathañcinneṣyete iti	svarUpam astu, SrutI ca virudDa arTe kaTaQcid nezyete iti
   sāmānyakaraṇavṛttireva prāṇo 'stu /	sAmAnya karaNa vRttiH eva prANaH astu /
   na cātrāpi karaṇebhyaḥ pṛthakprāṇasyānukramaṇaśrutivirodho	na ca atra api karaNeByaH pRTak prANasya anukramaNa Sruti viroDaH 
   vṛttivṛttimatorbhedāditi pūrvaḥ pakṣaḥ /	vRtti vRtti matoH BedAt iti pUrvaH pakzaH /
   siddhāntastu na sāmānyendriyavṛttiḥ prāṇaḥ /	sidDAntaH tu na sAmAnya indriya vRttiH prANaH /
   sa hi militānāṃ vendriyāṇāṃ vṛttirbhavet pratyekaṃ vā /	sa hi militAnAm vA indriyANAm vRttiH Bavet pratyekam vA /
   na tāvanmilitānām, ekadvitricaturindriyābhāve tadabhāvaprasabhaṅgāt /	na tAvat militAnAm, eka dvi tri catur indriya aBAve tad aBAva prasaBaFgAt /
   no khalu cūrṇaharidrāsaṃyogajanmāruṇaguṇastayoranyatarābhāve	no Kalu cUrNa haridrA saMyoga janma aruNa guNaH tayoH anyatara aBAve
   bhavitumarhati /	Bavitum arhati /
   naca bahuviṣṭisādhyaṃ śibikodvahanaṃ dvitriviṣṭisādhyaṃ bavati /	na ca bahu vizwi sADyam SibikA udvahanam dvi tri vizwi sADyam bavati /
   na ca tvagekasādhyaṃ, tathā sati sāmānyavṛttitvānupapatteḥ /	na ca tvac eka sADyan, taTA sati sAmAnya vRtti tva anupapatteH /
   apica yatsaṃbhūya kārakāṇi niṣpādayanti	apica yat saMBUya kArakANi nizpAdayanti
   tatpradhānavyāpārānuguṇāvāntaravyāpāreṇaiva yathā vayasāṃ prātisviko	tad praDAna vyApAra anuguNa avAntara vyApAreNa eva yaTA vayasAm prAtisvikaH 
   vyāpāraḥ pañjaracālanānuguṇaḥ /	vyApAraH paQjara cAlana anuguNaH /
   na cendriyāṇāṃ prāṇe pradhānavyāpāre janayitavye 'sti tādṛśaḥ	na ca indriyANAm prANe praDAna vyApAre janayitavye asti tAdRSaH
   kaścidavāntaravyāpārastadanuguṇaḥ /	kaScid avAntara vyApAraH tad anuguNaH /
   ye ca rūpādipratyayā na te tadanuguṇāḥ, tasmānnendriyāṇāṃ sāmānyavṛttiḥ	ye ca rUpa Adi pratyayAH na te tad anuguNAH, tasmAt na indriyANAm sAmAnya vRttiH
   prāṇastathā ca vṛttivṛttimatoḥ kathañcidbhedavivakṣayā na pṛthagupadeśo	prANaH taTA ca vRtti vRttimatoH kaTaQcid Beda vivakzayA na pRTak upadeSaH 
   gamayitavyaḥ /	gamayitavyaH /
   tasmānna kriyā, nāpi vāyumātraṃ prāṇaḥ, kintu vāyubheda evādhyātmāmāpannaḥ	tasmAt na kriyA, na api vAyu mAtram prANaH, kintu vAyu BedaH eva aDyAtmAm ApannaH
   pañcavyūhaḥ prāṇa iti //9//	paQca vyUhaH prANaH iti //9//
   START BsVBh_2,4.5.10	START BsVBh_2,4.5.10
   syādetat /	syAt etat /
   yathā cakṣurādīnāṃ jīvaṃ prati guṇabhūtatvājjīvasya ca śreṣṭhatvājjīvaḥ	yaTA cakzuH AdInAm jIvam prati guNa BUta tvAt jIvasya ca SrezWa tvAt jIvaH
   svatantra evaṃ prāṇo 'pi prādhānyāt śreṣṭhatvācca svatantraḥ prāpnoti /	svatantraH evam prANaH api prADAnyAt SrezWa tvAt ca svatantraH prApnoti /
   naca dvayoḥ svatantrayorekasmin śarīre ekavākyatvamupapadyata ityaparyāyaṃ	na ca dvayoH svatantrayoH ekasmin SarIre eka vAkya tvam upapadyate iti aparyAyam
   viruddhānekadikkriyatayā deha unmathyeta /	virudDa aneka diS kriya tayA dehaH unmaTyeta /
   iti prāpte, ucyate 	iti prApte, ucyate 
   cakṣurādivat tu tatsahaśiṣṭyādibhyaḥ | BBs_2,4.10 |	cakzuH Adi vat tu tad saha Sizwi AdiByaH | BBH _2,4.10 |
   yadyapi cakṣurādyapekṣayā śreṣṭhatvaṃ prādhānyaṃ ca prāṇasya tathāpi	yadi api cakzuH Adi apekzayA SrezWa tvam prADAnyam ca prANasya taTA api
   saṃhatatvādacetanatvādbhautikatvāccakṣurādibhiḥ sahaśiṣṭatvāccaca	saMhata tvAt acetana tvAt BOtika tvAt cakzuH AdiBiH saha Sizwa tvAt caca
   puruṣārthatvāt puruṣaṃ prati pāratantryaṃ śayanāsanādivadbhavet /	puruza arTa tvAt puruzam prati pAratantryam Sayana Asana Adi vat Bavet /
   tathāca yathā mantrītareṣu naiyogikeṣu pradhānamapi	taTA ca yaTA mantrI itarezu nEyogikezu praDAnam api
   rājānamapekṣyāsvatantra evaṃ prāṇo 'pi cakṣurādiṣu pradhānamapi jīve	rAjAnam apekzya asvatantraH evam prANaH api cakzuH Adizu praDAnam api jIve
   'svatantra iti //10//	asvatantraH iti //10//
   START BsVBh_2,4.5.11	START BsVBh_2,4.5.11
   syādetaccakṣurādibhiḥ saha śāsanena karaṇaṃ cet prāṇaḥ /	syAt etat cakzuH AdiBiH saha SAsanena karaNam ced prANaH /
   evaṃ sati cakṣurādiviṣayarūpādivadasyāpi viṣayāntaraṃ vaktavyam /	evam sati cakzuH Adi vizaya rUpa Adi vat asya api vizaya antaram vaktavyam /
   naca tacchakyaṃ vaktum /	na ca tat Sakyam vaktum /
   ekādaśakaraṇagaṇanavyākopaśceti doṣaṃ pariharati 	ekAdaSa karaNa gaNana vyAkopaH ca iti dozam pariharati 
   akaraṇatvācca na doṣastathāhi darśayati | BBs_2,4.11 |	akaraNa tvAt ca na dozaH taTA hi darSayati | BBH _2,4.11 |
   na prāṇaḥ paricchedadhāraṇādikaraṇamasmābhirabhyupeyate yenāsya	na prANaH paricCeda DAraNa Adi karaNam asmABiH aByupeyate yena asya
   viṣayāntaramanviṣyeta /	vizaya antaram anvizyeta /
   ekādaśatvaṃ ca karaṇānāṃ vyākupyetāpi tu prāṇāntarāsaṃbhavi	ekAdaSa tvam ca karaNAnAm vyAkupyeta api tu prANa antara asaMBavi
   dehendriyavidhāraṇakāraṇaṃ prāṇaḥ /	deha indriya viDAraNa kAraNam prANaH /
   tacca śrutiprabandhena darśitaṃ na kevalaṃ śarīrendriyadhāraṇamasya kāryam	tat ca Sruti prabanDena darSitam na kevalam SarIra indriya DAraNam asya kAryam
   START BsVBh_2,4.5.12	START BsVBh_2,4.5.12
   apica 	apica 
   pañcavṛttir manovad vyapadiśyate | BBs_2,4.12 |	paQcavRttiH manaH vat vyapadiSyate | BBH _2,4.12 |
   'viparyayo mithyājñānamatadrūpapratiṣṭham'yathā marumarīcikādiṣu	aviparyayaH miTyAjQAnam atad rUpa pratizWam ayaTA maru marIcikA Adizu
   salilādibuddhayaḥ /	salila Adi budDayaH /
   atadrūpapratiṣṭhatā ca saṃśaye 'pyasti tasyaikāpratiṣṭhānāt /	atad rUpa pratizWatA ca saMSaye api asti tasya eka apratizWAnAt /
   ataḥ so 'pi saṃgṛhītaḥ /	atas saH api saMgRhItaH /
   'śabdajñānānupātī vastuśūnyo vikalpaḥ' /	aSabda jQAna anupAtI vastu SUnyaH vikalpaH a /
   yadyapi mithyājñāne 'pyasti vastuśūnyatā tathāpi na tasya	yadi api miTyAjQAne api asti vastu SUnyatA taTA api na tasya
   vyavahārahetutāsti /	vyavahAra hetu tA asti /
   asya tu paṇḍitarūpavicārāsahasyāpi śabdajñānamāhātmyādvyavahārāhetubhāvo	asya tu paNxita rUpa vicAra asahasya api Sabda jQAna mAhAtmyAt vyavahArA hetu BAvaH 
   'styeva /	asti eva /
   yatha puruṣasya caitanyamiti /	yaTa puruzasya cEtanyam iti /
   nahyatra ṣaṣṭhyarthaḥ saṃbandho 'sti, tasya bhedādhiṣṭhānatvāt /	na hi atra zazWI arTaH saMbanDaH asti, tasya Beda aDizWAna tvAt /
   caitanyasya puruṣādatyantābhedāt /	cEtanyasya puruzAt atyantA BedAt /
   yadyapi cātrābhāvapratyayālambanā vṛttirneṣyate tathāpi	yadi api ca atra aBAva pratyaya AlambanA vRttiH na izyate taTA api
   vikṣepasaṃskāralakṣaṇā manovṛttirihāstyeveti sarvamavadātam //12//	vikzepa saMskAra lakzaNA manaH vRttiH iha asti eva iti sarvam avadAtam //12//
   START BsVBh_2,4.6.13	START BsVBh_2,4.6.13
   aṇuśca | BBs_2,4.13 |	aNuH ca | BBH _2,4.13 |
   'samāstribhirlokaiḥ'iti vibhutvaśravaṇādvibhuḥ prāṇaḥ, 'samaḥ	asamAH triBiH lokEH aiti viBu tva SravaNAt viBuH prANaH, asamaH
   pluṣiṇā'ityādyāstu śrutayo vibhorapyavacchedādbhāviṣyanti /	pluziNA aitya AdyAH tu SrutayaH viBoH api avacCedAt BAvizyanti /
   yathā vibhuna ākāśasya kuṭakarakādyavacchedātkuṭādisāmyamiti prāpta	yaTA viBunaH AkASasya kuwa karaka Adi avacCedAt kuwa Adi sAmyam iti prApta
   āha aṇuśca /	Aha aNuH ca /
   utkrāntigatyāgatiśrutibhya ādhyātmikasya prāṇasyāvacchinnatā na vibhutvam	utkrAnti gati Agati SrutiByaH ADyAtmikasya prANasya avacCinna tA na viBu tvam
   duradhigamatāmātreṇa ca śarīravyāpino 'pyaṇutvamupacaryate na	duraDi gamatA mAtreNa ca SarIra vyApinaH api aNu tvam upacaryate na
   tvaṇutvamityuktamadhastāt /	tu aNu tvam iti uktam aDastAt /
   yattvasya vibhutvānmānaṃ tadādhidaivikena sūtrātmanā samaṣṭivyaṣṭirūpeṇa	yat tvasya viBu tvAt mAnam tad ADidEvikena sUtra AtmanA samazwi vyazwi rUpeNa
   na tvādhyātmikena rūpeṇa /	na tu ADyAtmikena rUpeNa /
   tadāśrayāśca 'samaḥ pluṣiṇā'ityevamādyāḥ śrutayo dehasāmyameva prāṇasyāhuḥ	tad ASrayAH ca asamaH pluziNA aiti evamAdyAH SrutayaH deha sAmyam eva prANasya AhuH
   svarūpato na tu karakākāśavatparopādhikatayā kathañcinnetavyā iti //13//	svarUpataH na tu karaka AkASa vat para upADika tayA kaTaQcid netavyAH iti //13//
   START BsVBh_2,4.7.14	START BsVBh_2,4.7.14
   jyotirādyadhiṣṭhānaṃ tu tadāmananāt | BBs_2,4.14 |	jyotiH Adi aDizWAnam tu tadAmananAt | BBH _2,4.14 |
   yaddhi yatkāryaṃ kurvaddṛṣṭaṃ tatsvamahimnaiva karotityeṣa tāvadutsargaḥ	yat hi yat kAryam kurvat dRzwam tat sva mahimnA eva karotiti eza tAvat utsargaH
   parādhiṣṭhānaṃ tu tasya balavatpramāṇāntaravaśāt syādetat /	parADizWAnam tu tasya balavat pramANa antara vaSAt syAt etat /
   vāsyādīnāṃ takṣādyadhiṣṭhitānāmacetanānāṃ	vA asya AdInAm takza Adi aDizWitAnAm acetanAnAm
   kāryakāritvadarśanādacetanatvenandriyāṇāmapyadhiṣṭhātṛdevatākalpaneti cet	kArya kAri tva darSanAt acetana tvenandriyANAm api aDizWAtR devatA kalpanA iti ced 
   na /	na /
   jīvasyaivādhiṣṭhātuścetanasya vidyamānatvāt /	jIvasya eva aDizWAtuH cetanasya vidyamAna tvAt /
   naca 'agnirvāgbhūtvā mukhaṃ prāviśat'ityādiśrutibhyo	na ca aagniH vAc BUtvA muKam prAviSat aityAdi SrutiByaH 
   devatānāmapyadhiṣṭhātṛtvamabhyupagantuṃ yuktam /	devatAnAm api aDizWAtR tvam aByupagantum yuktam /
   anekādhiṣṭhānābhyupagame hi teṣāmekābhiprāyaniyamanimittābhāvānna	aneka aDizWAna aByupagame hi tezAm eka aBiprAya niyama nimitta aBAvAt na
   kiñcitkāryamutpadyeta virodhāt /	kiQcid kAryam utpadyeta viroDAt /
   apica ya indriyāṇāmadhiṣṭhātā sa eva bhokteti devatānāṃ bhoktṛtvena	apica yaH indriyANAm aDizWAtA saH eva BoktA iti devatAnAm BoktR tvena
   svāmitvaṃ śarīra iti na jīvaḥ svāmī syādbhoktā ca /	svAmi tvam SarIraH iti na jIvaH svAmI syAt BoktA ca /
   tasmādagnyādyupacāro vāgādiṣu prakāśakatvādinā kenacinnimittena	tasmAt agni Adi upacAraH vAc Adizu prakASaka tva AdinA kenacid nimittena
   gamayitatavyo natu svarūpeṇāgnyādidevatānāṃ mukhādyanupraveśa iti prāptam	gamayitatavyaH na tu sva rUpeNa agni Adi devatAnAm muKa Adi anupraveSaH iti prAptam
   evaṃ prāpte ucyate nānāvidhāsu tāvacchrutiṣu smṛtiṣu ca tatra tatra	evam prApte ucyate nAnAviDAsu tAvat Srutizu smRtizu ca tatra tatra
   vāgādiṣvagnyādidevatādhiṣṭhānavagamyate /	vAc Adizu agni Adi devatA DizWA anavagamyate /
   naca tadasatyāmanupapattau kleśena vyākhyātumucitam /	na ca tat asatyAm anupapattO kleSena vyAKyAtum ucitam /
   naca svarūpopayogabhedajñānavirahiṇo jīvasyendriyādhiṣṭhātṛtvasaṃbhavaḥ,	na ca svarUpa upayoga Beda jQAna virahiNaH jIvasya indriya aDizWAtR tva saMBavaH,
   saṃbhavati tu devatānāmindriyādyārṣeṇa jñānena sākṣātkṛtavatīnāṃ	saMBavati tu devatAnAm indriya Adi ArzeNa jQAnena sAkzAtkRtavatInAm
   tatsvarūpabhedatadupayogabhedavijñānam /	tad svarUpa Beda tad upayoga Beda vijQAnam /
   tasmāttāstā eva devatāstattatkaraṇādhiṣṭhātrya iti yuktaṃ na tu jīvaḥ /	tasmAt tAH tAH eva devatAH tad tad karaNa aDizWAtryaH iti yuktam na tu jIvaH /
   bhavatu vā jīvo 'pyadhiṣṭhātā tathāpyadoṣaḥ /	Bavatu vA jIvaH api aDizWAtA taTA api adozaH /
   anekeṣāmadhiṣṭhātaṇāmekaḥ parameśvaro 'sti niyantāntaryāmī	anekezAm aDizWAtaNAm ekaH parameSvaraH asti niyantA antaryAmI
   tadvaśādvipratipitsavo 'pi na vipratipattumarhanti /	tad vaSAt vipratipitsavaH api na vipratipattum arhanti /
   tathā caikavākyatayā na tatkāryotpattipratyūhaḥ /	taTA ca eka vAkya tayA na tad kArya utpatti pratyUhaH /
   na caitāvatā devatānāmatra śarīre bhoktṛtvam /	na ca etAvatA devatAnAm atra SarIre BoktR tvam /
   nahi yantā rathamadhitiṣṭhinnapi tatsādhyavijayāderbhoktāpi tu svāmyeva /	na hi yantA raTam aDitizWin= api tad sADya vijaya AdeH BoktA api tu svAmi eva /
   evaṃ devatā adhiṣṭhātryo 'pi na bhoktryastāsāṃ tāvanmātrasya śrutatvāt /	evam devatAH aDizWAtryaH api na BoktryaH tAsAm tAvat mAtrasya Sruta tvAt /
   bhoktā tu jīva eva /	BoktA tu jIvaH eva /
   naca narādiśarīrocitaṃ duḥkhabahulamupabhogaṃ sukhamayyo devatā arhanti /	na ca nara Adi SarIra ucitam duHKa bahulam upaBogam suKa mayyaH devatAH arhanti /
   tasmāt prāṇānāmadhiṣṭhātryo devatā iti siddham, śeṣamatirohitārtham //14//	tasmAt prANAnAm aDizWAtryaH devatAH iti sidDam, Sezam ati rohita arTam //14//
   BsVBh_2,4.7.15.	BsVBh_2,4.7.15.
   prāṇavatā śabdāt | BBs_2,4.15 |	prANavatA SabdAt | BBH _2,4.15 |
   START BsVBh_2,4.7.16.	START BsVBh_2,4.7.16.
   tasya ca nityatvāt | BBs_2,4.16 |	tasya ca nitya tvAt | BBH _2,4.16 |
   START BsVBh_2,4.7.17	START BsVBh_2,4.7.17
   ta indriyāṇi tadvyapadeśādanyatra śreṣṭhāt | BBs_2,4.17 |	te indriyANi tad vyapadeSAt anyatra SrezWAt | BBH _2,4.17 |
   mā bhūt prāṇo vṛttirindriyāṇām /	mA BUt prANaH vRttiH indriyANAm /
   indriyāṇyevāsya jyeṣṭhasya śreṣṭhasya ca prāṇasya vṛttayo bhaviṣyanti /	indriyANi eva asya jyezWasya SrezWasya ca prANasya vRttayaH Bavizyanti /
   tadbhāvābhāvānuvidhāyibhāvābhāvatvamindriyāṇāṃ śrutyanubhavasiddhaṃ,	tad BAva aBAva anuviDAyi BAva aBAva tvam indriyANAm Sruti anuBava sidDaM,
   tathāca prāṇaśabdasyaikasyānyāyyamanekārthatvaṃ na bhaviṣyati /	taTA ca prANa Sabdasya ekasya anyAyyam aneka arTa tvam na Bavizyati /
   vṛttīnāṃ vṛttimatastattvāntaratvābhāvāt /	vRttInAm vRttimataH tattva antara tva aBAvAt /
   tattvāntaratve tvindriyāṇāṃ, prāṇaśabdasyānekārthatvaṃ prasajyeta /	tattva antara tve tu indriyANAM, prANa Sabdasya aneka arTa tvam prasajyeta /
   indriyeṣu lākṣaṇikatvaṃ vā /	indriyezu lAkzaNika tvam vA /
   naca mukhyasaṃbhave lakṣaṇā yuktā jaghanyatvāt /	na ca muKya saMBave lakzaNA yuktAH jaGanya tvAt /
   naca bhedena vyapadeśo bhedasādhanam 'etasmājjāyate prāṇaḥ'ityādirmanaso	na ca Bedena vyapadeSaH Beda sADanam aetasmAt jAyate prANaH aityAdiH manasaH 
   'pīndriyebhyo 'sti bhedena vyapadeśa ityanindriyatvaprasaṅgaḥ /	api indriyeByaH asti Bedena vyapadeSaH iti anindriya tva prasaFgaH /
   smṛtivaśāttu tasyendriyatve indriyāṇāmapi prāṇādbhedena	smRti vaSAt tu tasya indriya tve indriyANAm api prANAt Bedena
   vyapadiṣṭānāmapyasti prāṇasvabhāvatve 'hanta asyaiva rūpamasāma'iti śrutiḥ	vyapadizwAnAm api asti prANa svaBAva tve ahanta asya eva rUpam asAma aiti SrutiH
   tasmādupapatteḥ śruteśca prāṇasyaiva vṛttaya ekādaśendriyāṇi na	tasmAt upapatteH SruteH ca prANasya eva vRttaye ekAdaSa indriyANi na
   tattvāntarāṇīti iti prāptam /	tattva antarANi iti iti prAptam /
   evaṃ prāpta ucyate mukhyāt prāṇāttattvāntarāṇīndriyāṇi, tatra tatra	evam prAptaH ucyate muKyAt prANAt tattva antarANi indriyANi, tatra tatra
   bhedena vyapadeśāt /	Bedena vyapadeSAt /
   mṛtyuprāptāprāptatvalakṣaṇaviruddhadharmasaṃsargaśruteḥ /	mRtyu prApta aprApta tva lakzaNa virudDa Darma saMsarga SruteH /
   arthakriyābhedācca /	arTa kriyA BedAt ca /
   dehadhāraṇaṃ hi prāṇasya kriyār'thālocanamanane cendriyāṇām /	deha DAraNam hi prANasya kriyAr aTa Alocana manane ca indriyANAm /
   naca tadbhāvābhāvānuvidhānaṃ tadvṛttitāmāvahati /	na ca tad BAva aBAva anuviDAnam tat vRtti tAm Avahati /
   dehena vyabhicārāt /	dehena vyaBicArAt /
   prāṇādayo hi dehānvayavyatirekānuvidhāyino naca dehātmanaḥ /	prANa AdayaH hi deha anvaya vyatireka anuviDAyinaH na ca deha AtmanaH /
   yāpi ca prāṇarūpatāmindriyāṇāmabhidadhāti śrutiḥ, tatrāpi	yA api ca prANa rUpa tAm indriyANAm aBidaDAti SrutiH, tatra api
   paurvāparyālocanāyāṃ bheda eva pratīyata ityuktaṃ bhāṣyakṛtā /	pOrvAparya AlocanAyAm BedaH eva pratIyate iti uktam BAzya kRtAH /
   tasmādbahuśrutivirodhāt pūrvāparavirodhācca prāṇarūpatābhidhānamindriyāṇāṃ	tasmAt bahu Sruti viroDAt pUrva apara viroDAt ca prANa rUpatA aBiDAnam indriyANAm
   prāṇāyattatayā bhāktaṃ gamayitavyam /	prANa Ayatta tayA BAktam gamayitavyam /
   manasastvindriyatve smṛteravagate kvacidindriyebhyo bhedenopādānaṃ	manasaH tu indriya tve smRteH avagate kvacid indriyeByaH Bedena upAdAnam
   gobalīrvadanyāyena /	go balIH vada nyAyena /
   athavā indriyāṇāṃ vartamānamātraviṣayatvānmanasastu	aTavA indriyANAm vartamAna mAtra vizaya tvAt manasaH tu
   traikālyagocaratvādbhedenābhidhānam /	trEkAlya gocara tvAt Bedena aBiDAnam /
   naca prāṇe bhedavyapadeśabāhulyaṃ tathā netuṃ yuktam /	na ca prANe Beda vyapadeSa bAhulyam taTA netum yuktam /
   prāṇarūpatāśruteśca gatirdarśitā /	prANa rUpa tA SruteH ca gatiH darSitA /
   tathā jyeṣṭhe prāṇaśabdasya mukhyatvādindriyeṣu tatastattvāntareṣu	taTA jyezWe prANa Sabdasya muKya tvAt indriyezu tatas tattva antarezu
   lākṣaṇikaḥ prāṇaśabda iti yuktam /	lAkzaNikaH prANa SabdaH iti yuktam /
   naca mukhyatvānurodhenāvagatabhedayoraikyaṃ yuktaṃ, mā bhūdgaṅgādīnāṃ	na ca muKya tva anuroDena avagata BedayoH Ekyam yuktaM, mA BUt gaFgA AdInAm
   tīrādibhiraikyamiti /	tIra AdiBiH Ekyam iti /
   anye tu bhedaśabdādhyāhārabhiyā bhedaśruteśceti paunaruktyabhiyā ca	anye tu Beda Sabda aDyAhAra BiyA Beda SruteH ca iti pOnarukti aBiyA ca
   tacchabdasya cānantaroktaparamārthakatvādanyathā varṇayāñcakruḥ /	tad Sabdasya ca anantara ukta parama arTaka tvAt anyaTA varNayAQcakruH /
   kimekādaśaiva vāgādaya indriyāṇyāho prāṇo 'pīti viśaye indrasyātmano	kim ekAdaSa eva vAc AdayaH indriyANi Aho prANaH api iti viSaye indrasya AtmanaH 
   liṅgamindriyaṃ, tathāca vāgādivatprāṇasyāpīndraliṅgatāsti naca	liFgam indriyan, taTA ca vAc Adi vat prANasya api indra liFga tA asti na ca
   rūpādiviṣayālocanakaraṇatendriyatā, ālokasyāpīndriyatvaprasaṅgāt /	rUpa Adi vizaya Alocana karaNa tA indriya tA, Alokasya api indriya tva prasaFgAt /
   tasmādbhautikamindraliṅgamindriyamiti vāgādivatprāṇo 'pīndriyamiti prāptam	tasmAt BOtikam indra liFgam indriyam iti vAc Adi vat prANaH api indriyam iti prAptam
   evaṃ prāpte 'bhidhīyate indriyāṇi vāgādini śreṣṭhāt prāṇādanyatra /	evam prApte aBiDIyate indriyANi vAc Adini SrezWAt prANAt anyatra /
   kutaḥ tenendriyaśabdena teṣāmeva vāgādīnāṃ vyapadeśāt /	kutaH tena indriya Sabdena tezAm eva vAc AdInAm vyapadeSAt /
   nahi mukhye prāṇā indriyaśabdo dṛṣṭacaraḥ /	na hi muKye prANAH indriya SabdaH dRzwa caraH /
   indraliṅgatā tu vyutpattimātranimittaṃ yathā gacchatīti gauriti /	indra liFga tA tu vyutpatti mAtra nimittam yaTA gacCati iti gOH iti /
   pravṛttinimittaṃ tu dehādhiṣṭhānatve sati rūpādyālocanakaraṇatvam /	pravRtti nimittam tu deha aDizWAna tve sati rUpa Adi Alocana karaNa tvam /
   idaṃ cāsya dehādhiṣṭhānatvaṃ yaddehānugrahopaghātābhyāṃ	idam ca asya deha aDizWAna tvam yat deha anugraha upaGAtAByAm
