   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   na khalvavidheyaṃ saṃstūyate tadarthatvātsaṃstavasyetyāha yadāpīti /	na Kalu a viDeyam saMstUyate tad arTa tvAt saMstavasya iti Aha yadApi iti /
   atrāvāntaravicāramārabhate sā ca kiṃ caturṣviti /	atra avAntara vicAram AraBate sA ca kim caturzu iti /
   vicāraprayojanamāha yadi ceti /	vicAra prayojanam Aha yadi ca iti /
   nanu anāśramyeva brahmasaṃstho bhaviṣyatītyata āha anāśrayamitveti /	nanu anASramya iva brahma saMsTaH Bavizyati iti atas Aha ana ASrayam itvA iti /
   tatra pūrvapakṣamāha tatra tapaḥśabdeneti /	tatra pUrvapakzam Aha tatra tapaH Sabdena iti /
   ayamabhisaṃdhiḥ /	ayam aBisaMDiH /
   yadi tāvadbrahmasaṃstha iti padaṃ pratyastamitāvayavārthaṃ parivrājake	yadi tAvat brahma saMsTaH iti padam pratyasta mita avayava arTam parivrAjake
   'śvakarṇādipadavadrūḍhaṃ tadāśramaprāptimātreṇaivāmṛtībhāva iti na	aSva karNa Adi pada vat rUXam tad ASrama prApti mAtreNa eva amRtIBAvaH iti na
   tadbhāvāyā brahmajñānamapekṣeta /	tad BAvAyAH brahma jQAnam apekzeta /
   tathāca nānyaḥ panthā vidyate 'yanāyeti virodhaḥ /	taTA ca na anyaH panTAH vidyate ayanAya iti viroDaH /
   naca saṃbhatyavayavārthe samudāyaśaktikalpanā /	na ca saMBati avayava arTe samudAya Sakti kalpanA /
   tasmādbrahmaṇi saṃsthāsyeti /	tasmAt brahmaNi saMsTAsya iti /
   brahmasaṃsthaḥ /	brahma saMsTaH /
   evañca caturṣvāśrameṣu yasyaiva brahmaṇi niṣṭhatvamāśramiṇaḥ sa	evaQca caturzu ASramezu yasya eva brahmaNi nizWa tvam ASramiNaH sa
   brahmasaṃstho 'mṛtatvametīti yuktam /	brahma saMsTaH amRta tvam eti iti yuktam /
   tatra tāvadbrahmacārigṛhasthau svaśabdābhihitau tapaḥpadena ca	tatra tAvat brahmacAri gRhasTO sva Sabda aBihitO tapaH padena ca
   tapaḥpradhānatayā bhikṣuvānaprasthāvupasthāpitau /	tapaH praDAna tayA BikzuvAn aprasTO= upasTApitO /
   bhikṣurapi hi samādhikaśaucāṣṭagrāsībhojananiyamādbhavati	BikzuH api hi sama aDika SOca azwa grAsI Bojana niyamAt Bavati
   vānaprasthavattapaḥpradhānaḥ /	vAnaprasTa vat tapaH praDAnaH /
   naca gṛhasthādeḥ karmiṇo brahmaniṣṭhatvāsaṃbhavaḥ /	na ca gRhasTa AdeH karmiNaH brahma nizWatvA asaMBavaH /
   yadi tāvatkarmayogaḥ karmitā sā bhikṣorapi kāyavāṅmanobhirasti /	yadi tAvat karma yogaH karmitA sA BikzoH api kAya vAc manoBiH asti /
   atha ye na brahmārpaṇena karma kurvanti kintu kāmārthitayā te karmiṇaḥ /	aTa ye na brahma arpaNena karma kurvanti kintu kAma arTitayA te karmiNaH /
   tathā sati gṛhasthādayo 'pi brahmārpaṇena karma kurvāṇā na karmiṇaḥ /	taTA sati gRhasTa AdayaH api brahma arpaNena karma kurvANAH na karmiNaH /
   tasmādbrahmaṇi tātparyaṃ brahmaniṣṭhatā na tu karmatyāgaḥ /	tasmAt brahmaNi tAtparyam brahma nizWatA na tu karma tyAgaH /
   pramāṇavirodhāt /	pramANa viroDAt /
   tapasā ca dvayorāśramayorekīkaraṇena traya iti tritvamupapadyate /	tapasA ca dvayoH ASramayoH ekIkaraNena trayaH iti tri tvam upapadyate /
   evañca trayo 'pyāśramā abrahmasaṃsthāḥ santaḥ puṇyalokabhājo bhavanti yaḥ	evaQca trayaH api ASramAH abrahma saMsTAH santaH puNya loka BAjaH Bavanti yaH
   punareteṣu brahmasaṃsthaḥ so 'mṛtatvabhāgiti /	punar etezu brahma saMsTaH saH amRta tva BAj iti /
   naca yeṣāṃ puṇyalokabhāktvaṃ teṣāmevāmṛtatvamiti virodhaḥ /	na ca yezAm puNya loka BAj tvam tezAm eva amRta tvam iti viroDaH /
   yathā devadattayajñadattau mandaprajñāvabhūtāṃ saṃprati tayoryajñādattastu	yaTA devadatta yajQadattO manda prajQA a= aBUtAm saMprati tayoH yajQAt attaH tu
   śāstrābhyāsātpaṭuprajño vartate iti tathehāpi ya evābrahmasaṃsthāḥ /	SAstra aByAsAt pawu prajQaH vartate iti taTA iha api yaH eva abrahma saMsTAH /
   puṇyalokabhājasta eva brahmasaṃsthā amṛtatvabhāja	puNya loka BAjaH te eva brahma saMsTAH amRta tva BAja
   ityavasthābhedādavirodhaḥ /	iti avasTA BedAt aviroDaH /
   tathāca brahmasaṃstha iti yaugikaṃ padaṃ prakṛtaviṣayaṃ bhaviṣyati /	taTA ca brahma saMsTaH iti yOgikam padam prakRta vizayam Bavizyati /
   yathā āgneyyāgnīdhramupatiṣṭhata ityatra viniyuktāpi prakṛtaivāgneyī	yaTA AgneyyAgnIDram upatizWate iti atra viniyuktA api prakRtA eva AgneyI
   gṛhyate /	gRhyate /
   naca viniyuktaviniyogavirodhaḥ /	na ca viniyukta viniyoga viroDaH /
   yadi hyatrāgnotyupadiśyeta tato yathā pratītā tathoddiśyeta /	yadi hi atra agnoti upadiSyeta tatas yaTA pratItA taTA uddiSyeta /
   viniyuktā ca pratītirbhavediti viniyuktaviniyogavirodhaḥ /	viniyuktA ca pratItiH Bavet iti viniyukta viniyoga viroDaH /
   iha tu āgnīdhropasthāne sā vidheyatvena viniyujyate /	iha tu AgnIDra upasTAne sA viDeya tvena viniyujyate /
   na tūddiśyate /	na tu uddiSyate /
   vidheyatvena ca viniyoge āgneyīpadārthāpekṣaṇātprakṛtātikrame	viDeya tvena ca viniyoge AgneyI padArTa apekzaNAt prakRta atikrame
   pramāṇābhāvāt /	pramANa aBAvAt /
   tāvatā ca śāstropapatternāprakṛtānāmapi grahaṇasaṃbhavaḥ /	tAvatA ca SAstra upapatteH na aprakRtAnAm api grahaNa saMBavaH /
   naca yātayāmatayā na viniyogaḥ /	na ca yAtayAmatayA na viniyogaH /
   vācastome sarveṣāmeva mantrāṇāṃ viniyogādanyatrāpyaviniyogaprasaṅgāt /	vAca stome sarvezAm eva mantrANAm viniyogAt anyatra api aviniyoga prasaFgAt /
   tathehāpi prakṛtā evāśramā buddhiviparivartinaḥ parāmṛśyante nānuktaḥ	taTA iha api prakRtAH eva ASramAH budDi viparivartinaH parAmRSyante na anuktaH
   parivrāḍeveti pūrvaḥ pakṣaḥ /	parivrAj A iva iti pUrvaH pakzaH /
   rāddhāntamupakramate tadayuktam /	rAdDa antam upakramate tat ayuktam /
   nahi satyāṃ gatau vānaprasthaviśeṣaṇeneti /	na hi satyAm gatO vAnaprasTa viSezaNena iti /
   yathopakrāntaṃ tathaiva parisamāpanamucitam /	yaTA upakrAntam taTA eva parisamApanam ucitam /
   yatsaṃkhyākāśca ye prasiddhāste tatsaṃkhyākā eva kīrtyante iti cocitam /	yad saMKyAkAH ca ye prasidDAH te tad saMKyAkAH eva kIrtyante iti ca ucitam /
   na tu satyāṃ gatāvutsargasyāpavādo yujyate /	na tu satyAm gatO= utsargasya apavAdaH yujyate /
   aśādhāraṇenaikaikena lakṣaṇenaikeka āśramo vaktumupakrānta iti tathaiva	aSADAraNena ekEkena lakzaNena ekekaH ASramaH vaktum upakrAntaH iti taTA eva
   samāpanamucitam /	samApanam ucitam /
   na tu sādhāraṇāsādhāraṇābhyāmupakramasamāptī śliṣyete /	na tu sADAraNA sADAraNAByAm upakrama samAptI Slizyete /
   naca tapo nāma nāsādhāraṇaṃ vānaprasthānāmityata āha tapaścāsādhāraṇa iti	na ca tapaH nAma nAsADAraNam vAnaprasTAnAm iti atas Aha tapaH ca asADAraNaH iti
   na khalu parākādibhiḥ kāyakleśapradhāno yathā vānaprasthastathā bhikṣuḥ	na Kalu parAka AdiBiH kAya kleSa praDAnaH yaTA vAnaprasTaH taTA BikzuH
   satyapyaṣṭagrāsādiniyame /	sati api azwa grAsa Adi niyame /
   naca śaucasantoṣaśamadamādayastapaḥ pakṣe vartante tatra vṛddhānāṃ	na ca SOca santoza Sama dama AdayaH tapaH pakze vartante tatra vRdDAnAm
   tapaḥprasiddherasiddheḥ /	tapaH prasidDeH asidDeH /
   ata eva vṛddhāstapaso bhedena	atas eva vRdDAH tapasaH Bedena
   śaucādīnācakṣate 'śaucasantoṣatapaḥsvādhyāyeśvarapraṇidhānāni niyamāḥ'iti	SOca AdIn Aca kzate  aSOca santoza tapaH svADyAya ISvara praNiDAnAni niyamAH aiti
   siddhasaṃkhyābhedeṣu ca saṃkhyāntarābhidhānamāśliṣṭamityāha catuṣṭvena	sidDa saMKyA Bedezu ca saMKyA antara aBiDAnam ASlizwam iti Aha  catuzwvena
   ceti /	ca iti /
   apica bhedavyapadeśo 'treti /	api ca Beda vyapadeSaH atra iti /
   traya eta iti kiṃ bhikṣurapi parāmṛśyate kintvā bhikṣuvarjaṃ traya eva /	trayaH ete iti kim BikzuH api parAmRSyate kintvA Bikzu varjam trayaH eva /
   na tāvantraya iti bhikṣusaṃgrahe tadvarjanamete traya ityatra vartuṃ	na tAvantrayaH iti Bikzu saMgrahe tat varjanam ete trayaH iti atra vartum
   śakyam /	Sakyam /
   eta iti prakṛtānāṃ sākalyena parāmarśādbhikṣusaṃgrahe ca na tasya	ete iti prakRtAnAm sAkalyena parAmarSAt Bikzu saMgrahe ca na tasya
   puṇyalokatvamabrahmasaṃsthātvābhāvādbhikṣoḥ /	puNya loka tvam abrahma saMsTAtva aBAvAt BikzoH /
   tena tasya brahmasaṃsthasya sadā puṇyalokatvamamṛtatvaṃ ceti virodhaḥ /	tena tasya brahma saMsTasya sadA puNya loka tvam amRta tvam ca iti viroDaH /
   triṣu ca brahmasaṃsthapade yadeti saṃbandhanīyam /	trizu ca brahma saMsTapade yadA iti saMbanDanIyam /
   bhikṣau ca sadeti vaiṣamyam /	BikzO ca sadA iti vEzamyam /
   tadidamuktam pṛthaktve ceti /	tat idam uktam  pRTaktve ca iti /
   pūrvapakṣābhāsaṃ smārayati kathaṃ punarbrahmasaṃsthaśabdo yogāditi /	pUrva pakza ABAsam smArayati kaTam punar brahma saMsTa SabdaH yogAt iti /
   tannirākaroti atrocyata iti /	tat nirAkaroti atra ucyate iti /
   ayamabhisaṃdhiḥ /	ayam aBisaMDiH /
   satyaṃ yaugikaḥ śabdaḥ sati prakṛtasaṃbhave na tadatipattyāprakṛte	satyam yOgikaH SabdaH sati prakRta saMBave na tad atipattyA prakRte
   vartitumarhati /	vartitum arhati /
   asati tu saṃbhave mā bhūtpramādapāṭha ityaprakṛte vartayitavyaḥ,	asati tu saMBave mA BUt pramAda pAWaH iti aprakRte vartayitavyaH,
   darśitaścātrāsaṃbhave 'dhastāditi /	darSitaH ca atra asaMBave aDastAt iti /
   eṣa hi brahmasaṃsthatālakṣaṇo dharmo bhikṣorasādhāraṇa āśramāntarāṇi	eza hi brahma saMsTatA lakzaNaH DarmaH BikzaH rasADAraNaH ASrama antarANi
   tatsaṃsthānyatatsaṃsthāni ca bhikṣustatsaṃstha ityeva /	tad saMsTAni atad saMsTAni ca BikzuH tad saMsTaH iti eva /
   tatsaṃsthatā hi svābhāvaṃ vyavacchindantī virodhādyastatsaṃstha eva	tad saMsTatA hi svABAvam vyavacCindantI viroDAt yaH tad saMsTaH eva
   tatrāñjasī nānyatra /	tatra aQjasI na anyatra /
   śamadamādistu tadīya iti /	Sama damAdiH tu tadIyaH iti /
   svāṅgamavyavadhāyakamityarthaḥ /	sva aFgam avyavaDAyakam iti arTaH /
   brahmasaṃsthatvamasādhāraṇaṃ parivrājakadharmaṃ	brahma saMsTa tvam asADAraNam parivrAjaka Darmam
   śrutirādarśayatītyāha tathāca nyāsa iti brahmeti /	SrutiH AdarSayati iti Aha taTA ca nyAsaH iti brahma iti /
   sarvasaṅgaparityāgo hi nyāsaḥ sa brahmā kuta ityata āha brahmā hi paraḥ /	sarva saFga parityAgaH hi nyAsaH sa brahmA kutas iti atas Aha brahmA hi paraH /
   ataḥ paro nyāso brahmeti /	atas paraH nyAsaH brahma iti /
   kimapekṣya paraḥ saṃnyāsa ityata āha tāni vā etānyavarāṇi tapāṃsi nyāsa	kim apekzya paraH saMnyAsaH iti atas Aha tAni vE etAni avarANi tapAMsi nyAsa
   evātyarecayaditi /	eva atyarecayat iti /
   etaduktaṃ bhavati brahmaparatayā sarveṣaṇāparityāgalakṣaṇo nyāso brahmeti	etat uktam Bavati brahma para tayA sarva IzaNA parityAga lakzaNaH nyAsaH brahma iti
   tathā cedṛśaṃ nyāsalakṣaṇaṃ brahmasaṃsthatvaṃ bhikṣorevāsādhāraṇaṃ	taTA ca IdRSam nyAsa lakzaNam brahma saMsTa tvam BikzA UH eva asA DAraNam
   netareṣāmāśramiṇām /	na itarezAm ASramiNAm /
   brahmajñānasya śabdajanitasya yaḥ paripākaḥ sākṣātkāro 'pavargasādhanaṃ	brahma jQAnasya Sabda janitasya yaH paripAkaH sAkzAtkAraH apavarga sADanam
   tadaṅgatayā pārivrājyaṃ vihitam /	tad aFgatayA pArivrAjyam vihitam /
   na tvanadhikṛtaṃ pratītyarthaḥ //20//	na tu anaDikRtam prati iti arTaH //20//
   START BsVBh_3,4.3.21	START BsVBh_3,4.3.21
   stutimātram upādānād iti cen nāpūrvatvāt | BBs_3,4.21 |	stuti mAtram upAdAnAt iti ced na apUrva tvAt | BBH _3,4.21 |
   yadyatra saṃnidhāna upāsanāvidhirnāsti tataḥ pradeśāntarasthito 'pi	yadi atra saMniDAnaH upAsana aviDiH na asti tatas pradeSa antara sTitaH api
   vidhivyabhicāritatadvidhisaṃbandhenodgīthenopasthāpitaḥ sa eṣa rasānāṃ	viDi vyaBicArita tad viDi saMbanDena udgITena upasTApitaH saH eza rasAnAm
   rasatama ityādinā padasaṃdarbheṇaikavākyabhāvamupagataḥ stūyate /	rasatamaH ityAdinA pada saMdarBeNa eka vAkya BAvam upagataH stUyate /
   nahi samabhivyāhṛtairevaikavākyatā bhavatīti kaścinniyamaheturasti /	na hi samaBivyAhRtEH eva eka vAkyatA Bavati iti kaScid niyama hetuH asti /
   anuṣaṅgātideśalabdhairapi	anuzaFga atideSa labDEH api
   vidhyasamabhivyāhṛtairarthavādairekavākyatābhyupagamāt /	viDi asam aBivyAhRtEH arTa vAdEH eka vAkyata aByupagamAt /
   yadi tūdgīthamupāsīta sāmopāsītetyādividhisamabhivyāhāraḥ śrutastathāpi	yadi tu udgITam upAsIta sAma upAsIta ityAdi viDi samaBivyAhAraH SrutaH taTA api
   tasyaiva vidheḥ stutirna tūpāsanāviṣayasamarpaṇapara	tasya eva viDeH stutiH na tu upAsanA vizaya samarpaNa para
   omityetadakṣaramudgīthamityanenaivopāsanāviṣayasamarpaṇāditi prāpte	om iti etat akzara mudgITam iti anena eva upAsanA vizaya samarpaNAt iti prApte
   'bhidhīyate na tāvaddūrasthena karmavidhivākyenaikavākyatāsaṃbhavaḥ /	aBiDIyate na tAvat dUra sTena karma viDi vAkyena eka vAkyatA saMBavaH /
   pratītasamabhivyāhṛtānāṃ vidhinaikavākyatayā stutyarthatvamarthavādānāṃ	pratIta samaBivyAhRtAnAm viDinA eka vAkya tayA stuti arTa tvam arTa vAdAnAm
   raktapaṭanyāyena bhavati /	rakta pawa nyAyena Bavati /
   na tu stutyā vinā kācidanupapattirvidheḥ /	na tu stutyA vinA kAcid anupapattiH viDeH /
   yathāhuḥ 'asti tu tadityatireke parihāraḥ'iti /	yaTA AhuH  aasti tu tat iti atireke parihAraH aiti /
   ata eva	atas eva
   vidherapekṣābhāvātpravartanātmakasyānuṣaṅgatideśādibhirarthavādaprāptyabh	viDeH apekzA BAvAt pravartana Atmakasya anuzaFga ti deSa AdiBiH arTavAda prApti aB
   idhānamasamañjasam /	iDAnam asamaQjasam /
   nahi kartrapekṣitopāyāmavagatāyāṃ prāśastyapratyayasyāsti kaścidupayogaḥ /	na hi kartR apekzita upAyAm avagatAyAm prASasti apratyayasya asti kaScid upayogaH /
   tasmāddūrasthasya karmavidheḥ stutāvānarthakyam /	tasmAt dUra sTasya karma viDeH stutO= AnarTakyam /
   tenaikavākyatānupapatteḥ saṃnihitasya tūpāsanāvidheḥ kiṃ	tena eka vAkyata anupapatteH saMnihitasya tu upAsanA viDeH kim
   viṣayasamarpaṇenopayujyatāmuta stutyeti viśaye viṣayasamarpaṇena	vizaya samarpaNena upayujyatAm uta stutyA iti viSaye vizaya samarpaNena
   yathārthavattvaṃ naivaṃ stutyā bahiraṅgatvāt /	yaTArTavat tvam na evam stutyAH bahis aFga tvAt /
   agatyā hi sā /	agatyA hi sA /
   tasmādupāsanārthā iti siddham /	tasmAt upAsana arTAH iti sidDam /
   'kuryātkriyeta kartavyaṃ bhavetsyāditi pañcamam /	akuryAt kriyeta kartavyam Bavet syAt iti paQcamam /
   etatsyātsarvavedeṣu niyataṃ vidhilakṣaṇam //	etat syAt sarva vedezu niyatam viDi lakzaNam //
   'bhāvanāyāḥ khalu kartṛsamīhitānukūlatvaṃ vidhirniṣedhaśca	aBAvanAyAH Kalu kartR samIhita anukUla tvam viDiH nizeDaH ca
   karturahitānukūlatvam /	kartuH ahita anukUla tvam /
   yathāhuḥ 'kartavyaśca sukhaphalo 'kartavyo duḥkhaphalaḥ'iti /	yaTA AhuH  akartavyaH ca suKaPalaH akartavyaH duHKa PalaH aiti /
   etaccāsmābhirupapāditaṃ nyāyakaṇikāyām /	etat ca asmABiH upapAditam nyAya kaNikAyAm /
   kriyā ca bhāvanā tadvacanāśca karotyādayaḥ /	kriyA ca BAvanA tad vacanAH ca karoti AdayaH /
   yathāhuḥ kṛbhvastayaḥ kriyāsāmānyavacanā iti /	yaTA AhuH kRBvastayaH kriyA sAmAnya vacanAH iti /
   ata eva kṛbhvastīnudāhṛtavān /	atas eva kRBvastIn udAhRtavAn /
   sāmānyoktau tadviśeṣāḥ pacedityādayo 'pi gamyanta iti tatra	sAmAnya uktO tad viSezAH pacet ityAdayaH api gamyante iti tatra
   kuryādityākṣiptakartṛkā bhāvanā /	kuryAt iti Akzipta kartRkA BAvanA /
   kriyeteti ākṣiptakarmikā bhāvanā /	kriyeta iti Akzipta karmikA BAvanA /
   kartavyamiti tu karmabhūtadravyopasarjanabhāvanā /	kartavyam iti tu karma BUta dravya upasarjana BAvanA /
   evaṃ daṇḍī bhaveddaṇḍinā bhavitavyaṃ daṇḍinā bhūyetetyekadhātvarthaviṣayā	evam daNxI Bavet daNxinA Bavitavyam daNxinA BUyeta iti eka DAtu arTa vizayA
   vidhyupahitā bhāvanā udāhāryāḥ /	viDi upahitAH BAvanAH udAhAryAH /
   bhavatiścaiṣa janmani /	BavatiH ca eza janmani /
   yathā kulālavyāpārādghaṭo bhavati bījādaṅkuro bhavatīti prayuñjate /	yaTA kulAla vyApArAt GawaH Bavati bIjAt aFkuraH Bavati iti prayuQjate /
   naca bījādaṅkuro 'stīti prayuñjate /	na ca bIjAt aFkuraH asti iti prayuQjate /
   tasmādasti sattāyāṃ na janmanīti //21//	tasmAt asti sattAyAm na janmani iti //21//
   START BsVBh_3,4.3.22	START BsVBh_3,4.3.22
   bhāvaśabdāc ca | BBs_3,4.22 |	BAva SabdAt ca | BBH _3,4.22 |
   START BsVBh_3,4.4.23	START BsVBh_3,4.4.23
   pāriplavārthā iti cen na viśeṣitatvāt | BBs_3,4.23 |	pAriplava arTAH iti ced na viSezita tvAt | BBH _3,4.23 |
   yadyapi upaniṣadākhyānāni vidyāsaṃnidhau śrutāni tathāpi 'sarvāṇyākhyānāni	yadi api upanizad AKyAnAni vidyA saMniDO SrutAni taTA api asarvANi AKyAnAni
   pāriplave'iti sarvaśrutyā niḥśeṣārthatayā durbalasya	pAriplave aiti sarva SrutyA niHSeza arTa tayA durbalasya
   saṃnidherbādhitatvātpāriplavārthānyevākhyānāni /	saMniDeH bADita tvAt pAriplava arTAni eva AKyAnAni /
   naca sarvā dāśatayīranubrūyāditi viniyoge 'pi dāśatayīnāṃ	na ca sarvAH dASa tayIH anubrUyAt iti viniyoge api dASa tayInAm
   prātisvikaviniyogāttatra tatra karmaṇi yathā viniyogo na virudhyate	prAtisvika viniyogAt tatra tatra karmaNi yaTA viniyogaH na viruDyate
   tathehāpi satyapi pāriplave viniyege saṃnidhānādvidyāṅgatvamapi	taTA iha api sati api pAriplave viniyege saMniDAnAt vidyA aFga tvam api
   bhaviṣyatīti vācyam /	Bavizyati iti vAcyam /
   dāśatayīṣu prātisvikānāṃ viniyogānāṃ samudāyaviniyogasya ca	dASatayIzu prAtisvikAnAm viniyogAnAm samudAya viniyogasya ca
   tulyabalatvādiha tu saṃnidhānāt śruterbalīyastvāt /	tulya bala tvAt iha tu saMniDAnAt SruteH balIyaH tvAt /
   tasmātpāriplavārthānyevākhyānānīti prāpta ucyate naiṣāmākhyānānāṃ	tasmAt pAriplava arTAni eva AKyAnAni iti prAptaH ucyate nA ezAm AKyAnAnAm
   pāriplave viniyogaḥ /	pAriplave viniyogaH /
   kintu pāriplavamācakṣītetyupakramya yānyāmnātāni manurvaivasvato	kintu pAriplavam AcakzIta iti upakramya yAni AmnAtAni manuH vEvasvataH 
   rājetyādīni teṣāmeva tatra viniyogaḥ, tānyeva hi pāriplavena viśeṣitāni /	rAjA ityAdIni tezAm eva tatra viniyogaH, tAni eva hi pAriplavena viSezitAni /
   itarathā pāriplave sarvāṇyākhyānānityetāvataiva	itaraTA pAriplave sarvANi AKyAnAn iti etAvatA eva
   gatatvātpāriplavamācakṣītetyanarthakaṃ syāt /	gata tvAt pAriplavam AcakzIta iti anarTakam syAt /
   ākhyānaviśeṣaṇatve tvarthavat /	AKyAna viSezaNa tve tu arTavat /
   tasmādviśeṣāṇānurodhātsarvaśabdastadapekṣo na tvaśeṣavacanaḥ /	tasmAt viSezANa anuroDAt sarva SabdaH tad apekzaH na tu aSeza vacanaH /
   yathā sarve brāhmaṇā bhojayitavyā ityatra nimantritāpekṣaḥ sarvaśabdaḥ /	yaTA sarve brAhmaNAH BojayitavyAH iti atra nimantrita apekzaH sarva SabdaH /
   tathā copaniṣadākhyānānāṃ vidyāsaṃnidhirapratidvandīṃ vidyaikavākyatāṃ so	taTA ca upanizad A AKyAnAnAm vidyA saMniDiH apratidvandIm vidyA eka vAkyatAm saH 
   'rodīdityādīnāmiva vidyekavākyatvaṃ gamayatīti siddham /	arodIt iti AdInAm iva vidyeka vAkya tvam gamayati iti sidDam /
   pratipattisaukaryāccetyupākhyānena hi bālā apyavadhīyante yathā	pratipatti sOkaryAt ca iti upAKyAnena hi bAlAH api avaDIyante yaTA
   tantropākhyāyikayeti //23//	tantra upAKyAyikayA iti //23//
   START BsVBh_3,4.4.24	START BsVBh_3,4.4.24
   tathā caikavākyatopabandhāt | BBs_3,4.24 |	taTA ca eka vAkyatA upabanDAt | BBH _3,4.24 |
   START BsVBh_3,4.5.25	START BsVBh_3,4.5.25
   ata eva cāgnīndhanādyanapekṣā | BBs_3,4.25 |	atas eva ca agni inDana Adi anapekzA | BBH _3,4.25 |
   vidyāyāḥ kratvarthatve sati tathā kratūpakaraṇāya svakāryāya	vidyAyAH kratu arTa tve sati taTA kratu upakaraNAya sva kAryAya
   kraturapekṣitaḥ /	kratuH apekzitaH /
   tadabhāve kasyopakāro vidyayeti /	tad aBAve kasya upakAraH vidyayA iti /
   yadā tu puruṣārthā tadā nānayā kraturapekṣitaḥ svakārye nirapekṣāyā eva	yadA tu puruza arTA tadA na anayA kratuH apekzitaH sva kArye nirapekzAyAH eva
   tasyāḥ sāmarthyāt /	tasyAH sAmarTyAt /
   agnīndhānādinā cāśramakarmāṇyupalakṣyante	agni inDAna AdinA ca ASrama karmANi upalakzyante
   tadāha agnīndhanādīnyāśramakarmāṇi vidyayā svārthasiddhau nāpekṣitavyānīti	tat Aha agni inDana AdIni ASrama karmANi vidyayA sva arTa sidDO na apekzitavyAni iti
   svārthasiddhau nāpekṣitavyāni na tu svasiddhāviti /	sva arTa sidDO na apekzitavyAni na tu sva sidDO= iti /
   etaccādhikamupariṣṭādvakṣyate /	etat ca aDikam uparizwAt vakzyate /
   tadvivakṣayā caitatprayojanaṃ pūrvatanasyādhikaraṇasyoktam //25//	tad vivakzayA ca etat prayojanam pUrvatanasya aDikaraNasya uktam //25//
   START BsVBh_3,4.5.26	START BsVBh_3,4.5.26
   adhikavivakṣyeti yaduktaṃ tadadhikamāha 	aDika vivakzya iti yat uktam tat aDikam Aha 
   sarvāpekṣā ca yajñādiśruter aśvavat | BBs_3,4.26 |	sarva apekzA ca yajQa Adi SruteH aSva vat | BBH _3,4.26 |
   yathā svārthasiddhau nāpekṣyante āśramakarmāṇi evamutpattāvapi	yaTA sva arTa sidDO na apekzyante ASrama karmANi evam utpattO= api
