   1. brahmakāṇḍam	1. brahma-kANxam
   karmaṇas tv āptum iṣṭatva $ āśrite 'tiśayo yataḥ &	karmaNaH tu Aptum izwa-tva $ ASrite atiSayaH yatas &
   āśrīyate tato 'tyantaṃ % bhedaḥ pūrveṇa karmaṇā // 3.7.75 //	ASrIyate tatas atyantam % BedaH pUrveNa karmaNA // 3.7.75 //
   ṇijante ca yathā kartā $ sakriyaḥ san prayujyate &	Nijante ca yaTA kartA $ sa-kriyaH san prayujyate &
   na duhyādau tathā kartā % niṣkriyo 'pi prayujyate // 3.7.76 //	na duhya-AdO taTA kartA % nizkriyaH api prayujyate // 3.7.76 //
   bhedavākyaṃ tu yan ṇyante $ nīduhiprakṛtau ca yat &	Beda-vAkyam tu yat Ni-ante $ nI-duhi-prakRtO ca yat &
   śabdāntaratvān naivāsti % saṃsparśas tasya dhātunā // 3.7.77 //	Sabda-antara-tvAt na-eva-asti % saMsparSaH tasya DAtunA // 3.7.77 //
   yathaivaikam apādānaṃ $ śāstre bhedena darśitam &	yaTA-eva-ekam apAdAnam $ SAstre Bedena darSitam &
   tathaikam eva karmāpi % bhedena pratipāditam // 3.7.78 //	taTA-ekam eva karma-api % Bedena pratipAditam // 3.7.78 //
   nirvartyo vā vikāryo vā $ prāpyo vā sādhanāśrayaḥ &	nirvartyaH vA vikAryaH vA $ prApyaH vA sADana-ASrayaH &
   kriyāṇām eva sādhyatvāt % siddharūpo 'bhidhīyate // 3.7.79 //	kriyANAm eva sADya-tvAt % sidDa-rUpaH aBiDIyate // 3.7.79 //
   ahiteṣu yathā laulyāt $ kartur icchopajāyate &	ahitezu yaTA lOlyAt $ kartuH icCA-upajAyate &
   viṣādiṣu bhayādibhyas % tathaivāsau pravartate // 3.7.80 //	viza-Adizu Baya-AdiByaH % taTA-eva-asO pravartate // 3.7.80 //
   pradhānetarayor yatra $ dravyasya kriyayoḥ pṛthak &	praDAna-itarayoH yatra $ dravyasya kriyayoH pRTak &
   śaktir guṇāśrayā tatra % pradhānam anurudhyate // 3.7.81 //	SaktiH guNa-ASrayA tatra % praDAnam anuruDyate // 3.7.81 //
   pradhānaviṣayā śaktiḥ $ pratyayenābhidhīyate &	praDAna-vizayA SaktiH $ pratyayena-aBiDIyate &
   yadā guṇe tadā tadvad % anuktāpi prakāśate // 3.7.82 //	yadA guNe tadA tadvat % anuktA-api prakASate // 3.7.82 //
   pacāv anuktaṃ yat karma $ ktvānte bhāvābhidhāyini &	pacO anuktam yat karma $ ktvA-ante BAva-aBiDAyini &
   bhujau śaktyantare 'py ukte % tat taddharma prakāśate // 3.7.83 //	BujO Sakti-antare api ukte % tat tad-Darma prakASate // 3.7.83 //
   iṣeś ca gamisaṃsparśād $ grāme yo lo vidhīyate &	izeH ca gami-saMsparSAt $ grAme yaH laH viDIyate &
   tatreṣiṇaiva nirbhogaḥ % kriyate gamikarmaṇaḥ // 3.7.84 //	tatra-iziNA-eva nirBogaH % kriyate gami-karmaNaH // 3.7.84 //
   paktvā bhujyata ity atra $ keṣāṃ cin na vyapekṣate &	paktvA Bujyate iti atra $ kezAm cit na vyapekzate &
   odanaṃ pacatiḥ so 'sāv % anumānāt pratīyate // 3.7.85 //	odanam pacatiH saH asO % anumAnAt pratIyate // 3.7.85 //
   tathābhiniviśau karma $ yat tiṅante 'bhidhīyate &	taTA-aBiniviSO karma $ yat tiFante aBiDIyate &
   ktvānte 'dhikaraṇatve 'pi % na tatrecchanti saptamīm // 3.7.86 //	ktvAnte aDikaraNa-tve api % na tatra-icCanti saptamIm // 3.7.86 //
   yan nirvṛttāśrayaṃ karma $ prāpter apracitaṃ punaḥ &	yat nirvRtta-ASrayam karma $ prApteH apracitam punar &
   bhakṣyādiviṣayāpattyā % bhidyamānaṃ tad īpsitam // 3.7.87 //	Bakzya-Adi-vizaya-ApattyA % BidyamAnam tat Ipsitam // 3.7.87 //
   dhātor arthāntare vṛtter $ dhātvarthenopasaṃgrahāt &	DAtoH arTa-antare vRtteH $ DAtu-arTena-upasaMgrahAt &
   prasiddher avivakṣātaḥ % karmaṇo 'karmikā kriyā // 3.7.88 //	prasidDeH avivakzAtaH % karmaNaH akarmikA kriyA // 3.7.88 //
   bhedā ya ete catvāraḥ $ sāmānyena pradarśitāḥ &	BedAH ye ete catvAraH $ sAmAnyena pradarSitAH &
   te nimittādibhedena % bhidyante bahudhā punaḥ // 3.7.89 //	te nimitta-Adi-Bedena % Bidyante bahuDA punar // 3.7.89 //
   // iti karmādhikāraḥ //	// iti karma-aDikAraH //
   karaṇādhikāraḥ	karaNa-aDikAraH
   kriyāyāḥ pariniṣpattir $ yadvyāpārād anantaram &	kriyAyAH parinizpattiH $ yat-vyApArAt anantaram &
   vivakṣyate yadā tatra % karaṇatvaṃ tadā smṛtam // 3.7.90 //	vivakzyate yadA tatra % karaNa-tvam tadA smRtam // 3.7.90 //
   vastutas tad anirdeśyaṃ $ na hi vastu vyavasthitam &	vastutas tat anirdeSyam $ na hi vastu vyavasTitam &
   sthālyā pacyata ity eṣā % vivakṣā dṛśyate yataḥ // 3.7.91 //	sTAlyA pacyate iti ezA % vivakzA dRSyate yatas // 3.7.91 //
   karaṇeṣu tu saṃskāram $ ārabhante punaḥ punaḥ &	karaNezu tu saMskAram $ AraBante punar punar &
   viniyogaviśeṣāṃś ca % pradhānasya prasiddhaye // 3.7.92 //	viniyoga-viSezAn ca % praDAnasya prasidDaye // 3.7.92 //
   svakakṣyāsu prakarṣaś ca $ karaṇānāṃ na vidyate &	sva-kakzyAsu prakarzaH ca $ karaNAnAm na vidyate &
   āśritātiśayatvaṃ tu % paratas tatra lakṣaṇam // 3.7.93 //	ASrita-atiSaya-tvam tu % paratas tatra lakzaNam // 3.7.93 //
   svātantrye 'pi prayoktāra $ ārād evopakurvate &	svAtantrye api prayoktAraH $ ArAt eva-upakurvate &
   karaṇena hi sarveṣāṃ % vyāpāro vyavadhīyate // 3.7.94 //	karaNena hi sarvezAm % vyApAraH vyavaDIyate // 3.7.94 //
   kriyāsiddhau prakarṣo 'yaṃ $ nyagbhāvas tv eva kartari &	kriyA-sidDO prakarzaH ayam $ nyagBAvaH tu eva kartari &
   siddhau satyāṃ hi sāmānyaṃ % sādhakatvaṃ prakṛṣyate // 3.7.95 //	sidDO satyAm hi sAmAnyam % sADaka-tvam prakRzyate // 3.7.95 //
   asyādīnāṃ tu kartṛtve $ taikṣṇyādi karaṇaṃ viduḥ &	asya-AdInAm tu kartR-tve $ tEkzNya-Adi karaNam viduH &
   taikṣṇyādīnāṃ svatantratve % dvedhātmā vyavatiṣṭhate // 3.7.96 //	tEkzNya-AdInAm svatantra-tve % dveDA-AtmA vyavatizWate // 3.7.96 //
   ātmabhede 'pi saty evam $ eko 'rthaḥ sa tathā sthitaḥ &	Atma-Bede api sati evam $ ekaH arTaH sa taTA sTitaH &
   tadāśrayatvād bhede 'pi % kartṛtvaṃ bādhakaṃ tataḥ // 3.7.97 //	tad-ASraya-tvAt Bede api % kartR-tvam bADakam tatas // 3.7.97 //
   yathā ca saṃnidhānena $ karaṇatvaṃ pratīyate &	yaTA ca saMniDAnena $ karaNa-tvam pratIyate &
   tathaivāsaṃnidhāne 'pi % kriyāsiddheḥ pratīyate // 3.7.98 //	taTA-eva-asaMniDAne api % kriyA-sidDeH pratIyate // 3.7.98 //
   stokasya vābhinirvṛtter $ anirvṛtteś ca tasya vā &	stokasya vA-aBinirvRtteH $ anirvRtteH ca tasya vA &
   prasiddhiṃ karaṇatvasya % stokādīnāṃ pracakṣate // 3.7.99 //	prasidDim karaNa-tvasya % stoka-AdInAm pracakzate // 3.7.99 //
   dharmāṇāṃ tadvatā bhedād $ abhedāc ca viśiṣyate &	DarmANAm tadvatA BedAt $ aBedAt ca viSizyate &
   kriyāvadher avaccheda- % viśeṣād bhidyate yathā // 3.7.100 //	kriyA-avaDeH avacCeda % viSezAt Bidyate yaTA // 3.7.100 //
   // iti karaṇādhikāraḥ //	// iti karaNa-aDikAraH //
   kartradhikāraḥ	kartR-aDikAraH
   prāg anyataḥ śaktilābhān $ nyagbhāvāpādanād api &	prAk anyatas Sakti-lABAn $ nyagBAva-ApAdanAt api &
   tadadhīnapravṛttitvāt % pravṛttānāṃ nivartanāt // 3.7.101 //	tad-aDIna-pravRtti-tvAt % pravRttAnAm nivartanAt // 3.7.101 //
   adṛṣṭatvāt pratinidheḥ $ praviveke ca darśanāt &	adRzwa-tvAt pratiniDeH $ praviveke ca darSanAt &
   ārād apy upakāritve % svātantryaṃ kartur ucyate // 3.7.102 //	ArAt api upakAri-tve % svAtantryam kartuH ucyate // 3.7.102 //
   dharmair abhyuditaiḥ śabde $ niyamo na tu vastuni &	DarmEH aByuditEH Sabde $ niyamaH na tu vastuni &
   kartṛdharmavivakṣāyāṃ % śabdāt kartā pratīyate // 3.7.103 //	kartR-Darma-vivakzAyAm % SabdAt kartA pratIyate // 3.7.103 //
   ekasya buddhyavasthābhir $ bhede ca parikalpite &	ekasya budDi-avasTABiH $ Bede ca parikalpite &
   kartṛtvaṃ karaṇatvaṃ ca % karmatvaṃ copajāyate // 3.7.104 //	kartR-tvam karaNa-tvam ca % karma-tvam ca-upajAyate // 3.7.104 //
   utpatteḥ prāg asadbhāvo $ buddhyavasthānibandhanaḥ &	utpatteH prAk asadBAvaH $ budDi-avasTA-nibanDanaH &
   aviśiṣṭaḥ satānyena % kartā bhavati janmanaḥ // 3.7.105 //	aviSizwaH satA-anyena % kartA Bavati janmanaH // 3.7.105 //
   kāraṇaṃ kāryabhāvena $ yadā vāvyavatiṣṭhate &	kAraNam kArya-BAvena $ yadA vA-avyavatizWate &
   kāryaśabdaṃ tadā labdhvā % kāryatvenopajāyate // 3.7.106 //	kArya-Sabdam tadA labDvA % kAryatvena-upajAyate // 3.7.106 //
   yathāheḥ kuṇḍalībhāvo $ vyagrāṇāṃ vā samagratā &	yaTA-aheH kuNxalIBAvaH $ vyagrANAm vA samagra-tA &
   tathaiva janmarūpatvaṃ % satām eke pracakṣate // 3.7.107 //	taTA-eva janma-rUpa-tvam % satAm eke pracakzate // 3.7.107 //
   vibhaktayoni yat kāryaṃ $ kāraṇebhyaḥ pravartate &	viBaktayoni yat kAryam $ kAraNeByaH pravartate &
   svā jātir vyaktirūpeṇa % tasyāpi vyavatiṣṭhate // 3.7.108 //	svA jAtiH vyakti-rUpeNa % tasya-api vyavatizWate // 3.7.108 //
   bhāveṣv eva padanyāsaḥ $ prajñāyā vāca eva vā &	BAvezu eva pada-nyAsaH $ prajQAyAH vAcaH eva vA &
   nāstīty apy apade nāsti % na ca sad bhidyate tataḥ // 3.7.109 //	na-asti-iti api apade na-asti % na ca sat Bidyate tatas // 3.7.109 //
   buddhiśabdau pravartete $ yathābhūteṣu vastuṣu &	budDi-SabdO pravartete $ yaTABUtezu vastuzu &
   teṣām anyena tattvena % vyavahāro na vidyate // 3.7.110 //	tezAm anyena tattvena % vyavahAraH na vidyate // 3.7.110 //
   ākāśasya yathā bhedaś $ chāyāyāś calanaṃ yathā &	AkASasya yaTA BedaH $ CAyAyAH calanam yaTA &
   janmanāśāv abhede 'pi % tathā kaiś cit prakalpitau // 3.7.111 //	janma-nASO aBede api % taTA kEH cit prakalpitO // 3.7.111 //
   yathaivākāśanāstitvam $ asan mūrtinirūpitam &	yaTA-eva-AkASanAstitvam $ asat mUrti-nirUpitam &
   tathaiva mūrtināstitvam % asadākāśaniśrayam // 3.7.112 //	taTA-eva mUrtinA-astitvam % asat-AkASa-niSrayam // 3.7.112 //
   yathā tadarthair vyāpāraiḥ $ kriyātmā vyapadiśyate &	yaTA tad-arTEH vyApArEH $ kriyA-AtmA vyapadiSyate &
   abhedagrahaṇād eṣa % kāryakāraṇayoḥ kramaḥ // 3.7.113 //	aBeda-grahaNAt eza % kArya-kAraNayoH kramaH // 3.7.113 //
   vikāro janmanaḥ kartā $ prakṛtir veti saṃśaye &	vikAraH janmanaH kartA $ prakRtiH vA-iti saMSaye &
   bhidyate pratipattṭṇāṃ % darśanaṃ liṅgadarśanaiḥ // 3.7.114 //	Bidyate pratipad-twNAm % darSanam liFga-darSanEH // 3.7.114 //
   kḷpi saṃpadyamāne yā $ caturthī sā vikārataḥ &	k?pi saMpadyamAne yA $ caturTI sA vikArataH &
   suvarṇapiṇḍe prakṛtau % vacanaṃ kuṇḍalāśrayam // 3.7.115 //	suvarNa-piNxe prakRtO % vacanam kuNxala-ASrayam // 3.7.115 //
   vākye saṃpadyateḥ kartā $ saṅghaś cvyantasya kathyate &	vAkye saMpadyateH kartA $ saFGaH cvyantasya kaTyate &
   vṛttau saṅghībhavantīti % brāhmaṇānāṃ svatantratā // 3.7.116 //	vRttO saFGIBavanti-iti % brAhmaNAnAm svatantra-tA // 3.7.116 //
   atvaṃ saṃpadyate yas tvaṃ $ na tasmin yuṣmadāśrayā &	atvam saMpadyate yaH tvam $ na tasmin yuzmad-ASrayA &
   pravṛttiḥ puruṣasyāsti % prākṛtaḥ sa vidhīyate // 3.7.117 //	pravRttiH puruzasya-asti % prAkRtaH sa viDIyate // 3.7.117 //
   pūrvāvasthām avijahat $ saṃspṛśan dharmam uttaram &	pUrva-avasTAm avijahat $ saMspRSan Darmam uttaram &
   saṃmūrchita ivārthātmā % jāyamāno 'bhidhīyate // 3.7.118 //	saMmUrCitaH iva-arTa-AtmA % jAyamAnaH aBiDIyate // 3.7.118 //
   savyāpārataraḥ kaś cit $ kva cid dharmaḥ pratīyate &	sa-vyApArataraH kaH cit $ kva cit DarmaH pratIyate &
   saṃsṛjyante ca bhāvānāṃ % bhedavatyo 'pi śaktayaḥ // 3.7.119 //	saMsRjyante ca BAvAnAm % BedavatyaH api SaktayaH // 3.7.119 //
   viparītārthavṛttitvaṃ $ puruṣasya viparyaye &	viparIta-arTa-vRtti-tvam $ puruzasya viparyaye &
   gamyeta sādhanaṃ hy atra % savyāpāraṃ pratīyate // 3.7.120 //	gamyeta sADanam hi atra % sa-vyApAram pratIyate // 3.7.120 //
   tvam anyo bhavasīty eṣā $ tatra syāt parikalpanā &	tvam anyaH Bavasi-iti ezA $ tatra syAt parikalpanA &
   rājñi bhṛtyatvamāpanne % yathā tadvad gatir bhavet // 3.7.121 //	rAjQi BRtya-tvam-Apanne % yaTA tadvat gatiH Bavet // 3.7.121 //
   saṃbhāvanāt kriyāsiddhau $ kartṛtvena samāśritaḥ &	saMBAvanAt kriyA-sidDO $ kartR-tvena samASritaH &
   kriyāyām ātmasādhyāyāṃ % sādhanānāṃ prayojakaḥ // 3.7.122 //	kriyAyAm Atma-sADyAyAm % sADanAnAm prayojakaH // 3.7.122 //
   prayogamātre nyagbhāvaṃ $ svātantryād eva niśritaḥ &	prayoga-mAtre nyagBAvam $ svAtantryAt eva niSritaH &
   aviśiṣṭo bhavaty anyaiḥ % svatantrair muktasaṃśayaiḥ // 3.7.123 //	aviSizwaH Bavati anyEH % svatantrEH mukta-saMSayEH // 3.7.123 //
   nimittebhyaḥ pravartante $ sarva eva svabhūtaye &	nimitteByaH pravartante $ sarve eva sva-BUtaye &
   abhiprāyānurodho 'pi % svārthasyaiva prasiddhaye // 3.7.124 //	aBiprAya-anuroDaH api % sva-arTasya-eva prasidDaye // 3.7.124 //
   // iti kartradhikāraḥ //	// iti kartR-aDikAraH //
   hetvadhikāraḥ	hetu-aDikAraH
   preṣaṇādhyeṣaṇe kurvaṃs $ tatsamarthāni cācaran &	prezaNa-aDyezaNe kurvan $ tad-samarTAni ca-Acaran &
   kartaiva vihitāṃ śāstre % hetusaṃjñāṃ prapadyate // 3.7.125 //	kartA-eva vihitAm SAstre % hetu-saMjQAm prapadyate // 3.7.125 //
   dravyamātrasya tu praiṣe $ pṛcchyāder loḍ vidhīyate &	dravya-mAtrasya tu prEze $ pRcCya-AdeH low viDIyate &
   sakriyasya prayogas tu % yadā sa viṣayo ṇicaḥ // 3.7.126 //	sa-kriyasya prayogaH tu % yadA sa vizayaH NicaH // 3.7.126 //
   guṇakriyāyāṃ svātantryāt $ preṣaṇe karmatāṃ gataḥ &	guNa-kriyAyAm svAtantryAt $ prezaNe karma-tAm gataH &
   niyamāt karmasaṃjñāyāḥ % svadharmeṇābhidhīyate // 3.7.127 //	niyamAt karma-saMjQAyAH % svaDarmeNa-aBiDIyate // 3.7.127 //
   kriyāyāḥ prerakaṃ karma $ hetuḥ kartuḥ prayojakaḥ &	kriyAyAH prerakam karma $ hetuH kartuH prayojakaH &
   karmārthā ca kriyotpatti- % saṃskārapratipattibhiḥ // 3.7.128 //	karma-arTA ca kriyA-utpatti % saMskAra-pratipattiBiH // 3.7.128 //
   // iti hetvadhikāraḥ //	// iti hetu-aDikAraH //
   saṃpradānādhikāraḥ	saMpradAna-aDikAraH
   anirākaraṇāt kartus $ tyāgāṅgaṃ karmaṇepsitam &	anirAkaraNAt kartuH $ tyAga-aFgam karmaNA-Ipsitam &
   preraṇānumatibhyāṃ ca % labhate saṃpradānatām // 3.7.129 //	preraNa-anumatiByAm ca % laBate saMpradAna-tAm // 3.7.129 //
   hetutve karmasaṃjñāyāṃ $ śeṣatve vāpi kārakam &	hetu-tve karma-saMjQAyAm $ Seza-tve vA-api kArakam &
   rucyarthādiṣu śāstreṇa % saṃpradānākhyam ucyate // 3.7.130 //	ruci-arTa-Adizu SAstreNa % saMpradAna-AKyam ucyate // 3.7.130 //
   bhedasya ca vivakṣāyāṃ $ pūrvāṃ pūrvāṃ kriyāṃ prati &	Bedasya ca vivakzAyAm $ pUrvAm pUrvAm kriyAm prati &
   parasyāṅgasya karmatvān % na kriyāgrahaṇaṃ kṛtam // 3.7.131 //	parasya-aFgasya karma-tvAt % na kriyA-grahaNam kRtam // 3.7.131 //
   kriyāṇāṃ samudāye tu $ yadaikatvaṃ vivakṣitam &	kriyANAm samudAye tu $ yadA-ekatvam vivakzitam &
   tadā karma kriyāyogāt % svākhyayaivopacaryate // 3.7.132 //	tadA karma kriyA-yogAt % su-AKyayA-eva-upacaryate // 3.7.132 //
   bhedābhedavivakṣā ca $ svabhāvena vyavasthitā &	Beda-aBeda-vivakzA ca $ svaBAvena vyavasTitAH &
   tasmād gatyarthakarmatve % vyabhicāro na dṛśyate // 3.7.133 //	tasmAt gati-arTa-karma-tve % vyaBicAraH na dRSyate // 3.7.133 //
   vikalpenaiva sarvatra $ saṃjñe syātām ubhe yadi &	vikalpena-eva sarvatra $ saMjQe syAtAm uBe yadi &
   ārambheṇa na yogasya % pratyākhyānaṃ samaṃ bhavet // 3.7.134 //	AramBeNa na yogasya % pratyAKyAnam samam Bavet // 3.7.134 //
   tyāgarūpaṃ prahātavye $ prāpye saṃsargadarśanam &	tyAga-rUpam prahAtavye $ prApye saMsarga-darSanam &
   āsthitaṃ karma yat tatra % dvairūpyaṃ bhajate kriyā // 3.7.135 //	AsTitam karma yat tatra % dvErUpyam Bajate kriyA // 3.7.135 //
   // iti saṃpradānādhikāraḥ //	// iti saMpradAna-aDikAraH //
   apādānādhikāraḥ	apAdAna-aDikAraH
   nirdiṣṭaviṣayaṃ kiṃ cid $ upāttaviṣayaṃ tathā &	nirdizwa-vizayam kim cit $ upAtta-vizayam taTA &
   apekṣitakriyaṃ ceti % tridhāpādānam ucyate // 3.7.136 //	apekzita-kriyam ca-iti % triDA-apAdAnam ucyate // 3.7.136 //
   saṃyogabhedād bhinnātmā $ gamir eva bhramir yathā &	saMyoga-BedAt Binna-AtmA $ gamiH eva BramiH yaTA &
   dhruvāvadhir apāyo 'pi % samavetas tathādhruve // 3.7.137 //	Druva-avaDiH apAyaH api % samavetaH taTA-aDruve // 3.7.137 //
   dravyasvabhāvo na dhrauvyam $ iti sūtre pratīyate &	dravya-svaBAvaH na DrOvyam $ iti sUtre pratIyate &
   apāyaviṣayaṃ dhrauvyaṃ % yat tu tāvad vivakṣitam // 3.7.138 //	apAya-vizayam DrOvyam % yat tu tAvat vivakzitam // 3.7.138 //
   saraṇe devadattasya $ dhrauvyaṃ pāte tu vājinaḥ &	saraNe devadattasya $ DrOvyam pAte tu vAjinaH &
   āviṣṭaṃ yad apāyena % tasyādhrauvyaṃ pracakṣate // 3.7.139 //	Avizwam yat apAyena % tasya-aDrOvyam pracakzate // 3.7.139 //
   ubhāv apy adhruvau meṣau $ yady apy ubhayakarmaje &	uBO api aDruvO mezO $ yadi api uBaya-karma-je &
   vibhāge pravibhakte tu % kriye tatra vivakṣite // 3.7.140 //	viBAge praviBakte tu % kriye tatra vivakzite // 3.7.140 //
   meṣāntarakriyāpekṣam $ avadhitvaṃ pṛthak pṛthak &	meza-antara-kriyA-apekzam $ avaDi-tvam pRTak pRTak &
   meṣayoḥ svakriyāpekṣaṃ % kartṛtvaṃ ca pṛthak pṛthak // 3.7.141 //	mezayoH sva-kriyA-apekzam % kartR-tvam ca pRTak pRTak // 3.7.141 //
   abhedena kriyaikā tu $ dvisādhyā ced vivakṣitā &	aBedena kriyA-ekA tu $ dvi-sADyA ced vivakzitA &
   meṣāv apāye kartārau % yady anyo vidyate 'vadhiḥ // 3.7.142 //	mezO apAye kartArO % yadi anyaH vidyate avaDiH // 3.7.142 //
   gatir vinā tv avadhinā $ nāpāya iti gamyate &	gatiH vinA tu avaDinA $ na-apAyaH iti gamyate &
   vṛkṣasya parṇaṃ patatīty % evaṃ bhāṣye nidarśitam // 3.7.143 //	vRkzasya parNam patati-iti % evam BAzye nidarSitam // 3.7.143 //
   bhedābhedau pṛthagbhāvaḥ $ sthitiś ceti virodhinaḥ &	Beda-aBedO pRTak-BAvaH $ sTitiH ca-iti viroDinaH &
   yugapan na vivakṣyante % sarve dharmā balāhake // 3.7.144 //	yugapad na vivakzyante % sarve DarmAH balAhake // 3.7.144 //
   dhanuṣā vidhyatīty atra $ vināpāyavivakṣayā &	DanuzA viDyati-iti atra $ vinA-apAya-vivakzayA &
   karaṇatvaṃ yato nāsti % tasmāt tad ubhayaṃ saha // 3.7.145 //	karaNa-tvam yatas na-asti % tasmAt tat uBayam saha // 3.7.145 //
   ekaiva vā satī śaktir $ dvirūpā vyavatiṣṭhate &	ekA-eva vA satI SaktiH $ dvi-rUpAH vyavatizWate &
   nimittaṃ saṃjñayos tatra % parayā bādhyate 'parā // 3.7.146 //	nimittam saMjQayoH tatra % parayA bADyate aparAH // 3.7.146 //
   nirdhāraṇe vibhakte yo $ bhītrādīnāṃ ca yo vidhiḥ &	nirDAraNe viBakte yaH $ BItra-AdInAm ca yaH viDiH &
   upāttāpekṣitāpāyaḥ % so 'budhapratipattaye // 3.7.147 //	upAtta-apekzita-apAyaH % saH abuDa-pratipattaye // 3.7.147 //
   // ity apādānādhikāraḥ //	// iti apAdAna-aDikAraH //
   adhikaraṇādhikāraḥ	aDikaraNa-aDikAraH
   kartṛkarmavyavahitām $ asākṣād dhārayat kriyām &	kartR-karma-vyavahitAm $ asAkzAt DArayat kriyAm &
   upakurvat kriyāsiddhau % śāstre 'dhikaraṇaṃ smṛtam // 3.7.148 //	upakurvat kriyA-sidDO % SAstre aDikaraNam smRtam // 3.7.148 //
   upaśleṣasya cābhedas $ tilākāśakaṭādiṣu &	upaSlezasya ca-aBedaH $ tila-AkA-Sa-kawa-Adizu &
   upakārās tu bhidyante % saṃyogisamavāyinām // 3.7.149 //	upakArAH tu Bidyante % saMyogi-samavAyinAm // 3.7.149 //
   avināśo gurutvasya $ pratibandhe svatantratā &	avinASaH guru-tvasya $ pratibanDe svatantra-tA &
   digviśeṣād avaccheda % ityādyā bhedahetavaḥ // 3.7.150 //	diS-viSezAt avacCeda % ityAdyAH Beda-hetavaH // 3.7.150 //
   ākāśam eva keṣāṃ cid $ deśabhedaprakalpanāt &	AkASam eva kezAm cit $ deSa-Beda-prakalpanAt &
   ādhāraśaktiḥ prathamā % sarvasaṃyogināṃ matā // 3.7.151 //	ADAra-SaktiH praTamA % sarva-saMyoginAm matA // 3.7.151 //
   idam atreti bhāvānām $ abhāvān na prakalpate &	idam atra-iti BAvAnAm $ aBAvAt na prakalpate &
   vyapadeśas tam ākāśa- % nimittaṃ saṃpracakṣate // 3.7.152 //	vyapadeSaH tam AkASa % nimittam saMpracakzate // 3.7.152 //
   kālāt kriyā vibhajyanta $ ākāśāt sarvamūrtayaḥ &	kAlAt kriyAH viBajyanta $ AkASAt sarva-mUrtayaH &
   etāvāṃś caiva bhedo 'yam % abhedopanibandhanaḥ // 3.7.153 //	etAvAn ca-eva BedaH ayam % aBeda-upanibanDanaH // 3.7.153 //
   yady apy upavasir deśa- $ viśeṣam anurudhyate &	yadi api upavasiH deSa $ viSezam anuruDyate &
   śabdapravṛttidharmāt tu % kālam evāvalambate // 3.7.154 //	Sabda-pravRtti-DarmAt tu % kAlam eva-avalambate // 3.7.154 //
   vasatāv aprayukte 'pi $ deśo 'dhikaraṇaṃ tataḥ &	vasatO aprayukte api $ deSaH aDikaraNam tatas &
   aprayuktaṃ trirātrādi % karma copavasau smṛtam // 3.7.155 //	aprayuktam tri-rAtra-Adi % karma ca-upavasO smRtam // 3.7.155 //
   // ity adhikaraṇādhikāraḥ //	// iti aDikaraNa-aDikAraH //
   śeṣādhikāraḥ	Seza-aDikAraH
   saṃbandhaḥ kārakebhyo 'nyaḥ $ kriyākārakapūrvakaḥ &	saMbanDaH kArakeByaH anyaH $ kriyA-kAraka-pUrvakaH &
   śrutāyām aśrutāyāṃ vā % kriyāyāṃ so 'bhidhīyate // 3.7.156 //	SrutAyAm aSrutAyAm vA % kriyAyAm saH aBiDIyate // 3.7.156 //
   dviṣṭho 'py asau parārthatvād $ guṇeṣu vyatiricyate &	dvizWaH api asO parArTa-tvAt $ guNezu vyatiricyate &
   tatrābhidhīyamānaḥ san % pradhāne 'py upayujyate // 3.7.157 //	tatra-aBiDIyamAnaH san % praDAne api upayujyate // 3.7.157 //
   nimittaniyamaḥ śabdāt $ saṃbandhasya na gṛhyate &	nimitta-niyamaH SabdAt $ saMbanDasya na gRhyate &
   karmapravacanīyais tu % sa viśeṣo 'varudhyate // 3.7.158 //	karma-pravacanIyEH tu % sa viSezaH avaruDyate // 3.7.158 //
   sādhanair vyapadiṣṭe ca $ śrūyamāṇakriye punaḥ &	sADanEH vyapadizwe ca $ SrUyamANa-kriye punar &
   proktā pratipadaṃ ṣaṣṭhī % samāsasya nivṛttaye // 3.7.159 //	proktA pratipadam zazWI % samAsasya nivRttaye // 3.7.159 //
   niṣṭhāyāṃ karmaviṣayā $ ṣaṣthī ca pratiṣidhyate &	nizWAyAm karma-vizayAH $ zazTI ca pratiziDyate &
   śeṣalakṣaṇayā ṣaṣṭhyā % samāsastatra neṣyate // 3.7.160 //	Seza-lakzaNayA zazWyA % samAsaH-tatra na-izyate // 3.7.160 //
   anyena vyapadiṣṭasya $ yasyānyatropajāyate &	anyena vyapadizwasya $ yasya-anyatra-upajAyate &
   vyatirekaḥ sa dharmau dvau % labhate viṣayāntare // 3.7.161 //	vyatirekaH sa DarmO dvO % laBate vizaya-antare // 3.7.161 //
   prādhānyaṃ svaguṇe labdhvā $ pradhāne yāti śeṣatām &	prADAnyam sva-guNe labDvA $ praDAne yAti Seza-tAm &
