   Larger Prajñāpāramitā	LargeH PrajQApAramitA
   yujyate | evaṃ na vedanān na saṃjñān na saṃskārān na vijñānam utpadyata	yujyate | evam na vedanAt na saMjQAn na saMskArAt na vijQAnam utpadyata
   iti vā nirudhyaya iti vā yujyate | na rūpam atītam iti yujyate | na rūpam	iti vA niruDyayaH iti vA yujyate | na rUpam atItam iti yujyate | na rUpam
   anāgatam iti yujyate | na rūpaṃ pratyutpannam iti yujyate evan na vedanān	anAgatam iti yujyate | na rUpam pratyutpannam iti yujyate evan na vedanAn
   na saṃjñān na saṃskārān na vijñānam atītam iti yujyate na vijñānam	na saMjQAn na saMskArAt na vijQAnam atItam iti yujyate na vijQAnam
   anāgatam iti yujyate | na vijñānaṃ pratyutpannam iti yujyate | na rūpaṃ	anAgatam iti yujyate | na vijQAnam pratyutpannam iti yujyate | na rUpam
   sāram iti na durbalam iti yujyate | evan na vedanān na saṃjñān na	sAram iti na durbalam iti yujyate | evan na vedanAt na saMjQAn na
   saṃskārān na vijñānam sāram iti na durbalam iti yujyate | na rūpam astīti	saMskArAt na vijQAnam sAram iti na durbalam iti yujyate | na rUpam asti-iti
   na nāstīti yujyate na viyujyate | evan na vedanān na saṃjñān na saṃskārān	na na-asti-iti yujyate na viyujyate | evan na vedanAt na saMjQAn na saMskArAn
   na vijñānam astīti na nāstīti yujyate na viyujyate | sa prajñāpāramitāyāṃ	na vijQAnam asti-iti na na-asti-iti yujyate na viyujyate | sa prajQApAramitAyAm
   caratīti nopaiti | na caratīti nopaiti | caratīti ca na carati ceti	carati-iti na-upEti | na carati-iti na-upEti | carati-iti ca na carati ca-iti
   nopaiti | naiva carati ca na caratīti nopaiti | evaṃ caraṃc	na-upEti | na-eva carati ca na carati-iti na-upEti | evam caraMc
   chāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ yukta iti	CAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm yuktaH iti
   vaktavyaḥ //	vaktavyaH //
   punar aparaṃ śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran	punar aparam SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm caran
   na prajñāpāramitāyāḥ kṛte prajñāpāramitāyāṃ carati | na dānapāramitāyā na	na prajQApAramitAyAH kRte prajQApAramitAyAm carati | na dAna-pAramitAyAH na
   śīlapāramitāyā na kṣāntipāramitāyā na vīryapāramitāyā na dhyānapāramitāyāḥ	SIla-pAramitAyAH na kzAnti-pAramitAyAH na vIrya-pAramitAyAH na DyAna-pAramitAyAH
   kṛte prajñāpāramitāyāṃ carati | nāvaivartyabhūmeḥ kṛte prajñāpāramitāyāṃ	kRte prajQApAramitAyAm carati | na-avEvartya-BUmeH kRte prajQApAramitAyAm
   carati | na satvaparipākahetoḥ na buddhakṣetrapariśodhanārthaṃ na daśānāṃ	carati | na satva-paripAka-hetoH na budDa-kzetra-pariSoDana-arTam na daSAnAm
   (LPG 25r) tathāgatabalānāṃ kṛte | na caturṇāṃ vaiśāradyānāṃ kṛte | na	(LPG 25r) taTAgata-balAnAm kRte | na caturNAm vESAradyAnAm kRte | na
   catasrṇāṃ pratisaṃvidānāṃ kṛte | nāṣṭādaśānām āveṇikānāṃ buddhadharmāṇāṃ	catasrNAm pratisaMvidAnAm kRte | na-azwAdaSAnAm AveNikAnAm budDa-DarmANAm
   kṛte prajñāpāramitāyāṃ carati | nādhyātmaśunyatāyāḥ kṛte prajñāpāramitāyāṃ	kRte prajQApAramitAyAm carati | na-aDyAtma-SunyatAyAH kRte prajQApAramitAyAm
   carati | na bahirdhāśunyatāyā nādhyātmabahirdhāśuntatāyā | na	carati | na bahirDASunyatAyAH na-aDyAtma-bahirDA-SuntatAyAH | na
   śunyatāśunyatāyā na mahāśunyatāyā na paramārthaśunyatāyā na	Sunyata-ASunyatAyAH na mahA-SunyatAyAH na parama-arTa-SunyatAyAH na
   saṃskṛtaśunyatāyā nāsaṃskṛtaśunyatāyā nātyantaśunyatāyā |	saMskRta-SunyatAyAH na-asaMskRta-SunyatAyAH na-atyanta-SunyatAyAH |
   nāvarāgraśunyatāyā | nāvakāraśunyatāyā | na prakṛtiśunyatāyā | na	na-avara-agra-SunyatAyAH | na-avakAra-SunyatAyAH | na prakRti-SunyatAyAH | na
   svalakṣaṇaśunyatāyā | na sarvadharmaśunyatāyā | nānutpādaśunyatāyā |	sva-lakzaNa-SunyatAyAH | na sarva-Darma-SunyatAyAH | na-anutpAda-SunyatAyAH |
   nābhāvasvabhāvaśunyatāyāḥ kṛte | na tathatāyāḥ kṛte | na dharmadhātor na	na-aBAva-svaBAva-SunyatAyAH kRte | na taTatAyAH kRte | na DarmaDAtoH na
   bhūtakoṭeḥ kṛte prajñāpāramitāyāṃ carati | tat kasya hetoḥ na hi	BUtakoweH kRte prajQApAramitAyAm carati | tat kasya hetoH na hi
   bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran kasyacid dharmasya bhedaṃ vā	boDisatvaH mahAsatvaH prajQApAramitAyAm caran kasyacid Darmasya Bedam vA
   nānākaraṇaṃ vā viśeṣaṃ vā samanupaśyati | evaṃ caraṃc chāradvatīputra	nAnA-karaNam vA viSezam vA samanupaSyati | evam caran SAradvatI-putra
   bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ yukta iti vaktavyaḥ // sa na	boDisatvaH mahAsatvaH prajQApAramitAyAm yuktaH iti vaktavyaH // sa na
   divyasya cakṣuṣaḥ kṛte prajñāpāramitāyāṃ carati | na divyasya śrotrasya na	divyasya cakzuzaH kRte prajQApAramitAyAm carati | na divyasya Srotrasya na
   paracittajñānasya na pūrvanivāsānusmṛter nardhipādānāṃ kṛte	para-citta-jQAnasya na pUrva-nivAsa-anusmRteH narDi-pAdAnAm kRte
   prajñāpāramitāyāṃ carati | evaṃ caraṃc chāradvatīputra bodhisatvo	prajQApAramitAyAm carati | evam caran SAradvatI-putra boDisatvaH-
   mahāsatvaḥ prajñāpāramitāyāṃ yukta iti vaktavyaḥ //	mahAsatvaH prajQApAramitAyAm yuktaH iti vaktavyaH //
   punar aparaṃ śāradvatīputra bodhisatvasya mahāsatvasya prajñāpāramitāyāṃ	punar aparam SAradvatI-putra boDisatvasya mahA-satvasya prajQApAramitAyAm
   carato naivaṃ bhavaty aham ṛddhipādeṣu sthitvā divyena cakṣuṣā pūrvasyān	carataH na-evam Bavati aham RdDi-pAdezu sTitvA divyena cakzuzA pUrvasya-an
   diśi gaṃgānadīvālukopameṣu lokadhātuṣu ye buddhā bhagavantas tān	diSi gaMgA-nadI-vAlukA-upamezu lokaDAtuzu ye budDAH BagavantaH tAn
   satkariṣyāmi gurukariṣyāmi mānayiṣyāmi pūjayiṣyāmi // evaṃ dakṣiṇasyāṃ	satkarizyAmi gurukarizyAmi mAnayizyAmi pUjayizyAmi // evam dakziNasyAm
   paścimāyām uttarasyām adhastād upariṣṭād yāvat samantād daśasu dikṣv	paScimAyAm uttarasyAm aDastAt uparizwAt yAvat samantAt daSasu dikzu-
   ekaikasyān diśi gaṃgānadīvālukopameṣu lokadhātuṣu ye buddhā bhagavantas	ekEkasyAn diSi gaMgA-nadI-vAlukA-upamezu lokaDAtuzu ye budDAH Bagavantas
   tān satkariṣyāmi gurukariṣyāmi mānayiṣyāmi pūjayiṣyāmi na cāsyaivaṃ (LPG	tAn satkarizyAmi gurukarizyAmi mAnayizyAmi pUjayizyAmi na ca-asya-evam (LPG
   25v) bhavati yat te buddhā bhagavanto bhāṣante tat sarvaṃ divyena śrotreṇa	25v) Bavati yat te budDAH BagavantaH BAzante tat sarvam divyena SrotreNa
   śroṣyāmi | ahaṃ tatra lokadhātuṣu satvānāṃ cetasaiva cittaṃ jñāsye | ahaṃ	SrozyAmi | aham tatra lokaDAtuzu satvAnAm cetasA-eva cittam jQAsye | aham
   eṣāṃ pūrvenivāsān anusmariṣyāmi | ahaṃ divyena cakṣuṣā tāṃ satvāṃś	ezAm pUrvenivAsAn anusmarizyAmi | aham divyena cakzuzA tAm satva-aM=-
   cyavamānān upapadyamānān upapannāṃś ca drakṣyāmi | aham aprameyāsaṃkhyeyān	cyavamAnAn upapadyamAnAn upapannAn ca drakzyAmi | aham aprameya-asaMKyeyAn
   satvān parinirvāpayiṣyāmi ti | // evaṃ khalu śāradvatīputra bodhisatvo	satvAn parinirvApayizyAmi ti | // evam Kalu SAradvatI-putra boDisatvaH-
   mahāsatvaḥ prajñāpāramitāyāṃ yukta iti vaktavyaḥ // evaṃ khalu	mahAsatvaH prajQApAramitAyAm yuktaH iti vaktavyaH // evam Kalu
   śāradvatīputra bodhisatvasya mahāsatvasya prajñāpāramitāyāṃ carato māraḥ	SAradvatI-putra boDisatvasya mahAsatvasya prajQApAramitAyAm carataH mAraH
   pāpīyān avatāraṃ na labhate | yāny api kānicil laukikalokottarāṇi	pApIyAn avatAram na laBate | yAni api kAnicid lOkika-lokottarANi
   karaṇīyāni tāny api sarvāṇi pradakṣiṇībhavanty anābhogenāparikalpitāni //	karaNIyAni tAni api sarvANi pradakziNIBavanti anABogena-aparikalpitAni //
   ye ca te pūrvasyān diśi gaṃgānadīvālukopameṣu lokadhātuṣu buddhā	ye ca te pUrvasyAn diSi gaMgA-nadI-vAlukA-upamezu lokaDAtuzu budDA
   bhagavanto ye ca dakṣiṇasyāṃ paścimāyām uttarasyām adhastād upariṣṭād	BagavantaH ye ca dakziNasyAm paScimAyAm uttarasyAm aDastAt uparizwAt-
   yāvat samantād daśasu dikṣv ekaikasyān diśi gaṃgānadīvālukopameṣu	yAvat samantAt daSasu dikzu ekEkasyAn diSi gaMgA-nadI-vAlukA-upamezu
   lokadhātuṣu buddhā bhagavantas te 'pi buddhā bhagavantas taṃ bodhisatvaṃ	lokaDAtuzu budDAH BagavantaH te api budDAH BagavantaH tam boDisatvam
   mahāsatvam ārakṣanti mā śrāvakabhūmiṃ vā pratyekabuddhabhūmiṃ vā pated iti	mahA-satvam Arakzanti mA SrAvaka-BUmim vA pratyekabudDa-BUmim vA patet iti
   | ye ca catvāro mahārājā yāvad aghaniṣṭhā devās te 'pi taṃ bodhisatvaṃ	| ye ca catvAraH mahA-rAjAH yAvat aGa-nizWAH devAH te api tam boDisatvam
   mahāsatvamm ārakṣanti mā haiva kaścid bodhisatvasya mahāsatvasyāntarāyaṃ	mahAsatvamm Arakzanti mA ha-eva kaScid boDisatvasya mahAsatvasya-antarAyam
   kārṣīt* ye ca kecit kāyikā rogās te 'pi tasya dṛṣṭe 'pi dharme sarveṇa	kArzIt* ye ca kecid kAyikAH rogAH te api tasya dRzwe api Darme sarveNa
   sarvaṃ na bhavanti | tat kasya hetoḥ tathā hi bodhisatvo mahāsatvaḥ	sarvam na Bavanti | tat kasya hetoH taTA hi boDisatvaH mahAsatvaH
   sarvasatvān maitryā spharati | // evaṃ caraṃc chāradvatīputra bodhisatvo	sarva-satvAt mEtryA sParati | // evam caran SAradvatI-putra boDisatvaH-
   mahāsatvaḥ prajñāpāramitāyāṃ yukta iti vaktavyaḥ //	mahAsatvaH prajQApAramitAyAm yuktaH iti vaktavyaH //
   punar aparaṃ śāradvatīputra bodhisatvasya mahāsatvasya prajñāpāramitāyāṃ	punar aparam SAradvatI-putra boDisatvasya mahA-satvasya prajQApAramitAyAm
   carataḥ alpakṛcchreṇa dhāraṇīmukha samādhimukhāni	carataH alpa-kRcCreNa DAraNImuKa samADi-muKAni
   pratibhānapratisaṃvinmukhāny āmukhībhavanti | // tathāgatāṃś cārhataḥ (LPG	pratiBAna-pratisaMvid-muKAni AmuKIBavanti | // taTAgatAn ca-arhataH (LPG
   26r) samyaksaṃbuddhān ārāgayati | taiś ca buddhair bhagavadbhir na kadācid	26r) samyaksaMbudDAn ArAgayati | tEH ca budDEH BagavadBiH na kadAcid-
   virahito bhavati | yāvad anuttarāṃ samyaksaṃbodhim abhisaṃbudhyate | //	virahitaH Bavati | yAvat anuttarAm samyaksaMboDim aBisaMbuDyate | //
   punar aparaṃ śāradvatīputra bodhisatvasya mahāsatvasya prajñāpāramitāyāṃ	punar aparam SAradvatI-putra boDisatvasya mahA-satvasya prajQApAramitAyAm
   carato naivaṃ bhavati | asti kaścid dharmo yo dharmaiḥ sārdhaṃ saṃyujyate	carataH na-evam Bavati | asti kaScid DarmaH yaH DarmEH sArDam saMyujyate
   vā visaṃyujyate vā | sameti vā na sameti vā | tat kasya hetoḥ | tathā hi	vA visaMyujyate vA | sameti vA na sameti vA | tat kasya hetoH | taTA hi
   sa tad dharmaṃ na samanupaśyati | yo yujyeta vā viyujyeta vā | sameyād vā	sa tat Darmam na samanupaSyati | yaH yujyeta vA viyujyeta vA | sameyAt vA
   na sameyād vā : evaṃ khalu śāradvatīputra bodhisatvo mahāsatvaḥ	na sameyAt vA : evam Kalu SAradvatI-putra boDisatvaH mahAsatvaH
   prajñāpāramitāyāṃ caran yukta iti vaktavyaḥ //	prajQApAramitAyAm caran yuktaH iti vaktavyaH //
   punar aparaṃ śāradvatīputra bodhisatvasya mahāsatvasya prajñāpāramitāyāṃ	punar aparam SAradvatI-putra boDisatvasya mahA-satvasya prajQApAramitAyAm
   carato naivaṃ bhavati * kaccid ahaṃ dharmadhātum abhisaṃbuddhyeya na	carataH na-evam Bavati * kaccit aham DarmaDAtum aBisaMbudDyeya na
   vābhisaṃbudhyeya tat kasya hetor na hi dharmadhātum abhisaṃbuddho	vA-aBisaMbuDyeya tat kasya hetoH na hi DarmaDAtum aBisaMbudDaH-
   nābhisaṃbudhyate | nābhisambhotsyate | evaṃ khalu śāradvatīputra	nABisaMbuDyate | na-aBisamBA-utsyate | evam Kalu SAradvatI-putra
   bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran yukta iti vaktavyaḥ //	boDisatvaH mahAsatvaH prajQApAramitAyAm caran yuktaH iti vaktavyaH //
   punar aparaṃ śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran	punar aparam SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm caran
   na kaṃcid dharmaṃ dharmadhātuvyatiriktaṃ samanupaśyati | evaṃ khalu	na kaMcid Darmam DarmaDAtu-vyatiriktam samanupaSyati | evam Kalu
   śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran yukta iti	SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm caran yuktaH iti
   vaktavyaḥ //	vaktavyaH //
   punar aparaṃ śāradvatīputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran	punar aparam SAradvatI-putra boDisatvaH mahAsatvaH prajQApAramitAyAm caran
   na dharmadhātor dharmāṇāṃ ca nānākaraṇaṃ karoti | //	na DarmaDAtoH DarmANAm ca nAnA-karaNam karoti | //
   punar aparaṃ śāradvatīputra bodhisatvasya mahāsatvasya prajñāpāramitāyāṃ	punar aparam SAradvatI-putra boDisatvasya mahA-satvasya prajQApAramitAyAm
   carato naivaṃ bhavati // dharmadhātuṃ pratividhyeya vā na vā pratividhyeya	carataH na-evam Bavati // DarmaDAtum prativiDyeya vA na vA prativiDyeya
   | tathā hi sa na kaṃcid dharmaṃ samanupaśyati | yena dharmeṇa yo dharmaḥ	| taTA hi sa na kaMcid Darmam samanupaSyati | yena DarmeNa yaH DarmaH
   pratividhyeta tathā hi na sa dharmadhātuṃ śunyam iti yojayati | nāśunyam	prativiDyeta taTA hi na sa DarmaDAtum Sunyam iti yojayati | na-aSunyam
   iti yojayati | evaṃ khalu śāradvatīputra bodhisatvo mahāsatvaḥ	iti yojayati | evam Kalu SAradvatI-putra boDisatvaH mahAsatvaH
   prajñāpāramitāyāṃ caran yukta iti vaktavyaḥ //	prajQApAramitAyAm caran yuktaH iti vaktavyaH //
   (LPG 26v) punar aparaṃ śāradvatīputra bodhisatvo mahāsatvaḥ	(LPu 26v) punar aparam SAradvatI-putra boDisatvaH mahAsatvaH
   prajñāpāramitāyāṃ caran na cakṣurdhātuṃ śunyatayā yojayati | na śunyatāṃ	prajQApAramitAyAm caran na cakzuH-DAtum SunyatayA yojayati | na SunyatAm
   cakṣurdhātunā yojayati | na rūpadhātuṃ śunyatayā yojayati | na śunyatāṃ	cakzuH-DAtunA yojayati | na rUpa-DAtum SunyatayA yojayati | na SunyatAm
   rūpadhātunā yojayati | na cakṣurvijñānadhātuṃ śunyatayā yojayati | na	rUpa-DAtunA yojayati | na cakzuH-vijQAna-DAtum SunyatayA yojayati | na
   śunyatāṃ cakṣurvijñānadhātunā yojayati | evaṃ na śrotradhātuṃ na	SunyatAm cakzuH-vijQAna-DAtunA yojayati | evam na Srotra-DAtum na
   śabdadhātuṃ na śrotravijñānadhātuṃ na ghrāṇadhātuṃ na gandhadhātuṃ na	Sabda-DAtum na Srotra-vijQAna-DAtum na GrANa-DAtum na ganDaDAtum na
   ghrāṇavijñānadhātuṃ na jihvādhātuṃ na rasadhātuṃ na jihvāvijñānadhātum |	GrANa-vijQAna-DAtum na jihvA-DAtum na rasaDAtum na jihvA-vijQAna-DAtum |
   na kāyadhātuṃ na spraṣṭavyadhātuṃ | na kāyavijñānadhātuṃ | yāvan na	na kAya-DAtum na sprazwavya-DAtum | na kAya-vijQAna-DAtum | yAvat na
   manodhātuṃ śunyatayā yojayati | na śunyatāṃ manodhātunā yojayati | na	manaH-DAtum SunyatayA yojayati | na SunyatAm manaH-DAtunA yojayati | na
   dharmadhātuṃ śunyatayā yojayati | na śunyatāṃ dharmadhātunā yojayati | na	DarmaDAtum SunyatayA yojayati | na SunyatAm DarmaDAtunA yojayati | na
   manovijñānadhātuṃ śunyatayā yojayati | na śunyatāṃ manovijñānadhātunā	manaH-vijQAna-DAtum SunyatayA yojayati | na SunyatAm manaH-vijQAna-DAtunA
   yojayati | eṣa hi śāradvatīputra paramo yogo yad uta śunyatāyogaḥ	yojayati | eza hi SAradvatI-putra paramaH yogaH yat uta SunyatA-yogaH
   śunyatāyāṃ śāradvatīputra caran bodhisatvo mahāsatvo na śrāvakabhūmau vā	SunyatAyAm SAradvatI-putra caran boDisatvaH mahAsatvaH na SrAvaka-BUmO vA
   pratyekabuddhabhūmau vā patati | buddhakṣetraṃ ca pariśodhayati | satvāṃś	pratyekabudDa-BUmO vA patati | budDa-kzetram ca pariSoDayati | satva-aM=-
   ca paripācayati | kṣipraṃ cānuttarāṃ samyaksaṃbodhim abhisaṃbudhyate ye	ca paripAcayati | kzipram ca-anuttarAm samyaksaMboDim aBisaMbuDyate ye
   kecic chāradvatīputra yogāḥ prajñāpāramitāyogas teṣām agrya-m-ākhyāyate |	kecid SAradvatI-putra yogAH prajQApAramitA-yogaH tezAm agrya-m-a-AKyAyate |
   śreṣṭha varaḥ pravaraḥ praṇīta-m-ākhyāyate tat kasya hetoḥ anuttara eṣa	SrezWa varaH pravaraH praNIta-m-a-AKyAyate tat kasya hetoH anuttaraH eza
   yogo yad uta prajñāpāramitāyogaḥ śunyatānimittāpraṇihitayoga | evaṃ	yogaH yat uta prajQApAramitA-yogaH SunyatA-nimitta-apraNihita-yogaH | evam
   yujyamānaḥ śāradvatīputra bodhisatvo mahāsatvo vyākṛto vaktavyaḥ	yujyamAnaH SAradvatI-putra boDisatvaH mahAsatvaH vyAkRtaH vaktavyaH
   asannibhūtaś cānuttarāyāḥ samyaksaṃbodheḥ evaṃ yujyamānaḥ (LPG 27r)	asanniBUtaH ca-anuttarAyAH samyaksaMboDeH evam yujyamAnaH (LPu 27r)
   śāradvatīputra bodhisatvo mahāsatvo 'prameyāṇām asaṃkhyeyānāṃ satvānāmm	SAradvatI-putra boDisatvaH mahAsatvaH aprameyANAm asaMKyeyAnAm satvAnAm-m
   arthaṃ karoti na cāsyaivaṃ bhavaty ahaṃ prajñāpāramitāyāṃ yujye 'ti vā	arTam karoti na ca-asya-evam Bavati aham prajQApAramitAyAm yujye ati vA
   viyujye 'ti vā māṃ buddhā bhagavanto vyākariṣyanty aham āsannībhūto	viyujye ati vA mAm budDAH BagavantaH vyAkarizyanti aham AsannIBUtaH-
   vyākaraṇasya // ahaṃ buddhakṣetraṃ pariśodhayiṣyāmi | aham anuttarāṃ	vyAkaraNasya // aham budDa-kzetram pariSoDayizyAmi | aham anuttarAm
   samyaksaṃbodhim abhisaṃbudhya dharmacakraṃ pravartayiṣye | // tat kasya	samyaksaMboDim aBisaMbuDya Darma-cakram pravartayizye | // tat kasya
   hetos tathā hi sa dharmadhātuṃ na vyatirekīkaroti | // na ca dharmadhātoḥ	hetoH taTA hi sa DarmaDAtum na vyatirekIkaroti | // na ca DarmaDAtoH
   kaṃcid anyadharmaṃ samanupaśyati | yaḥ prajñāpāramitāyāṃ cared yo vā	kaMcid anya-Darmam samanupaSyati | yaH prajQApAramitAyAm caret yaH vA
   buddhair bhagavadbhir vyākṛyeta | yo vānuttarāṃ samyaksaṃbodhim	budDEH BagavadBiH vyAkRyeta | yaH vA-anuttarAm samyaksaMboDim
   abhisaṃbudhyeta : tat kasya hetoḥ tathā hi tasya bodhisatvasya	aBisaMbuDyeta : tat kasya hetoH taTA hi tasya boDisatvasya
   mahāsatvasya prajñāpāramitāyāṃ carato na satvasaṃjñotpadyate | na	mahAsatvasya prajQApAramitAyAm carataH na satva-saMjQA-utpadyate | na
   jīvasaṃjñā na pudgalasaṃjñā na jānakapaśyakakārakavedakasaṃjñotpadyate |	jIva-saMjQA na pudgala-saMjQA na jAnaka-paSyaka-kAraka-vedaka-saMjQA-utpadyate |
   // tat kasya hetoḥ tathā hy atyantaṃ satvo nopalabhyate na nirudhyate | na	// tat kasya hetoH taTA hi atyantam satvaH na-upalaByate na niruDyate | na
   hi satvasyotpādo na nirodhaḥ yasya ca notpādo na nirodhaḥ kathaṃ sa	hi satvasya-utpAdaH na niroDaH yasya ca na-utpAdaH na niroDaH kaTam sa
   prajñāpāramitāyāṃ cariṣyati | evaṃ caraṃc chāradvatīputra bodhisatvo	prajQApAramitAyAm carizyati | evam caran SAradvatI-putra boDisatvaH-
   mahāsatvaḥ satvānutpādatayā prajñāpāramitāyāṃ carati | satvaśunyatayā	mahAsatvaH satva-anutpAda-tayA prajQApAramitAyAm carati | satva-SunyatayA
   prajñāpāramitāyāṃ carati | satvānupalabdhyā satvaviviktatayā satvaprakṛtyā	prajQApAramitAyAm carati | satva-anupalabDyA satva-vivikta-tayA satva-prakRtyA
   | satvāsvabhāvatayā prajñāpāramitāyāṃ carati | eṣa śāradvatīputra	| satva-asvaBAva-tayA prajQApAramitAyAm carati | eza SAradvatI-putra
   bodhisatvānāṃ mahāsatvānāṃ paramo yogo yad uta śunyatāyogaḥ ayaṃ	boDisatvAnAm mahAsatvAnAm paramaH yogaH yat uta SunyatA-yogaH ayam
   śāradvatīputra bodhisatvasya mahāsatvasya prajñāpāramitāyāṃ carataḥ paramo	SAradvatI-putra boDisatvasya mahAsatvasya prajQApAramitAyAm carataH paramaH-
   yogaḥ yas tadanyān yogān abhibhūya tiṣṭhati | atra ca śāradvatīputra yoge	yogaH yaH tad-anyAn yogAn aBiBUya tizWati | atra ca SAradvatI-putra yoge
