   // āyurvedamahodadhiḥ //	// Ayurveda-mahA-udaDiH //
   annapānavidhiḥ	anna-pAna-viDiH
   snigdhaṃ svedanavṛṣyaśītabalakṛd hṛdrogasaṃvardhakam /	snigDam svedana-vRzya-SIta-bala-kRt hRd-roga-saMvarDakam /
   kāsaśvāsaharaṃ pramehaśamanaṃ hikkāniladhvaṃsakaṃ	kAsa-SvAsa-haram prameha-Samanam hikkA-anila-DvaMsakam
   cākṣuṣya tu vidāhi ca bhramaharaṃ vārāhamāṃsaṃ sadā // 33 //	cAkzuzya tu vidAhi ca Brama-haram vArAha-mAMsam sadA // 33 //
   atha śaṅkhakūrmādiguṇāḥ //	aTa SaFKa-kUrma-Adi-guNAH //
   śaṅkhakūrmādayaḥ svādurasapākā marutpradāḥ /	SaFKa-kUrma-AdayaH svAdu-rasa-pAkAH marut-pradAH /
   snigdhāḥ śītā hitāḥ pitte varcaḥśleṣmavivardhanāḥ // 34 //	snigDAH SItAH hitAH pitte varcaH-Slezma-vivarDanAH // 34 //
   kṛṣṇakarkaṭakas teṣāṃ balyaḥ ko (so)ṣṇo 'nilāpahaḥ /	kRzNakarkawakaH tezAm balyaH kaH (so)zNaH anila-apahaH /
   śuklaḥ sandhānakṛtsṛṣṭaviṇmūtro 'nilapittahā // 35 //	SuklaH sanDAna-kRt-sRzwa-viz-mUtraH anila-pitta-hA // 35 //
   (Ap 92)	(Ap 92)
   atha matsyaguṇāḥ //	aTa matsya-guNAH //
   nādeyā madhurā matsyā guravo māndyatāpahāḥ /	nAdeyAH maDurAH matsyAH guravaH mAndya-ta-apahAH /
   raktapittakarāḥ soṣṇā vṛṣyāḥ snigdhālpavarcasaḥ // 36 //	rakta-pitta-karAH sa-uzNAH vRzyAH snigDa-alpa-varcasaH // 36 //
   kaṣāyānurasas teṣāṃ śiṣyaḥ (śreṣṭhaḥ) śaivālabhojanaḥ /	kazAya-anurasaH tezAm SizyaH (SrezWaH) SEvAla-BojanaH /
   rohito mārutaharo nātyarthaṃ pittakopanaḥ // 37 //	rohitaH mAruta-haraH na-atyarTam pitta-kopanaH // 37 //
   matsyā dvedhā dudvapannedvambu (?) jātās	matsyAH dveDA dudvapanna-idu-ambu (?) jAtAs
   tasmāt pūrve pañcadhā kalpanīyāḥ //	tasmAt pUrve paQcaDA kalpanIyAH //
   nadyāḥ kaupāḥ sārasā vaidyutotthās tāḍāgotthāḥ sāgarotthās tathā syuḥ //	nadyAH kOpAH sArasAH vEdyuta-utTAH tAxAga-utTAH sAgara-utTAH taTA syuH //
   atha ṛtubhedena matsyaviśeṣāṇāṃ hitatvam //	aTa Rtu-Bedena matsya-viSezANAm hita-tvam //
   ṛtuḥ prabhai (ṛtau madhau) nirjhariṣu prajātā	RtuH praBEH (RtO maDO) nirJarizu prajAtA
   matsyā hitā grīṣmaṛtau ca caudyāḥ /	matsyAH hitAH grIzma-RtO ca cOdyAH /
   taḍāgajāḥ prāvṛṣi sarva eva snigdhā baliṣṭāś ca sṛjanti doṣān // 39 //	taxAga-jAH prAvRzi sarve eva snigDAH balizwAH ca sRjanti dozAn // 39 //
   śarady ṛtau nirjari (rjhara ?) jāś ca kūpajā	Saradi RtO nirjari (rJara ?) jAH ca kUpa-jA
   hitā hi matsyāḥ śiśire 'bdhijātāḥ //	hitAH hi matsyAH SiSire abDijAtAH //
   (śiśire sārasā matsyā vasante hṛdasaṃbhavāḥ /	(SiSire sArasAH matsyAH vasante hRd-asaMBavAH /
   grīṣme tu cauṇḍyajā matsyāḥ prāvṛṭkāle taḍāgajāḥ // 40 //	grIzme tu cONxya-jAH matsyAH prAvRz-kAle taxAga-jAH // 40 //
   śaradi nairjharā matsyāḥ hemante kūpasaṃbhavāḥ)	Saradi nErJarAH matsyAH hemante kUpa-saMBavAH)
   ṣaṭkulo nadikāvarto grahī laghutaraḥ smṛtaḥ (?) /	zawkulaH nadikAvartaH grahI laGutaraH smRtaH (?) /
   (Ap 93)	(Ap 93)
   atha sthānānusāreṇa matsyānāṃ guṇāḥ //	aTa sTAna-anusAreNa matsyAnAm guNAH //
   saras taḍāgasaṃbhūtāḥ snigdhāḥ svādurasāḥ smṛtāḥ // 41 //	saraH taxAga-saMBUtAH snigDAH svAdu-rasAH smRtAH // 41 //
   kauṣyā vṛṣyā vātahṛcchleṣmalāś ca gulmāṣṭhīlānāhakuṣṭhapradāḥ syuḥ /	kOzyAH vRzyAH vAta-hRt-SlezmalAH ca gulma-azWIlA-AnAha-kuzWa-pradAH syuH /
   tāḍāgamatsyo gurubṛhaṇīyaḥ tathā ca śīto vṛṣado 'timūtraḥ /	tAxAga-matsyaH guru-bRhaNIyaH taTA ca SItaH vRzadaH ati-mUtraH /
   tāḍāgavannirjharajāś ca medhyā cattū (?) sthirāyuṣyabalapradāś ca // 43 //	tAxAga-vat-nirJara-jAH ca meDyA cattU (?) sTira-Ayuzya-bala-pradAH ca // 43 //
   mama tadaśru (mahāsarassu) balinaḥ svalpāmbhas svabalā matāḥ /	mama tat-aSru (mahA-sarassu) balinaH su-alpa-amBaH sva-balAH matAH /
   sāmudro gurur uṣṇarūkṣamadhuraḥ śleṣmalo vātahā syāt (śleṣmāghiko vātahā)	sAmudraH guruH uzNa-rUkza-maDuraH SlezmalaH vAta-hA syAt (Slezma-aGikaH vAta-hA)
   sa snehābhivivardhano ba(la)karo viṣṭambhakādhmānakṛt /	sa sneha-aBivivarDanaH ba(la)karaH vizwamBaka-ADmAna-kRt /
   pittodrekakaphātyayeṣu vihito medhyo 'tihṛdyaḥ sadā	pitta-udreka-kaPa-atyayezu vihitaH meDyaH ati-hRdyaH sadA
   viṣṭambhaṃ janayec ca śītapavanavyāpādam atyagrataḥ // 44 //	vizwamBam janayet ca SIta-pavana-vyApAdam atyagratas // 44 //
   tridoṣaśamano hṛdyaḥ pittaghnaḥ pavanāpahaḥ /	tridoza-SamanaH hRdyaH pitta-GnaH pavana-apahaH /
   sāmudro rohitaḥ śastaḥ sarvarogeṣu dīpanaḥ // 45 //	sAmudraH rohitaH SastaH sarva-rogezu dIpanaH // 45 //
   sāmudrā guravaḥ snigdhā madhurā nātipittalāḥ /	sAmudrAH guravaH snigDAH maDurAH na-ati-pittalAH /
   uṣṇā vātaharā vṛṣyā varcasyā śleṣmavardhanāḥ // 46 //	uzNA vAta-harAH vRzyAH varcasyA Slezma-varDanAH // 46 //
   balāvahā viśeṣeṇa māṃsāśitrā (tvāt) t samudrajāḥ /	bala-AvahAH viSezeNa mAMsa-aSitrAH (tvAt) t samudra-jAH /
   sāmudrajebhyo nādeyāḥ syur laghutvād guṇottarāḥ // 47 //	sAmudra-jeByaH nAdeyAH syuH laGu-tvAt guNa-uttarAH // 47 //
   tato 'py atyanalatvāc ca caudyakaupyau guṇottarau /	tatas api ati-anala-tvAt ca cOdya-kOpyO guNa-uttarO /
   snigdhatvāt svādupākatvāt tato vāpyā guṇādhikāḥ // 48 //	snigDa-tvAt svAdu-pAka-tvAt tatas vApyAH guNa-aDikAH // 48 //
   (Ap 94)	(Ap 94)
   atha krakarādīnāṃ guṇāḥ //	aTa krakara-AdInAm guNAH //
   viṣṭambhādhmānamehaghnaḥ krakaraḥ kaphavātahṛt /	vizwamBa-ADmAna-meha-GnaH krakaraH kaPa-vAta-hRt /
   medaḥśleṣmānilaharo hidhmādhmānavikārahā // 49 //	medaH-Slezma-anila-haraH hiDmA-ADmAna-vikAra-hA // 49 //
   pravaro rohito matsyaḥ pittaghnaḥ pavanāpahaḥ /	pravaraH rohitaH matsyaH pitta-GnaH pavana-apahaH /
   bṛṃhaṇo vātaśamano vātaghno dīpano laghuḥ // 50 /	bRMhaNaH vAta-SamanaH vAta-GnaH dIpanaH laGuH // 50 /
   matsyānāṃ ca guruḥ śreṣṭho dīpano vātanāśanaḥ /	matsyAnAm ca guruH SrezWaH dIpanaH vAta-nASanaH /
   rucipradaḥ śukrakara āśmarīdoṣanāśanaḥ // 51 //	ruci-pradaH Sukra-karaH ASmarI-doza-nASanaH // 51 //
   gurumatsyaḥ //	guru-matsyaH //
   śṛṅgī vātavināśano rucikaro vṛṣyaḥ kaphaghno mataḥ	SRFgI vAta-vinASanaH ruci-karaH vRzyaH kaPa-GnaH mataH
   kaṇṭāko viśado vṛṣānalakaro vāte kaphe pūjitaḥ /	kaNwAkaH viSadaH vRza-anala-karaH vAte kaPe pUjitaH /
   pāṭhīno balavṛṣyaśukrajananaḥ śleṣmākaro nityaśaḥ	pAWInaH bala-vRzya-Sukra-jananaH Slezma-AkaraH nityaSas-
   tasmād rohitako hito balakaro vātātmakaḥ śleṣmalaḥ // 52 //	tasmAt rohitakaH hitaH bala-karaH vAta-AtmakaH SlezmalaH // 52 //
   // iti mātsyāḥ //	// iti mAtsyAH //
   // ity āyurvedamahodadhau suṣeṇakṛte māṃsavargaḥ //	// iti Ayurveda-mahodaDO suzeNa-kRte mAMsa-vargaH //
   // idānīṃ vyāyāmodvartanābhyaṅgavidhiguṇāḥ kathyante //	// idAnIm vyAyAma-udvartana-aByaFga-viDi-guNAH kaTyante //
   śrīnārāyaṇatailacampakajapātailena cānyena vā	SrI-nArAyaNa-tEla-campaka-japA-tElena ca-anyena vA
   kāryaṃ mardanakovidaiḥ kṣitibhujāṃ mallaiḥ sadā mardanam /	kAryam mardana-kovidEH kzitiBujAm mallEH sadA mardanam /
   cāturjātalavaṅgakuṅkumaniśāmustāsumāṃsībhavaiś	cAturjAta-lavaFga-kuFkuma-niSA-mustA-asumAMsI-BavEH-
   cūrṇo (rṇaiḥ) bhṛṣṭamasūramudgasahitair udvartanaṃ kārayet // 1 //	cUrNaH (rNEH) BRzwa-masUra-mudga-sahitEH udvartanam kArayet // 1 //
   vātaghnauṣadhasiddhena tailenābhyajya mardayet /	vAta-Gna-OzaDa-sidDena tElena-aByajya mardayet /
   na rūkṣamardanaṃ kuryāt tad dhi vātaprakopaṇam // 2 //	na rUkza-mardanam kuryAt tat Di vAta-prakopaNam // 2 //
   (Ap 95)	(Ap 95)
   adhigatasukhanidraḥ suprasannendriyātmā	aDigata-suKa-nidraH su-prasanna-indriya-AtmA
   sulaghujaṭharavṛttir bhuktayaṅktiṃ dadhānaḥ /	su-laGu-jaWara-vRttiH Bukta-yaFktim daDAnaH /
   śramabharaparikhinnaḥ snehasaṃmarditāṅgaḥ	Srama-Bara-pariKinnaH sneha-saMmardita-aFgaH
   savanagurum upeyād bhūpātir mardanāya (?) // 3 //	savana-gurum upeyAt BUpAtiH mardanAya (?) // 3 //
   abhyaṅgaḥ śramavātahā balakaraḥ kāyasya dārḍhyāvahaḥ	aByaFgaH Srama-vAta-hA bala-karaH kAyasya dArXya-AvahaH
   syād udvartanam aṅgakāntikaraṇaṃ medaḥkaphālasyajit /	syAt udvartanam aFga-kAnti-karaNam medaH-kaPa-Alasyajit /
   āyuṣyaṃ hṛdayaprasādi vapuṣaḥ kaṇḍūklamacchardikṛt (chedakṛt)	Ayuzyam hRdaya-prasAdi vapuzaH kaNxU-klama=-Cardi-kRt (Ceda-kRt)
   snānād eva yathartu sevitam idaṃ śītair aśītair jalaiḥ // 4 //	snAnAt eva yaTartu sevitam idam SItEH aSItEH jalEH // 4 //
   atha vyāyāmaguṇāḥ //	aTa vyAyAma-guNAH //
   sāmarthyaṃ sakalakriyāsu laghutām aṅgeṣu dīptiṃ parāṃ	sAmarTyam sakala-kriyAsu laGu-tAm aFgezu dIptim parAm
   agneḥ pāṭavam indriyeṣu laghutāṃ chedaṃ paraṃ medasaḥ /	agneH pAwavam indriyezu laGu-tAm Cedam param medasaH /
   utsāhaṃ manasaḥ śarīradṛḍhatāṃ śāntiṃ balād vyāpadāṃ	utsAham manasaH SarIra-dRXa-tAm SAntim balAt vyApadAm
   cyāyāmaḥ śiśire vasantasamaye kuryād dhime sevitaḥ // 5 //	cyAyAmaH SiSire vasanta-samaye kuryAt Dime sevitaH // 5 //
   atha vyāyāmavarjyoḥ //	aTa vyAyAma-varjyoH //
   vātāmayaḥ pittarujānvitāś ca bālo 'tivṛddho 'pi kṛśo 'tijīrṇaḥ (py	vAta-AmayaH pitta-rujA-anvitAH ca bAlaH ati-vRdDaH api kRSaH ati-jIrNaH (pi-
   arjārṇī) /	arjArNI) /
   mandānalaḥ snigdharasānnavarjī vyāmāmakāleṣu vivarjanīyāḥ // 6 //	manda-analaH snigDa-rasa-anna-varjI vyAma-Ama-kAlezu vivarjanIyAH // 6 //
   sthālyāṃ yathānāvaraṇīkṛtāyāṃ asaṃhitāyāṃ na ca sādhupākaḥ /	sTAlyAm yaTA-anAvaraNIkRtAyAm asaMhitAyAm na ca sADu-pAkaH /
   anāptanidrasya tathā narendrāḥ vyāyāmahīnasya na cānupākaḥ // 7 //	anApta-nidrasya taTA narendrAH vyAyAma-hInasya na ca-anupAkaH // 7 //
   (Ap 96)	(Ap 96)
   atha pādamardanaguṇāḥ //	aTa pAda-mardana-guNAH //
   vātavyādhiharaṃ kaphapraśamanaṃ kāntiprasādāvahaṃ	vAta-vyADi-haram kaPa-praSamanam kAnti-prasAda-Avaham
   tvagvaivarṇyavināśanaṃ rucikaraṃ sarvāṅgadārḍhyapradam /	tvac-vEvarNya-vinASanam ruci-karam sarva-aFga-dArXya-pradam /
   agner dīptikaraṃ balopajananaṃ prasvedamedo 'pahaṃ	agneH dIpti-karam bala-upajananam prasveda-medaH apaham
   padbhayāṃ mardanam ādiśanti munayaḥ śreṣṭhaṃ sadā prāṇinām // 8 //	pad-BayAm mardanam AdiSanti munayaH SrezWam sadA prANinAm // 8 //
   atha pādamardanavarjyāḥ //	aTa pAda-mardana-varjyAH //
   sukumārasya mandāgneḥ kiṃcit kṣīṇabalasya ca /	sukumArasya manda-agneH kiMcid kzINa-balasya ca /
   pittalasyāpi no kāryaṃ kadācit pādamardananam // 9 //	pittalasya-api no kAryam kadAcid pAda-mardananam // 9 //
   vyāyāmasvinnagātrasya padbhayāṃ mardanitasya ca /	vyAyAma-svinna-gAtrasya pad-BayAm mardanitasya ca /
   vyādhayo nopasarpanti vainateyam ivoragāḥ // 10 //	vyADayaH na-upasarpanti vEnateyam iva-uragAH // 10 //
   suvarṇavarṇaṃ kurute śarīraṃ dṛḍhatvam aṅge ca dadāti sadyaḥ /	suvarNa-varNam kurute SarIram dRXa-tvam aFge ca dadAti sadyas /
   sarvakriyālāghavam ātanoti saṃmardanaṃ mallavaraiḥ kṛtaṃ yat // 11 //	sarva-kriyA-lAGavam Atanoti saMmardanam malla-varEH kRtam yat // 11 //
   vātavyādhiṃ jayati kurute .......... /	vAta-vyADim jayati kurute .......... /
   sarvapate mama caiṣa sagras tasyā sa eva samayaḥ kṣudhito padaiva // 12 //	sarva-pate mama ca-eza sagraH tasyAH saH eva samayaH kzuDitaH padA-eva // 12 //
   yaḥ kṣaudhyalobhyabhāvena kuryād āha ca bhojanam /	yaH kzODya-loBya-BAvena kuryAt Aha ca Bojanam /
   suptavyālāṃ nilāvyādhīn dhyādīn so 'nyathā yaḥ prabodhatet // 13 //	supta-vyAlAm nilAvya-aDIn DyA-AdIn saH anyaTA yaH praboDatet // 13 //
   yaḥ kokavanyamadgākāmi sa naktaṃ bhoktum arhati /	yaH koka-vanyamadgAkAmi sa naktam Boktum arhati /
   saṃbhoktā vāsareyaś ca rātraur etāś cakoravat (?) // 14 //	saMBoktA vAsareyaH ca rAtrOH etAH cakora-vat (?) // 14 //
   (Ap 97)	(Ap 97)
   atha bhojananiyamāḥ //	aTa Bojana-niyamAH //
   hṛnnābhipadmasaṃkocaś caṇḍarocer apāyataḥ /	hRd-nABi-padma-saMkocaH caNxa-roceH apAyataH /
   ato naktaṃ na bhoktavyaṃ vaidyavidyāvidāṃ varaiḥ // 15 //	atas naktam na Boktavyam vEdya-vidyA-vidAm varEH // 15 //
   devārcāṃ bhojanaṃ nidrām ākāśe na prakalpayet /	deva-arcAm Bojanam nidrAm AkASe na prakalpayet /
   nāndhakāre ca sandhyāyāṃ nāvitāne niketane // 16 //	na-anDakAre ca sanDyAyAm na-avitAne niketane // 16 //
   bhuktau svāde malotsarge yaḥ saṃbādhāsamākulaḥ /	BuktO svAde mala-utsarge yaH saMbADa-asamAkulaH /
   niḥśaṅkatvātyayāt tasya kokanasyūrmadāpamāḥ (?) //	niHSaFka-tvA-atyayAt tasya kokanasyUH-ma-dA-apamAH (?) //
   vivarṇāsvinnaviklinnavigandhivirasasthiti /	vivarNAsvinna-viklinna-viganDi-virasa-sTiti /
   atijīrṇam asātmyaṃ ca nādyād annaṃ ca vāritam // 18 //	ati-jIrNam asAtmyam ca na-adyAt annam ca vAritam // 18 //
   bhuktvā varjyāni //	BuktvA varjyAni //
   kā (bhā) sakāpotapāyasayānavāhabahupayaḥ (hūdakam) /	kA (BA) sa-kApota-pAyasa-yAna-vAha-bahu-payaH (hu-udakam) /
   bhojanānantaraṃ sevyaṃ na jātu hitam icchatā // 19 //	Bojana-anantaram sevyam na jAtu hitam icCatA // 19 //
   bhojanavidhiḥ //	Bojana-viDiH //
   hitaṃ parimitaṃ pakvaṃ netranāsārasapriyam /	hitam parimitam pakvam netra-nAsA-rasa-priyam /
   parīkṣitaṃ ca bhuñjīta na drutaṃ na vilambitam // 20 //	parIkzitam ca BuQjIta na drutam na vilambitam // 20 //
   atyaśanamadhyaśanaṃ	ati-aSanam-aDyaSanam
   śamanamaśataṃ (samaśanaviṣam āśanaṃ) ca saṃtyājyam /	Samanam-aSatam (samaSana-vizam ASanan) ca saMtyAjyam /
   kuryād yac choktaśamanaṃ	kuryAt yat Sokta-Samanam
   balajīvitapeśalaṃ kramaśaḥ (?) // 21 //	bala-jIvita-peSalam kramaSas (?) // 21 //
   (Ap 98)	(Ap 98)
   bhojanakramaḥ //	Bojana-kramaH //
   ādau svādu snigdhaṃ tanmadhye lavalamalāpū (lavaṇam amlam u)pabhojyam /	AdO svAdu snigDam tad-maDye lavala-mala-apU (lavaNam amlam u)pa-Bojyam /
   rūkṣaṃ dravaṃ ca paścān na ca bhukte bhakṣayet kvacit kiṃcit // 22 //	rUkzam dravam ca paScAt na ca Bukte Bakzayet kvacid kiMcid // 22 //
   agneś cāturvidhyam //	agneH cAturviDyam //
   madhus tikto (mandas tīkṣṇo) viṣamaḥ	maDuH tiktaH (mandaH tIkzNo) vizamaH
   samaś ca vahniś caturvidhaḥ puṃsām /	samaH ca vahniH caturviDaH puMsAm /
   laghu mande gurus tiktaṃ (tīkṣṇe)	laGu mande guruH tiktam (tIkzNe)
   tvad yād viṣame samaṃ same 'py adyāt // 23 //	tvat yAt vizame samam same api adyAt // 23 //
   atha bhojanasaṅkhayāprastāvaḥ //	aTa Bojana-saFKayA-prastAvaH //
   jīryaty annaṃ sukhaṃ bhuktam ekavāraṃ yad ṛcchayā /	jIryati annam suKam Buktam eka-vAram yat RcCayA /
   dvikālam api bhuñjīta samāgnis tv ardhamātrayā // 24 //	dvi-kAlam api BuQjIta sama-agniH tu arDa-mAtrayA // 24 //
   kaṭhinaṃ durjaraṃ yac ca yad vidāhakāṃ bhavet /	kaWinam durjaram yat ca yat vidAhakAm Bavet /
   tat sarvaṃ niśi varjyaṃ syād dravaṃ laghu ca śīlayet // 25 //	tat sarvam niSi varjyam syAt dravam laGu ca SIlayet // 25 //
   atha viṣadūṣitānnaparīkṣā //	aTa viza-dUzita-anna-parIkzA //
   dhvāṅkṣaḥ svarān vikurute 'tra pikāṃtyakaś ca (?)	DvAFkzaH svarAn vikurute atra pikAMtyakaH ca (?)
   babhruḥ śikhaṇḍitanayaḥ prabhavet prahṛṣṭaḥ /	baBruH SiKaNxita-nayaH praBavet prahRzwaH /
   (Ap 99)	(Ap 99)
   krauñcaḥ pramodati virauti ca tāmracūḍaḥ	krOQcaH pramodati virOti ca tAmracUxaH
   chardiṃ śukaḥ pratanute dahate kapiś ca // 26 //	Cardim SukaH pratanute dahate kapiH ca // 26 //
   raktaśvete cakorasya locane viṣadarśanāt /	rakta-Svete cakorasya locane viza-darSanAt /
   gatiś ca lakṣi (skhalati) haṃsasya līyante cātra makṣikāḥ // 27 //	gatiH ca lakzi (sKalati) haMsasya lIyante ca-atra makzikAH // 27 //
   yathā lavaṇasaṃparkāt sphuṭasphuṭati pāvakaḥ /	yaTA lavaNa-saMparkAt sPuwa-sPuwati pAvakaH /
   keṣu (viṣa) duṣṭānnasaṃparkas tathā ca supratīyate // 28 //	kezu (viza) duzwa-anna-saMparkaH taTA ca supratIyate // 28 //
   mayā suṣeṇa kṛtaṃ hitāya prāṇaṃ prasādaṃ tanayec ca (?) śīghram //	mayA suzeNa kRtam hitAya prANam prasAdam tanayet ca (?) SIGram //
   ity āyurvedamahodadhau suṣeṇakṛte bhojanavidhivargaḥ //	iti Ayurveda-mahodaDO suzeNa-kRte Bojana-viDi-vargaH //
   atha tāmbūlaguṇāḥ kathyante //	aTa tAmbUla-guNAH kaTyante //
   karpūrakaṅkolalavaṅgapūgājātīphalair nāgarakhaṇḍaparṇaiḥ /	karpUra-kaFkola-lavaFga-pUgA-jAtI-PalEH nAgara-KaNxa-parNEH /
   sudhāśmacūrṇaṃ khadirasya sāraṃ kastūrikācandanacūrṇamiśram // 1 //	suDA-aSma-cUrNam Kadirasya sAram kastUrikA-candana-cUrNa-miSram // 1 //
   tāmbūlam etat pravaraṃ vadanti saubhāgyadaṃ kāntisukhapradaṃ ca /	tAmbUlam etat pravaram vadanti sOBAgya-dam kAnti-suKa-pradam ca /
   ārogyamedhāsmṛtibuddhivṛddhiṃ karoti vahner api dīpanaṃ ca // 2 //	Arogya-meDA-smRti-budDi-vRdDim karoti vahneH api dIpanam ca // 2 //
   anaṅgasaṃdīpanabhāvamadhye pradhānam etat samudāharanti /	anaFga-saMdIpana-BAva-maDye praDAnam etat samudAharanti /
   (Ap 100)	(Ap 100)
   ato hi sarvaṃ(rve) sukhino manuṣyā aharniśaṃ prītikaraṃ bhajante // 3 //	atas hi sarvaM(rve) suKinaH manuzyAH aharniSam prIti-karam Bajante // 3 //
   tāmbūlapatrāṇi haranti vātaṃ pūgīphalaṃ hanti kaphaprasekam /	tAmbUla-patrANi haranti vAtam pUgI-Palam hanti kaPa-prasekam /
   cūrṇaṃ nihanyāt kaphavātam uccair hanyāc ca pittaṃ khadirasya sāraḥ // 4	cUrNam nihanyAt kaPa-vAtam uccEs hanyAt ca pittam Kadirasya sAraH // 4
   itthaṃ hi tāmbūlam udāharanti doṣatrayasyāpi nivāraṇāya /	itTam hi tAmbUlam udAharanti dozatrayasya-api nivAraNAya /
   ato 'tra seveta naraḥ kathañcid vicakṣaṇaḥ prākṛtamānuṣo 'pi // 5 //	atas atra seveta naraH kaTaQcid vicakzaNaH prAkRta-mAnuzaH api // 5 //
   atha tāmbūlavarjyāḥ //	aTa tAmbUla-varjyAH //
   na netraroge na ca raktapitte kṣate ca dīpe na viṣe na śoṣe /	na netra-roge na ca raktapitte kzate ca dIpe na vize na Soze /
   madātyaye nāpi na mohamūrchāśvāseṣu tāmbūlam uśanti vaidyāḥ // 5 //	madAtyaye na-api na moha-mUrCA-SvAsezu tAmbUlam uSanti vEdyAH // 5 //
   atha tāmbūlakālaniyamaḥ //	aTa tAmbUla-kAla-niyamaH //
   bhuktvānnaṃ salilaṃ pītvā bhuktvā ca bahu bhojanam /	BuktvA-annam salilam pItvA BuktvA ca bahu Bojanam /
   pratīkṣya ghaṭikām ekāṃ tāmbūlaṃ bhakṣayen naraḥ // 6 //	pratIkzya GawikAm ekAm tAmbUlam Bakzayet naraH // 6 //
   (Ap 101)	(Ap 101)
   atha jātīphalaguṇāḥ //	aTa jAtIPala-guNAH //
   vātaśleṣmapraśamanaṃ hṛdyaṃ vahneś ca dīpanam /	vAta-Slezma-praSamanam hRdyam vahneH ca dIpanam /
   mukhavairasyaharaṇaṃ sadyo bhuktavipācanam // 7 //	muKa-vErasya-haraNam sadyas Bukta-vipAcanam // 7 //
   jātīphalaṃ pācanam agnidīpanaṃ kaphāpahaṃ kaṇṭharujāpahaṃ ca /	jAtIPalam pAcanam agni-dIpanam kaPa-apaham kaNWa-rujA-apaham ca /
   rasekaduḥ (prasekaha) śreṣṭham ajīrṇanāśe ajīrṇanāmu (?) ca pathyam etat	rasekaduH (praseka-ha) SrezWam ajIrNa-nASe ajIrNanAmu (?) ca paTyam etat-
   kalikā dīpanī rucyā pāke cātitarāṃ himā /	kalikA dIpanI rucyA pAke ca-atitarAm himA /
   vātapittakaphān hanti jvaracchardinibarhaṇī // 9 //	vAta-pitta-kaPAn hanti jvara=-Cardi-nibarhaNI // 9 //
   athailāguṇāḥ //	aTa-elA-guNAH //
   elādvayaṃ chardiṣu mūtrakṛcchre made ca vai pathyam arocake ca /	elA-dvayam Cardizu mUtrakRcCre made ca vE paTyam arocake ca /
   atha jātipatrīguṇāḥ //	aTa jAti-patrI-guNAH //
   svāduḥ suśītā madhurā ca pāke arocakaṃ hanti ca jātipatrī // 10 //	svAduH suSItA maDurA ca pAke arocakam hanti ca jAti-patrI // 10 //
   atha kramukapākakālaniyamaḥ //	aTa kramuka-pAka-kAla-niyamaH //
   tāmbūlayogyaṃ kramukaṃ tu tajjñā māsatrayād ūrdhvam udāharanti /	tAmbUla-yogyam kramukam tu tad-jQAH mAsa-trayAt UrDvam udAharanti /
   māse vyatīte tu bhavanti pūrṇāny atīva hṛdyāni manoharāṇi // 11 //	mAse vyatIte tu Bavanti pUrNAni atIva hRdyAni manoharANi // 11 //
   (Ap 102)	(Ap 102)
   atha kramukatāmbūlaviśeṣāṇāṃ guṇaviśeṣāḥ //	aTa kramuka-tAmbUla-viSezANAm guNa-viSezAH //
   sthūlaṃ kramukatāmbūlaṃ śleṣmalaṃ kṛmivardhanam /	sTUlam kramuka-tAmbUlam Slezmalam kRmi-varDanam /
   tadante śuklavarṇādyaṃ śleṣmalaṃ kṛmināśanam // 12 //	tad-ante Sukla-varNa-Adyam Slezmalam kRmi-nASanam // 12 //
   atha karpūraguṇāḥ //	aTa karpUra-guNAH //
   tīkṣṇoṣṇaḥ pariṇāmaśītalataraḥ kaṇḍupramehāpahaḥ	tIkzNa-uzNaH pariNAma-SItalataraH kaNxu-prameha-apahaH
   nāsāsrāvajalāpahaḥ kṛmiharas tṛṭśvāsakāsaṃ jayet /	nAsA-srAva-jala-apahaH kRmi-haraH tRz-SvAsa-kAsam jayet /
   śleṣmaghnaś ca galagrahāpaharaṇaḥ saṃsuptajihvāgrajit	Slezma-GnaH ca galagraha-apaharaNaH saMsupta-jihvA-agra-jit-
   karpūraḥ khalu dīpyasaurabhaguṇaḥ pittāmayaḥ sphāṭikaḥ //	karpUraH Kalu dIpya-sOraBa-guNaH pitta-AmayaH sPAwikaH //
   galagrahe suptajihve nānā śrāva (nāsāsrāva) jalādhike /	galagrahe supta-jihve nAnA SrAvaH (nAsA-srAva) jala-aDike /
   śleṣmamehakṛmīn hanti karpūraś cākṣuṣo 'paraḥ //	Slezma-meha-kRmIn hanti karpUraH cAkzuzaH aparaH //
   pramehatṛiḍvidāhaghno lakṣmīsaubhāgyavardhanaḥ // 16 //	prameha-tRixvidAha-GnaH lakzmI-sOBAgya-varDanaH // 16 //
   atha kastūriguṇāḥ //	aTa kastUri-guNAH //
   kastūrī saurabhāḍhyā kaṭukarasayutā kṣāratiktā kaṣāyā	kastUrI sOraBa-AXyA kawuka-rasa-yutA kzAratiktA kazAyA
   śokāṭopāpahantrī kaphapavanaharā pittakṛccākṣuṣī ca /	Soka-Awopa-apahantrI kaPa-pavana-harA pitta-kRt-cAkzuzI ca /
   cittaprollāsahetur viṣamaviṣagarān gātradaurgandhyahantrī	citta-prollAsa-hetuH vizama-vizagarAn gAtra-dOrganDya-hantrI
