   Prajñāpāramitopadeśaśāstre	PrajQApAramita upadeSa SAstre
   bodhisattvamāśrayante mahāsamudramiva nadya iti /	boDisattvam ASrayante mahA samudram iva nadyaH iti /
   7   ānantaryasamādhiḥ (mūrdhaprayogaḥ)	7  Anantarya samADiH (mUrDa prayogaH)
   bhāvanāmārgānantaramānantaryamārgamāha  	BAvanA mArga anantaram Anantarya mArgam Aha  
   trisāhasrajanaṃ śiṣyakhaḍgādhigamasaṃpadi /	tri sAhasra janam Sizya Kaxga aDigama saMpadi /
   bodhisattvasya ca nyāme pratiṣṭhāpya śubhopamāḥ // Abhis_5.37 //	boDisattvasya ca nyAme pratizWApya SuBa upamAH // ABiH _5.37 //
   kṛtvā puṇyabahutvena buddhatvāpteranantaraḥ /	kRtvA puNya bahu tvena budDa tva ApteH anantaraH /
   ānantaryasamādhiḥ sa sarvākārajñatā ca tat // Abhis_5.38 //	Anantarya samADiH sa sarva AkAra jQa tA ca tat // ABiH _5.38 //
   iti / śrāvakapratyekabuddhabodhisattvānāṃ nyāme	iti / SrAvaka pratyekabudDa boDisattvAnAm nyAme
   trisāhasramahāsāhasralokadhātavīyasattvān pratiṣṭhāpya kaścid yatpuṇyaṃ	tri sAhasra mahA sAhasra loka DAtavIya sattvAn pratizWApya kaScid yat puNyam
   prasravati, tadupamīkṛtya tadviśiṣṭapuṇyabahutvena yā sarvākārajñatā tad	prasravati, tad upamIkRtya tad viSizwa puNya bahu tvena yA sarva AkAra jQa tA tat 
   buddhatvamiti buddhatvaprāpteravyavahito yaḥ samādhiḥ so	budDa tvam iti budDa tva prApteH avyavahitaH yaH samADiH saH 
   'trānantaryasamādhiḥ /	atra Anantarya samADiH /
   tadālambanādayaḥ kīdṛśā iti ced? antaraślokena ālambanādīnāha  	tad Alambana AdayaH kIdRSAH iti ced? antaraSlokena Alambana AdIn Aha  
   ālambanamabhāvo 'sya smṛtiścādhipatirmataḥ /	Alambanam aBAvaH asya smRtiH ca aDipatiH mataH /
   ākāraḥ śāntatā cātra jalpājalpipravādinām // Abhis_5.39 //	AkAraH SAnta tA ca atra jalpA jalpi pravAdinAm // ABiH _5.39 //
   iti / asya cānantaryasamādheḥ sarvadharmābhāvopalabdhiḥ ālambanapratyayaḥ,	iti / asya ca Anantarya samADeH sarva Darma aBAva upalabDiH Alambana pratyayaH,
   smaraṇaṃ cādhiparipratyayaḥ, prakṛtiśāntatā cākāraḥ / atra ca sthāne	smaraNam ca ADi paripratyayaH, prakRti SAnta tA ca AkAraH / atra ca sTAne
   duravagāhatvād aviditopāyakauśalānāṃ pravādināṃ	duravagAha tvAt avidita upAya kOSalAnAm pravAdinAm
   (nānā) codyamukhaparamparāprasarpiṇī (vipratipattiḥ) iti upāyakauśalena sā	(nAnA ) codya muKa paramparA prasarpiNI (vipratipattiH) iti upAya kOSalena sA
   nirākartavyeti / anenāsya gabhīratā abhihitetyabhiprāyaḥ /	nirAkartavyA iti / anena asya gaBIra tA aBihitA iti aBiprAyaH /
   8   vipratipattiḥ (mūrdhaprayogaḥ)	8  vipratipattiH (mUrDa prayogaH)
   viparyastamatīnāṃ kīdṛśīḥ vipratipattīḥ nirākṛtya sa samādhirutpādayitavya	viparyasta matInAm kIdRSIH vipratipattIH nirAkRtya sa samADiH utpAdayitavya
   iti cet? samādheranantaraṃ vipratipattīrāha  	iti cet? samADeH anantaram vipratipattIH Aha  
   ālambanopapattau ca tatsvabhāvāvadhāraṇe /	Alambana upapattO ca tad svaBAva avaDAraNe /
   sarvākārajñatājñāne paramārthe sasaṃvṛtau // Abhis_5.40 //	sarva AkAra jQa tA jQAne parama arTe sa saMvRtO // ABiH _5.40 //
   prayoge triṣu ratneṣu sopāye samaye muneḥ /	prayoge trizu ratnezu sa upAye samaye muneH /
   viparyāse samārge ca pratipakṣavipakṣayoḥ // Abhis_5.41 //	viparyAse sa mArge ca pratipakza vipakzayoH // ABiH _5.41 //
   lakṣaṇe bhāvanāyāñca matā vipratipattayaḥ /	lakzaNe BAvanA yAQca matAH vipratipattayaH /
   sarvākārajñatādhārā ṣoḍhā daśa ca vādinām // Abhis_5.42 //	sarva AkAra jQa tA DArA zoXA daSa ca vAdinAm // ABiH _5.42 //
   iti saṃskṛtāsaṃskṛtadhātvorabhāvatvena ālambanopapattau, sarvathā	iti saMskRta asaMskRta DAtvora BAva tvena Alambana upapattO, sarvaTA
   nīrūpatvād ālambanasvabhāvāvadhāraṇe, bhāvābhāvānupalambhena	nIrUpa tvAt Alambana svaBAva avaDAraNe, BAva aBAva anupalamBena
   sarvākārajñatājñāne, tathatāsvabhāvatvena saṃvṛtiparamārthasatyadvaye,	sarva AkAra jQa tA jQAne, taTatA svaBAva tvena saMvRti parama arTa satya dvaye,
   dānādyanupalambhena prayoge, boddhavyābhāvād buddharatne,	dAna Adi anupalamBena prayoge, bodDavya aBAvAt budDa ratne,
   nāmadheyamātratvād dharmaratne, rūpādyālambanapratiṣedhāt saṃgharatne,	nAmaDeya mAtra tvAt Darma ratne, rUpa Adi Alambana pratizeDAt saMGa ratne,
   dānādyanupalambhena upāyakauśale, bhāvābhāvobhayarūpādhigamapratiṣedhāt	dAna Adi anupalamBena upAya kOSale, BAva aBAva uBaya rUpa aDigama pratizeDAt
   tathāgatābhisamaye, prapañcavyavasthāpitānityāditvena nityādiviparyāse,	taTAgata aBisamaye, prapaQca vyavasTApitAn ityAdi tvena nitya Adi viparyAse,
   vibhāvitamārgaphalāsākṣātkaraṇena mārge, hānopādānābhāvena vipakṣe	viBAvita mArga Pala asAkzAt karaNena mArge, hAna upAdAna aBAvena vipakze
   pratipakṣe ca, dharmyabhāvād dharmalakṣaṇe, svasāmānyalakṣaṇānupapattyā	pratipakze ca, Darmya BAvAt Darma lakzaNe, sva sAmAnya lakzaNa anupapattyA
   bhāvanāyāñca parasparaviruddhā bhāṣārthānuṣṭhānena ayujyamānatayā	BAvanA yAQca paraspara virudDA BAzA arTa anuzWAnena ayujyamAna tayA
   saṃśayarūpāḥ ṣoḍaśa vipratipattīryathānirdiṣṭaviṣayatvena	saMSaya rUpAH zoxaSa vipratipattIH yaTA nirdizwa vizaya tvena
   sarvākārajñatādhiṣṭhānāḥ sarveṣāmeva	sarva AkAra jQa tA aDizWAnAH sarvezAm eva
   aviditabodhisattvopāyakauśalajanapravādināṃ	avidita boDisattva upAya kOSala jana pravAdinAm
   yathāsambhavamubhayasatyāśritopāyakauśalena nirākṛtya samyak sarvathā	yaTAsamBavam uBaya satya ASrita upAya kOSalena nirAkRtya samyak sarvaTA
   niścayamutpādya kalyāṇakāmairbodhisattvairānantaryasamādhiradhigamyata iti	niScayam utpAdya kalyANa kAmEH boDisattvEH Anantarya samADiH aDigamyate iti
   iti abhisamayālaṅkāre nāma prajñāpāramitopadeśaśāstre pañcamādhikāravṛttiḥ	iti aBisamaya alaFkAre nAma prajQApAramitA upadeSa SAstre paQcama aDikAra vRttiH
   Ānupūrvikādhikāraḥ ṣaṣṭhaḥ	ĀnupUrvikA aDikAraH zazWaH
   prāptamūrdhā 'bhisamayo vyastasamastatvena adhigatānarthān anupurvīkṛtya	prApta mUrDA aBisamayaH vyasta samasta tvena aDigatAn arTAn anupurvIkRtya
   sthirīkaraṇāya vibhāvayatītyanupūrvābhisamayamāha  	sTirIkaraNAya viBAvayati iti anupUrva aBisamayam Aha  
   dānena prajñayā yāvad buddhādau smṛtibhiśca sā /	dAnena prajQayA yAvat budDa AdO smRtiBiH ca sA /
   dharmābhāvasvabhāvenetyanupūrvakriyā matā // Abhis_6.1 //	Darma aBAva svaBAvena iti anupUrva kriyA matAH // ABiH _6.1 //
   iti / trimaṇḍalaviśuddhiprabhāvitadānādiṣaṭpāramitāsarvākāraparipūraṇena	iti / tri maNxala viSudDi praBAvita dAna Adi zaz pAramitA sarva AkAra paripUraNena
   prajñāpāramitāntargatapāramitācatuṣṭayatvāt samyag daśabhūminiṣpādakena	prajQApAramitA antargata pAramitA catuzwaya tvAt samyak daSa BUmi nizpAdakena
   smṛtyupasthānādinā saptabodhyaṅgākāreṇa āryāṣṭāṅgamārgatayā ca	smRti upasTAna AdinA sapta boDi aFga AkAreNa Arya azwa aFga mArga tayA ca
   paramārthataḥ asmaraṇalakṣaṇena trividhabuddhānusmaraṇena yathākramaṃ	paramArTataH asmaraNa lakzaNena triviDa budDa anusmaraNena yaTAkramam
   nirvedhabhāgīyadarśanabhāvanāmārgadyotakena tathaiva	nirveDa BAgIya darSana BAvanA mArga dyotakena taTA eva
   kuśalākuśalāvyākṛtadharmānusmaraṇena pūrvavad	kuSala akuSala avya akRta Darma anusmaraNena pUrvavat 
   āryāvaivartikabodhisattvasaṃghasmaraṇena tathaiva	AryA vEvartika boDisattva saMGa smaraNena taTA eva
   śīlatyāgadevatānusmaraṇena rūpādisarvadharmābhāve svabhāvāvabuddhena ca yo	SIla tyAga devatA anusmaraNena rUpa Adi sarva Darma aBAve svaBAva avabudDena ca yaH 
   'dhigamaḥ sānupūrvakriyeṣyata iheti /	aDigamaH sAnupUrva kriyA izyate iha iti /
   iti abhisamayālaṅkāre nāma prajñāpāramitopadeśaśāstre ṣaṣṭhādhikāravṛttiḥ	iti aBisamaya alaFkAre nAma prajQApAramitA upadeSa SAstre zazWa aDikAra vRttiH
   Ekakṣaṇābhisambodhādhikāraḥ saptamaḥ	Eka kzaNa aBisamboDa aDikAraH saptamaH
   vibhāvitānupūrvābhisamayasya svabhyastīkaraṇāya teṣāmeva	viBAvita anupUrva aBisamayasya su aByastIkaraNAya tezAm eva
   kṣaṇenaikenādhigama ityekakṣaṇābhisambodhaḥ / so 'pi lakṣaṇena caturvidha	kzaNena ekena aDigamaH iti eka kzaNa aBisamboDaH / saH api lakzaNena caturviDa
   iti /	iti /
   1   avipākalakṣaṇaḥ	1  avipAka lakzaNaH
   avipākānāsravasarvadharmaikakṣaṇalakṣaṇena prathama ekakṣaṇābhisambodhaḥ /	avipAkAn Asrava sarva Darma ekakzaNa lakzaNena praTamaH eka kzaNa aBisamboDaH /
   ityāha  	iti Aha  
   anāsravāṇāṃ sarveṣāmekaikenāpi saṃgrahāt /	anAsravANAm sarvezAm ekEkena api saMgrahAt /
   ekakṣaṇāvabodho 'yaṃ jñeyo dānādinā muneḥ // Abhis_7.1 //	eka kzaNa avaboDaH ayam jQeyaH dAna AdinA muneH // ABiH _7.1 //
   dharmadhātusvabhāvarūpe  	DarmaDAtu svaBAva rUpe  
   eko bhāvaḥ sarvabhāvasvabhāvaḥ sarve bhāvā ekabhāvasvabhāvāḥ /	ekaH BAvaH sarva BAva svaBAvaH sarve BAvAH eka BAva svaBAvAH /
   eko bhāvastattvato yena dṛṣṭaḥ sarve bhāvāstattvatastena dṛṣṭāḥ //	ekaH BAvaH tattvataH yena dRzwaH sarve BAvAH tattvataH tena dRzwAH //
   itinyāyānna kevalaṃ bahubhirekasya saṃgrahaḥ, api tvekakṣaṇadānādijñānena	iti nyAyAt na kevalam bahuBiH ekasya saMgrahaH, api tu ekakzaNa dAna Adi jQAnena
   ālambyamānena apagatapratiniyatavastugrahaṇaviparyayarūpeṇa	AlambyamAnena apagata pratiniyata vastu grahaNa viparyaya rUpeNa
   dānādyaśītyanuvyañjanalakṣaṇānāṃ dharmāṇāṃ saṃgraheṇa muneḥ	dAna At yaSIti anuvyaQjana lakzaNAnAm DarmANAm saMgraheNa muneH
   bodhisattvasyāvabodho hi ekakṣaṇābhisambodha iti jñātavyaḥ /	boDisattvasya avaboDaH hi eka kzaNa aBisamboDaH iti jQAtavyaH /
   kimevaṃ punarekānāsravajñānālambane sarvānāsravasaṃgraha iti cet?	kim evam punar eka an Asrava jQAna Alambane sarvAn Asrava saMgrahaH iti ced ?
   laukikadṛṣṭāntenāha  	lOkika dRzwAntena Aha  
   araghaṭṭaṃ yathaikāpi padikā puruṣeritā /	ara Gawwam yaTA ekA api padikA puruza IritA /
   sakṛtsarvaṃ calayati jñānamekakṣaṇe tathā // Abhis_7.2 //	sakRt sarvam calayati jQAnam eka kzaNe taTA // ABiH _7.2 //
   iti / yathaikāpi padikā puruṣeritā sakṛdekavāraṃ sarvamaraghaṭṭaṃ	iti / yaTA ekA api padikA puruza IritA sakRt eka vAram sarva mara Gawwam
   sacchilpipūrvaparikarmasāmarthyāt calayati tathā	sat Silpi pUrva parikarma sAmarTyAt calayati taTA
   pūrvapraṇidhānāvedhadharmadhātusāmarthyād ekasminneva kṣaṇe	pUrva praNiDAna AveDa Darma DAtu sAmarTyAt ekasmin= eva kzaNe
   ekamanāsravamālambyamānaṃ sarvaṃ sajātīyamabhimukhīkārayatīti /	ekam anAsravam AlambyamAnam sarvam sajAtIyam aBimuKIkArayati iti /
   2   vipākalakṣaṇaḥ	2  vipAka lakzaNaH
   evaṃ prathamaṃ nirdiśya	evam praTamam nirdiSya
   vipākadharmatāvasthānāsravasarvadharmaikakṣaṇalakṣaṇo	vipAka Darma tA avasTAna Asrava sarva Darma ekakzaNa lakzaNaH 
   bhavatyekakṣaṇābhisambodho dvitīyaḥ / ityāha  	Bavati eka kzaNa aBisamboDaH dvitIyaH / iti Aha  
   vipākadharmatāvasthā sarvaśuklamayī yadā /	vipAka DarmatA avasTA sarva Sukla mayI yadA /
   prajñāpāramitā jātā jñānamekakṣaṇe tadā // Abhis_7.3 //	prajQApAramitA jAtAH jQAnam eka kzaNe tadA // ABiH _7.3 //
   yadā bodhisattvasya pratipakṣabhāvanayā sarvavipakṣāpagamanena	yadA boDisattvasya pratipakza BAvanayA sarva vipakza apagamanena
   sakalavyavadānapakṣavipākadharmatāvasthā sarvakalaṅkāpagamena	sakala vyavadAna pakza vipAka DarmatA avasTA sarva kalaFka apagamena
   śaradindujyotsnāvat śuklasvabhāvā jātā tadā ekasminnevakṣaṇe	Sarad indu jya utsnA vat Sukla svaBAvAH jAtA tadA ekasmin= evakzaNe
   vipākāvasthāprāptānām anāsravadharmāṇāṃ bodhāt jñānaṃ prajñāpāramitā	vipAka avasTA prAptAnAm anAsrava DarmANAm boDAt jQAnam prajQApAramitA
   ekakṣaṇābhisambodha iti /	eka kzaNa aBisamboDaH iti /
   3   alakṣaṇalakṣaṇaḥ	3  alakzaNa lakzaNaH
   dvitīyamevaṃ nirdiśya alakṣaṇasarvadharmaikakṣaṇalakṣaṇaḥ	dvitIyam evam nirdiSya alakzaNa sarva Darma ekakzaNa lakzaNaH
   ekakṣaṇābhisambodhastṛtīyaḥ / ityāha  	eka kzaNa aBisamboDaH tRtIyaH / iti Aha  
   svapnopameṣu dharmeṣu sthitvā dānādicaryayā /	svapna upamezu Darmezu sTitvA dAna Adi caryayA /
   alakṣaṇatvaṃ dharmāṇāṃ kṣaṇenaikena vindati // Abhis_7.4 //	alakzaNa tvam DarmANAm kzaNena ekena vindati // ABiH _7.4 //
   pūrvaṃ svapnopamasarvadharmābhyāsena sambhāradvayamanubhūya	pUrvam svapna upama sarva Darma aByAsena samBAra dvayam anuBUya
   adhigamāvasthāyāṃ svapnasvabhāveṣu sarvadharmeṣu upādānaskandhādiṣu	aDigama avasTAyAm svapna svaBAvezu sarva Darmezu upAdAna skanDa Adizu
   sthitvā dānādiṣaṭpāramitāpratipattyā dānādirūpanirūpaṇākāreṇa alakṣaṇāḥ	sTitvA dAna Adi zaz pAramitA pratipattyA dAna Adi rUpa nirUpaNa AkAreNa alakzaNAH
   sarvadharmā iti saṃkleśavyavadānarūpāṇāṃ dharmāṇām ekenaiva	sarva DarmAH iti saMkleSa vyavadAna rUpANAm DarmANAm ekena eva
   kṣaṇenālakṣaṇatvaṃ jānātītyevamekakṣaṇābhisambodhaḥ /	kzaNena alakzaNa tvam jAnAti iti evam eka kzaNa aBisamboDaH /
   4   advayalakṣaṇaḥ	4  advaya lakzaNaH
   tṛtīyamevaṃ nirdiśya advayalakṣaṇasarvadharmaikakṣaṇalakṣaṇaḥ	tRtIyam evam nirdiSya advaya lakzaNa sarva Darma ekakzaNa lakzaNaH
   ekakṣaṇābhisambodhaścaturthaḥ / ityāha  	eka kzaNa aBisamboDaH caturTaH / iti Aha  
   svapnaṃ taddarśinañcaiva dvayayogena nekṣate /	svapnam tat darSinaQca eva dvaya yogena na Ikzate /
   dharmāṇāmadvayaṃ tattvaṃ kṣaṇenaikena paśyati // Abhis_7.5 //	DarmANAm advayam tattvam kzaNena ekena paSyati // ABiH _7.5 //
   nirantaradīrghakāladvayapratibhāsaprahāṇābhyāsasātmībhāvād	nirantara dIrGa kAla dvaya pratiBAsa prahANa aByAsa sAtmIBAvAt 
   unmūlitadvayapratibhāsavāsano yadā bodhisattvo grāhyagrāhakayogena svapnaṃ	unmUlita dvaya pratiBAsa vAsanaH yadA boDisattvaH grAhya grAhaka yogena svapnam
   grāhyaṃ svapnadaśiṃnaṃ grāhakaṃ nekṣate, tadā sarve 'pvevaṃdharmāṇo dharmā	grAhyam svapna daSiMnam grAhakam na Ikzate, tadA sarve apu evaMDarmANaH DarmA
   iti dharmāṇāmadvayaṃ tattvam ekenaiva	iti DarmANAm advayam tattvam ekena eva
   kṣaṇenādhigacchatītyekakṣaṇābhisambodha iti /	kzaNena aDigacCati iti eka kzaNa aBisamboDaH iti /
   iti abhisamayālaṅkāre nāma prajñāpāramitopadeśaśāstre saptamādhikāravṛttiḥ	iti aBisamaya alaFkAre nAma prajQApAramitA upadeSa SAstre saptama aDikAra vRttiH
   Dharmakāyādhikāraḥ aṣṭamaḥ	Dharma kAya aDikAraH azwamaH
   1   svabhāvakāyaḥ	1  svaBAva kAyaH
   vibhāvitaikakṣaṇābhisambodhasya dvitīye kṣaṇe dharmakāyābhisambodhaḥ / sa	viBAvita eka kzaNa aBisamboDasya dvitIye kzaNe Darma kAya aBisamboDaH / sa
   ca svābhāvikakāyādibhedena caturvidhaḥ / (tatra) prathamaḥ svābhāvikakāya	ca svABAvika kAya Adi Bedena caturviDaH / (tatra) praTamaH svABAvikakAya
   ityāha  	iti Aha  
   sarvākārāṃ viśuddhiṃ ye dharmāḥ prāptā nirāsravāḥ /	sarva AkArAm viSudDim ye DarmAH prAptAH nirAsravAH /
   svābhāviko muneḥ kāyasteṣāṃ prakṛtilakṣaṇaḥ // Abhis_8.1 //	svABAvikaH muneH kAyaH tezAm prakRti lakzaNaH // ABiH _8.1 //
   smṛtyupasthānādayo jñānātmakā lokottarā dharmadhāturūpatvād	smRti upasTAna AdayaH jQAna AtmakAH loka uttarA DarmaDAtu rUpa tvAt 
   anāsravāmalānāmāgantukatvena sarvaprakārāṃ viśuddhiṃ	anAsrava amalAnAm Agantuka tvena sarva prakArAm viSudDim
   prakṛtiviviktalakṣaṇāṃ prāptāsteṣāṃ yā prakṛtiḥ svabhāvo 'nutpādarūpaḥ,	prakRti vivikta lakzaNAm prAptAH tezAm yA prakRtiH svaBAvaH anutpAda rUpaH,
   ayaṃ munerbuddhasya bhagavato lokottareṇa mārgeṇa prāpyate, na kriyata	ayam muneH budDasya BagavataH lokottareNa mArgeNa prApyate, na kriyata
   ityakṛtrimārthena māyopamavijñānasarvadharmapratipattyādhigataḥ	iti akRtrima arTena mAyA upama vijQAna sarva Darma pratipatti A aDigataH
   svābhāvikaḥ kāyaḥ /	svABAvikaH kAyaH /
   pariśiṣṭakāyatrayaṃ tathyasaṃvṛtyā pratibhāsamānaṃ paramārthato	pariSizwa kAya trayam taTya saMvRtyA pratiBAsamAnam paramArTa taH 
   dharmatārūpaṃ yathādhimokṣaprabhāvitaṃ	DarmatA rUpam yaTA aDimokza praBAvitam
   buddhabodhisattvaśrāvakādigocaratvena vyavasthāpitamiti kathanāya  	budDa boDisattva SrAvaka Adi gocara tvena vyavasTApitam iti kaTanAya  
   viviktāvyatirekitvaṃ vivekasya yato matam /	vivikta avyatireki tvam vivekasya yatas matam /
   itinyāyāt tadavyatireke 'pi pṛthag vyavasthāpyate /	iti nyAyAt tat avyatireke api pRTak vyavasTApyate /
   2   jñānadharmakāyaḥ	2  jQAna Darma kAyaH
   itthaṃ prathamaṃ kāyaṃ nirdiśya dvitīyo niṣprapañcajñānātmako dharmakāyaḥ	itTam praTamam kAyam nirdiSya dvitIyaH nizprapaQca jQAna AtmakaH Darma kAyaH
   anāsravaḥ smṛtyupasthānādyātmaka iti tamāha  	anAsravaH smRti upasTAna Adi AtmakaH iti tam Aha  
   bodhipakṣāpramāṇāni vimokṣā anupūrvaśaḥ /	boDi pakza apramANAni vimokzAH anupUrvaSas /
   navātmikā samāpattiḥ kṛtsnaṃ daśavidhātmakam // Abhis_8.2 //	nava AtmikA samApattiH kRtsnam daSaviDa Atmakam // ABiH _8.2 //
   abhibhvāyatanānyaṣṭaprakārāṇi prabhedataḥ /	aBiBva AyatanAni azwa prakArANi praBedataH /
   araṇā praṇidhijñānamabhijñāḥ pratisaṃvidaḥ // Abhis_8.3 //	araNA praNiDi jQAnam aBijQAH pratisaMvidaH // ABiH _8.3 //
   sarvākārāścatasro 'tha śuddhayo vaśitā daśa /	sarva AkArAH catasraH aTa SudDayaH vaSitAH daSa /
   balāni daśa catvāri vaiśāradyānyarakṣaṇam // Abhis_8.4 //	balAni daSa catvAri vESAradya anya rakzaNam // ABiH _8.4 //
   trividhaṃ smutyupasthānaṃ tridhā 'saṃmoṣadharmatā /	triviDam smuti upasTAnam triDA asaMmoza Darma tA /
   vāsanāyāḥ samuddhāto mahato karuṇā jane // Abhis_8.5 //	vAsanAyAH samudDAtaH mahataH karuNAH jane // ABiH _8.5 //
   āveṇikā munereva dharmā ye 'ṣṭādaśeritāḥ /	AveNikAH muneH eva DarmAH ye azwAdaSa IritAH /
   sarvākārajñatā ceti dharmakāyo 'bhidhīyate // Abhis_8.6 //	sarva AkAra jQa tA ca iti Darma kAyaH aBiDIyate // ABiH _8.6 //
   iti / smṛtyupasthānādyārabhya āryāṣṭāṅgamārgaparyantā bodhipakṣāḥ /	iti / smRti upasTAna Adi AraByaH Arya azwa aFga mArga paryantAH boDi pakzAH /
   pūrvavadapramāṇāni maitryādicaturbrahmavihārāḥ / adhyātmaṃ rūpyarūpī	pUrvavat apramANAni mEtrI Adi catur brahma vihArAH / aDyAtmam rUpya rUpI
   bahirdhā rūpāṇi paśyatīti dvauḥ, śubhaṃ vimokṣaṃ kāyena	bahirDA rUpANi paSyati iti dvOH, SuBam vimokzam kAyena
   sākṣātkṛtvopampadya viharatītyekaḥ,	sAkzAtkRtvA upampadya viharati iti ekaH,
   ākāśavijñānākiñcanyanaivasaṃjñānāsaṃjñāyatanānīti catvāraḥ,	AkASa vijQAna akiQca nya na eva saMjQAna asaMjQA AyatanAni iti catvAraH,
   saṃjñāveditanirodha ityekaḥ ityaṣṭau vimokṣāḥ / rūpadhātucaturdhyānāni	saMjQA vedita niroDaH iti ekaH iti azwO vimokzAH / rUpa DAtu catur DyAnAni
   caturārūpyasamāpattayo nirodhasamāpattiriti nava samāpattayaḥ /	catur ArUpya samApattayaH niroDa samApattiH iti nava samApattayaH /
   pṛthivyaptejovāyunīlapītalohitāvadātavijñānākāśamiti kṛtsnaṃ daśavidham /	pRTivI ap tejaH vAyu nIla pIta lohita avadAta vijQAna AkASam iti kRtsnam daSaviDam /
   adhyātmarūpārūpasaṃjñinau pratyekaṃ parīttādhimātrākārābhyāṃ bahirdhā	aDyAtma rUpA rUpa saMjQinO pratyekam parItta aDimAtra AkArAByAm bahirDA
   rūpāṇi paśyatastānyabhibhūya jānīta iti catuṣṭayam, adhyātmārūpasaṃjñī eva	rUpANi paSyataH tAni aBiBUya jAnIte iti catuzwayam, aDyAtmA rUpa saMjQI eva
   nīlapītalohitāvadātānabhibhūya paśyatīti	nIla pIta lohita avadAtA an aBiBUya paSyati iti
   catuṣṭayamityaṣṭavidhamabhibhvāyatanam /	catuzwayam iti azwaviDam aBiBva Ayatanam /
   parasantānagatakleśaraṇaprabandhonmūlanāt samādhirityaraṇā /	para santAna gata kleSa raNa prabanDa unmUlanAt samADiH iti araNAH /
   samyagapagatasarvanimittasaṅgavyāghātaṃ	samyak apagata sarva nimitta saFga vyAGAtam
   saṃśayāpanayanakāripraṇidhānasamṛddhyā āsaṃsāramasamāhitāvasthāyāṃ	saMSaya apanayana kAri praNiDAna samRdDyA AsaMsAram asamAhita avasTAyAm
   pravartata iti praṇidhijñānam, ṣaḍabhijñāścatasraśca pratisavidaḥ pūrvoktā	pravartate iti praNiDi jQAnam, zaw aBijQAH catasraH ca pratisavidaH pUrva uktA
   āśrayālambanacittajñānapariśuddhaya iti catasraḥ śuddhayaḥ /	ASraya Alambana citta jQAna pariSudDayaH iti catasraH SudDayaH /
   āyuścittapariṣkārakarmopapattyadhimuktipraṇidhānarddhijñānadharmavaśitā	AyuH citta parizkAra karma upapatti aDimukti praNiDAna RdDi jQAna Darma vaSitA
   iti daśa vaśitāḥ / pūrvoktāni daśa balāni, catvāri vaiśāradyāni ca /	iti daSa vaSitAH / pUrva uktAni daSa balAni, catvAri vESAradyAni ca /
