   // śrīḥ //	// SrIH //
   // Āryamañjuśrīmūlakalpam /	// Ārya maQju SrI mUla kalpam /
   aṣṭasahasraṃ juhuyāt / rājā (Vaidya 531) vaśo bhavati /	azwa sahasram juhuyAt / rAjA (VEdyaH 531) vaSaH Bavati /
   śuklapañcadaśyāmaṣṭamyāṃ vā poṣadhiko 'horātroṣito 'patitagomayaṃ gṛhya	Sukla paQcadaSyAm azwamyAm vA pozaDikaH ahorAtra uzitaH apatita gomayam gRhya
   gocarmamātrasthaṇḍilamupalipya sadhātuke caitye āryamañjuśriyasya	gocarma mAtra sTaNxilam upalipya sa DAtuke cEtye Arya maQjuSriyasya
   rajatamaye vā bhājane kapilāyāḥ goḥ samānavatsāyāḥ kumārīmathitaṃ	rajata maye vA BAjane kapilAyAH goH samAna vatsAyAH kumArI maTitam
   navanītaṃ gṛhya kuśaviṇḍakopaviṣṭaḥ vāmahastena bhājanaṃ gṛhyaṃ	navanItam gRhya kuSa viNxaka upavizwaH vAma hastena BAjanam gRhyam
   dakṣiṇahastenānāmikāyāmaṅguhyā āloḍayaṃ tāvajjaped yāvadūṣmāyati / tat	dakziNa hastena anAmikAyAm aFguhyAH Aloxayam tAvat japet yAvat UzmAyati / tat 
   pātavyam / medhāvī bhavati / sakṛduktaṃ gṛhṇāti / atha dhūmāyati	pAtavyam / meDAvI Bavati / sakRt uktam gRhNAti / aTa DUmAyati
   vaśīkaraṇam / atha jvalati antardhānaṃ bhavati / bahuputrikāṃ aṣṭasahasraṃ	vaSIkaraNam / aTa jvalati antarDAnam Bavati / bahuputrikAm azwa sahasram
   juhuyāt / tena bhasmanā udakakumbhāṃścātvāraḥ / samiśrīkṛtvā kārayitavyā /	juhuyAt / tena BasmanA udaka kumBAn= cAtvAraH / sa miSrIkRtvA kArayitavyA /
   aṣṭaśatābhimantritāṃ vācāṃ dakṣiṇahaste badhvā yāvat sarvatrottaravādī	azwa Sata aBimantritAm vAcAm dakziNa haste baDvA yAvat sarvatra uttaravAdI
   bhavati / aparājitapuṣpāṇāmaṣṭasahasraṃ juhuyāt / saṅgrāme 'parājito	Bavati / aparAjita puzpANAm azwa sahasram juhuyAt / saFgrAme aparAjitaH 
   bhavati / kumārīkartitasūtreṇa saptābhimantritena granthayaḥ kartavyāḥ	Bavati / kumArIkartita sUtreNa sapta aBimantritena granTayaH kartavyAH
   bandhitavyāḥ / sthāvarajaṅgamā viṣā nātra prabhavanti / dāruṇena sarpeṇa	banDitavyAH / sTAvara jaFgamAH vizAH na atra praBavanti / dAruNena sarpeNa
   daṣṭasya nāmaṃ grahāya saptābhimantritamudakacūrṇakaṃ pānāya deyam / mṛto	dazwasya nAmam grahAya sapta aBimantritam udaka cUrNakam pAnAya deyam / mRtaH 
   'pyuttiṣṭhati / tathaiva caturdiśābhimantritaṃ kṛtvā pānāya deyam /	api uttizWati / taTA eva catur diSA aBimantritam kRtvA pAnAya deyam /
   takṣakenāpi daṣṭo jīvati / stanagaṇḍikāyāṃ saptābhimantritayā mṛttikayā	takzakena api dazwaH jIvati / stana gaNxikAyAm sapta aBimantri tayA mRttikayA
   lepayet / mucyati / vedanā na bhavati / māryupadrave nagaramadhye vā	lepayet / mucyati / vedanA na Bavati / mArI upadrave nagara maDye vA
   ardharātrau sthaṇḍilakamupalipya śuklaṃ baliṃ kṛtvā	arDarAtrO sTaNxilakam upalipya Suklam balim kRtvA
   kṣīravṛkṣasamidbhiragniṃ prajvālya kṣīrāhutisahasraṃ juhuyāt /	kzIravRkza samidBiH agnim prajvAlya kzIra Ahuti sahasram juhuyAt /
   māryupaśamayati / athanopaśamayati / tato 'nyatamasmin divase	mArI upaSamayati / aTana upaSamayati / tatas anyatamasmin divase
   madhyāhnavelāyāṃ śleṣmātakasamidbhiragniṃ prajvālya	maDyAhna velAyAm SlezmAtaka samidBiH agnim prajvAlya
   siddhārthānāmaṣṭasahasraṃ juhuyāt / sadyo māriṃ praśamayati / anena	sidDArTAnAm azwa sahasram juhuyAt / sadyas mArim praSamayati / anena
   vidhinā kṛtena viṣamabandhaḥ yāvantaḥ sattvā te tasya vaśā bhavanti /	viDinA kRtena vizama banDaH yAvantaH sattvAH te tasya vaSAH Bavanti /
   kūṣmāṇḍavaśīkaraṇe kūṣmāṇḍasamidhānāmaṣṭasahasraṃ juhuyāt /	kUzmANxa vaSIkaraNe kUzmANxa samiDAnAm azwa sahasram juhuyAt /
   mā(ri)mupaśamayati / pretavaśīkaraṇe tilapiṣṭakānāmaṣṭasahasraṃ juhuyāt /	mA(ri)m upaSamayati / preta vaSIkaraNe tila pizwakAnAm azwa sahasram juhuyAt /
   pretā vaśyā bhavanti / piśācavaśīkaraṇe śmaśānacelakānāmaṣṭasahasraṃ	pretAH vaSyAH Bavanti / piSAca vaSIkaraNe SmaSAna celakAnAm azwa sahasram
   juhuyāt / piśācā vaśā bhavanti / yakṣavaśīkaraṇe vaṭavṛkṣasamidhānāṃ	juhuyAt / piSAcAH vaSAH Bavanti / yakza vaSIkaraNe vawa vRkza samiDAnAm
   dadhimadhughṛtāktānāmaṣṭasahasraṃ juhuyāt / yakṣā vaśā bhavanti /	daDi maDu GRta aktAnAm azwa sahasram juhuyAt / yakzAH vaSAH Bavanti /
   apasmārojehāravaśīkaraṇe ūrṇāhutīnāmaṣṭasahasraṃ juhuyāt / vaśā bhavanti /	apasmArojehAra vaSIkaraNe UrNA AhutInAm azwa sahasram juhuyAt / vaSAH Bavanti /
   ghṛtāktānāṃ guggulugulikānāmaṣṭasahasraṃ juhuyāt / mahādevānucarā grahā	GRta aktAnAm guggulu gulikAnAm azwa sahasram juhuyAt / mahAdeva anucarA grahA
   vaśā bhavanti / vīrakrayakrītāṃ manaḥśilāṃ gṛhītvārājavṛkṣasamidbhiragniṃ	vaSAH Bavanti / vIra kraya krItAm manaHSilAm gRhItvA arAja vRkza samidBiH agnim
   prajvālyaṃ tāvajjaped yāvadagnivarṇā bhavati / tataḥ samānavatsāyāḥ goḥ	prajvAlyam tAvat japet yAvat agni varNA Bavati / tatas samAna vatsAyAH goH
   kapilāyāḥ kanyāmathitena navanītena kṛtvā tasmiṃ ghṛte nirvāpayet / evaṃ	kapilAyAH kanyA maTitena navanItena kRtvA tasmim GRte nirvApayet / evam
   dadhipūrṇabhājane madhupūrṇe ca / tataḥ anenaiva rakṣāṃ kṛtvā samudgake	daDi pUrNa BAjane maDu pUrNe ca / tatas anena eva rakzAm kRtvA samudgake
   sthāpya candragrahe trirātroṣitena sadhātuke caitye	sTApya candra grahe tri rAtra uzitena sa DAtuke cEtye
   āryamañjuśriyasyāgrataḥ pūjāṃ kṛtvā uttarāmukhenāśvatthapatracatuṣṭaye	Arya maQju Sriyasya agratas pUjAm kRtvA uttarAmuKena aSvatTa patra catuzwaye
   sthāpya tāvajjaped yāvadūṣmāyati / dhūmāyati prajvalati /	sTApya tAvat japet yAvat UzmAyati / DUmAyati prajvalati /
   vaśīkaraṇāntardhānamākāśagamanamiti / evaṃ añjanaharitālarocanāṃ ceti /	vaSIkaraNa antarDAnam AkASa gamanam iti / evam aQjana haritAla rocanAm ca iti /
   rocanayā ayaṃ viśeṣaḥ   śuklapañcadaśyāṃ padmapatre sthāpya	rocanayA ayam viSezaH  Sukla paQcadaSyAm padma patre sTApya
   āryamañjuśriyasyāgrataḥ karasampuṭena gṛhītvā tāvajjaped yāvat trividhā	AryamaQju Sriyasya agratas kara sampuwena gRhItvA tAvat japet yAvat triviDA
   siddhiḥ / ete ca karmā mūlapaṭasyāgrataḥ kartavyāni / saptarātraṃ	sidDiH / ete ca karmA mUla pawasya agratas kartavyAni / sapta rAtram
   pañcalohena padmaṃ kṛtvā kuṅkumarocanakarpūramudake piṣṭvā padmaṃ	paQcalohena padmam kRtvA kuFkuma rocana karpUram udake pizwvA padmam
   mrakṣayitvā tataḥ śuklāṣṭamyāmupoṣadhikena triḥkālasnāyinā	mrakzayitvA tatas Sukla azwamyAm upozaDikena triHkAla snAyinA
   śucivastraprāvṛtena sadhātuke caitye āryamañjuśriyasyāgrataḥ dakṣiṇena	Suci vastra prAvRtena sa DAtuke cEtye AryamaQju Sriyasya agratas dakziNena
   hastena gṛhītena tāvajjaped yāvat prajvalati / tatastena gṛhītena	hastena gRhItena tAvat japet yAvat prajvalati / tatas tena gRhItena
   vidyādharo bhavati / daśavarṣasahasrāṇi jīvati / (Vaidya 532) evaṃ	vidyADaraH Bavati / daSa varza sahasrANi jIvati / (VEdyaH 532) evam
   kaṭakamakuṭaśṛṅkhalā ceti / evaṃ śailaraktacandanaṃ guggulaṃ	kawaka makuwa SRFKalA ca iti / evam SEla raktacandanam guggulam
   nandyāvartamūlaṃ girikarṇikātuṣaṃ vrīhikuṣṭhatagaraṃ madhu pippalī	nandyAvarta mUlam girikarNikA tuzam vrIhi kuzWa tagaram maDu pippalI
   turuṣkaṃ caikataḥ kṛtvā samabhāgāni kārayet / tataḥ kapilāyāḥ	turuzkam ca ekatas kRtvA sama BAgAni kArayet / tatas kapilAyAH
   samānavatsāyāḥ goḥ kṣīraṃ gṛhya kanyāmathitena navanītena modayitvā	samAna vatsAyAH goH kzIram gRhya kanyA maTitena navanItena modayitvA
   gulikāṃ kārayet / akṣatailena dīpo dātavyaḥ / tata upoṣadhikena	gulikAm kArayet / akza tElena dIpaH dAtavyaH / tatas upozaDikena
   śuklacaturdaśyāmahorātropitaḥ aśvatthapatrāntaritā gulikāṃ kṛtvā	Sukla caturdaSyAm ahorAtropitaH aSvatTa patra antaritA gulikAm kRtvA
   āryamañjuśriyasyāgratastāvajjaped yāvad dhūmāyati / sakhāyānāṃ datvā	Arya maQju Sriyasya agratas tAvat japet yAvat DUmAyati / saKAyAnAm datvA
   ātmanā mukhe prakṣipet / antarhito bhavati / atha jvalati ākāśagāmī	AtmanA muKe prakzipet / antarhitaH Bavati / aTa jvalati AkASa gAmI
   bhavati / aparo vidhiḥ / sadhātuke caitye paṭasyāgrataḥ poṣadhikenodārāṃ	Bavati / aparaH viDiH / sa DAtuke cEtye pawasya agratas pozaDikena udArAm
   pūjāṃ kṛtvā arkasamidbhiragniṃ prajvālya dadhimadhughṛtāktānāṃ	pUjAm kRtvA arka samidBiH agnim prajvAlya daDi maDu GRta aktAnAm
   khadirasamidhānāmaṣṭasahasraṃ juhuyāt / śuklacaturdaśyāmārabhya yāvat	Kadira samiDAnAm azwa sahasram juhuyAt / Sukla caturdaSyAm AraBya yAvat 
   pañcadaśībhi / siddhā eva siddho bhavati / evaṃ poṣadhikena lakṣaṃ	paQcadaSIBi / sidDAH eva sidDaH Bavati / evam pozaDikena lakzam
   japtavyam / parataḥ karmāṇi bhavanti / anayā pūrvasevayā siddho bhavati /	japtavyam / paratas karmANi Bavanti / anayA pUrva sevayA sidDaH Bavati /
   atha rājānaṃ rājamātraṃ vā vaśīkartukāmo bhagavataḥ pūjāṃ kṛtvā	aTa rAjAnam rAjamAtram vA vaSIkartu kAmaH BagavataH pUjAm kRtvA
   rājavṛkṣasamidhānāṃ iṅgudatailāktānāṃ aṣṭasahasraṃ juhuyāt /	rAjavRkza samiDAnAm iFguda tElA aktAnAm azwa sahasram juhuyAt /
   caturdaśīmārabhya yāvat pañcadaśīti / anena karmaṇā duḥśīlasyāpi	caturdaSIm AraBya yAvat paQcadaSI iti / anena karmaNA duHSIlasya api
   siddhirbhavati / caturvarṇaṃ vaśīkartukāmaḥ pāyasaṃ haviṣyānnamānīya	sidDiH Bavati / catur varNam vaSIkartu kAmaH pAyasam havizya annam AnIya
   peyakrasarā ceti juhuyāt / vaśyā bhavanti / rātrau śuciraṣṭaśataṃ japet /	peyakrasarA ca iti juhuyAt / vaSyAH Bavanti / rAtrO SuciH azwaSatam japet /
   sarvābandhanānmocayati / krodhamupaśamanaṃ piṇḍakatuṣahomena vā	sarva AbanDanAt mocayati / kroDam upaSamanam piNxaka tuza homena vA
   kanyāvaśīkaraṇe tilāṃ juhuyāt / vastrakāmena karppaṇa juhuyāt /	kanyA vaSIkaraNe tilAm juhuyAt / vastra kAmena karppaNa juhuyAt /
   aṣṭasahasraṃ saptarātraṃ vacāṃ aṣṭasahasrābhimantritāṃ kṛtvā haste badhvā	azwa sahasram sapta rAtram vacAm azwa sahasra aBimantritAm kRtvA haste baDvA
   yaṃ yācayati taṃ labhate / nityajāpena pratyaṅgirā padmasūtrādinā	yam yAcayati tam laBate / nitya jApena pratyaFgirA padma sUtra AdinA
   aṣṭasahasrābhimantritena yasya haste badhnāti tasya rakṣā kṛtā bhavati /	azwa sahasra aBimantritena yasya haste baDnAti tasya rakzA kRtA Bavati /
   dhanamicchaṃ guggulugulikānāmaṣṭasahasraṃ juhuyāt / saptarātram	Danam icCam guggulu gulikAnAm azwa sahasram juhuyAt / sapta rAtram
   kulapatikāmaḥ gandhāṃ juhuyāt saptarātam dhṛtāktāṃ / grāmaṃ labhati /	kulapati kAmaH ganDAm juhuyAt saptarAtam DRta aktAm / grAmam laBati /
   puṣpamaṣṭaśatābhimantritaṃ yasya dadāti sa vaśo bhavati /	puzpam azwa Sata aBimantritam yasya dadAti sa vaSaH Bavati /
   kuṅkumatagaratālīsapatraṃ samṛṇālaśatapuṣpaśrīveṣṭasamāyuktaṃ	kuFkuma tagara tAlIsa patram sa mRNAla Sata puzpa SrIvezwa samAyuktam
   vidhinābhimantritaṃ rājadvāre vastraya mālabhaṃ	viDinA aBimantritam rAjadvAre vaH traya mAlaBam
   strīpuruṣaprayuktavaśīkaraṇaṃ yuddhavijayakaraṇam dhvajamaṣṭasahasravārāṃ	strI puruza prayukta vaSIkaraNam yudDa vijaya karaNam Dvajam azwa sahasra vArAm
   parijapya gandhapuṣpadhūpaṃ cābhimantrayitvā sapta dadhikuṇḍeṣu ardhyaṃ	parijapya ganDa puzpa DUpam ca aBimantrayitvA sapta daDi kuNxezu arDyam
   visajayet / parasainyaṃ darśanādeva ca naśyati / kṛṣṇatilāṃ paṭasyāgrataḥ	visajayet / para sEnyam darSanAt eva ca naSyati / kRzNa tilAm pawasya agratas 
   aṣṭasahasrābhimantritaṃ kṛtvā yasya nāmaṃ grahāya bhakṣayati savaśo	azwa sahasra aBimantritam kRtvA yasya nAmam grahAya Bakzayati sa vaSo
   bhavati / aṣṭasahasrajaptā sarvabījāni sarvauṣadhyaḥ sarvagandhāni ca	Bavati / azwa sahasra japtA sarva bIjAni sarva ozaDyaH sarva ganDAni ca
   surabhipuṣpāṇi padmaṃ vā sarvāṇi akālamūlakalaśe prakṣipya, bodhivṛkṣe	suraBi puzpANi padmam vA sarvANi akAla mUla kalaSe prakzipya, boDivRkze
   aṣṭasahasraṃ japet / svayaṃ vā snāpayet / anyaṃ vā snāpayet /	azwa sahasram japet / svayam vA snApayet / anyam vA snApayet /
   sarvopadravebhyo mukto bhavati / padmaṃ vā padmapatraṃ vā nirdhūmeṣu	sarva upadraveByaH muktaH Bavati / padmam vA padma patram vA nirDUmezu
   aṅgāreṣu yasya nāmnā juhoti sa vaśyo bhavati / bilvapatraṃ madhusaṃyuktaṃ	aFgArezu yasya nAmnA juhoti sa vaSyaH Bavati / bilva patram maDu saMyuktam
   aṣṭasahasraṃ juhuyāt / rājapatnī vā rājamahiṣī vā vaśīkaroti /	azwa sahasram juhuyAt / rAja patnI vA rAja mahizI vA vaSIkaroti /
   sarvasattvavaśīkaraṇe priyaṅguṃ juhuyāt / yasya nāmaṃ grahāya raktaśālayaḥ	sarva sattva vaSIkaraNe priyaFgum juhuyAt / yasya nAmam grahAya rakta SAlayaH
   juhoti / sa vaśo bhavati / kumārīvaśīkaraṇe kesarapuṣpāṃ juhuyāt /	juhoti / sa vaSaH Bavati / kumArI vaSIkaraNe kesara puzpAm juhuyAt /
   paṭasyāgrataḥ kṣīrapāyasaṃ aṣṭasahasrāṃ juhuyāt / yasya nāmnā sa vaśo	pawasya agratas kzIra pAyasam azwa sahasrAm juhuyAt / yasya nAmnA sa vaSaH 
   bhavati / sadhātuke caitye pūrvābhimukhaṃ paṭaṃ pratiṣṭhāpya,	Bavati / sa DAtuke cEtye pUrva aBimuKam pawam pratizWApya,
   śuklapratipadamārabhya vediḥ pūrvottarāgrairdarbhairvistārya,	Sukla pratipadam AraBya vediH pUrva uttara agrEH darBEH vistArya,
   bilvasamidhābhiragniṃ prajvālya, vikasitānāṃ padmānāṃ	bilva samiDABiH agnim prajvAlya, vikasitAnAm padmAnAm
   dadhimadhughṛtāktānāṃ trisandhyamaṣṭasahasraṃ juhuyāt /	daDi maDu GRta aktAnAm tri sanDyam azwa sahasram juhuyAt /
   agaruturuṣkakundurukaśrīpiṣṭakena ca dhūpo deyaḥ / kṣīradadhibhaktaṃ baliṃ	agaru turuzka kunduruka SrI pizwakena ca DUpaH deyaH / kzIra daDi Baktam balim
   dadyāt / vighnānāṃ sarvabhautikaṃ baliṃ deyā / tato 'ṣṭamyāṃ (Vaidya 533)	dadyAt / viGnAnAm sarva BOtikam balim deyAH / tatas azwamyAm (VEdyaH 533)
   prabhṛti vikasitānāṃ śvetapadmānāṃ dadhimadhughṛtāktānāṃ	praBRti vikasitAnAm Sveta padmAnAm daDi maDu GRta aktAnAm
   trisandhyamaṣṭasahasraṃ juhuyāt / mahānidhānaṃ viṣayaṃ vā labhate /	tri sanDyam azwa sahasram juhuyAt / mahA niDAnam vizayam vA laBate /
   dadhimadhughṛtāktānāṃ pītapuṣpāṇāṃ dine dine 'ṣṭasahasraṃ juhuyāt / deśaṃ	daDi maDu GRta aktAnAm pIta puzpANAm dine dine azwa sahasram juhuyAt / deSam
   labhati / trirātroṣitaḥ saktavāhāreṇa vā homaḥ kartavyaḥ / evaṃ saptatiḥ	laBati / tri rAtra uzitaH saktavAhAreNa vA homaH kartavyaH / evam saptatiH
   śatasahasrairānantaryakāriṇasyāpi siddhyati / tadeva samidhānāṃ	Sata sahasrEH Anantarya kAriNasya api sidDyati / tat eva samiDAnAm
   dadhimadhughṛtāktānāṃ lakṣaṃ juhuyāt / suvarṇakoṭiṃ labhate /	daDi maDu GRta aktAnAm lakzam juhuyAt / suvarNa kowim laBate /
   prātarutthāya prayataḥ snāto brahmacāryagniṃ prajvālya,	prAtar utTAya prayataH snAtaH brahmacArI agnim prajvAlya,
   nāgakesarapriyaṅgurājānaṃ rājamātraṃ vā vaśīkartukāmo 'ṣṭasahasraṃ juhuyāt	nAgakesara priyaFgu rAjAnam rAjamAtram vA vaSIkartu kAmaH azwa sahasram juhuyAt 
   / trisandhyam / trimāsābhyantareṇa viśiṣṭaphalaṃ prāpnoti / dravyaṃ	/ trisanDyam / tri mAsa aByantareNa viSizwa Palam prApnoti / dravyam
   prabhūtaṃ ca / govatsalaṇḍānāṃ śatasahasraṃ juhuyāt / gośataṃ labhate /	praBUtam ca / go vatsa laNxAnAm Sata sahasram juhuyAt / go Satam laBate /
   priyaṅgunāgakesarasamidhānāṃ yasya nāmnā juhoti; sa vaśyo bhavati /	priyaFgu nAga kesara sa miDAnAm yasya nAmnA juhoti; sa vaSyaH Bavati /
   khadirasamidhānāṃ dadhimadhughṛtāktānāṃ paṭasyāgrato 'ṣṭasahasraṃ	Kadira samiDAnAm daDi maDu GRta aktAnAm pawasya agratas azwa sahasram
   trisandhyaṃ juhuyāt / mahānidhānaṃ labhati / tad dīyamānamakṣayaṃ bhavati	trisanDyam juhuyAt / mahA niDAnam laBati / tat dIyamAnam akzayam Bavati
   / samudragāminīṃ nadīmavatīrya, padmānāṃ raktacandanāktānāṃ śatasahasraṃ	/ samudra gAminIm nadIm avatIrya, padmAnAm raktacandana aktAnAm Sata sahasram
   pravāhayet / padmarāśitulyaṃ nidhānaṃ paśyati / paṭasyāgrato	pravAhayet / padmarASi tulyam niDAnam paSyati / pawasya agratas 
   bilvāhutīnāmaṣṭasahasraṃ juhuyāt trisandhyam / bhogānutpādayati /	bilva AhutInAm azwa sahasram juhuyAt trisanDyam / BogAn utpAdayati /
   tilataṇḍulānekīkṛtya paṭasyāgrato 'ṣṭasahasraṃ trisandhyaṃ juhuyāt	tila taNxulAn ekIkRtya pawasya agratas azwa sahasram tri sanDyam juhuyAt 
   saptarātram / akṣayamannamutpadyate / nāgānāṃ nāgapuṣpāṇi juhuyāt / vaśā	sapta rAtram / akzayam annam utpadyate / nAgAnAm nAgapuzpANi juhuyAt / vaSA
   bhavanti / yakṣāṇāṃ paṭasyāgrato guggulugulikānāmaṣṭasahasraṃ juhuyāt /	Bavanti / yakzANAm pawasya agratas guggulu gulikAnAm azwa sahasram juhuyAt /
   trisandhyaṃ saptarātramaśokasamidbhiḥ / yakṣiṇī vaśā bhavati / śrīvāsakaṃ	trisanDyam sapta rAtram aSoka samidBiH / yakziNI vaSA Bavati / SrIvAsakam
   paṭasyāgrato juhuyāt / kinnarā vaśā bhavanti / devānāṃ vaśīkartukāmaḥ,	pawasya agratas juhuyAt / kinnarAH vaSAH Bavanti / devAnAm vaSIkartu kAmaH,
   mūlapaṭasyāgrato 'garusamidhānāṃ ghṛtāktānāmaṣṭasahasraṃ juhuyāt	mUla pawasya agratas agaru samiDAnAm GRta aktAnAm azwa sahasram juhuyAt 
   trisandhyamekaviṃśatirātram / vaśā bhavanti / paṭasyāgrataḥ kundurukaṃ	tri sanDyam ekaviMSati rAtram / vaSAH Bavanti / pawasya agratas kundurukam
   juhuyāt / pretā vaśā bhavanti / sarjarasaṃ juhuyāt / vināyakā vaśā	juhuyAt / pretAH vaSAH Bavanti / sarjarasam juhuyAt / vinAyakAH vaSA
   bhavanti / piṇyākahomena sarvāṃ vaśīkaroti / rājānaṃ rājamātraṃ vā	Bavanti / piNyAka homena sarvAm vaSIkaroti / rAjAnam rAjamAtram vA
   vaśīkartukāmaḥ, paṭasyāgrato rājasarṣapāṃ tailāktāmaṣṭasahasraṃ juhuyāt /	vaSIkartu kAmaH, pawasya agratas rAja sarzapAm tEla aktAm azwa sahasram juhuyAt /
   saptarātram / vaśā bhavanti / yaducyanti tat karoti / rājakanyāvaśyārthe	sapta rAtram / vaSAH Bavanti / yat ucyanti tat karoti / rAja kanyA vaSya arTe
   paṭasyāgrato rājikāṃ juhuyāt / purohitaṃ vaśīkartukāmaḥ paṭasyāgrata	pawasya agratas rAjikAm juhuyAt / purohitam vaSIkartu kAmaH pawasya agra ta
   ghṛtaṃ juhuyāt / kṣatriyaṃ bāhutibhiḥ / vaiśyavaśīkaraṇe kṣiraṃ juhuyāt /	GRtam juhuyAt / kzatriyam bAhutiBiH / vESya vaSIkaraNe kziram juhuyAt /
   śūdravaśīkaraṇe kṛsarāṃ juhuyāt / sarvastriyo vaśīkaraṇe lavaṇahomena /	SUdra vaSIkaraNe kRsarAm juhuyAt / sarva striyaH vaSIkaraNe lavaNa homena /
   raṇḍā māṣahomena / sarvasattvāṃ tilatailākte vaśīkaroti /	raNxA mAza homena / sarva sattvAm tila tEla akte vaSIkaroti /
   sarveṣāmaṣṭasahasriko homaḥ saptarātram / śucirbhūtvā caturbhaktoṣitaḥ	sarvezAm azwa sahasrikaH homaH sapta rAtram / SuciH BUtvA catur Bakta uzitaH
   bilvasamidhābhiragniṃ prajvālya, bilvānāṃ juhuyāt / śatasahasraṃ nidhānaṃ	bilva samiDABiH agnim prajvAlya, bilvAnAm juhuyAt / Sata sahasram niDAnam
   paśyati / viṃśatirātraṃ kṣīrayāvakāhāreṇa śvetasarṣapāṇāṃ lakṣaṃ juhuyāt /	paSyati / viMSati rAtram kzIra yAvaka AhAreNa Sveta sarzapANAm lakzam juhuyAt /
   arthaṃ labhate / kṛtapuraścaraṇaḥ gaurasarṣapāṇāṃ ghṛtāktānāṃ	arTam laBate / kRta puraScaraNaH gOrasarzapANAm GRta aktAnAm
   paṭasyāgrataḥ rātrau divasaṃ juhuyāt / māsena va suvṛṣṭiryatrecchati /	pawasya agratas rAtrO divasam juhuyAt / mAsena va su vRzwiH yatra icCati /
   caturbhaktoṣito daśasahasrāṇi etadeva juhuyāt / arthaṃ labhate / sadhātuke	catur Bakta uzitaH daSa sahasrANi etat eva juhuyAt / arTam laBate / sa DAtuke
   caitye paṭaṃ pratiṣṭhāpya, palāśakāṣṭhairagniṃ prajvālya, utpalānāṃ lakṣaṃ	cEtye pawam pratizWApya, palASa kAzWEH agnim prajvAlya, utpalAnAm lakzam
   juhuyāt / grāmaṃ labhati / paṭasyāgrataḥ gandhapuṣpadhūpaṃ vā	juhuyAt / grAmam laBati / pawasya agratas ganDa puzpa DUpam vA
   kṣīrayāvakāhāraḥ padmaṃ juhuyāt / suvarṇasahasraṃ pratilabhate / kumudānāṃ	kzIra yAvaka AhAraH padmam juhuyAt / suvarNa sahasram pratilaBate / kumudAnAm
   paṭasyāgrato lakṣaṃ juhuyāt / yaṃ manasā cintayati; taṃ labhate /	pawasya agratas lakzam juhuyAt / yam manasA cintayati; tam laBate /
   paṭasyāgrato bilvānāṃ sahasraṃ juhuyāt / nidhānaṃ paśyati / paṭasyāgrato	pawasya agratas bilvAnAm sahasram juhuyAt / niDAnam paSyati / pawasya agratas 
   dadhimadhughṛtāktānāṃ padmānāṃ śatasahasraṃ juhuyāt kṣīrayāvakāhāraḥ /	daDi maDu GRta aktAnAm padmAnAm Sata sahasram juhuyAt kzIra yAvaka AhAraH /
   suvarṇasahasraṃ pratilabhe / trirātroṣito 'garusamidhānāmaṣṭasahasraṃ	suvarNa sahasram pratilaBe / tri rAtra uzitaH agaru samiDAnAm azwa sahasram
