   Sarva Tathāgata Tattva Saṅgrah	Sarva TaTAgataH Tattva SaFgrah
   cakro maṇḍalayogāttu vāglāpājjapanucyate // 3 //	cakraH maNxala yogAt tu vAc lApAt japanucyate // 3 //
   sarvavajraṃ tu viśvatvād varmadurbhedyayogataḥ /	sarva vajram tu viSva tvAt varma durBedya yogataH /
   daṃṣṭrā bhīṣaṇayogāttu bandho mudrāprayogataḥ // 4 //	daMzwrAH BIzaNa yogAt tu banDaH mudrA prayogataH // 4 //
   yathā hi bhagavān śāśvo vajrasatvastu sarvagaḥ /	yaTA hi BagavAn SASvaH vajra satvaH tu sarva gaH /
   tathā vajrāṃ tu cihnādi bhāvayanniti sidhyatī  //	taTA vajrAm tu cihna Adi BAvayan= iti siDyatI //
   tyāha bhagavān sarvatathāgatacinhaḥ /	tyAha BagavAn sarva taTAgata cinhaH /
   sarvakulacihnābhidhānasiddhiguhyatantraṃ //	sarva kula cihna aBiDAna sidDi guhya tantram //
   atha vajrapāṇirmahābodhisatvaḥ	aTa vajrapANiH mahAboDisatvaH
   sarvatathāgatamudrābandhotpattisiddhiguhyatantramudājahāra / tatredaṃ	sarva taTAgata mudrA banDa utpatti sidDi guhya tantram udAjahAraH / tatra idam
   tathāgatamudrābandhotpattisiddhiguhyatantraṃ /	taTAgata mudrA banDa utpatti sidDi guhya tantram /
   badhvā vai vajraparyaṅkaṅkarābhyāṃ vajrabandhataḥ /	baDvAH vE vajra paryaFkaFkarAByAm vajra banDataH /
   vajrasatvasamādhisthaḥ śīghraṃ buddhatvamāpnuyād //	vajra satva samADi sTaH SIGram budDa tvam ApnuyAt //
   ityāha bhagavān buddhaḥ //	iti Aha BagavAn budDaH //
   [tatre]daṃ tathāgatakulamudrābandhotpattisiddhiguhyatantraṃ /	[tatre]dam taTAgata kula mudrA banDa utpatti sidDi guhya tantram /
   yathā rājñāṃ svamudrābhiḥ mudryate rājaśāsanaṃ /	yaTA rAjQAm sva mudrABiH mudryate rAja SAsanam /
   mahātmanāṃ svamudrābhirāmudryante tathā janāḥ // 1 //	mahAtmanAm sva mudrABiH Amudryante taTA janAH // 1 //
   kāyavākcittavajrāṇāṃ pratibimbaprayogataḥ /	kAya vAc citta vajrANAm pratibimba prayogataH /
   mahātmanāṃ mahāmudrā iti vijñāya sidhyatī  // 2 //	mahAtmanAm mahAmudrA iti vijQAya siDyatI // 2 //
   tyāha bhagavān mahāmudraḥ //	tyAha BagavAn mahAmudraH //
   tatredaṃ vajrakulamudrābandhotpattisiddhiguhyatantraṃ /	tatra idam vajra kula mudrA banDa utpatti sidDi guhya tantram /
   yathāhi samayaistīvraiḥ kaścidbandho bhavejjanaḥ /	yaTA hi samayEH tIvrEH kaScid banDaH Bavet janaH /
   anatikramaṇīyaistu tathā sarvatathāgatāḥ // 1 //	anatikramaNIyEH tu taTA sarva taTAgatAH // 1 //
   baddhā hi vajrabandhāgryamudrāsamayabandhanaiḥ /	badDA hi vajra banDa agryam udrA samaya banDanEH /
   nātikramantyāmaraṇāditi vijñāya sidhyatī  //	na atikramanti A maraNAt iti vijQAya siDyatI //
   tyāha bhagavān vajrasamayaḥ //	tyAha BagavAn vajra samayaH //
   tatredaṃ dharmakulamudrābandhotpattisiddhiguhyatantraṃ /	tatra idam Darma kula mudrA banDa utpatti sidDi guhya tantram /
   anatikramaṇīyā hi vajravāssarvaśo jinaiḥ /	anatikramaNIyAH hi vajra vAssarvaSas jinEH /
   ayaṃ bandha iti jñātvā dharmamasya prasidhyatī  //	ayam banDaH iti jQAtvA Darmam asya prasiDyatI //
   tyāha bhagavān vajradharmaḥ //	tyAha BagavAn vajra DarmaH //
   tatredaṃ karmakulamudrābandhotpattisiddhiguhyatantraṃ /	tatra idam karma kula mudrA banDa utpatti sidDi guhya tantram /
   anatikramaṇīyā hi vajrājñā karmabhūri ca /	anatikramaNIyA hi vajra AjQA karma BUri ca /
   ājñāvatastu tatkarma vijñāya laghu sidhyatī  //	AjQAvataH tu tat karma vijQAya laGu siDyatI //
   tyāha bhagavān vajraḥ //	tyAha BagavAn vajraH //
   sarvakulamudrābandhotpattisiddhividhivistaraguhyatantraṃ //	sarva kula mudrA banDa utpatti sidDi viDi vistara guhya tantram //
   atha khalu bhagavān vajrapāṇiṃ mahābodhisatvamevamāha / "idamapi mayā	aTa Kalu BagavAn vajrapANim mahA boDisatvam evam Aha / "idam api mayA
   bhagavan parigṛhītamadhiṣṭhitaṃ ce " ti //	Bagavan parigRhItam aDizWitam ce " ti //
   atha sarvatathāgatāḥ punaḥ samājamāgamya vajrapāṇaye	aTa sarva taTAgatAH punar samAjam Agamya vajrapANaye
   sarvatathāgatadhipataye sādhukārāṇyadaduḥ //	sarva taTA gataDipataye sADukArANi adaduH //
   sādhu te vajrasatvāya vajraratnāya sādhu te /	sADu te vajra satvAya vajra ratnAya sADu te /
   vajradharmāya te sādhu sādhu te vajrakarmaṇe //	vajra DarmAya te sADu sADu te vajrakarmaNe //
   subhāṣitamidaṃ sūtraṃ vajrayānamanuttaraṃ /	suBAzitam idam sUtram vajrayAnam anuttaram /
   sarvatathāgataṃ guhyaṃ mahāyānābhisaṃgraham // iti //	sarva taTAgatam guhyam mahA yAna aBisaMgraham // iti //
   sarvatathāgatatatvasaṃgrahātsarvakulakalpaguhyavidhivistaratantraṃ	sarva taTAgata tatva saMgrahAt sarva kula kalpa guhya viDi vistara tantram
   samāptaṃ //	samAptam //
   CHAPTER 25 SARVA KALPA GUHYOTTARA TANTRA VIDHI VISTARA	CHA aPTER 25 SARVA  Ka ALPa a GUHYOTTAH Ra a TANTRA  VIDHI VISTARA
   atha vajrapāṇirmahābodhisatvaḥ	aTa vajrapANiH mahAboDisatvaH
   sarvatathāgatadharmottamasiddhitantramudājahāra / tatredaṃ	sarva taTAgata Darma uttama sidDi tantram udAjahAraH / tatra idam
   tathāgatadharmottamasiddhitantraṃ	taTAgata Darma uttama sidDi tantram
   buddhadharmasamādhiṃ tu bhāvayan susamāhitaḥ /	budDa Darma samADim tu BAvayan su samAhitaH /
   buddhānusmṛtiyogena siddhimāpnotyuttamām //	budDa anusmRti yogena sidDim Apnoti uttamAm //
   ityāha bhagavāṃstathāgataḥ /	iti Aha BagavAn= taTAgataH /
   tatredaṃ tathāgatakuladharmottamasiddhitantraṃ /	tatra idam taTAgata kula Darma uttama sidDi tantram /
   sarvasatvasamādhisthaḥ bhāvayan susamāhitaḥ /	sarva satva samADi sTaH BAvayan su samAhitaH /
   rāgānusmṛtiyogena prāpnuyāt siddhimuttamām //	rAga anusmRti yogena prApnuyAt sidDim uttamAm //
   ityāha bhagavān sarvatathāgatasamādhiḥ //	iti Aha BagavAn sarva taTAgata samADiH //
   tatredaṃ vajrakuladharmottamasiddhitantraṃ /	tatra idam vajra kula Darma uttama sidDi tantram /
   trilokavijayākāraṃ bhāvayan puratastathā /	triloka vijaya AkAram BAvayan puratas taTA /
   vajrapāṇibalo bhūtvā trilokavijayī bhaved //	vajrapANi balaH BUtvA triloka vijayI Bavet //
   ityāha bhagavān vajrasatvaḥ //	iti Aha BagavAn vajra satvaH //
   tatredaṃ padmakuladharmottamasiddhitantraṃ /	tatra idam padma kula Darma uttama sidDi tantram /
   jagadvinayadharmaṃ tu bhāvayan puratasta[thā /]	jagat vinaya Darmam tu BAvayan puratas ta[TAH /]
   sarvākāravaropetaṃ vinayaṃ prakaroti sa //	sarva AkAra vara upetam vinayam prakaroti saH //
   ityāha bhagavān vajradharmaḥ //	iti Aha BagavAn vajra DarmaH //
   tatredaṃ maṇikuladharmottamasiddhitantraṃ /	tatra idam maNi kula Darma uttama sidDi tantram /
   sarvārthasiddhirā[kāraṃ bhāvayan puratastathā /	sarva arTa sidDiH A[kAram BAvayan puratas taTA /
   sarvākāravaropetamarthasaṃpatsa lapsyate  //	sarva AkAra vara upetam arTa saMpad sa lapsyate //
   tyāha bhagavān vajrapāṇiḥ //	tyAha BagavAn vajrapANiH //
   sarvakuladharmottamasiddhividhivistaratantraṃ //	sarva kula Darma uttama sidDi viDi vistara tantram //
   atha vajrapāṇirmahābodhisatvaḥ	aTa vajrapANiH mahAboDisatvaH
   sarvatathāgatadharmasamayasiddhitantramudājahāra / tatredaṃ	sarva taTAgata Darma samaya sidDi tantram udAjahAraH / tatra idam
   tathāgatadharmasamayasiddhitantraṃ /	taTAgata Darma samaya sidDi tantram /
   buddhā[nusmṛ]timāṃ bhūtvā vajra vajra iti brūvan /	budDA[nusmR]timAm BUtvA vajra vajraH iti brUvan /
   sūkṣmavajraprayogeṇa buddhasiddhimavāpnute  //	sUkzma vajra prayogeNa budDa sidDim avApnute //
   tyāha bhagavān buddhaḥ //	tyAha BagavAn budDaH //
   tatredaṃ tathāgatakuladharmasamayasiddhitantraṃ /	tatra idam taTAgata kula Darma samaya sidDi tantram /
   vajrasatvasamādhintu bhāvayan sūkṣmavajrataḥ /	vajra satva samADintu BAvayan sUkzma vajrataH /
   vajrasatvatvamāpnoti vajrasatvamudāharanna //	vajra satva tvam Apnoti vajra satvam udAharan naH //
   ityāha bhagavān vajrasatvaḥ //	iti Aha BagavAn vajra satvaH //
   tatredaṃ vajrakuladharmasamayasiddhitantraṃ /	tatra idam vajra kula Darma samaya sidDi tantram /
   trilokavijayākāran saṃsmaran puratastathā /	triloka vijaya AkAran saMsmaran puratas taTA /
   huṃ huṃ huṃ humiti procya siddhimāpnotyanuttarām //	hum hum hum hum iti procya sidDim Apnoti anuttarAm //
   ityāha bhagavān vajrahuṃkāraḥ /	iti Aha BagavAn vajra huMkAraH /
   tatredaṃ padmakuladharmasamayasiddhitantraṃ /	tatra idam padma kula Darma samaya sidDi tantram /
   jagadvinayarūpaṃ tu bhāvayan sūkṣmavajrataḥ /	jagat vinaya rUpam tu BAvayan sUkzma vajrataH /
   śudhya śudhya iti procya uttamāṃ siddhimāpnute  //	SuDya SuDyaH iti procya uttamAm sidDim Apnute //
   tyāha bhagavān vajradharmaḥ /	tyAha BagavAn vajra DarmaH /
   tatredaṃ maṇikuladharmasamayasiddhitantraṃ /	tatra idam maNi kula Darma samaya sidDi tantram /
   sarvārthasiddhirūpaṃ tu bhāvayan sūkṣmavajrataḥ /	sarva arTa sidDi rUpam tu BAvayan sUkzma vajrataH /
   sidhya sidhya iti procya arthasiddhiḥ parā bhaved //	siDya siDyaH iti procya arTa sidDiH parA Bavet //
   ityāha bhagavān maṇidharmaḥ //	iti Aha BagavAn maNi DarmaH //
   sarvakuladharmasamayasiddhividhivistaratantraṃ //	sarva kula Darma samaya sidDi viDi vistara tantram //
   atha vajrāpāṇirmahābodhisatvaḥ	aTa vajrApANiH mahA boDisatvaH
   sarvatathāgatasaddharmajñānasiddhitantramudājahāra / tatredaṃ	sarva taTAgata sad Darma jQAna sidDi tantram udAjahAraH / tatra idam
   sarvatathāgatasaddharmajñānasiddhitantra /	sarva taTAgata sad Darma jQAna sidDi tantra /
   anakṣaraṃ tu saddharmaṃ samādhijñānasaṃbhavaṃ /	anakzaram tu sadDarmam samADi jQAna saMBavam /
   akārastena dharmāṇāmanutpāda iti smṛtaḥ // 1 //	akAraH tena DarmANAm anutpAdaH iti smRtaH // 1 //
   anena mudrāprayogeṇa bhāvayan prajñayā tataḥ /	anena mudrA prayogeNa BAvayan prajQayA tatas /
   sarvākṣaramayaṃ jñānaṃ sidhyate saugataṃ kṣaṇād // 2 //	sarva akzara mayam jQAnam siDyate sOgatam kzaNAt // 2 //
   ityāha bhagavān āryamañjuśrīsarvatathāgataḥ //	iti Aha BagavAn Aryam aQju SrI sarva taTA gataH //
   tatredaṃ tathāgatakulasaddharmajñānasiddhitantraṃ /	tatra idam taTAgata kula sat Darma jQAna sidDi tantram /
   sarvatathāgataṃ tatvamidaṃ sūtraṃ tu śraddadhan /	sarva taTAgatam tatvam idam sUtram tu SraddaDan /
   dhārayan vācayan śrāddhaḥ siddhimāpnotyanuttarām //	DArayan vAcayan SrAdDaH sidDim Apnoti anuttarAm //
   ityāha bhagavān vajrasatvaḥ /	iti Aha BagavAn vajra satvaH /
   tatredaṃ vajrakulasaddharmajñānasiddhitantraṃ /	tatra idam vajra kula sat Darma jQAna sidDi tantram /
   pāpasatvahitārthāya buddhājñākaraṇāya ca /	pApa satva hita arTAya budDa AjQA karaNAya ca /
   duṣṭānāṃ vinayārthāya māraṇena tu sidhyatī  //	duzwAnAm vinaya arTAya mAraNena tu siDyatI //
   tyāha bhagavān vajrakulaḥ //	tyAha BagavAn vajra kulaH //
   tatredaṃ padmakulasaddharmajñānasiddhitantraṃ /	tatra idam padma kula sat Darma jQAna sidDi tantram /
   svabhāvaśuddhimāgamya paramārthamiti smṛtaṃ /	svaBAva SudDim Agamya parama arTam iti smRtam /
   bhāvayannidamādyaṃ tu dharmeṇāśu prasidhyatī  //	BAvayan= idama Adyam tu DarmeNa ASu prasiDyatI //
   tyāha bhagavānavalokiteśvaraḥ //	tyAha BagavAn avalokiteSvaraH //
   tatredaṃ maṇikulasaddharmajñānasiddhitantraṃ /	tatra idam maNi kula sat Darma jQAna sidDi tantram /
   sarvasatvārthadānaṃ ca sarvāśāparipūraye /	sarva satva arTa dAnam ca sarva ASA paripUraye /
   imaṃ maṇikule dharma bhāvayannāśu sidhyatī  //	imam maNi kule Darma BAvayan= ASu siDyatI //
   tyāha bhagavān dharmaratnaḥ //	tyAha BagavAn Darma ratnaH //
   sarvakulasaddharmajñānasiddhividhivistaratantraṃ //	sarva kula sat Darma jQAna sidDi viDi vistara tantram //
   atha vajrapāṇirmahābodhisatvaḥ	aTa vajrapANiH mahAboDisatvaH
   sarvatathāgatasamādhikarmasiddhitantramudājahāra / tatredaṃ	sarva taTAgata samADi karma sidDi tantram udAjahAraH / tatra idam
   tathāgatasamādhikarmasiddhitantraṃ /	taTAgata samADi karma sidDi tantram /
   samādhikarma buddhānāṃ buddhabodhiprasādhakaṃ /	samADi karma budDAnAm budDa boDi prasADakam /
   idaṃ bhāvayamānastu parāṃ siddhimavāpnuyād //	idam BAvayamAnaH tu parAm sidDim avApnuyAt //
   ityāha bhagavān buddhaḥ //	iti Aha BagavAn budDaH //
   tatredaṃ [tathāgata] kulasamādhikarmasiddhitantraṃ //	tatra idam [taTAgata] kula samADi karma sidDi tantram //
   vajrasatvasamādhīnāmuttamaṃ karmabhūri ca /	vajra satva sama aDInAm uttamam karma BUri ca /
   sarvasatvakaraṃ viśvamiti bhāvena sidhyatī  //	sarva satva karam viSvam iti BAvena siDyatI //
   tyāha bhagavān vajraḥ //	tyAha BagavAn vajraH //
   tatredaṃ vajrakulasamādhikarmasiddhitantraṃ /	tatra idam vajra kula samADi karma sidDi tantram /
   pāpaśuddhinimittaṃ hi sarvapāpapradāmakaṃ /	pApa SudDi nimittam hi sarva pApa pradAmakam /
   māraṇaṃ sarvasatvānāṃ śraddadhānāttu sidhyatī  //	mAraNam sarva satvAnAm SraddaDAnAt tu siDyatI //
   tyāha bhagavān vajrī //	tyAha BagavAn vajrI //
   tatredaṃ padmakulasamādhikarmasiddhitantraṃ /	tatra idam padma kula samADi karma sidDi tantram /
   sarvapāpaviśuddhātmā sarvaśuddhyā karoti saḥ /	sarva pApa viSudDa AtmA sarva SudDyA karoti saH /
   sarvakāryāṇi karmeyamiti bhāvena sidhyati //	sarva kAryANi karma iyam iti BAvena siDyati //
   ityāha bhagavān padmaḥ //	iti Aha BagavAn padmaH //
   tatredaṃ maṇikulasamādhikarmasiddhitantraḥ /	tatra idam maNi kula samADi karma sidDi tantraH /
   sarvāśināṃ daridrāṇāṃ sarvāśāḥ paripūrayan /	sarva ASinAm daridrANAm sarva ASAH paripUrayan /
   sarvārthasiddhiḥ sarvātmā sidhyate nātra saṃśaya //	sarva arTa sidDiH sarva AtmA siDyate na atra saMSaya //
   ityāha bhagavān ratnadhvajaḥ //	iti Aha BagavAn ratnaDvajaH //
   sarvakulasamādhikarmasiddhividhivistaratantraḥ //	sarva kula samADi karma sidDi viDi vistara tantraH //
   atha vajrapāṇirmahābodhisatvaḥ	aTa vajrapANiH mahAboDisatvaH
   sarvatathāgatasūkṣmajñānasiddhitantramudājahāra / tatredaṃ	sarva taTAgata sUkzma jQAna sidDi tantram udAjahAraH / tatra idam
   tathāgatasūkṣmajñānasiddhitantraṃ bhavati /	taTAgata sUkzma jQAna sidDi tantram Bavati /
   sūkṣmavajravidhiṃ śāśvat yojayaṃ sarvabhāvataḥ /	sUkzma vajra viDim SASvat yojayam sarva BAvataH /
   sarvākāravaropetāṃ pañcābhijñāmavāpnuyād //	sarva AkAra vara upetAm paQca aBijQAm avApnuyAt //
   ityāha bhagavān buddhaḥ //	iti Aha BagavAn budDaH //
   tatredaṃ sarvatathāgatakulasūkṣmajñānasiddhitantraṃ /	tatra idam sarva taTAgata kula sUkzma jQAna sidDi tantram /
   nānācāryasya nānyasya nāśiṣyasyāsutasya vā /	nAnA AcAryasya na anyasya na aSizyasya asutasya vA /
   purataḥ prakāśayenmudrāḥ siddhirāsāṃ suguhyata //	puratas prakASayet mudrAH sidDirAsAm su guhyata //
   ityāha bhagavān vajradharaḥ /	iti Aha BagavAn vajraDaraH /
   tatredaṃ vajrakulasūkṣmajñānasiddhitantraṃ /	tatra idam vajra kula sUkzma jQAna sidDi tantram /
   sūkṣmavajraprayogeṇa nāsā huṃ kārayogataḥ /	sUkzma vajra prayogeNa nAsA huM kAra yogataH /
   vajrakrodhasamādhisthaḥ sarvakāryāṇi sādhayed //	vajra kroDa samADi sTaH sarva kAryANi sADayet //
   ityāha bhagavān vajraḥ //	iti Aha BagavAn vajraH //
   tatredaṃ padmakulasūkṣmajñānasiddhitantraṃ /	tatra idam padma kula sUkzma jQAna sidDi tantram /
   vajradṛṣṭiṃ samādhāya sūkṣmavajraprayogataḥ /	vajra dRzwim samADAya sUkzma vajra prayogataH /
   mahāpadmasamādhisthaḥ rāgasiddhimavāpnuyād //	mahApadma samADi sTaH rAga sidDim avApnuyAt //
   ityāha bhagavān padmarāgaḥ //	iti Aha BagavAn padmarAgaH //
   tatredaṃ maṇikulasūkṣmajñānasiddhitantraṃ /	tatra idam maNi kula sUkzma jQAna sidDi tantram /
   dīptadṛṣṭiḥ susūkṣmā tu vajraratnasamādhinā /	dIpta dRzwiH su sUkzmA tu vajra ratna samADinA /
   sūkṣmavajraprayogeṇa sarvārthākarṣo bhaved //	sUkzma vajra prayogeNa sarva arTa AkarzaH Bavet //
   ityāha bhagavān vajrapāṇiḥ /	iti Aha BagavAn vajrapANiH /
   sarvakulasūkṣmajñānasiddhitantraṃ //	sarva kula sUkzma jQAna sidDi tantram //
   atha vajrapāṇīrmahābodhisatvaḥ	aTa vajrapANIH mahAboDisatvaH
   sarvatathāgatacakṣurjñānasiddhitantramudājahāra / tatredaṃ	sarva taTAgata cakzuH jQAna sidDi tantram udAjahAraH / tatra idam
   tathāgatacakṣurjñānasiddhitantraṃ /	taTAgata cakzuH jQAna sidDi tantram /
   yadā mudrā samādhirvā sādhanāyopayujyati /	yadA mudrA samADiH vA sADanAya upayujyati /
   tadā khe dhātavaḥ śubhrāstārakākārāḥ sa paśyati // 1 //	tadA Ke DAtavaH SuBrAH tAraka AkArAH sa paSyati // 1 //
   tadā jānīta matimāṃ buddhacakṣuridaṃ mama /	tadA jAnIta matimAm budDa cakzuH idam mama /
   tataḥ prabhṛti buddhānāṃ sarvakalpāni sādhayed // 2 //	tatas praBRti budDAnAm sarva kalpAni sADayet // 2 //
   ityāha bhagavān buddhaḥ //	iti Aha BagavAn budDaH //
   tatredaṃ tathāgatakulacakṣurjñānasiddhitantraṃ /	tatra idam taTAgata kula cakzuH jQAna sidDi tantram /
   yāvanto bhāvā vidyante sthāvarā jaṃgamāstathā /	yAvantaH BAvAH vidyante sTAvarAH jaMgamAH taTA /
   teṣāṃ pratibimbāni paśyati khe pradhāvataḥ // 1 //	tezAm pratibimbAni paSyati Ke praDAvataH // 1 //
   āgacchaṃ gacchato vai vajracakṣurviśuddhitāṃ /	AgacCam gacCataH vE vajra cakzuH viSudDi tAm /
   jānanvai pūjayā siddhimāpnotyanuttarām // 2 //	jAnan vE pUjayA sidDim Apnoti anuttarAm // 2 //
   ityāha bhagavān vajrasatvaḥ //	iti Aha BagavAn vajra satvaH //
   tatredaṃ vajrakulacakṣurjñānasiddhitantraṃ /	tatra idam vajra kula cakzuH jQAna sidDi tantram /
   savyāpasavyavartibhyo khe taḥ paśyati cakṣuṣā /	savya apasavya vartiByaH Ke taH paSyati cakzuzA /
   ākāśadhātavaḥ śīghraṃ bhramanto aṃbhrasannibhāḥ // 1 //	AkASa DAtavaH SIGram BramantaH aMBra sat niBAH // 1 //
   tāṃ dṛṣṭvā na hi bibhyeta mudrāstā vajrasaṃbhavāḥ /	tAm dRzwvA na hi biByeta mudrAH tAH vajra saMBavAH /
   teṣāṃ grahaṇato mudrāḥ sidhyante mudracakṣuṣā // 2 //	tezAm grahaNataH mudrAH siDyante mudra cakzuzA // 2 //
   ityāha bhagavān vajraḥ //	iti Aha BagavAn vajraH //
   tatredaṃ padmakula cakṣurjñānasiddhitantraṃ /	tatra idam padma kula cakzuH jQAna sidDi tantram /
   śvetāṃ raktāṃ sitāṃ pitāṃ yadā paśyanti maṇḍalān /	SvetAm raktAm sitAm pitAm yadA paSyanti maNxalAn /
   tadābhi[prāyaṃ vai] yānti sidhyante vajracakṣuṣā // 2 //	tadA aBi[prAyam vE] yAnti siDyante vajra cakzuzA // 2 //
   ityāha bhagavānavalokiteśvaraḥ /	iti Aha BagavAn avalokita ISvaraH /
   tatredaṃ maṇikulacakṣurjñānasiddhitantraṃ /	tatra idam maNi kula cakzuH jQAna sidDi tantram /
   ākāśe ratnasaṃkāśā hiraṇyādiṣu sādṛśāḥ /	AkASe ratna saMkASAH hiraNya Adizu sAdRSAH /
   yadā tu paśyate khe tu khacakṣuḥ sidhyate sade  /	yadA tu paSyate Ke tu KacakzuH siDyate sade /
   tyāha bhagavān vajragarbhaḥ /	tyAha BagavAn vajragarBaH /
   sarvakulacakṣurjñānasiddhividhivistaratantraṃ //	sarva kula cakzuH jQAna sidDi viDi vistara tantram //
   atha vajrapāṇirmahābodhisatvaḥ	aTa vajrapANiH mahAboDisatvaH
   sarvatathāgatakarmottamasiddhitantramudājahāra / tatredaṃ	sarva taTAgata karma uttama sidDi tantram udAjahAraH / tatra idam
   tathāgatakarmottamasiddhitantraṃ /	taTAgata karma uttama sidDi tantram /
   karmamaṇḍalayogena pūjayaṃ sarvanāyakān /	karma maNxala yogena pUjayam sarva nAyakAn /
   rāgasaukhyavipākārthaṃ buddhasiddhimavāpnuyād //	rAga sOKya vipAka arTam budDa sidDim avApnuyAt //
   ityāha bhagavān buddhaḥ //	iti Aha BagavAn budDaH //
   tatredaṃ tathāgatakulakarmottamasiddhitantraṃ /	tatra idam taTAgata kula karma uttama sidDi tantram /
   guhyapūjāṃ prakurvāṇo rāgo 'hamiti bhāvayan /	guhya pUjAm prakurvANaH rAgaH aham iti BAvayan /
   prāpnuyāduttamāṃ siddhiṃ vajrarāgasamadyutim //	prApnuyAt uttamAm sidDim vajra rAga sama dyutim //
   ityāha bhagavān kāmaḥ //	iti Aha BagavAn kAmaH //
   tatredaṃ vajrakulakarmottamasiddhitantraṃ /	tatra idam vajra kula karma uttama sidDi tantram /
   guhyapūjāṃ prakurvāṇo krodho 'hamiti bhāvayan /	guhya pUjAm prakurvANaH kroDaH aham iti BAvayan /
   prāpnuyāduttamāṃ siddhiṃ trilokavijayopamām //	prApnuyAt uttamAm sidDim triloka vijaya upamAm //
   ityāha bhagavān vajrapāṇiḥ //	iti Aha BagavAn vajrapANiH //
   tatredaṃ padmakulakarmottamasiddhitantraṃ /	tatra idam padma kula karma uttama sidDi tantram /
   antargatena manasā kāmaśuddhiṃ tu bhāvayan /	antargatena manasA kAmaSudDim tu BAvayan /
   svare 'to bindubhirbuddhāṃ pūjayaṃ siddhimāpnuyād //	svare atas binduBiH budDAm pUjayam sidDim ApnuyAt //
   ityāha bhagavānavalokiteśvaraḥ //	iti Aha BagavAn avalokita ISvaraH //
   tatredaṃ maṇikulakarmottamasiddhitantraṃ /	tatra idam maNi kula karma uttama sidDi tantram /
