   bhāmatī	BAmatI
   yājñavalkyasyottaram mahimāna evaiṣāmete trayastriṃśattveva devā iti /	yAjQavalkyasya uttaram mahimAnaH eva ezAm ete trayastriMSattvA iva devAH iti /
   aṣṭau vasava ekādaśa rudrā dvādaśādityā indraśca prajāpatiśceti	azwO vasavaH ekAdaSa rudrAH dvAdaSa AdityAH indraH ca prajApatiH ca iti
   trayastriṃśaddevāḥ /	trayastriMSat devAH /
   tatrāgniśca pṛthivī ca vāyuścāntarikṣaṃ cādityaśca dyauśca candramāśca	tatra agniH ca pRTivI ca vAyuH ca antarikzam ca AdityaH ca dyOH ca candramAH ca
   nakṣatrāṇi ceti vasavaḥ /	nakzatrANi ca iti vasavaH /
   ete hi prāṇināṃ karmaphalāśrayeṇa kāryakāraṇasaṃghātarūpeṇa pariṇamanto	ete hi prANinAm karma Pala ASrayeNa kArya kAraNa saMGAta rUpeNa pariNamantaH 
   jagadidaṃ sarvaṃ vāsayanti, tasmādvasavaḥ /	jagat idam sarvam vAsayanti, tasmAt vasavaH /
   katame rudrā iti daśeme puruṣe prāṇāḥ buddhikarmendriyāṇi daśa, ekādaśaṃ	katame rudrAH iti daSa ime puruze prANAH budDi karma indriyANi daSa, ekAdaSam
   ca mana iti /	ca manaH iti /
   tadetāni prāṇaḥ, tadvṛttitvāt /	tat etAni prANaH, tad vRtti tvAt /
   te hi prāyaṇakāla utkrāmantaḥ puruṣaṃ rodayantīti rudrāḥ /	te hi prAyaNa kAle utkrAmantaH puruzam rodayanti iti rudrAH /
   katama ādityā iti dvādaśamāsāḥ saṃvatsarasyāvayavāḥ punaḥ punaḥ	katamaH AdityAH iti dvAdaSa mAsAH saMvatsarasya avayavAH punar punar 
   paruvartamānāḥ prāṇabhṛtāmāyūṃṣi ca karmaphalopabhogaṃ	paru vartamAnAH prANaBRtAm AyUMzi ca karma Pala upaBogam
   cādāpayantītyādityāḥ /	ca AdApayanti iti AdityAH /
   aśanirindraḥ, sā hi balaṃ, sā hīndrasya paramā īśatā, tayā hi	aSaniH indraH, sA hi balaM, sA hi indrasya paramAH ISatA, tayA hi
   sarvānprāṇinaḥ pramāpayati, tena stanayitnuraśanirindraḥ /	sarvAn prANinaH pramApayati, tena stanayitnuH aSaniH indraH /
   yajñaḥ prajāpitiriti, yajñasādhanaṃ ca yajñarūpaṃ ca paśavaḥ prajāpatiḥ /	yajQaH prajA pitiH iti, yajQa sADanam ca yajQa rUpam ca paSavaH prajApatiH /
   eta eva trayastriṃśaddevāḥ ṣaṇṇāmagnipṛthivīvāyvantarikṣādityādivāṃ	ete eva trayastriMSat devAH zaNNAm agni pRTivI vAyu antarikzAt ityAdivAm
   mahimāno na tato bhidyante /	mahimAnaH na tatas Bidyante /
   ṣaḍeva tu devāḥ /	zaw eva tu devAH /
   te tu ṣaḍagniṃ pṛthivīṃ caikīkṛtyāntarikṣaṃ vāyuṃ caikīkṛtya divaṃ	te tu zaz agnim pRTivIm ca ekIkRtya antarikzam vAyum ca ekIkRtya divam
   cādityaṃ caikīkṛtya trayo lokāstraya eva devā bhavanti /	ca Adityam ca ekIkRtya trayaH lokAH trayaH eva devAH Bavanti /
   eta eva ca trayo 'nnaprāṇayorantarbhavanto 'nnaprāṇau dvau devau bhavataḥ	ete eva ca trayaH anna prANayoH antarBavantaH anna prANO dvO devO BavataH
   tāvapyadhyardho deva ekaḥ /	tO= api aDyarDaH devaH ekaH /
   katamo 'dhyardhaḥ, yo 'yaṃ vāyuḥ pavate /	katamaH aDyarDaH, yaH ayam vAyuH pavate /
   kathamayameka evādhyardhaḥ, yadasminsati sarvamidamadhyardhaṃ vṛddhiṃ	kaTam ayam ekaH eva aDyarDaH, yat asmin sati sarvam idam aDyarDam vRdDim
   prāpnoti tenādhyardha iti /	prApnoti tena aDyarDaH iti /
   katama eka iti, sa evādhyardhaḥ prāṇa eko brahma /	katamaH ekaH iti, saH eva aDyarDaH prANaH ekaH brahma /
   sarvadevātmatvena bṛhattvādbrahma tadeva syādityācakṣate	sarva deva Atma tvena bRhat tvAt brahma tat eva syAt iti Acakzate
   parokṣābhidhāyakena śabdena /	parokza aBiDAyakena Sabdena /
   tasmādekasyaiva devasya mahimavaśādyugapadanekadevarūpatāmāha śrutiḥ /	tasmAt ekasya eva devasya mahima vaSAt yugapad aneka deva rUpa tAm Aha SrutiH /
   smṛtiśca nigavyākhyātā /	smRtiH ca nigavya AKyAtAH /
   api ca pṛthagjanānāmapyupāyānuṣṭhānavaśātprāptāṇimadyaiśvaryāṇāṃ	api ca pRTagjanAnAm api upAya anuzWAna vaSAt prApta aNi madya ESvaryANAm
   yugapannānākāyanirmāṇaṃ śrūyate, tatra kaiva kathā devānāṃ	yugapad nAnA kAya nirmANam SrUyate, tatra kA eva kaTA devAnAm
   svabhāvasiddhānāmityāha prāptāṇimādyaiśvaryāṇāṃ yogināmiti /	svaBAva sidDAnAm iti Aha  prApta aNim a Adi ESvaryANAm yoginAm iti /
   aṇimā laghimā mahimā prāptiḥ prākāmyamīśitvaṃ vaśitvaṃ	aNimA laGimA mahimA prAptiH prAkAmyam ISitvam vaSi tvam
   yatrakāmāvasāyitetyaiśvaryāṇi /	yatra kAma avasAyitA iti ESvaryANi /
   aparā vyākhyeti /	aparA vyAKyA iti /
   anekatra karmaṇi yugapadaṅgabhāvapratipattiraṅgabhāvagamanaṃ, tasya	anekatra karmaNi yugapad aFga BAva pratipattiH aFga BAva gamanan, tasya
   darśanāt /	darSanAt /
   tadeva parisphuṭaṃ darśayituṃ vyatirekaṃ tāvadāha kvacideka iti /	tat eva parisPuwam darSayitum vyatirekam tAvat Aha  kvacid ekaH iti /
   na khalu bahuṣu śrāddheṣveko brāhmaṇo yugapadaṅgabhāvaṃ gantumarhati /	na Kalu bahuzu SrAdDezu ekaH brAhmaNaH yugapad aFga BAvam gantum arhati /
   ekasyānekatra yugapadaṅgabhāvamāha kvaciccaika iti /	ekasya anekatra yugapad aFga BAva mAha kvacid ca ekaH iti /
   yathaikaṃ brāhmaṇamuddiśya yugapannamaskāraḥ kriyate bahubhistathā	yaTA ekam brAhmaNam uddiSya yugapad namaskAraH kriyate bahuBiH taTA
   svasthānasthitāmekāṃ devatāmuddiśya	sva sTAna sTitAm ekAm devatAm uddiSya
   bahubhiryajamānairnānādeśāvasthitairyugapaddhavistyajyate, tasyāśca	bahuBiH yajamAnEH nAnA deSa avasTitEH yugapad DaviH tyajyate, tasyAH ca
   tatrāsaṃnihitāyā apyaṅgabhāvo bhavati /	tatra asaMnihitAyAH api aFga BAvaH Bavati /
   asti hi tasyā yugapadviprakṛṣṭānekārthopalambhasāmarthyamityupapāditam	asti hi tasyAH yugapad viprakRzwAn eka arTa upalamBa sAmarTyam iti upapAditam
   START BsVBh_1,3.8.28	START BsVBh_1,3.8.28
   śabda iti cen nātaḥ prabhavāt pratyakṣānumānābhyām | BBs_1,3.28 |	SabdaH iti ced na atas praBavAt pratyakza anumAnAByAm | BBH _1,3.28 |
   śabda iti cennātaḥ prabhavātpratyakṣānumānābhyām /	SabdaH iti ced na atas praBavAt pratyakza anumAnAByAm /
   gotvādivatpūrvāvamarśābhāvādupādherapyekasyāpratīteḥ	go tva Adi vat pUrva avamarSa aBAvAt upADeH api ekasya apratIteH
   pācakādivadākāśadiśabdavadvyaktivacanā eva vasvādiśabdāḥ tasyāśca	pAcaka Adi vat AkASa di Sabda vat vyakti vacanAH eva vasu Adi SabdAH tasyAH ca
   nityatvāttayā saha saṃbandho nityo bhavet /	nitya tvAt tayA saha saMbanDaH nityaH Bavet /
   vigrahādiyoge tu sāvayavatvena vasvādīnāmanityatvāttataḥ pūrvaṃ	vigraha Adi yoge tu sAvayava tvena vasu AdInAm anitya tvAt tatas pUrvam
   vasvādiśabdo na svārthena saṃbaddha āsīt, svārthasyaivābhāvāt /	vasu Adi SabdaH na sva arTena saMbadDaH AsIt, sva arTasya eva aBAvAt /
   tataścotpanne vasvādau vasvādiśabdasaṃbandhaḥ	tatas ca utpanne vasu AdO vasu Adi Sabda saMbanDaH
   prādurbhavandevadattādiśabdasaṃbandhavatpuruṣabuddhiprabhava iti	prAdurBavan devadatta Adi Sabda saMbanDa vatpuruza budDi praBavaH iti
   tatpūrvako vākyārthapratyayo 'pi puruṣabuddhyadhīnaḥ syāt /	tad pUrvakaH vAkya arTa pratyayaH api puruza budDi aDInaH syAt /
   puruṣabuddhiśca mānāntarādhīnajanmeti mānāntarāpekṣayā prāmāṇyaṃ vedasya	puruza budDiH ca mAna antara aDIna janma iti mAna antara apekzayA prAmANyam vedasya
   vyāhanyeteti śaṅkārthaḥ /	vyAhanyeta iti SaFkA arTaH /
   uttaram na /	uttaram naH /
   ataḥ prabhavāt /	atas praBavAt /
   vasutvādijātivācakācchabdāttajjātīyāṃ vyaktiṃ cikīrṣitāṃ buddhivāsikhya	vasu tva Adi jAti vAcakAt SabdAt tad jAtIyAm vyaktim cikIrzitAm budDi vAsiKya
   tasyāḥ prabhavanam /	tasyAH praBavanam /
   tadidaṃ tatprabhavatvam /	tat idam tad praBava tvam /
   etaduktaṃ bhavati yadyapi na śabda upādānakāraṇaṃ vasvādīnāṃ	etat uktam Bavati yadi api na SabdaH upAdAnakAraNam vasu AdInAm
   brahmopādānatvāt, tathāpi nimittakāraṇamuktena krameṇa /	brahma upAdAna tvAt, taTA api nimitta kAraNa muktena krameNa /
   na caitāvatā śabdārthasaṃbandhasyānityatvaṃ, vasvādijātervā tadupādhervā	na ca etAvatA Sabda arTa saMbanDasya anitya tvaM, vasu Adi jAteH vA tad upADeH vA
   yayā kayācidākṛtyāvacchinnasya nityatvāditi /	yayA kayAcid AkRtya avacCinnasya nitya tvAt iti /
   imamevārtamākṣepasamādhānābhyāṃ vibhajate nanu janmādyasya yata iti /	imam eva Artam Akzepa samADAnAByAm viBajate nanu janma Adyasya yatas iti /
   te nigadavyākhyāte /	te nigada vyAKyAte /
   tatkimidānīṃ svayaṃbhuvā vāṅnirmitā kālidāsādibhiriva kumārasaṃbhavādi,	tat kim idAnIm svayaMBuvA vAc nirmitA kAli dAsa AdiBiH iva kumAra saMBava Adi,
   tathāca tadeva pramāṇāntarāpekṣavākyatvādaprāmāṇyamāpatitamityata	taTA ca tat eva pramANa antara apekza vAkya tvAt aprAmANyam Apatitam iti ata
   āha utsargo 'pyayaṃ vācaḥ saṃpradāyapravartanātmaka iti /	Aha utsargaH api ayam vAcaH saMpradAya pravartana AtmakaH iti /
   saṃpradāyo guruśiṣyaparamparayādhyayanam /	saMpradAyaH guru Sizya paramparayA aDyayanam /
   etaduktaṃ bhavati svayaṃbhuvo vedakartṛtve 'pi na	etat uktam Bavati  svayaMBuvaH veda kartR tve api na
   kālidāsādivatsvatantratvamapi tu pūrvasṛṣṭyanusāreṇa /	kAli dAsa Adi vat svatantra tvam api tu pUrva sRzwi anusAreNa /
   etaccāsmābhirupapāditam /	etat ca asmABiH upapAditam /
   upapādayiṣyati cāgre bhāṣyakāraḥ /	upapAdayizyati ca agre BAzya kAraH /
   api cādyatve 'pyetaddṛśyate /	api ca Adya tve api etat dRSyate /
   taddarśanātprācāmapi kartṝṇāṃ tathābhāvo 'numīyata ityāha apica	tad darSanAt prAcAm api kartLNAm taTA aBAvaH anumIyate iti Aha apica
   cikīrṣitamiti /	cikIrzitam iti /
   ākṣipati kimātmakaṃ punariti /	Akzipati kim Atmakam punar iti /
   ayamabhisaṃdhiḥ vācakaśabdaprabhavatvaṃ hi devānāmabhyupetavyaṃ, avācakena	ayam aBisaMDiH  vAcaka Sabda praBava tvam hi devAnAm aByupetavyan, avAcakena
   teṣāṃ buddhāvanālekhanāt /	tezAm budDA= anAleKanAt /
   tatra na tāvadvasvādīnāṃ vakārādayo varṇā vācakāḥ, teṣāṃ	tatra na tAvat vasu AdInAm vakAra AdayaH varNAH vAcakAH, tezAm
   pratyuccāraṇamanyatvenāśakyasaṃgatigrahatvāt,	pratyuccAraNam anya tvena aSakya saMgati graha tvAt,
   agṛhītasaṃgateśca vācakatve 'tiprasaṅgāt /	agRhIta saMgateH ca vAcaka tve ati prasaFgAt /
   api caite pratyekaṃ vā vākyārthamabhidadhīran militā vā /	api ca ete pratyekam vA vAkya arTam aBidaDIran militAH vA /
   na tāvatpratyekam, ekavarṇoccāraṇānantaramarthapratyayādarśanāt,	na tAvat pratyekam, eka varNa uccAraNa anantaram arTa pratyaya adarSanAt,
   varṇāntaroccāraṇānarthakyaprasaṅgācca /	varNa antara uccAraNa anarTakya prasaFgAt ca /
   nāpa militāḥ, teṣāmekavaktṛprayujyamānānāṃ rūpato vyaktito vā	na apa militAH, tezAm eka vaktR prayujyamAnAnAm rUpataH vyaktitaH vA
   pratikṣaṇamapavargiṇāṃ mithaḥ sāhityasaṃbhavābhāvāt /	pratikzaNam apavargiNAm miTas sAhitya saMBava aBAvAt /
   naca pratyekasamudāyābhyāmanyaḥ prakāraḥ saṃbhavati /	na ca pratyeka samudAyAByAm anyaH prakAraH saMBavati /
   naca svarūpasāhityābhāve 'pi varṇānāmāgneyādīnāmiva saṃskāradvārakamasti	na ca svarUpa sAhitya aBAve api varNAnAm Agneya AdInAm iva saMskAra dvArakam asti
   sāhityamiti sāṃprataṃ, vikalpāsahatvāt /	sAhityam iti sAMprataM, vikalpa asaha tvAt /
   ko nu khalvayaṃ saṃskāro 'bhimataḥ, kimapūrvamāgneyādijanyamiva, kiṃvā	kaH nu Kalu ayam saMskAraH aBimataH, kim apUrvam Agneya Adi janyam iva, kiMvA
   bhāvanāparanāmā smṛtiprasavabījam /	BAvanA para nAmA smRti prasava bIjam /
   na tāvatprathamaḥ kalpaḥ /	na tAvat praTamaH kalpaH /
   nahi śabdaḥ svarūpato 'ṅgato vāvidito	na hi SabdaH svarUpataH aFgataH vA aviditaH 
   'viditasaṃgatirarthadhīheturindriyavat /	avidita saMgatiH arTa DI hetuH indriya vat /
   uccaritasya badhireṇāgṛhītasya gṛhītasya vāgṛhītasaṃgaterapratyāyakatvāt /	uccaritasya baDireNa agRhItasya gRhItasya vAgRhIta saMgateH apratyAyaka tvAt /
   tasmādvidito viditasaṃgatirviditasamastajñāpanāṅgaśca śabdo	tasmAt viditaH vidita saMgatiH vidita samasta jQApana aFgaH ca SabdaH 
   dhūmādivatpratyāyako 'bhyupeyaḥ /	DUma Adi vat pratyAyakaH aByupeyaH /
   tathācāpūrvābhidhāno 'sya saṃskāraḥ	taTA ca apUrva aBiDAnaH asya saMskAraH
   pratyāyanāṅgamityarthapratyayātprāgvagantavyaḥ /	pratyAyana aFgam iti arTa pratyayAt prAk vagantavyaH /
   naca tadā tasyāvagamopāyo 'sti /	na ca tadA tasya avagama upAyaH asti /
   arthapratyayāttu tadavagamaṃ samarthayamāno	arTa pratyayAt tu tad avagamam samarTayamAnaH 
   duruttaramitaretarāśrayamāviśati, saṃskārāvasāyādarthapratyayaḥ, tataśca	duruttaram itaretara ASrayam AviSati, saMskAra avasAyAt arTa pratyayaH, tatas ca
   tadavasāya iti /	tad avasAyaH iti /
   bhāvanābhidhānastu saṃskāraḥ smṛtiprasavasāmarthyamātmanaḥ /	BAvanA aBiDAnaH tu saMskAraH smRti prasava sAmarTyam AtmanaH /
   naca tadevārthapratyayaprasavasāmarthyamapi bhavitumarhati /	na ca tat eva arTa pratyaya prasava sAmarTyam api Bavitum arhati /
   nāpi tasyaiva sāmarthyasya sāmarthyāntaram /	na api tasya eva sAmarTyasya sAmarTya antaram /
   nahi yaiva vahnerdahanaśaktiḥ saiva tasya prakāśanaśaktiḥ /	nahi yA eva vahneH dahana SaktiH sA eva tasya prakASana SaktiH /
   nāpi dahanaśakteḥ prakāśanaśaktiḥ apica vyutkrameṇoccaritebhyo varṇebhyaḥ	na api dahana SakteH prakASana SaktiH apica vyutkrameNa uccariteByaH varNeByaH
   saivāsti smṛtibījaṃ vāsanetyarthapratyayaḥ prasajyeta /	sA eva asti smRti bIjam vAsanA iti arTa pratyayaH prasajyeta /
   na cāsti /	na ca asti /
   tasmānna kathañcidapi varṇā arthavīhetavaḥ /	tasmAt na kaTaQcid api varNAH arTavI hetavaH /
   nāpi tadatiriktaḥ sphoṭātmā /	na api tat atiriktaH sPowa AtmA /
   tasyānubhavānārohāt /	tasya anuBavAn ArohAt /
   arthadhiyastu kāryāttadavagame parasparāśrayaprasaṅga ityuktaprāyam /	arTa DiyaH tu kAryAt tad avagame paraspara ASraya prasaFgaH iti ukta prAyam /
   sattāmātreṇa tu tasya nityasyārthadhīhetubhāve	sattA mAtreNa tu tasya nityasya arTa DI hetu BAve
   sarvadārthapratyayotpādaprasaṅgaḥ, nirapekṣasya hetoḥ sadātanatvāt /	sarvadA arTa pratyaya utpAda prasaFgaH, nirapekzasya hetoH sadAtana tvAt /
   tasmādvācakācchabdādvācyotpāda ityanupapannamiti /	tasmAt vAcakAt SabdAt vAcya utpAdaH iti anupapannam iti /
   atrācāryadeśīya āha sphoṭamityāheti /	atra AcArya deSIyaH Aha sPowam iti Aha iti /
   mṛṣyāmahe na varṇāḥ pratyāyakā iti /	mRzyAmahe na varNAH pratyAyakAH iti /
   na sphoṭa iti tu na mṛṣyāmaḥ /	na sPowaH iti tu na mRzyAmaH /
   tadanubhavānantaraṃ viditasaṃgaterarthadhīsamutpādāt /	tad anuBava anantaram vidita saMgateH arTa DI samutpAdAt /
   naca varṇātiriktasya tasyānubhāvo nāsti /	na ca varNa atiriktasya tasya anuBAvaH na asti /
   gaurityekaṃ padaṃ, gāmānaya śuklamityekaṃ vākyamiti	gOH iti ekam padan, gAm Anaya Suklam iti ekam vAkyam iti
   nānāvarṇapadātiriktaikapadavākyāvagateḥ sarvajanīnatvāt /	nAnA varNa padAtirikta eka pada vAkya avagateH sarva janIna tvAt /
   na cāyamasati bādhake ekapadavākyānubhavaḥ śakyo mithyetivaktum /	na ca ayam asati bADake eka pada vAkya anuBavaH SakyaH miTyA itivaktum /
   nāpyaupādhikaḥ /	na api OpADikaH /
   upādhiḥ khalvekadhīgrāhyatā vā syāt, ekārthadhīhetutā vā /	upADiH Kalu ekaDI grAhyatA vA syAt, eka arTaDI hetu tAH vA /
   na tāvadekadhīgocarāṇāṃ dhavakhadirapalāśānāmekanirbhāsaḥ pratyayaḥ	na tAvat ekaDI gocarANAm Dava Kadira palASAnAm eka nirBAsaH pratyayaH
   samasti /	samasti /
   tathā sati dhavakhadirapalāśā iti na jātu syāt /	taTA sati Dava Kadira palASAH iti na jAtu syAt /
   nāpyekārthadhīhetutā /	na api ekArTa DI hetu tAH /
   taddhetutvasya varṇeṣu vyāsedhāt /	tad hetutvasya varNezu vyAseDAt /
   taddhetutvena tu sāhityakalpane 'nyonyāśrayaprasaṅgaḥ /	tad hetu tvena tu sAhitya kalpane anyonya ASraya prasaFgaH /
   sāhityāttaddhetutvaṃ taddhetutvācca sāhityamiti /	sa ahityAt tad hetu tvam tad hetu tvAt ca sAhityam iti /
   tasmādayamabādhito 'nupādhiśca padavākyagocara ekanirbhāsānubhavo	tasmAt ayam abADitaH anupADiH ca pada vAkya gocaraH eka nirBAsa anuBavaH 
   varṇātiriktaṃ vācakamekamavalambate sa sphoṭa iti taṃ ca dhvanayaḥ	varNa atiriktam vAcakam ekam avalambate sa sPowaH iti tam ca DvanayaH
   pratyekaṃ vyañjayanto 'pi na drāgitveva viśadayanti, yena drāgārthadhīḥ	pratyekam vyaQjayantaH api na drAgi tvA iva viSadayanti, yena drAgA arTa DIH
   syāt /	syAt /
   api tu ratnatattvajñānavadyathāsvaṃ	api tu ratna tattva jQAna vat yaTAsvam
   dvitricatuṣpañcaṣaḍdarśanajanitasaṃskāraparipākasacivacetopalabdhajanmani	dvi tri catuzpaQca zaz darSana janita saMskAra paripAka saciva ceta upalabDa janmani
   carame cetasi cakāsti viśadaṃ padavākyatattvamiti	carame cetasi cakAsti viSadam pada vAkya tattvam iti
   prāganutpannāyāstadanantaramarthadhiya udaya iti nottareṣāmānarthakyaṃ	prAk anutpannAyAH tad anantaram arTa DiyaH udayaH iti na uttarezAm AnarTakyam
   dhvanīnām /	DvanInAm /
   nāpi prācāṃ, tadabhāve tajjanitasaṃskāratatparipākābhāvenānugrahābhāvāt /	na api prAcAM, tad aBAve tad janita saMskAra tad paripAka aBAvena anugraha aBAvAt /
   antyasya cetasaḥ kevalasyājanakatvāt /	antyasya cetasaH kevalasya ajanaka tvAt /
   naca padapratyayavat, pratyekamavyaktāmarthadhiyamādhāsyanti prāñco	na ca pada pratyayavat, pratyekam avyaktAm arTaDiyam ADAsyanti prAQco
   varṇāḥ, caramastu tatsacivaḥ sphuṭatarāmiti yuktam /	varNAH, caramaH tu tad sacivaH sPuwatarAm iti yuktam /
   vyaktāvyaktāvabhāsitāyāḥ pratyakṣajñānaniyamāt /	vyakta avyakta avaBAsitAyAH pratyakza jQAna niyamAt /
   sphoṭajñānasya ca pratyakṣatvāt /	sPowa jQAnasya ca pratyakza tvAt /
   arthadhiyastvapratyakṣāyā mānāntarajanmano vyakta evopajano na vā syānna	arTa DiyaH tu apratyakzAyAH mAna antara janmanaH vyaktaH eva upajanaH na vA syAt na
   punarasphuṭa iti na samaḥ samādhiḥ /	punar asPuwaH iti na samaH samADiH /
   tasmānnityaḥ sphoṭa eva vācako na varṇā iti /	tasmAt nityaH sPowaH eva vAcakaH na varNAH iti /
   tadetadācāryadeśīyamataṃ svamatamupapādayannapākaroti varṇā eva tu na	tat etat AcArya deSIya matam sva matam upapAdayan= apAka roti varNAH eva tu na
   śabda iti /	SabdaH iti /
   evaṃ hi varṇātiriktaḥ sphoṭo 'byupeyeta, yadi varṇānāṃ vācakatvaṃ na	evam hi varNa atiriktaH sPowaH abyupeyeta, yadi varNAnAm vAcaka tvam na
   saṃbhavet, sa cānubhavapaddhatimadhyāsīta /	saMBavet, sa ca anuBava padDatim aDyAsIta /
   dvidhā ca vācakatvaṃ varṇānāṃ, kṣaṇikatvenāśakyasaṃgatigrahatvādvā	dviDA ca vAcaka tvam varNAnAn, kzaNika tvena aSakya saMgati graha tvAt vA
   vyastasamastaprakāradvayābhāvādvā /	vyasta samasta prakAra dvaya aBAvAt vA /
   na tāvatprathamaḥ kalpaḥ /	na tAvat praTamaH kalpaH /
   varṇānāṃ kṣaṇikatve mānābhāvāt /	varNAnAm kzaNika tve mAna aBAvAt /
   nanu varṇānāṃ pratyuccāraṇamanyatvaṃ sarvajanaprasiddham /	nanu varNAnAm pratyuccAraNam anya tvam sarva jana prasidDam /
   na /	na /
   pratyabhijñāyamānatvāt /	pratyaBijQAyamAna tvAt /
   na cāsatyapyekatve jvālādivatsādṛśyanibandhanametat, pratyabhijñānamiti	na ca asati api eka tve jvAlA Adi vat sAdRSya nibanDanam etat, pratyaBijQAnam iti
   sāṃpratam /	sAMpratam /
   sādṛśyanibandhanatvamasya balavadbādhakopanipātādvāsthīyeta,	sAdRSya nibanDana tvam asya balavat bADa kopanipAtAt vA asTIyeta,
   kvacijjvālādau vyabhicāradarśanādvā /	kvacid jvAlA AdO vyaBicAra darSanAt vA /
   tatra kvacidvyabhicāradarśanena tadutprekṣāyāmucyate vṛddheḥ	tatra kvacid vyaBicAra darSanena tad utprekzAyAm ucyate vRdDeH
   svataḥprāmāṇ.vādibhiḥ 'utprekṣeta hi yo mohādajñātamapi bādhanam /	svatas prAmAN.vAdiBiH  autprekzeta hi yaH mohAt ajQAtam api bADanam /
   sa sarvavyavahāreṣu saṃśayātmā kṣayaṃ vrajet //	sa sarva vyavahArezu saMSaya AtmA kzayam vrajet //
   'iti /	aiti /
   prapañcitaṃ caitadasmābhirnyāyakaṇikāyām /	prapaQcitam ca etat asmABiH nyAya kaNikAyAm /
   na cedaṃ pratyabhijñānaṃ gatvādijātiviṣayaṃ na gādivyaktiviṣayaṃ, tāsāṃ	na ca idam pratyaBijQAnam gatvA Adi jAti vizayam na gAdi vyakti vizayan, tAsAm
   pratinaraṃ bhedopalambhādata eva śabdabhedopalambhādvaktṛbheda unnīyate	pratinaram Beda upalamBAt atas eva Sabda Beda upalamBAt vaktR BedaH unnIyate
   'somaśarmādhīte na viṣṇuśarmā'iti yuktam /	asomaSarma aDIte na vizNuSarmA aiti yuktam /
   yato bahuṣu gakāramuccārayatsu nipuṇamanubhavaḥ parīkṣyatām /	yatas bahuzu gakAram uccArayatsu nipuNam anuBavaH parIkzyatAm /
   yathā kālākṣīṃ ca svastimatīṃ cekṣamāṇasya vyaktibhedaprathāyāṃ satyāmeva	yaTA kAla akzIm ca svastimatIm ca IkzamANasya vyakti Beda praTAyAm satyAm eva
   tadanugatamekaṃ sāmānyaṃ prathate, tathā kiṃ gakārādiṣu bhedena	tad anugatam ekam sAmAnyam praTate, taTA kim gakAra Adizu Bedena
