   // Daśabhūmikasūtram //	// DaSa BUmika sUtram //
   ratnā vibhaktiparamāṇu suvargatīṣu bhinditva jñānaviṣayena gaṇentyaśeṣam	ratnA viBakti paramANu suvargatIzu Binditva jQAna vizayena gaNenti aSezam
   jñāne vibhāvitamanā vidu sarvakāyān sve kāyi tatra upanenti jagārthahetoḥ	jQAne viBAvita manAH vidu sarva kAyAn sve kAyi tatra upanenti jagArTa hetoH
   trisahasra sarva ca spharitva vicitrarūpān darśenti kāya vividhān	tri sahasra sarve ca sParitva vicitra rUpAn darSenti kAya viviDAn
   tathanantaloke // 24 //	taTananta loke // 24 //
   sūryaṃ śaśiṃ ca vahni māruta antarīkṣe svakamaṇḍalusya udake	sUryam SaSim ca vahni mAruta antarIkze sva kamaNxalusya udake
   pratibhāsaprāptā /	pratiBAsa prAptA /
   (Dbh 97)	(DB 97)
   jñānottame sthita tathācaladharmatāyāṃ jaga śuddha āśaya vidū	jQAna uttame sTita taTA acala Darma tAyAm jaga SudDa  ASaya vidU
   pratibhāsaprāptā // 25 //	pratiBAsa prAptA // 25 //
   yatha āśayaṃ jagata kāyavibhaktitāṃ ca darśenti sarvapariṣe bhuvi	yaTa a ASayam jagata kAya viBakti tAm ca darSenti sarva parize Buvi
   sarvaloke /	sarva loke /
   vaśipratyayāśraya jinātmajaśrāvakānāṃ darśenti te sugatakāya vibhūṣitāṅgān	vaSi pratyaya ASraya jina Atmaja SrAvakAnAm darSenti te sugatakAya viBUzita aFgAn
   sattvāṃśca kṣetra tatha karmavipāka kāyān āryāśrayān	sattvAn= ca kzetra taTa karma vipAka kAyAn Arya ASrayAn
   vividhadharmajñānakāyān /	viviDa Darma jQAna kAyAn /
   ākāśakāya vṛṣabhī samatāmupetaṃ darśenti ṛddhi vividhān jagatoṣaṇārtham //	AkASakAya vRzaBI sama tAm upetam darSenti RdDi viviDAn jagata UzaNa arTam //
   vaśitā daśo vimalajñānavicāraprāptā anuprāpta jñānakṛta maitrakṛpānukūlāḥ	vaSitAH daSaH vimala jQAna vicAra prAptAH anuprApta jQAna kRta mEtra kRpa anukUlAH
   yāvacca sarvajinadharmamupādakarmā trisaṃvaraiḥ susthitameka acalyakalpāḥ	yAvat ca sarva jina Darmam upAda karmA tri saMvarEH susTitam eka acalya kalpAH
   ye cā balā jinasutāna daśa akṣobhyā tehī upeta avibandhiya sarvamāraiḥ /	ye cA balA jinasutAna daSa akzoByA tehI upeta avibanDiya sarva mArEH /
   buddhairadhiṣṭhita namaskṛta śakrabrahmaistatha vajrapāṇibalakaiḥ	budDEH aDizWita namaskRta Sakra brahmEH taTa vajrapANi balakEH
   satatānubaddhāḥ // 29 //	satata anubadDAH // 29 //
   ima bhūmideśupagatā na guṇānamanto no śakyate kṣayitu kalpasahasrakoṭyaiḥ	ima BUmi deSupagatAH na guNa AnamantaH no Sakyate kzayitu kalpa sahasra kowyEH
   te bhūya buddha niyutān samupāsayante bhonto utapta yatha bhūṣaṇu	te BUya budDa niyutAn samupAsayante BontaH utapta yaTa BUzaNu
   rājamūrdhni // 30 //	rAja mUrDni // 30 //
   ima bhūmideśupagatā vidu bodhisattvā mahabrahma bhonti sahasrādhipatī	ima BUmi deSupagatAH vidu boDisattvAH mahabrahma Bonti sahasra aDipatI
   guṇāḍhyāḥ /	guNa AXyAH /
   trayayānadeśana akṣobhyasaṃhāraprāptā maitrāyanaḥ śubhaprabhā	traya yAna deSana akzoBya saMhAra prAptA mEtrAyanaH SuBa praBA
   jagakleśaghātī // 31 //	jaga kleSa GAtI // 31 //
   ekakṣaṇena daśakṣetraśataḥsahasrā yāvā rajodhātu tattaka samādhyupenti /	eka kzaNena daSa kzetra SataHsahasrAH yAvAH rajaH DAtu tat taka samADi upenti /
   paśyanti tattaka daśadiśi sattvasārān bhūyo ataḥ praṇidhiśreṣṭha vyūha	paSyanti tat taka daSa diSi sattva sArAn BUyas atas praNiDi SrezWa vyUha
   nekāḥ // 32 //	nekAH // 32 //
   saṃkṣepa eṣa nirdiṣṭo aṣṭamāyā jinātmajāḥ /	saMkzepaH eza nirdizwaH azwamAyAH jina AtmajAH /
   vistaraḥ kalpakoṭībhirna śakyaḥ sarva bhāṣitum // 33 //	vistaraH kalpa kowIBiH na SakyaH sarva BAzitum // 33 //
   (Dbh 98)	(DB 98)
   9 sādhumatī nāma navamī bhūmiḥ /	9 sADumatI nAma navamI BUmiH /
   upakramagāthāḥ /	upakrama gATAH /
   imāṃ bhūmiṃ prabhāṣatā kampitāḥ kṣetrakoṭayaḥ /	imAm BUmim praBAzatA kampitAH kzetra kowayaH /
   adhiṣṭhānā narendrasya aprameyā acintiyā // 1 //	aDizWAnAH narendrasya aprameyAH acintiyA // 1 //
   ābhāsa rucirā muktāḥ kāyataḥ sarvadarśino /	ABAsa rucirAH muktAH kAyataH sarva darSinaH /
   tayāvabhāsitāḥ kṣetrāḥ sattvāśca sukhitāstayā // 2 //	tayA avaBAsitAH kzetrAH sattvAH ca suKitAH tayA // 2 //
   bodhisattvasahasrāṇi antarikṣe sthitāni ca /	boDisattva sahasrANi antarikze sTitAni ca /
   divyātikrāntapūjāya pūjyante vadatāṃ varam // 3 //	divya atikrAnta pUjAya pUjyante vadatAm varam // 3 //
   maheśvarā devaputrā vaśavartī praharṣitāḥ /	maheSvarAH deva putrAH vaSa vartI praharzitAH /
   nānāprakārapūjābhiḥ pūjenti guṇasāgaram // 4 //	nAnA prakAra pUjABiH pUjenti guNa sAgaram // 4 //
   tato 'psaraḥsahasrāṇi harṣitāḥ prīṇitendriyāḥ /	tatas apsaraH sahasrANi harzitAH prINita indriyAH /
   divyā suyattā saṃgītāḥ śāstu pūjāmajagrayam // 5 //	divyA su yattA saMgItAH SAstu pUjAm ajagrayam // 5 //
   tebhyaśca tūryanādebhya anubhāvānmaharṣiṇaḥ /	teByaH ca tUryanAdeByaH anuBAvAt mahA RziNaH /
   īdṛśā rutasahasrā ravantī madhurasvarāḥ // 6 //	IdRSA ruta sahasrAH ravantI maDura svarAH // 6 //
   imi sarve jinasutā khilamalavigatā upagata bhuvi varasuruciracaraṇāḥ /	imi sarve jinasutA Kila mala vigatAH upagata Buvi vara su rucira caraNAH /
   jagahita vicarati daśadiśa vṛṣabhī darśayi jinacari khagasamamanasā // 7	jagahita vicarati daSa diSa vRzaBI darSayi jina cari Kaga sama manasA // 7
   narapuri marupuri bhujagapativiṣaye viyuha daśadiśi puṇyabalamudīritāḥ /	nara puri maru puri Bujaga pati vizaye viyuha daSa diSi puNya balam udIritAH /
   tata tu bhuyu jinasuta darśayi atulī jinasutaprabhava jinanupathaniratā //	tata tu Buyu jinasuta darSayi atulI jinasuta praBava jinanupaTa niratAH //
   ekakṣetri acalita sarvakṣetravirajā anugata jagahita śaśiriva pratibhā /	eka kzetri acalita sarva kzetra virajAH anugata jagahita SaSiH iva pratiBA /
   sarvaghoṣahānacitta praśamitamanasā viyahari kṛtaśataśrutipathagiribhiḥ //	sarva Goza hAna citta praSamita manasA viyahari kRta SataSruti paTa giriBiH //
   yatra sattva hīnacitta dīna mānaniratāstatra vidu śrāvakācarī deśeti	yatra sattva hIna citta dIna mAna niratAH tatra vidu SrAvakAcarI deSa iti
   vṛṣabhī /	vRzaBI /
   yatra sattva tīkṣṇacitta pratyayānaniratāstatra jñāna pratyayāna	yatra sattva tIkzNa citta pratyayAna niratAH tatra jQAna pratyayAna
   darśayanti virajā // 10 //	darSayanti virajAH // 10 //
   ye tu sattvahitamaitramanasā (abhiratās) tatra tyaṃ(tvaṃ) jinaputrāna	ye tu sattva hita mEtra manasA (aBiratAs) tatra tyan(tvaM) jinaputrAn a
   darśayanti caraṇam /	darSayanti caraNam /
   ye tu sattva agra śreṣṭha matimānaniratāstatra amī buddhakāya darśayanti	ye tu sattva agre SrezWa mati mAna niratAH tatra amI budDakAya darSayanti
   atulam // 11 //	atulam // 11 //
   (Dbh 99)	(DB 99)
   māyā yathā māyakāro darśeti jagahite yāya koṭi naikavidyā sarvabhāvavigatā	mAyA yaTA mAyakAraH darSa iti jaga hite yAya kowi na eka vidyA sarva BAva vigatA
   eva vidū buddhasutā jñānamāyaniratā darśayanti sarvacarī sarvabhāvavigatā	eva viduH budDa sutAH jQAna mAyani ratAH darSayanti sarvacarI sarva BAva vigatA
   etādṛśā rutasahasrān bhaṇitva madhurāṃstadā marukanyakā jinaṃ dṛṣṭvā	etAdRSAH ruta sahasrAn BaNitva maDurAn= tadA maru kanyakA jinam dRzwvA
   tūṣṇīṃbhūtāḥ /	tUzNIMBUtAH /
   parṣadviprasanneyamavocatsugatātmajam aṣṭamāyā bhaṇa ūrdhvaṃ cariṃ	parzad viprasannA iyam avocat sugata Atmajam azwamAyAH BaNaH UrDvam carim
   saddharmarājinām // 13 //	sat DarmarAjinAm // 13 //
   upasaṃhāragāthāḥ /	upasaMhAra gATAH /
   te apramāṇabalabuddhi vicārayantaḥ susūkṣmajñānaparamā jagatā durjñeyā /	te apramANa bala budDi vicArayantaH su sUkzma jQAna paramA jagatA durjQeyAH /
   tatha guhyasthāna sugatāna samosaranto bhūmiṃ kramanti navamīṃ jagato	taTa guhya sTAna sugatAna samosarantaH BUmim kramanti navamIm jagataH 
   'rthakarīm // 14 //	arTa karIm // 14 //
   te dhāraṇīmukhi samādhisamāhitāgrā vipulā abhijñā api kṣetrapraveśanantam	te DAraNI muKi samADi samAhita agrAH vipulAH aBijQAH api kzetra praveSanantam
   balajñānaniścayamapi jinu dhairyasthānaṃ praṇidhīkṛpāśayavidū	bala jQAna niScayam api jinu DErya sTAnam praNiDI kRpa ASaya vidU
   navamotaranti // 15 //	navamotaranti // 15 //
   te atra bhūmyanugatā jinakośadhārī kuśalāśca dharmakuśalāśca avyākṛtāśca /	te atra BUmi anugatAH jinakoSa DArI kuSalAH ca Darma kuSalAH ca avyAkRtAH ca /
   ye sāsravā api ca laukika ye ca āryāścintyā acintiya vidū anubuddhyayanti	ye sa AsravAH api ca lOkika ye ca AryAH cintyAH acintiya viduH anubudDyayanti
   niyatāṃśca dharmaniyatāṃ pravicārayanti trayayānasaṃpadakriyā	niyatAn= ca Darma niyatAm pravicArayanti traya yAna saMpada kriyA
   paritārayanti /	paritArayanti /
   bhūmidharma yathā adhimukti pracārataśca abhisaṃskaronti yatha lokya	BUmi Darma yaTA aDimukti pracArataH ca aBisaMskaronti yaTa lokya
   tathotaranti // 17 //	taTA utaranti // 17 //
   te evajñānanugatā varasūkṣmabuddhī sattvāna cittagahanaṃ parimārgayanti /	te eva jQAn anugatA vara sUkzma budDI sattvAna citta gahanam parimArgayanti /
   (cittaṃ vicitrakṣaṇavartanivartatāṃ ca) cittaṃ anantaprabhavaṃ sada	(cittam vicitra kzaNa varta nivarta tAm ca) cittam ananta praBavam sada
   otaranti // 18 //	otaranti // 18 //
   kleśānanādina prayogasahāyatāśca ye paryutthānanuśayā gatisaṃdhitaśca /	kleSAnanAdina prayoga sahAyatAH ca ye paryutTAn anuSayA gati saMDitaH ca /
   tatha karmapraveśa vicitravibhaktitaśca hetū niruddhaphalanāśa samotaranti	taTa karma praveSa vicitra viBaktitaH ca hetU nirudDa Pala nASa samotaranti
   (Dbh 100)	(DB 100)
   indriya yā mṛdukamadhya udārataśca saṃbhedapūrvamaparānta samotaranti /	indriya yAH mRduka maDye udArataH ca saMBeda pUrvam aparAnta samotaranti /
   adhimukti naika vividhā śubha āśubhataśca catvāri āśīti sahasra	aDimukti na eka viviDA SuBaH ASuBataH ca catvAri ASI iti sahasra
   samotaranti // 20 //	samotaranti // 20 //
   dhātūpraveśa jaga bhāvitakleśadṛṣṭī gahanaṃ gatā anavarāgra acchedataśca /	DAtU praveSa jaga BAvita kleSa dRzwI gahanam gatAH anavara agre acCedataH ca /
   ye āśayā anuśayā sahajapracārī cittāsamosṛta nibaddha accheda tanti // 21	ye ASayA anuSayA sahaja pracArI citta asamosRta nibadDa acCeda tanti // 21
   cittaṃ yathā anuśayā na ca dravyabhūto na ca deśasthā na ca vipravasanti	cittam yaTA anuSayAH na ca dravya BUtaH na ca deSa sTAH na ca vipravasanti
   āśayā /	ASayA /
   durheya dhyānaviṣayānabhivartiyāśca chedaśca mārga vinayena na cānyamasti	durheya DyAna vizaya an aBivartiyAH ca CedaH ca mArga vinayena na ca anyam asti
   upapatti ṣaḍgati vibhaktipraveśataśca snehaṃ ca tṛṣṇamavidyāndhaka	upapatti zaxgati viBakti praveSataH ca sneham ca tRzNam avidyA anDaka
   karmakṣetrā /	karma kzetrAH /
   vijñānabījasahajāṅkuranāmarūpaṃ traidhātuke anavarāgra samotaranti // 23	vijQAna bIja sahaja aFkura nAma rUpam trEDAtuke anavara agra samotaranti // 23
   te vāsanāgati kileśa ca karma cittā suvihāratāya na punargatisanta kāmā /	te vAsanA Agati kila ISa ca karma cittA su vihAra tAya na punar gatisanta kAmAH /
   rāśitribhirniyatasattva samotaranti dṛṣṭīnimagnamapi jñāna samotaranti //	rASi triBiH niyata sattva samotaranti dRzwI nimagnam api jQAna samotaranti //
   evaṃ visaraṇagatāḥ sthita atra bhūmyāṃ sarvasattva āśaya yathendriya	evam visaraNa gatAH sTitaH atra BUmyAm sarva sattvaH ASaya yaTA indriya
   yādhimuktiḥ /	yADi muktiH /
   teṣāmarthe dharmavibhakti prakāśayanti pratisaṃvidarthakuśalāḥ pratibhā	tezAm arTe Darma viBakti prakASayanti pratisaMvid arTa kuSalAH pratiBA
   nirukti // 25 //	nirukti // 25 //
   te dharmabhāṇaka gatī anuprāpta (sthānaṃ) siṃhariṣabhanibhā girirājakalpāḥ	te Darma BANaka gatI anuprApta (sTAnaM) siMharizaBa niBAH giri rAja kalpAH
   abhipravarṣanti madhuramamṛtasya varṣaṃ bhujagendrasāgara yathā	aBipravarzanti maDuram amRtasya varzam Bujaga indra sAgara yaTA
   anupūrayanti // 26 //	anupUrayanti // 26 //
   hitārthajñānakuśalāstatha dharmatāyāṃ sarvaṃ niruktyanugatāḥ	hita arTa jQAna kuSalAH taTa DarmatAyAm sarvam nirukti anugatAH
   pratibhānaprāptāḥ /	pratiBAna prAptAH /
   te dhāraṇī daśa asaṃkhyasahasra labdhā dhāranti dharma yatha (sāgara	te DAraNI daSa asaMKya sahasra labDAH DAranti Darma yaTaH (sAgara
   varṣadhārī) // 27 //	varza DArI) // 27 //
   evaṃ ca dhāraṇiviśuddhisamādhiprāptā ekakṣaṇena daśabuddhasahasra dṛṣṭāḥ /	evam ca DAraNi viSudDi samADi prAptAH ekakzaNena daSa budDa sahasra dRzwAH /
   (Dbh 101)	(DB 101)
   śravaṇena dharmaratanaṃ ca nideśayanti	SravaNena Darma ratanam ca nideSayanti
   (ekaikamaṇḍalaviśuddhisvarāṅgagatāḥ) // 28 //	(eka eka maNxala viSudDi svara aFga gatAH) // 28 //
   vyohārate trisahasramahalokadhātuṃ pariśeṣa sattva	vyohArate tri sahasra maha lokaDAtum pariSeza sattva
   vividhāstrayaratanebhyaḥ /	viviDAH traya rataneByaH /
   toṣenti sarva yathaindriya āśayāśca catudvīpasāgara varṣā sama modayanti	tozenti sarve yaTA Endriya  ASayAH ca catudvIpa sAgara varzA sama modayanti
   (bhūyottariṃ guṇinu vīrya samārabhante) citta anti vālaprasara asmi	(BUya uttarim guNinu vIrya samAraBante) citta anti vAla prasara asmi
   sucetanantāḥ /	su cetanantAH /
   deśeyu dharma sugatāḥ puna nānasattvaṃ śrutvā dharema yatha sarvada	deSeyu Darma sugatAH puna nAnasattvam SrutvA Darema yaTa sarva da
   (bījadhārī) // 30 //	(bIja DArI) // 30 //
   (yāvatakā) jagadiha praviśanti sattvāḥ (te sarva ekapariṣanmaṇḍale	(yAvatakA) jagat iha praviSanti sattvAH (te sarve eka parizad maNxale
   niṣaṇṇāśca) /	nizaNNAH ca) /
   eṣāṃ ca ekakṣaṇi sarvi samotaritvā ekāṃ rutena imi tarpayitavya sarve //	ezAm ca ekakzaNi sarvi samotaritvA ekAm rutena imi tarpayitavya sarve //
   (atra sthitā naramaruttama dharmarājā) bhontī dharmairjinasutāḥ	(atra sTitAH nara maruttama DarmarAjA) BontI DarmEH jinasutAH
   paricālayanti /	paricAlayanti /
   rātriṃdivaṃ sada jinaiḥ śamathānuprāptā gambhīra śānta sthita	rAtriMdivam sada jinEH SamaTa anuprAptAH gamBIra SAnta sTita
   jñānavimokṣadhīrā // 32//	jQAna vimokza DIrAH // 32//
   (te 'nekabuddhaniyutān paryupāsayante) bhontī uttapta paṇu (pāṇḍu)	(te anekabudDa niyutAn paryupAsayante) BontI uttapta paNu (pANxu)
   cakravartaḥprabhāvā /	cakravartaH praBAvAH /
   tasya kleśagahanāni prabhā samājya brahmaṇo va dvisahasrikalokadhātuḥ //	tasya kleSa gahanAni praBA samAjya brahmaNaH va dvi sahasrika lokaDAtuH //
   (atra sthitā guṇadharā) mahabrahmaloke bhontī (triyānadeśanaṃ	(atra sTitA guNa DarA) maha brahma loke BontI (tri yAna deSanam
   viditānubhāvā /	vidita anuBAvAH /
   ) yaṃ caivamārabhati sarvajagaddhitāya sarvajñajñānupagatā guṇajñānaprāptā	) yam ca evam AraBati sarva jagat hitAya sarvajQa jQa anupagatA guNa jQAna prAptA
   (kṣetrāpramāṇaparyāpanna) ekā rajāgre kṣaṇi eki (tattakasamādhi u)penti	(kzetra apramANa paryApanna) ekA raja agre kzaNi eki (tattaka samADi u)penti
   dhīrāḥ /	DIrAH /
   (dṛṣṭvā sarve diśi jināṃśca vacaḥ śṛṇonti) tato vikurvi	(dRzwvA sarve diSi jinAn= ca vacaH SRNonti) tatas vikurvi
   praṇidhānanvitāpramāṇāḥ // 35 //	praNiDAn anvitA pramANAH // 35 //
   ityeṣā navamī bhūmirmahājñānavicāriṇā / gambhīrā durdṛśā sūkṣmā nirdiṣṭā	iti ezA navamI BUmiH mahA jQAna vicAriNA / gamBIrA durdRSA sUkzmA nirdizwA
   sugatātmajāḥ // 36 //	sugata AtmajAH // 36 //
   (Dbh 102)	(DB 102)
   10 dharmameghā nāma daśamī bhūmiḥ /	10 Darma meGAH nAma daSamI BUmiH /
   upakramagāthāḥ /	upakrama gATAH /
   eva śrutva caraṇamanuttamaṃ śuddhavāsanayutāḥ praharṣitāḥ /	eva Srutva caraNam anuttamam SudDa vAsana yutAH praharzitAH /
   antarīkṣasthita prīṇitendriyāḥ pūjayanti sugataṃ tathāgatam // 1 //	antarIkza sTita prINita indriyAH pUjayanti sugatam taTAgatam // 1 //
   bodhisattvanayutā acintiyā antarīkṣagatiprāptiharṣitāḥ /	boDisattvana yutAH acintiyAH antarIkza gati prApti harzitAH /
   gandhamegha atulān manomayān dhūpayanti sattvakleśaghātinaḥ // 2 //	ganDa meGa atulAn manaH mayAn DUpayanti sattva kleSa GAtinaH // 2 //
   devarāja vaśavarti prīṇito antarīkṣa trisahasrakoṭibhiḥ /	devarAja vaSa varti prINitaH antarIkza tri sahasra kowiBiH /
   vastrakaiḥ samakarī sagauravā bhrāmayanti rucirān varān śatam // 3 //	vastrakEH sama karI sa gOravAH BrAmayanti rucirAn varAn Satam // 3 //
   apsarā bahava prīṇitendriyāḥ pūjayanti sugataṃ sagauravāḥ /	apsarAH bahava prINita indriyAH pUjayanti sugatam sa gOravAH /
   tūryakoṭinayutāḥ pravāditā evarūpa ravuyukta rāvataḥ // 4 //	tUrya kowina yutAH pravAditAH eva rUpa ravu yukta rAvataH // 4 //
   ekakṣetra sugato niṣaṇṇakaḥ sarvakṣetri pratibhāsa darśayī /	eka kzetra sugataH nizaNNakaH sarva kzetri pratiBAsa darSayI /
   kāyakoṭi vividhā manoramā dharmadhātuvipulān spharitvana // 5 //	kAya kowi viviDAH manoramAH DarmaDAtu vipulAn sParitvanaH // 5 //
   ekaromu sugatasya raśmayo niścaranti jagakleśa śāmyati /	ekaromu sugatasya raSmayaH niScaranti jaga kleSa SAmyati /
   śakyu (kṣetrarajadhātu 'pi) kṣayī tasya raśmigaṇanā tvajānitum // 6 //	Sakyu (kzetra raja DAtu api) kzayI tasya raSmi gaNanA tu ajAnitum // 6 //
   keci buddhavaralakṣaṇaṃ viduḥ paśyayanti varacakravartinaḥ /	keci budDa vara lakzaNam viduH paSyayanti vara cakravartinaH /
   anyakṣetravaracarya uttamāṃ śodhayanti dvipadendra dṛśyate // 7 //	anya kzetra vara caryaH uttamAm SoDayanti dvipada indra dRSyate // 7 //
   (tuṣitāyatanaprāpta nāyako) cyavamānu caṃkramāṇa dṛśyate /	(tuzita Ayatana prApta nAyako) cyavamAnu caMkramANa dRSyate /
   (Dbh 103)	(DB 103)
   garbhaprāpta bahukṣetrakoṭiṣu jāyamāna kvaci kṣetra dṛśyate // 8 //	garBa prApta bahu kzetra kowizu jAyamAna kvaci kzetra dRSyate // 8 //
   niṣkramanta jagahetu nāyako budhyamāna puna bodhimuttamām /	nizkramanta jagahetu nAyakaH buDyamAna puna boDim uttamAm /
   (dharmacakravartanirvṛtāgato) dṛśyamāna buddhakṣetrakoṭiṣu // 9 //	(Darma cakra varta nirvRta Agato) dRSyamAna budDa kzetra kowizu // 9 //
   māyakāra yatha vidyaśikṣito jīvikārtha bahukāya darśayī /	mAyakAra yaTa vidya SikzitaH jIvikA arTa bahukAya darSayI /
   tadva śāstu varaprajñaśikṣito sarvakāyabhinihartu (sattvana) // 10 //	tat va SAstu vara prajQa SikzitaH sarvakAyaBinihartu (sattvana) // 10 //
   śūnya śānta gatadharmalakṣaṇā antarīkṣasamaprāptadharmatām /	SUnya SAnta gata Darma lakzaNAH antarIkza sama prApta Darma tAm /
   buddhaśāstu paramārthatattvataṃ darśayī pravarabuddhagocaram // 11 //	budDaSAstu parama arTa tattvatam darSayI pravara budDa gocaram // 11 //
   yatha svabhāvu sugatānagocarā sarvasattva tatha prāpta dharmatām /	yaTa svaBAvu sugatAn agocarA sarva sattva taTa prApta Darma tAm /
   lakṣalakṣa samalakṣa tādṛśā sarvadharma paramārthalakṣaṇāḥ // 12 //	lakza lakza samalakza tAdRSA sarva Darma parama arTa lakzaNAH // 12 //
   ye tu jñāna sugatāna arthiṃke kalpakalpaparikalpavarjitam /	ye tu jQAna sugatAna arTiMke kalpa kalpa parikalpa varjitam /
   bhāvabhāvasamabhāvabuddhayaḥ kṣipra bheṣyati nareśa uttamāḥ // 13 //	BAva BAva sama BAva budDayaH kzipra Bezyati nareSaH uttamAH // 13 //
   īdṛśān rutasahasrān bhaṇitva madhurasvarāḥ /	IdRSAn ruta sahasrAn BaNitva maDura svarAH /
   marukanyā jinaṃ lokya tūṣṇībhūtāḥ śame ratāḥ // 14 //	maru kanyAH jinam lokya tUzNIBUtAH Same ratAH // 14 //
   prasannaṃ parṣadaṃ jñātvā mokṣacandro viśāradaḥ /	prasannam parzadam jQAtvA mokza candraH viSAradaH /
   vajragarbhaṃ tridhāpṛcchajjinaputraṃ viśāradam // 15 //	vajragarBam triDA ApRcCat jinaputram viSAradam // 15 //
   daśamī saṃkramantānāṃ kīdṛśaṃ guṇagocaram /	daSamI saMkramantAnAm kIdRSam guNa gocaram /
   nimittaprātihāryāṃśca sarvamākhyā(hi) parikrama // 16 //	nimitta prAtihAryAn= ca sarvam AKyA a(hi) parikramaH // 16 //
