   akalaṅkavivekānāṃ KDarp_1.30c	akalaFka-vivekAnAm KDarp_1.30c
   śāpopatāpaprabhuṇā pareṣāṃ KDarp_7.8c	SApa-upatApa-praBuNA parezAm KDarp_7.8c
   śikṣābhyāsena suvyaktaṃ KDarp_3.2a	SikzA-aByAsena su-vyaktam KDarp_3.2a
   śiloñchavṛttinā pūrvaṃ KDarp_6.39a	Sila-uQCa-vRttinA pUrvam KDarp_6.39a
   śiśupālasya śirasi KDarp_5.17a	SiSupAlasya Sirasi KDarp_5.17a
   śiśoraṅkuśaśūnyasya KDarp_2.48a	SiSoH-aFkuSa-SUnyasya KDarp_2.48a
   śiṣyasaṃpāditāśeṣa- KDarp_2.50a	Sizya-saMpAdita-aSeza KDarp_2.50a
   śītavātātapasthiteḥ KDarp_2.43b	SIta-vAta-Atapa-sTiteH KDarp_2.43b
   śītaṃ nidāghena na bhāti toyaṃ KDarp_4.4c	SItam nidAGena na BAti toyam KDarp_4.4c
   śīlatyāgodyatāḥ striyaḥ KDarp_1.64d	SIla-tyAga-udyatAH striyaH KDarp_1.64d
   śīlamevāmalaṃ kulam KDarp_1.30d	SIlam-eva-amalam kulam KDarp_1.30d
   śīlaśatrurivāyayau KDarp_1.71d	SIla-SatruH-iva-AyayO KDarp_1.71d
   śīlaśuklāṃśukāṃ tyaktvā KDarp_3.91a	SIla-Sukla-aMSukAm tyaktvA KDarp_3.91a
   śīlaṃ naiva bibharti kīrtivimale dhatte na dharme dhiyaṃ KDarp_3.13a	SIlam na-eva biBarti kIrti-vimale Datte na Darme Diyam KDarp_3.13a
   śīlaṃ parahitāsaktir KDarp_3.24a	SIlam para-hita-AsaktiH KDarp_3.24a
   śīlaṃ mama tathātmanaḥ KDarp_3.90b	SIlam mama taTA-AtmanaH KDarp_3.90b
   śīlaṃ viśālaṃ kulamāmananti KDarp_1.81d	SIlam viSAlam kulam-Amananti KDarp_1.81d
   śīlāpahārasaṃtrastā KDarp_3.100c	SIla-apahAra-saMtrastA KDarp_3.100c
   śīlārthī śīlaviplavam KDarp_3.134b	SIla-arTI SIla-viplavam KDarp_3.134b
   śīlāṃśukatyāgadigambaraṃ vā KDarp_7.13b	SIla-aMSuka-tyAga-digambaram vA KDarp_7.13b
   śīle rāgamahoṣmaṇā vigalite dveṣeṇa nāśaṃ gatāḥ KDarp_3.150c	SIle rAga-mahozmaNA vigalite dvezeNa nASam gatAH KDarp_3.150c
   śuktikārajatajñāna- KDarp_3.70a	SuktikA-rajata-jQAna KDarp_3.70a
   śukrasya vidyā dhanadārthahartum KDarp_3.153a	Sukrasya vidyA Danada-arTa-hartum KDarp_3.153a
   śuddhiṃ ko vetti tattvataḥ KDarp_6.36d	SudDim kaH vetti tattvataH KDarp_6.36d
   śunīkṣīreṇa vardhitaḥ KDarp_2.78d	SunI-kzIreNa varDitaH KDarp_2.78d
   śuṣyantyambudhayastaraṅgagahanairāliṅgitāśāṅganā KDarp_4.70a	Suzyanti-ambu-DayaH-taraFga-gahanEH-AliFgita-ASa-aFganA KDarp_4.70a
   śūdreṇāśaucadūṣitaḥ KDarp_3.120d	SUdreNa-ASOca-dUzitaH KDarp_3.120d
   śūnyaśravaṇapāśasya KDarp_4.43a	SUnya-SravaNa-pASasya KDarp_4.43a
   śūrapratāpaḥ śiśirartuneva kālena līḍhastanutāmupaiti KDarp_5.9/b	SUra-pratApaH SiSira-RtunA-iva kAlena lIXaH-tanu-tAm-upEti KDarp_5.9/b
   śūraḥ prāṇaprado 'rthinām KDarp_5.23d	SUraH prANa-pradaH arTinAm KDarp_5.23d
   śūro 'pyāyāti bhīrutām KDarp_5.14b	SUraH api-AyAti BIru-tAm KDarp_5.14b
   śūlabhṛdghorarākṣasaḥ KDarp_3.115b	SUlaBRt-Gora-rAkzasaH KDarp_3.115b
   śṛṅgārasyāṅgatāṃ gatam KDarp_4.20d	SRFgArasya-aFga-tAm gatam KDarp_4.20d
   śevālalīnābjatulāṃ bibharti KDarp_4.3d	SevAla-lIna-abja-tulAm biBarti KDarp_4.3d
   śeṣā jīvitahetavaḥ KDarp_3.50d	SezAH jIvita-hetavaH KDarp_3.50d
   śeṣārthenāpi bhūyasā KDarp_2.73b	Seza-arTena-api BUyasA KDarp_2.73b
   śokaśalyārtacetasā KDarp_6.24b	Soka-Salya-Arta-cetasA KDarp_6.24b
   śokena śocati yadā vivaśaḥ śarīrī KDarp_2.61c	Sokena Socati yadA vivaSaH SarIrI KDarp_2.61c
   śocanti te pātakamātmavṛttam KDarp_2.111d	Socanti te pAtakam-Atma-vRttam KDarp_2.111d
   śocyatāṃ yātyaśīlena KDarp_3.15a	Socya-tAm yAti-aSIlena KDarp_3.15a
   śoṇaprabhārdrāviva pādapadmau KDarp_7.30b	SoNa-praBA-ArdrO=-iva pAda-padmO KDarp_7.30b
   śoṣitā kalahāgninā KDarp_2.18d	SozitA kalaha-agninA KDarp_2.18d
   śoṣiteṣu na karkaśāḥ KDarp_2.106d	Sozitezu na karkaSAH KDarp_2.106d
   śaucāśaucavivādena KDarp_3.37a	SOca-aSOca-vivAdena KDarp_3.37a
   śauriḥ śayanaparyaṅka- KDarp_5.16c	SOriH Sayana-paryaFka KDarp_5.16c
   śauryasya niyatā sthitiḥ KDarp_5.14d	SOryasya niyatA sTitiH KDarp_5.14d
   śauryasya vṛttiḥ karikarṇalolā KDarp_5.13d	SOryasya vRttiH kari-karNa-lolA KDarp_5.13d
   śauryaṃ darpeṇa naśyati KDarp_5.28d	SOryam darpeNa naSyati KDarp_5.28d
   śauryaṃ dānaṃ tapastathā KDarp_1.4b	SOryam dAnam tapaH-taTA KDarp_1.4b
   śauryaṃ vikrītakāyasya KDarp_5.26a	SOryam vikrIta-kAyasya KDarp_5.26a
   śauryaṃ hiṃsratvamucyate KDarp_5.22b	SOryam hiMsra-tvam-ucyate KDarp_5.22b
   śauryeṇa kriyate guṇaḥ KDarp_5.24b	SOryeNa kriyate guNaH KDarp_5.24b
   śauryeṇa darpaḥ puruṣasya ko 'yaṃ KDarp_5.2a	SOryeNa darpaH puruzasya kaH ayam KDarp_5.2a
   śraddhāsudhāvasiktaṃ tat KDarp_6.42c	SradDA-suDA-avasiktam tat KDarp_6.42c
   śrāvastyāṃ sārthavāho 'bhūd KDarp_2.11a	SrAvastyAm sArTavAhaH aBUt KDarp_2.11a
   śrutimānviśrutaśrutaḥ KDarp_1.20d	SrutimAn-viSruta-SrutaH KDarp_1.20d
   śrutvā ca dāsakathitaṃ KDarp_3.124c	SrutvA ca dAsa-kaTitam KDarp_3.124c
   śrūyatām yanmayā dṛṣṭaṃ KDarp_6.38a	SrUyatAm yat-mayA dRzwam KDarp_6.38a
   śrūyante nalarāmapāṇḍutanayāḥ kaṣṭaṃ praviṣṭā vanam KDarp_2.68b	SrUyante nala-rAma-pANxu-tanayAH kazwam pravizwA vanam KDarp_2.68b
   ślāghā kenābhinandyate KDarp_5.20d	SlAGA kena-aBinandyate KDarp_5.20d
   śvabhre patati kesarī KDarp_5.24d	SvaBre patati kesarI KDarp_5.24d
   śvasanbhāryāmadhomukhīm KDarp_2.21b	Svasan-BAryAm-aDomuKIm KDarp_2.21b
   sa eva loke kuśalī kulīnaḥ KDarp_1.82d	saH eva loke kuSalI kulInaH KDarp_1.82d
   sa kadaryaḥ sadā sarva- KDarp_2.12a	sa kadaryaH sadA sarva KDarp_2.12a
   sa kadācidvarāśveṣu KDarp_1.47a	sa kadAcid-vara-aSvezu KDarp_1.47a
   sa kapota ivābhavat KDarp_2.87d	sa kapotaH iva-aBavat KDarp_2.87d
   sa kailāsāṭṭāhāsinīm KDarp_1.77b	sa kElAsa-awwa-AhAsinIm KDarp_1.77b
   saktupātraṃ varaṃ param KDarp_6.35d	saktu-pAtram varam param KDarp_6.35d
   saktupātre tataḥ siddhe KDarp_6.40a	saktu-pAtre tatas sidDe KDarp_6.40a
   sa gatvā jāhnavītīraṃ KDarp_3.20a	sa gatvA jAhnavI-tIram KDarp_3.20a
   sa gatvā māturantikam KDarp_1.60b	sa gatvA mAtuH-antikam KDarp_1.60b
   sa gatvā raibhyaputrayoḥ KDarp_3.72b	sa gatvA rEBya-putrayoH KDarp_3.72b
   saguṇaścandanābhidhaḥ KDarp_2.19b	sa-guNaH-candana-aBiDaH KDarp_2.19b
   sa caṇḍālaśiśuḥ śanaiḥ KDarp_2.85b	sa caNxAla-SiSuH SanEs KDarp_2.85b
   sa jagāma pathā yena KDarp_2.83c	sa jagAma paTA yena KDarp_2.83c
   sa javātpiturāśramat KDarp_3.120b	sa javAt-pituH-ASramat KDarp_3.120b
   sa jīvatvasmṛtakrūra- KDarp_3.147c	sa jIva-tu-asmRta-krUra KDarp_3.147c
   sa juhāva jaṭāṃ vahnau KDarp_3.114c	sa juhAva jawAm vahnO KDarp_3.114c
   sajṛmbhāḥ ṣaṭpadasvanaiḥ KDarp_1.69b	sa-jRmBAH zawpada-svanEH KDarp_1.69b
   sajjā vilajjāḥ prasabhaṃ babhūvuḥ KDarp_7.51d	sajjAH vilajjAH prasaBam baBUvuH KDarp_7.51d
   sajjāsu rājabhojyāsu KDarp_6.29a	sajjAsu rAja-BojyAsu KDarp_6.29a
   sa tadā krayavikrayam KDarp_6.4d	sa tadA kraya-vikrayam KDarp_6.4d
   sa tamarthaṃ nyavedayat KDarp_3.132d	sa tam-arTam nyavedayat KDarp_3.132d
   sa tasyāstanayo 'bhavat KDarp_2.77d	sa tasyAH-tanayaH aBavat KDarp_2.77d
   satīsamāliṅganasaspṛhasya KDarp_7.64b	satI-samAliFganasa-spRhasya KDarp_7.64b
   sa tenābhūdvicetanaḥ KDarp_3.131d	sa tena-aBUt-vicetanaH KDarp_3.131d
   sa tau kṛtāñjaliḥ prītyā KDarp_4.45a	sa tO kRtAQjaliH prItyA KDarp_4.45a
   sattvasyābhijanasya ca KDarp_2.31d	sattvasya-aBijanasya ca KDarp_2.31d
   sattvotsāhayutastasthau KDarp_6.45c	sattva-utsAha-yutaH-tasTO KDarp_6.45c
   sattvotsāhasamanvitaṃ tṛṇamapi trailokyadānādhikam KDarp_6.27d	sattva-utsAha-samanvitam tRNam-api trElokya-dAna-aDikam KDarp_6.27d
   satyamevākṣayaṃ dhanam KDarp_1.30b	satyam-eva-akzayam Danam KDarp_1.30b
   satyaṃ vijñāya tadvacaḥ KDarp_3.105b	satyam vijQAya tat-vacaH KDarp_3.105b
   satyāmṛtanidhānāya KDarp_1.1c	satya-amRta-niDAnAya KDarp_1.1c
   sa dadau nijabhojanam KDarp_6.42d	sa dadO nija-Bojanam KDarp_6.42d
   sadā pracchādya sā bhartuś KDarp_2.18a	sadA pracCAdya sA BartuH KDarp_2.18a
   sadā yuddhamanorathaḥ KDarp_5.30b	sadA yudDa-manoraTaH KDarp_5.30b
   sadā vidyāmadakṣitim KDarp_3.72d	sadA vidyA-mada-kzitim KDarp_3.72d
   sadā vidyāvivādinī KDarp_1.28b	sadA vidyA-vivAdinI KDarp_1.28b
   sadā samadacetasāṃ guṇavināśaheturmadaḥ KDarp_1.41d	sadA samada-cetasAm guNa-vinASa-hetuH-madaH KDarp_1.41d
   sadā saṃnihitaḥ kaliḥ KDarp_3.67d	sadA saMnihitaH kaliH KDarp_3.67d
   sadottiṣṭhanti puratas KDarp_3.123c	sadA-uttizWanti puratas KDarp_3.123c
   sadguṇāḥ śucayastāvad KDarp_3.8a	sat-guNAH SucayaH-tAvat KDarp_3.8a
   sadveṣā iva vidvāṃsaś KDarp_3.77c	sa-dvezAH iva vidvAMsaH KDarp_3.77c
   sadhanāścātiduḥkhitāḥ KDarp_2.57b	sa-DanAH-ca-ati-duHKitAH KDarp_2.57b
   sa dhīmānvedavidvādī KDarp_1.23a	sa DImAn-veda-vidvAdI KDarp_1.23a
   sa nirbhinnalalāṭāsthi- KDarp_2.88a	sa nirBinna-lalAwa-asTi KDarp_2.88a
   sa nirvyathaḥ svāsthyamivāsasāda KDarp_2.100b	sa nirvyaTaH svAsTyam-iva-AsasAda KDarp_2.100b
   sa niḥśvasannatha krodha- KDarp_3.111a	sa niHSvasan=-aTa kroDa KDarp_3.111a
   santaḥ kurvanti yatnena KDarp_2.32a	santaH kurvanti yatnena KDarp_2.32a
   sa paṇyakrayavikrayaḥ KDarp_6.3d	sa paNya-kraya-vikrayaH KDarp_6.3d
   saptābdhiparikhālekha- KDarp_5.29c	sapta-abDi-pariKA-leKa KDarp_5.29c
   saptābdhisaṃdhyāvidhimanvatiṣṭhat KDarp_5.10d	sapta-abDi-saMDyA-viDim-anvatizWat KDarp_5.10d
   saptaite madahetavaḥ KDarp_1.4d	saptA-ete mada-hetavaH KDarp_1.4d
   sa praviśyāgnisadanaṃ KDarp_3.113c	sa praviSya-agni-sadanam KDarp_3.113c
   saprasādena cetasā KDarp_6.42b	sa-prasAdena cetasA KDarp_6.42b
   sa prāṇāhutitoyārthī KDarp_6.41a	sa prANa-Ahuti-toya-arTI KDarp_6.41a
   sa badaryāśramaṃ yayau KDarp_5.35b	sa badaryASramam yayO KDarp_5.35b
   sa brahmacārī kāmena KDarp_3.83a	sa brahmacArI kAmena KDarp_3.83a
   sa bhaktasaṃcaye nityam KDarp_2.16a	sa Bakta-saMcaye nityam KDarp_2.16a
   sabhāyāṃ na pravartate KDarp_3.43b	saBAyAm na pravartate KDarp_3.43b
   sabhāsu viduṣāṃ cakre KDarp_1.23c	saBAsu viduzAm cakre KDarp_1.23c
   sabhāsthāne śacīpatim KDarp_4.18b	saBA-sTAne SacIpatim KDarp_4.18b
   sabhīmasenena bhujāyudhena KDarp_5.11c	sa-BImasenena Buja-AyuDena KDarp_5.11c
   sa mayā durgrahagrastaḥ KDarp_3.108a	sa mayA durgraha-grastaH KDarp_3.108a
   samaṃ bhavānyā vṛṣabhādhirūḍhaḥ KDarp_7.18c	samam BavAnyA vRzaBa-aDirUXaH KDarp_7.18c
   samāneṣu vyatīteṣu KDarp_2.58a	samAnezu vyatItezu KDarp_2.58a
   samāptaṃ sakalaṃ kulam KDarp_1.10d	samAptam sakalam kulam KDarp_1.10d
   sa māmekākinīṃ dṛṣṭvā KDarp_1.72a	sa mAm-ekAkinIm dRzwvA KDarp_1.72a
   samāyayau śītamayūkhamauliḥ KDarp_7.18d	samAyayO SItamayUKa-mOliH KDarp_7.18d
   samutsiktamivāsaktaṃ KDarp_3.84c	samutsiktam-iva-Asaktam KDarp_3.84c
   samūha iva duḥkhānāṃ KDarp_2.77c	samUhaH iva duHKAnAm KDarp_2.77c
   sameṣyāmīti vañcitaḥ KDarp_3.108b	samezyAmi-iti vaQcitaH KDarp_3.108b
   sa yayau mattahastīva KDarp_1.45c	sa yayO matta-hastI-iva KDarp_1.45c
   sa yuvā raibhyatanayau KDarp_3.19a	sa yuvA rEBya-tanayO KDarp_3.19a
   sarāgakāṣāyakaṣāyacittaṃ KDarp_7.13a	sa-rAga-kAzAya-kazAya-cittam KDarp_7.13a
   sarāgarogaṃ bahulapramohaṃ KDarp_7.11a	sa-rAga-rogam bahula-pramoham KDarp_7.11a
   sarogasaṃbhāramakharvagarvam KDarp_7.11b	sa-roga-saMBAram-aKarva-garvam KDarp_7.11b
   sarva eva sadarpāṇāṃ KDarp_1.35c	sarve eva sa-darpANAm KDarp_1.35c
   sarvatra śrutiviśrutau KDarp_3.19b	sarvatra Sruti-viSrutO KDarp_3.19b
   sarvathā śithilātmānam KDarp_3.97c	sarvaTA SiTila-AtmAnam KDarp_3.97c
   sarvathā sattvaśuddhāya KDarp_6.52a	sarvaTA sattva-SudDAya KDarp_6.52a
   sarvaprāṇisvanābhijñaḥ KDarp_1.58c	sarva-prANi-svanABijQaH KDarp_1.58c
   sarvavidyānidhiryena KDarp_3.62c	sarva-vidyA-niDiH-yena KDarp_3.62c
   sarvaṃ na pāke virasaṃ yadi syāt KDarp_1.42b	sarvam na pAke virasam yadi syAt KDarp_1.42b
   sarvaṃ papraccha tāṃ rahaḥ KDarp_1.60d	sarvam papracCa tAm rahaH KDarp_1.60d
   sarvaṃ yātyanyarūpatām KDarp_4.65d	sarvam yAti-anya-rUpa-tAm KDarp_4.65d
   sarvāṅgamabhyaṅgapade niyuktaḥ KDarp_7.38d	sarva-aFgam-aByaFga-pade niyuktaH KDarp_7.38d
   sarvāṅgaśithilākṛtim KDarp_6.41d	sarva-aFga-SiTila-AkRtim KDarp_6.41d
   sarvātmanā tivranipātasajjaḥ KDarp_5.44d	sarva-AtmanA tivra-nipAta-sajjaH KDarp_5.44d
   sarvātmanā śuddhadhiyā vidheyaḥ KDarp_7.2a	sarva-AtmanA SudDa-DiyA viDeyaH KDarp_7.2a
   sarvābharaṇabhūṣitaḥ KDarp_4.55b	sarva-ABaraNa-BUzitaH KDarp_4.55b
   sarvāvamānasaṃnaddhaṃ KDarp_5.32c	sarva-avamAna-saMnadDam KDarp_5.32c
   sarvāvasuparāvasū KDarp_3.17d	sarvOvasu-parAvasU KDarp_3.17d
   sarvāśāsu pratatajanatāpūraṇe 'tyantatucchaḥ KDarp_6.37b	sarva-ASAsu pratata-janatA-pUraNe atyanta-tucCaH KDarp_6.37b
   sarvāśī satataṃ pradhāvati mahākālaḥ sa ko 'pyākulaḥ KDarp_4.70d	sarva-ASI satatam praDAvati mahAkAlaH sa kaH api-AkulaH KDarp_4.70d
   sarvo bhavati paṇḍitaḥ KDarp_3.59d	sarvaH Bavati paNxitaH KDarp_3.59d
   sarvauṣadheṣu viphaleṣu yadā virauti KDarp_2.63c	sarva-OzaDezu viPalezu yadA virOti KDarp_2.63c
   sa labdhasaṃjñaḥ śanakair KDarp_3.125a	sa labDa-saMjQaH SanakEs KDarp_3.125a
   sa labdhasaṃjñaḥ sucirān KDarp_1.59a	sa labDa-saMjQaH su-cirAn KDarp_1.59a
   sa lājapeyāpalamānaśīlam KDarp_2.13c	sa lAja-peyA-pala-mAna-SIlam KDarp_2.13c
   sa locanābhyāṃ pṛthupakṣmalābhyām KDarp_7.34a	sa locanAByAm pRTu-pakzmalAByAm KDarp_7.34a
   sa vardhamānaḥ śanakaiḥ KDarp_2.82a	sa varDamAnaH SanakEs KDarp_2.82a
   savismayo yena navābhilāṣaḥ KDarp_7.39d	sa-vismayaH yena nava-aBilAzaH KDarp_7.39d
   sa vrajankampitāvaniḥ KDarp_3.118b	sa vrajan-kampita-avaniH KDarp_3.118b
   sasaṃcayaṃ guptakalatraputraṃ KDarp_7.10a	sa-saMcayam gupta-kalatra-putram KDarp_7.10a
   sa sāyake rāmakarādhirūḍhe brāhmaṇyadainyapraṇayī babhūva KDarp_5.8/b	sa sAyake rAma-kara-aDirUXe brAhmaNya-dEnya-praNayI baBUva KDarp_5.8/b
   sa surāsurayuddhāpta- KDarp_5.31a	sa sura-asura-yudDa-Apta KDarp_5.31a
   sasmitastamabhāṣata KDarp_4.32b	sa-smitaH-tam-aBAzata KDarp_4.32b
   sasvedāṅgulikandalīnikaṣaṇaistāmyallalāṭatvacaḥ KDarp_1.46c	sa-sveda-aFguli-kandalI-nikazaNEH-tAmyat-lalAwa-tvacaH KDarp_1.46c
   sahajaḥ kena vāryate KDarp_2.69d	sahajaH kena vAryate KDarp_2.69d
   sahasā bhasmasādabhūt KDarp_3.121d	sahasA BasmasAt-aBUt KDarp_3.121d
   sahasāsāditārthasya KDarp_2.41a	sahasA-AsAdita-arTasya KDarp_2.41a
   sahasaiva babhūva saḥ KDarp_3.62d	sahasA-eva baBUva saH KDarp_3.62d
   sahasaiva muneḥ sutaḥ KDarp_3.82d	sahasA-eva muneH sutaH KDarp_3.82d
   saha snātuṃ sarittaṭam KDarp_3.79b	saha snAtum sarit-tawam KDarp_3.79b
   sahasrākṣavarātprāpa KDarp_1.79c	sahasra-akzavarAt-prApa KDarp_1.79c
   sahasva viṣamāṃ vyathām KDarp_1.53b	sahasva vizamAm vyaTAm KDarp_1.53b
   sahasvāghātajāṃ rujam KDarp_2.96b	sahasva-AGAta-jAm rujam KDarp_2.96b
   saṃkāśakṛṣṇājinabaddhakakṣaḥ KDarp_7.55b	saMkASa-kRzNa-ajina-badDa-kakzaH KDarp_7.55b
   saṃcitena dhanena kim KDarp_2.50d	saMcitena Danena kim KDarp_2.50d
   saṃtaptasya dhanena ki KDarp_2.55d	saMtaptasya Danena ki KDarp_2.55d
   saṃtarjyamānā iva homadhūma- KDarp_7.51a	saMtarjyamAnAH iva homaDUma KDarp_7.51a
   saṃtāpitajagattrayaḥ KDarp_1.79b	saMtApita-jagattrayaH KDarp_1.79b
   saṃtuṣṭasya dhanena kim KDarp_2.59d	saMtuzwasya Danena kim KDarp_2.59d
   saṃtyaktabhogāḥ spṛhayā vimuktāḥ KDarp_7.28a	saMtyakta-BogAH spRhayA vimuktAH KDarp_7.28a
   saṃtyaktasarvāgrahanigrahāṇām KDarp_7.21b	saMtyakta-sarva-Agraha-nigrahANAm KDarp_7.21b
   saṃtyajya guruyantraṇām KDarp_3.85b	saMtyajya guru-yantraNAm KDarp_3.85b
   saṃdarśanaṃ sattvahitāśayānām KDarp_2.100d	saMdarSanam sattva-hita-ASayAnAm KDarp_2.100d
   saṃdarśayāmyeṣa niṣaktamantaḥ KDarp_7.27b	saMdarSayAmi-eza nizaktam-antar KDarp_7.27b
   saṃdhyānibhābhūtsahasaiva dṛṣṭiḥ KDarp_7.53d	saMDyA-niBA-aBUt-sahasA-eva dRzwiH KDarp_7.53d
   saṃdhyāyāṃ nijamāśramam KDarp_3.130b	saMDyAyAm nijam-ASramam KDarp_3.130b
   saṃnaddhānāmapi tṛṇakaṇaḥ kāñcanādritvameti KDarp_6.37d	saMnadDAnAm-api tRNa-kaNaH kAQcana-adri-tvam-eti KDarp_6.37d
   saṃnaddho 'haṃ tvadājñayā KDarp_3.116d	saMnadDaH aham tvad-AjQayA KDarp_3.116d
   saṃpādayati yā puṃsāṃ KDarp_3.36c	saMpAdayati yA puMsAm KDarp_3.36c
   saṃpūritākṣā iva mohamūrcchām KDarp_7.60d	saMpUrita-akzAH iva moha-mUrcCAm KDarp_7.60d
   saṃpūrṇaścintayā kṛśaḥ KDarp_2.16d	saMpUrNaH-cintayA kRSaH KDarp_2.16d
   saṃpūrṇasyāyuṣo mātrā KDarp_4.67a	saMpUrNasya-AyuzaH mAtrA KDarp_4.67a
   saṃpūrṇāśananirvṛttam KDarp_6.44d	saMpUrNa-aSana-nirvRttam KDarp_6.44d
   saṃpūrṇāṃ yājanakriyām KDarp_3.135d	saMpUrNAm yAjana-kriyAm KDarp_3.135d
   saṃpūrṇo 'pi ghaṭaḥ kūpād KDarp_1.38c	saMpUrNaH api GawaH kUpAt KDarp_1.38c
   saṃbhāro 'yaṃ bhuvanabhavanavyāptiparyāptabhogaḥ KDarp_6.37a	saMBAraH ayam Buvana-Bavana-vyApti-paryApta-BogaH KDarp_6.37a
   saṃbhogayogasukhasaṃgatirapyatathyā KDarp_1.44c	saMBoga-yoga-suKa-saMgatiH-api-ataTyA KDarp_1.44c
   saṃmūrcchito viṣeṇeva KDarp_1.60a	saMmUrcCitaH vizeNa-iva KDarp_1.60a
   saṃmohapātālaviśālasarpas KDarp_1.81a	saMmoha-pAtAla-viSAla-sarpaH KDarp_1.81a
   saṃmohābhihato 'patat KDarp_1.58d	saMmoha-aBihataH apatat KDarp_1.58d
   saṃrambhapiṇḍīkṛtakopatulyam KDarp_7.57b	saMramBa-piNxIkRta-kopa-tulyam KDarp_7.57b
   saṃvṛttānyeva śobhante KDarp_1.75c	saMvRttAni-eva SoBante KDarp_1.75c
   saṃsaktasmararūḍhagūḍhacaritaṃ tattvena jānāti kaḥ KDarp_1.15d	saMsakta-smara-rUXa-gUXa-caritam tattvena jAnAti kaH KDarp_1.15d
   saṃsāracihnaṃ vratametadagryam KDarp_7.11d	saMsAra-cihnam vratam-etat-agryam KDarp_7.11d
   saṃsāradoṣapraśamāya yatnaḥ KDarp_7.2b	saMsAra-doza-praSamAya yatnaH KDarp_7.2b
   saṃsāradoṣapraśamaikahetuḥ KDarp_3.1a	saMsAra-doza-praSama-eka-hetuH KDarp_3.1a
   saṃsāramakarākaraḥ KDarp_3.34b	saMsAra-makara-AkaraH KDarp_3.34b
   saṃsāramohaprasare ghane 'smin KDarp_4.72c	saMsAra-moha-prasare Gane asmin KDarp_4.72c
   saṃsāravyatirekāya KDarp_1.2a	saMsAra-vyatirekAya KDarp_1.2a
   saṃsārādapi sāścaryaṃ KDarp_1.62c	saMsArAt-api sa-AScaryam KDarp_1.62c
   saṃsāre sārasaṃgrahaḥ KDarp_4.51d	saMsAre sAra-saMgrahaH KDarp_4.51d
   saṃsāroparamāya moharajasaḥ śāntyai munīnāṃ paraṃ KDarp_7.70c	saMsAra-uparamAya moha-rajasaH SAntyE munInAm param KDarp_7.70c
   sā tadā samacintayat KDarp_3.100d	sA tadA samacintayat KDarp_3.100d
   sā tamūce samucitaṃ KDarp_2.31c	sA tam-Uce samucitam KDarp_2.31c
   sādhutejovadhāyaiva KDarp_3.12a	sADu-tejaH-vaDAya-eva KDarp_3.12a
   sā niṣedhacalāṅguliḥ KDarp_3.89d	sA nizeDa-cala-aFguliH KDarp_3.89d
   sā buddhirabhidhīyate KDarp_3.3d	sA budDiH-aBiDIyate KDarp_3.3d
   sābhre nabhasyaṃśumatoṃśumālā KDarp_3.1d	sa-aBre naBasi-aMSuma-toMSu-mAlA KDarp_3.1d
   sāmānyakulacarcābhiḥ KDarp_1.19c	sAmAnya-kula-carcABiH KDarp_1.19c
   sāmānyavikramoddāma- KDarp_5.20c	sAmAnya-vikrama-uddAma KDarp_5.20c
   sā vidyā yā madaṃ hanti KDarp_3.3a	sA vidyA yA madam hanti KDarp_3.3a
   sā vidyā vāryate yayā KDarp_3.49d	sA vidyA vAryate yayA KDarp_3.49d
   sā śanairmṛduvādinī KDarp_3.103b	sA SanEs-mRdu-vAdinI KDarp_3.103b
   sāścaryasaundaryavilāsadarpaḥ KDarp_4.72b	sa-AScarya-sOndarya-vilAsa-darpaH KDarp_4.72b
   sā śrīryārthiṣu varṣati KDarp_3.3b	sA SrI-ryA-arTizu varzati KDarp_3.3b
   sāśrunetrātha gardabhī KDarp_1.52b	sa-aSru-netrA-aTa gardaBI KDarp_1.52b
   sikatāmuṣṭibhirbhavet KDarp_3.58d	sikatA-muzwiBiH-Bavet KDarp_3.58d
   sikatāmuṣṭibhiḥ śanaiḥ KDarp_3.55b	sikatA-muzwiBiH SanEs KDarp_3.55b
   siktasya luṭhataściram KDarp_6.51b	siktasya luWataH-ciram KDarp_6.51b
   sindhustenāyayau pathā KDarp_2.97d	sinDuH-tena-AyayO paTA KDarp_2.97d
   sukhaduḥkhodaye jāntor KDarp_2.57c	suKa-duHKa-udaye jAntoH KDarp_2.57c
   sukhanidrāpahāriṇyā KDarp_3.38c	suKa-nidrA-apahAriNyA KDarp_3.38c
   sukhabhogaviyogakṛt KDarp_2.34b	suKa-Boga-viyoga-kRt KDarp_2.34b
   sudhāṃśuḥ pūrṇamaṇḍalaḥ KDarp_4.48b	suDAMSuH pUrNa-maNxalaH KDarp_4.48b
   surakṣitaṃ tiṣṭhati nirnimittam KDarp_2.2a	su-rakzitam tizWati nirnimittam KDarp_2.2a
   sulabhaṃ kāmamohitāḥ KDarp_3.105d	sulaBam kAma-mohitAH KDarp_3.105d
   suvarṇapārśvaṃ nakulaṃ KDarp_6.33a	suvarNa-pArSvam nakulam KDarp_6.33a
   suvarṇavānvivarṇo 'bhūt KDarp_2.16c	suvarNavAn-vivarNaH aBUt KDarp_2.16c
   suvarṇaṃ dattametena KDarp_2.109c	suvarNam dattam-etena KDarp_2.109c
   suvṛttaḥ saguṇāgraṇīḥ KDarp_1.22b	su-vRttaH sa-guNa-agraNIH KDarp_1.22b
