   vāyavīyasaṃhitā	vAyavIya saMhitA
   athavā pūjayennityaṃ liṃge vā kṛtakepi vā // ŚivP_7.2,22.60cd/	aTavA pUjayet nityam liMge vA kRta kepi vA // ŚivS _7.2,22.60cd/
   vahnau vā sthaṇḍile vātha bhaktyā vittānusārataḥ // ŚivP_7.2,22.61ab/	vahnO vA sTaNxile vA aTa BaktyA vitta anusArataH // ŚivS _7.2,22.61ab/
   athavāṃtarbahiścaiva pūjayetparameśvaram // ŚivP_7.2,22.61cd/	aTavA aMtar bahis ca eva pUjayet parameSvaram // ŚivS _7.2,22.61cd/
   aṃtaryāgarataḥ pūjāṃ bahiḥ kurvīta vā na vā // ŚivP_7.2,22.61ef/	aMtaryAga rataH pUjAm bahis kurvIta vA na vA // ŚivS _7.2,22.61ef/
   oṃ iti śrīśivamahāpurāṇe saptamyāṃ vāyavīyasaṃhitāyāmuttarakhaṇḍe	om iti SrI Siva mahApurANe saptamyAm vAyavIya saMhitAyAm uttara KaNxe
   śivaśāstroktanityanaimittikakarmavarṇanaṃ nāma dvāviṃśo 'dhyāyaḥ	SivaSAstroktanityanEmittikakarmavarNanam nAma dvAviMSaH aDyAyaH
   Chapter 23	ChapteH 23
   upamanyuruvāca	upamanyuH uvAca
   vyākhyāṃ pūjāvidhānasya pravadāmi samāsataḥ // ŚivP_7.2,23.1ab/	vyAKyAm pUjA viDAnasya pravadAmi samAsatas // ŚivS _7.2,23.1ab/
   śivaśāstre śivenaiva śivāyai kathitasya tu // ŚivP_7.2,23.1cd/	Siva SAstre Sivena eva SivAyE kaTitasya tu // ŚivS _7.2,23.1cd/
   aṃgamabhyaṃtaraṃ yāgamagnikāryāvasānakam // ŚivP_7.2,23.2ab/	aMgam aByaMtaram yAgam agni kArya avasAnakam // ŚivS _7.2,23.2ab/
   vidhāya vā na vā paścādbahiryāgaṃ samācaret // ŚivP_7.2,23.2cd/	viDAya vA na vA paScAt bahis yAgam samAcaret // ŚivS _7.2,23.2cd/
   tatra dravyāṇi manasā kalpayitvā viśodhya ca // ŚivP_7.2,23.3ab/	tatra dravyANi manasA kalpayitvA viSoDya ca // ŚivS _7.2,23.3ab/
   571b	571b
   dhyātvā vināyakaṃ devaṃ pūjayitvā vidhānataḥ // ŚivP_7.2,23.3cd/	DyAtvA vinAyakam devam pUjayitvA viDAnataH // ŚivS _7.2,23.3cd/
   dakṣiṇe cottare caiva naṃdīśaṃ suyaśaṃ tathā // ŚivP_7.2,23.4ab/	dakziNe ca uttare ca eva naMdISam suyaSam taTA // ŚivS _7.2,23.4ab/
   ārādhya manasā samyagāsanaṃ kalpayedbudhaḥ // ŚivP_7.2,23.4cd/	ArADya manasA samyak Asanam kalpayet buDaH // ŚivS _7.2,23.4cd/
   ārādhanādikairyuktassiṃhayogāsanādikam // ŚivP_7.2,23.5ab/	ArADana AdikEH yukta ssiMha yoga Asana Adikam // ŚivS _7.2,23.5ab/
   padmāsanaṃ vā vimalaṃ tattvatrayasamanvitam // ŚivP_7.2,23.5cd/	padmAsanam vA vimalam tattva traya samanvitam // ŚivS _7.2,23.5cd/
   tasyopari śivaṃ dhyāyetsāṃbaṃ sarvamanoharam // ŚivP_7.2,23.6ab/	tasya upari Sivam DyAyet sAMbam sarva manoharam // ŚivS _7.2,23.6ab/
   sarvalakṣaṇasaṃpannaṃ sarvāvayavaśobhanam // ŚivP_7.2,23.6cd/	sarva lakzaNa saMpannam sarva avayava SoBanam // ŚivS _7.2,23.6cd/
   sarvātiśayasaṃyuktaṃ sarvābharaṇabhūṣitam // ŚivP_7.2,23.7ab/	sarva atiSaya saMyuktam sarva ABaraNa BUzitam // ŚivS _7.2,23.7ab/
   raktāsyapāṇicaraṇaṃ kuṃdacaṃdrasmitānanam // ŚivP_7.2,23.7cd/	rakta Asya pANi caraNam kuMda caMdra smita Ananam // ŚivS _7.2,23.7cd/
   śuddhasphaṭikasaṃkāśaṃ phullapadmatrilocanam // ŚivP_7.2,23.8ab/	SudDa sPawika saMkASam Pulla padma trilocanam // ŚivS _7.2,23.8ab/
   caturbhujamudārāṅgaṃ cārucaṃdrakalādharam // ŚivP_7.2,23.8cd/	catur Bujam udAra aFgam cAru caMdrakalA Daram // ŚivS _7.2,23.8cd/
   varadābhayahastaṃ ca mṛgaṭaṃkadharaṃ haram // ŚivP_7.2,23.9ab/	varada aBaya hastam ca mRga waMka Daram haram // ŚivS _7.2,23.9ab/
   bhujaṃgahāravalayaṃ cārunīlagalāṃtaram // ŚivP_7.2,23.9cd/	BujaMga hAra valayam cAru nIla gala aMtaram // ŚivS _7.2,23.9cd/
   sarvopamānarahitaṃ sānugaṃ saparicchadam // ŚivP_7.2,23.10ab/	sarva upamAna rahitam sa anugam sa paricCadam // ŚivS _7.2,23.10ab/
   tataḥ saṃciṃtayettasya vāmabhāge maheśvarīm // ŚivP_7.2,23.10cd/	tatas saMciMtayet tasya vAma BAge maheSvarIm // ŚivS _7.2,23.10cd/
   praphullotpalapatrābhāṃ vistīrṇāyatalocanām // ŚivP_7.2,23.11ab/	praPulla utpala patra ABAm vistIrNa Ayata locanAm // ŚivS _7.2,23.11ab/
   pūrṇacaṃdrābhavadanāṃ nīlakuṃcitamūrdhajām // ŚivP_7.2,23.11cd/	pUrNa caMdra ABa vadanAm nIla kuMcita mUrDajAm // ŚivS _7.2,23.11cd/
   nīlotpaladalaprakhyāṃ candrārdhakṛtaśekharām // ŚivP_7.2,23.12ab/	nIlotpala dala praKyAm candra arDa kRta SeKarAm // ŚivS _7.2,23.12ab/
   ativṛttaghanottuṃgasnigdhapīnapayodharām // ŚivP_7.2,23.12cd/	ativRtta Gana uttuMga snigDa pIna payoDarAm // ŚivS _7.2,23.12cd/
   tanumadhyāṃ pṛthuśroṇīṃ pītasūkṣmavarāmbarām // ŚivP_7.2,23.13ab/	tanu maDyAm pRTu SroNIm pIta sUkzma vara ambarAm // ŚivS _7.2,23.13ab/
   sarvābharaṇasaṃpannāṃ lalāṭatilakojjvalām // ŚivP_7.2,23.13cd/	sarva ABaraNa saMpannAm lalAwa tilaka ujjvalAm // ŚivS _7.2,23.13cd/
   vicitrapuṣpasaṃkīrṇakeśapāśopaśobhitām // ŚivP_7.2,23.14ab/	vicitra puzpa saMkIrNa keSa pASa upaSoBitAm // ŚivS _7.2,23.14ab/
   sarvato 'nuguṇākārāṃ kiṃcillajjānatānanām // ŚivP_7.2,23.14cd/	sarvatas anuguNa AkArAm kiMcid lat jAnata AnanAm // ŚivS _7.2,23.14cd/
   hemāraviṃdaṃ vilasaddadhānāṃ dakṣiṇe kare // ŚivP_7.2,23.15ab/	hemAraviMdam vilasat daDAnAm dakziNe kare // ŚivS _7.2,23.15ab/
   daṃḍavaccāparaṃ haste nyasyāsīnāṃ mahāsane // ŚivP_7.2,23.15cd/	daMxa vat ca aparam haste nyasya AsInAm mahA Asane // ŚivS _7.2,23.15cd/
   pāśavicchedikāṃ sākṣātsaccidānaṃdarūpiṇīm // ŚivP_7.2,23.16ab/	pASa vicCedikAm sAkzAt saccit AnaMda rUpiNIm // ŚivS _7.2,23.16ab/
   evaṃ devaṃ ca devīṃ ca dhyātvāsanavare śubhe // ŚivP_7.2,23.16cd/	evam devam ca devIm ca DyAtu A Asana vare SuBe // ŚivS _7.2,23.16cd/
   sarvopacāravadbhaktyā bhāvapuṣpaissamarcayet // ŚivP_7.2,23.17ab/	sarva upacAra vat BaktyA BAva puzpEssamarcayet // ŚivS _7.2,23.17ab/
   athavā parikalpyaivaṃ mūrtimanyatamāṃ vibhoḥ // ŚivP_7.2,23.17cd/	aTavA parikalpya evam mUrtim anyatamAm viBoH // ŚivS _7.2,23.17cd/
   śaivīṃ sadāśivākhyāṃ vā tathā māheśvarīṃ parām // ŚivP_7.2,23.18ab/	SEvIm sadASiva AKyAm vA taTA mAheSvarIm parAm // ŚivS _7.2,23.18ab/
   ṣaḍviṃśakābhidhānāṃ vā śrīkaṃṭhākhyāmathāpi vā // ŚivP_7.2,23.18cd/	zaxviMSaka aBiDAnAm vA SrIkaMWa AKyAm aTa api vA // ŚivS _7.2,23.18cd/
   mantranyāsādikāṃ cāpi kṛtvā svasyāṃ tanau yathā // ŚivP_7.2,23.19ab/	mantra nyAsa AdikAm ca api kRtvA svasyAm tanO yaTA // ŚivS _7.2,23.19ab/
   asyāṃ mūrtau mūrtimaṃtaṃ śivaṃ sadasataḥ param // ŚivP_7.2,23.19cd/	asyAm mUrtO mUrtimaMtam Sivam sat asataH param // ŚivS _7.2,23.19cd/
   dhyātvā bāhyakrameṇaiva pūjāṃ nirvartayeddhiyā // ŚivP_7.2,23.20ab/	DyAtvA bAhya krameNa eva pUjAm nirvartayet DiyA // ŚivS _7.2,23.20ab/
   samidājyādibhiḥ paścānnābhau homaṃ ca bhāvayet // ŚivP_7.2,23.20cd/	samiD Ajya AdiBiH paScAt nABO homam ca BAvayet // ŚivS _7.2,23.20cd/
   bhrūmadhye ca śivaṃ dhyāyecchuddhadīpaśikhākṛtim // ŚivP_7.2,23.21ab/	BrU maDye ca Sivam DyAyet SudDa dIpa SiKA AkRtim // ŚivS _7.2,23.21ab/
   itthamaṃge svataṃtre vā yoge dhyānamaye śubhe // ŚivP_7.2,23.21cd/	itTam aMge svataMtre vA yoge DyAna maye SuBe // ŚivS _7.2,23.21cd/
   agnikāryāvasānaṃ ca sarvatraiva samo vidhiḥ // ŚivP_7.2,23.22ab/	agni kArya avasAnam ca sarvatra eva samaH viDiH // ŚivS _7.2,23.22ab/
   atha ciṃtāmayaṃ sarvaṃ samāpyārādhanakramam // ŚivP_7.2,23.22cd/	aTa ciMtA mayam sarvam samApya ArADana kramam // ŚivS _7.2,23.22cd/
   liṃge ca pūjayeddevaṃ sthaṃḍile vānale 'pi vā // ŚivP_7.2,23.23ab/	liMge ca pUjayet devam sTaMxile vA anale api vA // ŚivS _7.2,23.23ab/
   oṃ iti śrīśivamahāpurāṇe saptamyāṃ vāyavīyasaṃhitāyāmuttarakhaṇḍe	om iti SrI Siva mahApurANe saptamyAm vAyavIya saMhitAyAm uttara KaNxe
   pūjāvidhānavyākhyānavarṇanaṃ nāma trayoviṃśo 'dhyāyaḥ	pUjAviDAnavyAKyAnavarNanam nAma trayoviMSaH aDyAyaH
   572a	572a
   Chapter 24	ChapteH 24
   upamanyuruvāca	upamanyuH uvAca
   prokṣayenmūlamaṃtreṇa pūjāsthānaṃ viśuddhaye // ŚivP_7.2,24.1ab/	prokzayet mUlamaMtreNa pUjA sTAnam viSudDaye // ŚivS _7.2,24.1ab/
   gandhacandanatoyena puṣpaṃ tatra vinikṣipet // ŚivP_7.2,24.1cd/	ganDa candana toyena puzpam tatra vinikzipet // ŚivS _7.2,24.1cd/
   astreṇotsārya vai vighnānavaguṇṭhya ca varmaṇā // ŚivP_7.2,24.2ab/	astreNa utsArya vE viGnAn avaguNWya ca varmaNA // ŚivS _7.2,24.2ab/
   astraṃ dikṣu pravinyasya kalpayedarcanābhuvam // ŚivP_7.2,24.2cd/	astram dikzu pravinyasya kalpayet arcanA aBuvam // ŚivS _7.2,24.2cd/
   tatra darbhānparistīrya kṣālayetprokṣaṇādibhiḥ // ŚivP_7.2,24.3ab/	tatra darBAn paristIrya kzAlayet prokzaNa AdiBiH // ŚivS _7.2,24.3ab/
   saṃśodhya sarvapātrāṇi dravyaśuddhiṃ samācaret // ŚivP_7.2,24.3cd/	saMSoDya sarva pAtrANi dravya SudDim samAcaret // ŚivS _7.2,24.3cd/
   prokṣaṇīmardhyapātraṃ ca pādyapātramataḥ param // ŚivP_7.2,24.4ab/	prokzaNI marDya pAtram ca pAdya pAtram atas param // ŚivS _7.2,24.4ab/
   tathaivācamanīyasya pātraṃ ceti catuṣṭayam // ŚivP_7.2,24.4cd/	taTA eva AcamanIyasya pAtram ca iti catuzwayam // ŚivS _7.2,24.4cd/
   prakṣālya prokṣya vīkṣyātha kṣipetteṣu jalaṃ śivam // ŚivP_7.2,24.5ab/	prakzAlya prokzya vIkzya aTa kzipet tezu jalam Sivam // ŚivS _7.2,24.5ab/
   puṇyadravyāṇi sarvāṇi yathālābhaṃ vinikṣipet // ŚivP_7.2,24.5cd/	puNya dravyANi sarvANi yaTAlABam vinikzipet // ŚivS _7.2,24.5cd/
   ratnāni rajataṃ hema gandhapuṣpākṣatādayaḥ // ŚivP_7.2,24.6ab/	ratnAni rajatam hema ganDa puzpa akzata AdayaH // ŚivS _7.2,24.6ab/
   phalapallavadarbhāṃśca puṇyadravyāṇyanekadhā // ŚivP_7.2,24.6cd/	Pala pallava darBAn= ca puNya dravyANi anekaDA // ŚivS _7.2,24.6cd/
   snānodake sugandhādi pānīye ca viśeṣataḥ // ŚivP_7.2,24.7ab/	snAna udake suganDa Adi pAnIye ca viSezataH // ŚivS _7.2,24.7ab/
   śītalāni manojñānī kusumādīni nikṣipet // ŚivP_7.2,24.7cd/	SItalAni manojQAnI kusuma AdIni nikzipet // ŚivS _7.2,24.7cd/
   uśīraṃ candanaṃ caiva pādye tu parikalpayet // ŚivP_7.2,24.8ab/	uSIram candanam ca eva pAdye tu parikalpayet // ŚivS _7.2,24.8ab/
   jātikaṃkolakarpūrabahumūlatamālakān // ŚivP_7.2,24.8cd/	jAti kaMkola karpUra bahu mUla tamAlakAn // ŚivS _7.2,24.8cd/
   kṣipedācamanīye ca cūrṇayitvā viśeṣataḥ // ŚivP_7.2,24.9ab/	kzipet AcamanIye ca cUrNayitvA viSezataH // ŚivS _7.2,24.9ab/
   elāṃ pātreṣu sarveṣu karpūraṃ candanaṃ tathā // ŚivP_7.2,24.9cd/	elAm pAtrezu sarvezu karpUram candanam taTA // ŚivS _7.2,24.9cd/
   kuśāgrāṇyakṣatāṃścaiva yavavrīhitilānapi // ŚivP_7.2,24.10ab/	kuSa agrANi akzatAn= ca eva yava vrIhi tilAn api // ŚivS _7.2,24.10ab/
   ājyasiddhārthapuṣpāṇi bhasitañcārghyapātrake // ŚivP_7.2,24.10cd/	Ajya sidDArTa puzpANi Basi taQca arGya pAtrake // ŚivS _7.2,24.10cd/
   kuśapuṣpayavavrīhibahumūlatamālakān // ŚivP_7.2,24.11ab/	kuSa puzpa yava vrIhi bahumUla tamAlakAn // ŚivS _7.2,24.11ab/
   prakṣipetprokṣaṇīpātre bhasitaṃ ca yathākramam // ŚivP_7.2,24.11cd/	prakzipet prokzaNI pAtre Basitam ca yaTAkramam // ŚivS _7.2,24.11cd/
   sarvatra mantraṃ vinyasya varmaṇāveṣṭya bāhyataḥ // ŚivP_7.2,24.12ab/	sarvatra mantram vinyasya varmaNA Avezwya bAhyatas // ŚivS _7.2,24.12ab/
   paścādastreṇa saṃrakṣya dhenumudrāṃ pradarśayet // ŚivP_7.2,24.12cd/	paScAt astreNa saMrakzya DenumudrAm pradarSayet // ŚivS _7.2,24.12cd/
   pūjādravyāṇi sarvāṇi prokṣaṇīpātravāriṇā // ŚivP_7.2,24.13ab/	pUjA dravyANi sarvANi prokzaNI pAtra vAriNA // ŚivS _7.2,24.13ab/
   samprokṣya mūlamaṃtreṇa śodhayedvidhivattataḥ // ŚivP_7.2,24.13cd/	samprokzya mUlamaMtreNa SoDayet viDivat tatas // ŚivS _7.2,24.13cd/
   pātrāṇāṃ prokṣaṇīmekāmalābhe sarvakarmasu // ŚivP_7.2,24.14ab/	pAtrANAm prokzaNIm ekAmalABe sarva karmasu // ŚivS _7.2,24.14ab/
   sādhayedarghyamadbhistatsāmānyaṃ sādhakottamaḥ // ŚivP_7.2,24.14cd/	sADayet arGyam adBiH tad sAmAnyam sADaka uttamaH // ŚivS _7.2,24.14cd/
   tato vināyakaṃ devaṃ bhakṣyabhojyādibhiḥ kramāt // ŚivP_7.2,24.15ab/	tatas vinAyakam devam Bakzya Bojya AdiBiH kramAt // ŚivS _7.2,24.15ab/
   pūjayitvā vidhānena dvārapārśve 'tha dakṣiṇe // ŚivP_7.2,24.15cd/	pUjayitvA viDAnena dvAra pArSve aTa dakziNe // ŚivS _7.2,24.15cd/
   antaḥpurādhipaṃ sākṣānnandinaṃ samyagarcayet // ŚivP_7.2,24.16ab/	antaHpura aDipam sAkzAt nandinam samyak arcayet // ŚivS _7.2,24.16ab/
   cāmīkarācalaprakhyaṃ sarvābharaṇabhūṣitam // ŚivP_7.2,24.16cd/	cAmIkara acala praKyam sarva ABaraNa BUzitam // ŚivS _7.2,24.16cd/
   bālendumukuṭaṃ saumyaṃ trinetraṃ ca caturbhujam // ŚivP_7.2,24.17ab/	bAla indu mukuwam sOmyam trinetram ca catur Bujam // ŚivS _7.2,24.17ab/
   dīptaśūlamṛgīṭaṃkatigmavetradharaṃ prabhum // ŚivP_7.2,24.17cd/	dIpta SUla mRgI waMka tigma vetra Daram praBum // ŚivS _7.2,24.17cd/
   candrabimbābhavadanaṃ harivaktramathāpi vā // ŚivP_7.2,24.18ab/	candra bimba ABa vadanam hari vaktram aTa api vA // ŚivS _7.2,24.18ab/
   uttare dvārapārśvasya bhāryāṃ ca marutāṃ sutām // ŚivP_7.2,24.18cd/	uttare dvAra pArSvasya BAryAm ca marutAm sutAm // ŚivS _7.2,24.18cd/
   suyaśāṃ suvratāmambāṃ pādamaṇḍanatatparām // ŚivP_7.2,24.19ab/	suyaSAm suvratAm ambAm pAda maNxana tatparAm // ŚivS _7.2,24.19ab/
   pūjayitvā praviśyāntarbhavanaṃ parameṣṭhinaḥ // ŚivP_7.2,24.19cd/	pUjayitvA praviSya antar Bavanam paramezWinaH // ŚivS _7.2,24.19cd/
   saṃpūjya liṅgaṃ tairdravyairnirmālyamapanodayet // ŚivP_7.2,24.20ab/	saMpUjya liFgam tEH dravyEH nirmAlyam apanodayet // ŚivS _7.2,24.20ab/
   prakṣālya puṣpaṃ śirasi nyasettasya viśuddhaye // ŚivP_7.2,24.20cd/	prakzAlya puzpam Sirasi nyaset tasya viSudDaye // ŚivS _7.2,24.20cd/
   puṣpahasto japecchaktyā mantraṃ mantraviśuddhaye // ŚivP_7.2,24.21ab/	puzpa hastaH japet SaktyA mantram mantra viSudDaye // ŚivS _7.2,24.21ab/
   aiśānyāṃ caṇdamārādhya nirmālyaṃ tasya dāpayet // ŚivP_7.2,24.21cd/	ESAnyAm caNdam ArADya nirmAlyam tasya dApayet // ŚivS _7.2,24.21cd/
   kalpayedāsanaṃ paścādādhārādi yathākramam // ŚivP_7.2,24.22ab/	kalpayet Asanam paScAt ADAra Adi yaTAkramam // ŚivS _7.2,24.22ab/
   ādhāraśaktiṃ kalyāṇīṃ śyāmāṃ dhyāyedadho bhuvi // ŚivP_7.2,24.22cd/	ADAra Saktim kalyANIm SyAmAm DyAyet aDas Buvi // ŚivS _7.2,24.22cd/
   572b	572b
   tasyāḥ purastādutkaṃṭhamanaṃtaṃ kuṇḍalākṛtim // ŚivP_7.2,24.23ab/	tasyAH purastAt utkaMWam anaMtam kuNxala AkRtim // ŚivS _7.2,24.23ab/
   dhavalaṃ pañcaphaṇinaṃ lelihānamivāmbaram // ŚivP_7.2,24.23cd/	Davalam paQca PaNinam lelihAnam iva ambaram // ŚivS _7.2,24.23cd/
   tasyoparyāsanaṃ bhadraṃ kaṇṭhīravacatuṣpadam // ŚivP_7.2,24.24ab/	tasya upari Asanam Badram kaNWI rava catuzpadam // ŚivS _7.2,24.24ab/
   dharmo jñānaṃ ca vairāgyamaiśvaryañca padāni vai // ŚivP_7.2,24.24cd/	DarmaH jQAnam ca vErAgyam ESvaryaQca padAni vE // ŚivS _7.2,24.24cd/
   āgneyādiśvetaraktapītaśyāmāni varṇataḥ // ŚivP_7.2,24.25ab/	Agneya Adi Sveta rakta pIta SyAmAni varNataH // ŚivS _7.2,24.25ab/
   adharmādīni pūrvādīnyuttarāṃtānyanukramāt // ŚivP_7.2,24.25cd/	aDarma AdIni pUrva AdIni uttara aMtAni anukramAt // ŚivS _7.2,24.25cd/
   rājāvartamaṇiprakhyānnyasya gātrāṇi bhāvayet // ŚivP_7.2,24.26ab/	rAjAvarta maNi praKyAt nyasya gAtrANi BAvayet // ŚivS _7.2,24.26ab/
   asyordhvacchādanaṃ padmamāsanaṃ vimalaṃ sitam // ŚivP_7.2,24.26cd/	asya UrDva= CAdanam padmam Asanam vimalam sitam // ŚivS _7.2,24.26cd/
   aṣṭapatrāṇi tasyāhuraṇimādiguṇāṣṭakam // ŚivP_7.2,24.27ab/	azwa patrANi tasya AhuH aNima Adi guNa azwakam // ŚivS _7.2,24.27ab/
   kesarāṇi ca vāmādyā rudrāvāmādiśaktibhiḥ // ŚivP_7.2,24.27cd/	kesarANi ca vAma AdyAH rudrA vAma Adi SaktiBiH // ŚivS _7.2,24.27cd/
   bījānyapi ca tā eva śaktayoṃtarmanonmanīḥ // ŚivP_7.2,24.28ab/	bIjAni api ca tAH eva SaktayoMtarmanA unmanIH // ŚivS _7.2,24.28ab/
   karṇikāparavairāgyaṃ nālaṃ jñānaṃ śivātmakam // ŚivP_7.2,24.28cd/	karNikA para vErAgyam nAlam jQAnam Siva Atmakam // ŚivS _7.2,24.28cd/
   kandaśca śivadharmātmā karṇikānte trimaṇḍale // ŚivP_7.2,24.29ab/	kandaH ca Siva Darma AtmA karNikA ante tri maNxale // ŚivS _7.2,24.29ab/
   trimaṇḍaloparyātmādi tattvatritayamāsanam // ŚivP_7.2,24.29cd/	tri maNxala upari Atma Adi tattva tritayam Asanam // ŚivS _7.2,24.29cd/
   sarvāsanopari sukhaṃ vicitrāstaraṇāstṛtam // ŚivP_7.2,24.30ab/	sarva Asana upari suKam vicitra AstaraNa AstRtam // ŚivS _7.2,24.30ab/
   āsanaṃ kalpayeddivyaṃ śuddhavidyāsamujjvalam // ŚivP_7.2,24.30cd/	Asanam kalpayet divyam SudDa vidyA samujjvalam // ŚivS _7.2,24.30cd/
   āvāhanaṃ sthāpanaṃ ca sannirodhaṃ nirīkṣaṇam // ŚivP_7.2,24.31ab/	AvAhanam sTApanam ca sanniroDam nirIkzaNam // ŚivS _7.2,24.31ab/
   namaskāraṃ ca kurvīta badhvā mudrāḥ pṛthakpṛthak // ŚivP_7.2,24.31cd/	namaskAram ca kurvIta baDvAH mudrAH pRTak pRTak // ŚivS _7.2,24.31cd/
   pādyamācamanaṃ cārghyaṃ gaṃdhaṃ puṣpaṃ tataḥ param // ŚivP_7.2,24.32ab/	pAdyam Acamanam ca arGyam gaMDam puzpam tatas param // ŚivS _7.2,24.32ab/
   dhūpaṃ dīpaṃ ca tāṃbūlaṃ dattvātha svāpayecchivau // ŚivP_7.2,24.32cd/	DUpam dIpam ca tAMbUlam dattvA aTa svApayet SivO // ŚivS _7.2,24.32cd/
   athavā parikalpyaivamāsanaṃ mūrtimeva ca // ŚivP_7.2,24.33ab/	aTavA parikalpya evam Asanam mUrtim eva ca // ŚivS _7.2,24.33ab/
   sakalīkṛtya mūlena brahmābhiścāparaistathā // ŚivP_7.2,24.33cd/	sakalIkRtya mUlena brahmABiH ca aparEH taTA // ŚivS _7.2,24.33cd/
   āvāhayettato devyā śivaṃ paramakāraṇam // ŚivP_7.2,24.34ab/	AvAhayet tatas devyA Sivam parama kAraNam // ŚivS _7.2,24.34ab/
   śuddhasphaṭikasaṃkāśaṃ devaṃ niścalamakṣaram // ŚivP_7.2,24.34cd/	SudDa sPawika saMkASam devam niScalam akzaram // ŚivS _7.2,24.34cd/
   kāraṇaṃ sarvalokānāṃ sarvalokamayaṃ param // ŚivP_7.2,24.35ab/	kAraNam sarva lokAnAm sarva loka mayam param // ŚivS _7.2,24.35ab/
   aṃtarbahiḥsthitaṃ vyāpya hyaṇoraṇu 1 mahattaram 2 // ŚivP_7.2,24.35cd/	aMtarbahis sTitam vyApya hi aNoH aNu 1 mahattaram 2 // ŚivS _7.2,24.35cd/
   bhaktānāmaprayatnena dṛśyamīśvaramavyayam // ŚivP_7.2,24.36ab/	BaktAnAm aprayatnena dRSyam ISvaram avyayam // ŚivS _7.2,24.36ab/
   brahmeṃdraviṣṇurudrādyairapi devairagocaram // ŚivP_7.2,24.36cd/	brahma iMdra vizNu rudra AdyEH api devEH agocaram // ŚivS _7.2,24.36cd/
   devasāraṃ ca vidvadbhiragocaramiti śrutam // ŚivP_7.2,24.37ab/	devasAram ca vidvadBiH agocaram iti Srutam // ŚivS _7.2,24.37ab/
   ādimadhyāntarahitaṃ bheṣajaṃ bhavarogiṇām // ŚivP_7.2,24.37cd/	Adi maDya anta rahitam Bezajam Bava rogiNAm // ŚivS _7.2,24.37cd/
   śivatattvamiti khyātaṃ śivārthaṃ jagati sthiram // ŚivP_7.2,24.38ab/	Siva tattvam iti KyAtam Siva arTam jagati sTiram // ŚivS _7.2,24.38ab/
   pañcopacāravadbhaktyā pūjayelliṃgamuttamam // ŚivP_7.2,24.38cd/	paQca upacAra vat BaktyA pUjayet liMgam uttamam // ŚivS _7.2,24.38cd/
   liṃgamūrtirmaheśasya śivasya paramātmanaḥ // ŚivP_7.2,24.39ab/	liMga mUrtiH maheSasya Sivasya paramAtmanaH // ŚivS _7.2,24.39ab/
   snānakāle prakurvīta jayaśabdādimaṃgalam // ŚivP_7.2,24.39cd/	snAna kAle prakurvIta jaya Sabda Adi maMgalam // ŚivS _7.2,24.39cd/
   pañcagavyaghṛtakṣīradadhimadhvādipūrvakaiḥ // ŚivP_7.2,24.40ab/	paQcagavya GRta kzIra daDi maDu Adi pUrvakEH // ŚivS _7.2,24.40ab/
   mūlaiḥ phalānāṃ sāraiśca tilasarṣapasaktubhiḥ // ŚivP_7.2,24.40cd/	mUlEH PalAnAm sArEH ca tila sarzapa saktuBiH // ŚivS _7.2,24.40cd/
   bījairyavādibhiśśastaiścūrṇairmāṣādisaṃbhavaiḥ // ŚivP_7.2,24.41ab/	bIjEH yava AdiBiH SastEH cUrNEH mAza Adi saMBavEH // ŚivS _7.2,24.41ab/
   saṃsnāpyālipya piṣṭādyaiḥ snāpayeduṣṇavāribhiḥ // ŚivP_7.2,24.41cd/	saMsnA apya Alipya pizwa AdyEH snApayet uzNa vAriBiH // ŚivS _7.2,24.41cd/
   gharṣayedvilvapatrādyairlepagaṃdhāpanuttaye // ŚivP_7.2,24.42ab/	Garzayet vilva patra AdyEH lepa gaMDa apanuttaye // ŚivS _7.2,24.42ab/
   punaḥ saṃsnāpya salilaiścakravartyupacārataḥ // ŚivP_7.2,24.42cd/	punar saMsnApya salilEH cakravarti upacArataH // ŚivS _7.2,24.42cd/
   1 klībatvamārṣam	1 klIba tvam Arzam
   2 mahata iti kṣeṣa 	2 mahataH iti kzeza 
   573a	573a
   sugaṃdhāmalakaṃ dadyāddharidrāṃ ca yathākramam // ŚivP_7.2,24.43ab/	sugaMDA Amalakam dadyAt haridrAm ca yaTAkramam // ŚivS _7.2,24.43ab/
   tataḥ saṃśodhya salilairliṃgaṃ beramathāpi vā // ŚivP_7.2,24.43cd/	tatas saMSoDya salilEH liMgam beram aTa api vA // ŚivS _7.2,24.43cd/
   snāpayedgaṃdhatoyena kuśapuṣpodakena ca // ŚivP_7.2,24.44ab/	snApayet gaMDa toyena kuSa puzpa udakena ca // ŚivS _7.2,24.44ab/
   hiraṇyaratnatoyaiśca maṃtrasiddhairyathākramam // ŚivP_7.2,24.44cd/	hiraNya ratna toyEH ca maMtra sidDEH yaTAkramam // ŚivS _7.2,24.44cd/
   asaṃbhave tu dravyāṇāṃ yathāsaṃbhavasaṃbhṛtaiḥ // ŚivP_7.2,24.45ab/	asaMBave tu dravyANAm yaTAsaMBava saMBRtEH // ŚivS _7.2,24.45ab/
   kevalairmaṃtratoyairvā snāpayecchraddhayā śivam // ŚivP_7.2,24.45cd/	kevalEH maMtra toyEH vA snApayet SradDayA Sivam // ŚivS _7.2,24.45cd/
