   LiP, 1, 1	Li P, 1, 1
   durguṇe khyāpite tasya nairguṇyaśatabhāgbhavet // LiP_1,85.178 //	durguNe KyApite tasya nErguNya Sata BAj Bavet // LiS _1,85.178 //
   guṇe tu khyāpite tasya sārvaguṇyaphalaṃ bhavet /	guNe tu KyApite tasya sArvaguNya Palam Bavet /
   gurorhitaṃ priyaṃ kuryād ādiṣṭo vā na vā sadā // LiP_1,85.179 //	guroH hitam priyam kuryAt AdizwaH vA na vA sadA // LiS _1,85.179 //
   asamakṣaṃ samakṣaṃ vā guroḥ kāryaṃ samācaret /	asamakzam samakzam vA guroH kAryam samAcaret /
   gurorhitaṃ priyaṃ kuryān manovākkāyakarmabhiḥ // LiP_1,85.180 //	guroH hitam priyam kuryAt manaH vAc kAya karmaBiH // LiS _1,85.180 //
   kurvanpatatyadho gatvā tatraiva parivartate /	kurvan patati aDas gatvA tatra eva parivartate /
   tasmātsa sarvadopāsyo vandanīyaś ca sarvadā // LiP_1,85.181 //	tasmAt sa sarvadA upAsyaH vandanIyaH ca sarvadA // LiS _1,85.181 //
   samīpastho 'pyanujñāpya vadettadvimukho gurum /	samIpa sTaH api anujQApya vadet tat vimuKaH gurum /
   evamācāravān bhakto nityaṃ japaparāyaṇaḥ // LiP_1,85.182 //	evam AcAravAn BaktaH nityam japa parAyaNaH // LiS _1,85.182 //
   gurupriyakaro mantraṃ viniyoktuṃ tato 'rhati /	guru priya karaH mantram viniyoktum tatas arhati /
   viniyogaṃ pravakṣyāmi siddhamantraprayojanam // LiP_1,85.183 //	viniyogam pravakzyAmi sidDa mantra prayojanam // LiS _1,85.183 //
   daurbalyaṃ yāti tanmantraṃ viniyogamajānataḥ /	dOrbalyam yAti tat mantram viniyogam ajAnataH /
   yasya yena viyuñjīta kāryeṇa tu viśeṣataḥ // LiP_1,85.184 //	yasya yena viyuQjIta kAryeNa tu viSezataH // LiS _1,85.184 //
   viniyogaḥ sa vijñeya aihikāmuṣmikaṃ phalam /	viniyogaH sa vijQeyaH EhikAmuzmikam Palam /
   viniyogajamāyuṣyam ārogyaṃ tanunityatā // LiP_1,85.185 //	viniyoga jam Ayuzyam Arogyam tanu nitya tA // LiS _1,85.185 //
   rājyaiśvaryaṃ ca vijñānaṃ svargo nirvāṇa eva ca /	rAjya ESvaryam ca vijQAnam svargaH nirvANaH eva ca /
   prokṣaṇaṃ cābhiṣekaṃ ca aghamarṣaṇameva ca // LiP_1,85.186 //	prokzaNam ca aBizekam ca aGamarzaNam eva ca // LiS _1,85.186 //
   snāne ca saṃdhyayoścaiva kuryādekādaśena vai /	snAne ca saMDyayoH ca eva kuryAt ekAdaSena vE /
   śuciḥ parvatamāruhya japellakṣamatandritaḥ // LiP_1,85.187 //	SuciH parvatam Aruhya japet lakzam atandritaH // LiS _1,85.187 //
   mahānadyāṃ dvilakṣaṃ tu dīrghamāyuravāpnuyāt /	mahAnadyAm dvi lakzam tu dIrGam AyuH avApnuyAt /
   dūrvāṅkurāstilā vāṇī guḍūcī ghuṭikā tathā // LiP_1,85.188 //	dUrvA aFkurAH tilAH vANI guxUcI GuwikA taTA // LiS _1,85.188 //
   teṣāṃ tu daśasāhasraṃ homamāyuṣyavardhanam /	tezAm tu daSa sAhasram homam Ayuzya varDanam /
   aśvatthavṛkṣamāśritya japellakṣadvayaṃ sudhīḥ // LiP_1,85.189 //	aSvatTa vRkzam ASritya japet lakza dvayam suDIH // LiS _1,85.189 //
   śanaiścaradine spṛṣṭvā dīrghāyuṣyaṃ labhennaraḥ /	SanEScara dine spRzwvA dIrGa Ayuzyam laBet naraH /
   śanaiścaradine 'śvatthaṃ pāṇibhyāṃ saṃspṛśetsudhīḥ // LiP_1,85.190 //	SanEScara dine aSvatTam pANiByAm saMspRSet suDIH // LiS _1,85.190 //
   japedaṣṭottaraśataṃ somamṛtyuharo bhavet /	japet azwottaraSatam soma mRtyu haraH Bavet /
   ādityābhimukho bhūtvā japellakṣamananyadhīḥ // LiP_1,85.191 //	Aditya aBimuKaH BUtvA japet lakzam ananyaDIH // LiS _1,85.191 //
   arkairaṣṭaśataṃ japtvā juhvanvyādhervimucyate /	arkEH azwaSatam japtvA juhvan vyADeH vimucyate /
   samastavyādhiśāntyarthaṃ palāśasamidhair naraḥ // LiP_1,85.192 //	samasta vyADi SAnti arTam palASa samiDEH naraH // LiS _1,85.192 //
   hutvā daśasahasraṃ tu nirogī manujo bhavet /	hutvA daSa sahasram tu nirogI manujaH Bavet /
   nityamaṣṭaśataṃ japtvā pibed ambho 'rkasannidhau // LiP_1,85.193 //	nityam azwaSatam japtvA pibet amBaH arka sanniDO // LiS _1,85.193 //
   audaryairvyādhibhiḥ sarvair māsenaikena mucyate /	OdaryEH vyADiBiH sarvEH mAsena ekena mucyate /
   ekādaśena bhuñjīyād annaṃ caivābhimantritam // LiP_1,85.194 //	ekAdaSena BuQjIyAt annam ca eva aBimantritam // LiS _1,85.194 //
   bhakṣyaṃ cānyattathā peyaṃ viṣamapyamṛtaṃ bhavet /	Bakzyam ca anyat taTA peyam vizam api amRtam Bavet /
   japel lakṣaṃ tu pūrvāhṇe hutvā cāṣṭaśatena vai // LiP_1,85.195 //	japet lakzam tu pUrvAhNe hutvA ca azwaSatena vE // LiS _1,85.195 //
   sūryaṃ nityamupasthāya samyagārogyamāpnuyāt /	sUryam nityam upasTAya samyak Arogyam ApnuyAt /
   nadītoyena sampūrṇaṃ ghaṭaṃ saṃspṛśya śobhanam // LiP_1,85.196 //	nadI toyena sampUrNam Gawam saMspRSya SoBanam // LiS _1,85.196 //
   japtvāyutaṃ ca tatsnānād rogāṇāṃ bheṣajaṃ bhavet /	japtvA ayutam ca tad snAnAt rogANAm Bezajam Bavet /
   aṣṭāviṃśajjapitvānnam aśnīyād anvahaṃ śuciḥ // LiP_1,85.197 //	azwAviMSat japitvA annam aSnIyAt anvaham SuciH // LiS _1,85.197 //
   hutvā ca tāvatpālāśair evaṃ vārogyam aśnute /	hutvA ca tAvat pAlASEH evam vA Arogyam aSnute /
   candrasūryagrahe pūrvam upoṣya vidhinā śuciḥ // LiP_1,85.198 //	candra sUrya grahe pUrvam upozya viDinA SuciH // LiS _1,85.198 //
   yāvadgrahaṇamokṣaṃ tu tāvannadyāṃ samāhitaḥ /	yAvat grahaNa mokzam tu tAvat nadyAm samAhitaH /
   japetsamudragāminyāṃ vimokṣe grahaṇasya tu // LiP_1,85.199 //	japet samudra gAminyAm vimokze grahaNasya tu // LiS _1,85.199 //
   aṣṭottarasahasreṇa pibedbrāhmīrasaṃ dvijāḥ /	azwottarasahasreNa pibet brAhmI rasam dvijAH /
   aihikāṃ labhate medhāṃ sarvaśāstradharāṃ śubhām // LiP_1,85.200 //	EhikAm laBate meDAm sarva SAstra DarAm SuBAm // LiS _1,85.200 //
   sārasvatī bhaveddevī tasya vāgatimānuṣī /	sArasvatI Bavet devI tasya vAc ati mAnuzI /
   grahanakṣatrapīḍāsu japedbhaktyāyutaṃ naraḥ // LiP_1,85.201 //	graha nakzatra pIxAsu japet BaktyA ayutam naraH // LiS _1,85.201 //
   hutvā cāṣṭasahasraṃ tu grahapīḍāṃ vyapohati /	hutvA ca azwa sahasram tu graha pIxAm vyapohati /
   duḥsvapnadarśane snātvā japedvai cāyutaṃ naraḥ // LiP_1,85.202 //	duHsvapna darSane snAtvA japet vE ca ayutam naraH // LiS _1,85.202 //
   ghṛtenāṣṭaśataṃ hutvā sadyaḥ śāntirbhaviṣyati /	GRtena azwaSatam hutvA sadyas SAntiH Bavizyati /
   candrasūryagrahe liṅgaṃ samabhyarcya yathāvidhi // LiP_1,85.203 //	candra sUrya grahe liFgam samaByarcya yaTAviDi // LiS _1,85.203 //
   yat kiṃcit prārthayed devi japedayutamādarāt /	yat kiMcid prArTayet devi japet ayutam AdarAt /
   saṃnidhāvasya devasya śuciḥ saṃyatamānasaḥ // LiP_1,85.204 //	saMniDO= asya devasya SuciH saMyata mAnasaH // LiS _1,85.204 //
   sarvānkāmānavāpnoti puruṣo nātra saṃśayaḥ /	sarvAn kAmAn avApnoti puruzaH na atra saMSayaH /
   gajānāṃ turagāṇāṃ tu gojātīnāṃ viśeṣataḥ // LiP_1,85.205 //	gajAnAm turagANAm tu go jAtInAm viSezataH // LiS _1,85.205 //
   vyādhyāgame śucirbhūtvā juhuyātsamidhāhutim /	vyADi Agame SuciH BUtvA juhuyAt samiDA Ahutim /
   māsamabhyarcya vidhināyutaṃ bhaktisamanvitaḥ // LiP_1,85.206 //	mAsam aByarcya viDinA ayutam Bakti samanvitaH // LiS _1,85.206 //
   teṣāmṛddhiś ca śāntiś ca bhaviṣyati na saṃśayaḥ /	tezAm RdDiH ca SAntiH ca Bavizyati na saMSayaH /
   utpāte śatrubādhāyāṃ juhuyādayutaṃ śuciḥ // LiP_1,85.207 //	utpAte Satru bADAyAm juhuyAt ayutam SuciH // LiS _1,85.207 //
   pālāśasamidhair devi tasya śāntirbhaviṣyati /	pAlASa samiDEH devi tasya SAntiH Bavizyati /
   ābhicārikabādhāyām etaddevi samācaret // LiP_1,85.208 //	ABicArika bADAyAm etat devi samAcaret // LiS _1,85.208 //
   pratyag bhavati tacchaktiḥ śatroḥ pīḍā bhaviṣyati /	pratyak Bavati tad SaktiH SatroH pIxA Bavizyati /
   vidveṣaṇārthaṃ juhuyād vaibhītasamidhāṣṭakam // LiP_1,85.209 //	vidvezaNa arTam juhuyAt vEBIta samiDA azwakam // LiS _1,85.209 //
   akṣarapratilomyena ārdreṇa rudhireṇa vā /	akzara pratilomyena ArdreNa ruDireNa vA /
   viṣeṇa rudhirābhyakto vidveṣaṇakaraṃ nṛṇām // LiP_1,85.210 //	vizeNa ruDira aByaktaH vidvezaNa karam nRNAm // LiS _1,85.210 //
   prāyaścittaṃ pravakṣyāmi sarvapāpaviśuddhaye /	prAyaScittam pravakzyAmi sarva pApa viSudDaye /
   pāpaśuddhiryathā samyak kartumabhyudyato naraḥ // LiP_1,85.211 //	pApa SudDiH yaTA samyak kartum aByudyataH naraH // LiS _1,85.211 //
   pāpaśuddhir yataḥ samyag jñānasaṃpattihaitukī /	pApa SudDiH yatas samyak jQAna saMpatti hEtukI /
   pāpaśuddhirna cetpuṃsaḥ kriyāḥ sarvāścaniṣphalāḥ // LiP_1,85.212 //	pApa SudDiH na ced puMsaH kriyAH sarvAH ca nizPalAH // LiS _1,85.212 //
   jñānaṃ ca hīyate tasmāt kartavyaṃ pāpaśodhanam /	jQAnam ca hIyate tasmAt kartavyam pApa SoDanam /
   vidyālakṣmīviśuddhyarthaṃ māṃ dhyātvāñjalinā śubhe // LiP_1,85.213 //	vidyA lakzmI viSudDi arTam mAm DyAtvA aQjalinA SuBe // LiS _1,85.213 //
   śivenaikādaśenādbhir abhiṣiñcetsamantataḥ /	Sivena ekAdaSena adBiH aBiziQcet samantataH /
   aṣṭottaraśatenaiva snāyātpāpaviśuddhaye // LiP_1,85.214 //	azwottaraSatena eva snAyAt pApa viSudDaye // LiS _1,85.214 //
   sarvatīrthaphalaṃ tacca sarvapāpaharaṃ śubham /	sarva tIrTa Palam tat ca sarva pApa haram SuBam /
   saṃdhyopāsanavicchede japedaṣṭaśataṃ naraḥ // LiP_1,85.215 //	saMDyA upAsana vicCede japet azwa Satam naraH // LiS _1,85.215 //
   viḍvarāhaiś ca cāṇḍālair durjanaiḥ kukkuṭairapi /	vixvarAhEH ca cANxAlEH durjanEH kukkuwEH api /
   spṛṣṭamannaṃ na bhuñjīta bhuktvā cāṣṭaśataṃ japet // LiP_1,85.216 //	spRzwam annam na BuQjIta BuktvA ca azwaSatam japet // LiS _1,85.216 //
   brahmahatyāviśuddhyarthaṃ japellakṣāyutaṃ naraḥ /	brahmahatyA viSudDi arTam japet lakza ayutam naraH /
   pātakānāṃ tadardhaṃ syān nātra kāryā vicāraṇā // LiP_1,85.217 //	pAtakAnAm tad arDam syAt na atra kAryA vicAraNA // LiS _1,85.217 //
   upapātakaduṣṭānāṃ tadardhaṃ parikīrtitam /	upapAtaka duzwAnAm tad arDam parikIrtitam /
   śeṣāṇāmapi pāpānāṃ japetpañcasahasrakam // LiP_1,85.218 //	SezANAm api pApAnAm japet paQca sahasrakam // LiS _1,85.218 //
   ātmabodhaparaṃ guhyaṃ śivabodhaprakāśakam /	Atma boDa param guhyam Siva boDa prakASakam /
   śivaḥ syātsa japenmantraṃ pañcalakṣam anākulaḥ // LiP_1,85.219 //	SivaH syAt sa japet mantram paQca lakzam anAkulaH // LiS _1,85.219 //
   pañcavāyujayaṃ bhadre prāpnoti manujaḥ sukham /	paQca vAyu jayam Badre prApnoti manujaH suKam /
   japecca pañcalakṣaṃ tu vigṛhītendriyaḥ śuciḥ // LiP_1,85.220 //	japet ca paQcalakzam tu vigRhIta indriyaH SuciH // LiS _1,85.220 //
   pañcendriyāṇāṃ vijayo bhaviṣyati varānane /	paQca indriyANAm vijayaH Bavizyati varAnane /
   dhyānayukto japedyastu pañcalakṣamanākulaḥ // LiP_1,85.221 //	DyAna yuktaH japet yaH tu paQca lakzam anAkulaH // LiS _1,85.221 //
   viṣayāṇāṃ ca pañcānāṃ jayaṃ prāpnoti mānavaḥ /	vizayANAm ca paQcAnAm jayam prApnoti mAnavaH /
   caturthaṃ pañcalakṣaṃ tu yo japedbhaktisaṃyutaḥ // LiP_1,85.222 //	caturTam paQcalakzam tu yaH japet Bakti saMyutaH // LiS _1,85.222 //
   bhūtānāmiha pañcānāṃ vijayaṃ manujo labhet /	BUtAnAm iha paQcAnAm vijayam manujaH laBet /
   caturlakṣaṃ japedyastu manaḥ saṃyamya yatnataḥ // LiP_1,85.223 //	catur lakzam japet yaH tu manaH saMyamya yatnatas // LiS _1,85.223 //
   samyagvijayamāpnoti karaṇānāṃ varānane /	samyak vijayam Apnoti karaNAnAm varAnane /
   pañcaviṃśatilakṣāṇāṃ japena kamalānane // LiP_1,85.224 //	paQcaviMSati lakzANAm japena kamala Anane // LiS _1,85.224 //
   pañcaviṃśatitattvānāṃ vijayaṃ manujo labhet /	paQcaviMSati tattvAnAm vijayam manujaH laBet /
   madhyarātre 'tinirvāte japedayutamādarāt // LiP_1,85.225 //	maDyarAtre ati nirvAte japet ayutam AdarAt // LiS _1,85.225 //
   brahmasiddhimavāpnoti vratenānena suṃdari /	brahma sidDim avApnoti vratena anena suMdari /
   japellakṣamanālasyo nirvāte dhvanivarjite // LiP_1,85.226 //	japet lakzam anAlasyaH nirvAte Dvani varjite // LiS _1,85.226 //
   madhyarātre ca śivayoḥ paśyatyeva na saṃśayaḥ /	maDyarAtre ca SivayoH paSyati eva na saMSayaH /
   andhakāravināśaś ca dīpasyeva prakāśanam // LiP_1,85.227 //	anDakAra vinASaH ca dIpasya iva prakASanam // LiS _1,85.227 //
   hṛdayāntarbahirvāpi bhaviṣyati na saṃśayaḥ /	hRdaya antar bahis vA api Bavizyati na saMSayaH /
   sarvasaṃpatsamṛddhyarthaṃ japedayutamātmavān // LiP_1,85.228 //	sarva saMpad samRdDi arTam japet ayutam AtmavAn // LiS _1,85.228 //
   sabījasaṃpuṭaṃ mantraṃ śatalakṣaṃ japecchuciḥ /	sa bIja saMpuwam mantram Sata lakzam japet SuciH /
   matsāyujyamavāpnoti bhaktimān kimataḥ param // LiP_1,85.229 //	mad sAyujyam avApnoti BaktimAn kim atas param // LiS _1,85.229 //
   iti te sarvamākhyātaṃ pañcākṣaravidhikramam /	iti te sarvam AKyAtam paQcAkzara viDi kramam /
   yaḥ paṭhecchṛṇuyādvāpi sa yāti paramāṃ gatim // LiP_1,85.230 //	yaH paWet SRNuyAt vA api sa yAti paramAm gatim // LiS _1,85.230 //
   śrāvayecca dvijāñchuddhān pañcākṣaravidhikramam /	SrAvayet ca dvijAn SudDAn paQcAkzara viDi kramam /
   daive karmaṇi pitrye vā śivaloke mahīyate // LiP_1,85.231 //	dEve karmaNi pitrye vA Siva loke mahIyate // LiS _1,85.231 //
   iti śrīliṅgamahāpurāṇe pūrvabhāge pañcākṣaramāhātmyaṃ nāma pañcāśītitamo	iti SrI liFga mahApurANe pUrva BAge paQcAkzara mAhAtmyam nAma paQca aSItitamaH 
   'dhyāyaḥ	aDyAyaH
   LiP, 1, 86	Li P, 1, 86
   ṛṣaya ūcuḥ	RzayaH UcuH
   japācchreṣṭhatamaṃ prāhur brāhmaṇā dagdhakilbiṣāḥ /	japAt SrezWatamam prAhuH brAhmaNAH dagDa kilbizAH /
   viraktānāṃ prabuddhānāṃ dhyānayajñaṃ suśobhanam // LiP_1,86.1 //	viraktAnAm prabudDAnAm DyAna yajQam su SoBanam // LiS _1,86.1 //
   tasmādvadasva sūtādya dhyānayajñamaśeṣataḥ /	tasmAt vadasva sUta adya DyAna yajQam aSezatas /
   vistārātsarvayatnena viraktānāṃ mahātmanām // LiP_1,86.2 //	vistArAt sarva yatnena viraktAnAm mahAtmanAm // LiS _1,86.2 //
   teṣāṃ tadvacanaṃ śrutvā munīnāṃ dīrghasattriṇām /	tezAm tat vacanam SrutvA munInAm dIrGasattriNAm /
   rudreṇa kathitaṃ prāha guhāṃ prāpya mahātmanām // LiP_1,86.3 //	rudreNa kaTitam prAha guhAm prApya mahAtmanAm // LiS _1,86.3 //
   saṃhṛtya kālakūṭākhyaṃ viṣaṃ vai viśvakarmaṇā /	saMhRtya kAlakUwa AKyam vizam vE viSvakarmaNA /
   sūta uvāca	sUtaH uvAca
   guhāṃ prāpya sukhāsīnaṃ bhavānyā saha śaṅkaram // LiP_1,86.4 //	guhAm prApya suKa AsInam BavAnyA saha SaFkaram // LiS _1,86.4 //
   munayaḥ saṃśitātmānaḥ praṇemustaṃ guhāśrayam /	munayaH saMSita AtmAnaH praNemuH tam guhA ASrayam /
   astuvaṃś ca tataḥ sarve nīlakaṇṭhamumāpatim // LiP_1,86.5 //	astuvan ca tatas sarve nIlakaNWam umApatim // LiS _1,86.5 //
   atyugraṃ kālakūṭākhyaṃ saṃhṛtaṃ bhagavaṃstvayā /	ati ugram kAlakUwa AKyam saMhRtam Bagavan= tvayA /
   ataḥ pratiṣṭhitaṃ sarvaṃ tvayā deva vṛṣadhvaja // LiP_1,86.6 //	atas pratizWitam sarvam tvayA deva vRzaDvajaH // LiS _1,86.6 //
   teṣāṃ tadvacanaṃ śrutvā bhagavānnīlalohitaḥ /	tezAm tat vacanam SrutvA BagavAn nIlalohitaH /
   prahasanprāha viśvātmā sanandanapurogamān // LiP_1,86.7 //	prahasan prAha viSvAtmA sanandana purogamAn // LiS _1,86.7 //
   kimanena dvijaśreṣṭhā viṣaṃ vakṣye sudāruṇam /	kim anena dvijaSrezWAH vizam vakzye su dAruNam /
   saṃharettadviṣaṃ yastu sa samartho hyanena kim // LiP_1,86.8 //	saMharet tat vizam yaH tu sa samarTaH hi anena kim // LiS _1,86.8 //
   <curse of saṃsāra>	<curse of saMsAra>
   na viṣaṃ kālakūṭākhyaṃ saṃsāro viṣamucyate /	na vizam kAlakUwa AKyam saMsAraH vizam ucyate /
   tasmātsarvaprayatnena saṃhareta sudāruṇam // LiP_1,86.9 //	tasmAt sarva prayatnena saMhareta su dAruNam // LiS _1,86.9 //
   saṃsāro dvividhaḥ proktaḥ svādhikārānurūpataḥ /	saMsAraH dviviDaH proktaH sva aDikAra anurUpatas /
   puṃsāṃ saṃmūḍhacittānām asaṃkṣīṇaḥ sudāruṇaḥ // LiP_1,86.10 //	puMsAm saMmUXa cittAnAm asaMkzINaH su dAruNaH // LiS _1,86.10 //
   īṣaṇārāgadoṣeṇa sargo jñānena suvratāḥ /	IzaNA rAga dozeNa sargaH jQAnena suvratAH /
   tadvaśādeva sarveṣāṃ dharmādharmau na saṃśayaḥ // LiP_1,86.11 //	tad vaSAt eva sarvezAm Darma aDarmO na saMSayaH // LiS _1,86.11 //
   asannikṛṣṭe tvarthe 'pi śāstraṃ tacchravaṇātsatām /	asannikRzwe tu arTe api SAstram tad SravaNAt satAm /
   buddhimutpādayatyeva saṃsāre viduṣāṃ dvijāḥ // LiP_1,86.12 //	budDim utpAdayati eva saMsAre viduzAm dvijAH // LiS _1,86.12 //
   tasmāddṛṣṭānuśravikaṃ duṣṭamityubhayātmakam /	tasmAt dRzwa AnuSravikam duzwam iti uBaya Atmakam /
   saṃtyajetsarvayatnena viraktaḥ so 'bhidhīyate // LiP_1,86.13 //	saMtyajet sarva yatnena viraktaH saH aBiDIyate // LiS _1,86.13 //
   śāstramityucyate bhāgaṃ śruteḥ karmasu taddvijāḥ /	SAstram iti ucyate BAgam SruteH karmasu tad dvijAH /
   mūrdhānaṃ brahmaṇaḥ sāram ṛṣīṇāṃ karmaṇaḥ phalam // LiP_1,86.14 //	mUrDAnam brahmaNaH sAram RzINAm karmaNaH Palam // LiS _1,86.14 //
   nanu svabhāvaḥ sarveṣāṃ kāmo dṛṣṭo na cānyathā /	nanu svaBAvaH sarvezAm kAmaH dRzwaH na ca anyaTA /
   śrutiḥ pravartikā teṣām iti karmaṇyatadvidaḥ // LiP_1,86.15 //	SrutiH pravartikA tezAm iti karmaNi atad vidaH // LiS _1,86.15 //
   nivṛttilakṣaṇo dharmaḥ samarthānām ihocyate /	nivRtti lakzaNaH DarmaH samarTAnAm iha ucyate /
   tasmādajñānamūlo hi saṃsāraḥ sarvadehinām // LiP_1,86.16 //	tasmAt ajQAna mUlaH hi saMsAraH sarva dehinAm // LiS _1,86.16 //
   kalā saṃśoṣamāyāti karmaṇānyasvabhāvataḥ /	kalA saMSozam AyAti karmaNA anya svaBAvataH /
   sakalastrividho jīvo jñānahīnastvavidyayā // LiP_1,86.17 //	sakalaH triviDaH jIvaH jQAna hInaH tu avidyayA // LiS _1,86.17 //
   nārakī pāpakṛtsvargī puṇyakṛt puṇyagauravāt /	nArakI pApa kRt svargI puNya kRt puNya gOravAt /
   vyatimiśreṇa vai jīvaś caturdhā saṃvyavasthitaḥ // LiP_1,86.18 //	vyatimiSreNa vE jIvaH caturDA saMvyavasTitaH // LiS _1,86.18 //
   udbhijjaḥ svedajaścaiva aṇḍajo vai jarāyujaḥ /	udBid jaH sveda jaH ca eva aNxa jaH vE jarAyu jaH /
   evaṃ vyavasthito dehī karmaṇājño hyanirvṛtaḥ // LiP_1,86.19 //	evam vyavasTitaH dehI karmaNA AjQaH hi anirvRtaH // LiS _1,86.19 //
   prajayā karmaṇā muktir dhanena ca satāṃ na hi /	prajayA karmaNA muktiH Danena ca satAm na hi /
   tyāgenaikena muktiḥ syāt tadabhāvādbhramatyasau // LiP_1,86.20 //	tyAgena ekena muktiH syAt tad aBAvAt Bramati asO // LiS _1,86.20 //
   <everything is duḥkha>	<eva IryTing iH duHKa>
   evamajñānadoṣeṇa nānākarmavaśena ca /	evam ajQAna dozeNa nAnA karma vaSena ca /
   ṣaṭkauśikaṃ samudbhūtaṃ bhajatyeṣa kalevaram // LiP_1,86.21 //	zaz kOSikam samudBUtam Bajati eza kalevaram // LiS _1,86.21 //
   garbhe duḥkhānyanekāni yonimārge ca bhūtale /	garBe duHKAni anekAni yoni mArge ca BU tale /
   kaumāre yauvane caiva vārddhake maraṇe 'pi vā // LiP_1,86.22 //	kOmAre yOvane ca eva vArdDake maraNe api vA // LiS _1,86.22 //
   vicārataḥ satāṃ duḥkhaṃ strīsaṃsargādibhir dvijāḥ /	vicArataH satAm duHKam strI saMsarga AdiBiH dvijAH /
   duḥkhenaikena vai duḥkhaṃ praśāmyatīha duḥkhinaḥ // LiP_1,86.23 //	duHKena ekena vE duHKam praSAmyati iha duHKinaH // LiS _1,86.23 //
   na jātu kāmaḥ kāmānām upabhogena śāmyati /	na jAtu kAmaH kAmAnAm upaBogena SAmyati /
   haviṣā kṛṣṇavartmeva bhūya evābhivardhate // LiP_1,86.24 //	havizA kRzNavartmA iva BUyas eva aBivarDate // LiS _1,86.24 //
   tasmādvicārato nāsti saṃyogādapi vai nṛṇām /	tasmAt vicArataH na asti saMyogAt api vE nRNAm /
   arthānām arjane 'pyevaṃ pālane ca vyaye tathā // LiP_1,86.25 //	arTAnAm arjane api evam pAlane ca vyaye taTA // LiS _1,86.25 //
   paiśāce rākṣase duḥkhaṃ yākṣe caiva vicārataḥ /	pESAce rAkzase duHKam yAkze ca eva vicArataH /
   gāndharve ca tathā cāndre saumyaloke dvijottamāḥ // LiP_1,86.26 //	gAnDarve ca taTA cAndre sOmya loke dvijottamAH // LiS _1,86.26 //
   prājāpatye tathā brāhme prākṛte pauruṣe tathā /	prAjApatye taTA brAhme prAkRte pOruze taTA /
   kṣayasātiśayādyaistu duḥkhairduḥkhāni suvratāḥ // LiP_1,86.27 //	kzaya sa atiSaya AdyEH tu duHKEH duHKAni suvratAH // LiS _1,86.27 //
   tāni bhāgyānyaśuddhāni saṃtyajecca dhanāni ca /	tAni BAgyAni aSudDAni saMtyajet ca DanAni ca /
   tasmādaṣṭaguṇaṃ bhogaṃ tathā ṣoḍaśadhā sthitam // LiP_1,86.28 //	tasmAt azwaguNam Bogam taTA zoxaSaDA sTitam // LiS _1,86.28 //
   caturviṃśatprakāreṇa saṃsthitaṃ cāpi suvratāḥ /	caturviMSat prakAreNa saMsTitam ca api suvratAH /
   dvātriṃśadbhedamanaghāś catvāriṃśadguṇaṃ punaḥ // LiP_1,86.29 //	dvAtriMSat Bedam anaGAH catvAriMSat guNam punar // LiS _1,86.29 //
   tathāṣṭacatvāriṃśacca ṣaṭpañcāśatprakārataḥ /	taTA azwacatvAriMSat ca zawpaQcASat prakArataH /
   catuḥṣaṣṭividhaṃ caiva duḥkhameva vivekinaḥ // LiP_1,86.30 //	catuHzazwiviDam ca eva duHKam eva vivekinaH // LiS _1,86.30 //
   pārthivaṃ ca tathāpyaṃ ca taijasaṃ ca vicārataḥ /	pArTivam ca taTA Apyam ca tEjasam ca vicArataH /
